Orthogroup	Dufourea_novaeangliae	Ceratina_calcarata
OG0000034	XP_015435295.1, XP_015435294.1	XP_026667896.1, XP_017877070.1, XP_017877071.1, XP_017877072.1
OG0000035	XP_015434866.1, XP_015434867.1, XP_015434868.1, XP_015434869.1, XP_015434870.1, XP_015434871.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000036	XP_015438705.1	XP_017888470.1, XP_017888471.1, XP_017888469.1, XP_017888468.1, XP_017888467.1
OG0000037	XP_015429868.1	XP_026673086.1, XP_026673087.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_017887763.1
OG0000038	XP_015428850.1, XP_015428848.1, XP_015428851.1	XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_017882779.1, XP_017882777.1
OG0000038	XP_015439294.1, XP_015439293.1	XP_017879834.1, XP_026669182.1
OG0000039	XP_015428729.1	XP_017880312.1, XP_017880311.1, XP_017880320.1, XP_017880319.1, XP_017880316.1, XP_017880314.1, XP_017880318.1, XP_017880317.1, XP_017880310.1
OG0000040	XP_015436163.1	XP_017877461.1
OG0000041	XP_015430124.1	XP_017880265.1, XP_017879099.1, XP_017885294.1, XP_017884160.1
OG0000042	XP_015436228.1, XP_015436225.1	XP_017887190.1, XP_026672950.1, XP_017887196.1, XP_017887198.1, XP_017887192.1
OG0000043	XP_015430085.1	XP_026667059.1
OG0000044	XP_015434933.1, XP_015434934.1	XP_017886339.1, XP_017886341.1, XP_017886340.1
OG0000046	XP_015431116.1, XP_015431127.1	XP_026668788.1, XP_026668778.1
OG0000047	XP_015436673.1	XP_017892302.1
OG0000047	XP_015438104.1	XP_017888174.1
OG0000049	XP_015435659.1	XP_017875573.2
OG0000050	XP_015430457.1, XP_015430455.1, XP_015430454.1, XP_015430456.1	XP_017890818.1
OG0000051	XP_015438716.1	XP_017886873.1
OG0000052	XP_015440357.1	XP_026667172.1, XP_026667174.1, XP_026667177.1, XP_026667173.1, XP_026667176.1, XP_026667175.1
OG0000054	XP_015440360.1, XP_015440376.1, XP_015440359.1, XP_015440379.1	XP_017875567.1, XP_026667182.1, XP_026674457.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1
OG0000055	XP_015436316.1	XP_026672109.1, XP_026672110.1, XP_017885442.1, XP_017885441.1
OG0000056	XP_015438965.1	XP_017884500.1, XP_017884505.1, XP_017884508.1, XP_017884509.1, XP_026671517.1, XP_017884504.1, XP_017884503.1, XP_017884502.1, XP_017884501.1
OG0000059	XP_015435357.1	XP_017875203.1, XP_017887641.1
OG0000059	XP_015435350.1	XP_017888173.1
OG0000060	XP_015439981.1	XP_017883584.1, XP_017883585.1, XP_017883586.1, XP_026671031.1
OG0000062	XP_015440301.1	XP_017875316.1, XP_026667908.1, XP_017881154.1
OG0000063	XP_015435591.1	XP_017889422.1
OG0000063	XP_015434749.1	XP_017888379.2
OG0000063	XP_015435639.1	XP_017889438.1
OG0000064	XP_015439422.1	XP_017886375.1
OG0000064	XP_015436794.1	XP_017875625.1
OG0000064	XP_015438692.1	XP_017877449.1
OG0000065	XP_015440531.1	XP_026673014.1, XP_017887445.1, XP_017887444.1, XP_017887447.1
OG0000066	XP_015429769.1	XP_017882452.1, XP_017882451.1, XP_026670567.1, XP_017882453.1, XP_026670566.1
OG0000067	XP_015435677.1, XP_015435676.1	XP_026667524.1, XP_026667523.1, XP_017876340.1, XP_026667525.1
OG0000068	XP_015431173.1, XP_015431151.1	XP_017878913.1, XP_026670968.1, XP_017878912.1, XP_017878910.1, XP_017878909.1
OG0000069	XP_015439140.1	XP_026671618.1, XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1
OG0000070	XP_015433091.1	XP_026666470.1, XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_017892919.1
OG0000071	XP_015436200.1	XP_017887828.1, XP_026673221.1, XP_026673223.1, XP_017887829.1, XP_026673222.1
OG0000072	XP_015434855.1, XP_015434863.1	XP_017877526.1, XP_017877521.1
OG0000073	XP_015432205.1	XP_017884134.1, XP_026671383.1, XP_017884143.1, XP_017884145.1, XP_026671385.1, XP_026671384.1, XP_017884138.1, XP_017884135.1, XP_017884141.1, XP_017884140.1
OG0000074	XP_015438918.1	XP_026672903.1
OG0000074	XP_015439018.1	XP_017882162.1, XP_017882161.1, XP_017882209.1, XP_017882285.1, XP_017888595.2
OG0000076	XP_015436046.1	XP_026670219.1, XP_017881657.1
OG0000077	XP_015434988.1, XP_015434960.1, XP_015434985.1, XP_015434990.1	XP_017889240.1, XP_017879879.1, XP_026673871.1, XP_017879865.1, XP_017889238.1, XP_017884325.1, XP_017893576.1, XP_017889237.1, XP_017880985.2, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1, XP_017890095.1, XP_017885068.1, XP_017877687.1, XP_017877675.1
OG0000078	XP_015438151.1, XP_015435224.1, XP_015439947.1	XP_017887324.1, XP_017880981.1
OG0000079	XP_015434849.1	XP_017886387.1, XP_017886390.1, XP_017886392.1
OG0000080	XP_015436437.1	XP_026672341.1
OG0000081	XP_015437277.1	XP_017892895.1
OG0000082	XP_015435281.1, XP_015435282.1	XP_017888224.1, XP_017888223.1
OG0000083	XP_015435790.1	XP_026669617.1, XP_026669618.1, XP_017880690.1, XP_017880691.1, XP_026669616.1
OG0000085	XP_015436209.1	XP_026675280.1
OG0000086	XP_015439325.1	XP_017886426.1, XP_026672553.1, XP_017886424.1, XP_026672552.1, XP_017886423.1, XP_026672551.1, XP_017886421.1, XP_017886427.1
OG0000087	XP_015438869.1	XP_017878634.1
OG0000088	XP_015435053.1	XP_017884326.1, XP_026671462.1, XP_026671456.1, XP_026671458.1, XP_026671477.1
OG0000089	XP_015436630.1, XP_015435537.1	XP_026666464.1
OG0000090	XP_015430865.1	XP_026672044.1, XP_026672042.1, XP_026672041.1, XP_026672043.1
OG0000091	XP_015440081.1	XP_017877858.1, XP_017877859.1, XP_026668295.1, XP_017877857.1
OG0000093	XP_015428411.1	XP_017876372.1
OG0000094	XP_015431880.1	XP_017879294.1
OG0000095	XP_015438184.1	XP_026673145.1
OG0000096	XP_015434227.1	XP_017886082.1
OG0000097	XP_015431198.1, XP_015431199.1	XP_017892085.1, XP_017892086.1, XP_017892083.1, XP_017892084.1, XP_026675169.1
OG0000098	XP_015438475.1	XP_017882238.1
OG0000099	XP_015430255.1, XP_015430247.1	XP_017889155.1, XP_026673796.1
OG0000100	XP_015437850.1, XP_015438094.1	XP_017880858.1, XP_017879159.1
OG0000100	XP_015438890.1	XP_017889191.1
OG0000101	XP_015432218.1	XP_017886991.1
OG0000102	XP_015429601.1	XP_026667505.1, XP_026667481.1, XP_017889865.1, XP_017889782.1
OG0000103	XP_015435506.1, XP_015435505.1	XP_017877636.1, XP_017877637.1
OG0000104	XP_015439591.1	XP_017883820.1
OG0000105	XP_015432223.1	XP_026667948.1
OG0000107	XP_015431640.1	XP_017889196.1, XP_017891841.1
OG0000108	XP_015438463.1	XP_026670402.1, XP_026670401.1, XP_026670400.1, XP_026670404.1, XP_026670403.1
OG0000109	XP_015430535.1	XP_026671007.1, XP_026671006.1, XP_026671005.1
OG0000110	XP_015436481.1	XP_017892171.1
OG0000110	XP_015436479.1	XP_017892165.1
OG0000112	XP_015431184.1	XP_026669569.1, XP_026672267.1
OG0000113	XP_015440166.1	XP_017892665.1, XP_026675553.1, XP_026675554.1, XP_026675552.1, XP_026675550.1, XP_026675551.1
OG0000114	XP_015434902.1	XP_017886343.1, XP_017886344.1, XP_017886345.1, XP_026672489.1, XP_026672487.1, XP_026672490.1, XP_017886342.1
OG0000115	XP_015428477.1	XP_017886767.1, XP_017886766.1
OG0000116	XP_015434163.1, XP_015434164.1	XP_017884703.1, XP_017884704.1, XP_017884702.1, XP_026671694.1, XP_017884701.1
OG0000117	XP_015440289.1, XP_015440287.1, XP_015440288.1	XP_017882899.1, XP_017882898.1, XP_017882897.1, XP_026670787.1
OG0000118	XP_015435404.1	XP_026668129.1, XP_017877527.1, XP_017877528.1, XP_026668130.1
OG0000119	XP_015431091.1	XP_017878262.1
OG0000121	XP_015431772.1	XP_026673616.1, XP_026673617.1, XP_017888701.1, XP_017888699.1, XP_026673621.1, XP_026673620.1, XP_026673619.1, XP_026673618.1
OG0000122	XP_015430087.1, XP_015430094.1, XP_015430103.1	XP_017882975.1
OG0000124	XP_015436589.1, XP_015436588.1	XP_017882800.1
OG0000125	XP_015436982.1, XP_015436981.1, XP_015436985.1, XP_015436987.1, XP_015436980.1	NP_001352268.1, XP_026670615.1, XP_017883314.2, XP_017882560.1
OG0000126	XP_015428736.1, XP_015428737.1, XP_015428735.1	XP_017880325.2
OG0000127	XP_015432783.1	XP_026674951.1, XP_017891474.1, XP_026674959.1
OG0000128	XP_015440194.1	XP_017891768.1
OG0000129	XP_015436626.1	XP_026669826.1
OG0000130	XP_015429959.1, XP_015429961.1	XP_017881384.1, XP_017881383.1, XP_017881382.1, XP_017881381.1
OG0000131	XP_015437714.1	XP_017878542.1
OG0000132	XP_015433331.1, XP_015433332.1, XP_015433333.1	XP_017883758.1, XP_026671172.1, XP_026671174.1, XP_026671173.1, XP_017883759.1
OG0000133	XP_015434666.1	XP_017886546.1, XP_026666824.1, XP_017892307.1, XP_017893308.1, XP_026672447.1, XP_026673906.1, XP_026674185.1, XP_017892139.2
OG0000134	XP_015431085.1	XP_017875026.1
OG0000135	XP_015430291.1	XP_026671116.1, XP_017883719.1, XP_026671117.1
OG0000136	XP_015435242.1	XP_026672920.1
OG0000139	XP_015440328.1	XP_026666767.1, XP_017893376.1
OG0000140	XP_015428456.1	XP_026674589.1, XP_017890677.1
OG0000141	XP_015434298.1	XP_017880688.1, XP_017880687.1, XP_017880686.1
OG0000142	XP_015440004.1, XP_015440053.1	XP_017889788.1, XP_026666719.1, XP_026666720.1
OG0000143	XP_015436700.1, XP_015436679.1, XP_015436686.1, XP_015436693.1	XP_017887622.1, XP_026673152.1
OG0000144	XP_015433077.1	XP_017890258.1
OG0000146	XP_015436896.1	XP_026670142.1, XP_026670143.1, XP_017881716.1
OG0000147	XP_015429248.1	XP_026672117.1, XP_017885549.1
OG0000148	XP_015436232.1	XP_026670174.1, XP_026670184.1, XP_026670178.1, XP_017881549.1
OG0000149	XP_015433364.1	XP_017877822.1, XP_017877823.1, XP_026668289.1, XP_017877820.1, XP_017877821.1
OG0000150	XP_015437621.1	XP_017885915.1
OG0000151	XP_015430154.1	XP_026674879.1, XP_026674878.1, XP_017891285.1
OG0000152	XP_015429021.1	XP_017888048.1, XP_017877450.1, XP_017888163.1, XP_017889733.1
OG0000153	XP_015439280.1	XP_017884046.1
OG0000153	XP_015431878.1	XP_017892608.1
OG0000153	XP_015434213.1, XP_015436654.1	XP_026666981.1
OG0000155	XP_015430002.1	XP_017875092.1, XP_017875091.1, XP_026666936.1, XP_026666937.1
OG0000156	XP_015429114.1	XP_026675129.1, XP_017891686.1, XP_017891695.1
OG0000158	XP_015439412.1	XP_017891545.1
OG0000159	XP_015438519.1	XP_017876697.1
OG0000160	XP_015436511.1	XP_026669836.1, XP_026669837.1
OG0000160	XP_015436510.1	XP_026669845.1
OG0000161	XP_015438642.1	XP_017886702.1
OG0000162	XP_015429975.1	XP_017887986.1, XP_017887985.1, XP_026673272.1, XP_017887983.1
OG0000163	XP_015438423.1	XP_026670456.1, XP_017882110.1, XP_017882109.1
OG0000164	XP_015437557.1, XP_015437559.1, XP_015437558.1	XP_017875333.1, XP_026667075.1, XP_026667076.1, XP_026667074.1, XP_017875332.1, XP_017875336.1, XP_017875334.1, XP_026667073.1
OG0000165	XP_015431086.1	XP_017885731.1
OG0000166	XP_015429867.1	XP_017885198.1, XP_017885199.1
OG0000168	XP_015439792.1	XP_026670843.1, XP_026670846.1, XP_017883071.2
OG0000169	XP_015436217.1	XP_017876202.1
OG0000170	XP_015434496.1	XP_017885221.1
OG0000171	XP_015436562.1	XP_017881127.1, XP_017881130.1, XP_017881133.1, XP_026669825.1, XP_026669824.1, XP_026669823.1
OG0000172	XP_015430802.1	XP_017893620.1
OG0000172	XP_015434046.1	XP_017893593.1
OG0000173	XP_015432862.1	XP_026669498.1, XP_026669481.1, XP_026669413.1
OG0000174	XP_015431688.1	XP_026673608.1, XP_017888695.1, XP_017888696.1, XP_017888680.1, XP_017888716.1
OG0000175	XP_015437287.1	XP_017890461.1
OG0000176	XP_015433628.1	XP_017880967.1
OG0000177	XP_015432556.1	XP_017888965.2, XP_017890673.1, XP_017877494.1, XP_017878197.1
OG0000178	XP_015431678.1, XP_015431789.1	XP_017881697.1
OG0000178	XP_015431680.1, XP_015431679.1	XP_017875129.1, XP_026672588.1, XP_017887778.1, XP_017887780.1, XP_017885409.1
OG0000179	XP_015432369.1	XP_017877534.1, XP_026668146.1
OG0000180	XP_015432607.1, XP_015432609.1, XP_015432608.1	XP_026674969.1, XP_026674968.1, XP_017891628.1
OG0000181	XP_015439359.1	XP_026672518.1
OG0000182	XP_015436440.1, XP_015436439.1, XP_015436438.1, XP_015436441.1	XP_017880418.1, XP_017880419.1
OG0000183	XP_015430027.1, XP_015430036.1	XP_017882623.1
OG0000184	XP_015431426.1, XP_015431427.1, XP_015431425.1	XP_017876664.1, XP_017876665.1, XP_017876663.1
OG0000185	XP_015438013.1	XP_017879769.1
OG0000186	XP_015433541.1	XP_017888821.1, XP_017888817.1, XP_026673721.1
OG0000187	XP_015434347.1	XP_026670559.1, XP_026670560.1, XP_026670558.1, XP_017882423.1
OG0000188	XP_015429150.1	XP_017884176.1
OG0000189	XP_015432676.1	XP_017878226.1, XP_017878228.1, XP_017878227.1
OG0000190	XP_015431829.1	XP_017884018.1, XP_017884019.1, XP_017884017.1
OG0000191	XP_015434653.1, XP_015434652.1	XP_017880232.1
OG0000192	XP_015434228.1	XP_017880933.1, XP_017880930.1, XP_017880932.1, XP_017880934.1, XP_017880931.1
OG0000193	XP_015437702.1, XP_015437695.1	XP_017887620.1
OG0000194	XP_015437727.1	XP_017878656.1, XP_026668642.1, XP_017878658.1
OG0000195	XP_015433329.1, XP_015433328.1, XP_015433330.1	XP_017883056.1, XP_017883055.1, XP_017883054.1
OG0000197	XP_015430868.1	XP_026674136.1
OG0000197	XP_015429676.1	XP_026675479.1
OG0000198	XP_015439765.1, XP_015439830.1, XP_015439764.1, XP_015439837.1	XP_017879823.1, XP_026669191.1
OG0000200	XP_015436844.1	XP_026667451.1, XP_017876164.1
OG0000201	XP_015436162.1	XP_017881852.1, XP_026669889.1, XP_026669892.1
OG0000202	XP_015437325.1	XP_017878411.1, XP_017878410.1
OG0000203	XP_015430231.1	XP_017884937.1
OG0000204	XP_015431509.1, XP_015431511.1, XP_015431510.1	XP_017887339.1
OG0000205	XP_015433280.1	XP_026670898.1
OG0000206	XP_015431498.1, XP_015431497.1	XP_017886453.1
OG0000207	XP_015429188.1	XP_017885543.1, XP_017885544.1
OG0000208	XP_015430478.1	XP_017877130.1, XP_026667913.1
OG0000209	XP_015436281.1	XP_017876246.1, XP_017876245.1, XP_017876248.1, XP_017876247.1, XP_017876249.1, XP_026667477.1
OG0000210	XP_015432472.1	XP_026672513.1
OG0000211	XP_015430485.1	XP_017876182.1, XP_026667463.1, XP_026667461.1, XP_026667462.1
OG0000212	XP_015438832.1, XP_015438831.1, XP_015438830.1	XP_017879981.1, XP_017879980.1
OG0000213	XP_015432870.1, XP_015432869.1, XP_015432866.1, XP_015432868.1, XP_015432867.1	XP_017879713.1, XP_017879711.1, XP_017879712.1, XP_017879710.1
OG0000214	XP_015430841.1, XP_015430849.1	XP_026674310.1, XP_017889485.1
OG0000215	XP_015434230.1	XP_026667010.1, XP_026667011.1, XP_017875258.1, XP_017875259.1
OG0000216	XP_015437199.1	XP_026668623.1, XP_017878397.1
OG0000218	XP_015432437.1	XP_026674156.1
OG0000218	XP_015432430.1	XP_026674154.1
OG0000219	XP_015439988.1	XP_017882427.1, XP_017882428.1, XP_017882429.1, XP_017882425.1, XP_017882430.1, XP_026670577.1, XP_017882426.1
OG0000220	XP_015434209.1	XP_017885400.1
OG0000221	XP_015439085.1	XP_017875461.1
OG0000222	XP_015438542.1	XP_017891500.1
OG0000222	XP_015428940.1	XP_017891893.1, XP_017891894.1
OG0000223	XP_015434738.1	XP_017875942.1
OG0000224	XP_015430929.1	XP_017881499.1, XP_017881498.1, XP_026669970.1
OG0000226	XP_015434860.1	XP_026674159.1, XP_017889612.1
OG0000227	XP_015436973.1, XP_015436974.1, XP_015436975.1	XP_026675010.1
OG0000227	XP_015436971.1	XP_026675012.1, XP_026675011.1
OG0000228	XP_015435414.1, XP_015435413.1	XP_017892650.2, XP_026675538.1, XP_026669124.1, XP_017892649.1, XP_017879699.1, XP_017879788.1
OG0000229	XP_015436804.1	XP_017891609.2
OG0000231	XP_015434546.1	XP_017882489.1, XP_017882341.1, XP_017882406.1, XP_017882260.1
OG0000232	XP_015432406.1	XP_017886042.1, XP_017886041.1, XP_026672367.1
OG0000233	XP_015431093.1	XP_026675168.1, XP_017891847.1, XP_017891846.1
OG0000234	XP_015437503.1	XP_017888840.1
OG0000235	XP_015435834.1	XP_026669622.1, XP_026669623.1, XP_017880635.1, XP_017880633.1, XP_017880636.1
OG0000236	XP_015429983.1	XP_017885150.1
OG0000237	XP_015436500.1	XP_017881836.1
OG0000238	XP_015439918.1	XP_017878847.1
OG0000239	XP_015436567.1	XP_017887854.2, XP_017881302.1
OG0000240	XP_015431041.1	XP_017878265.1
OG0000241	XP_015428795.1	XP_017880094.1
OG0000242	XP_015438258.1	XP_026673537.1, XP_026666922.1
OG0000243	XP_015438163.1	XP_017891863.1
OG0000244	XP_015434318.1	XP_017877510.1
OG0000245	XP_015438086.1, XP_015438085.1, XP_015438084.1	XP_017877931.1, XP_017877932.1, XP_017877933.1, XP_026668393.1, XP_026668394.1, XP_017877934.1
OG0000246	XP_015430155.1	XP_017888864.1, XP_017888867.1
OG0000247	XP_015430038.1, XP_015430037.1	XP_026666803.1
OG0000248	XP_015428745.1, XP_015428747.1, XP_015428748.1	XP_017887490.1
OG0000249	XP_015428718.1, XP_015428722.1, XP_015428720.1	XP_017878945.1, XP_017878947.1, XP_017875917.2
OG0000250	XP_015436838.1	XP_017878016.1, XP_026668371.1, XP_026668373.1, XP_026668372.1
OG0000251	XP_015433212.1, XP_015433213.1, XP_015433214.1	XP_017889837.1
OG0000252	XP_015439601.1, XP_015439599.1	XP_026667651.1, XP_026667650.1, XP_026667652.1
OG0000253	XP_015428727.1	XP_017888863.1
OG0000253	XP_015428670.1	XP_026673668.1
OG0000254	XP_015435781.1	XP_026669691.1, XP_017880879.1, XP_017880881.1, XP_026669692.1
OG0000255	XP_015439251.1	XP_017875528.1, XP_017875529.1
OG0000257	XP_015434092.1, XP_015434094.1, XP_015434091.1, XP_015434090.1, XP_015434093.1	XP_017884586.1, XP_026671501.1
OG0000258	XP_015434468.1	XP_017887424.1
OG0000259	XP_015436712.1, XP_015436714.1, XP_015436713.1	XP_026671533.1
OG0000261	XP_015430515.1	XP_017876049.1
OG0000262	XP_015429586.1	XP_017893275.1, XP_017893273.1, XP_017893272.1, XP_017893274.1, XP_017893271.1
OG0000263	XP_015435613.1, XP_015435612.1	XP_017891603.1, XP_017891602.1
OG0000264	XP_015438442.1, XP_015438443.1, XP_015438441.1	XP_017881985.1, XP_026670277.1
OG0000265	XP_015440522.1	XP_026673462.1, XP_026673463.1, XP_017888306.1, XP_017888304.1
OG0000267	XP_015435023.1	XP_026668950.1, XP_017879249.1
OG0000268	XP_015432942.1, XP_015432950.1	XP_026669514.1, XP_026669513.1, XP_017880560.1, XP_026669512.1
OG0000269	XP_015430099.1	XP_026667171.1
OG0000270	XP_015433275.1	XP_017877447.1, XP_017877440.1
OG0000271	XP_015437477.1	XP_026670033.1, XP_017881487.1
OG0000272	XP_015431399.1	XP_017885691.1
OG0000273	XP_015430495.1	XP_017877649.1
OG0000274	XP_015428714.1	XP_017878878.1, XP_017878881.1
OG0000275	XP_015432171.1, XP_015432170.1	XP_017888661.1
OG0000276	XP_015433084.1	XP_017875862.1
OG0000277	XP_015432611.1	XP_026672250.1, XP_026672249.1, XP_026672246.1, XP_017885753.1, XP_026672248.1
OG0000279	XP_015429328.1	XP_017887363.1, XP_017887362.1
OG0000280	XP_015438081.1	XP_017878726.2
OG0000281	XP_015431667.1	XP_026670595.1, XP_017882531.1, XP_017882532.1
OG0000282	XP_015430519.1	XP_017875958.1
OG0000283	XP_015432130.1	XP_017888487.1, XP_017888485.1, XP_017888486.1, XP_017888479.1, XP_017888481.1, XP_017888482.1, XP_017888484.1, XP_026673529.1
OG0000284	XP_015432508.1	XP_017889643.1
OG0000285	XP_015439365.1	XP_026672526.1
OG0000286	XP_015430330.1	XP_026674245.1, XP_026674244.1, XP_017889974.1
OG0000288	XP_015440120.1	XP_026674327.1, XP_026674326.1, XP_017890165.1
OG0000289	XP_015439048.1	XP_017875530.1, XP_017875531.1
OG0000290	XP_015429963.1	XP_017887868.1
OG0000291	XP_015433942.1	XP_017892510.1, XP_017892508.1, XP_017892509.1
OG0000292	XP_015432042.1	XP_026671317.1, XP_017883991.1, XP_026671319.1, XP_026671318.1
OG0000293	XP_015437071.1	XP_017888002.2
OG0000294	XP_015428439.1, XP_015428441.1, XP_015428440.1	XP_017888724.1, XP_017888723.1, XP_017888726.1, XP_017888725.1
OG0000295	XP_015429618.1	XP_017891153.1, XP_017891154.1
OG0000296	XP_015429506.1	XP_017893250.1
OG0000297	XP_015435125.1	XP_017885576.1
OG0000298	XP_015428647.1, XP_015428648.1, XP_015428649.1	XP_026666798.1, XP_026666797.1, XP_017893510.1
OG0000299	XP_015436446.1	XP_017881228.1, XP_017881225.1, XP_017881227.1
OG0000299	XP_015436448.1	XP_026674566.1, XP_017881231.1
OG0000300	XP_015433918.1, XP_015433924.1	XP_017887481.1, XP_017887484.1
OG0000301	XP_015431428.1	XP_017876666.1, XP_017876667.1, XP_026667677.1, XP_017876668.1
OG0000302	XP_015432439.1	XP_026672568.1, XP_017886502.1, XP_017886500.1, XP_017886498.1
OG0000303	XP_015430976.1	XP_017888875.2, XP_026673685.1
OG0000304	XP_015431178.1	XP_026675088.1, XP_026675087.1, XP_026675086.1, XP_026675085.1, XP_026675089.1, XP_026675084.1
OG0000305	XP_015440094.1	XP_017885393.1
OG0000306	XP_015428777.1, XP_015428776.1, XP_015428775.1	XP_017880083.1, XP_017880079.1
OG0000307	XP_015434584.1	XP_017888893.1, XP_026673915.1, XP_017888902.1, XP_026673940.1, XP_026673919.1, XP_026673923.1, XP_026673934.1
OG0000308	XP_015430659.1	XP_017889038.1, XP_017889035.1, XP_017889036.1
OG0000309	XP_015432975.1	XP_026666993.1, XP_017875728.1
OG0000310	XP_015430325.1, XP_015430342.1, XP_015430334.1	XP_017882961.1, XP_017882960.1
OG0000311	XP_015438056.1	XP_017879973.1, XP_026668982.1
OG0000312	XP_015438781.1	XP_017877095.2, XP_017877094.1
OG0000313	XP_015439500.1	XP_017892605.1
OG0000314	XP_015436531.1	XP_017887380.2, XP_017885792.1, XP_026668832.1, XP_017875300.2, XP_017877436.1, XP_017890717.1
