Orthogroup	Dufourea_novaeangliae	Nomia_melanderi
OG0000032	XP_015429644.1, XP_015429643.1, XP_015429641.1, XP_015429642.1	XP_031841904.1, XP_031841905.1, XP_031841906.1
OG0000033	XP_015437422.1, XP_015437423.1	XP_031837391.1, XP_031837392.1, XP_031837389.1, XP_031837388.1, XP_031837387.1, XP_031837386.1
OG0000034	XP_015439801.1	XP_031846647.1
OG0000035	XP_015434866.1, XP_015434867.1, XP_015434868.1, XP_015434869.1, XP_015434870.1, XP_015434871.1	XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1, XP_031842566.1, XP_031842564.1, XP_031842565.1, XP_031842567.1, XP_031842563.1, XP_031842562.1
OG0000036	XP_015438705.1	XP_031841466.1, XP_031841465.1, XP_031841460.1, XP_031841461.1, XP_031841462.1, XP_031841463.1
OG0000037	XP_015429868.1	XP_031828389.1, XP_031828386.1, XP_031828385.1, XP_031828380.1, XP_031828378.1, XP_031828387.1, XP_031828388.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828379.1, XP_031828382.1, XP_031828383.1, XP_031828384.1, XP_031828373.1
OG0000038	XP_015428850.1, XP_015428848.1, XP_015428851.1	XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827452.1, XP_031827413.1
OG0000038	XP_015439294.1, XP_015439293.1	XP_031831172.1, XP_031831171.1, XP_031831170.1
OG0000039	XP_015428729.1	XP_031829822.1, XP_031829824.1, XP_031829823.1
OG0000040	XP_015436163.1	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1
OG0000041	XP_015430124.1	XP_031848981.1, XP_031848932.1
OG0000042	XP_015436228.1, XP_015436225.1	XP_031848630.1, XP_031848628.1, XP_031848631.1, XP_031848621.1
OG0000043	XP_015430085.1	XP_031837423.1, XP_031837422.1, XP_031837424.1, XP_031837418.1, XP_031837419.1, XP_031837415.1, XP_031837416.1, XP_031837417.1, XP_031837420.1
OG0000044	XP_015434933.1, XP_015434934.1	XP_031843159.1, XP_031843160.1, XP_031843157.1, XP_031843158.1, XP_031843156.1, XP_031843147.1, XP_031843154.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843150.1, XP_031843153.1, XP_031843152.1
OG0000046	XP_015431116.1, XP_015431127.1	XP_031834877.1
OG0000047	XP_015436673.1	XP_031826113.1
OG0000047	XP_015438104.1	XP_031839488.1, XP_031838234.1
OG0000047	XP_015435346.1	XP_031839319.1
OG0000048	XP_015440349.1, XP_015435652.1	XP_031848752.1
OG0000048	XP_015435244.1, XP_015437628.1, XP_015429494.1, XP_015436676.1, XP_015433177.1, XP_015434570.1, XP_015437853.1	XP_031848787.1, XP_031841174.1, XP_031848702.1, XP_031843838.1, XP_031838604.1, XP_031828601.1, XP_031836614.1, XP_031842050.1, XP_031847656.1, XP_031836582.1, XP_031827996.1
OG0000049	XP_015435659.1	XP_031842058.1, XP_031837430.1
OG0000050	XP_015430457.1, XP_015430455.1, XP_015430454.1, XP_015430456.1	XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1, XP_031829734.1, XP_031829739.1
OG0000051	XP_015438716.1	XP_031827529.1, XP_031827528.1
OG0000052	XP_015440357.1	XP_031839037.1
OG0000054	XP_015440360.1, XP_015440376.1, XP_015440359.1, XP_015440379.1	XP_031839027.1
OG0000055	XP_015436316.1	XP_031844556.1, XP_031844582.1, XP_031844537.1, XP_031844547.1, XP_031844574.1, XP_031844509.1, XP_031844479.1, XP_031844439.1, XP_031844458.1, XP_031844469.1, XP_031844518.1, XP_031844565.1, XP_031844499.1, XP_031844448.1, XP_031844489.1, XP_031844528.1
OG0000056	XP_015438965.1	XP_031832593.1, XP_031832592.1, XP_031832594.1
OG0000058	XP_015431081.1	XP_031834873.1, XP_031834871.1, XP_031834537.1, XP_031834872.1
OG0000059	XP_015435357.1	XP_031839329.1
OG0000059	XP_015435350.1	XP_031848785.1, XP_031848784.1, XP_031839487.1, XP_031839374.1
OG0000060	XP_015439981.1	XP_031831659.1, XP_031831658.1, XP_031831662.1, XP_031831660.1, XP_031831661.1
OG0000063	XP_015435591.1	XP_031844815.1
OG0000063	XP_015434704.1	XP_031849986.1
OG0000063	XP_015435639.1	XP_031844820.1, XP_031844747.1
OG0000064	XP_015439422.1	XP_031842989.1, XP_031842986.1
OG0000064	XP_015436794.1	XP_031848143.1
OG0000064	XP_015438692.1	XP_031835042.1
OG0000065	XP_015440531.1	XP_031850218.1, XP_031850220.1, XP_031850222.1, XP_031850221.1, XP_031850223.1
OG0000066	XP_015429769.1	XP_031840718.1, XP_031840717.1, XP_031840716.1, XP_031840715.1
OG0000067	XP_015435677.1, XP_015435676.1	XP_031848727.1, XP_031848726.1, XP_031848722.1, XP_031848723.1, XP_031848720.1, XP_031848721.1, XP_031848719.1, XP_031848724.1
OG0000068	XP_015431173.1, XP_015431151.1	XP_031834884.1, XP_031834534.1, XP_031834533.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834881.1, XP_031834879.1, XP_031834538.1, XP_031834536.1, XP_031834824.1
OG0000069	XP_015439140.1	XP_031837357.1, XP_031837367.1, XP_031837312.1, XP_031837319.1, XP_031837284.1, XP_031837302.1, XP_031837338.1, XP_031837349.1, XP_031837294.1, XP_031837276.1, XP_031837329.1
OG0000070	XP_015433091.1	XP_031847208.1
OG0000071	XP_015436200.1	XP_031841059.1, XP_031841084.1, XP_031841094.1, XP_031841068.1, XP_031841103.1, XP_031841113.1, XP_031841076.1, XP_031841042.1, XP_031841121.1, XP_031841129.1, XP_031841052.1
OG0000072	XP_015434855.1, XP_015434863.1	XP_031844649.1, XP_031844644.1, XP_031844648.1, XP_031844646.1, XP_031844645.1
OG0000073	XP_015432205.1	XP_031826266.1, XP_031826326.1
OG0000074	XP_015439018.1	XP_031848136.1, XP_031837098.1, XP_031847205.1, XP_031848703.1, XP_031848282.1, XP_031848281.1, XP_031848280.1, XP_031842170.1
OG0000076	XP_015436046.1	XP_031837857.1, XP_031837858.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837852.1
OG0000077	XP_015434988.1, XP_015434960.1, XP_015434985.1, XP_015434990.1	XP_031834869.1
OG0000078	XP_015438151.1, XP_015435224.1, XP_015439947.1	XP_031836346.1, XP_031829498.1, XP_031836078.1
OG0000079	XP_015434849.1	XP_031843214.1, XP_031843210.1, XP_031843211.1, XP_031843208.1, XP_031843218.1, XP_031843209.1, XP_031843219.1, XP_031843216.1, XP_031843217.1, XP_031843220.1, XP_031843215.1, XP_031843213.1
OG0000080	XP_015436437.1	XP_031826524.1
OG0000081	XP_015437277.1	XP_031835342.1, XP_031835341.1, XP_031835340.1, XP_031835338.1, XP_031835337.1, XP_031835336.1, XP_031835335.1, XP_031835345.1, XP_031835344.1, XP_031835357.1, XP_031835353.1, XP_031835347.1, XP_031835333.1, XP_031835334.1, XP_031835355.1, XP_031835356.1, XP_031835346.1, XP_031835354.1, XP_031835351.1, XP_031835352.1, XP_031835348.1, XP_031835349.1, XP_031835331.1, XP_031835332.1, XP_031835343.1, XP_031835358.1
OG0000082	XP_015435281.1, XP_015435282.1	XP_031847102.1, XP_031847099.1, XP_031847100.1, XP_031847101.1
OG0000083	XP_015435790.1	XP_031844501.1, XP_031844500.1, XP_031844495.1
OG0000085	XP_015436209.1	XP_031842867.1, XP_031842849.1, XP_031842898.1, XP_031842810.1, XP_031842875.1, XP_031842842.1, XP_031842858.1, XP_031842882.1, XP_031842831.1, XP_031842890.1, XP_031842820.1
OG0000086	XP_015439325.1	XP_031843003.1, XP_031842999.1, XP_031843000.1, XP_031843002.1, XP_031843001.1, XP_031843004.1
OG0000087	XP_015438869.1	XP_031835468.1
OG0000089	XP_015436630.1, XP_015435537.1	XP_031829071.1, XP_031839440.1, XP_031829061.1
OG0000090	XP_015430865.1	XP_031845031.1
OG0000091	XP_015440081.1	XP_031831260.1, XP_031831262.1, XP_031831258.1, XP_031831263.1, XP_031831257.1, XP_031831259.1
OG0000093	XP_015428411.1	XP_031835519.1, XP_031835518.1, XP_031835523.1, XP_031835521.1, XP_031835520.1, XP_031835515.1, XP_031835526.1, XP_031835517.1, XP_031835516.1, XP_031835524.1, XP_031835522.1, XP_031835527.1
OG0000094	XP_015431880.1	XP_031831880.1, XP_031831898.1, XP_031831908.1, XP_031831918.1, XP_031831890.1
OG0000095	XP_015438184.1	XP_031840582.1, XP_031840581.1, XP_031840580.1, XP_031840577.1, XP_031840579.1
OG0000096	XP_015434227.1	XP_031840722.1
OG0000097	XP_015431198.1, XP_015431199.1	XP_031838150.1, XP_031838151.1, XP_031838152.1
OG0000098	XP_015438475.1	XP_031830530.1, XP_031830534.1, XP_031830533.1, XP_031830532.1, XP_031830531.1, XP_031830529.1
OG0000099	XP_015430255.1, XP_015430247.1	XP_031832566.1, XP_031832565.1, XP_031832564.1
OG0000101	XP_015432218.1	XP_031826818.1, XP_031826826.1
OG0000102	XP_015429601.1	XP_031834225.1
OG0000103	XP_015435506.1, XP_015435505.1	XP_031829080.1, XP_031829082.1, XP_031829084.1, XP_031829083.1
OG0000104	XP_015439591.1	XP_031847927.1
OG0000104	XP_015439594.1	XP_031847933.1
OG0000105	XP_015432223.1	XP_031843476.1, XP_031843474.1
OG0000108	XP_015438463.1	XP_031830649.1
OG0000109	XP_015430535.1	XP_031829945.1, XP_031829946.1
OG0000110	XP_015436481.1	XP_031837236.1
OG0000112	XP_015431184.1	XP_031834896.1, XP_031834895.1, XP_031834894.1, XP_031834897.1, XP_031834893.1
OG0000113	XP_015440166.1	XP_031828530.1, XP_031828532.1, XP_031828526.1, XP_031828527.1, XP_031828528.1, XP_031828529.1, XP_031828531.1
OG0000114	XP_015434902.1	XP_031843162.1
OG0000115	XP_015428477.1	XP_031826731.1, XP_031826730.1, XP_031826733.1, XP_031826732.1
OG0000116	XP_015434163.1, XP_015434164.1	XP_031848546.1
OG0000117	XP_015440289.1, XP_015440287.1, XP_015440288.1	XP_031829383.1, XP_031829381.1, XP_031829385.1, XP_031829384.1, XP_031829386.1
OG0000118	XP_015435404.1	XP_031844651.1, XP_031844650.1
OG0000119	XP_015431091.1	XP_031840063.1, XP_031838029.1
OG0000120	XP_015438092.1	XP_031840326.1, XP_031840327.1, XP_031840325.1, XP_031840314.1, XP_031840328.1
OG0000121	XP_015431772.1	XP_031846080.1, XP_031846079.1, XP_031846082.1, XP_031846084.1, XP_031846083.1, XP_031846086.1, XP_031846085.1
OG0000122	XP_015430087.1, XP_015430094.1, XP_015430103.1	XP_031844068.1, XP_031844071.1, XP_031844072.1, XP_031844073.1, XP_031844067.1, XP_031844069.1, XP_031844070.1, XP_031844065.1, XP_031844066.1, XP_031844063.1, XP_031844064.1
OG0000124	XP_015436589.1, XP_015436588.1	XP_031842765.1, XP_031842584.1, XP_031842673.1, XP_031842494.1
OG0000126	XP_015428736.1, XP_015428737.1, XP_015428735.1	XP_031846455.1, XP_031846454.1, XP_031846456.1
OG0000127	XP_015432783.1	XP_031844741.1
OG0000128	XP_015440194.1	XP_031825577.1, XP_031825582.1, XP_031825583.1, XP_031825584.1, XP_031825578.1, XP_031825580.1, XP_031825581.1, XP_031825579.1
OG0000129	XP_015436626.1	XP_031828873.1, XP_031828866.1, XP_031828870.1, XP_031828869.1, XP_031828871.1, XP_031828872.1, XP_031828875.1, XP_031828876.1, XP_031828867.1
OG0000130	XP_015429959.1, XP_015429961.1	XP_031826392.1, XP_031826395.1, XP_031826396.1, XP_031826397.1, XP_031826394.1, XP_031826393.1
OG0000131	XP_015437714.1	XP_031848825.1, XP_031848826.1, XP_031848827.1, XP_031848824.1, XP_031848823.1, XP_031848821.1, XP_031848822.1
OG0000132	XP_015433331.1, XP_015433332.1, XP_015433333.1	XP_031833493.1, XP_031833492.1, XP_031833489.1, XP_031833487.1, XP_031833491.1, XP_031833490.1, XP_031833488.1, XP_031833486.1, XP_031833494.1
OG0000133	XP_015434666.1	XP_031826346.1, XP_031830448.1
OG0000134	XP_015431085.1	XP_031848872.1, XP_031836795.1, XP_031836630.1, XP_031836796.1
OG0000135	XP_015430291.1	XP_031826841.1, XP_031826842.1, XP_031826844.1, XP_031826843.1, XP_031826838.1, XP_031826839.1, XP_031826845.1
OG0000136	XP_015435722.1	XP_031842129.1
OG0000139	XP_015440328.1	XP_031834348.1
OG0000140	XP_015428456.1	XP_031826910.1, XP_031826913.1, XP_031826911.1
OG0000141	XP_015434298.1	XP_031844567.1
OG0000142	XP_015440004.1, XP_015440053.1	XP_031839533.1, XP_031839532.1
OG0000143	XP_015436700.1, XP_015436679.1, XP_015436686.1, XP_015436693.1	XP_031840625.1, XP_031840624.1, XP_031840623.1, XP_031840622.1
OG0000144	XP_015433077.1	XP_031847157.1, XP_031847156.1, XP_031847155.1, XP_031847154.1
OG0000145	XP_015439173.1	XP_031846102.1
OG0000146	XP_015436896.1	XP_031842445.1, XP_031842444.1, XP_031842442.1, XP_031842451.1, XP_031842450.1, XP_031842446.1, XP_031842452.1, XP_031842453.1, XP_031842454.1, XP_031842455.1, XP_031842456.1, XP_031842457.1, XP_031842443.1, XP_031842447.1, XP_031842448.1
OG0000147	XP_015429248.1	XP_031839076.1
OG0000148	XP_015436232.1	XP_031841728.1
OG0000149	XP_015433364.1	XP_031825620.1, XP_031825618.1, XP_031825619.1
OG0000150	XP_015437621.1	XP_031826632.1, XP_031826634.1, XP_031826630.1, XP_031826633.1
OG0000151	XP_015430154.1	XP_031834986.1, XP_031834984.1, XP_031834995.1, XP_031834989.1, XP_031834994.1, XP_031834993.1, XP_031834987.1, XP_031834997.1, XP_031834985.1, XP_031834996.1, XP_031834988.1, XP_031834991.1, XP_031834992.1
OG0000152	XP_015429021.1	XP_031847213.1
OG0000153	XP_015439280.1	XP_031829450.1
OG0000153	XP_015431878.1, XP_015434213.1, XP_015436654.1	XP_031847203.1
OG0000155	XP_015430002.1	XP_031828345.1
OG0000156	XP_015429114.1	XP_031839547.1
OG0000157	XP_015438169.1	XP_031827941.1, XP_031829540.1
OG0000158	XP_015439412.1	XP_031842819.1, XP_031842816.1, XP_031842817.1, XP_031842818.1, XP_031842823.1, XP_031842824.1, XP_031842821.1, XP_031842822.1, XP_031842827.1, XP_031842828.1, XP_031842825.1, XP_031842826.1
OG0000159	XP_015438519.1	XP_031830558.1, XP_031830557.1
OG0000160	XP_015436511.1	XP_031848508.1
OG0000160	XP_015436510.1	XP_031838513.1, XP_031838509.1, XP_031838516.1
OG0000161	XP_015438642.1	XP_031827467.1, XP_031827469.1, XP_031827464.1, XP_031827465.1, XP_031827463.1, XP_031827468.1
OG0000162	XP_015429975.1	XP_031840589.1, XP_031840588.1, XP_031840587.1
OG0000163	XP_015438423.1	XP_031848261.1, XP_031848263.1, XP_031848262.1
OG0000164	XP_015437557.1, XP_015437559.1, XP_015437558.1	XP_031843950.1, XP_031843942.1, XP_031843962.1
OG0000165	XP_015431086.1	XP_031843663.1, XP_031843664.1, XP_031843666.1, XP_031843667.1, XP_031843668.1, XP_031843669.1, XP_031843670.1, XP_031843671.1, XP_031843665.1
OG0000166	XP_015429867.1	XP_031826538.1
OG0000168	XP_015439792.1	XP_031833470.1
OG0000168	XP_015439652.1	XP_031833468.1
OG0000169	XP_015436217.1	XP_031842422.1, XP_031842364.1, XP_031842384.1, XP_031842395.1, XP_031842406.1, XP_031842344.1, XP_031842328.1, XP_031842335.1, XP_031842374.1, XP_031842355.1, XP_031842413.1
OG0000170	XP_015434496.1	XP_031846753.1
OG0000172	XP_015430802.1	XP_031845337.1
OG0000172	XP_015434046.1	XP_031845460.1, XP_031832931.1
OG0000173	XP_015432862.1	XP_031846922.1, XP_031846915.1
OG0000174	XP_015431688.1	XP_031846059.1, XP_031846055.1, XP_031846054.1, XP_031846053.1, XP_031846060.1, XP_031846061.1, XP_031846057.1, XP_031846056.1
OG0000175	XP_015437287.1	XP_031849329.1, XP_031849330.1, XP_031849331.1, XP_031849324.1, XP_031849325.1, XP_031849326.1, XP_031849327.1, XP_031849332.1, XP_031849333.1, XP_031849328.1
OG0000176	XP_015433628.1	XP_031840772.1
OG0000177	XP_015432556.1	XP_031840749.1
OG0000178	XP_015431680.1, XP_015431679.1	XP_031842331.1
OG0000179	XP_015432369.1	XP_031827770.1, XP_031827777.1, XP_031827778.1, XP_031827775.1, XP_031827776.1, XP_031827773.1, XP_031827774.1, XP_031827771.1, XP_031827779.1, XP_031827780.1, XP_031827772.1, XP_031827784.1, XP_031827783.1, XP_031827781.1
OG0000180	XP_015432607.1, XP_015432609.1, XP_015432608.1	XP_031846259.1, XP_031846257.1, XP_031846251.1, XP_031846252.1, XP_031846249.1, XP_031846250.1, XP_031846255.1, XP_031846256.1, XP_031846253.1, XP_031846254.1
OG0000181	XP_015439359.1	XP_031829459.1
OG0000182	XP_015436440.1, XP_015436439.1, XP_015436438.1, XP_015436441.1	XP_031845190.1, XP_031845201.1, XP_031845183.1, XP_031845175.1, XP_031845164.1
OG0000183	XP_015430027.1, XP_015430036.1	XP_031841922.1
OG0000184	XP_015431426.1, XP_015431427.1, XP_015431425.1	XP_031843826.1
OG0000185	XP_015438013.1	XP_031839046.1, XP_031839047.1, XP_031839045.1, XP_031839042.1, XP_031839049.1, XP_031839050.1, XP_031839051.1, XP_031839048.1
OG0000186	XP_015433541.1	XP_031846589.1
OG0000187	XP_015434347.1	XP_031840643.1, XP_031840642.1, XP_031840644.1
OG0000188	XP_015429150.1	XP_031834940.1, XP_031834931.1, XP_031834951.1, XP_031834920.1, XP_031834961.1, XP_031834990.1, XP_031834980.1, XP_031834971.1
OG0000189	XP_015432676.1	XP_031833718.1, XP_031833708.1, XP_031833692.1, XP_031833665.1, XP_031833683.1, XP_031833674.1, XP_031833699.1
OG0000190	XP_015431829.1	XP_031839803.1, XP_031839804.1, XP_031839801.1
OG0000191	XP_015434653.1, XP_015434652.1	XP_031838015.1, XP_031838016.1, XP_031838012.1, XP_031838013.1
OG0000192	XP_015434228.1	XP_031844525.1, XP_031844526.1, XP_031844527.1, XP_031844523.1, XP_031844522.1, XP_031844524.1
OG0000193	XP_015437702.1, XP_015437695.1	XP_031840422.1, XP_031840425.1, XP_031840424.1, XP_031840419.1, XP_031840420.1, XP_031840421.1, XP_031840423.1, XP_031840426.1
OG0000194	XP_015437727.1	XP_031849209.1, XP_031849210.1, XP_031849207.1, XP_031849208.1
OG0000195	XP_015433329.1, XP_015433328.1, XP_015433330.1	XP_031831492.1, XP_031831488.1, XP_031831489.1, XP_031831490.1
OG0000197	XP_015430868.1	XP_031848020.1
OG0000198	XP_015439765.1, XP_015439830.1, XP_015439764.1, XP_015439837.1	XP_031833782.1
OG0000200	XP_015436844.1	XP_031837412.1
OG0000201	XP_015436162.1	XP_031838019.1
OG0000202	XP_015437325.1	XP_031849419.1
OG0000203	XP_015430231.1	XP_031848090.1, XP_031848091.1
OG0000204	XP_015431509.1, XP_015431511.1, XP_015431510.1	XP_031836865.1, XP_031836867.1, XP_031836864.1
OG0000205	XP_015433280.1	XP_031831465.1
OG0000206	XP_015431498.1, XP_015431497.1	XP_031849567.1, XP_031849568.1, XP_031849564.1, XP_031849566.1
OG0000207	XP_015429188.1	XP_031848677.1
OG0000208	XP_015430478.1	XP_031829976.1
OG0000209	XP_015436281.1	XP_031838107.1, XP_031838108.1
OG0000211	XP_015430485.1	XP_031829902.1, XP_031829901.1
OG0000212	XP_015438832.1, XP_015438831.1, XP_015438830.1	XP_031835362.1, XP_031835361.1, XP_031835360.1
OG0000213	XP_015432870.1, XP_015432869.1, XP_015432866.1, XP_015432868.1, XP_015432867.1	XP_031839444.1
OG0000214	XP_015430841.1, XP_015430849.1	XP_031842082.1, XP_031842079.1, XP_031842078.1, XP_031842077.1, XP_031842081.1, XP_031842083.1
OG0000215	XP_015434230.1	XP_031850345.1, XP_031850348.1, XP_031850346.1, XP_031850349.1
OG0000216	XP_015437199.1	XP_031838620.1
OG0000217	XP_015431233.1	XP_031838211.1
OG0000218	XP_015432437.1	XP_031842770.1
OG0000218	XP_015432430.1	XP_031842761.1, XP_031842764.1, XP_031842767.1, XP_031842763.1, XP_031842762.1, XP_031842768.1
OG0000219	XP_015439988.1	XP_031831634.1, XP_031831636.1, XP_031831637.1, XP_031831639.1, XP_031831635.1
OG0000220	XP_015433093.1, XP_015434209.1	XP_031828555.1
OG0000221	XP_015439085.1	XP_031832861.1, XP_031832863.1, XP_031832846.1, XP_031832848.1, XP_031832850.1, XP_031832849.1, XP_031832862.1, XP_031832854.1, XP_031832851.1, XP_031832852.1, XP_031832857.1, XP_031832858.1, XP_031832855.1, XP_031832856.1, XP_031832859.1, XP_031832853.1, XP_031832860.1
OG0000222	XP_015438542.1	XP_031830443.1
OG0000222	XP_015428940.1	XP_031847772.1, XP_031847770.1, XP_031847771.1, XP_031847768.1, XP_031847769.1
OG0000223	XP_015434738.1	XP_031829282.1, XP_031829279.1, XP_031829280.1, XP_031829276.1, XP_031829278.1, XP_031829277.1
OG0000224	XP_015430929.1	XP_031829567.1, XP_031829557.1, XP_031829575.1, XP_031829584.1
OG0000226	XP_015434860.1	XP_031825781.1, XP_031825780.1, XP_031825779.1, XP_031825785.1, XP_031825786.1, XP_031825783.1, XP_031825784.1, XP_031825782.1
OG0000227	XP_015436973.1, XP_015436974.1, XP_015436975.1	XP_031829453.1
OG0000227	XP_015436971.1	XP_031829454.1
OG0000228	XP_015435414.1, XP_015435413.1	XP_031828212.1, XP_031828211.1
OG0000229	XP_015436804.1	XP_031838232.1
OG0000230	XP_015433097.1, XP_015433098.1, XP_015433099.1	XP_031828640.1
OG0000231	XP_015434546.1	XP_031834247.1
OG0000232	XP_015432406.1	XP_031832370.1, XP_031832369.1
OG0000233	XP_015431093.1	XP_031843677.1, XP_031843676.1, XP_031843680.1, XP_031843678.1, XP_031843679.1
OG0000234	XP_015437503.1	XP_031830083.1
OG0000235	XP_015435834.1	XP_031844539.1
OG0000236	XP_015429983.1	XP_031826120.1
OG0000237	XP_015436500.1	XP_031846993.1, XP_031846994.1, XP_031846992.1
OG0000238	XP_015439918.1	XP_031831187.1, XP_031831186.1, XP_031831197.1, XP_031831190.1, XP_031831191.1, XP_031831188.1, XP_031831189.1, XP_031831194.1, XP_031831195.1, XP_031831192.1, XP_031831193.1, XP_031831184.1
OG0000239	XP_015436567.1	XP_031840694.1, XP_031846513.1, XP_031846649.1
OG0000240	XP_015431041.1	XP_031837983.1, XP_031837982.1, XP_031837977.1, XP_031837976.1, XP_031837979.1, XP_031837978.1, XP_031837981.1, XP_031837980.1, XP_031837984.1
OG0000241	XP_015428795.1	XP_031829831.1, XP_031829833.1, XP_031829832.1, XP_031829834.1
OG0000242	XP_015436608.1	XP_031828014.1, XP_031828185.1, XP_031828190.1, XP_031828188.1, XP_031828186.1, XP_031828187.1
OG0000243	XP_015438163.1	XP_031828042.1, XP_031828041.1, XP_031828038.1, XP_031828037.1, XP_031828040.1, XP_031828043.1, XP_031828039.1
OG0000244	XP_015434318.1	XP_031836871.1, XP_031836868.1
OG0000245	XP_015438086.1, XP_015438085.1, XP_015438084.1	XP_031845985.1, XP_031845983.1, XP_031845984.1, XP_031845986.1
OG0000246	XP_015430155.1	XP_031842124.1, XP_031842127.1
OG0000247	XP_015430038.1, XP_015430037.1	XP_031826142.1
OG0000248	XP_015428745.1, XP_015428747.1, XP_015428748.1	XP_031829314.1, XP_031829324.1
OG0000249	XP_015428718.1, XP_015428722.1, XP_015428720.1	XP_031846477.1, XP_031846470.1, XP_031846471.1
OG0000250	XP_015436838.1	XP_031837558.1, XP_031837555.1, XP_031837556.1
