Orthogroup	Dufourea_novaeangliae	Megalopta_genalis
OG0000070	XP_015433091.1	XP_033330676.1, XP_033330685.1, XP_033330686.1, XP_033330689.1, XP_033330692.1, XP_033330678.1, XP_033330679.1, XP_033330690.1, XP_033330677.1, XP_033330674.1, XP_033330675.1, XP_033330687.1, XP_033330688.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1
OG0000071	XP_015436200.1	XP_033333385.1
OG0000072	XP_015434855.1, XP_015434863.1	XP_033341823.1, XP_033341838.1, XP_033341847.1, XP_033341813.1, XP_033341832.1
OG0000073	XP_015432205.1	XP_033330026.1, XP_033330029.1
OG0000074	XP_015438918.1	XP_033323885.1, XP_033323887.1
OG0000074	XP_015439018.1	XP_033323886.1, XP_033323896.1
OG0000076	XP_015436046.1	XP_033334963.1, XP_033334929.1, XP_033334954.1, XP_033334945.1, XP_033334936.1
OG0000077	XP_015434988.1, XP_015434960.1, XP_015434985.1, XP_015434990.1	XP_033322600.1
OG0000078	XP_015438151.1, XP_015435224.1, XP_015439947.1	XP_033326692.1, XP_033331288.1
OG0000079	XP_015434849.1	XP_033324601.1
OG0000080	XP_015436437.1	XP_033328473.1
OG0000081	XP_015437277.1	XP_033342457.1, XP_033342461.1
OG0000082	XP_015435281.1, XP_015435282.1	XP_033341517.1
OG0000083	XP_015435790.1	XP_033323244.1, XP_033323243.1, XP_033323242.1, XP_033323241.1
OG0000085	XP_015436209.1	XP_033334351.1, XP_033334352.1
OG0000087	XP_015438869.1	XP_033342872.1
OG0000089	XP_015436630.1, XP_015435537.1	XP_033334507.1, XP_033334506.1, XP_033334502.1, XP_033334501.1, XP_033334500.1, XP_033334508.1, XP_033334505.1, XP_033334495.1, XP_033334489.1, XP_033334497.1, XP_033334490.1, XP_033334498.1, XP_033334499.1
OG0000090	XP_015430865.1	XP_033338119.1, XP_033338120.1, XP_033338121.1, XP_033338123.1, XP_033338118.1, XP_033338124.1
OG0000091	XP_015440081.1	XP_033323823.1, XP_033323824.1, XP_033323821.1, XP_033323822.1
OG0000093	XP_015428411.1	XP_033342589.1, XP_033342588.1, XP_033342587.1, XP_033342590.1, XP_033342594.1, XP_033342595.1, XP_033342586.1, XP_033342593.1
OG0000094	XP_015431880.1	XP_033341961.1, XP_033341964.1, XP_033341962.1, XP_033341963.1
OG0000095	XP_015438184.1	XP_033340438.1, XP_033340437.1, XP_033340435.1, XP_033340436.1
OG0000096	XP_015434227.1	XP_033327190.1
OG0000097	XP_015431198.1, XP_015431199.1	XP_033339361.1, XP_033339360.1, XP_033339359.1, XP_033339357.1, XP_033339358.1
OG0000098	XP_015438475.1	XP_033339580.1
OG0000099	XP_015430255.1, XP_015430247.1	XP_033340259.1, XP_033340261.1, XP_033340260.1, XP_033340258.1
OG0000100	XP_015438890.1	XP_033323173.1
OG0000101	XP_015432218.1	XP_033326283.1
OG0000102	XP_015429601.1	XP_033333983.1, XP_033333985.1, XP_033333982.1
OG0000103	XP_015435506.1, XP_015435505.1	XP_033334793.1, XP_033334791.1, XP_033334792.1
OG0000104	XP_015439591.1	XP_033325779.1
OG0000105	XP_015432223.1	XP_033330005.1, XP_033330008.1, XP_033330004.1, XP_033330007.1, XP_033330006.1, XP_033330009.1
OG0000107	XP_015431640.1	XP_033333536.1, XP_033332759.1
OG0000109	XP_015430535.1	XP_033337630.1, XP_033337629.1, XP_033337631.1
OG0000110	XP_015436479.1	XP_033336486.1, XP_033336485.1
OG0000113	XP_015440166.1	XP_033324463.1, XP_033324455.1, XP_033324487.1, XP_033324472.1, XP_033324481.1
OG0000114	XP_015434902.1	XP_033324702.1
OG0000115	XP_015428477.1	XP_033338597.1, XP_033338594.1, XP_033338596.1, XP_033338595.1, XP_033338590.1, XP_033338592.1, XP_033338591.1, XP_033338593.1
OG0000116	XP_015434163.1, XP_015434164.1	XP_033335852.1, XP_033335851.1, XP_033335854.1, XP_033335853.1
OG0000117	XP_015440289.1, XP_015440287.1	XP_033320777.1
OG0000117	XP_015440288.1	XP_033320785.1
OG0000118	XP_015435404.1	XP_033341864.1, XP_033341872.1
OG0000119	XP_015431091.1	XP_033333649.1
OG0000120	XP_015438092.1	XP_033337565.1, XP_033337616.1, XP_033337576.1, XP_033337589.1, XP_033337322.1, XP_033337603.1, XP_033337334.1, XP_033337342.1, XP_033337637.1, XP_033337625.1
OG0000121	XP_015431772.1	XP_033329737.1
OG0000122	XP_015430087.1, XP_015430094.1, XP_015430103.1	XP_033340167.1, XP_033340169.1
OG0000124	XP_015436589.1, XP_015436588.1	XP_033335144.1, XP_033335143.1, XP_033335142.1, XP_033335145.1
OG0000125	XP_015436982.1, XP_015436981.1, XP_015436985.1, XP_015436987.1, XP_015436980.1	XP_033322509.1, XP_033338371.1, XP_033338373.1
OG0000126	XP_015428736.1, XP_015428737.1, XP_015428735.1	XP_033332905.1, XP_033332906.1, XP_033332896.1, XP_033332898.1, XP_033332899.1, XP_033332902.1, XP_033332904.1, XP_033332900.1, XP_033332901.1
OG0000127	XP_015432783.1	XP_033325356.1
OG0000128	XP_015440194.1	XP_033337265.1, XP_033337266.1, XP_033337267.1, XP_033337269.1, XP_033337270.1, XP_033337268.1
OG0000129	XP_015436626.1	XP_033324466.1, XP_033324465.1, XP_033324464.1
OG0000130	XP_015429959.1, XP_015429961.1	XP_033331923.1, XP_033331924.1, XP_033331922.1
OG0000131	XP_015437714.1	XP_033342656.1, XP_033342657.1, XP_033342660.1, XP_033342658.1, XP_033342659.1, XP_033342655.1
OG0000132	XP_015433331.1, XP_015433332.1, XP_015433333.1	XP_033328245.1
OG0000133	XP_015434666.1	XP_033325792.1, XP_033332603.1, XP_033326446.1
OG0000134	XP_015431085.1	XP_033333680.1, XP_033333360.1, XP_033339825.1, XP_033333679.1, XP_033333681.1
OG0000135	XP_015430291.1	XP_033335530.1, XP_033335529.1, XP_033335528.1, XP_033335531.1
OG0000136	XP_015435722.1	XP_033329188.1
OG0000136	XP_015436675.1	XP_033324576.1, XP_033335544.1
OG0000137	XP_015436661.1, XP_015433556.1	XP_033326115.1
OG0000139	XP_015440328.1	XP_033326623.1
OG0000140	XP_015428456.1	XP_033332465.1, XP_033332464.1
OG0000141	XP_015434298.1	XP_033322099.1, XP_033322094.1, XP_033322100.1, XP_033322098.1, XP_033322097.1, XP_033322095.1
OG0000142	XP_015440004.1, XP_015440053.1	XP_033329994.1, XP_033332455.1, XP_033332539.1
OG0000142	XP_015438691.1	XP_033330080.1, XP_033330079.1
OG0000143	XP_015436700.1, XP_015436679.1, XP_015436686.1	XP_033340309.1
OG0000143	XP_015436693.1	XP_033340308.1
OG0000144	XP_015433077.1	XP_033328638.1, XP_033328637.1, XP_033328636.1
OG0000146	XP_015436896.1	XP_033335472.1
OG0000147	XP_015429248.1	XP_033329204.1, XP_033329208.1, XP_033329209.1, XP_033329205.1, XP_033329207.1, XP_033329210.1
OG0000148	XP_015436232.1	XP_033334305.1, XP_033334302.1, XP_033334301.1, XP_033334304.1
OG0000149	XP_015433364.1	XP_033332751.1
OG0000150	XP_015437621.1	XP_033340372.1, XP_033340373.1, XP_033340375.1, XP_033340374.1
OG0000151	XP_015430154.1	XP_033340563.1
OG0000152	XP_015429021.1	XP_033323605.1, XP_033323606.1
OG0000153	XP_015439280.1	XP_033326113.1, XP_033326118.1
OG0000153	XP_015431878.1, XP_015434213.1, XP_015436654.1	XP_033330936.1
OG0000154	XP_015436990.1, XP_015437810.1, XP_015438039.1	XP_033328449.1, XP_033329898.1
OG0000155	XP_015430002.1	XP_033339983.1
OG0000156	XP_015429114.1	XP_033338224.1
OG0000157	XP_015438169.1	XP_033340890.1, XP_033339792.1, XP_033340886.1
OG0000158	XP_015439412.1	XP_033324595.1, XP_033324597.1, XP_033324598.1, XP_033324600.1, XP_033324596.1, XP_033324599.1
OG0000159	XP_015438519.1	XP_033341034.1, XP_033341035.1, XP_033341036.1, XP_033341044.1, XP_033341039.1, XP_033341042.1, XP_033341043.1, XP_033341041.1, XP_033341033.1, XP_033341032.1, XP_033341037.1, XP_033341038.1
OG0000160	XP_015436511.1	XP_033334444.1, XP_033334451.1
OG0000160	XP_015436510.1	XP_033334453.1
OG0000161	XP_015438642.1	XP_033338617.1, XP_033338616.1, XP_033338842.1
OG0000162	XP_015429975.1	XP_033340314.1, XP_033340315.1, XP_033340313.1, XP_033340310.1
OG0000163	XP_015438423.1	XP_033325441.1
OG0000164	XP_015437557.1, XP_015437559.1, XP_015437558.1	XP_033331312.1, XP_033331313.1
OG0000165	XP_015431086.1	XP_033333308.1, XP_033333301.1, XP_033333312.1, XP_033333320.1
OG0000166	XP_015429867.1	XP_033328363.1
OG0000169	XP_015436217.1	XP_033332192.1
OG0000170	XP_015434496.1	XP_033323045.1, XP_033322951.1
OG0000171	XP_015436562.1	XP_033334479.1
OG0000172	XP_015430802.1	XP_033338100.1
OG0000172	XP_015434046.1	XP_033338102.1, XP_033330917.1
OG0000173	XP_015432862.1	XP_033341477.1, XP_033341474.1, XP_033341487.1, XP_033341483.1
OG0000174	XP_015431688.1	XP_033329797.1
OG0000175	XP_015437287.1	XP_033342393.1
OG0000176	XP_015433628.1	XP_033321740.1, XP_033321739.1
OG0000177	XP_015432556.1	XP_033321839.1
OG0000178	XP_015431678.1, XP_015431789.1	XP_033335187.1
OG0000178	XP_015431679.1	XP_033326630.1, XP_033335186.1, XP_033335200.1, XP_033335199.1, XP_033335198.1
OG0000179	XP_015432369.1	XP_033323438.1
OG0000180	XP_015432607.1, XP_015432609.1, XP_015432608.1	XP_033325819.1, XP_033325821.1, XP_033325822.1
OG0000181	XP_015439359.1	XP_033322282.1, XP_033322281.1, XP_033322284.1, XP_033322283.1, XP_033322286.1, XP_033322285.1
OG0000182	XP_015436440.1, XP_015436439.1, XP_015436438.1, XP_015436441.1	XP_033321343.1, XP_033321342.1, XP_033321344.1
OG0000183	XP_015430027.1, XP_015430036.1	XP_033328687.1
OG0000184	XP_015431426.1, XP_015431427.1, XP_015431425.1	XP_033325763.1
OG0000185	XP_015438013.1	XP_033320838.1, XP_033320836.1, XP_033320837.1
OG0000186	XP_015433541.1	XP_033337784.1
OG0000187	XP_015434347.1	XP_033329875.1, XP_033329874.1
OG0000188	XP_015429150.1	XP_033321545.1, XP_033321544.1
OG0000189	XP_015432676.1	XP_033334134.1
OG0000190	XP_015431829.1	XP_033337368.1, XP_033337377.1, XP_033337357.1
OG0000191	XP_015434653.1, XP_015434652.1	XP_033322576.1
OG0000192	XP_015434228.1	XP_033322054.1, XP_033322055.1
OG0000193	XP_015437702.1, XP_015437695.1	XP_033340517.1, XP_033340518.1
OG0000194	XP_015437727.1	XP_033342648.1, XP_033342647.1, XP_033342649.1, XP_033342645.1, XP_033342644.1
OG0000195	XP_015433329.1, XP_015433328.1, XP_015433330.1	XP_033321430.1, XP_033321431.1, XP_033321429.1
OG0000197	XP_015430868.1	XP_033331112.1, XP_033339815.1, XP_033323538.1, XP_033323537.1, XP_033323540.1
OG0000197	XP_015429676.1	XP_033339896.1
OG0000198	XP_015439765.1, XP_015439830.1, XP_015439764.1, XP_015439837.1	XP_033322502.1, XP_033339875.1, XP_033322501.1, XP_033322500.1, XP_033322503.1
OG0000200	XP_015436844.1	XP_033326152.1, XP_033326153.1, XP_033326154.1, XP_033326155.1, XP_033326156.1, XP_033326151.1
OG0000201	XP_015436162.1	XP_033339218.1
OG0000202	XP_015437325.1	XP_033342968.1, XP_033342969.1, XP_033342966.1, XP_033342965.1, XP_033342964.1
OG0000203	XP_015430231.1	XP_033336084.1
OG0000204	XP_015431509.1, XP_015431511.1, XP_015431510.1	XP_033322184.1, XP_033322183.1, XP_033322176.1, XP_033322177.1
OG0000205	XP_015433280.1	XP_033333094.1
OG0000206	XP_015431498.1, XP_015431497.1	XP_033321632.1, XP_033321633.1
OG0000207	XP_015429188.1	XP_033329549.1, XP_033329550.1, XP_033329551.1, XP_033329552.1
OG0000208	XP_015430478.1	XP_033330350.1, XP_033330348.1, XP_033330352.1, XP_033330353.1, XP_033330349.1, XP_033330351.1
OG0000209	XP_015436281.1	XP_033321121.1, XP_033321122.1
OG0000210	XP_015432472.1	XP_033324748.1
OG0000211	XP_015430485.1	XP_033330324.1, XP_033330323.1
OG0000212	XP_015438832.1, XP_015438831.1, XP_015438830.1	XP_033342456.1, XP_033342455.1, XP_033342453.1
OG0000213	XP_015432870.1, XP_015432869.1, XP_015432866.1, XP_015432868.1, XP_015432867.1	XP_033322907.1, XP_033322909.1, XP_033322906.1, XP_033322908.1
OG0000214	XP_015430841.1, XP_015430849.1	XP_033325212.1, XP_033325213.1
OG0000215	XP_015434230.1	XP_033323142.1
OG0000216	XP_015437199.1	XP_033323741.1, XP_033323739.1, XP_033323740.1
OG0000217	XP_015431233.1	XP_033321019.1, XP_033321020.1
OG0000218	XP_015432437.1	XP_033324848.1
OG0000218	XP_015432430.1	XP_033324846.1
OG0000219	XP_015439988.1	XP_033324531.1, XP_033324539.1, XP_033324524.1, XP_033324510.1, XP_033324519.1
OG0000220	XP_015433093.1, XP_015434209.1	XP_033328845.1, XP_033335222.1, XP_033335513.1, XP_033324575.1, XP_033324992.1, XP_033335291.1, XP_033335305.1, XP_033339857.1, XP_033335510.1, XP_033335471.1, XP_033335515.1, XP_033339328.1, XP_033335514.1, XP_033335512.1, XP_033335511.1, XP_033335309.1, XP_033331754.1, XP_033321453.1
OG0000221	XP_015439085.1	XP_033335782.1, XP_033335781.1, XP_033335780.1
OG0000222	XP_015438542.1	XP_033340878.1
OG0000222	XP_015428940.1	XP_033331406.1
OG0000223	XP_015434738.1	XP_033330464.1, XP_033330462.1, XP_033330463.1
OG0000224	XP_015430929.1	XP_033337798.1, XP_033337797.1, XP_033337796.1
OG0000225	XP_015435168.1	XP_033323549.1
OG0000226	XP_015434860.1	XP_033339886.1, XP_033339893.1, XP_033339899.1, XP_033339905.1
OG0000227	XP_015436973.1, XP_015436974.1, XP_015436975.1	XP_033341624.1
OG0000227	XP_015436971.1	XP_033341626.1
OG0000228	XP_015435414.1, XP_015435413.1	XP_033328835.1, XP_033330123.1
OG0000229	XP_015436804.1	XP_033339441.1
OG0000230	XP_015433097.1, XP_015433098.1, XP_015433099.1	XP_033331798.1, XP_033331801.1, XP_033331802.1, XP_033331799.1, XP_033331800.1, XP_033331803.1
OG0000231	XP_015434546.1	XP_033333198.1
OG0000232	XP_015432406.1	XP_033331541.1, XP_033331557.1, XP_033331549.1, XP_033331564.1, XP_033331533.1
OG0000233	XP_015431093.1	XP_033333343.1, XP_033333334.1, XP_033333350.1
OG0000234	XP_015437503.1	XP_033337469.1
OG0000235	XP_015435834.1	XP_033323099.1, XP_033323100.1
OG0000236	XP_015429983.1	XP_033328401.1
OG0000237	XP_015436500.1	XP_033324532.1
OG0000238	XP_015439918.1	XP_033332150.1
OG0000239	XP_015436567.1	XP_033334973.1
OG0000240	XP_015431041.1	XP_033337696.1
OG0000241	XP_015428795.1	XP_033327460.1, XP_033327459.1, XP_033327458.1
OG0000242	XP_015436608.1	XP_033328430.1, XP_033328429.1, XP_033328391.1, XP_033327890.1
OG0000243	XP_015438163.1	XP_033340737.1, XP_033340738.1, XP_033340739.1
OG0000244	XP_015434318.1	XP_033338068.1, XP_033337989.1, XP_033337902.1, XP_033338145.1
OG0000245	XP_015438086.1, XP_015438085.1, XP_015438084.1	XP_033322573.1, XP_033322572.1, XP_033322571.1
OG0000246	XP_015430155.1	XP_033326778.1, XP_033326780.1
OG0000247	XP_015430038.1, XP_015430037.1	XP_033328483.1, XP_033328484.1, XP_033328485.1, XP_033328486.1, XP_033328487.1
OG0000248	XP_015428745.1, XP_015428747.1, XP_015428748.1	XP_033329923.1
OG0000249	XP_015428718.1, XP_015428722.1, XP_015428720.1	XP_033327591.1, XP_033327610.1
OG0000250	XP_015436838.1	XP_033326206.1
OG0000251	XP_015433212.1, XP_015433213.1, XP_015433214.1	XP_033342906.1, XP_033342925.1, XP_033342916.1, XP_033342897.1, XP_033342933.1, XP_033342942.1, XP_033342888.1
OG0000252	XP_015439601.1, XP_015439599.1	XP_033325470.1, XP_033325469.1, XP_033325468.1
OG0000253	XP_015428727.1, XP_015428670.1	XP_033329957.1, XP_033329958.1
OG0000254	XP_015435781.1	XP_033327765.1
OG0000255	XP_015439251.1	XP_033336696.1, XP_033336697.1, XP_033336698.1, XP_033336699.1, XP_033336695.1, XP_033336694.1, XP_033336700.1
OG0000257	XP_015434092.1, XP_015434094.1, XP_015434091.1, XP_015434090.1, XP_015434093.1	XP_033336466.1
OG0000258	XP_015434468.1	XP_033325255.1, XP_033325257.1, XP_033325256.1
OG0000259	XP_015436712.1, XP_015436714.1, XP_015436713.1	XP_033330960.1
OG0000260	XP_015435795.1	XP_033331181.1, XP_033331182.1
OG0000260	XP_015429633.1	XP_033333187.1, XP_033333186.1, XP_033333184.1, XP_033333183.1, XP_033333176.1, XP_033333175.1, XP_033333178.1, XP_033333177.1, XP_033333180.1, XP_033333179.1, XP_033333185.1, XP_033333182.1, XP_033333188.1
OG0000261	XP_015430515.1	XP_033330331.1
OG0000262	XP_015429586.1	XP_033333152.1, XP_033333149.1
OG0000263	XP_015435613.1, XP_015435612.1	XP_033341585.1
OG0000264	XP_015438442.1, XP_015438443.1, XP_015438441.1	XP_033339585.1, XP_033339584.1, XP_033339586.1
OG0000265	XP_015440522.1	XP_033342478.1
OG0000266	XP_015433994.1, XP_015433993.1	XP_033342066.1, XP_033342063.1, XP_033342064.1
OG0000267	XP_015435023.1	XP_033334256.1
OG0000268	XP_015432942.1, XP_015432950.1	XP_033334129.1, XP_033334130.1, XP_033334127.1, XP_033334128.1, XP_033334131.1, XP_033334133.1
OG0000269	XP_015430099.1	XP_033326133.1, XP_033326130.1, XP_033326131.1, XP_033326129.1, XP_033326132.1
OG0000270	XP_015433275.1	XP_033333075.1, XP_033333074.1, XP_033333073.1, XP_033333072.1, XP_033333076.1
OG0000271	XP_015437477.1	XP_033329982.1
OG0000272	XP_015431399.1	XP_033320874.1, XP_033320873.1
OG0000273	XP_015430495.1	XP_033332574.1, XP_033332573.1, XP_033332572.1, XP_033332575.1
OG0000274	XP_015428714.1	XP_033323280.1
OG0000275	XP_015432084.1, XP_015432171.1, XP_015432170.1	XP_033326341.1
OG0000276	XP_015433084.1	XP_033327639.1, XP_033327679.1
OG0000277	XP_015432611.1	XP_033339626.1
OG0000278	XP_015432640.1	XP_033339044.1
OG0000279	XP_015429328.1	XP_033339021.1
OG0000280	XP_015438081.1	XP_033321480.1, XP_033326810.1
OG0000281	XP_015431667.1	XP_033332362.1, XP_033332363.1
OG0000282	XP_015430519.1	XP_033326176.1
OG0000284	XP_015432508.1	XP_033341565.1
OG0000285	XP_015439365.1	XP_033341672.1
OG0000286	XP_015430330.1	XP_033338667.1, XP_033338669.1, XP_033338668.1
OG0000287	XP_015438755.1	XP_033330907.1, XP_033330906.1
OG0000288	XP_015440120.1	XP_033325998.1, XP_033325997.1
OG0000289	XP_015439048.1	XP_033335960.1, XP_033335959.1
OG0000290	XP_015429963.1	XP_033331878.1
OG0000291	XP_015433942.1	XP_033333701.1, XP_033333702.1, XP_033333700.1
OG0000293	XP_015437071.1	XP_033330908.1, XP_033330894.1, XP_033330900.1, XP_033330884.1
OG0000294	XP_015428439.1, XP_015428441.1, XP_015428440.1	XP_033338737.1
OG0000295	XP_015429618.1	XP_033329400.1
OG0000296	XP_015429506.1	XP_033322264.1, XP_033322263.1, XP_033322266.1, XP_033322265.1, XP_033322267.1
OG0000297	XP_015435125.1	XP_033333226.1, XP_033333223.1, XP_033333222.1, XP_033333225.1, XP_033333221.1
OG0000298	XP_015428647.1, XP_015428648.1, XP_015428649.1	XP_033323439.1
OG0000299	XP_015436446.1	XP_033323803.1
OG0000299	XP_015436448.1	XP_033323805.1
