Orthogroup	Dufourea_novaeangliae	Bombus_terrestris
OG0000058	XP_015431081.1	XP_003393905.1, XP_020723934.1
OG0000059	XP_015435357.1	XP_012175524.1
OG0000059	XP_015435350.1	XP_003393114.1
OG0000060	XP_015439981.1	XP_003395309.1
OG0000063	XP_015435591.1	XP_012172397.1
OG0000063	XP_015434704.1	XP_012175443.1
OG0000063	XP_015435639.1	XP_003401252.1
OG0000064	XP_015439422.1	XP_003401157.1
OG0000064	XP_015436794.1	XP_003396169.1
OG0000064	XP_015438692.1	XP_003399700.1
OG0000065	XP_015440531.1	XP_003399390.1, XP_012169772.1, XP_012169774.1, XP_012169773.1
OG0000066	XP_015429769.1	XP_012176180.1, XP_012176179.1, XP_012176178.1, XP_012176177.1, XP_003394336.1, XP_003394335.1, XP_020724195.1, XP_020724193.1, XP_020724194.1, XP_012176181.1
OG0000067	XP_015435677.1, XP_015435676.1	XP_020719485.1, XP_020719487.1, XP_020719486.1, XP_003396344.1, XP_012165070.1, XP_012165068.1
OG0000068	XP_015431173.1, XP_015431151.1	XP_012175711.1, XP_003393920.1, XP_003394006.1, XP_003403429.1, XP_003393921.1
OG0000069	XP_015439140.1	XP_003400832.1, XP_012171883.1, XP_012171882.1
OG0000070	XP_015433091.1	XP_003393731.1
OG0000071	XP_015436200.1	XP_003398039.1
OG0000072	XP_015434855.1, XP_015434863.1	XP_003394637.1
OG0000073	XP_015432205.1	XP_020721682.1, XP_012170498.1, XP_012170499.1, XP_003399855.1, XP_012170500.1, XP_012170501.1
OG0000074	XP_015438918.1	XP_003393379.1
OG0000076	XP_015436046.1	XP_012167610.1, XP_003397903.1, XP_012167613.1, XP_012167612.1, XP_012167611.1, XP_020720164.1, XP_020720163.1, XP_020720166.1, XP_020720165.1, XP_003397904.1, XP_020720167.1, XP_003397905.1
OG0000077	XP_015434988.1, XP_015434960.1, XP_015434985.1, XP_015434990.1	XP_003393866.1, XP_003393865.1, XP_003393867.1, XP_020723943.1
OG0000078	XP_015438151.1, XP_015435224.1, XP_015439947.1	XP_003400351.1, XP_003400142.1
OG0000079	XP_015434849.1	XP_012172564.1, XP_020722768.1
OG0000080	XP_015436437.1	XP_003396583.1
OG0000081	XP_015437277.1	XP_012168611.1
OG0000082	XP_015435281.1, XP_015435282.1	NP_001295235.1, XP_012176496.1
OG0000083	XP_015435790.1	XP_003394538.1, XP_012176340.1
OG0000085	XP_015436209.1	XP_020720248.1, XP_012166912.1
OG0000086	XP_015439325.1	XP_012172081.1
OG0000087	XP_015438869.1	XP_012169707.1, XP_012169706.1, XP_012169708.1, XP_003399343.1, XP_020720978.1
OG0000088	XP_015435053.1	XP_012175400.2
OG0000089	XP_015436630.1, XP_015435537.1	XP_012168805.1
OG0000090	XP_015430865.1	XP_003394915.1, XP_012163272.1
OG0000091	XP_015440081.1	XP_003395578.1, XP_003395577.1, XP_012164030.1
OG0000092	XP_015431437.1, XP_015440399.1	XP_020723418.1, XP_012174385.1
OG0000093	XP_015428411.1	XP_020721109.1
OG0000094	XP_015431880.1	XP_012174304.1, XP_012174308.2
OG0000095	XP_015438184.1	XP_012165356.1, XP_012165354.1, XP_012165353.1
OG0000096	XP_015434227.1	XP_012176549.1
OG0000097	XP_015431198.1, XP_015431199.1	XP_020722095.1, XP_012171292.1, XP_012171295.1, XP_012171296.1, XP_012171298.1, XP_012171297.1
OG0000098	XP_015438475.1	XP_020720591.1
OG0000099	XP_015430255.1, XP_015430247.1	XP_012175961.1, XP_012175965.1, XP_012175971.1, XP_003392979.1
OG0000100	XP_015437850.1, XP_015438094.1	XP_012174699.1
OG0000100	XP_015438890.1	XP_020723156.1
OG0000101	XP_015432218.1	XP_012170316.1
OG0000102	XP_015429601.1	XP_003397051.1, XP_020719814.1, XP_020719815.1, XP_012166337.1, XP_012166336.1
OG0000103	XP_015435506.1, XP_015435505.1	XP_020721331.1, XP_020721332.1, XP_012169146.1, XP_012169147.1
OG0000104	XP_015439591.1	XP_003398306.1
OG0000104	XP_015439594.1	XP_012168006.1
OG0000105	XP_015432223.1	XP_020721488.1
OG0000108	XP_015438463.1	XP_012168065.1, XP_003398352.1, XP_020720538.1, XP_012168063.1
OG0000110	XP_015436481.1	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000110	XP_015436479.1	XP_012171598.1, XP_003400635.1, XP_012171599.1
OG0000112	XP_015431184.1	XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175717.1
OG0000113	XP_015440166.1	XP_012170154.1, XP_020723319.1, XP_012170122.1, XP_012170161.1, XP_012170166.1, XP_012170150.1
OG0000114	XP_015434902.1	XP_020722733.1, XP_012172572.1, XP_012172570.1
OG0000115	XP_015428477.1	XP_003402143.1, XP_003402144.1
OG0000116	XP_015434163.1, XP_015434164.1	XP_012171737.1, XP_003400885.1, XP_020722207.1
OG0000117	XP_015440289.1, XP_015440287.1, XP_015440288.1	XP_012172000.1, XP_012171999.1, XP_012171998.1
OG0000118	XP_015435404.1	XP_003394635.1, XP_012176600.1, XP_012176601.1, XP_012176598.1, XP_012176599.1
OG0000119	XP_015431091.1	XP_020723141.1, XP_020723140.1, XP_020723142.1, XP_020723139.1
OG0000120	XP_015438092.1	XP_020720644.1, XP_020720719.1, XP_012168483.1
OG0000121	XP_015431772.1	NP_001274492.1
OG0000124	XP_015436589.1, XP_015436588.1	XP_012165095.1, XP_003396395.1, XP_012165096.1, XP_020719491.1, XP_012165093.1, XP_012165091.1, XP_012165097.1
OG0000125	XP_015436982.1, XP_015436981.1, XP_015436985.1, XP_015436987.1, XP_015436980.1	XP_012170233.1, XP_020721551.1, XP_003393848.1, XP_012175298.1, XP_003399696.2, XP_012170223.1, XP_012170221.2
OG0000126	XP_015428736.1, XP_015428737.1, XP_015428735.1	XP_012169448.1
OG0000127	XP_015432783.1	XP_003402395.2, XP_020722449.1
OG0000128	XP_015440194.1	XP_003395437.1
OG0000129	XP_015436626.1	XP_012168842.2, XP_020720955.1, XP_020720954.1, XP_020720953.1, XP_020720956.1
OG0000130	XP_015429959.1, XP_015429961.1	XP_003396634.1, XP_003396633.1
OG0000131	XP_015437714.1	XP_003398786.1, XP_012168589.1, XP_012168588.1, XP_020721254.1
OG0000132	XP_015433331.1, XP_015433332.1, XP_015433333.1	XP_020718867.1, XP_020718868.1, XP_012164341.1, XP_003402529.2
OG0000133	XP_015434666.1	XP_020720571.1
OG0000134	XP_015431085.1	XP_003402921.2
OG0000135	XP_015430291.1	XP_012169829.1, XP_003399465.1, XP_020721648.1
OG0000136	XP_015435242.1, XP_015433735.1, XP_015437848.1, XP_015435722.1, XP_015436675.1	XP_020721352.1
OG0000137	XP_015436661.1, XP_015433556.1	XP_020724217.1
OG0000139	XP_015440328.1	XP_012176727.1
OG0000140	XP_015428456.1	XP_020723223.1, XP_003402203.1
OG0000141	XP_015434298.1	XP_012175996.1, XP_012175997.1
OG0000142	XP_015438691.1	XP_003399626.2
OG0000143	XP_015436700.1, XP_015436679.1, XP_015436686.1, XP_015436693.1	XP_003396371.1, XP_003396370.1
OG0000144	XP_015433077.1	XP_012164458.1, XP_003393127.1, XP_003393128.1
OG0000145	XP_015439173.1	XP_003394949.1
OG0000146	XP_015436896.1	XP_003394955.1, XP_012163322.1
OG0000147	XP_015429248.1	XP_012166619.1, XP_003397345.2
OG0000148	XP_015436232.1	XP_012167065.1, XP_012167067.1, XP_003397602.1
OG0000149	XP_015433364.1	XP_003395613.1, XP_012164070.1
OG0000150	XP_015437621.1	XP_020719393.1, XP_003396571.1, XP_012165583.1
OG0000151	XP_015430154.1	XP_012166952.1, XP_012166951.1, XP_012166950.1, XP_012166949.1, XP_003397465.1, XP_012166953.1, XP_012166954.1
OG0000152	XP_015429021.1	XP_003393535.1
OG0000152	XP_015428989.1	XP_003393536.1
OG0000153	XP_015439280.1	XP_012168446.1, XP_012175536.1, XP_012174221.1
OG0000154	XP_015436990.1, XP_015437810.1, XP_015438039.1	XP_020723950.1, XP_012169488.1, XP_012175474.1
OG0000155	XP_015430002.1	XP_012165134.1, XP_020719226.1, XP_012165135.1
OG0000156	XP_015429114.1	XP_020722547.1, XP_020722544.1, XP_020722543.1, XP_020722545.1, XP_012175058.1
OG0000158	XP_015439412.1	XP_003401312.1
OG0000159	XP_015438519.1	XP_003398422.1, XP_020720652.1
OG0000160	XP_015436511.1	XP_020720934.1, XP_020720933.1
OG0000160	XP_015436510.1	XP_020720937.1
OG0000161	XP_015438642.1	XP_012170447.1, XP_012170445.1, XP_012170446.1, XP_003399827.1
OG0000162	XP_015429975.1	XP_012165810.1, XP_012165811.1
OG0000163	XP_015438423.1	XP_020720787.1, XP_020720786.1, XP_020720785.1, XP_020720789.1, XP_020720788.1
OG0000164	XP_015437557.1, XP_015437559.1, XP_015437558.1	XP_020721631.1, XP_012170305.1, XP_012170304.1
OG0000165	XP_015431086.1	XP_012171348.1
OG0000166	XP_015429867.1	XP_003396953.1, XP_012165554.1, XP_012165552.1, XP_012165555.1, XP_012165553.1
OG0000168	XP_015439792.1	XP_020718921.1
OG0000168	XP_015439652.1	XP_003395571.1
OG0000169	XP_015436217.1	XP_012167498.1, XP_003397946.1
OG0000170	XP_015434496.1	XP_003396944.1, XP_020719363.1, XP_020719364.1, XP_020719362.1, XP_020719365.1, XP_020719366.1, XP_020719367.1, XP_020719368.1
OG0000171	XP_015436562.1	XP_012168820.1, XP_012168822.1, XP_020720959.1, XP_020720960.1, XP_020720957.1, XP_020720958.1, XP_003398855.1
OG0000172	XP_015430802.1	XP_003395180.1
OG0000172	XP_015434046.1	XP_003395196.1, XP_003400373.1
OG0000173	XP_015432862.1	XP_020718789.1, XP_020718803.1, XP_020718807.1
OG0000174	XP_015431688.1	XP_020718460.1, XP_003395135.1, XP_003395133.1
OG0000175	XP_015437287.1	XP_003399057.1
OG0000176	XP_015433628.1	XP_020723870.1, XP_020724153.1, XP_020724151.1, XP_012175295.2, XP_012176310.1, XP_003394317.1
OG0000177	XP_015432556.1	XP_020724240.1, XP_003394675.1, XP_003394677.1
OG0000178	XP_015431678.1, XP_015431789.1	XP_012163601.1
OG0000178	XP_015431680.1, XP_015431679.1	XP_003395150.1
OG0000179	XP_015432369.1	XP_003400301.1
OG0000180	XP_015432607.1, XP_015432609.1, XP_015432608.1	XP_012175367.1, XP_012175366.1, XP_012175365.1, XP_012175368.1
OG0000181	XP_015439359.1	XP_012172664.1, XP_012172663.1, XP_012172661.1, XP_020722452.1, XP_020722453.1, XP_003401447.1, XP_012172665.1
OG0000182	XP_015436440.1, XP_015436439.1, XP_015436438.1, XP_015436441.1	XP_020720041.1
OG0000183	XP_015430027.1, XP_015430036.1	XP_020719532.1, XP_020719535.1, XP_020719522.1, XP_012164942.1, XP_020719524.1, XP_020719516.1, XP_020719528.1, XP_020719518.1, XP_020719517.1, XP_020719520.1, XP_020719530.1, XP_003403386.2
OG0000184	XP_015431426.1, XP_015431427.1, XP_015431425.1	XP_003398235.1, XP_012167901.1, XP_012167903.1
OG0000185	XP_015438013.1	XP_012165006.1, XP_012165007.1, XP_012165005.1, XP_003396214.1
OG0000187	XP_015434347.1	XP_012176528.1, XP_012176529.1, XP_020724350.1
OG0000188	XP_015429150.1	XP_020722869.1, XP_020722877.1, XP_020722876.1, XP_003393959.1
OG0000189	XP_015432676.1	XP_003393809.1, XP_012173633.1, XP_012173634.1
OG0000190	XP_015431829.1	XP_020722929.1
OG0000191	XP_015434653.1, XP_015434652.1	XP_003394509.1
OG0000192	XP_015434228.1	XP_003394690.1
OG0000193	XP_015437702.1, XP_015437695.1	XP_003396374.1, XP_012165376.1, XP_012165373.1, XP_012165379.1, XP_012165378.1
OG0000194	XP_015437727.1	XP_012168595.1, XP_012168596.1, XP_012168597.1, XP_012168598.1, XP_020720998.1
OG0000195	XP_015433329.1, XP_015433328.1, XP_015433330.1	XP_020718760.1, XP_020718759.1, XP_003395333.1
OG0000197	XP_015430868.1	XP_012169560.1
OG0000197	XP_015429676.1	XP_020718269.1, XP_020721322.1
OG0000200	XP_015436844.1	XP_003393298.1
OG0000201	XP_015436162.1	XP_003397959.1, XP_012167677.1, XP_003397960.1
OG0000202	XP_015437325.1	XP_012169335.1, XP_012169334.1
OG0000203	XP_015430231.1	XP_003400456.1, XP_012171242.1
OG0000204	XP_015431509.1, XP_015431511.1, XP_015431510.1	XP_003394706.1, XP_003394705.1
OG0000205	XP_015433280.1	XP_012164463.1
OG0000206	XP_015431498.1, XP_015431497.1	XP_020723622.1, XP_012174635.1, XP_012174638.1, XP_012174636.1, XP_003402881.1
OG0000207	XP_015429188.1	XP_012166636.1
OG0000208	XP_015430478.1	XP_012175169.1, XP_012175168.1, XP_020723824.1
OG0000209	XP_015436281.1	XP_012167357.1
OG0000211	XP_015430485.1	XP_003403180.1, XP_012175194.1, XP_012175192.1, XP_012175195.1
OG0000212	XP_015438832.1, XP_015438831.1, XP_015438830.1	XP_012168652.1
OG0000213	XP_015432870.1, XP_015432869.1, XP_015432866.1, XP_015432868.1, XP_015432867.1	XP_012175785.1, XP_012175778.1, XP_012175770.1, XP_012175792.1, XP_003393170.1
OG0000214	XP_015430841.1, XP_015430849.1	XP_003392935.1
OG0000215	XP_015434230.1	XP_020723607.1, XP_020723610.1, XP_012174547.1, XP_020723608.1, XP_020723611.1, XP_020723609.1
OG0000216	XP_015437199.1	XP_020719016.1
OG0000217	XP_015431233.1	XP_020721002.1
OG0000218	XP_015432437.1	XP_003401025.1
OG0000218	XP_015432430.1	XP_012172166.1
OG0000219	XP_015439988.1	XP_012173564.1
OG0000220	XP_015433093.1, XP_015434209.1	XP_012163163.1
OG0000221	XP_015439085.1	XP_003400569.1
OG0000222	XP_015438542.1	XP_003398123.1
OG0000222	XP_015428940.1	XP_012167804.1
OG0000223	XP_015434738.1	XP_012166755.1, XP_003397452.1, XP_003397451.1
OG0000224	XP_015430929.1	XP_020723779.1, XP_012174962.1, XP_012174961.1, XP_012174960.1
OG0000226	XP_015434860.1	XP_012172272.1
OG0000227	XP_015436971.1	XP_012172050.1
OG0000228	XP_015435414.1, XP_015435413.1	XP_003393462.1
OG0000229	XP_015436804.1	XP_003401003.1
OG0000230	XP_015433097.1, XP_015433098.1, XP_015433099.1	XP_003394878.1, XP_003394880.1, XP_020718578.1, XP_003394879.1
OG0000231	XP_015434546.1	XP_012166221.1, XP_012166220.1, XP_012166219.1, XP_020719791.1, XP_012166222.1, XP_012166223.1
OG0000232	XP_015432406.1	XP_003400196.1, XP_012170947.1
OG0000233	XP_015431093.1	XP_012171299.2, XP_012171301.1, XP_012171304.1
OG0000234	XP_015437503.1	XP_012173296.1, XP_012173298.1, XP_012173297.1, XP_003401876.1, XP_003401877.1, XP_012173299.1
OG0000235	XP_015435834.1	XP_012175460.1, XP_020724080.1
OG0000236	XP_015429983.1	XP_012165571.1, XP_012165569.1
OG0000237	XP_015436500.1	XP_012173935.1, XP_012173937.1, XP_012173936.1
OG0000238	XP_015439918.1	XP_012173512.1
OG0000239	XP_015436567.1	XP_003402884.1, XP_012175231.1, XP_020723851.1, XP_012175221.2, XP_020723726.1, XP_012175223.1, XP_012175222.2, XP_012175291.1, XP_020723852.1
OG0000240	XP_015431041.1	XP_020723080.1
OG0000241	XP_015428795.1	XP_020722950.1
OG0000242	XP_015436608.1	XP_003396534.1, XP_020719232.1
OG0000243	XP_015438163.1	XP_012165897.1, XP_012165903.1, XP_012165902.1, XP_012165900.1, XP_012165899.1, XP_012165898.1
OG0000244	XP_015434318.1	XP_020724157.1, XP_020724158.1, XP_012176311.1, XP_020724156.1
OG0000245	XP_015438086.1, XP_015438085.1, XP_015438084.1	XP_020718282.1, XP_012163545.1
OG0000246	XP_015430155.1	XP_003401768.1
OG0000247	XP_015430038.1, XP_015430037.1	XP_003396811.1
OG0000248	XP_015428745.1, XP_015428747.1, XP_015428748.1	XP_020721257.1, XP_020721258.1, XP_020721259.1, XP_012169434.1, XP_012169432.1, XP_003399159.1, XP_012169431.1, XP_012169429.1, XP_020721256.1
OG0000249	XP_015428718.1, XP_015428722.1, XP_015428720.1	XP_012169463.2, XP_020721343.1, XP_003402576.2, XP_020721177.1
OG0000250	XP_015436838.1	XP_020721163.1
OG0000251	XP_015433212.1, XP_015433213.1, XP_015433214.1	XP_003401208.1, XP_020722676.1
OG0000252	XP_015439601.1, XP_015439599.1	XP_003398194.1
OG0000253	XP_015428727.1	XP_003401781.1
OG0000253	XP_015428670.1	XP_003401782.1
OG0000254	XP_015435781.1	XP_003394353.1, XP_020724147.1, XP_012176228.1, XP_012176226.1, XP_012176227.1
OG0000255	XP_015439251.1	XP_003400584.1, XP_003400585.1, XP_020722157.1
OG0000257	XP_015434092.1, XP_015434094.1, XP_015434091.1, XP_015434090.1, XP_015434093.1	XP_012171960.1, XP_012171957.1, XP_012171958.1, XP_012171959.1
OG0000258	XP_015434468.1	XP_012166005.2
OG0000259	XP_015436712.1, XP_015436714.1, XP_015436713.1	XP_003395969.1, XP_012164534.1, XP_012164536.1, XP_012164535.1
OG0000260	XP_015435795.1, XP_015429633.1	XP_020719947.1
OG0000261	XP_015430515.1	XP_003403123.1, XP_012175136.1, XP_020723829.1
OG0000262	XP_015429586.1	XP_012166526.1, XP_003397183.1
OG0000263	XP_015435613.1, XP_015435612.1	XP_012172354.1, XP_012172353.1
OG0000264	XP_015438442.1, XP_015438443.1, XP_015438441.1	XP_012168122.1
OG0000265	XP_015440522.1	XP_012169012.1, XP_012169011.1, XP_012169010.1
OG0000266	XP_015433994.1, XP_015433993.1	XP_003393704.1
OG0000267	XP_015435023.1	XP_012174338.1, XP_012174337.1, XP_003402676.1, XP_012174339.1
OG0000268	XP_015432942.1, XP_015432950.1	XP_020722159.1
OG0000269	XP_015430099.1	XP_012168056.1, XP_003393407.1
OG0000270	XP_015433275.1	XP_020723869.1, XP_012175272.1, XP_003403275.1
OG0000271	XP_015437477.1	XP_020719265.1, XP_012166182.1, XP_012166181.1, XP_012166180.1
OG0000272	XP_015431399.1	XP_012168069.1, XP_012168068.1, XP_020720593.1, XP_003398360.1, XP_012168067.1, XP_012168071.1
OG0000273	XP_015430495.1	XP_012175178.1, XP_012175177.1, XP_003403170.1
OG0000274	XP_015428714.1	XP_012167012.1, XP_003397491.1
OG0000275	XP_015432084.1	XP_003399877.1
OG0000276	XP_015433084.1	XP_012167716.1, XP_012167719.1, XP_012167720.1, XP_012167718.1
OG0000277	XP_015432611.1	XP_003403224.1
OG0000279	XP_015429328.1	XP_012175858.1, XP_012175859.1, XP_012175856.1, XP_012175853.1
OG0000280	XP_015438081.1	XP_012163634.1
OG0000281	XP_015431667.1	XP_003395200.1, XP_012163649.1
OG0000282	XP_015430519.1	XP_012166941.1
OG0000283	XP_015432130.1	XP_020721359.1, XP_020721360.1
OG0000284	XP_015432508.1	XP_020722603.1, XP_003403398.3, XP_012172740.1, XP_003401494.1, XP_012172741.1, XP_012172742.1, XP_012172746.2, XP_003401606.2, XP_012172745.1, XP_003403371.2, XP_020722602.1
OG0000285	XP_015439365.1	XP_003401335.1
OG0000286	XP_015430330.1	XP_012170287.1, XP_012170292.1, XP_003399735.1
OG0000287	XP_015438755.1	XP_020721029.1, XP_012168766.1, XP_012168765.1, XP_012168764.1, XP_012168762.1, XP_012168760.1, XP_012168759.1, XP_012168758.1
OG0000288	XP_015440120.1	XP_012164424.1, XP_003395287.1, XP_003395288.1
OG0000289	XP_015439048.1	XP_020722158.1, XP_003400580.1, XP_003400581.1, XP_012171527.1, XP_012171528.1, XP_012171526.1
OG0000290	XP_015429963.1	XP_020719510.1, XP_003396632.1
OG0000291	XP_015433942.1	XP_012166143.1, XP_012166144.1, XP_003396981.1
OG0000293	XP_015437071.1	XP_003396245.1, XP_003396246.1, XP_020719607.1, XP_003396247.1
OG0000294	XP_015428439.1, XP_015428441.1, XP_015428440.1	XP_020721725.1, XP_003399614.1, XP_012169854.1
OG0000295	XP_015429618.1	XP_020719841.1, XP_020719839.1, XP_020719840.1, XP_020719838.1
OG0000296	XP_015429506.1	XP_003397164.1, XP_012166272.1, XP_012166271.1, XP_020719759.1
OG0000297	XP_015435125.1	XP_012166575.1, XP_012166576.1, XP_003397226.1, XP_003397227.1
OG0000298	XP_015428647.1, XP_015428648.1, XP_015428649.1	XP_012170680.1
OG0000299	XP_015436446.1	XP_012167591.1
OG0000299	XP_015436448.1	XP_012167594.1
OG0000300	XP_015433923.1, XP_015433927.1	XP_012168866.1
