Orthogroup	Megachile_rotundata	Drosophila_melanogaster
OG0000026	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1	NP_001285239.1
OG0000027	XP_012151723.1	NP_724344.1, NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1, NP_001027317.1, NP_001027337.1
OG0000029	XP_003704047.1, XP_012142317.1	NP_647872.1, NP_650813.2
OG0000029	XP_003704721.1	NP_647875.1, NP_647873.2
OG0000032	XP_003700812.2	NP_609175.2
OG0000032	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1, XP_012148506.1	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1
OG0000035	XP_003699462.1	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2
OG0000036	XP_012134943.1	NP_001287583.1, NP_001369024.1
OG0000037	XP_012141146.1	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1
OG0000038	XP_012136030.1, XP_003703285.1	NP_476772.1, NP_524264.1
OG0000038	XP_012143992.1	NP_650674.1
OG0000040	XP_012139968.1, XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1, XP_003700882.2, XP_003700841.2, XP_012148108.1	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1
OG0000041	XP_012137793.1, XP_012137792.1, XP_003702208.1	NP_523625.1, NP_001014725.1
OG0000041	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1	NP_001262200.1
OG0000041	XP_003700544.1	NP_477037.2
OG0000042	XP_012142134.1, XP_003703962.2	NP_651966.2, NP_650201.1, NP_652731.1
OG0000043	XP_003705047.1	NP_001286870.1
OG0000043	XP_003700214.1	NP_524121.2
OG0000044	XP_012148083.1, XP_012148084.1	NP_732652.1, NP_001303538.1, NP_650979.1
OG0000044	XP_003706475.2	NP_651674.3
OG0000045	XP_003702695.1, XP_003703631.1	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2
OG0000046	XP_012146503.1	NP_001285139.1
OG0000046	XP_003705538.1, XP_012153320.1	NP_001262586.1
OG0000046	XP_003705669.2	NP_524063.1
OG0000050	XP_003700585.1, XP_003704799.2	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1
OG0000052	XP_012144734.1	NP_652665.3, NP_609664.1, NP_620115.2
OG0000054	XP_012149797.1, XP_003707236.1	NP_477282.2, NP_729146.1, NP_729147.1
OG0000055	XP_003702736.1	NP_001284925.1
OG0000055	XP_012143001.1	NP_650904.3
OG0000055	XP_012141945.1	NP_609815.1
OG0000055	XP_012136069.1	NP_001246914.1
OG0000056	XP_012140855.1, XP_012148645.1	NP_001369131.1
OG0000056	XP_012147749.1	NP_647937.2
OG0000056	XP_012154207.1, XP_012154186.1	NP_995958.2
OG0000057	XP_003702759.1, XP_012147418.1	NP_524290.2
OG0000057	XP_003706216.1	NP_523842.2
OG0000060	XP_012134573.1, XP_012134574.1, XP_012134572.1	NP_650848.1
OG0000060	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1	NP_001163168.1
OG0000061	XP_003703873.1	NP_001097692.1
OG0000061	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1, XP_012153335.1	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1
OG0000062	XP_012135095.1	NP_001261156.1
OG0000066	XP_012147361.1, XP_012147785.1, XP_012151330.1, XP_012151855.1	NP_610976.1
OG0000067	XP_012148170.1	NP_001284994.1
OG0000067	XP_012152266.1	NP_524243.2, NP_572330.2
OG0000067	XP_003701916.1	NP_001261491.1
OG0000072	XP_012144546.1, XP_012148435.1, XP_012135998.1, XP_012145923.1	NP_663311.1
OG0000073	XP_012147570.1	NP_001246864.1, NP_001163428.1, NP_996064.1, NP_649186.1
OG0000074	XP_003705844.2	NP_536776.2
OG0000077	XP_012150605.1, XP_012150604.1	NP_001137778.2, NP_001259986.1
OG0000077	XP_003703606.1	NP_001015405.3
OG0000080	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1	NP_001262255.1
OG0000080	XP_003700524.1	NP_001262254.1
OG0000082	XP_012151975.1, XP_012151997.1, XP_012151993.1	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1
OG0000085	XP_003702681.1, XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1	NP_651221.1
OG0000086	XP_003699659.2	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1
OG0000086	XP_012143956.1, XP_012143955.1	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1
OG0000087	XP_003708584.1	NP_001261716.1
OG0000087	XP_012153278.1	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1
OG0000088	XP_003701082.1	NP_476589.4
OG0000089	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1	NP_001162840.1, NP_001259800.1
OG0000091	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2
OG0000092	XP_012144682.1, XP_003702709.1, XP_003702708.1, XP_012142981.1, XP_003704244.1	NP_001262592.1
OG0000094	XP_012154361.1	NP_651889.3, NP_001189331.1, NP_651891.2
OG0000096	XP_012147708.1	NP_726022.1, NP_001246550.1
OG0000096	XP_012137363.1, XP_012137365.1	NP_611542.2
OG0000097	XP_012153341.1, XP_003705350.1	NP_524611.1
OG0000098	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1	NP_001260487.1
OG0000099	XP_003705981.1, XP_012146974.1	NP_608954.1
OG0000099	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1	NP_001034071.1
OG0000099	XP_012136224.1	NP_651628.1
OG0000100	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1	NP_001262908.1, NP_001262907.1
OG0000101	XP_012141182.1, XP_012141571.1	NP_001286204.1, NP_610403.1, NP_609640.1
OG0000101	XP_012141186.1, XP_003703468.1	NP_001285802.1, NP_001015212.1
OG0000102	XP_012135996.1, XP_012135840.1, XP_012135835.1	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2
OG0000103	XP_012144431.1, XP_012144424.1	NP_001303368.1
OG0000108	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1	NP_648918.1
OG0000109	XP_003700281.2	NP_648392.1, NP_001245736.1
OG0000110	XP_012147291.1, XP_012139832.1	NP_788521.2, NP_729246.2, NP_729014.1
OG0000111	XP_012135601.1, XP_012135600.1	NP_650264.1
OG0000112	XP_003700355.1, XP_012154003.1	NP_001369123.1
OG0000113	XP_003701045.1, XP_003699454.1	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1
OG0000115	XP_003703956.1, XP_012139900.1, XP_003703954.1	NP_001261040.1
OG0000117	XP_012142234.1	NP_001286115.1
OG0000117	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1	NP_001262809.1
OG0000120	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1	NP_001260010.1, NP_001162947.1
OG0000122	XP_003705279.2	NP_001287102.1, NP_001163462.1, NP_649023.1
OG0000122	XP_003702313.1	NP_610807.3
OG0000123	XP_003702607.2	NP_001259925.1
OG0000124	XP_003703399.2	NP_001260435.1, NP_001245746.1
OG0000125	XP_003703348.2	NP_651172.1, NP_001097888.1
OG0000126	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1	NP_477498.1, NP_996167.1
OG0000127	XP_003707941.2	NP_001261916.1
OG0000127	XP_012151449.1	NP_477127.1
OG0000129	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1	NP_001188842.2
OG0000130	XP_012141592.1, XP_012141591.1, XP_003703718.1	NP_723165.2
OG0000130	XP_003702400.1	NP_001014474.3
OG0000131	XP_012138681.1, XP_003699377.1	NP_001259087.1
OG0000131	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1	NP_001097667.1
OG0000132	XP_003706203.1, XP_012147468.1	NP_001245934.1, NP_001137808.1, NP_609121.2
OG0000132	XP_012152838.1, XP_003708422.1	NP_001245823.1, NP_724088.2, NP_724087.1
OG0000133	XP_003707714.1	NP_001368939.1
OG0000134	XP_012148670.1	NP_572838.2
OG0000134	XP_012143753.1	NP_525003.2
OG0000135	XP_003708004.1	NP_001286904.1
OG0000135	XP_003708115.1	NP_524655.1
OG0000136	XP_003705561.1, XP_012146210.1	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1
OG0000137	XP_003705868.1, XP_012135720.1, XP_012140417.1	NP_727460.1, NP_611465.2
OG0000138	XP_012141572.1, XP_012141209.1	NP_001036303.2
OG0000139	XP_003700273.1, XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1	NP_651882.1
OG0000141	XP_003701926.1	NP_001287037.1
OG0000141	XP_003704620.1	NP_724101.4
OG0000143	XP_003702327.1, XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1	NP_001259687.1
OG0000144	XP_003705520.2, XP_003705522.1	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1
OG0000145	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1, XP_012138596.1	NP_651930.2
OG0000146	XP_003705369.1	NP_648843.1
OG0000146	XP_003708217.1	NP_610294.1
OG0000147	XP_012151556.1, XP_003707862.1, XP_012151555.1, XP_012149993.1, XP_003707471.1	NP_001245762.1
OG0000149	XP_012147339.1	NP_648425.1
OG0000149	XP_012147343.1, XP_012147342.1, XP_003706133.1	NP_647686.1
OG0000150	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1	NP_001246198.1
OG0000151	XP_003704470.2	NP_001287124.1
OG0000152	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1	NP_001260743.1
OG0000153	XP_012139835.1	NP_001261584.1
OG0000154	XP_012152021.1	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1
OG0000156	XP_012150894.1	NP_647767.1
OG0000157	XP_003703163.1, XP_012140472.1	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1
OG0000158	XP_012150089.1, XP_003705555.2, XP_012145928.1, XP_003706752.1, XP_012152076.1, XP_012150572.1, XP_012148634.1, XP_012148635.1, XP_012145922.1, XP_012150087.1, XP_012150086.1	NP_648354.1
OG0000160	XP_012147327.1	NP_001034016.1, NP_649019.2
OG0000160	XP_012138102.1, XP_003702188.1	NP_649428.1
OG0000161	XP_003703976.1	NP_001261749.1, NP_788501.1
OG0000162	XP_003699383.2	NP_001097669.2
OG0000162	XP_012151345.1	NP_001262916.1
OG0000164	XP_012138610.1, XP_012138588.1, XP_012138609.1	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1
OG0000165	XP_012141446.1, XP_012141448.1, XP_012141447.1	NP_001245593.1
OG0000165	XP_012138919.1	NP_001284986.1
OG0000166	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1	NP_001097498.1
OG0000168	XP_012142201.1	NP_996226.2
OG0000168	XP_012139252.1	NP_001261500.1
OG0000168	XP_012136943.1	NP_001261571.1, NP_001246162.1
OG0000171	XP_003704787.1, XP_012144044.1	NP_609310.2, NP_609309.1
OG0000173	XP_012141604.1	NP_001247239.1
OG0000174	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1	NP_725682.2, NP_001286533.1, NP_611218.1
OG0000175	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1	NP_001163218.1
OG0000177	XP_003707752.1	NP_001261827.1
OG0000177	XP_012151117.1	NP_001261829.1
OG0000177	XP_012151116.1	NP_001261830.1
OG0000178	XP_012149455.1	NP_001356914.1
OG0000179	XP_003707098.1	NP_523366.2, NP_648697.1
OG0000180	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1	NP_001027161.1
OG0000182	XP_003700170.2, XP_012149750.1, XP_012149742.1	NP_001163460.1
OG0000183	XP_012144139.1	NP_001287555.1
OG0000183	XP_012136967.1	NP_524074.1
OG0000184	XP_012151665.1	NP_995642.1, NP_523504.2, NP_001162633.1
OG0000185	XP_012152010.1, XP_012152006.1, XP_012152009.1, XP_012152008.1, XP_003708091.1, XP_012152007.1	NP_001259439.1
OG0000186	XP_012138246.1, XP_003702219.1, XP_003702293.1	NP_573320.1
OG0000187	XP_012144258.1	NP_001188856.1
OG0000188	XP_003703034.1	NP_524551.2, NP_476974.1
OG0000189	XP_012147949.1	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1
OG0000190	XP_012142605.1	NP_732717.1
OG0000191	XP_012136269.1	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3
OG0000192	XP_003702365.2	NP_611994.3
OG0000194	XP_003699995.1	NP_648207.1
OG0000196	XP_012134628.1	NP_001261758.1
OG0000196	XP_012143079.1	NP_730938.1
OG0000197	XP_012144858.1, XP_003699822.1	NP_001287082.1
OG0000198	XP_012136053.1, XP_012136051.1	NP_611747.2
OG0000200	XP_003701725.1	NP_001262796.1
OG0000200	XP_003700547.1, XP_012154376.1	NP_001259616.1
OG0000201	XP_012148479.1	NP_649026.1
OG0000201	XP_012148478.1	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2
OG0000202	XP_012137745.1	NP_001260674.1
OG0000203	XP_003705579.2	NP_648067.2
OG0000204	XP_003704418.1	NP_001188590.1
OG0000205	XP_003705021.1, XP_012144620.1, XP_012144622.1, XP_012144618.1, XP_012144619.1	NP_001097505.1
OG0000206	XP_003707704.1	NP_650893.2
OG0000206	XP_012150998.1	NP_001097707.1, NP_001287222.1
OG0000207	XP_012146454.1	NP_001286310.1, NP_001287091.1
OG0000207	XP_012134609.1, XP_012134607.1	NP_001246139.1
OG0000208	XP_012134606.1	NP_001137606.1
OG0000209	XP_012150853.1, XP_012150852.1, XP_003707562.1	NP_001163199.1
OG0000212	XP_003700908.2, XP_003702537.1, XP_003702536.2	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1
OG0000213	XP_012141554.1, XP_003703563.1, XP_012141555.1, XP_012141556.1, XP_012141557.1	NP_648589.1
OG0000214	XP_003703502.1	NP_001260290.1
OG0000214	XP_003700432.2	NP_001247324.1
OG0000215	XP_003705904.2	NP_649139.1
OG0000216	XP_003699552.2	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1
OG0000217	XP_003703360.2	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1
OG0000218	XP_012146998.1, XP_012146997.1, XP_012147000.1, XP_012146999.1, XP_012146995.1, XP_012146996.1	NP_649086.2
OG0000219	XP_003707713.1, XP_012151048.1	NP_610764.1
OG0000220	XP_003706502.1	NP_650528.1
OG0000221	XP_003703821.1	NP_001036320.3
OG0000223	XP_003700060.2	NP_523986.2
OG0000223	XP_012141734.1	NP_524142.2, NP_524141.1
OG0000224	XP_003703036.2, XP_012139938.1, XP_012139967.1	NP_647862.1, NP_728942.1
OG0000225	XP_012147417.1, XP_012147416.1, XP_012142097.1	NP_536756.1
OG0000226	XP_012142844.1, XP_012142842.1, XP_012142841.1	NP_001356958.1
OG0000226	XP_012142847.1	NP_611241.2
OG0000227	XP_012152961.1, XP_012152968.1, XP_012152963.1, XP_012152971.1	NP_001262022.1
OG0000229	XP_012153002.1, XP_012153001.1	NP_726223.1, NP_001303360.1, NP_001246468.1
OG0000230	XP_012142731.1, XP_012142730.1, XP_003704424.1	NP_001286852.1
OG0000231	XP_012148493.1, XP_012148491.1, XP_012148494.1, XP_012148489.1, XP_003706704.1, XP_012148490.1	NP_650028.1, NP_650029.1, NP_001285882.1
OG0000232	XP_012139351.1, XP_003702791.1	NP_001303567.1
OG0000233	XP_012151529.1, XP_012151530.1	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1
OG0000234	XP_003705839.1	NP_726740.1, NP_649880.1, NP_649881.1
OG0000235	XP_012152694.1	NP_001261046.1
OG0000236	XP_012146799.1	NP_524368.5
OG0000237	XP_012137591.1	NP_523863.1
OG0000237	XP_012137578.1	NP_523862.1
OG0000239	XP_003704346.1	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1
OG0000241	XP_012141585.1, XP_012138646.1, XP_012138647.1, XP_012138648.1, XP_012138644.1	NP_001097059.1, NP_647821.2, NP_001285749.1
OG0000243	XP_012137098.1	NP_608584.1, NP_523761.2
OG0000244	XP_003702794.2	NP_610117.1
OG0000245	XP_003707107.1	NP_476812.1, NP_610443.1, NP_524760.1
OG0000246	XP_012143780.1	NP_724163.1
OG0000246	XP_003704683.1	NP_476592.1
OG0000247	XP_012150345.1	NP_651898.2, NP_001096949.1
OG0000247	XP_012150346.1	NP_649833.1, NP_648548.1
OG0000249	XP_012140332.1, XP_012140328.1, XP_012140331.1	NP_572996.1
OG0000250	XP_003706993.1, XP_012149090.1	NP_650508.1, NP_001285102.1
OG0000252	XP_003706376.1	NP_730950.2
OG0000253	XP_003708641.2	NP_001162737.1
OG0000253	XP_012153159.1, XP_012153161.1	NP_001263132.1
OG0000254	XP_012141089.1	NP_732295.1
OG0000254	XP_012150104.1	NP_001368946.1
OG0000256	XP_012141779.1, XP_003703743.1, XP_012141781.1, XP_012141782.1, XP_012141780.1, XP_012141775.1, XP_012141774.1, XP_012141778.1, XP_012141777.1	NP_732900.1
OG0000257	XP_012152627.1	NP_001262861.1
OG0000257	XP_003708278.1, XP_012152634.1	NP_001287485.1
OG0000259	XP_012141818.1, XP_012141819.1	NP_723538.3
OG0000260	XP_012147130.1	NP_001261383.1
OG0000260	XP_012149801.1	NP_572306.1
OG0000261	XP_003708378.2, XP_012152145.1, XP_012152140.1, XP_003708132.1, XP_003703046.1, XP_012139949.1	NP_001286161.1, NP_610318.1, NP_610319.2
OG0000263	XP_012154514.1, XP_012154527.1, XP_012154521.1, XP_003699274.1	NP_001285111.1
OG0000264	XP_012141565.1	NP_001033939.2
OG0000264	XP_003706549.1, XP_012148148.1	NP_476735.1
OG0000265	XP_003700852.1, XP_012135145.1	NP_649517.1, NP_650190.1
OG0000266	XP_012142351.1, XP_012142346.1	NP_524387.1
OG0000266	XP_003701377.1	NP_001285202.1
OG0000268	XP_012147628.1, XP_012151349.1, XP_003705563.2, XP_003704992.1	NP_001285901.1, NP_001262995.1
OG0000269	XP_003707502.1	NP_001284901.1
OG0000270	XP_003701984.1, XP_012137596.1	NP_001034048.2
OG0000270	XP_003701983.1	NP_001163596.2
OG0000271	XP_003703932.2	NP_001014620.1, NP_731788.1, NP_731790.1
OG0000272	XP_012137264.1	NP_995675.1
OG0000272	XP_012137477.1	NP_001162795.1, NP_001356885.1
OG0000273	XP_012152922.1, XP_003708387.1	NP_001097437.1
OG0000274	XP_012150333.1	NP_001014485.3
OG0000275	XP_003707508.1, XP_012150479.1	NP_648909.1
OG0000276	XP_012146515.1	NP_649535.2
OG0000277	XP_012139530.1, XP_003702918.1, XP_012139529.1	NP_647800.1
OG0000278	XP_012140846.1	NP_612039.1, NP_647794.1
OG0000279	XP_003704233.1	NP_001137708.2, NP_001356890.1
OG0000281	XP_003705781.1	NP_001350861.1
OG0000283	XP_012145591.1	NP_001286595.1
OG0000284	XP_012138543.1	NP_727448.1
OG0000284	XP_012145095.1, XP_012137964.1	NP_001259432.1
OG0000285	XP_003699411.2	NP_001163186.1
OG0000286	XP_003701800.2	NP_729792.1
OG0000287	XP_012148331.1	NP_001036660.1
OG0000287	XP_003706601.1	NP_001260729.1
OG0000288	XP_012136951.1	NP_476934.2
OG0000288	XP_003707452.1	NP_001188784.1
OG0000289	XP_012144635.1	NP_001303316.1
OG0000292	XP_012146321.1	NP_612066.1
OG0000293	XP_003706108.2	NP_649119.2, NP_001262050.1
OG0000295	XP_012145127.1, XP_012145128.1, XP_003705274.1	NP_611878.1
OG0000296	XP_012136932.1, XP_003701648.1, XP_012136934.1, XP_012136933.1, XP_012136935.1	NP_573076.1, NP_001096988.2
OG0000297	XP_003703683.1	NP_651265.1
OG0000298	XP_012139175.1, XP_003702628.1	NP_650963.2
OG0000300	XP_012153075.1	NP_648000.1
OG0000300	XP_003705565.1	NP_001285398.1
OG0000301	XP_012145465.1, XP_003705403.1	NP_572721.1
OG0000301	XP_003700755.1	NP_525031.1
OG0000302	XP_012135451.1	NP_001246314.1
OG0000302	XP_003705687.2, XP_003707086.1, XP_012149383.1	NP_730054.1
OG0000303	XP_012154089.1	NP_609514.1, NP_730670.1, NP_572924.1, NP_730671.1, NP_648026.1
OG0000304	XP_003702511.1	NP_788277.1
OG0000307	XP_012145496.1, XP_012145495.1, XP_012145494.1, XP_012145493.1, XP_012145497.1	NP_650089.1
OG0000308	XP_012148928.1, XP_012148929.1, XP_012148931.1, XP_012148932.1, XP_003706809.1, XP_012148927.1, XP_012148935.1, XP_012148934.1, XP_012148933.1, XP_012148938.1, XP_012148937.1, XP_012148926.1	NP_001261704.1
OG0000309	XP_012154330.1, XP_003700520.1	NP_651063.1
OG0000310	XP_012136599.1, XP_003701573.1	NP_001286754.1
