Orthogroup	Megachile_rotundata	Nasonia_vitripennis
OG0000012	XP_003705999.2	NP_001166049.1, XP_032452528.1
OG0000012	XP_012146828.1	XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1
OG0000012	XP_012146827.1	XP_001603672.1
OG0000013	XP_003707914.1	XP_001599179.2
OG0000013	XP_003708097.1	XP_001608166.1, XP_001608174.1
OG0000013	XP_003708096.1	XP_031778016.1
OG0000015	XP_012145739.1, XP_012152739.1, XP_012152726.1	XP_031778316.1, XP_031789010.1, XP_008202049.2, XP_031779863.1, XP_031788347.1
OG0000015	XP_012152737.1, XP_012152738.1, XP_012151351.1, XP_012152725.1	XP_008212376.1, XP_031789009.1, XP_031788343.1, XP_032458064.1, XP_031789178.1, XP_008202508.2
OG0000016	XP_012152965.1, XP_012147489.1, XP_012135752.1, XP_012146605.1, XP_012145822.1	XP_032456536.1
OG0000017	XP_012145418.1	NP_001165915.1, XP_031787492.1, XP_001600187.1
OG0000017	XP_003705347.1, XP_012153570.1	NP_001165914.1
OG0000018	XP_003699290.1	XP_001604347.2
OG0000018	XP_012135493.1	XP_031784239.1
OG0000018	XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1
OG0000019	XP_012138710.1, XP_012138725.1	XP_008206500.1, XP_032457652.1, XP_031776844.1
OG0000019	XP_012135889.1	XP_016841509.1, XP_031783474.1, XP_003424417.1
OG0000019	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1	XP_031783671.1
OG0000020	XP_003701701.2	XP_031781856.1
OG0000020	XP_012137465.1	XP_016838656.1, XP_031778996.1
OG0000021	XP_012152676.1, XP_003708291.1	XP_032452884.1, XP_016845846.1, XP_001607795.1
OG0000021	XP_012145971.1, XP_012145969.1	XP_031782052.1, XP_008203719.1
OG0000021	XP_012138701.1	XP_001603725.1
OG0000021	XP_012135825.1	XP_001601834.2
OG0000022	XP_012137783.1	XP_032456078.1
OG0000022	XP_003706155.1	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1
OG0000024	XP_003705303.1	XP_001604944.4
OG0000024	XP_003705639.2	XP_001599160.3
OG0000024	XP_003699641.1, XP_012142103.1	XP_008216554.1
OG0000024	XP_003700292.1	XP_003425961.1, XP_016838044.1, XP_001606051.1, XP_001599715.1, XP_001599851.1, XP_001606577.2, XP_001604918.1, XP_001604981.1, XP_008209485.1, XP_008209484.1, XP_001600270.1
OG0000024	XP_003699642.1	NP_001166221.1
OG0000026	XP_003699994.1	XP_032452024.1
OG0000026	XP_012144087.1	XP_008204831.1
OG0000026	XP_012148280.1, XP_003706585.1	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1
OG0000026	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1	XP_001599666.2
OG0000027	XP_012151723.1	XP_001607199.1, XP_016836796.1, XP_001607554.1, XP_016844944.1, XP_001599220.1, XP_003424595.1, XP_031787587.1
OG0000027	XP_003703732.1	XP_001599471.2
OG0000028	XP_012146123.1	XP_031789120.1, XP_031783906.1
OG0000029	XP_003704047.1, XP_012142317.1	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1
OG0000029	XP_012154358.1	NP_001166265.1
OG0000029	XP_003704721.1	NP_001166272.1
OG0000030	XP_012136054.1	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1
OG0000032	XP_003700812.2	XP_016838416.1
OG0000032	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1	NP_001164368.1
OG0000032	XP_012148506.1	XP_003426142.1, XP_016840393.1, NP_001164369.1
OG0000034	XP_012152458.1, XP_012152457.1, XP_012143815.1, XP_012138783.1, XP_012144879.1, XP_012145209.1, XP_012138607.1, XP_012138602.1, XP_012144545.1, XP_012144983.1, XP_012138996.1, XP_012135624.1, XP_012144703.1, XP_012152700.1, XP_012138758.1, XP_012138767.1, XP_012143908.1, XP_012138745.1, XP_012138734.1, XP_012143137.1, XP_003704403.2, XP_012143138.1, XP_012143140.1, XP_012143135.1, XP_012138695.1, XP_012138708.1, XP_012138654.1, XP_012143136.1	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1
OG0000035	XP_003699462.1	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1
OG0000036	XP_003708656.1, XP_003700660.1	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1
OG0000037	XP_012141146.1	XP_008216622.1, XP_008216623.1
OG0000038	XP_012136030.1, XP_003703285.1	XP_001607699.1, XP_001604160.1
OG0000038	XP_012146808.1, XP_012146805.1	XP_031786847.1, XP_032452100.1
OG0000039	XP_012153215.1, XP_012150922.1, XP_012142568.1	XP_031778424.1
OG0000040	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1
OG0000040	XP_003700882.2, XP_003700841.2	NP_001166069.1, XP_016838948.1, NP_001166068.1, XP_016838625.2, XP_001605658.3, XP_031779738.1
OG0000040	XP_012148108.1	XP_032453050.1, NP_001166054.1, XP_016837013.1
OG0000041	XP_012137793.1, XP_012137792.1, XP_003702208.1	XP_032453601.1, NP_001157191.1, NP_001157192.1
OG0000041	XP_003706099.1, XP_012147265.1, XP_012147267.1, XP_012147266.1	XP_001600960.1
OG0000041	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1	XP_001601342.1
OG0000041	XP_003700544.1	XP_001601504.1, XP_016845814.1
OG0000042	XP_012140350.1	XP_001607893.1
OG0000042	XP_012142134.1, XP_003703962.2	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1
OG0000043	XP_003705047.1	XP_008208463.1
OG0000044	XP_012148083.1	XP_031787739.1
OG0000044	XP_003706475.2	XP_031788192.1
OG0000045	XP_003702695.1	XP_001604688.1, XP_001604507.3, XP_001604459.1
OG0000045	XP_003703631.1	NP_001153339.1, NP_001153340.1
OG0000045	XP_003707415.2	XP_032454987.1, XP_031784367.1
OG0000046	XP_012146503.1	XP_001604460.2
OG0000046	XP_003705538.1	XP_032452163.1, NP_001166228.1
OG0000046	XP_012153320.1	XP_001608044.1
OG0000048	XP_012150784.1	XP_003426470.1
OG0000048	XP_012150787.1, XP_012150786.1	XP_016841096.1
OG0000048	XP_012150782.1	XP_016841091.1, XP_016841092.1, XP_031787184.1
OG0000048	XP_012150780.1, XP_012150778.1	XP_008207163.1
OG0000048	XP_012150870.1, XP_012150871.1	XP_003426658.1
OG0000050	XP_003700585.1	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2
OG0000050	XP_003704799.2	XP_008216259.1, XP_001608200.1
OG0000052	XP_012144734.1	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1
OG0000054	XP_003707234.1	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1
OG0000054	XP_012149797.1, XP_003707236.1	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2
OG0000055	XP_003702736.1	XP_001602853.1
OG0000055	XP_012143001.1	XP_008215920.1
OG0000055	XP_012141945.1	XP_032454549.1
OG0000055	XP_012136069.1	XP_001600035.1, XP_008208159.3
OG0000056	XP_012140855.1	XP_031780252.1
OG0000056	XP_012148645.1	XP_001604931.2
OG0000056	XP_012147749.1	XP_008202999.3
OG0000056	XP_012140860.1	XP_008204847.1
OG0000056	XP_012147777.1, XP_012137428.1, XP_012137427.1	XP_032455826.1
OG0000056	XP_012154207.1, XP_012154186.1	XP_031784842.1
OG0000057	XP_003706217.1	XP_031785452.1
OG0000057	XP_003702759.1	XP_001602360.1
OG0000057	XP_003706216.1	XP_003427519.1
OG0000058	XP_012152350.1, XP_012148352.1, XP_012152307.1, XP_012152319.1, XP_012152339.1, XP_012151894.1	NP_001177491.1
OG0000059	XP_012152118.1	XP_008214724.1
OG0000059	XP_012143826.1	XP_031783002.1
OG0000060	XP_012134573.1, XP_012134574.1, XP_012134572.1	XP_031784439.1, XP_031784422.1, XP_031784431.1
OG0000060	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1
OG0000061	XP_003703873.1	XP_031786737.1, NP_001164380.1
OG0000062	XP_003701703.1	XP_003425371.1
OG0000062	XP_003701707.1	XP_032453005.1, XP_001604985.1
OG0000062	XP_003701665.1	XP_003425370.1
OG0000062	XP_003701666.1	XP_001605148.1
OG0000062	XP_003701705.1, XP_012136839.1, XP_003701702.1	XP_008202211.1
OG0000063	XP_012146122.1, XP_012150530.1, XP_012147290.1, XP_012143814.1	XP_031784224.1
OG0000063	XP_012152389.1, XP_012137504.1	XP_032458024.1
OG0000063	XP_012146118.1	XP_032457267.1
OG0000065	XP_012143903.1, XP_012143889.1, XP_012143895.1	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1
OG0000066	XP_012147361.1, XP_012147785.1, XP_012151330.1, XP_012151855.1	XP_031784236.1, XP_031781387.2, XP_016843120.1, XP_031784228.1
OG0000067	XP_012148170.1	XP_001605420.2
OG0000067	XP_012152266.1	XP_031788440.1
OG0000067	XP_003701916.1	XP_031782248.1
OG0000067	XP_003707128.1	XP_008209138.1
OG0000069	XP_012134491.1	XP_031782526.1, XP_032453936.1
OG0000069	XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1
OG0000071	XP_012148642.1, XP_003706755.2, XP_012148644.1, XP_012148643.1, XP_012149906.1	XP_032455647.1, XP_032455648.1, XP_031784195.1, XP_031785865.1, XP_016845893.1, XP_001602581.1, XP_031788357.1, XP_016840145.2, XP_008215689.1
OG0000072	XP_012149903.1	XP_031785438.1, XP_031788954.1, XP_031788955.1, XP_031781661.1, XP_031786050.1, XP_031777035.1, XP_031777321.1
OG0000072	XP_012144546.1, XP_012148435.1, XP_012135998.1, XP_012145923.1	XP_008213440.1
OG0000072	XP_012152408.1	XP_008207709.1
OG0000072	XP_012151359.1	XP_031789247.1
OG0000073	XP_003702718.1, XP_003702704.1	XP_031786450.1, XP_003428114.1, XP_003428113.1
OG0000074	XP_012149755.1, XP_012149751.1, XP_012149748.1	XP_008207498.1, XP_031787381.1
OG0000076	XP_012149738.1, XP_012152152.1	XP_031788956.1, XP_031778430.1, XP_031789008.1
OG0000077	XP_012150605.1, XP_012150604.1	XP_003423914.1
OG0000077	XP_003703606.1	XP_001605700.1, XP_008203901.1
OG0000078	XP_012149880.1	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1
OG0000079	XP_003703883.1, XP_012142004.1, XP_012142005.1, XP_012141949.1	XP_031783468.1
OG0000080	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1	XP_016838697.1, XP_001600017.1
OG0000080	XP_003700522.1	XP_001600048.1
OG0000080	XP_003700524.1	XP_016838620.1
OG0000082	XP_012151975.1	XP_016845753.1
OG0000084	XP_003701826.2	NP_001161311.1
OG0000084	XP_003701043.1	NP_001161297.1, NP_001161274.1, NP_001161305.1
OG0000085	XP_003702681.1	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1
OG0000086	XP_003699659.2	XP_031786740.1, NP_001166061.1
OG0000086	XP_012143956.1, XP_012143955.1	XP_008218019.2
OG0000087	XP_003708584.1	NP_001153411.1
OG0000087	XP_012153278.1	XP_003425364.1, XP_001604204.2
OG0000089	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1	XP_016843743.1
OG0000089	XP_003706466.1	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2
OG0000090	XP_012145434.1, XP_012150434.1	XP_031781279.1, XP_031785958.1
OG0000090	XP_012143883.1	XP_031777007.1
OG0000091	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2
OG0000092	XP_003702709.1	NP_001153343.1
OG0000092	XP_003702708.1	XP_016843499.1
OG0000092	XP_012142981.1, XP_003704244.1	XP_001599003.1
OG0000093	XP_012151025.1	XP_008205360.1
OG0000093	XP_012151021.1, XP_012152030.1	XP_031789189.1
OG0000094	XP_012151693.1	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1
OG0000094	XP_012154361.1	XP_001600571.1
OG0000096	XP_012147708.1	XP_008209422.1
OG0000096	XP_012137363.1, XP_012137365.1	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1
OG0000097	XP_012153341.1	XP_001600781.1
OG0000097	XP_003705350.1	NP_001166227.1, XP_008208182.1
OG0000098	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1
OG0000099	XP_003705981.1, XP_012146974.1	XP_008207065.2
OG0000099	XP_012136224.1	XP_031785392.1
OG0000100	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1
OG0000101	XP_012141182.1, XP_012141571.1	XP_016842653.2
OG0000101	XP_012141186.1, XP_003703468.1	NP_001155060.1
OG0000102	XP_012135996.1	XP_031786135.1
OG0000102	XP_012135835.1	XP_031786805.1
OG0000103	XP_003699704.1	XP_031786310.1, XP_001604969.2
OG0000106	XP_003706674.1, XP_012146762.1, XP_012146725.1, XP_012146726.1, XP_012146761.1, XP_012146727.1, XP_012146759.1	NP_001177643.1, NP_001177620.1, NP_001177621.1
OG0000108	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1
OG0000109	XP_003700281.2	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1
OG0000110	XP_012147291.1, XP_012139832.1	XP_008201867.1
OG0000111	XP_012143770.1	XP_008217621.1, XP_008217622.1, XP_016837442.1
OG0000111	XP_003708569.1	XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1
OG0000111	XP_012135601.1, XP_012135600.1	XP_001605587.3
OG0000112	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1	XP_003425489.1
OG0000112	XP_003700355.1, XP_012154003.1	XP_031780635.1
OG0000113	XP_003701045.1	XP_031785048.1, XP_001599906.1, XP_008208626.1
OG0000113	XP_003699454.1	XP_001603394.1, XP_008204873.1, XP_001603447.1
OG0000114	XP_003707384.2	XP_031788613.1, NP_001155043.1, XP_032454692.1
OG0000115	XP_003703956.1, XP_012139900.1	NP_001165922.1, NP_001165921.1, NP_001165923.1
OG0000115	XP_003703954.1	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1
OG0000116	XP_003700102.1, XP_012150301.1, XP_003700101.1	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1
OG0000117	XP_012142234.1	XP_003424885.1
OG0000117	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1	XP_016845279.1, XP_003428202.1, XP_008214870.1
OG0000119	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1
OG0000122	XP_003705279.2	XP_001604760.1
OG0000122	XP_003699551.1	XP_031780275.1
OG0000123	XP_003702607.2	XP_032452434.1, XP_001602993.1
OG0000124	XP_003703399.2	XP_031781470.1
OG0000125	XP_003703348.2	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1
OG0000126	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1	XP_031784298.1, NP_001161164.1
OG0000127	XP_003707941.2	XP_031782271.1, XP_031782270.1
OG0000127	XP_012151449.1	XP_001606042.2
OG0000128	XP_012148429.1	XP_031781757.1
OG0000128	XP_012145950.1	XP_016839119.2, XP_031781536.1
OG0000129	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1	XP_032454413.1, XP_016839449.1
OG0000130	XP_003702400.1	XP_031776696.1
OG0000131	XP_012138681.1, XP_003699377.1	NP_001153335.1, XP_032458192.1
OG0000131	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1
OG0000132	XP_003706203.1, XP_012147468.1	XP_031780045.1, XP_032453407.1
OG0000132	XP_012152838.1, XP_003708422.1	XP_016837749.1
OG0000133	XP_003707714.1	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1
OG0000135	XP_003701934.1, XP_012137460.1	XP_001603134.1
OG0000135	XP_003708004.1	XP_001603371.1
OG0000136	XP_003705561.1, XP_012146210.1	XP_008208307.1
OG0000137	XP_012135720.1, XP_012140417.1	XP_016841737.2
OG0000138	XP_012141572.1, XP_012141209.1	XP_031787653.1, XP_001605659.1
OG0000139	XP_003700273.1	XP_031783357.1, XP_001606341.1
OG0000139	XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1
OG0000140	XP_012139579.1, XP_012139878.1	XP_003424447.1
OG0000141	XP_003701926.1	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1
OG0000142	XP_003704387.2, XP_012143007.1	XP_031788758.1, NP_001177427.1, NP_001177428.1
OG0000143	XP_003702327.1	XP_008203875.1
OG0000143	XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1	XP_003425736.1, XP_001605275.2, XP_032454553.1
OG0000144	XP_003705520.2	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1
OG0000144	XP_003705522.1	NP_001164332.1
OG0000145	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1	XP_001607062.1
OG0000145	XP_012138596.1	XP_001602428.1
OG0000146	XP_003705369.1	XP_016840249.1
OG0000146	XP_003708217.1	XP_032452549.1, XP_001602324.1
OG0000147	XP_012151556.1, XP_003707862.1, XP_012151555.1	XP_001600440.1
OG0000147	XP_012149993.1, XP_003707471.1	XP_001602387.1
OG0000149	XP_012147339.1	XP_001606233.2
OG0000149	XP_012147343.1, XP_012147342.1, XP_003706133.1	XP_016840414.1, XP_008211722.2
OG0000150	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1	XP_031781028.1, XP_031781038.1, XP_032457432.1
OG0000151	XP_003704470.2	XP_003426709.1
OG0000152	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1
OG0000153	XP_012139835.1	XP_031778705.1, XP_031778704.1, XP_031778706.1
OG0000154	XP_012152021.1	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1
OG0000156	XP_012150894.1	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1
OG0000158	XP_012150087.1, XP_012150086.1	XP_016840739.1, XP_031785765.1, XP_016840738.1
OG0000160	XP_012147327.1	XP_008204617.1
OG0000160	XP_012138102.1, XP_003702188.1	XP_003424871.1, XP_003424872.1
OG0000161	XP_003703976.1	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1
OG0000162	XP_003699383.2	NP_001234904.1, XP_031787426.1
OG0000162	XP_012151345.1	XP_031789332.1, NP_001234893.1
OG0000164	XP_012138610.1, XP_012138588.1, XP_012138609.1	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1
OG0000165	XP_012138919.1	XP_008211085.1
OG0000166	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1
OG0000168	XP_012142201.1	XP_008207992.2
OG0000168	XP_012139252.1	XP_031785658.1
OG0000170	XP_012135505.1	XP_032453170.1
OG0000170	XP_003701076.1	XP_001604322.2
OG0000170	XP_012143625.1	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2
OG0000171	XP_003704787.1, XP_012144044.1	XP_016838928.1, XP_001608062.2, XP_031780002.1
