Orthogroup	Megachile_rotundata	Osmia_bicornis
OG0000010	XP_012152972.1, XP_012150535.1, XP_012143531.1, XP_012153225.1	XP_029054044.1, XP_029054342.1, XP_029053689.1, XP_029053833.1, XP_029054571.1, XP_029055204.1, XP_029055000.1, XP_029054706.1, XP_029054282.1, XP_029054238.1
OG0000010	XP_012153217.1	XP_029054090.1
OG0000010	XP_012145702.1	XP_029053688.1, XP_029055081.1
OG0000011	XP_003704160.1, XP_003704145.1	XP_029054371.1
OG0000011	XP_003704159.1	XP_029054367.1
OG0000011	XP_012152696.1, XP_012152697.1	XP_029039510.1, XP_029039509.1, XP_029039508.1
OG0000011	XP_012152699.1, XP_012142611.1, XP_003708369.2, XP_012152698.1, XP_012142612.1	XP_029039474.1, XP_029039507.1
OG0000011	XP_012142616.1	XP_029053128.1, XP_029053127.1, XP_029052576.1, XP_029054131.1, XP_029054129.1, XP_029052577.1, XP_029053130.1, XP_029053132.1, XP_029053134.1, XP_029052579.1, XP_029053590.1, XP_029053754.1, XP_029053755.1
OG0000011	XP_012142615.1	XP_029053123.1, XP_029054135.1, XP_029053126.1
OG0000011	XP_012142614.1	XP_029053131.1, XP_029054368.1
OG0000012	XP_012141586.1	XP_029044618.1
OG0000012	XP_003705464.1	XP_029040151.1
OG0000012	XP_003705466.1	XP_029040169.1
OG0000012	XP_003705999.2	XP_029036967.1
OG0000012	XP_012146828.1	XP_029036856.1
OG0000013	XP_003707914.1	XP_029053452.1, XP_029054967.1, XP_029053453.1
OG0000013	XP_003708097.1	XP_029037650.1
OG0000014	XP_003703733.1	XP_029035522.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029054088.1, XP_029051685.1
OG0000014	XP_012153581.1, XP_012141730.1	XP_029051694.1
OG0000014	XP_003707917.1	XP_029051987.1
OG0000015	XP_012145739.1, XP_012152739.1, XP_012152726.1	XP_029054814.1
OG0000016	XP_012147724.1, XP_012151016.1	XP_029055268.1
OG0000016	XP_012141582.1	XP_029055014.1, XP_029051957.1, XP_029054619.1
OG0000017	XP_012136742.1	XP_029036237.1
OG0000017	XP_012145418.1	XP_029039562.1
OG0000017	XP_012145417.1	XP_029039555.1
OG0000017	XP_012153570.1	XP_029039565.1, XP_029039563.1, XP_029039564.1
OG0000018	XP_003699290.1	XP_029049739.1, XP_029049738.1, XP_029049740.1
OG0000018	XP_012135493.1	XP_029049735.1
OG0000018	XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1	XP_029036695.1
OG0000019	XP_012138718.1, XP_012138710.1, XP_012138725.1	XP_029052871.1, XP_029052872.1
OG0000019	XP_012135889.1	XP_029052293.1
OG0000019	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1	XP_029033414.1
OG0000020	XP_012144180.1	XP_029050516.1
OG0000020	XP_003701701.2	XP_029055041.1
OG0000020	XP_012141764.1	XP_029042549.1
OG0000020	XP_012136672.1	XP_029034229.1
OG0000020	XP_012137465.1	XP_029032757.1
OG0000021	XP_012152676.1, XP_003708291.1	XP_029039360.1, XP_029039361.1, XP_029039362.1
OG0000021	XP_012145971.1, XP_012145969.1	XP_029032147.1
OG0000021	XP_012138701.1	XP_029046571.1
OG0000021	XP_012135825.1	XP_029049609.1
OG0000021	XP_012152675.1, XP_003708289.1	XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1
OG0000022	XP_012151724.1	XP_029051703.1
OG0000022	XP_003706155.1	XP_029035866.1
OG0000022	XP_012141737.1	XP_029053362.1
OG0000023	XP_003707916.2	XP_029053954.1, XP_029055089.1
OG0000024	XP_003705303.1	XP_029051585.1, XP_029051584.1, XP_029051583.1
OG0000024	XP_003705288.1	XP_029051581.1
OG0000024	XP_003705639.2	XP_029052345.1
OG0000024	XP_003699641.1, XP_012142103.1	XP_029045871.1
OG0000024	XP_003699642.1	XP_029045870.1
OG0000026	XP_003699994.1	XP_029039364.1
OG0000026	XP_012148280.1, XP_003706585.1	XP_029035302.1
OG0000026	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1	XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1
OG0000027	XP_012151723.1	XP_029053460.1, XP_029053459.1, XP_029053373.1
OG0000027	XP_003703732.1	XP_029035641.1, XP_029053960.1
OG0000028	XP_012146123.1	XP_029053767.1, XP_029054640.1, XP_029053970.1
OG0000028	XP_012145356.1	XP_029055248.1
OG0000028	XP_012142411.1	XP_029054545.1, XP_029054436.1
OG0000028	XP_012150523.1	XP_029054504.1, XP_029055176.1, XP_029053692.1, XP_029054588.1
OG0000028	XP_012151895.1	XP_029054284.1, XP_029053972.1
OG0000029	XP_003704047.1	XP_029041154.1
OG0000029	XP_012142317.1	XP_029041149.1
OG0000029	XP_012154358.1	XP_029049864.1, XP_029049863.1
OG0000029	XP_003704721.1	XP_029041266.1
OG0000030	XP_012151824.1	XP_029038013.1, XP_029038012.1
OG0000030	XP_012136054.1	XP_029049282.1
OG0000031	XP_012135348.1, XP_012135354.1, XP_012135355.1	XP_029039306.1, XP_029039307.1, XP_029039305.1, XP_029039303.1, XP_029039304.1, XP_029053776.1, XP_029053777.1, XP_029053775.1, XP_029053774.1, XP_029053773.1, XP_029053772.1, XP_029053771.1
OG0000031	XP_012143884.1	XP_029054853.1, XP_029055093.1, XP_029054751.1, XP_029055141.1
OG0000031	XP_012147592.1	XP_029035531.1
OG0000032	XP_003700219.1	XP_029055718.1
OG0000032	XP_003700218.1	XP_029055719.1, XP_029055717.1
OG0000032	XP_012148506.1	XP_029050538.1
OG0000034	XP_012138745.1	XP_029052867.1, XP_029052866.1
OG0000034	XP_012138734.1	XP_029052851.1, XP_029052877.1
OG0000034	XP_012143137.1, XP_003704403.2, XP_012143138.1, XP_012143140.1, XP_012143135.1	XP_029048590.1, XP_029048589.1
OG0000034	XP_012138695.1, XP_012138708.1, XP_012138654.1	XP_029052850.1
OG0000035	XP_003699462.1	XP_029032235.1
OG0000036	XP_003708655.1	XP_029047761.1
OG0000036	XP_012134943.1	XP_029047766.1
OG0000036	XP_003708656.1	XP_029047764.1
OG0000036	XP_003700660.1	XP_029043016.1, XP_029043017.1
OG0000037	XP_012141146.1	XP_029047042.1
OG0000038	XP_012136030.1	XP_029041947.1
OG0000038	XP_003703285.1	XP_029050411.1
OG0000038	XP_012138042.1	XP_029032964.1
OG0000038	XP_012143992.1	XP_029039496.1
OG0000038	XP_012146808.1	XP_029036717.1
OG0000038	XP_012146805.1	XP_029036716.1
OG0000038	XP_012148553.1	XP_029034840.1
OG0000038	XP_012153286.1	XP_029045842.1, XP_029045843.1, XP_029045841.1
OG0000040	XP_003700885.1, XP_012135227.1	XP_029055961.1
OG0000040	XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1	XP_029055960.1, XP_029055959.1
OG0000041	XP_012137793.1, XP_012137792.1, XP_003702208.1	XP_029032654.1, XP_029032653.1
OG0000041	XP_012147267.1, XP_012147266.1	XP_029038902.1
OG0000041	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1	XP_029038901.1, XP_029038899.1
OG0000041	XP_003700544.1	XP_029053007.1
OG0000043	XP_003705047.1	XP_029038126.1
OG0000043	XP_012153654.1	XP_029042859.1
OG0000043	XP_003700214.1	XP_029042860.1
OG0000043	XP_003708519.1	XP_029032665.1
OG0000044	XP_012148083.1	XP_029033389.1, XP_029033390.1
OG0000044	XP_012148084.1	XP_029033388.1
OG0000044	XP_003706475.2	XP_029033272.1, XP_029033270.1, XP_029033271.1
OG0000045	XP_003702695.1	XP_029050902.1, XP_029050927.1, XP_029050914.1
OG0000045	XP_003703631.1	XP_029043746.1
OG0000046	XP_012146503.1	XP_029046126.1
OG0000046	XP_003705538.1	XP_029054140.1
OG0000046	XP_012153320.1	XP_029049335.1
OG0000046	XP_003705669.2	XP_029049438.1, XP_029049436.1, XP_029049437.1
OG0000048	XP_012150784.1	XP_029038641.1
OG0000048	XP_012150787.1	XP_029038651.1
OG0000048	XP_012150791.1	XP_029038664.1
OG0000050	XP_003700585.1	XP_029035421.1
OG0000050	XP_003704799.2	XP_029047238.1
OG0000051	XP_012153588.1	XP_029049350.1
OG0000051	XP_012136548.1	XP_029043251.1
OG0000051	XP_012145580.1	XP_029055083.1, XP_029054931.1
OG0000051	XP_012146258.1, XP_012153222.1, XP_012152153.1	XP_029054696.1
OG0000051	XP_012139276.1	XP_029055007.1, XP_029054712.1, XP_029055094.1
OG0000053	XP_012143221.1	XP_029035920.1, XP_029035921.1
OG0000053	XP_012148640.1	XP_029055282.1, XP_029054610.1
OG0000053	XP_012148086.1	XP_029054892.1
OG0000054	XP_003707234.1	XP_029050144.1
OG0000054	XP_012149797.1	XP_029050156.1
OG0000054	XP_003707236.1	XP_029050150.1
OG0000055	XP_003702736.1	XP_029033370.1, XP_029033371.1
OG0000055	XP_012143001.1	XP_029035680.1
OG0000055	XP_012141945.1	XP_029033281.1, XP_029033290.1, XP_029033297.1
OG0000055	XP_012136069.1	XP_029033206.1
OG0000056	XP_012140855.1	XP_029043848.1, XP_029043447.1
OG0000056	XP_012147749.1	XP_029041052.1
OG0000056	XP_012140860.1	XP_029050404.1
OG0000056	XP_012137428.1, XP_012137427.1	XP_029048153.1
OG0000056	XP_012154207.1, XP_012154186.1	XP_029044167.1
OG0000057	XP_003706217.1	XP_029035838.1
OG0000057	XP_003702759.1	XP_029041778.1
OG0000057	XP_012147418.1	XP_029035983.1
OG0000057	XP_003706216.1	XP_029035967.1
OG0000058	XP_012152350.1	XP_029038287.1
OG0000058	XP_012148352.1	XP_029038274.1
OG0000058	XP_012152307.1	XP_029038900.1, XP_029038888.1, XP_029038873.1, XP_029038863.1
OG0000059	XP_012152118.1	XP_029055288.1
OG0000059	XP_012148650.1	XP_029055211.1, XP_029055299.1
OG0000059	XP_012143826.1	XP_029055212.1
OG0000060	XP_012134573.1, XP_012134574.1, XP_012134572.1	XP_029056239.1, XP_029056240.1
OG0000060	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1
OG0000061	XP_003703873.1	XP_029042514.1
OG0000061	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1	XP_029037437.1
OG0000061	XP_012153335.1	XP_029047750.1, XP_029047749.1, XP_029047748.1, XP_029047747.1, XP_029047746.1, XP_029047743.1, XP_029047752.1, XP_029047751.1, XP_029047745.1, XP_029047753.1
OG0000062	XP_003701703.1	XP_029054767.1
OG0000062	XP_003701707.1	XP_029054389.1
OG0000062	XP_003701665.1	XP_029054437.1
OG0000062	XP_003701666.1	XP_029054392.1
OG0000062	XP_003701705.1	XP_029054447.1
OG0000062	XP_012136839.1, XP_003701702.1	XP_029054763.1
OG0000063	XP_012146122.1, XP_012150530.1, XP_012147290.1, XP_012143814.1	XP_029053925.1
OG0000063	XP_012146118.1	XP_029055304.1
OG0000063	XP_012147780.1	XP_029046072.1, XP_029037443.1, XP_029054529.1, XP_029055142.1
OG0000063	XP_012145926.1, XP_012144350.1, XP_012137700.1	XP_029054014.1, XP_029054084.1
OG0000063	XP_012148630.1	XP_029054652.1
OG0000063	XP_012153574.1	XP_029054876.1
OG0000064	XP_012142565.1	XP_029049217.1
OG0000064	XP_003704115.1, XP_012142564.1, XP_012142566.1	XP_029049232.1, XP_029049008.1
OG0000065	XP_012143903.1, XP_012143889.1, XP_012143895.1	XP_029047719.1
OG0000067	XP_012148170.1	XP_029053164.1
OG0000067	XP_012152266.1	XP_029042775.1
OG0000067	XP_003701916.1	XP_029032763.1
OG0000067	XP_003707128.1	XP_029039161.1
OG0000069	XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1	XP_029035424.1, XP_029035422.1
OG0000069	XP_012154576.1	XP_029035425.1, XP_029035429.1
OG0000070	XP_012150706.1	XP_029038581.1
OG0000071	XP_012148642.1, XP_003706755.2, XP_012148644.1, XP_012148643.1, XP_012149906.1	XP_029055115.1, XP_029054219.1, XP_029055020.1
OG0000072	XP_012140869.1	XP_029055286.1
OG0000072	XP_012144546.1, XP_012148435.1, XP_012135998.1	XP_029053885.1, XP_029055169.1, XP_029053735.1, XP_029055057.1, XP_029054943.1, XP_029054530.1, XP_029055166.1
OG0000072	XP_012145923.1	XP_029053861.1
OG0000072	XP_012151359.1	XP_029055058.1, XP_029055170.1
OG0000073	XP_003702701.1, XP_012139216.1	XP_029054983.1, XP_029052801.1, XP_029050690.1
OG0000073	XP_003702718.1	XP_029051176.1
OG0000073	XP_003702704.1	XP_029051151.1
OG0000074	XP_012149755.1, XP_012149751.1, XP_012149748.1	XP_029038270.1
OG0000074	XP_003705844.2	XP_029053481.1
OG0000075	XP_012138856.1, XP_012135022.1, XP_012144543.1	XP_029044179.1, XP_029044180.1
OG0000075	XP_012148659.1	XP_029053546.1
OG0000076	XP_012149738.1, XP_012152152.1	XP_029054930.1
OG0000076	XP_012147801.1	XP_029055232.1
OG0000076	XP_012152108.1, XP_012153216.1	XP_029054991.1
OG0000076	XP_012147289.1, XP_012151864.1, XP_012143820.1, XP_012153234.1	XP_029055294.1, XP_029055240.1, XP_029054468.1, XP_029053734.1
OG0000076	XP_012146526.1, XP_012136798.1, XP_012136213.1, XP_012151893.1	XP_029054673.1, XP_029054785.1, XP_029054773.1, XP_029054062.1
OG0000076	XP_012150534.1	XP_029053971.1
OG0000077	XP_012150605.1, XP_012150604.1	XP_029041461.1
OG0000077	XP_003703606.1	XP_029051620.1
OG0000078	XP_012149880.1	XP_029038384.1
OG0000078	XP_012149881.1, XP_012149882.1	XP_029038253.1
OG0000079	XP_012142004.1	XP_029035221.1
OG0000080	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1	XP_029048618.1, XP_029048619.1
OG0000080	XP_003700522.1	XP_029048621.1, XP_029048620.1
OG0000080	XP_003700524.1	XP_029048655.1
OG0000081	XP_012143986.1	XP_029040924.1, XP_029040923.1
OG0000081	XP_012143988.1	XP_029040922.1, XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1, XP_029040871.1
OG0000082	XP_012151975.1	XP_029037393.1
OG0000082	XP_012151997.1	XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1
OG0000082	XP_012151993.1	XP_029037395.1
OG0000084	XP_003701847.1	XP_029034284.1
OG0000084	XP_003701826.2	XP_029034302.1
OG0000084	XP_003701043.1	XP_029039752.1
OG0000085	XP_003702681.1	XP_029036566.1, XP_029036567.1
OG0000085	XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1	XP_029036300.1, XP_029036301.1
OG0000086	XP_012143956.1, XP_012143955.1	XP_029036714.1
OG0000087	XP_003708584.1	XP_029056467.1
OG0000088	XP_003701082.1	XP_029051133.1
OG0000089	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1	XP_029053161.1, XP_029053163.1, XP_029053162.1
OG0000089	XP_003706466.1	XP_029051588.1
OG0000090	XP_012149905.1	XP_029055220.1
OG0000091	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1	XP_029041126.1, XP_029041124.1
OG0000092	XP_012144682.1	XP_029048799.1
OG0000092	XP_003702709.1	XP_029041975.1, XP_029041991.1
OG0000092	XP_003702708.1	XP_029043422.1, XP_029044965.1, XP_029044957.1
OG0000092	XP_012142981.1, XP_003704244.1	XP_029036169.1
OG0000094	XP_012151693.1	XP_029033929.1
OG0000094	XP_012154361.1	XP_029050994.1
OG0000096	XP_012147708.1	XP_029039146.1
OG0000096	XP_012137363.1, XP_012137365.1	XP_029053037.1
OG0000097	XP_012153341.1	XP_029033159.1, XP_029033157.1, XP_029033158.1
OG0000097	XP_003705350.1	XP_029042191.1, XP_029042190.1
OG0000098	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1
OG0000099	XP_003705981.1, XP_012146974.1	XP_029034823.1
OG0000099	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1	XP_029034765.1
OG0000099	XP_012136224.1	XP_029045960.1
OG0000100	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1
OG0000101	XP_012141571.1	XP_029038150.1
OG0000101	XP_012141186.1, XP_003703468.1	XP_029038151.1
OG0000102	XP_012135996.1	XP_029052948.1
OG0000103	XP_012144424.1	XP_029044547.1
OG0000103	XP_003699704.1	XP_029044558.1, XP_029044556.1
OG0000103	XP_012143723.1	XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1
OG0000106	XP_003706674.1	XP_029044943.1
OG0000106	XP_012146762.1, XP_012146725.1, XP_012146726.1, XP_012146761.1, XP_012146727.1	XP_029048081.1, XP_029048075.1, XP_029048076.1
OG0000106	XP_012146759.1	XP_029048085.1, XP_029048080.1, XP_029048078.1, XP_029048084.1
OG0000107	XP_012151270.1, XP_012151275.1	XP_029051339.1
OG0000108	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1	XP_029040200.1, XP_029040201.1
OG0000109	XP_003700281.2	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1
OG0000110	XP_012147291.1	XP_029038421.1, XP_029038418.1, XP_029038419.1
OG0000110	XP_012139832.1	XP_029043468.1
OG0000111	XP_012143770.1	XP_029036880.1
OG0000111	XP_003708569.1	XP_029044472.1, XP_029044473.1, XP_029044439.1, XP_029044436.1, XP_029044435.1, XP_029044432.1, XP_029044433.1, XP_029044430.1
OG0000111	XP_012135600.1	XP_029047148.1
OG0000112	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1	XP_029046532.1, XP_029046533.1
OG0000112	XP_003700355.1, XP_012154003.1	XP_029048168.1
OG0000113	XP_003701045.1	XP_029037699.1
OG0000113	XP_003699454.1	XP_029048517.1
OG0000114	XP_003707384.2	XP_029036590.1
OG0000115	XP_012139900.1	XP_029035566.1
OG0000116	XP_003700102.1	XP_029036993.1, XP_029036999.1
OG0000116	XP_012150301.1, XP_003700101.1	XP_029037819.1, XP_029037828.1
OG0000117	XP_012142234.1	XP_029050106.1
OG0000117	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1
OG0000119	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1	XP_029036815.1
OG0000119	XP_012150745.1, XP_012150740.1	XP_029036844.1
OG0000120	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1	XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1
OG0000122	XP_003705279.2	XP_029051575.1
OG0000122	XP_003702313.1	XP_029054705.1
OG0000123	XP_003702607.2	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1
OG0000124	XP_003703399.2	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1
OG0000125	XP_003703348.2	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1
OG0000126	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1	XP_029049833.1, XP_029049843.1
OG0000127	XP_012151449.1	XP_029049523.1, XP_029049524.1
OG0000128	XP_012148429.1, XP_012145950.1	XP_029054570.1
OG0000129	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1
OG0000130	XP_012141591.1	XP_029040004.1
OG0000130	XP_003703718.1	XP_029040144.1, XP_029040135.1, XP_029040130.1
OG0000130	XP_003702400.1	XP_029040646.1
OG0000131	XP_012138681.1, XP_003699377.1	XP_029035464.1
OG0000131	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1	XP_029032564.1, XP_029032565.1, XP_029032563.1
