Orthogroup	Megachile_rotundata	Polistes_dominula
OG0000038	XP_012143992.1	XP_015179091.1
OG0000038	XP_012146808.1, XP_012146805.1	XP_015185565.1
OG0000038	XP_012148553.1	XP_015184119.1
OG0000040	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1	XP_015175500.1
OG0000040	XP_012148108.1	XP_015186212.1
OG0000041	XP_012137793.1, XP_012137792.1, XP_003702208.1	XP_015182473.1, XP_015182472.1
OG0000041	XP_012147267.1, XP_012147266.1	XP_015179142.1
OG0000041	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1	XP_015179139.1, XP_015179141.1
OG0000042	XP_012142134.1, XP_003703962.2	XP_015171717.1, XP_015171718.1, XP_015171719.1
OG0000043	XP_003705047.1	XP_015177490.1, XP_015177491.1
OG0000043	XP_003700214.1	XP_015187201.1
OG0000043	XP_003708519.1	XP_015180729.1
OG0000044	XP_012148083.1	XP_015184594.1
OG0000044	XP_003706475.2	XP_015184599.1
OG0000045	XP_003702695.1	XP_015183311.1, XP_015183284.1
OG0000045	XP_003703631.1	XP_015173221.1
OG0000045	XP_003707415.2	XP_015172085.1
OG0000046	XP_012146503.1	XP_015179269.1
OG0000046	XP_003705538.1	XP_015177712.1
OG0000046	XP_012153320.1	XP_015174688.1, XP_015174687.1
OG0000048	XP_012150787.1	XP_015178594.1
OG0000048	XP_012150791.1	XP_015178617.1
OG0000048	XP_012150782.1	XP_015178591.1
OG0000048	XP_012150780.1, XP_012150778.1	XP_015178590.1
OG0000048	XP_012150870.1	XP_015178620.1
OG0000048	XP_012150871.1	XP_015178616.1
OG0000050	XP_003700585.1	XP_015187332.1, XP_015175623.1
OG0000051	XP_012146258.1, XP_012153222.1, XP_012152153.1	XP_015188887.1
OG0000053	XP_003708046.2	XP_015179305.1
OG0000053	XP_012145741.1, XP_012148086.1	XP_015189792.1, XP_015186004.1
OG0000054	XP_003707234.1	XP_015175390.1
OG0000054	XP_012149797.1, XP_003707236.1	XP_015175295.1, XP_015175296.1, XP_015175389.1
OG0000055	XP_003702736.1	XP_015171080.1
OG0000055	XP_012143001.1	XP_015176664.1
OG0000055	XP_012136069.1	XP_015173765.1, XP_015173767.1
OG0000056	XP_012140855.1	XP_015176704.1
OG0000056	XP_012148645.1	XP_015178312.1
OG0000056	XP_012147749.1	XP_015175416.1
OG0000056	XP_012140860.1	XP_015181793.1
OG0000056	XP_012147777.1, XP_012137428.1, XP_012137427.1	XP_015173622.1
OG0000056	XP_012154207.1, XP_012154186.1	XP_015181325.1
OG0000057	XP_003706217.1	XP_015171970.1
OG0000057	XP_003702759.1	XP_015173587.1
OG0000057	XP_012147418.1	XP_015171878.1
OG0000057	XP_003706216.1	XP_015171877.1
OG0000058	XP_012152350.1	XP_015182294.1, XP_015182349.1, XP_015182350.1
OG0000060	XP_012134573.1, XP_012134574.1, XP_012134572.1	XP_015185766.1, XP_015185775.1
OG0000060	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1	XP_015181080.1, XP_015181079.1
OG0000061	XP_003703873.1	XP_015188543.1
OG0000061	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1	XP_015177990.1
OG0000062	XP_012135095.1	XP_015179445.1
OG0000062	XP_003701703.1	XP_015173092.1
OG0000062	XP_003701707.1	XP_015178479.1
OG0000063	XP_012151854.1	XP_015186953.1
OG0000064	XP_012142565.1, XP_003704115.1, XP_012142564.1, XP_012142566.1	XP_015178584.1, XP_015185301.1, XP_015185287.1, XP_015185289.1, XP_015185300.1
OG0000065	XP_012143903.1, XP_012143889.1, XP_012143895.1	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1
OG0000066	XP_012147361.1, XP_012147785.1, XP_012151330.1, XP_012151855.1	XP_015189876.1
OG0000067	XP_012148170.1	XP_015179349.1
OG0000067	XP_012137444.1, XP_012137447.1	XP_015185638.1
OG0000067	XP_012152266.1	XP_015180637.1
OG0000067	XP_003707128.1	XP_015182629.1
OG0000069	XP_012134491.1, XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1	XP_015175625.1
OG0000069	XP_012154576.1	XP_015175624.1
OG0000070	XP_012150706.1	XP_015181201.1
OG0000071	XP_012148642.1, XP_003706755.2, XP_012148644.1, XP_012148643.1, XP_012149906.1	XP_015181519.1, XP_015184877.1, XP_015189177.1
OG0000072	XP_012145919.1	XP_015188086.1
OG0000072	XP_012149903.1, XP_012140869.1	XP_015176122.1
OG0000073	XP_003702701.1, XP_012139216.1, XP_003702702.1	XP_015173919.1
OG0000074	XP_012149755.1, XP_012149751.1, XP_012149748.1	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1
OG0000074	XP_012150538.1	XP_015188227.1
OG0000075	XP_012138856.1	XP_015189044.1, XP_015182495.1, XP_015189743.1, XP_015189925.1, XP_015190539.1, XP_015189824.1, XP_015189304.1
OG0000077	XP_012150605.1, XP_012150604.1	XP_015188023.1
OG0000077	XP_003703606.1	XP_015179002.1, XP_015185970.1
OG0000078	XP_012149880.1	XP_015185284.1, XP_015185291.1, XP_015185285.1
OG0000079	XP_012142005.1	XP_015174902.1
OG0000079	XP_012141949.1	XP_015176401.1
OG0000080	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1	XP_015185202.1, XP_015185201.1, XP_015185203.1
OG0000080	XP_003700522.1	XP_015188705.1, XP_015188706.1
OG0000080	XP_003700524.1	XP_015185196.1
OG0000082	XP_012151975.1	XP_015175969.1
OG0000082	XP_012151997.1, XP_012151993.1	XP_015175968.1
OG0000084	XP_003701847.1	XP_015180887.1
OG0000084	XP_003701826.2	XP_015180880.1
OG0000085	XP_003702681.1	XP_015172015.1
OG0000085	XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1
OG0000086	XP_012143956.1, XP_012143955.1	XP_015175698.1
OG0000087	XP_003708584.1	XP_015179311.1
OG0000088	XP_003701082.1	XP_015175828.1
OG0000089	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1	XP_015191649.1
OG0000089	XP_003706466.1	XP_015191842.1
OG0000090	XP_012143883.1	XP_015177657.1, XP_015177658.1, XP_015187981.1, XP_015189703.1, XP_015177660.1, XP_015187339.1, XP_015182594.1
OG0000090	XP_012153207.1	XP_015187353.1, XP_015179220.1
OG0000090	XP_012146536.1, XP_012148628.1, XP_012149905.1	XP_015185985.1
OG0000091	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1	XP_015190282.1, XP_015190273.1
OG0000092	XP_012144682.1	XP_015182560.1
OG0000092	XP_003702709.1	XP_015171266.1
OG0000092	XP_003702708.1	XP_015171261.1
OG0000092	XP_012142981.1, XP_003704244.1	XP_015180692.1
OG0000093	XP_012151025.1, XP_012151021.1, XP_012152030.1	XP_015189759.1
OG0000094	XP_012151693.1	XP_015176150.1, XP_015184885.1
OG0000094	XP_012154361.1	XP_015175380.1
OG0000096	XP_012147708.1	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1
OG0000096	XP_012137363.1, XP_012137365.1	XP_015178304.1
OG0000097	XP_012153341.1	XP_015172032.1, XP_015172041.1
OG0000097	XP_003705350.1	XP_015182319.1, XP_015182320.1, XP_015177848.1
OG0000098	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1
OG0000099	XP_003705981.1, XP_012146974.1	XP_015176643.1
OG0000099	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1	XP_015176645.1
OG0000099	XP_012136224.1	XP_015179938.1
OG0000100	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1
OG0000101	XP_012141182.1, XP_012141571.1	XP_015184968.1
OG0000101	XP_012141186.1, XP_003703468.1	XP_015178204.1, XP_015178201.1
OG0000102	XP_012135996.1	XP_015177204.1
OG0000102	XP_012135835.1	XP_015177232.1
OG0000103	XP_012144431.1, XP_012144424.1	XP_015173914.1
OG0000103	XP_003699704.1	XP_015174400.1, XP_015174392.1
OG0000103	XP_012143723.1	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1
OG0000106	XP_003706674.1	XP_015189668.1
OG0000106	XP_012146762.1, XP_012146725.1, XP_012146726.1, XP_012146761.1, XP_012146727.1, XP_012146759.1	XP_015179304.1
OG0000107	XP_012151270.1, XP_012151275.1	XP_015172211.1, XP_015172212.1
OG0000108	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1	XP_015181990.1, XP_015182011.1, XP_015191850.1
OG0000109	XP_003700281.2	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1
OG0000110	XP_012147291.1	XP_015177093.1
OG0000110	XP_012139832.1	XP_015180892.1
OG0000111	XP_012143770.1, XP_003708569.1	XP_015175971.1
OG0000111	XP_012135601.1, XP_012135600.1	XP_015188005.1
OG0000112	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1	XP_015188234.1, XP_015188235.1, XP_015188236.1
OG0000112	XP_003700355.1, XP_012154003.1	XP_015180272.1, XP_015180273.1
OG0000113	XP_003701045.1	XP_015185884.1
OG0000113	XP_003699454.1	XP_015172979.1, XP_015172980.1
OG0000114	XP_003707384.2	XP_015171119.1
OG0000115	XP_003703956.1, XP_012139900.1	XP_015171184.1, XP_015171185.1
OG0000115	XP_003703954.1	XP_015183848.1, XP_015183846.1
OG0000116	XP_003700102.1	XP_015173852.1, XP_015173854.1, XP_015173853.1
OG0000116	XP_012150301.1, XP_003700101.1	XP_015173840.1, XP_015173841.1
OG0000117	XP_012142234.1	XP_015176195.1
OG0000117	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1	XP_015171648.1, XP_015171595.1
OG0000119	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1
OG0000120	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1
OG0000122	XP_003705279.2	XP_015172102.1
OG0000122	XP_003702313.1	XP_015172140.1
OG0000122	XP_003699551.1	XP_015182416.1
OG0000123	XP_003702607.2	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1
OG0000124	XP_003703399.2	XP_015173329.1, XP_015173327.1, XP_015173328.1
OG0000125	XP_003703348.2	XP_015191429.1
OG0000126	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1
OG0000127	XP_003707941.2	XP_015189033.1
OG0000127	XP_012151449.1	XP_015188504.1
OG0000129	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1	XP_015185341.1, XP_015185342.1
OG0000130	XP_012141592.1, XP_012141591.1	XP_015177984.1
OG0000130	XP_003703718.1	XP_015177985.1, XP_015177986.1
OG0000130	XP_003702400.1	XP_015178018.1, XP_015178019.1
OG0000131	XP_012138681.1, XP_003699377.1	XP_015188702.1
OG0000131	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1	XP_015181077.1, XP_015181078.1
OG0000132	XP_003706203.1, XP_012147468.1	XP_015173499.1, XP_015173500.1
OG0000132	XP_012152838.1, XP_003708422.1	XP_015188177.1
OG0000133	XP_003707714.1	XP_015173823.1
OG0000135	XP_003701934.1, XP_012137460.1	XP_015176354.1
OG0000135	XP_003708004.1	XP_015190379.1, XP_015190377.1, XP_015190378.1
OG0000135	XP_003708115.1	XP_015186255.1
OG0000136	XP_003705561.1, XP_012146210.1	XP_015182073.1
OG0000137	XP_003705868.1	XP_015174184.1
OG0000137	XP_012140417.1	XP_015176307.1
OG0000138	XP_012141572.1	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1
OG0000138	XP_012141209.1	XP_015181777.1
OG0000139	XP_003700273.1	XP_015184451.1, XP_015184450.1
OG0000139	XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1	XP_015184449.1
OG0000140	XP_012139579.1, XP_012139878.1	XP_015172454.1
OG0000141	XP_003701926.1	XP_015172584.1
OG0000141	XP_003704620.1	XP_015178844.1, XP_015178845.1
OG0000142	XP_003704387.2, XP_012143007.1	XP_015177690.1
OG0000143	XP_003702327.1	XP_015188708.1
OG0000143	XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1	XP_015188709.1, XP_015188710.1
OG0000144	XP_003705520.2	XP_015177945.1
OG0000144	XP_003705522.1	XP_015177942.1
OG0000145	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1
OG0000145	XP_012138596.1	XP_015191830.1, XP_015191831.1, XP_015191832.1
OG0000146	XP_003705369.1, XP_012151898.1, XP_012151891.1, XP_012151896.1	XP_015178326.1, XP_015178324.1
OG0000146	XP_003708217.1	XP_015181347.1
OG0000147	XP_012151556.1, XP_003707862.1, XP_012151555.1	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1
OG0000147	XP_012149993.1, XP_003707471.1	XP_015172908.1
OG0000149	XP_012147339.1	XP_015183082.1
OG0000149	XP_012147343.1, XP_012147342.1, XP_003706133.1	XP_015183081.1, XP_015183080.1, XP_015183079.1
OG0000150	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1
OG0000151	XP_003704470.2	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1
OG0000152	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1	XP_015177279.1
OG0000153	XP_012139835.1	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1
OG0000154	XP_012152021.1	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1
OG0000156	XP_012150894.1	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1
OG0000158	XP_012150089.1	XP_015180258.1, XP_015180556.1, XP_015179489.1
OG0000158	XP_003705555.2, XP_012145928.1, XP_003706752.1, XP_012152076.1, XP_012150572.1, XP_012148634.1, XP_012148635.1, XP_012145922.1, XP_012150087.1, XP_012150086.1	XP_015179488.1
OG0000160	XP_012147327.1	XP_015185930.1
OG0000160	XP_012138102.1, XP_003702188.1	XP_015184081.1
OG0000161	XP_003703976.1	XP_015176784.1
OG0000162	XP_003699383.2	XP_015186367.1
OG0000162	XP_012151345.1	XP_015182682.1
OG0000164	XP_012138610.1	XP_015191636.1
OG0000164	XP_012138609.1	XP_015191588.1
OG0000165	XP_012141446.1, XP_012141448.1, XP_012141447.1	XP_015185448.1
OG0000165	XP_012138919.1	XP_015174982.1
OG0000166	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1
OG0000168	XP_012136788.1	XP_015190714.1, XP_015190715.1
OG0000169	XP_003705463.1	XP_015174834.1, XP_015178625.1, XP_015181526.1
OG0000170	XP_012135505.1	XP_015191093.1, XP_015191092.1
OG0000170	XP_003701076.1	XP_015191094.1
OG0000170	XP_012135503.1	XP_015191097.1, XP_015191098.1
OG0000171	XP_003704787.1	XP_015174391.1
OG0000171	XP_012144044.1	XP_015174730.1
OG0000172	XP_012144448.1, XP_012144447.1, XP_012144446.1, XP_012144445.1, XP_012144449.1, XP_012144439.1, XP_012144440.1, XP_012144441.1, XP_012144442.1, XP_012144443.1, XP_003704990.1	XP_015184112.1, XP_015184114.1, XP_015184115.1, XP_015184116.1, XP_015184111.1
OG0000173	XP_012141604.1	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1
OG0000174	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1	XP_015191732.1, XP_015191730.1, XP_015191731.1
OG0000175	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1
OG0000176	XP_003702272.1	XP_015179485.1
OG0000177	XP_003707752.1	XP_015191041.1
OG0000177	XP_012151117.1	XP_015190999.1
OG0000178	XP_012149455.1	XP_015179140.1
OG0000179	XP_003700764.1, XP_012134930.1	XP_015183599.1
OG0000179	XP_003707098.1	XP_015184549.1
OG0000180	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1	XP_015171486.1, XP_015171485.1, XP_015171484.1
OG0000181	XP_012135659.1	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1
OG0000182	XP_003700170.2, XP_012149750.1, XP_012149742.1	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1
OG0000183	XP_012144139.1	XP_015175162.1
OG0000183	XP_012136967.1	XP_015181592.1
OG0000185	XP_012152006.1, XP_012152009.1, XP_012152008.1, XP_003708091.1, XP_012152007.1	XP_015175891.1, XP_015175892.1, XP_015175893.1
OG0000185	XP_012152005.1, XP_003708093.1	XP_015175804.1
OG0000186	XP_012138246.1, XP_003702219.1, XP_003702293.1	XP_015183983.1, XP_015183981.1
OG0000187	XP_012144258.1	XP_015180155.1, XP_015180146.1, XP_015180136.1
