Orthogroup	Megachile_rotundata	Solenopsis_invicta
OG0000002	XP_003700909.2	XP_011175322.2, XP_011158991.3
OG0000002	XP_003700936.1, XP_003700935.1	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1
OG0000002	XP_003700845.1, XP_003700846.1, XP_003700844.1, XP_003700934.1	XP_011159024.2
OG0000002	XP_003700932.1, XP_003700933.2	XP_011159023.1, XP_039305194.1
OG0000002	XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1, XP_003700911.2, XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1
OG0000002	XP_012135244.1, XP_012135242.1, XP_012135246.1, XP_003700930.1, XP_003700925.1, XP_003700923.1, XP_003700922.1, XP_012135243.1, XP_012135245.1, XP_003700843.1, XP_003700842.2	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1
OG0000002	XP_012135240.1	XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1
OG0000003	XP_012152452.1	XP_039306769.1
OG0000003	XP_003708371.1, XP_012149741.1	XP_039311957.1, XP_039306745.1, XP_011164920.1, XP_025987873.2
OG0000003	XP_012148418.1	XP_039315381.1, XP_039315265.1
OG0000003	XP_012151327.1	XP_039315287.1, XP_039313009.1
OG0000003	XP_012146049.1, XP_012143887.1, XP_012145355.1, XP_012150982.1	XP_039304384.1, XP_039309058.1, XP_039309227.1, XP_039309229.1, XP_039309228.1, XP_039309226.1, XP_039309225.1, XP_039309224.1, XP_039309223.1, XP_025997281.2, XP_039308822.1
OG0000003	XP_012145059.1	XP_039311338.1
OG0000004	XP_012153556.1	XP_039308373.1
OG0000004	XP_012151143.1	XP_039315091.1
OG0000004	XP_012145432.1	XP_039303478.1
OG0000004	XP_012152390.1, XP_012146360.1	XP_025989297.2
OG0000005	XP_012141791.1	XP_025990901.2
OG0000006	XP_012143123.1	XP_025989821.2
OG0000006	XP_012142988.1	XP_039309031.1, XP_039309020.1, XP_039308763.1
OG0000006	XP_003707057.2, XP_012149242.1	XP_011171479.2, XP_039306260.1
OG0000008	XP_003705710.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_012141335.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_003705713.2	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_003705711.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_003705712.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_003705707.1	XP_039305528.1
OG0000009	XP_012145773.1, XP_012145771.1, XP_012145774.1	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1
OG0000009	XP_003703411.1	XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1
OG0000009	XP_003705489.1, XP_003705491.1	XP_011172780.1, XP_011160035.1
OG0000010	XP_012152972.1	XP_025997575.1, XP_011165199.1, XP_039315379.1, XP_039315378.1, XP_039315520.1, XP_011171567.1, XP_039313512.1, XP_039309910.1, XP_011173321.1, XP_011156630.1
OG0000010	XP_012150535.1	XP_039313808.1
OG0000010	XP_012143531.1, XP_012153225.1	XP_039302116.1
OG0000010	XP_012153217.1	XP_039312409.1, XP_011163118.1
OG0000010	XP_012147794.1, XP_012152741.1	XP_011159070.2, XP_011173832.1, XP_011169352.1, XP_039303454.1, XP_039303415.1, XP_011169957.2, XP_011169498.1, XP_039309670.1
OG0000010	XP_012146537.1, XP_012145702.1	XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1
OG0000012	XP_012141586.1	XP_011157834.1
OG0000012	XP_003705464.1	XP_011167036.2
OG0000012	XP_012146827.1	XP_025991007.1
OG0000013	XP_003707914.1	XP_011165753.2
OG0000013	XP_003708097.1	XP_011158467.1, XP_011158466.1, XP_039315701.1
OG0000013	XP_003708096.1	XP_011158471.1
OG0000014	XP_003703733.1	XP_011156264.2
OG0000014	XP_012153581.1, XP_012141730.1, XP_003707917.1	XP_011163196.1
OG0000015	XP_012152737.1, XP_012152738.1, XP_012151351.1, XP_012152725.1	XP_039311973.1, XP_025997032.2, XP_039303427.1
OG0000016	XP_012147724.1, XP_012151016.1	XP_039313966.1, XP_039309074.1, XP_039304382.1, XP_039314252.1, XP_039306750.1, XP_039304356.1, XP_039301762.1, XP_039309915.1, XP_039303543.1, XP_039303418.1, XP_039303421.1, XP_039309887.1
OG0000016	XP_012141582.1	XP_039304375.1, XP_039308808.1, XP_025991342.1
OG0000016	XP_012153435.1, XP_012148641.1	XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1
OG0000018	XP_003699290.1	XP_011168181.2, XP_011168177.2
OG0000018	XP_012135493.1	XP_039312480.1, XP_039312479.1
OG0000019	XP_012138718.1	XP_025990211.2
OG0000019	XP_012135889.1	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1
OG0000019	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_012144180.1	XP_025986429.1
OG0000020	XP_012136049.1	XP_011159576.2
OG0000020	XP_012144181.1	XP_025986409.1
OG0000020	XP_003701701.2	XP_025987337.1
OG0000020	XP_012136672.1	XP_025991589.1
OG0000020	XP_012137465.1	XP_011157847.1
OG0000021	XP_012152676.1, XP_003708291.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_012145971.1, XP_012145969.1	XP_011162935.1
OG0000021	XP_012138701.1	XP_011159438.1
OG0000021	XP_012152675.1, XP_003708289.1	XP_025991392.1
OG0000022	XP_003706155.1	XP_011163652.1
OG0000022	XP_012141737.1	XP_011163198.1
OG0000024	XP_003705303.1	XP_025992331.1
OG0000024	XP_003705639.2	XP_011168449.1, XP_011168448.1
OG0000024	XP_003699641.1, XP_012142103.1	XP_025991932.1
OG0000024	XP_003699642.1	XP_025991934.1
OG0000025	XP_012148649.1	XP_039304822.1
OG0000025	XP_012143994.1	XP_039309205.1
OG0000026	XP_003699994.1	XP_039304799.1
OG0000026	XP_012144087.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	XP_012151723.1	XP_011156268.1, XP_039307731.1
OG0000028	XP_012146123.1	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1
OG0000028	XP_012147725.1	XP_011170007.1, XP_011176359.1, XP_039302918.1
OG0000028	XP_012151332.1	XP_011171790.2, XP_011166516.2, XP_025992254.2, XP_025990428.2
OG0000028	XP_012150523.1	XP_039309129.1
OG0000029	XP_003704047.1, XP_012142317.1	XP_011175277.3
OG0000029	XP_012154358.1	XP_025987625.1
OG0000029	XP_003704721.1	XP_025994361.1
OG0000030	XP_012151824.1	XP_025986100.1
OG0000030	XP_012136054.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000032	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1	XP_011159466.2
OG0000032	XP_012148506.1	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000034	XP_012152458.1, XP_012152457.1, XP_012143815.1, XP_012138783.1, XP_012144879.1, XP_012145209.1, XP_012138607.1, XP_012138602.1, XP_012144545.1, XP_012144983.1, XP_012138996.1, XP_012135624.1, XP_012144703.1, XP_012152700.1, XP_012138758.1, XP_012138767.1, XP_012143908.1, XP_012138745.1, XP_012138734.1, XP_012143137.1, XP_003704403.2, XP_012143138.1, XP_012143140.1, XP_012143135.1, XP_012138695.1, XP_012138708.1, XP_012138654.1, XP_012143136.1	XP_039302507.1, XP_039315321.1, XP_039307234.1
OG0000035	XP_003699462.1	XP_039312187.1
OG0000036	XP_003708656.1, XP_003700660.1	XP_011166049.1
OG0000037	XP_012141146.1	XP_011161783.1
OG0000038	XP_012136030.1, XP_003703285.1	XP_011172049.1
OG0000038	XP_012138042.1	XP_011173370.1
OG0000038	XP_012146808.1, XP_012146805.1	XP_011174246.2
OG0000038	XP_012148553.1	XP_025991821.1
OG0000039	XP_012153215.1	XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1
OG0000040	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1
OG0000040	XP_003700882.2, XP_003700841.2	XP_011155958.2, XP_025987203.2
OG0000040	XP_012148108.1	XP_011170816.1
OG0000041	XP_012137793.1, XP_012137792.1, XP_003702208.1	XP_011173672.1, XP_011173741.1
OG0000041	XP_012147267.1, XP_012147266.1	XP_039304942.1, XP_011173639.1
OG0000041	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1	XP_011173634.1, XP_011173641.1
OG0000041	XP_003700544.1	XP_011167847.1
OG0000042	XP_012142134.1, XP_003703962.2	XP_025993549.1, XP_011172554.1
OG0000043	XP_003705047.1	XP_011166108.1
OG0000043	XP_003708519.1	XP_011172450.1
OG0000044	XP_012148083.1	XP_039306340.1, XP_025986513.2
OG0000044	XP_012148084.1	XP_025986454.1
OG0000044	XP_003706475.2	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_003702695.1	XP_011157503.2
OG0000045	XP_003703631.1	XP_011156768.2
OG0000045	XP_003707415.2	XP_039312826.1
OG0000046	XP_012146503.1	XP_011168512.1
OG0000046	XP_003705538.1	XP_011168531.1
OG0000046	XP_012153320.1	XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000048	XP_012150787.1	XP_011160449.2
OG0000048	XP_012150786.1	XP_039303831.1
OG0000050	XP_003700585.1	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000051	XP_012146258.1, XP_012153222.1, XP_012152153.1	XP_039312743.1, XP_011170442.1
OG0000052	XP_012144734.1	XP_011160846.1
OG0000053	XP_012153561.1, XP_012145425.1, XP_012145426.1, XP_012149739.1, XP_012149740.1	XP_011171617.3, XP_039301894.1, XP_039302875.1, XP_039303382.1, XP_039312442.1, XP_039303380.1, XP_011174627.3
OG0000053	XP_012148640.1	XP_039315547.1
OG0000053	XP_012145741.1, XP_012148086.1	XP_011162891.2
OG0000054	XP_003707234.1	XP_011164393.2
OG0000054	XP_012149797.1, XP_003707236.1	XP_011164215.1, XP_011164214.2
OG0000055	XP_003702736.1	XP_039311167.1
OG0000055	XP_012143001.1	XP_039311121.1
OG0000055	XP_012141945.1	XP_011169776.2
OG0000055	XP_012136069.1	XP_011162045.1
OG0000056	XP_012140855.1	XP_039301684.1
OG0000056	XP_012148645.1	XP_025992809.2
OG0000056	XP_012147749.1	XP_011167471.3
OG0000056	XP_012140860.1	XP_039313454.1
OG0000056	XP_012137428.1, XP_012137427.1	XP_039306715.1
OG0000057	XP_003706217.1	XP_011165693.1
OG0000057	XP_003702759.1	XP_011161996.1
OG0000057	XP_012147418.1	XP_011165691.1
OG0000057	XP_003706216.1	XP_011165692.1
OG0000058	XP_012148352.1, XP_012152307.1, XP_012152319.1, XP_012152339.1, XP_012151894.1	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1
OG0000059	XP_012152118.1	XP_025993817.1
OG0000060	XP_012134573.1, XP_012134574.1, XP_012134572.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_003703873.1	XP_039310102.1
OG0000061	XP_012153335.1	XP_039311104.1
OG0000062	XP_012135095.1	XP_025989351.2
OG0000063	XP_012146122.1, XP_012150530.1, XP_012147290.1, XP_012143814.1	XP_025997464.2
OG0000063	XP_012152389.1, XP_012137504.1	XP_039310407.1
OG0000063	XP_012153232.1, XP_012146118.1, XP_012147780.1	XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2
OG0000064	XP_012142565.1, XP_003704115.1, XP_012142564.1, XP_012142566.1	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1
OG0000065	XP_012143903.1, XP_012143889.1, XP_012143895.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000066	XP_012147361.1, XP_012147785.1, XP_012151330.1, XP_012151855.1	XP_039306035.1, XP_039312738.1, XP_039302943.1, XP_011173934.3, XP_025996408.2, XP_039303305.1, XP_039313707.1, XP_039303413.1, XP_025996127.1, XP_011159374.1
OG0000067	XP_012148170.1	XP_011168949.1
OG0000067	XP_012137444.1, XP_012137447.1	XP_039302008.1, XP_011157859.1
OG0000067	XP_003701916.1	XP_011157858.1, XP_025991420.1
OG0000067	XP_003707128.1	XP_025989655.1
OG0000069	XP_012134491.1	XP_039305623.1
OG0000069	XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1	XP_025987486.1
OG0000069	XP_012154576.1	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3
OG0000071	XP_012148642.1, XP_003706755.2, XP_012148644.1, XP_012148643.1, XP_012149906.1	XP_025993345.1, XP_039313972.1, XP_011158213.2, XP_025987080.2, XP_039312667.1, XP_025987085.2, XP_039303086.1, XP_039302962.1, XP_039304072.1, XP_039304071.1, XP_039304070.1, XP_039305744.1, XP_039312519.1, XP_011169850.3, XP_039311299.1, XP_025996694.1, XP_039304400.1, XP_011161191.1, XP_039306019.1
OG0000072	XP_012145919.1	XP_039305208.1, XP_039302106.1, XP_039314684.1, XP_039310588.1, XP_039304519.1
OG0000072	XP_012149903.1	XP_039311158.1, XP_039315247.1
OG0000072	XP_012140869.1	XP_039313968.1
OG0000072	XP_012151359.1	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1
OG0000073	XP_012139248.1	XP_025993259.1
OG0000073	XP_003702701.1, XP_012139216.1, XP_003702702.1, XP_003702718.1, XP_003702704.1	XP_011157914.1
OG0000074	XP_012149755.1, XP_012149751.1, XP_012149748.1	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000074	XP_003705844.2	XP_025985929.1
OG0000075	XP_012138856.1	XP_039315525.1, XP_039302537.1, XP_039309549.1, XP_039302019.1, XP_025993999.1, XP_025991875.2, XP_039303461.1, XP_011165249.1
OG0000075	XP_012148659.1, XP_012145357.1, XP_012135769.1	XP_011170180.1
OG0000075	XP_012136794.1	XP_011166492.1
OG0000075	XP_012152951.1	XP_025996530.2
OG0000075	XP_012145924.1	XP_039311312.1
OG0000076	XP_012149738.1, XP_012152152.1	XP_039312428.1, XP_011164066.1, XP_039303422.1
OG0000076	XP_012147801.1	XP_011165898.1
OG0000076	XP_012152108.1, XP_012153216.1	XP_011162883.1
OG0000077	XP_012150605.1, XP_012150604.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_003703606.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_012149880.1	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1
OG0000079	XP_012141956.1	XP_011155938.1
OG0000079	XP_012142005.1	XP_025987034.1
OG0000079	XP_012141949.1	XP_025987035.1
OG0000080	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_003700522.1	XP_025995013.1
OG0000080	XP_003700524.1	XP_011173727.1
OG0000081	XP_012143986.1, XP_012143985.1, XP_012143891.1, XP_012143988.1, XP_012143893.1, XP_003704733.2	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2
OG0000082	XP_012151997.1	XP_011158493.1
OG0000082	XP_012151993.1	XP_011158531.2
OG0000084	XP_003701847.1	XP_011155841.2
OG0000084	XP_003701826.2	XP_039310256.1, XP_011155840.3
OG0000084	XP_003701043.1	XP_011155335.1
OG0000085	XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1	XP_025987478.1, XP_025987477.1
OG0000086	XP_003699659.2	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	XP_012143956.1, XP_012143955.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_003708584.1	XP_025989498.1, XP_011170042.2
OG0000088	XP_003701082.1	XP_025996218.1, XP_039311698.1
OG0000089	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_003706466.1	XP_011171848.1
OG0000090	XP_012145434.1	XP_039303165.1, XP_039314249.1, XP_039304817.1
OG0000090	XP_012150434.1	XP_039307240.1, XP_039310902.1, XP_025994869.2, XP_039302871.1, XP_039302874.1, XP_039310987.1
OG0000090	XP_012143883.1	XP_011157440.1, XP_039303621.1, XP_025995823.2, XP_039305402.1, XP_039302928.1
OG0000090	XP_012153207.1	XP_039304247.1, XP_025995087.2, XP_039304980.1, XP_039302711.1
OG0000090	XP_012146536.1	XP_025995911.1
OG0000090	XP_012148628.1	XP_039303170.1, XP_039310653.1, XP_039303732.1, XP_039303914.1
OG0000090	XP_012149905.1	XP_039308386.1, XP_025997709.2, XP_039305766.1, XP_039303294.1, XP_039310030.1, XP_039310471.1, XP_039305112.1
OG0000091	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_012144682.1	XP_011165503.1
OG0000092	XP_003702709.1	XP_011175720.1, XP_011175721.1
OG0000092	XP_012142981.1, XP_003704244.1	XP_011162964.1
OG0000093	XP_012151025.1	XP_025991744.2, XP_039309657.1
OG0000093	XP_012151021.1, XP_012152030.1	XP_025997554.2
OG0000093	XP_012146604.1	XP_039313509.1, XP_039303479.1, XP_011161917.1
OG0000094	XP_012151693.1	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000096	XP_012147708.1	XP_011156409.1, XP_039313932.1
OG0000096	XP_012137363.1, XP_012137365.1	XP_039306601.1
OG0000097	XP_012153341.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1
OG0000097	XP_003705350.1	XP_025992182.1, XP_011159441.1
OG0000098	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1	XP_025996352.1
OG0000099	XP_003705981.1, XP_012146974.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1	XP_039314426.1
OG0000099	XP_012136224.1	XP_011164670.2
OG0000101	XP_012141182.1, XP_012141571.1	XP_011159599.3
OG0000101	XP_012141186.1, XP_003703468.1	XP_025989569.1
OG0000102	XP_012135996.1	XP_025989688.2, XP_025989699.1
OG0000102	XP_012135835.1	XP_025989703.1
OG0000103	XP_012144431.1, XP_012144424.1	XP_011161395.1
OG0000103	XP_003699704.1	XP_011161367.1
OG0000103	XP_012143723.1	XP_011161334.1
OG0000106	XP_012146762.1, XP_012146725.1, XP_012146726.1, XP_012146761.1, XP_012146727.1, XP_012146759.1	XP_039314717.1
OG0000107	XP_012151270.1, XP_012151275.1	XP_011159805.1
OG0000108	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1	XP_025985914.1
OG0000109	XP_003700281.2	XP_011157413.1, XP_011157412.1
OG0000110	XP_012147291.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	XP_012143770.1	XP_039301713.1
OG0000111	XP_003708569.1	XP_011165202.1, XP_025990766.2, NP_001291520.1
OG0000111	XP_012135601.1, XP_012135600.1	XP_039308795.1
OG0000112	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1	XP_025989590.2
OG0000113	XP_003701045.1	XP_011169897.1
OG0000113	XP_003699454.1	XP_011176341.1, XP_011176387.1
OG0000114	XP_003707384.2	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	XP_003703956.1	NP_001291541.1
OG0000115	XP_003703954.1	XP_011165643.1, XP_011165649.2, XP_011165650.1
OG0000116	XP_003700102.1	XP_011158331.1, XP_039303768.1
OG0000116	XP_012150301.1, XP_003700101.1	XP_039303766.1
OG0000117	XP_012142234.1	XP_011157894.1
OG0000117	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1	XP_011170972.1, XP_011170971.1
OG0000119	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1
OG0000120	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1	XP_011175144.2
OG0000122	XP_003705279.2	XP_039310041.1
OG0000122	XP_003702313.1	XP_039305859.1
OG0000122	XP_003699551.1	XP_025995487.2
OG0000123	XP_003702607.2	XP_011169664.1
OG0000124	XP_003703399.2	XP_039302015.1
OG0000125	XP_003703348.2	XP_011166830.1, XP_011166831.1
OG0000126	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_003707941.2	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000127	XP_012151449.1	XP_039307613.1, XP_039307615.1
OG0000128	XP_012148429.1	XP_025988163.2, XP_039303559.1, XP_039306752.1
OG0000128	XP_012145950.1	XP_039303482.1, XP_011174706.1
OG0000129	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_012141592.1, XP_012141591.1	XP_039309465.1
OG0000130	XP_003702400.1	XP_025991693.1, XP_025991692.1
OG0000131	XP_012138681.1, XP_003699377.1	XP_011159624.1
OG0000131	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1	XP_011168548.1, XP_011168539.1
OG0000132	XP_003706203.1, XP_012147468.1	XP_039305040.1, XP_011175354.1
OG0000132	XP_012152838.1, XP_003708422.1	XP_011162113.1
