Orthogroup	Megachile_rotundata	Tribolium_castaneum
OG0000017	XP_012136742.1	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1
OG0000017	XP_012145417.1, XP_003705347.1, XP_012153570.1	XP_015834775.1, XP_974273.1
OG0000018	XP_003699290.1	XP_008194092.1, XP_969781.1
OG0000018	XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	XP_012138718.1, XP_012138710.1, XP_012138725.1	XP_975378.1
OG0000019	XP_012135889.1	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1
OG0000019	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	XP_012136049.1	XP_008201408.1
OG0000021	XP_012152676.1, XP_003708291.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_012145971.1, XP_012145969.1	XP_015838169.1
OG0000021	XP_012138701.1	XP_008197404.1
OG0000021	XP_012135825.1	XP_008197199.1
OG0000021	XP_012152675.1, XP_003708289.1	XP_008197203.1, XP_969207.1
OG0000022	XP_003706155.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000024	XP_003699641.1, XP_012142103.1	XP_970056.2
OG0000024	XP_003700292.1	XP_968973.1, XP_015836276.1, XP_970629.1, XP_968453.1, XP_969481.3, XP_966714.3, XP_015836397.1, XP_970153.3, XP_970128.4, XP_969915.1, XP_008195025.1, XP_970890.1, XP_015836275.1, XP_008194723.1, XP_015836190.1, XP_015836389.1
OG0000026	XP_003699994.1	XP_015833705.1
OG0000026	XP_012144087.1	XP_008193329.1
OG0000026	XP_012137100.1	XP_969357.3
OG0000026	XP_012148280.1, XP_003706585.1	XP_966472.1
OG0000026	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1	XP_015840897.1
OG0000027	XP_003703732.1	XP_008199927.1
OG0000028	XP_012147725.1	XP_015836641.1
OG0000029	XP_003704047.1, XP_012142317.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	XP_012154358.1, XP_003704721.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_012151824.1	XP_966905.1
OG0000030	XP_012136054.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000031	XP_012135348.1, XP_012135354.1, XP_012135355.1, XP_012143884.1	XP_008192426.1, XP_015840131.1, XP_015837232.1, XP_008192457.2
OG0000031	XP_012147592.1	XP_015835126.1, XP_008192256.1
OG0000032	XP_003700812.2	XP_001807564.1
OG0000032	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1, XP_012148506.1	XP_969958.1, XP_970026.1
OG0000035	XP_003699462.1	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1
OG0000036	XP_003700661.1	XP_008190813.1
OG0000036	XP_003708656.1, XP_003700660.1	XP_967476.1, XP_001811753.1
OG0000037	XP_012141146.1	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1
OG0000038	XP_012146808.1, XP_012146805.1	XP_966584.1
OG0000040	XP_012139968.1, XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1, XP_003700882.2, XP_003700841.2, XP_012148108.1	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1
OG0000041	XP_012137793.1, XP_012137792.1, XP_003702208.1	NP_001165843.1, NP_001165844.1
OG0000041	XP_003706099.1, XP_012147265.1, XP_012147267.1, XP_012147266.1, XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000041	XP_003700544.1	XP_967305.1
OG0000042	XP_012140350.1	XP_974033.1, XP_015840580.1
OG0000042	XP_012142134.1, XP_003703962.2	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	XP_003705047.1	XP_008193777.1, NP_001039289.1
OG0000043	XP_003700214.1	NP_001039285.1
OG0000043	XP_003708519.1	NP_001039279.1, NP_001039280.1, NP_001039278.1
OG0000044	XP_003706475.2	XP_008200957.1
OG0000045	XP_003702695.1, XP_003703631.1	XP_015834974.1, XP_015834972.1
OG0000046	XP_012146503.1	XP_008200986.2, XP_015838368.1
OG0000046	XP_003705538.1, XP_012153320.1	XP_966611.1
OG0000048	XP_012150784.1	XP_008193917.1
OG0000050	XP_003700585.1, XP_003704799.2	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000051	XP_012139276.1	XP_008191156.1, XP_008196088.2, XP_015837846.1, XP_015833811.1, XP_015837945.1
OG0000052	XP_012144734.1	XP_008197196.2, XP_008197191.1
OG0000054	XP_012149797.1, XP_003707236.1	XP_970381.1
OG0000055	XP_003702736.1	XP_971821.3
OG0000055	XP_012143001.1	XP_969454.3
OG0000055	XP_012136069.1	XP_008194095.1
OG0000056	XP_012140855.1, XP_012148645.1	XP_015835680.1
OG0000056	XP_012147749.1	XP_008197222.1
OG0000056	XP_012140860.1	XP_015834565.1
OG0000056	XP_012147777.1, XP_012137428.1, XP_012137427.1	XP_015839288.1
OG0000056	XP_012154207.1, XP_012154186.1	XP_970084.2
OG0000057	XP_003706217.1	XP_967267.1
OG0000057	XP_003702759.1	XP_969993.1
OG0000057	XP_003706216.1	XP_967348.1
OG0000060	XP_012134573.1, XP_012134574.1, XP_012134572.1	XP_008194927.2
OG0000060	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_003703873.1	XP_969936.2
OG0000061	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1	XP_008197154.2
OG0000062	XP_012135095.1	XP_968760.1
OG0000062	XP_003701703.1, XP_003701707.1, XP_003701665.1, XP_003701666.1, XP_003701705.1, XP_012136839.1, XP_003701702.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000063	XP_012146122.1, XP_012150530.1, XP_012147290.1, XP_012143814.1, XP_012152389.1, XP_012137504.1, XP_012153232.1, XP_012146118.1, XP_012147780.1	XP_015837412.1
OG0000063	XP_012148630.1	XP_015840144.1
OG0000065	XP_012143903.1, XP_012143889.1, XP_012143895.1	XP_015834020.1
OG0000066	XP_012147361.1, XP_012147785.1, XP_012151330.1, XP_012151855.1	XP_015840033.1
OG0000067	XP_012148170.1	XP_008200210.1
OG0000067	XP_012152266.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_003707128.1	XP_008198995.1
OG0000069	XP_012134491.1, XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1	XP_008191789.1
OG0000071	XP_012148642.1, XP_003706755.2, XP_012148644.1, XP_012148643.1, XP_012149906.1	XP_015835156.1
OG0000072	XP_012145919.1	XP_015839914.1, XP_015840429.1
OG0000072	XP_012151359.1	XP_015840056.1, XP_008198792.1, XP_015839243.1
OG0000073	XP_012147570.1	XP_008195260.1, NP_001161930.1, NP_001161928.1, XP_015832956.1, XP_015833016.1
OG0000074	XP_003705844.2	XP_015837890.1, XP_970945.2
OG0000075	XP_012138856.1	XP_008191221.1, XP_015833570.1, XP_015833569.1, XP_015840430.1
OG0000076	XP_012149738.1, XP_012152152.1	XP_015840141.1
OG0000077	XP_012150605.1, XP_012150604.1	XP_008200285.1
OG0000077	XP_003703606.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_003703883.1, XP_012142004.1, XP_012142005.1, XP_012141949.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1	XP_971544.1
OG0000080	XP_003700522.1	XP_015839289.1
OG0000080	XP_003700524.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	XP_012143890.1, XP_012143986.1, XP_012143985.1, XP_012143891.1, XP_012143988.1, XP_012143893.1, XP_003704733.2	XP_015833047.1
OG0000082	XP_012151975.1, XP_012151997.1, XP_012151993.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_003701847.1, XP_003701826.2	XP_008194205.2
OG0000084	XP_003701043.1	XP_008194337.1, XP_969263.1
OG0000085	XP_003702681.1	XP_008190480.1, XP_008190479.1, XP_008190478.1
OG0000085	XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	XP_003699659.2	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1
OG0000086	XP_012143956.1, XP_012143955.1	XP_008200062.1, XP_015834290.1
OG0000087	XP_003708584.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_012153278.1	XP_001808639.1, XP_008200953.1, XP_974493.2
OG0000088	XP_003701082.1	XP_015837887.1
OG0000089	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	XP_012144682.1	XP_008198926.1
OG0000092	XP_003702709.1, XP_003702708.1	XP_967128.1
OG0000093	XP_012151025.1, XP_012151021.1, XP_012152030.1, XP_012146604.1	XP_008198969.1
OG0000094	XP_012154361.1	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000096	XP_012147708.1	XP_970191.2
OG0000096	XP_012137363.1, XP_012137365.1	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	XP_012153341.1	XP_966355.1, XP_008200463.1
OG0000098	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_003705981.1, XP_012146974.1	XP_973444.1
OG0000099	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1	XP_967359.1
OG0000099	XP_012136224.1	XP_008198312.1
OG0000100	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_012141182.1, XP_012141571.1	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	XP_012141186.1, XP_003703468.1	XP_968658.1, XP_008190341.1, XP_968586.1
OG0000102	XP_012135996.1, XP_012135840.1, XP_012135835.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000103	XP_012144431.1, XP_012144424.1	NP_001121967.1
OG0000108	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_003700281.2	XP_008200716.1
OG0000110	XP_012147291.1, XP_012139832.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000111	XP_012143770.1, XP_003708569.1	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1
OG0000112	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1	XP_008191265.1
OG0000112	XP_003700355.1, XP_012154003.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_003701045.1, XP_003699454.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_003707384.2	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	XP_003703956.1, XP_012139900.1, XP_003703954.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000116	XP_003700102.1, XP_012150301.1, XP_003700101.1	XP_015837656.1
OG0000117	XP_012142234.1	XP_008198411.1
OG0000117	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000119	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1	NP_001157311.1
OG0000120	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1	XP_015838347.1
OG0000122	XP_003705279.2	XP_015834556.1
OG0000122	XP_003702313.1	XP_008192222.1
OG0000122	XP_003699551.1	XP_008190630.1, XP_970917.2, NP_001280526.1
OG0000123	XP_003702607.2	XP_001813105.1
OG0000124	XP_003703399.2	XP_015834874.1
OG0000125	XP_003703348.2	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1	NP_001034505.1
OG0000127	XP_003707941.2	XP_008201644.1
OG0000127	XP_012151449.1	NP_001280519.1, XP_015839687.1
OG0000129	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	XP_012141592.1, XP_012141591.1, XP_003703718.1	XP_008200084.1, XP_001811552.1
OG0000130	XP_003702400.1	XP_008200083.1
OG0000131	XP_012138681.1, XP_003699377.1	XP_001808435.1
OG0000131	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	XP_003706203.1, XP_012147468.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_003707714.1	XP_975308.3
OG0000133	XP_012147926.1, XP_012147924.1	XP_015840591.1
OG0000135	XP_003701934.1, XP_012137460.1	XP_015833857.1, XP_008194086.1
OG0000135	XP_003708004.1	XP_008190640.1, XP_008190639.1
OG0000135	XP_003708115.1	NP_001153713.1
OG0000136	XP_003705561.1, XP_012146210.1	XP_971514.1, XP_971572.1
OG0000137	XP_003705868.1, XP_012135720.1, XP_012140417.1	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_012141572.1, XP_012141209.1	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_003700273.1, XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_012139579.1, XP_012139878.1	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1
OG0000140	XP_012139616.1, XP_012139622.1, XP_012139623.1, XP_012139620.1, XP_012139621.1, XP_012139617.1, XP_003702933.1, XP_012139615.1	XP_973264.1
OG0000141	XP_003701926.1	XP_015833202.1
OG0000141	XP_003704620.1	XP_008193877.2
OG0000143	XP_003702327.1, XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1	XP_008192676.1
OG0000144	XP_003705520.2, XP_003705522.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1	XP_008193348.1
OG0000146	XP_003705369.1	XP_966544.1, XP_001811608.2
OG0000146	XP_003708217.1	XP_974294.1
OG0000147	XP_012151556.1, XP_003707862.1, XP_012151555.1, XP_012149993.1, XP_003707471.1	XP_966688.1
OG0000149	XP_012147339.1	XP_008191323.1
OG0000150	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_003704470.2	XP_969439.1, XP_015840091.1
OG0000152	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1	XP_966734.2
OG0000153	XP_012139835.1	XP_970869.1, XP_008195606.1
OG0000154	XP_012152021.1	XP_008195104.1
OG0000156	XP_012150894.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	XP_003703163.1, XP_012140472.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	XP_012150089.1, XP_003705555.2, XP_012145928.1, XP_003706752.1, XP_012152076.1, XP_012150572.1, XP_012148634.1, XP_012148635.1, XP_012145922.1, XP_012150087.1, XP_012150086.1	XP_008198818.1
OG0000160	XP_012147327.1	XP_008199283.1
OG0000160	XP_012138102.1, XP_003702188.1	XP_967023.4
OG0000161	XP_003703976.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	XP_003699383.2	XP_008201498.1, NP_001103246.1
OG0000162	XP_012151345.1	NP_001103245.1
OG0000164	XP_012138610.1, XP_012138588.1, XP_012138609.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	XP_012141446.1, XP_012141448.1, XP_012141447.1	XP_008192571.1
OG0000165	XP_012138919.1	XP_974173.2
OG0000166	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1	XP_008199436.1, XP_008199431.1
OG0000168	XP_012139252.1	XP_008199616.2, XP_015834098.1
OG0000168	XP_012136943.1	XP_015838873.1, NP_001107841.1
OG0000169	XP_003705463.1	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1
OG0000170	XP_003701076.1, XP_012135503.1, XP_012143625.1	XP_008193117.1, XP_008193116.1
OG0000171	XP_003704787.1, XP_012144044.1	XP_971346.1, XP_015836633.1
OG0000173	XP_012141604.1	XP_008194517.1
OG0000174	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1	XP_015838513.1
OG0000175	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1	XP_974770.1, XP_015836695.1
OG0000176	XP_003702272.1	XP_008195214.1
OG0000177	XP_003707752.1	XP_971910.1
OG0000177	XP_012151117.1	XP_008194311.1
OG0000177	XP_012151116.1	XP_972019.2
OG0000178	XP_012149455.1	XP_008200484.2, XP_015835582.1
OG0000179	XP_003700764.1, XP_012134930.1	XP_008194977.1
OG0000179	XP_003707098.1	XP_966308.2
OG0000180	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1	XP_976031.1, XP_008200320.1
OG0000181	XP_012135659.1	NP_001280548.1, XP_008193833.1
OG0000182	XP_003700170.2, XP_012149750.1, XP_012149742.1	XP_015832992.1
OG0000183	XP_012144139.1	XP_975025.1
OG0000183	XP_012136967.1	XP_970665.1
OG0000184	XP_012151665.1	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3
OG0000185	XP_012152010.1, XP_012152006.1, XP_012152009.1, XP_012152008.1, XP_003708091.1, XP_012152007.1	XP_008197397.1
OG0000186	XP_012138246.1, XP_003702219.1, XP_003702293.1	XP_008199126.1, XP_008199118.1, XP_015835450.1
OG0000187	XP_012144258.1	XP_975362.1
OG0000188	XP_003703034.1	XP_967501.2
OG0000189	XP_012147949.1	XP_008198457.1, XP_008193919.1
OG0000190	XP_012142605.1	XP_015839424.1, XP_968802.1
OG0000191	XP_012136269.1	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2
OG0000192	XP_003702365.2	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1
OG0000194	XP_003699995.1	XP_008193011.1
OG0000194	XP_003700093.1, XP_003700092.1, XP_012152398.1	NP_001280525.1
OG0000196	XP_012134628.1	XP_969047.2
OG0000196	XP_012143079.1	XP_967948.2
OG0000197	XP_012144858.1, XP_003699822.1	XP_015837925.1
OG0000198	XP_012136053.1, XP_012136051.1	XP_008196149.1
OG0000200	XP_003701725.1	XP_974164.1
OG0000200	XP_003700547.1, XP_012154376.1	XP_967143.1, XP_015839106.1, XP_974030.1
OG0000201	XP_012148479.1	XP_015833113.1
OG0000201	XP_012148478.1	XP_974115.1
OG0000202	XP_012139160.1	XP_008196489.1, XP_008196491.1, XP_008196490.1
OG0000203	XP_003705579.2	XP_972061.1
OG0000204	XP_003704418.1	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1
OG0000205	XP_003705021.1, XP_012144620.1, XP_012144622.1, XP_012144618.1, XP_012144619.1	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2
OG0000206	XP_003707704.1	XP_975174.1
OG0000206	XP_012150998.1	XP_967870.1
OG0000207	XP_012134609.1, XP_012134607.1	XP_008190794.1
OG0000208	XP_012134606.1	NP_001034487.2, XP_008199220.1
OG0000209	XP_012150853.1, XP_012150852.1, XP_003707562.1	XP_015833617.1
OG0000210	XP_003703387.1	XP_008196393.1
OG0000210	XP_012148961.1	XP_008194608.1, XP_973007.1
