Orthogroup	Megachile_rotundata	Vespa_mandarinia
OG0000025	XP_003704143.1, XP_003705684.1	XP_035725550.1, XP_035742750.1, XP_035737760.1
OG0000025	XP_012135719.1	XP_035733466.1, XP_035719463.1
OG0000025	XP_012152731.1	XP_035720880.1, XP_035742374.1, XP_035725548.1, XP_035737742.1, XP_035734903.1, XP_035723523.1
OG0000026	XP_003699994.1	XP_035728457.1
OG0000026	XP_012144087.1	XP_035718093.1, XP_035718094.1
OG0000027	XP_012151723.1	XP_035732973.1, XP_035725930.1
OG0000029	XP_012154358.1	XP_035737588.1
OG0000029	XP_003704721.1	XP_035732367.1, XP_035732349.1
OG0000030	XP_012151824.1	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1
OG0000030	XP_012136054.1	XP_035723581.1
OG0000032	XP_003700812.2	XP_035723151.1
OG0000032	XP_012148506.1	XP_035730167.1
OG0000034	XP_012152458.1, XP_012152457.1, XP_012143815.1, XP_012138783.1, XP_012144879.1, XP_012145209.1, XP_012138607.1, XP_012138602.1, XP_012144545.1, XP_012144983.1, XP_012138996.1, XP_012135624.1, XP_012144703.1, XP_012152700.1, XP_012138758.1, XP_012138767.1, XP_012143908.1, XP_012138745.1, XP_012138734.1, XP_012143137.1, XP_003704403.2, XP_012143138.1, XP_012143140.1, XP_012143135.1, XP_012138695.1, XP_012138708.1, XP_012138654.1, XP_012143136.1	XP_035741912.1, XP_035741914.1
OG0000035	XP_003699462.1	XP_035731371.1
OG0000036	XP_003708656.1	XP_035729794.1
OG0000037	XP_012141146.1	XP_035725074.1
OG0000038	XP_012136030.1, XP_003703285.1	XP_035735001.1, XP_035735000.1
OG0000038	XP_012143992.1	XP_035739586.1
OG0000038	XP_012146808.1, XP_012146805.1	XP_035727166.1
OG0000038	XP_012148553.1	XP_035733817.1
OG0000040	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1	XP_035742485.1
OG0000040	XP_012148108.1	XP_035725216.1
OG0000041	XP_012137793.1, XP_012137792.1, XP_003702208.1	XP_035743035.1
OG0000041	XP_003706099.1, XP_012147265.1, XP_012147267.1, XP_012147266.1	XP_035742719.1
OG0000041	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1	XP_035742718.1, XP_035742717.1
OG0000043	XP_003705047.1	XP_035731122.1
OG0000043	XP_003708519.1	XP_035718657.1
OG0000044	XP_012148083.1	XP_035717273.1
OG0000044	XP_012148084.1	XP_035744089.1, XP_035744088.1
OG0000045	XP_003702695.1	XP_035720478.1, XP_035720481.1, XP_035720479.1
OG0000045	XP_003703631.1	XP_035731034.1, XP_035731019.1
OG0000045	XP_003707415.2	XP_035742841.1
OG0000046	XP_012146503.1	XP_035742705.1
OG0000046	XP_003705538.1	XP_035734549.1
OG0000046	XP_012153320.1	XP_035728851.1, XP_035728840.1
OG0000048	XP_012150784.1	XP_035728121.1
OG0000048	XP_012150791.1	XP_035728382.1
OG0000050	XP_003700585.1	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1
OG0000050	XP_003704799.2	XP_035718383.1
OG0000052	XP_012144734.1	XP_035743009.1, XP_035743008.1
OG0000053	XP_003708046.2	XP_035742059.1, XP_035740273.1
OG0000053	XP_012148086.1	XP_035737765.1, XP_035725546.1
OG0000054	XP_003707234.1	XP_035724338.1
OG0000054	XP_012149797.1, XP_003707236.1	XP_035724099.1, XP_035724441.1
OG0000055	XP_003702736.1	XP_035726348.1, XP_035726347.1
OG0000055	XP_012143001.1	XP_035720014.1
OG0000056	XP_012140855.1	XP_035726130.1
OG0000056	XP_012148645.1	XP_035718477.1
OG0000056	XP_012147749.1	XP_035728622.1
OG0000056	XP_012140860.1	XP_035733992.1
OG0000056	XP_012147777.1, XP_012137428.1, XP_012137427.1	XP_035741213.1
OG0000056	XP_012154207.1, XP_012154186.1	XP_035729096.1
OG0000057	XP_003706217.1	XP_035734097.1
OG0000057	XP_003702759.1	XP_035721261.1
OG0000057	XP_012147418.1	XP_035734267.1, XP_035734266.1
OG0000057	XP_003706216.1	XP_035734264.1
OG0000058	XP_012152350.1	XP_035739545.1, XP_035739536.1
OG0000058	XP_012148352.1, XP_012152307.1, XP_012152319.1, XP_012152339.1, XP_012151894.1	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1
OG0000060	XP_012134573.1, XP_012134574.1, XP_012134572.1	XP_035730103.1
OG0000060	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1	XP_035738199.1, XP_035738201.1, XP_035738202.1
OG0000061	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1
OG0000062	XP_012135095.1	XP_035737336.1
OG0000062	XP_003701703.1	XP_035728895.1
OG0000062	XP_003701665.1	XP_035728894.1
OG0000062	XP_003701705.1, XP_012136839.1, XP_003701702.1	XP_035728892.1
OG0000064	XP_012142565.1, XP_003704115.1, XP_012142564.1, XP_012142566.1	XP_035728239.1, XP_035741915.1, XP_035741916.1, XP_035741917.1
OG0000065	XP_012143903.1, XP_012143889.1, XP_012143895.1	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1
OG0000067	XP_012148170.1	XP_035734988.1
OG0000067	XP_012137444.1, XP_012137447.1	XP_035729269.1
OG0000067	XP_012152266.1	XP_035718759.1
OG0000067	XP_003701916.1	XP_035729165.1
OG0000067	XP_003707128.1	XP_035724654.1
OG0000069	XP_012134491.1, XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1	XP_035737423.1
OG0000069	XP_012154576.1	XP_035737135.1
OG0000073	XP_003702701.1, XP_012139216.1, XP_003702702.1	XP_035733744.1
OG0000074	XP_012149755.1, XP_012149751.1, XP_012149748.1	XP_035719932.1, XP_035736547.1
OG0000075	XP_012138856.1	XP_035737766.1, XP_035725545.1, XP_035722714.1
OG0000077	XP_012150605.1, XP_012150604.1	XP_035738027.1
OG0000077	XP_003703606.1	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1
OG0000078	XP_012149880.1	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1
OG0000079	XP_003703883.1	XP_035741820.1
OG0000079	XP_012142005.1	XP_035741810.1
OG0000079	XP_012141949.1	XP_035741818.1
OG0000080	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1	XP_035724002.1
OG0000080	XP_003700524.1	XP_035722996.1
OG0000081	XP_012143986.1, XP_012143985.1, XP_012143891.1, XP_012143988.1, XP_012143893.1, XP_003704733.2	XP_035739553.1
OG0000084	XP_003701847.1	XP_035738869.1
OG0000084	XP_003701826.2	XP_035739145.1
OG0000085	XP_003702681.1	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1
OG0000085	XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1	XP_035737189.1
OG0000086	XP_003699659.2	XP_035718518.1
OG0000086	XP_012143956.1, XP_012143955.1	XP_035737219.1, XP_035737220.1
OG0000087	XP_003708584.1	XP_035734892.1
OG0000088	XP_003701082.1	XP_035718097.1
OG0000089	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1	XP_035732042.1
OG0000089	XP_003706466.1	XP_035729577.1
OG0000091	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1	XP_035743855.1
OG0000092	XP_012144682.1	XP_035729950.1
OG0000092	XP_003702709.1	XP_035719716.1, XP_035719715.1
OG0000092	XP_003702708.1	XP_035719719.1
OG0000092	XP_012142981.1, XP_003704244.1	XP_035718227.1
OG0000094	XP_012151693.1	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1
OG0000096	XP_012147708.1	XP_035735801.1
OG0000096	XP_012137363.1, XP_012137365.1	XP_035724668.1, XP_035724666.1
OG0000097	XP_012153341.1	XP_035742312.1, XP_035742314.1, XP_035742313.1
OG0000097	XP_003705350.1	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1
OG0000098	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1	XP_035733072.1, XP_035733137.1
OG0000099	XP_003705981.1, XP_012146974.1	XP_035723282.1, XP_035723292.1, XP_035723300.1
OG0000099	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1	XP_035721767.1
OG0000099	XP_012136224.1	XP_035729911.1
OG0000100	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1
OG0000101	XP_012141182.1, XP_012141571.1	XP_035724161.1
OG0000101	XP_012141186.1, XP_003703468.1	XP_035724180.1
OG0000102	XP_012135996.1	XP_035722712.1
OG0000102	XP_012135835.1	XP_035722713.1
OG0000103	XP_012144431.1, XP_012144424.1	XP_035728991.1
OG0000103	XP_003699704.1	XP_035729002.1, XP_035728999.1
OG0000103	XP_012143723.1	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1
OG0000106	XP_003706674.1	XP_035736824.1
OG0000106	XP_012146762.1, XP_012146725.1, XP_012146726.1, XP_012146761.1, XP_012146727.1, XP_012146759.1	XP_035733484.1
OG0000107	XP_012151270.1, XP_012151275.1	XP_035735907.1
OG0000108	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1	XP_035729104.1, XP_035729105.1
OG0000109	XP_003700281.2	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1
OG0000110	XP_012147291.1	XP_035727648.1, XP_035727647.1
OG0000110	XP_012139832.1	XP_035738900.1
OG0000111	XP_012143770.1, XP_003708569.1	XP_035718068.1
OG0000111	XP_012135601.1, XP_012135600.1	XP_035719146.1
OG0000112	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1
OG0000112	XP_003700355.1, XP_012154003.1	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1
OG0000113	XP_003701045.1	XP_035724028.1
OG0000113	XP_003699454.1	XP_035725454.1
OG0000114	XP_003707384.2	XP_035719468.1
OG0000115	XP_003703956.1, XP_012139900.1	XP_035719374.1
OG0000115	XP_003703954.1	XP_035728117.1
OG0000116	XP_003700102.1	XP_035728572.1, XP_035728573.1
OG0000116	XP_012150301.1, XP_003700101.1	XP_035728508.1, XP_035728506.1, XP_035728507.1
OG0000117	XP_012142234.1	XP_035721151.1
OG0000117	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1	XP_035728960.1
OG0000119	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1
OG0000120	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1	XP_035743508.1
OG0000122	XP_003705279.2	XP_035742190.1
OG0000122	XP_003702313.1	XP_035722129.1
OG0000122	XP_003699551.1	XP_035738975.1
OG0000123	XP_003702607.2	XP_035725246.1, XP_035725252.1
OG0000124	XP_003703399.2	XP_035724659.1
OG0000125	XP_003703348.2	XP_035743368.1, XP_035743367.1
OG0000126	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1
OG0000127	XP_003707941.2	XP_035726611.1, XP_035726612.1, XP_035720274.1
OG0000127	XP_012151449.1	XP_035726374.1
OG0000129	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1	XP_035741994.1, XP_035741995.1
OG0000130	XP_012141592.1, XP_012141591.1	XP_035721963.1
OG0000130	XP_003703718.1	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1
OG0000130	XP_003702400.1	XP_035721444.1
OG0000131	XP_012138681.1, XP_003699377.1	XP_035742296.1
OG0000131	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1	XP_035733339.1, XP_035733338.1
OG0000132	XP_003706203.1, XP_012147468.1	XP_035721782.1, XP_035721781.1
OG0000132	XP_012152838.1, XP_003708422.1	XP_035732604.1
OG0000133	XP_003707714.1	XP_035741242.1
OG0000133	XP_012147924.1	XP_035729059.1
OG0000134	XP_012143753.1	XP_035740651.1
OG0000135	XP_003708004.1	XP_035717163.1
OG0000135	XP_003708115.1	XP_035725594.1
OG0000136	XP_003705561.1, XP_012146210.1	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1
OG0000137	XP_003705868.1	XP_035738396.1
OG0000137	XP_012140417.1	XP_035732267.1
OG0000138	XP_012141572.1	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1
OG0000138	XP_012141209.1	XP_035722005.1
OG0000139	XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1	XP_035719417.1, XP_035719753.1
OG0000140	XP_012139616.1, XP_012139622.1, XP_012139623.1, XP_012139620.1, XP_012139621.1, XP_012139617.1, XP_003702933.1, XP_012139615.1	XP_035720742.1, XP_035720741.1
OG0000141	XP_003701926.1	XP_035723074.1, XP_035723075.1, XP_035723073.1
OG0000141	XP_003704620.1	XP_035722392.1, XP_035722391.1
OG0000143	XP_003702327.1	XP_035726588.1
OG0000143	XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1	XP_035726587.1, XP_035726585.1, XP_035726586.1
OG0000145	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1	XP_035739706.1, XP_035739705.1
OG0000145	XP_012138596.1	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1
OG0000146	XP_003705369.1, XP_012151898.1, XP_012151891.1, XP_012151896.1	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1
OG0000147	XP_012151556.1, XP_003707862.1, XP_012151555.1	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1
OG0000147	XP_012149993.1, XP_003707471.1	XP_035734708.1
OG0000149	XP_012147339.1	XP_035726837.1
OG0000149	XP_012147343.1, XP_012147342.1, XP_003706133.1	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1
OG0000150	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1
OG0000151	XP_003704470.2	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1
OG0000152	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1	XP_035722053.1
OG0000153	XP_012139835.1	XP_035727062.1
OG0000154	XP_012152021.1	XP_035743057.1, XP_035743056.1
OG0000156	XP_012150894.1	XP_035723493.1
OG0000158	XP_012150089.1	XP_035740201.1
OG0000158	XP_003705555.2, XP_012145928.1, XP_003706752.1, XP_012152076.1, XP_012150572.1, XP_012148634.1, XP_012148635.1, XP_012145922.1, XP_012150087.1, XP_012150086.1	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1
OG0000160	XP_012147327.1	XP_035723999.1
OG0000160	XP_012138102.1, XP_003702188.1	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1
OG0000161	XP_003703976.1	XP_035719666.1, XP_035719656.1, XP_035719675.1
OG0000162	XP_003699383.2	XP_035731205.1
OG0000162	XP_012151345.1	XP_035740246.1, XP_035740247.1
OG0000164	XP_012138610.1, XP_012138588.1, XP_012138609.1	XP_035732024.1
OG0000165	XP_012141446.1, XP_012141448.1, XP_012141447.1	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1
OG0000165	XP_012138919.1	XP_035734576.1
OG0000166	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1
OG0000168	XP_012142201.1	XP_035736898.1
OG0000168	XP_012136943.1	XP_035731474.1
OG0000169	XP_003705463.1	XP_035729296.1
OG0000170	XP_003701076.1	XP_035742479.1
OG0000170	XP_012135503.1	XP_035742502.1, XP_035742492.1, XP_035742486.1
OG0000171	XP_003704787.1	XP_035741201.1, XP_035741202.1
OG0000171	XP_012144044.1	XP_035741205.1, XP_035741206.1
OG0000172	XP_012144448.1, XP_012144447.1, XP_012144446.1, XP_012144445.1, XP_012144449.1, XP_012144439.1, XP_012144440.1, XP_012144441.1, XP_012144442.1, XP_012144443.1, XP_003704990.1	XP_035738100.1, XP_035738101.1
OG0000173	XP_012141604.1	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1
OG0000174	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1	XP_035731433.1
OG0000175	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1
OG0000176	XP_012142410.1	XP_035735356.1
OG0000176	XP_003702272.1	XP_035737411.1
OG0000177	XP_003707752.1	XP_035739406.1
OG0000177	XP_012151117.1	XP_035739374.1
OG0000177	XP_012151116.1	XP_035739564.1
OG0000178	XP_012149455.1	XP_035725180.1
OG0000179	XP_003700764.1, XP_012134930.1	XP_035741505.1
OG0000179	XP_003707098.1	XP_035719102.1, XP_035719101.1
OG0000180	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1
OG0000181	XP_012135659.1	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1
OG0000182	XP_003700170.2, XP_012149750.1, XP_012149742.1	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1
OG0000183	XP_012144139.1	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1
OG0000183	XP_012136967.1	XP_035739701.1
OG0000185	XP_012152006.1, XP_012152009.1, XP_012152008.1, XP_003708091.1, XP_012152007.1	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1
OG0000186	XP_012138246.1, XP_003702219.1, XP_003702293.1	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1
OG0000187	XP_012144258.1	XP_035731676.1, XP_035731677.1
OG0000188	XP_003705392.1	XP_035731793.1
OG0000189	XP_012147949.1	XP_035728855.1
OG0000190	XP_012142605.1	XP_035728040.1, XP_035728039.1
OG0000191	XP_012136269.1	XP_035735127.1
OG0000192	XP_003702365.2	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1
OG0000194	XP_003699995.1	XP_035728644.1
OG0000194	XP_003700093.1	XP_035728648.1
OG0000194	XP_003700092.1	XP_035728646.1
OG0000194	XP_012152398.1	XP_035728547.1
OG0000195	XP_003704952.1	XP_035739727.1, XP_035739726.1
OG0000196	XP_012143079.1	XP_035720910.1
OG0000198	XP_012136053.1, XP_012136051.1	XP_035723755.1
OG0000199	XP_012153319.1	XP_035729157.1
OG0000200	XP_003701725.1	XP_035719894.1, XP_035719895.1
OG0000200	XP_003700547.1, XP_012154376.1	XP_035718373.1
OG0000201	XP_012148479.1	XP_035742700.1
OG0000202	XP_012139160.1	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1
OG0000202	XP_012137745.1	XP_035742672.1, XP_035742669.1, XP_035742670.1
