Orthogroup	Megachile_rotundata	Apis_mellifera
OG0000012	XP_003705466.1	XP_026297101.1, XP_026297165.1
OG0000012	XP_003705999.2	XP_026301256.1
OG0000012	XP_012146828.1	XP_026301257.1
OG0000012	XP_012146827.1	XP_016772201.1, XP_016772200.1
OG0000013	XP_003707914.1	XP_003251619.1, XP_001120132.1
OG0000013	XP_003708097.1	XP_006563135.1, XP_006563134.1, XP_624499.1
OG0000014	XP_012153581.1, XP_012141730.1	XP_003251627.1
OG0000014	XP_003707917.1	XP_006570861.2
OG0000017	XP_012145417.1	XP_006563394.1, NP_001171499.1
OG0000018	XP_003699290.1	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2
OG0000018	XP_012135493.1	XP_026299794.1
OG0000018	XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1	XP_006563569.1
OG0000019	XP_012138718.1, XP_012138710.1, XP_012138725.1	XP_026299702.1
OG0000019	XP_012135889.1	XP_394827.4
OG0000019	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1	XP_006572051.3
OG0000020	XP_012136049.1	XP_006569751.2
OG0000020	XP_003701701.2	XP_006560785.2
OG0000020	XP_012137465.1	XP_026300927.1
OG0000022	XP_003706155.1	XP_624700.1
OG0000022	XP_012141737.1	XP_001120186.1
OG0000023	XP_003707916.2	XP_003251626.1
OG0000024	XP_003705303.1	XP_026299083.1, XP_001120613.2
OG0000024	XP_003705639.2	XP_016773395.2
OG0000024	XP_003699642.1	NP_001011620.1
OG0000025	XP_012152028.1, XP_003708364.1	XP_026301735.1, XP_026301782.1, XP_026300570.1
OG0000025	XP_012135719.1, XP_012148416.1	XP_026294993.1, XP_026295496.1
OG0000026	XP_003699994.1	XP_392530.3
OG0000026	XP_012137100.1	XP_006557594.2
OG0000026	XP_012148280.1, XP_003706585.1	XP_026295189.1
OG0000026	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1	XP_003251584.1
OG0000027	XP_012151723.1	XP_003251624.1, XP_016773376.1
OG0000027	XP_003703732.1, XP_012137782.1	XP_006570863.1
OG0000029	XP_003704047.1	NP_001257747.1
OG0000029	XP_012142317.1	NP_001257746.1
OG0000029	XP_012154358.1	NP_001257750.1
OG0000029	XP_003704721.1	NP_001257749.1
OG0000030	XP_012151824.1	NP_001177849.1, XP_006572276.1
OG0000030	XP_012136054.1	XP_026300187.1
OG0000032	XP_012148506.1	XP_026298886.1
OG0000034	XP_012138745.1, XP_012138734.1	NP_001229914.1, XP_026299613.1, XP_016770782.1, XP_016770780.1, XP_016770788.1
OG0000035	XP_003699462.1	XP_392319.3
OG0000036	XP_003708655.1	XP_016771997.1, XP_001120999.2
OG0000036	XP_003700661.1	NP_001035360.1
OG0000036	XP_003708656.1	XP_001121077.2
OG0000036	XP_003700660.1	XP_003250085.1
OG0000037	XP_012141146.1	NP_001257751.1
OG0000038	XP_012136030.1, XP_003703285.1	XP_623220.1
OG0000038	XP_012138042.1	XP_006558759.1
OG0000038	XP_012143992.1	XP_394092.3
OG0000038	XP_012146808.1, XP_012146805.1	XP_006563567.1
OG0000038	XP_012148553.1	XP_026300252.1
OG0000038	XP_012153286.1	XP_396338.2
OG0000040	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1	XP_394370.2
OG0000041	XP_012137793.1, XP_012137792.1, XP_003702208.1	NP_001172074.1, NP_001172075.1
OG0000041	XP_003706099.1, XP_012147265.1, XP_012147267.1, XP_012147266.1	XP_026296530.1
OG0000041	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1	XP_003251464.1, XP_016767697.1
OG0000041	XP_003700544.1	XP_625015.1
OG0000042	XP_012142134.1, XP_003703962.2	XP_026295892.1, XP_026295893.1
OG0000043	XP_003705047.1	XP_016768084.1, NP_001071287.1
OG0000043	XP_012153654.1	NP_001011583.1
OG0000043	XP_003700214.1	XP_006557941.1, NP_001071282.1
OG0000044	XP_012148083.1	XP_006565547.1
OG0000044	XP_012148084.1	XP_006565544.2
OG0000044	XP_003706475.2	XP_006565537.1
OG0000045	XP_003702695.1	NP_001035326.1
OG0000045	XP_003703631.1	NP_001035349.1
OG0000045	XP_003707415.2	XP_006564814.1, XP_026296732.1, XP_006564813.1
OG0000046	XP_012146503.1	NP_001153524.1
OG0000046	XP_003705538.1	NP_001153522.1
OG0000046	XP_012153320.1	NP_001153544.1
OG0000048	XP_012150784.1	XP_016769367.1
OG0000048	XP_012150787.1	XP_026298613.1
OG0000048	XP_012150791.1	XP_006567535.1
OG0000050	XP_003700585.1	XP_026299635.1, XP_392696.5
OG0000050	XP_003704799.2	XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1
OG0000054	XP_003707234.1	NP_001257759.1
OG0000054	XP_012149797.1	NP_001257754.1
OG0000054	XP_003707236.1	NP_001257753.1
OG0000055	XP_012143001.1	XP_016771370.1
OG0000055	XP_012141945.1	XP_006562397.1
OG0000055	XP_012136069.1	XP_393860.4
OG0000056	XP_012140855.1	XP_026297251.1
OG0000056	XP_012147749.1	XP_026301167.1
OG0000056	XP_012140860.1	XP_026297087.1
OG0000056	XP_012137428.1	XP_026296769.1
OG0000056	XP_012154207.1, XP_012154186.1	XP_026299492.1
OG0000057	XP_003706217.1	XP_392313.1
OG0000057	XP_003702759.1	XP_026300739.1
OG0000057	XP_012147418.1	XP_394471.1
OG0000057	XP_003706216.1	XP_394469.1
OG0000058	XP_012152350.1	XP_026294942.1
OG0000058	XP_012152307.1, XP_012152319.1, XP_012152339.1, XP_012151894.1	XP_026298536.1
OG0000060	XP_012134573.1, XP_012134574.1, XP_012134572.1	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2
OG0000060	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1	NP_001180219.1, XP_006565210.1
OG0000061	XP_003703873.1	XP_397017.3
OG0000061	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1	XP_624322.1, XP_016773033.1
OG0000062	XP_012135095.1	XP_006568238.2
OG0000062	XP_003701703.1	XP_001119884.1
OG0000062	XP_003701707.1	XP_001120194.1
OG0000062	XP_003701665.1	XP_001120006.2
OG0000062	XP_003701705.1	XP_001120137.1
OG0000064	XP_012142565.1, XP_003704115.1, XP_012142564.1, XP_012142566.1	XP_016770849.2, NP_001229916.1, XP_026299914.1, NP_001229917.1, XP_006562273.2, XP_006562271.1
OG0000067	XP_012148170.1	XP_006561513.1
OG0000067	XP_012137444.1, XP_012137447.1	XP_026300867.1
OG0000067	XP_012152266.1	XP_026299464.1
OG0000067	XP_003701916.1	XP_006560064.1
OG0000067	XP_003707128.1	XP_395774.2
OG0000069	XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1	XP_006564460.2, XP_392727.4
OG0000069	XP_012154576.1	XP_016770442.2
OG0000073	XP_012147570.1	XP_003250137.2
OG0000073	XP_003702701.1, XP_012139216.1, XP_003702702.1	XP_003251791.2
OG0000073	XP_003702718.1, XP_003702704.1	XP_003251779.1, XP_016773440.1
OG0000074	XP_012149755.1, XP_012149751.1, XP_012149748.1	XP_001120594.2
OG0000077	XP_012150605.1, XP_012150604.1	XP_006567467.1
OG0000077	XP_003703606.1	XP_395426.5
OG0000078	XP_012149880.1	XP_026294928.1
OG0000078	XP_012149881.1, XP_012149882.1	XP_026294841.1
OG0000079	XP_003703883.1, XP_012142004.1	XP_026295829.1
OG0000079	XP_012141949.1	XP_026295828.1
OG0000079	XP_012141955.1	XP_006562778.1
OG0000080	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1	XP_397228.2
OG0000080	XP_003700522.1	XP_623221.2
OG0000080	XP_003700524.1	XP_006559470.1
OG0000081	XP_012143986.1, XP_012143985.1, XP_012143891.1, XP_012143988.1, XP_012143893.1, XP_003704733.2	XP_006563549.2, NP_001229913.1, XP_016772002.2, XP_394081.6, XP_026301357.1, XP_016772004.2, XP_026301413.1
OG0000082	XP_012151975.1	XP_006565018.1
OG0000082	XP_012151997.1	XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2
OG0000084	XP_003701847.1	NP_001257744.1
OG0000084	XP_003701826.2	NP_001257743.1
OG0000084	XP_003701043.1	XP_026300413.1
OG0000085	XP_003702681.1	XP_394579.2
OG0000086	XP_012143956.1, XP_012143955.1	XP_016772088.2
OG0000087	XP_003708584.1	XP_624353.1
OG0000087	XP_012153278.1	XP_016772139.1
OG0000088	XP_003701082.1	XP_006566240.1, XP_006566239.1, XP_026299220.1
OG0000089	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1	XP_003249883.2, XP_016768850.2
OG0000089	XP_003706466.1	XP_001120425.1
OG0000091	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1	XP_026299597.1, XP_026299596.1
OG0000092	XP_003702709.1	XP_006558182.1, XP_396653.1
OG0000092	XP_003702708.1	XP_396654.1, XP_016768016.1
OG0000092	XP_012142981.1, XP_003704244.1	XP_006560146.1
OG0000094	XP_012151693.1	XP_394160.3, XP_016770351.2
OG0000094	XP_012154361.1	XP_006572211.1
OG0000096	XP_012147708.1	XP_026300868.1
OG0000096	XP_012137363.1, XP_012137365.1	XP_003250667.2, XP_006562163.1
OG0000097	XP_012153341.1	XP_006566906.1, NP_001011628.1
OG0000097	XP_003705350.1	NP_001014993.1
OG0000098	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1	XP_006561279.1
OG0000099	XP_003705981.1, XP_012146974.1	XP_026301459.1
OG0000099	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1	XP_026301457.1, XP_026301458.1
OG0000099	XP_012136224.1	XP_006563474.1
OG0000100	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1
OG0000101	XP_012141571.1	XP_016769181.1
OG0000101	XP_012141186.1, XP_003703468.1	XP_016769182.2
OG0000102	XP_012135996.1	XP_026298009.1
OG0000102	XP_012135835.1	XP_016768868.1, XP_006559629.1
OG0000103	XP_012144424.1	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1
OG0000103	XP_003699704.1	XP_026298877.1
OG0000103	XP_012143723.1	XP_006558409.1, XP_016770073.1, XP_006558410.1
OG0000106	XP_003706674.1	XP_001120660.2
OG0000107	XP_012151270.1, XP_012151275.1	XP_006570363.1
OG0000108	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1	XP_026296997.1, XP_026296995.1, XP_026296996.1
OG0000109	XP_003700281.2	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1
OG0000110	XP_012147291.1	XP_016771484.1, XP_026300877.1
OG0000110	XP_012139832.1	XP_016771820.2
OG0000111	XP_012143770.1	XP_016767388.2
OG0000111	XP_012135601.1, XP_012135600.1	XP_016769305.2
OG0000112	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1	XP_016770669.1
OG0000112	XP_003700355.1, XP_012154003.1	XP_395840.2
OG0000113	XP_003701045.1	XP_001120149.1
OG0000113	XP_003699454.1	XP_001121347.2
OG0000114	XP_003707384.2	XP_026296673.1
OG0000115	XP_003703956.1	NP_001153742.1, XP_026295756.1
OG0000115	XP_012139900.1	NP_001136128.1, XP_006560566.1
OG0000116	XP_003700102.1	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1
OG0000117	XP_012142234.1	XP_006566844.1
OG0000117	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1
OG0000119	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1	XP_016769352.1
OG0000120	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1	XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1
OG0000122	XP_003705279.2	XP_396281.5
OG0000122	XP_003702313.1	XP_006569022.1
OG0000123	XP_003702607.2	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1
OG0000124	XP_003703399.2	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1
OG0000125	XP_003703348.2	XP_016768147.1
OG0000126	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1	XP_016772382.1, NP_001011571.1
OG0000127	XP_003707941.2	XP_006570777.1, XP_016771428.1, XP_016771429.1
OG0000127	XP_012151449.1	XP_396819.2
OG0000129	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1
OG0000130	XP_012141591.1	XP_006568433.1, XP_006568428.1
OG0000130	XP_003703718.1	XP_394686.4
OG0000130	XP_003702400.1	XP_026297554.1, XP_394687.3, XP_006565573.1
OG0000131	XP_012138681.1, XP_003699377.1	XP_006564418.1
OG0000131	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1	XP_392990.2, XP_003251503.1
OG0000132	XP_003706203.1, XP_012147468.1	XP_006569358.1, XP_006569359.1, XP_016767260.1
OG0000132	XP_012152838.1, XP_003708422.1	XP_006567280.1, XP_006567283.1, XP_006567281.1
OG0000133	XP_003707714.1	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1
OG0000133	XP_012147924.1	XP_016766376.2
OG0000134	XP_003705740.1	XP_006566587.1, XP_026299656.1, XP_623559.1, XP_026299657.1
OG0000135	XP_003701934.1, XP_012137460.1	XP_392723.3
OG0000135	XP_003708004.1	XP_006570858.1, XP_026300893.1
OG0000136	XP_003705561.1	XP_001123230.2
OG0000136	XP_012146210.1	XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000137	XP_003705868.1	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1
OG0000137	XP_012135720.1	XP_026298341.1
OG0000138	XP_012141572.1	XP_006561534.1
OG0000138	XP_012141209.1	XP_006561540.1
OG0000139	XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1	XP_026302052.1
OG0000140	XP_012139579.1, XP_012139878.1	XP_006565855.1, XP_006565854.1, XP_006565856.1
OG0000141	XP_003701926.1	XP_396377.3, XP_016771703.1
OG0000141	XP_003704620.1	XP_393772.4
OG0000142	XP_003704387.2	XP_026300389.1
OG0000142	XP_012143007.1	XP_026300390.1
OG0000143	XP_003702327.1	XP_394342.1
OG0000143	XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1	XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1
OG0000144	XP_003705520.2	NP_001092187.1
OG0000144	XP_003705522.1	NP_001104234.1
OG0000145	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1	XP_006571519.1, NP_001128406.1
OG0000145	XP_012138596.1	XP_006557552.1, NP_001011643.1
OG0000146	XP_003705369.1	XP_006569990.1
OG0000146	XP_012151898.1, XP_012151891.1, XP_012151896.1	XP_001120801.1
OG0000147	XP_003707862.1	XP_026301958.1
OG0000149	XP_012147339.1	XP_624573.2
OG0000149	XP_012147343.1, XP_012147342.1, XP_003706133.1	XP_006560541.1
OG0000150	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1
OG0000151	XP_003704470.2	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1
OG0000152	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1
OG0000153	XP_012139835.1	XP_006557622.1
OG0000154	XP_012152021.1	XP_003249939.3
OG0000156	XP_012150894.1	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1
OG0000158	XP_012150089.1	XP_026295419.1, XP_026296654.1
OG0000158	XP_003705555.2, XP_012145928.1, XP_003706752.1, XP_012152076.1, XP_012150572.1, XP_012148634.1, XP_012148635.1, XP_012145922.1	XP_026296664.1
OG0000160	XP_012147327.1	XP_006570492.2
OG0000161	XP_003703976.1	NP_001011563.1
OG0000162	XP_003699383.2	NP_001091691.1, XP_006562616.1
OG0000162	XP_012151345.1	NP_001091690.1, XP_026298411.1
OG0000164	XP_012138610.1	XP_016768018.2
OG0000164	XP_012138609.1	XP_006558190.2
OG0000165	XP_012141446.1, XP_012141448.1, XP_012141447.1	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2
OG0000165	XP_012138919.1	XP_006566324.1
OG0000166	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3
OG0000168	XP_012136788.1	XP_016766381.2
OG0000168	XP_012139252.1	XP_016767974.1, NP_001035325.2
OG0000168	XP_012136943.1	XP_026295680.1
OG0000169	XP_003705463.1	XP_026296993.1
OG0000170	XP_012135503.1	XP_006566077.2
OG0000170	XP_012143625.1	XP_026299163.1
OG0000171	XP_012144044.1	XP_623922.2
OG0000172	XP_012144448.1, XP_012144447.1, XP_012144446.1, XP_012144445.1, XP_012144449.1, XP_012144439.1, XP_012144440.1, XP_012144441.1, XP_012144442.1, XP_012144443.1, XP_003704990.1	XP_006565262.1, XP_006565259.1, XP_006565261.1
OG0000173	XP_012141604.1	XP_006560020.1, XP_006560019.1
OG0000174	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1	XP_394018.2
OG0000175	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1
OG0000176	XP_003702272.1	XP_003251204.1
OG0000177	XP_003707752.1	XP_001121910.1
OG0000177	XP_012151117.1	XP_016770327.1, XP_006566372.1
OG0000177	XP_012151116.1	XP_016770328.1
OG0000178	XP_012149455.1	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1
OG0000179	XP_012134930.1	XP_026301506.1
OG0000179	XP_003707098.1	XP_393381.2
OG0000180	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1
OG0000181	XP_012135659.1	XP_393751.2, XP_006570397.2, XP_016770282.2
OG0000182	XP_003700170.2, XP_012149750.1, XP_012149742.1	XP_006561855.2
OG0000183	XP_012144139.1	XP_026298476.1, XP_026298477.1
OG0000183	XP_012136967.1	XP_395404.2
OG0000184	XP_012151665.1	XP_016773569.1, XP_026300573.1
OG0000185	XP_012152006.1, XP_012152009.1, XP_012152008.1, XP_003708091.1, XP_012152007.1	XP_003250560.1
OG0000185	XP_012152005.1, XP_003708093.1	XP_006565025.1
OG0000186	XP_012138246.1, XP_003702219.1, XP_003702293.1	XP_001119981.4
OG0000187	XP_012144258.1	XP_016769442.2
OG0000188	XP_003705392.1	XP_394855.4
OG0000188	XP_003703034.1	XP_395697.2
OG0000190	XP_012142605.1	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1
OG0000191	XP_012136269.1	XP_026301152.1
OG0000192	XP_003702365.2	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000194	XP_003699995.1	XP_003249950.2
OG0000194	XP_003700093.1	NP_001257752.1
OG0000194	XP_012152398.1	XP_006561931.1, XP_016769566.1, XP_016769565.2
OG0000196	XP_012134628.1	XP_003250051.2
OG0000196	XP_012143079.1	XP_003251169.1, XP_016771426.1
OG0000197	XP_012144858.1	XP_006565013.1, XP_016773443.1, XP_026300501.1
OG0000197	XP_003699822.1	XP_006565014.2
OG0000198	XP_012136053.1, XP_012136051.1	XP_624772.2
OG0000200	XP_003701725.1	XP_026296548.1
OG0000200	XP_003700547.1	XP_006566649.2
OG0000200	XP_012154376.1	XP_006566650.1
OG0000201	XP_012148478.1	XP_006562412.3
OG0000202	XP_012139160.1	XP_006558615.1
OG0000202	XP_012137745.1	XP_016768758.1, XP_016768759.1
OG0000203	XP_003705579.2	XP_006558107.2, XP_395356.4
OG0000204	XP_003704418.1	XP_001121814.2
OG0000205	XP_003705021.1, XP_012144620.1, XP_012144622.1, XP_012144618.1, XP_012144619.1	XP_016766914.1
OG0000206	XP_012150998.1	XP_026300186.1
OG0000207	XP_012146454.1	NP_001014430.1, XP_006566311.1
OG0000207	XP_012134609.1	NP_001011652.1
OG0000207	XP_012134607.1	NP_001305411.1
OG0000208	XP_012134606.1	XP_006562317.1
OG0000208	XP_012136964.1	XP_625189.3
OG0000209	XP_012150853.1, XP_012150852.1, XP_003707562.1	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1
OG0000210	XP_003703387.1	XP_026297186.1
OG0000210	XP_012148961.1	XP_016769921.1
OG0000210	XP_012137421.1	XP_006562251.2
OG0000212	XP_003700908.2	XP_001121043.2
OG0000212	XP_003702537.1	XP_026298300.1
OG0000213	XP_012141554.1, XP_003703563.1, XP_012141555.1, XP_012141556.1, XP_012141557.1	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000214	XP_003703502.1	XP_623084.1
OG0000214	XP_003700432.2	XP_392104.4
