Ob_GeneID,Dm_GeneID
LOC114874807,FBgn0038964
LOC114874813,FBgn0025457
LOC114874555,FBgn0067783
LOC114874545,FBgn0037074
LOC114874568,FBgn0015521
LOC114875279,FBgn0031473
LOC114875266,FBgn0031473
LOC114875245,FBgn0051989
LOC114875259,FBgn0030864
LOC114875288,FBgn0035004
LOC114875288,FBgn0023517
LOC114875251,FBgn0030474
LOC114875389,FBgn0038704
LOC114875379,FBgn0020386
LOC114874383,FBgn0053558
LOC114874632,FBgn0035632
LOC114874644,FBgn0024807
LOC114874644,FBgn0035608
LOC114874644,FBgn0035571
LOC114874719,FBgn0024998
LOC114874615,FBgn0036846
LOC114874514,FBgn0010280
LOC114874504,FBgn0034636
LOC114874496,FBgn0034638
LOC114874727,FBgn0085409
LOC114874670,FBgn0085409
LOC114874800,FBgn0027785
LOC114874776,FBgn0036919
LOC114874752,FBgn0053977
LOC114874745,FBgn0026777
LOC114874745,FBgn0039147
LOC114875063,FBgn0030752
LOC114875059,FBgn0033184
LOC114875044,FBgn0011211
LOC114875073,FBgn0030011
LOC114875080,FBgn0020618
LOC114875089,FBgn0052857
LOC114875089,FBgn0285970
LOC114875089,FBgn0053502
LOC114875089,FBgn0052857
LOC114875089,FBgn0285970
LOC114875089,FBgn0053502
LOC114875089,FBgn0052857
LOC114875089,FBgn0285970
LOC114875089,FBgn0053502
LOC114875015,FBgn0041182
LOC114875015,FBgn0041183
LOC114875015,FBgn0041180
LOC114875015,FBgn0041181
LOC114875035,FBgn0034569
LOC114875026,FBgn0003278
LOC114875050,FBgn0027779
LOC114875694,FBgn0036105
LOC114877141,FBgn0011291
LOC114877154,FBgn0003744
LOC114876352,FBgn0270925
LOC114876352,FBgn0024289
LOC114876352,FBgn0022359
LOC114876088,FBgn0039306
LOC114876083,FBgn0000018
LOC114876124,FBgn0037653
LOC114876046,FBgn0259823
LOC114876115,FBgn0029975
LOC114876000,FBgn0053158
LOC114876096,FBgn0261799
LOC114876134,FBgn0004569
LOC114876055,FBgn0038745
LOC114876099,FBgn0032664
LOC114876099,FBgn0030717
LOC114876421,FBgn0037544
LOC114876429,FBgn0037299
LOC114877066,FBgn0265523
LOC114877092,FBgn0030417
LOC114877098,FBgn0030395
LOC114877129,FBgn0037330
LOC114877109,FBgn0030318
LOC114877135,FBgn0034066
LOC114875796,FBgn0250908
LOC114875786,FBgn0087011
LOC114876185,FBgn0051550
LOC114876218,FBgn0036890
LOC114875487,FBgn0023458
LOC114875503,FBgn0086443
LOC114876307,FBgn0033692
LOC114876312,FBgn0025595
LOC114875678,FBgn0030930
LOC114875647,FBgn0283724
LOC114875654,FBgn0259986
LOC114875587,FBgn0031851
LOC114875573,FBgn0033229
LOC114875573,FBgn0042173
LOC114875567,FBgn0028744
LOC114875594,FBgn0037297
LOC114875604,FBgn0037672
LOC114875578,FBgn0031659
LOC114875611,FBgn0017579
LOC114876481,FBgn0011606
LOC114876361,FBgn0030241
LOC114876361,FBgn0030242
LOC114876365,FBgn0015019
LOC114875645,FBgn0004117
LOC114877034,FBgn0004117
LOC114876960,FBgn0265296
LOC114877049,FBgn0010385
LOC114877056,FBgn0010385
LOC114877026,FBgn0032061
LOC114877026,FBgn0000261
LOC114876985,FBgn0024187
LOC114876488,FBgn0015277
LOC114875421,FBgn0031023
LOC114876775,FBgn0029955
LOC114876780,FBgn0027291
LOC114876762,FBgn0267790
LOC114876747,FBgn0038286
LOC114876701,FBgn0001139
LOC114876225,FBgn0262117
LOC114875806,FBgn0014037
LOC114875838,FBgn0029117
LOC114875814,FBgn0001145
LOC114875814,FBgn0001142
LOC114875848,FBgn0015379
LOC114876267,FBgn0037276
LOC114876267,FBgn0038771
LOC114875823,FBgn0033672
LOC114876655,FBgn0264855
LOC114876696,FBgn0039764
LOC114876672,FBgn0031037
LOC114876667,FBgn0038865
LOC114876667,FBgn0038866
LOC114876667,FBgn0033996
LOC114877236,FBgn0085412
LOC114877261,FBgn0085412
LOC114876606,FBgn0038865
LOC114876606,FBgn0038866
LOC114876606,FBgn0033996
LOC114876612,FBgn0031037
LOC114876642,FBgn0039764
LOC114876602,FBgn0264855
LOC114877293,FBgn0033672
LOC114876271,FBgn0037276
LOC114876271,FBgn0038771
LOC114877318,FBgn0015379
LOC114877283,FBgn0001145
LOC114877283,FBgn0001142
LOC114877311,FBgn0029117
LOC114876508,FBgn0014037
LOC114876511,FBgn0262117
LOC114876798,FBgn0001139
LOC114876833,FBgn0038286
LOC114876846,FBgn0267790
LOC114876869,FBgn0027291
LOC114876862,FBgn0029955
LOC114875510,FBgn0031023
LOC114876502,FBgn0015277
LOC114876546,FBgn0024187
LOC114876593,FBgn0032061
LOC114876593,FBgn0000261
LOC114876279,FBgn0010385
LOC114876521,FBgn0265296
LOC114876292,FBgn0004117
LOC114875646,FBgn0004117
LOC114876400,FBgn0015019
LOC114876296,FBgn0030241
LOC114876296,FBgn0030242
LOC114876468,FBgn0011606
LOC114875476,FBgn0017579
LOC114875442,FBgn0031659
LOC114875473,FBgn0037672
LOC114875456,FBgn0037297
LOC114875433,FBgn0028744
LOC114875437,FBgn0033229
LOC114875437,FBgn0042173
LOC114875449,FBgn0031851
LOC114875715,FBgn0259986
LOC114875710,FBgn0283724
LOC114875752,FBgn0030930
LOC114876413,FBgn0025595
LOC114876407,FBgn0033692
LOC114875557,FBgn0086443
LOC114875520,FBgn0023458
LOC114876177,FBgn0036890
LOC114876144,FBgn0051550
LOC114875766,FBgn0087011
LOC114875775,FBgn0250908
LOC114876951,FBgn0034066
LOC114876924,FBgn0030395
LOC114876931,FBgn0030318
LOC114876946,FBgn0037330
LOC114876882,FBgn0265523
LOC114876456,FBgn0037299
LOC114876440,FBgn0037544
LOC114875958,FBgn0032664
LOC114875958,FBgn0030717
LOC114875913,FBgn0038745
LOC114875857,FBgn0053158
LOC114875993,FBgn0004569
LOC114875952,FBgn0261799
LOC114875974,FBgn0029975
LOC114875902,FBgn0259823
LOC114875982,FBgn0037653
LOC114875944,FBgn0000018
LOC114875945,FBgn0039306
LOC114876250,FBgn0270925
LOC114876250,FBgn0024289
LOC114876250,FBgn0022359
LOC114877193,FBgn0003744
LOC114877227,FBgn0011291
LOC114875701,FBgn0036105
LOC114878176,FBgn0038662
LOC114878099,FBgn0004394
LOC114878099,FBgn0085424
LOC114878130,FBgn0086346
LOC114877473,FBgn0027086
LOC114877479,FBgn0039734
LOC114877483,FBgn0029503
LOC114877491,FBgn0038806
LOC114877497,FBgn0023212
LOC114877554,FBgn0085432
LOC114877543,FBgn0005561
LOC114877944,FBgn0039581
LOC114877957,FBgn0261523
LOC114877968,FBgn0053100
LOC114877978,FBgn0036121
LOC114877923,FBgn0260965
LOC114878046,FBgn0003169
LOC114877984,FBgn0039026
LOC114878383,FBgn0039130
LOC114878154,FBgn0025781
LOC114878113,FBgn0004882
LOC114878123,FBgn0053474
LOC114878123,FBgn0039068
LOC114877329,FBgn0263289
LOC114877753,FBgn0037962
LOC114877747,FBgn0037756
LOC114877723,FBgn0035970
LOC114877723,FBgn0038039
LOC114877720,FBgn0003676
LOC114878073,FBgn0053002
LOC114878065,FBgn0053260
LOC114878069,FBgn0039532
LOC114878093,FBgn0039565
LOC114878080,FBgn0003268
LOC114877428,FBgn0027784
LOC114877434,FBgn0015781
LOC114878560,FBgn0058263
LOC114878542,FBgn0259140
LOC114878542,FBgn0052702
LOC114878185,FBgn0039596
LOC114878185,FBgn0031530
LOC114878192,FBgn0020305
LOC114878642,FBgn0037465
LOC114878642,FBgn0037517
LOC114878642,FBgn0037856
LOC114878642,FBgn0042102
LOC114878642,FBgn0042105
LOC114878642,FBgn0042103
LOC114878642,FBgn0042104
LOC114878642,FBgn0037853
LOC114878642,FBgn0037521
LOC114878642,FBgn0037518
LOC114878642,FBgn0037519
LOC114878659,FBgn0022238
LOC114878648,FBgn0005638
LOC114878655,FBgn0029134
LOC114878678,FBgn0033624
LOC114878637,FBgn0052703
LOC114878209,FBgn0028658
LOC114878216,FBgn0020909
LOC114878231,FBgn0039639
LOC114878626,FBgn0004888
LOC114878595,FBgn0037944
LOC114878592,FBgn0259164
LOC114878592,FBgn0035645
LOC114878592,FBgn0035647
LOC114878535,FBgn0010226
LOC114878684,FBgn0038139
LOC114878684,FBgn0038140
LOC114878725,FBgn0038136
LOC114878725,FBgn0038135
LOC114878725,FBgn0052473
LOC114878742,FBgn0038130
LOC114878444,FBgn0039756
LOC114878480,FBgn0020270
LOC114878504,FBgn0004403
LOC114878504,FBgn0004404
LOC114878504,FBgn0004403
LOC114878504,FBgn0004404
LOC114878488,FBgn0033206
LOC114878497,FBgn0036908
LOC114878292,FBgn0024889
LOC114878317,FBgn0037022
LOC114878251,FBgn0028387
LOC114878239,FBgn0034205
LOC114878239,FBgn0031456
LOC114878352,FBgn0031979
LOC114878377,FBgn0031980
LOC114878330,FBgn0260632
LOC114878330,FBgn0011274
LOC114878321,FBgn0031384
LOC114878413,FBgn0052354
LOC114877622,FBgn0020440
LOC114877659,FBgn0034495
LOC114877702,FBgn0266711
LOC114877695,FBgn0036118
LOC114877642,FBgn0015075
LOC114877664,FBgn0001123
LOC114877644,FBgn0024352
LOC114877652,FBgn0000250
LOC114877683,FBgn0035194
LOC114877677,FBgn0001995
LOC114877672,FBgn0087041
LOC114877574,FBgn0038343
LOC114877600,FBgn0036036
LOC114877577,FBgn0032450
LOC114877758,FBgn0032446
LOC114877875,FBgn0033074
LOC114877875,FBgn0016041
LOC114877805,FBgn0032398
LOC114877796,FBgn0045862
LOC114877819,FBgn0031970
LOC114877819,FBgn0031969
LOC114877819,FBgn0025697
LOC114877819,FBgn0015924
LOC114877819,FBgn0051741
LOC114877819,FBgn0002939
LOC114877862,FBgn0031550
LOC114877896,FBgn0243513
LOC114877776,FBgn0004611
LOC114877883,FBgn0028841
LOC114878199,FBgn0005677
LOC114877446,FBgn0031275
LOC114878168,FBgn0026438
LOC114877518,FBgn0284247
LOC114878393,FBgn0031233
LOC114877512,FBgn0020762
LOC114879355,FBgn0263392
LOC114878809,FBgn0035379
LOC114878786,FBgn0027582
LOC114878789,FBgn0053124
LOC114878789,FBgn0051668
LOC114878789,FBgn0051262
LOC114878789,FBgn0031998
LOC114878902,FBgn0032196
LOC114878883,FBgn0020294
LOC114878949,FBgn0028487
LOC114878949,FBgn0035008
LOC114878962,FBgn0030329
LOC114878959,FBgn0028902
LOC114878857,FBgn0058002
LOC114878857,FBgn0085736
LOC114878857,FBgn0058002
LOC114878857,FBgn0085736
LOC114878918,FBgn0000015
LOC114879326,FBgn0000014
LOC114879263,FBgn0003944
LOC114879233,FBgn0001077
LOC114879233,FBgn0004054
LOC114879233,FBgn0260642
LOC114878993,FBgn0000439
LOC114879141,FBgn0051481
LOC114879145,FBgn0002522
LOC114879204,FBgn0263977
LOC114879204,FBgn0031164
LOC114879204,FBgn0020371
LOC114879204,FBgn0037310
LOC114879179,FBgn0038977
LOC114879174,FBgn0038590
LOC114879158,FBgn0005672
LOC114879158,FBgn0052179
LOC114879006,FBgn0052704
LOC114879013,FBgn0052537
LOC114879285,FBgn0029737
LOC114879269,FBgn0021847
LOC114879079,FBgn0000253
LOC114879075,FBgn0085638
LOC114879063,FBgn0031657
LOC114879068,FBgn0036556
LOC114879018,FBgn0264561
LOC114879093,FBgn0031401
LOC114879102,FBgn0051673
LOC114879102,FBgn0032889
LOC114879102,FBgn0051674
LOC114879124,FBgn0032642
LOC114879107,FBgn0034763
LOC114879131,FBgn0052667
LOC114879656,FBgn0011260
LOC114879656,FBgn0264273
LOC114880072,FBgn0031347
LOC114879487,FBgn0264542
LOC114879512,FBgn0052808
LOC114879512,FBgn0037678
LOC114879512,FBgn0037677
LOC114879528,FBgn0052808
LOC114879528,FBgn0037678
LOC114879528,FBgn0037677
LOC114879519,FBgn0052808
LOC114879519,FBgn0037678
LOC114879519,FBgn0037677
LOC114879590,FBgn0040234
LOC114879595,FBgn0030833
LOC114879979,FBgn0259678
LOC114879993,FBgn0004169
LOC114879956,FBgn0261549
LOC114879949,FBgn0023096
LOC114879647,FBgn0034911
LOC114879616,FBgn0061469
LOC114879607,FBgn0267435
LOC114879900,FBgn0027095
LOC114879889,FBgn0038541
LOC114879889,FBgn0038542
LOC114879925,FBgn0262854
LOC114879925,FBgn0053265
LOC114879925,FBgn0259748
LOC114879925,FBgn0036947
LOC114879925,FBgn0036228
LOC114879680,FBgn0262854
LOC114879680,FBgn0053265
LOC114879680,FBgn0259748
LOC114879680,FBgn0036947
LOC114879680,FBgn0036228
LOC114879870,FBgn0263831
LOC114879909,FBgn0262854
LOC114879909,FBgn0053265
LOC114879909,FBgn0259748
LOC114879909,FBgn0036947
LOC114879909,FBgn0036228
LOC114879851,FBgn0031990
LOC114879862,FBgn0263256
LOC114879837,FBgn0030569
LOC114879544,FBgn0085383
LOC114879544,FBgn0085391
LOC114879733,FBgn0036915
LOC114879386,FBgn0051111
LOC114879399,FBgn0031635
LOC114879424,FBgn0032478
LOC114879391,FBgn0037342
LOC114879675,FBgn0052369
LOC114879815,FBgn0031858
LOC114879736,FBgn0264815
LOC114879793,FBgn0032381
LOC114879793,FBgn0002570
LOC114879793,FBgn0033294
LOC114879793,FBgn0002571
LOC114879793,FBgn0050359
LOC114879793,FBgn0002569
LOC114879793,FBgn0033296
LOC114879793,FBgn0033297
LOC114879793,FBgn0050360
LOC114879802,FBgn0032381
LOC114879802,FBgn0002570
LOC114879802,FBgn0033294
LOC114879802,FBgn0002571
LOC114879802,FBgn0050359
LOC114879802,FBgn0002569
LOC114879802,FBgn0033296
LOC114879802,FBgn0033297
LOC114879802,FBgn0050360
LOC114879789,FBgn0032381
LOC114879789,FBgn0002570
