ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
35	"LOC114877993"	NA	chrOU015519.1	+	3672161	3673702	3672161	3672640	3672707	3673702
36	"LOC114878004"	NA	chrOU015519.1	+	3441250	3442913	3441250	3442497	3442775	3442913
37	"LOC114879774"	NA	chrOU015519.1	-	3256724	3257084	3256724	3256910	3256994	3257084
38	"LOC114879766"	NA	chrOU015519.1	-	3179928	3180591	3179928	3180302	3180473	3180591
39	"LOC114879754"	NA	chrOU015519.1	-	3130780	3131590	3130780	3131046	3131228	3131590
40	"LOC114877844"	NA	chrOU015519.1	+	2977588	2977927	2977588	2977775	2977872	2977927
41	"LOC114877856"	NA	chrOU015519.1	+	2938042	2938770	2938042	2938355	2938506	2938770
42	"LOC114877872"	NA	chrOU015519.1	-	2742371	2742683	2742371	2742480	2742561	2742683
43	"LOC114877871"	NA	chrOU015519.1	+	2735308	2736086	2735308	2735470	2735603	2736086
44	"LOC114879720"	NA	chrOU015519.1	+	2623489	2625317	2623489	2623797	2623959	2625317
45	"LOC114879722"	NA	chrOU015519.1	+	2607339	2607758	2607339	2607549	2607651	2607758
46	"LOC114879728"	NA	chrOU015519.1	-	2565849	2567154	2565849	2566320	2566384	2567154
47	"LOC114879732"	NA	chrOU015519.1	-	2537307	2538294	2537307	2538094	2538161	2538294
48	"LOC114879730"	NA	chrOU015519.1	+	2490507	2491625	2490507	2490935	2491104	2491625
49	"LOC114879513"	NA	chrOU015519.1	-	2155472	2157221	2155472	2155686	2155987	2157221
50	"LOC114880222"	NA	chrOU015519.1	-	1948568	1949787	1948568	1949486	1949558	1949787
51	"LOC114880226"	NA	chrOU015519.1	-	1926710	1927072	1926710	1926839	1926925	1927072
52	"LOC114880802"	NA	chrOU015518.1	+	8720577	8721827	8720577	8720774	8720894	8721827
53	"LOC114880802"	NA	chrOU015518.1	+	8720577	8721827	8720577	8720774	8721158	8721827
54	"LOC114876491"	NA	chrOU015518.1	+	8481527	8482490	8481527	8482286	8482376	8482490
55	"LOC114876504"	NA	chrOU015518.1	-	8436952	8437723	8436952	8437297	8437467	8437723
56	"LOC114876525"	NA	chrOU015518.1	-	8168141	8168495	8168141	8168323	8168419	8168495
57	"LOC114875664"	NA	chrOU015518.1	+	7806383	7806806	7806383	7806561	7806639	7806806
58	"LOC114875698"	NA	chrOU015518.1	-	7699994	7704510	7699994	7702185	7702254	7704510
59	"LOC114875707"	NA	chrOU015518.1	+	7522665	7523292	7522665	7523051	7523111	7523292
60	"LOC114877701"	NA	chrOU015518.1	-	7321616	7323181	7321616	7322332	7322573	7323181
61	"LOC114877537"	NA	chrOU015518.1	+	5793293	5793609	5793293	5793391	5793469	5793609
62	"LOC114877559"	NA	chrOU015518.1	+	5765228	5765452	5765228	5765273	5765342	5765452
63	"LOC114877551"	NA	chrOU015518.1	+	5353547	5354570	5353547	5353882	5354342	5354570
64	"LOC114877551"	NA	chrOU015518.1	+	5353547	5354570	5353547	5354269	5354342	5354570
65	"LOC114878496"	NA	chrOU015518.1	-	4443288	4444052	4443288	4443295	4443680	4444052
66	"LOC114878496"	NA	chrOU015518.1	-	4443288	4444052	4443288	4443421	4443680	4444052
67	"LOC114878496"	NA	chrOU015518.1	-	4443288	4444052	4443288	4443431	4443680	4444052
68	"LOC114878496"	NA	chrOU015518.1	-	4443288	4444052	4443288	4443936	4443990	4444052
69	"LOC114878496"	NA	chrOU015518.1	-	4443288	4444170	4443288	4443421	4443990	4444170
70	"LOC114878514"	NA	chrOU015518.1	-	4387638	4388408	4387638	4388186	4388248	4388408
71	"LOC114878476"	NA	chrOU015518.1	+	4361071	4361701	4361071	4361331	4361511	4361701
72	"LOC114882873"	NA	chrOU015518.1	+	3056589	3057051	3056589	3056620	3056693	3057051
73	"LOC114882870"	NA	chrOU015518.1	-	2529104	2530501	2529104	2529307	2529862	2530501
74	"LOC114882852"	NA	chrOU015518.1	-	2472928	2474110	2472928	2473523	2473865	2474110
75	"LOC114882852"	NA	chrOU015518.1	-	2472928	2474110	2472928	2473629	2473865	2474110
76	"LOC114882859"	NA	chrOU015518.1	+	2060693	2062595	2060693	2060944	2061356	2062595
77	"LOC114882836"	NA	chrOU015518.1	-	2019765	2020495	2019765	2020014	2020085	2020495
78	"LOC114882845"	NA	chrOU015518.1	-	1999754	2000341	1999754	1999962	2000044	2000341
79	"LOC114882845"	NA	chrOU015518.1	-	1999754	2000341	1999754	1999962	2000086	2000341
80	"LOC114878724"	NA	chrOU015518.1	-	1808511	1810108	1808511	1809276	1809978	1810108
81	"LOC114878724"	NA	chrOU015518.1	-	1811885	1812618	1811885	1812033	1812171	1812618
82	"LOC114878724"	NA	chrOU015518.1	-	1811885	1812618	1811885	1812111	1812171	1812618
83	"LOC114878724"	NA	chrOU015518.1	-	1811885	1812618	1811885	1812111	1812188	1812618
84	"LOC114878760"	NA	chrOU015518.1	+	1775386	1775940	1775386	1775710	1775815	1775940
85	"LOC114872965"	NA	chrOU015518.1	+	1571294	1583032	1571294	1576936	1577056	1583032
86	"LOC114872955"	NA	chrOU015518.1	+	1439210	1439989	1439210	1439553	1439634	1439989
87	"LOC114872955"	NA	chrOU015518.1	+	1518622	1518835	1518622	1518713	1518804	1518835
88	"LOC114872836"	NA	chrOU015518.1	-	1224946	1225463	1224946	1225104	1225200	1225463
89	"LOC114872930"	NA	chrOU015518.1	+	1103465	1103729	1103465	1103603	1103672	1103729
90	"LOC114872937"	NA	chrOU015518.1	-	1083974	1084833	1083974	1084281	1084446	1084833
91	"LOC114872937"	NA	chrOU015518.1	-	1083974	1084833	1083974	1084368	1084446	1084833
92	"LOC114872937"	NA	chrOU015518.1	-	1087086	1089874	1087086	1087224	1087677	1089874
93	"LOC114872842"	NA	chrOU015518.1	-	1045994	1046457	1045994	1046265	1046334	1046457
94	"LOC114872843"	NA	chrOU015518.1	+	989786	989984	989786	989873	989927	989984
95	"LOC114873006"	NA	chrOU015518.1	-	810336	811020	810336	810725	810887	811020
96	"LOC114873001"	NA	chrOU015518.1	-	790649	791101	790649	790701	790864	791101
97	"LOC114872901"	NA	chrOU015518.1	+	713679	717600	713679	716970	717045	717600
98	"LOC114872901"	NA	chrOU015518.1	+	713679	717600	713679	717259	717316	717600
99	"LOC114872901"	NA	chrOU015518.1	+	713679	717600	713679	717259	717319	717600
100	"LOC114876026"	NA	chrOU015518.1	+	572839	573692	572839	573044	573275	573692
101	"LOC114876026"	NA	chrOU015518.1	+	572839	573692	572839	573402	573483	573692
102	"LOC114876026"	NA	chrOU015518.1	+	572839	573692	572839	573402	573525	573692
103	"LOC114880708"	NA	chrOU015517.1	+	6418493	6419155	6418493	6418793	6418952	6419155
104	"LOC114880708"	NA	chrOU015517.1	+	6420086	6421771	6420086	6420309	6420387	6421771
105	"LOC114882876"	NA	chrOU015518.1	-	3125400	3126553	3125400	3126067	3126141	3126553
106	"LOC114876842"	NA	chrOU015517.1	+	5600892	5604968	5600892	5603456	5603531	5604968
107	"LOC114875900"	NA	chrOU015517.1	-	5406502	5406705	5406502	5406590	5406693	5406705
108	"LOC114872735"	NA	chrOU015517.1	-	4371243	4371501	4371243	4371342	4371402	4371501
109	"LOC114872731"	NA	chrOU015517.1	-	4334543	4337319	4334543	4334592	4334713	4337319
110	"LOC114880514"	NA	chrOU015509.1	+	8873555	8874893	8873555	8873796	8874099	8874893
111	"LOC114880053"	NA	chrOU015519.1	+	8135571	8136296	8135571	8135923	8136059	8136296
112	"LOC114880605"	NA	chrOU015509.1	+	10361931	10366245	10361931	10362755	10362926	10366245
113	"LOC114879615"	NA	chrOU015509.1	+	7889329	7894528	7889329	7891278	7894364	7894528
114	"LOC114879615"	NA	chrOU015509.1	+	7895154	7895696	7895154	7895324	7895438	7895696
115	"LOC114879615"	NA	chrOU015509.1	+	7895154	7895696	7895154	7895389	7895438	7895696
116	"LOC114879615"	NA	chrOU015509.1	+	7895154	7895696	7895154	7895324	7895449	7895696
117	"LOC114879615"	NA	chrOU015509.1	+	7895154	7895696	7895154	7895389	7895449	7895696
118	"LOC114879615"	NA	chrOU015509.1	+	7895154	7895696	7895154	7895389	7895478	7895696
119	"LOC114873193"	NA	chrOU015515.1	+	2676928	2679512	2676928	2677413	2678027	2679512
120	"LOC114871956"	NA	chrOU015509.1	-	7567563	7574003	7567563	7568809	7568872	7574003
121	"LOC114882922"	NA	chrOU015504.1	-	8487987	8489335	8487987	8488538	8489225	8489335
122	"LOC114882862"	NA	chrOU015518.1	+	2049347	2050451	2049347	2050326	2050388	2050451
123	"LOC114882862"	NA	chrOU015518.1	+	2051237	2051911	2051237	2051589	2051703	2051911
124	"LOC114882862"	NA	chrOU015518.1	+	2051237	2051911	2051237	2051589	2051767	2051911
125	"LOC114873223"	NA	chrOU015515.1	+	2646357	2649325	2646357	2646490	2648012	2649325
126	"LOC114871192"	NA	chrOU015514.1	+	9624630	9624990	9624630	9624766	9624850	9624990
127	"LOC114878894"	NA	chrOU015509.1	-	5448253	5448524	5448253	5448332	5448439	5448524
128	"LOC114878894"	NA	chrOU015509.1	-	5450398	5453684	5450398	5450513	5450653	5453684
129	"LOC114872090"	NA	chrOU015512.1	+	3465146	3466571	3465146	3465319	3465874	3466571
130	"LOC114872090"	NA	chrOU015512.1	+	3465146	3466571	3465146	3465633	3465874	3466571
131	"LOC114872090"	NA	chrOU015512.1	+	3466656	3467176	3466656	3466897	3467021	3467176
132	"LOC114875840"	NA	chrOU015505.1	+	13635173	13635645	13635173	13635325	13635501	13635645
133	"LOC114875840"	NA	chrOU015505.1	+	13635173	13635645	13635173	13635340	13635501	13635645
134	"LOC114878267"	NA	chrOU015509.1	+	5090373	5091755	5090373	5090537	5090624	5091755
135	"LOC114878272"	NA	chrOU015509.1	+	5071646	5075884	5071646	5075118	5075203	5075884
136	"LOC114877682"	NA	chrOU015511.1	+	10194817	10197436	10194817	10194868	10194949	10197436
137	"LOC114877682"	NA	chrOU015511.1	+	10194817	10197436	10194817	10194868	10195003	10197436
138	"LOC114871129"	NA	chrOU015508.1	-	1603713	1606561	1603713	1606172	1606260	1606561
139	"LOC114877072"	NA	chrOU015517.1	-	820093	821605	820093	820780	821286	821605
140	"LOC114879692"	NA	chrOU015505.1	+	12574916	12575260	12574916	12575057	12575117	12575260
141	"LOC114874628"	NA	chrOU015509.1	+	3823375	3823682	3823375	3823503	3823587	3823682
142	"LOC114876588"	NA	chrOU015515.1	+	7112206	7112651	7112206	7112357	7112419	7112651
143	"LOC114880508"	NA	chrOU015509.1	-	8880506	8881216	8880506	8880678	8880751	8881216
144	"LOC114873471"	NA	chrOU015513.1	-	10428310	10431279	10428310	10429439	10429514	10431279
145	"LOC114874551"	NA	chrOU015509.1	-	4447446	4447712	4447446	4447504	4447586	4447712
146	"LOC114871984"	NA	chrOU015509.1	-	6835214	6835786	6835214	6835297	6835393	6835786
147	"LOC114874604"	NA	chrOU015509.1	+	3903011	3903977	3903011	3903234	3903329	3903977
148	"LOC114871586"	NA	chrOU015509.1	-	2622087	2622572	2622087	2622364	2622442	2622572
149	"LOC114871664"	NA	chrOU015509.1	-	2492096	2493674	2492096	2492797	2493436	2493674
150	"LOC114878337"	NA	chrOU015510.1	+	398220	399571	398220	398843	398906	399571
151	"LOC114882996"	NA	chrOU015505.1	-	8701489	8705033	8701489	8704460	8704530	8705033
152	"LOC114877354"	NA	chrOU015506.1	+	3228657	3229550	3228657	3228833	3229313	3229550
153	"LOC114877354"	NA	chrOU015506.1	+	3228657	3229550	3228657	3228843	3229313	3229550
154	"LOC114877359"	NA	chrOU015509.1	+	2197343	2197746	2197343	2197545	2197620	2197746
155	"LOC114877351"	NA	chrOU015509.1	-	1880707	1884410	1880707	1882736	1883606	1884410
156	"LOC114877351"	NA	chrOU015509.1	-	1880707	1884410	1880707	1883808	1883908	1884410
157	"LOC114877351"	NA	chrOU015509.1	-	1880707	1884410	1880707	1882736	1884247	1884410
158	"LOC114877351"	NA	chrOU015509.1	-	1880707	1884410	1880707	1883808	1884247	1884410
159	"LOC114877351"	NA	chrOU015509.1	-	1880707	1884410	1880707	1884161	1884247	1884410
160	"LOC114873499"	NA	chrOU015509.1	-	738339	741440	738339	740835	741146	741440
161	"LOC114873487"	NA	chrOU015509.1	-	686042	687736	686042	686126	686239	687736
162	"LOC114873487"	NA	chrOU015509.1	-	686042	687736	686042	686843	687627	687736
163	"LOC114873154"	NA	chrOU015509.1	-	312176	316858	312176	312419	312515	316858
164	"LOC114873154"	NA	chrOU015509.1	-	312176	316858	312176	312573	312669	316858
165	"LOC114878060"	NA	chrOU015508.1	-	8038757	8040531	8038757	8039052	8039174	8040531
166	"LOC114878060"	NA	chrOU015508.1	-	8038757	8040531	8038757	8039094	8039174	8040531
167	"LOC114878060"	NA	chrOU015508.1	-	8040642	8041418	8040642	8040792	8041084	8041418
168	"LOC114881735"	NA	chrOU015508.1	+	11490357	11490904	11490357	11490484	11490568	11490904
169	"LOC114881735"	NA	chrOU015508.1	+	11490357	11490904	11490357	11490678	11490745	11490904
170	"LOC114880823"	NA	chrOU015508.1	+	11404622	11405414	11404622	11404887	11405017	11405414
171	"LOC114880823"	NA	chrOU015508.1	+	11404622	11405173	11404622	11404887	11405101	11405173
172	"LOC114880823"	NA	chrOU015508.1	+	11404622	11405414	11404622	11405173	11405247	11405414
173	"LOC114880823"	NA	chrOU015508.1	+	11404622	11405414	11404622	11405173	11405254	11405414
174	"LOC114879235"	NA	chrOU015514.1	-	9899464	9899937	9899464	9899587	9899653	9899937
175	"LOC114879593"	NA	chrOU015506.1	-	735621	736304	735621	735841	736042	736304
176	"LOC114876959"	NA	chrOU015510.1	-	5238727	5239142	5238727	5238905	5238986	5239142
177	"LOC114880062"	NA	chrOU015519.1	-	8084835	8088747	8084835	8086313	8086385	8088747
178	"LOC114880062"	NA	chrOU015519.1	-	8092989	8094017	8092989	8093100	8093892	8094017
179	"LOC114880062"	NA	chrOU015519.1	-	8092989	8094017	8092989	8093617	8093892	8094017
180	"LOC114876123"	NA	chrOU015505.1	-	7836448	7838387	7836448	7837555	7837822	7838387
181	"LOC114876123"	NA	chrOU015505.1	-	7842090	7842967	7842090	7842196	7842847	7842967
182	"LOC114876123"	NA	chrOU015505.1	-	7842090	7842967	7842090	7842331	7842847	7842967
183	"LOC114876123"	NA	chrOU015505.1	-	7842090	7842967	7842090	7842572	7842847	7842967
184	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14337744	14338437	14338709
185	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14337916	14338437	14338709
186	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14338045	14338437	14338709
187	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14338344	14338437	14338709
188	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14337744	14338664	14338709
189	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14338045	14338664	14338709
190	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14338344	14338664	14338709
191	"LOC114875516"	NA	chrOU015505.1	+	3661403	3662566	3661403	3661520	3662127	3662566
192	"LOC114874999"	NA	chrOU015515.1	-	1013213	1013587	1013213	1013354	1013440	1013587
193	"LOC114872087"	NA	chrOU015512.1	+	3483428	3484057	3483428	3483523	3483839	3484057
194	"LOC114872087"	NA	chrOU015512.1	+	3483428	3484057	3483428	3483552	3483839	3484057
195	"LOC114874898"	NA	chrOU015509.1	-	8569669	8570422	8569669	8569711	8569797	8570422
196	"LOC114878158"	NA	chrOU015508.1	-	9437740	9438825	9437740	9438483	9438639	9438825
197	"LOC114880121"	NA	chrOU015508.1	-	7732559	7733459	7732559	7732764	7733334	7733459
198	"LOC114880121"	NA	chrOU015508.1	-	7732559	7733459	7732559	7732764	7733373	7733459
199	"LOC114874752"	NA	chrOU015508.1	+	7535200	7536148	7535200	7535589	7535707	7536148
200	"LOC114874990"	NA	chrOU015508.1	-	6949826	6954267	6949826	6950699	6953949	6954267
201	"LOC114877914"	NA	chrOU015508.1	-	5609936	5611131	5609936	5610137	5610257	5611131
202	"LOC114877914"	NA	chrOU015508.1	-	5609936	5611131	5609936	5610726	5610806	5611131
203	"LOC114877914"	NA	chrOU015508.1	-	5609936	5611131	5609936	5610747	5610806	5611131
204	"LOC114871505"	NA	chrOU015519.1	-	4870211	4874462	4870211	4873519	4873939	4874462
205	"LOC114873351"	NA	chrOU015514.1	+	7494479	7495079	7494479	7494669	7494744	7495079
206	"LOC114878903"	NA	chrOU015509.1	+	5496712	5497119	5496712	5496834	5497086	5497119
207	"LOC114878630"	NA	chrOU015508.1	+	11361753	11362250	11361753	11361964	11362042	11362250
208	"LOC114883153"	NA	chrOU015504.1	+	15031976	15032665	15031976	15032100	15032216	15032665
209	"LOC114881687"	NA	chrOU015507.1	+	2333641	2335035	2333641	2333747	2334663	2335035
210	"LOC114873488"	NA	chrOU015509.1	-	799728	800824	799728	800204	800456	800824
211	"LOC114873488"	NA	chrOU015509.1	-	799728	800824	799728	800204	800488	800824
212	"LOC114873488"	NA	chrOU015509.1	-	800982	805478	800982	801043	801145	805478
213	"LOC114871182"	NA	chrOU015508.1	+	2099473	2100065	2099473	2099563	2099840	2100065
214	"LOC114882238"	NA	chrCAJRAL010000102.1	+	168858	169053	168858	168966	169028	169053
215	"LOC114882238"	NA	chrCAJRAL010000102.1	+	169131	169436	169131	169266	169379	169436
216	"LOC114871004"	NA	chrOU015508.1	-	1779004	1781012	1779004	1779580	1779742	1781012
217	"LOC114878360"	NA	chrOU015510.1	-	267078	267815	267078	267273	267436	267815
218	"LOC114880810"	NA	chrOU015518.1	+	8727757	8730955	8727757	8730181	8730299	8730955
219	"LOC114871056"	NA	chrOU015508.1	-	1380802	1381157	1380802	1380833	1380928	1381157
220	"LOC114879251"	NA	chrOU015505.1	-	12378580	12380083	12378580	12378744	12378828	12380083
221	"LOC114880957"	NA	chrOU015508.1	-	9988484	9990508	9988484	9988566	9989104	9990508
222	"LOC114872747"	NA	chrOU015517.1	+	3914908	3915399	3914908	3915162	3915247	3915399
223	"LOC114882734"	NA	chrOU015508.1	-	1005074	1008333	1005074	1008171	1008239	1008333
224	"LOC114871080"	NA	chrOU015508.1	+	2004229	2005254	2004229	2004707	2005027	2005254
225	"LOC114871080"	NA	chrOU015508.1	+	2004229	2005254	2004229	2004954	2005027	2005254
226	"LOC114882629"	NA	chrOU015508.1	+	944922	945659	944922	945271	945385	945659
227	"LOC114882629"	NA	chrOU015508.1	+	946652	947504	946652	946735	946805	947504
228	"LOC114882794"	NA	chrOU015508.1	+	819827	821479	819827	819938	820010	821479
229	"LOC114882793"	NA	chrOU015508.1	+	809308	809818	809308	809475	809676	809818
230	"LOC114874945"	NA	chrOU015509.1	-	8143629	8144222	8143629	8143867	8143925	8144222
231	"LOC114881804"	NA	chrOU015508.1	+	10208291	10208734	10208291	10208428	10208519	10208734
232	"LOC114878392"	NA	chrOU015510.1	+	142508	144202	142508	143435	143520	144202
233	"LOC114882699"	NA	chrOU015508.1	-	219649	220096	219649	219891	219954	220096
234	"LOC114873068"	NA	chrOU015509.1	+	348914	349324	348914	349005	349144	349324
235	"LOC114877931"	NA	chrOU015508.1	-	5576803	5582483	5576803	5578046	5578112	5582483
236	"LOC114877931"	NA	chrOU015508.1	-	5576803	5582483	5576803	5579492	5579583	5582483
237	"LOC114877931"	NA	chrOU015508.1	-	5576803	5582483	5576803	5580319	5580388	5582483
238	"LOC114877931"	NA	chrOU015508.1	-	5576803	5582483	5576803	5580612	5580722	5582483
239	"LOC114877931"	NA	chrOU015508.1	-	5576803	5582483	5576803	5581963	5582027	5582483
240	"LOC114877931"	NA	chrOU015508.1	-	5576803	5582483	5576803	5581963	5582272	5582483
241	"LOC114877922"	NA	chrOU015508.1	+	5834641	5835157	5834641	5834902	5834989	5835157
242	"LOC114882743"	NA	chrOU015508.1	+	62975	65141	62975	63083	63160	65141
243	"LOC114882768"	NA	chrOU015507.1	+	12500455	12501066	12500455	12500560	12500659	12501066
244	"LOC114882593"	NA	chrOU015508.1	-	918074	921614	918074	920069	920147	921614
245	"LOC114882593"	NA	chrOU015508.1	-	918074	921614	918074	920069	920150	921614
246	"LOC114882802"	NA	chrOU015507.1	+	12095490	12095879	12095490	12095605	12095690	12095879
247	"LOC114882802"	NA	chrOU015507.1	+	12095490	12095879	12095490	12095605	12095736	12095879
248	"LOC114876893"	NA	chrOU015508.1	+	2792704	2797132	2792704	2795429	2795511	2797132
249	"LOC114871735"	NA	chrOU015515.1	+	6068688	6069181	6068688	6068937	6069017	6069181
250	"LOC114871735"	NA	chrOU015515.1	+	6070186	6070528	6070186	6070326	6070389	6070528
251	"LOC114879561"	NA	chrOU015507.1	-	11939636	11939938	11939636	11939765	11939843	11939938
252	"LOC114879570"	NA	chrOU015507.1	-	11862442	11862769	11862442	11862580	11862664	11862769
253	"LOC114878654"	NA	chrOU015508.1	-	11385037	11385433	11385037	11385259	11385358	11385433
254	"LOC114874574"	NA	chrOU015509.1	+	3780437	3780736	3780437	3780586	3780665	3780736
255	"LOC114878454"	NA	chrOU015507.1	+	11706008	11706639	11706008	11706482	11706554	11706639
256	"LOC114875035"	NA	chrOU015508.1	-	7565971	7567219	7565971	7566560	7566654	7567219
257	"LOC114875035"	NA	chrOU015508.1	-	7565971	7567219	7565971	7566560	7566984	7567219
258	"LOC114871283"	NA	chrOU015513.1	+	6622553	6623211	6622553	6622590	6622664	6623211
259	"LOC114883158"	NA	chrOU015504.1	+	15016535	15018610	15016535	15016829	15016917	15018610
260	"LOC114883158"	NA	chrOU015504.1	+	15016535	15018610	15016535	15018195	15018281	15018610
261	"LOC114874850"	NA	chrOU015507.1	-	11412105	11412998	11412105	11412502	11412658	11412998
262	"LOC114870879"	NA	chrOU015504.1	-	13837653	13838161	13837653	13837989	13838076	13838161
263	"LOC114875870"	NA	chrOU015507.1	+	10960093	10963100	10960093	10961854	10961923	10963100
264	"LOC114875870"	NA	chrOU015507.1	+	10960093	10963100	10960093	10962089	10962320	10963100
265	"LOC114875063"	NA	chrOU015508.1	-	7541173	7541568	7541173	7541323	7541465	7541568
266	"LOC114873250"	NA	chrOU015515.1	-	2572082	2574237	2572082	2572606	2573979	2574237
267	"LOC114879884"	NA	chrOU015509.1	-	3014907	3015754	3014907	3015039	3015126	3015754
268	"LOC114879884"	NA	chrOU015509.1	-	3014907	3015754	3014907	3015042	3015126	3015754
269	"LOC114879884"	NA	chrOU015509.1	-	3014907	3015754	3014907	3015070	3015126	3015754
270	"LOC114876846"	NA	chrOU015507.1	-	10492973	10493419	10492973	10493173	10493263	10493419
271	"LOC114873584"	NA	chrOU015516.1	-	9096495	9097168	9096495	9096701	9096944	9097168
272	"LOC114876833"	NA	chrOU015507.1	+	10480698	10481149	10480698	10480927	10481045	10481149
273	"LOC114871363"	NA	chrOU015515.1	-	3388245	3388895	3388245	3388342	3388401	3388895
274	"LOC114881375"	NA	chrOU015508.1	+	10411402	10411822	10411402	10411591	10411657	10411822
275	"LOC114880515"	NA	chrOU015509.1	-	8879387	8879704	8879387	8879558	8879628	8879704
276	"LOC114880515"	NA	chrOU015509.1	-	8879628	8880167	8879628	8879704	8879842	8880167
277	"LOC114877923"	NA	chrOU015506.1	+	3292405	3292873	3292405	3292691	3292820	3292873
278	"LOC114881297"	NA	chrOU015509.1	-	11139745	11141902	11139745	11140526	11140850	11141902
279	"LOC114880827"	NA	chrOU015508.1	-	11445770	11448693	11445770	11448460	11448537	11448693
280	"LOC114880827"	NA	chrOU015508.1	-	11452977	11453770	11452977	11453245	11453317	11453770
281	"LOC114878895"	NA	chrOU015509.1	+	5612040	5612589	5612040	5612338	5612401	5612589
282	"LOC114881767"	NA	chrOU015504.1	+	6631869	6639876	6631869	6633185	6634733	6639876
283	"LOC114873284"	NA	chrOU015507.1	-	9082112	9082699	9082112	9082191	9082267	9082699
284	"LOC114878382"	NA	chrOU015510.1	+	218521	219031	218521	218652	218733	219031
285	"LOC114878382"	NA	chrOU015510.1	+	218521	219031	218521	218859	218931	219031
286	"LOC114878720"	NA	chrOU015518.1	+	1825020	1826837	1825020	1825593	1825680	1826837
