Orthogroup	Dufourea_novaeangliae	Aedes_aegypti
OG0000035	XP_015436992.1	XP_001659549.2, XP_001653600.1, XP_021695840.1, XP_011493156.1, XP_001653602.1, XP_021702436.1, XP_001660379.1, XP_021702428.1, XP_021696237.1, XP_021696236.1, XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2, XP_021699048.1, XP_021699049.1, XP_001654514.2, XP_021699050.1
OG0000036	XP_015434749.1	XP_001655517.2, XP_021697914.1, XP_001655495.1, XP_021711882.1
OG0000036	XP_015434703.1	XP_021695536.1
OG0000038	XP_015436794.1, XP_015438692.1	XP_001652144.1, XP_001663407.1
OG0000040	XP_015434420.1, XP_015432771.1	XP_001659969.2, XP_001659962.1
OG0000040	XP_015428989.1, XP_015429021.1, XP_015439748.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	XP_015433852.1	XP_001655176.1, XP_001655175.1
OG0000041	XP_015438128.1, XP_015434651.1, XP_015434661.1	XP_001659963.1
OG0000042	XP_015431768.1	XP_021693433.1
OG0000043	XP_015429520.1	XP_001660749.1
OG0000043	XP_015440179.1	XP_001660756.1
OG0000043	XP_015440180.1	XP_001660753.1
OG0000044	XP_015435691.1	XP_021712943.1
OG0000045	XP_015432638.1, XP_015429239.1, XP_015432639.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_015433680.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_015435615.1, XP_015435626.1	XP_021707697.1
OG0000046	XP_015437775.1	XP_021698547.1, XP_021698548.1
OG0000048	XP_015436085.1, XP_015436086.1	XP_001663296.2
OG0000050	XP_015435553.1, XP_015434531.1, XP_015434396.1	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000052	XP_015437305.1	XP_021711564.1
OG0000054	XP_015438771.1, XP_015438765.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_015437264.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_015436857.1	XP_001654841.2
OG0000056	XP_015437145.1, XP_015440426.1	XP_021702305.1
OG0000056	XP_015428673.1	XP_021704129.1
OG0000056	XP_015437708.1	XP_021704390.1
OG0000057	XP_015430802.1	XP_001656025.1
OG0000057	XP_015434046.1	XP_021701591.1
OG0000057	XP_015430702.1, XP_015430703.1	XP_001656026.2
OG0000057	XP_015430706.1, XP_015430705.1	XP_001650054.1
OG0000060	XP_015438716.1	XP_001663993.2
OG0000060	XP_015432264.1, XP_015432266.1, XP_015432267.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_015432844.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_015431091.1, XP_015435594.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000062	XP_015432477.1	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000065	XP_015431269.1	XP_011493201.1
OG0000065	XP_015431271.1, XP_015431347.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000067	XP_015429287.1	XP_001653435.1
OG0000067	XP_015435565.1	XP_001654897.1
OG0000067	XP_015435216.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_015439239.1	XP_001661370.1, XP_021698916.1
OG0000074	XP_015438453.1	XP_021707386.1
OG0000077	XP_015436389.1	XP_001658180.2
OG0000077	XP_015435143.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000079	XP_015431764.1, XP_015431760.1	XP_001662329.1
OG0000080	XP_015432762.1	XP_021693685.1
OG0000082	XP_015434043.1, XP_015434042.1, XP_015434075.1, XP_015434041.1	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_015439820.1, XP_015433752.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_015439351.1	XP_021701219.1
OG0000086	XP_015439307.1	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_015433138.1, XP_015433161.1	XP_001648461.1, XP_001648458.1
OG0000087	XP_015433219.1, XP_015433217.1, XP_015433218.1, XP_015433159.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_015430594.1	XP_021702205.1
OG0000089	XP_015429642.1, XP_015429641.1, XP_015429643.1, XP_015429644.1	XP_001654187.2
OG0000091	XP_015428722.1, XP_015428720.1, XP_015428718.1	XP_021699738.1
OG0000092	XP_015433035.1	XP_021707375.1
OG0000092	XP_015432408.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_015432992.1	XP_021702456.1, XP_001660396.2
OG0000094	XP_015432272.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000094	XP_015430372.1	XP_021704594.1
OG0000095	XP_015436624.1, XP_015436625.1	XP_001649682.2
OG0000096	XP_015438977.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_015439740.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_015428851.1, XP_015428850.1, XP_015428848.1, XP_015439293.1, XP_015439294.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1	XP_001660410.1
OG0000099	XP_015434840.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_015437951.1	XP_001650952.2
OG0000099	XP_015439443.1	XP_021710287.1
OG0000100	XP_015432704.1, XP_015432705.1	XP_001662579.2
OG0000101	XP_015429187.1	XP_001652481.1
OG0000101	XP_015437434.1, XP_015434419.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1
OG0000102	XP_015437466.1, XP_015437463.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_015431403.1	XP_001661506.1
OG0000108	XP_015431062.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_015429717.1	XP_021709303.1
OG0000110	XP_015438727.1, XP_015438930.1	XP_021711612.1, XP_021711613.1
OG0000111	XP_015430891.1	XP_021704753.1
OG0000112	XP_015437727.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_015439824.1	XP_021703753.1
OG0000113	XP_015431174.1, XP_015436887.1, XP_015436888.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_015439692.1, XP_015439905.1	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1
OG0000114	XP_015439901.1	XP_001656658.2
OG0000115	XP_015431679.1, XP_015431680.1, XP_015439194.1, XP_015431789.1, XP_015431678.1	XP_021711348.1
OG0000116	XP_015436046.1, XP_015436326.1	XP_021695569.1
OG0000117	XP_015435315.1	XP_001658273.1
OG0000117	XP_015436200.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000119	XP_015436224.1, XP_015436228.1, XP_015436225.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_015437451.1, XP_015437450.1, XP_015437448.1	XP_021702687.1
OG0000122	XP_015433447.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_015431888.1	XP_021707885.1
OG0000123	XP_015435654.1, XP_015435655.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_015437181.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_015440379.1, XP_015440359.1, XP_015440376.1, XP_015440360.1	XP_001657204.2
OG0000126	XP_015428496.1	XP_021694197.1
OG0000127	XP_015432901.1, XP_015432902.1, XP_015432903.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000129	XP_015436027.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_015429425.1, XP_015429434.1	XP_021695251.1
OG0000130	XP_015429842.1	XP_021700367.1
OG0000131	XP_015436559.1	XP_021705306.1
OG0000131	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_015437606.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_015431599.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_015434318.1	XP_021702724.1, XP_021702723.1
OG0000134	XP_015433726.1	XP_001652277.1
OG0000135	XP_015435320.1, XP_015435321.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	XP_015431583.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	XP_015437319.1, XP_015436484.1, XP_015438169.1	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_015432001.1, XP_015433288.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_015429248.1, XP_015429192.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_015435212.1	XP_001663072.2
OG0000140	XP_015439249.1	XP_021702905.1
OG0000141	XP_015431506.1	XP_021706046.1
OG0000141	XP_015435164.1, XP_015435072.1	XP_001663030.2
OG0000143	XP_015429124.1, XP_015429114.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	XP_015428670.1, XP_015428727.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_015436844.1, XP_015431112.1	XP_001661017.2
OG0000146	XP_015432760.1	XP_001662762.1
OG0000146	XP_015435877.1	XP_001660580.2
OG0000147	XP_015435294.1, XP_015435295.1, XP_015439801.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_015435823.1	XP_021701465.1
OG0000149	XP_015435834.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_015432205.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_015429673.1, XP_015429674.1, XP_015429675.1	XP_021697798.1
OG0000152	XP_015433494.1	XP_001653160.1
OG0000153	XP_015439140.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_015436141.1	XP_001662815.2
OG0000156	XP_015429868.1	XP_021696919.1, XP_021712121.1
OG0000157	XP_015433606.1, XP_015433605.1	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_015439684.1, XP_015440019.1, XP_015440020.1, XP_015439979.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_015437280.1	XP_021709766.1
OG0000160	XP_015436859.1, XP_015436868.1	XP_021707900.1, XP_021710525.1, XP_001662274.1
OG0000161	XP_015432556.1	XP_001656119.2
OG0000162	XP_015435684.1	XP_021694432.1
OG0000162	XP_015439554.1	XP_021706951.1
OG0000164	XP_015437865.1, XP_015437659.1, XP_015437774.1	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1
OG0000165	XP_015429586.1	XP_021697212.1
OG0000165	XP_015435493.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	XP_015435053.1	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000168	XP_015435199.1	XP_021712003.1, XP_021699894.1
OG0000168	XP_015436891.1	XP_021705545.1
OG0000169	XP_015437575.1	XP_021702706.1
OG0000170	XP_015439592.1	XP_001654345.1
OG0000170	XP_015439591.1, XP_015439594.1	XP_021699236.1
OG0000171	XP_015434404.1, XP_015434466.1	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000173	XP_015434867.1, XP_015434866.1, XP_015434871.1, XP_015434870.1, XP_015434869.1, XP_015434868.1	XP_021694163.1, XP_001649426.1
OG0000174	XP_015438965.1	XP_021704325.1, XP_021704326.1
OG0000175	XP_015437422.1, XP_015437423.1	XP_001654240.1
OG0000177	XP_015435549.1	XP_001651644.2
OG0000177	XP_015435485.1	XP_021707471.1, XP_021707472.1
OG0000177	XP_015435546.1	XP_001651645.1
OG0000178	XP_015438494.1	XP_021707000.1, XP_021706999.1
OG0000179	XP_015434426.1	XP_001655662.1, XP_021712235.1
OG0000180	XP_015430454.1, XP_015430456.1, XP_015430455.1, XP_015430457.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000181	XP_015440531.1	XP_001656977.3
OG0000183	XP_015431052.1	XP_001655456.2
OG0000183	XP_015435715.1	XP_021704629.1, XP_021704627.1
OG0000184	XP_015432847.1	XP_011493295.2, XP_021702574.1, XP_001655087.1, XP_011493580.2
OG0000185	XP_015434150.1, XP_015434133.1	XP_001651366.1
OG0000186	XP_015434985.1, XP_015434960.1, XP_015434988.1, XP_015434990.1	XP_001658387.1, XP_021710177.1, XP_001652490.2
OG0000187	XP_015436316.1	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1
OG0000188	XP_015428433.1	XP_021694895.1
OG0000188	XP_015431252.1	XP_001656810.1, XP_001656809.1
OG0000188	XP_015431689.1	XP_021704883.1
OG0000189	XP_015429531.1	XP_001655460.2
OG0000189	XP_015429076.1	XP_001655465.2, XP_001655464.2
OG0000190	XP_015440287.1, XP_015440288.1, XP_015440289.1	XP_001660557.1
OG0000191	XP_015434794.1	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1
OG0000192	XP_015433091.1	XP_001664087.2
OG0000194	XP_015439485.1	XP_001658607.2
OG0000196	XP_015432167.1	XP_021709422.1, XP_021709426.1
OG0000197	XP_015439072.1, XP_015439073.1, XP_015439149.1	XP_021697283.1, XP_021697282.1, XP_021697285.1, XP_021697284.1, XP_001661709.1, XP_021697516.1, XP_021697517.1, XP_021697518.1, XP_021697519.1
OG0000200	XP_015435653.1	XP_001655242.1
OG0000201	XP_015438380.1	XP_001663057.1
OG0000201	XP_015438436.1	XP_011493157.1, XP_001652982.2, XP_021711304.1, XP_001659011.2, XP_001659009.1, XP_021712798.1, XP_001654269.2
OG0000202	XP_015433874.1	XP_021695300.1
OG0000203	XP_015429928.1	XP_001662504.2
OG0000204	XP_015428607.1	XP_021704598.1, XP_021704597.1, XP_001656463.1
OG0000205	XP_015435790.1	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1
OG0000206	XP_015432679.1	XP_001651825.1, XP_021704991.1
OG0000206	XP_015432778.1, XP_015432779.1	XP_001648552.1
OG0000207	XP_015437049.1	XP_001650660.1
OG0000207	XP_015434683.1, XP_015434682.1	XP_021698130.1
OG0000208	XP_015434613.1	XP_021698134.1, XP_021698133.1
OG0000208	XP_015428530.1, XP_015428529.1	XP_001653727.1
OG0000209	XP_015436163.1	XP_021711015.1, XP_021711016.1
OG0000210	XP_015440351.1, XP_015428957.1	XP_021702938.1
OG0000210	XP_015439732.1	XP_001655152.2
OG0000212	XP_015431045.1, XP_015430967.1, XP_015430965.1, XP_015430966.1	XP_001650168.2, XP_001650170.2, XP_001650169.2, XP_021705033.1
OG0000213	XP_015428729.1	XP_001660162.2
OG0000214	XP_015435958.1	XP_001653648.2
OG0000214	XP_015428442.1	XP_001660495.2, XP_001648014.1
OG0000215	XP_015432430.1, XP_015432437.1	XP_001650687.1
OG0000216	XP_015431904.1	XP_021695787.1, XP_021695812.1, XP_001658816.2, XP_001660657.2, XP_001652926.3, XP_021705200.1, XP_001652928.1, XP_001652922.1, XP_021704573.1, XP_001656766.3, XP_001663987.1, XP_001652925.2
OG0000217	XP_015437152.1	XP_021712681.1, XP_001656258.2, XP_021707319.1, XP_021696760.1, XP_021696771.1, XP_021694727.1
OG0000218	XP_015434934.1, XP_015434933.1	XP_021706089.1, XP_001660419.1
OG0000219	XP_015434863.1, XP_015434855.1	XP_001650937.1, XP_021711710.1
OG0000220	XP_015435676.1, XP_015435677.1	XP_021710699.1, XP_001651636.1
OG0000223	XP_015433759.1	XP_021710530.1
OG0000223	XP_015437890.1	XP_001658512.3
OG0000224	XP_015431603.1, XP_015431605.1	XP_001654732.1, XP_001654733.2
OG0000225	XP_015430669.1, XP_015430668.1, XP_015430670.1, XP_015430654.1	XP_001647679.1
OG0000226	XP_015432296.1, XP_015432295.1	XP_021708650.1
