Orthogroup	Dufourea_novaeangliae	Solenopsis_invicta
OG0000009	XP_015438918.1	XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000010	XP_015440399.1	XP_039313808.1, XP_039309913.1, XP_039312408.1
OG0000012	XP_015429534.1	XP_011157834.1
OG0000012	XP_015431215.1	XP_011167036.2
OG0000012	XP_015431006.1	XP_011166798.2, XP_039314082.1
OG0000012	XP_015432475.1	XP_025991007.1
OG0000013	XP_015435345.1	XP_011165753.2
OG0000013	XP_015438102.1, XP_015435409.1, XP_015440404.1	XP_011166327.1
OG0000013	XP_015434156.1	XP_011158467.1, XP_011158466.1, XP_039315701.1
OG0000014	XP_015435357.1	XP_011156264.2
OG0000014	XP_015435350.1	XP_011163196.1
OG0000016	XP_015438891.1, XP_015437428.1, XP_015438096.1	XP_039309201.1, XP_039311133.1, XP_011174804.3, XP_011171157.1
OG0000016	XP_015440395.1	XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1
OG0000018	XP_015440533.1, XP_015440532.1	XP_025993846.1, XP_039312756.1
OG0000018	XP_015431114.1	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1
OG0000018	XP_015437296.1	XP_011168181.2, XP_011168177.2
OG0000018	XP_015437285.1, XP_015437283.1	XP_039312480.1, XP_039312479.1
OG0000019	XP_015436531.1	XP_025990211.2
OG0000019	XP_015430887.1	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1
OG0000019	XP_015431150.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_015431107.1	XP_025986429.1
OG0000020	XP_015439463.1	XP_025986409.1
OG0000020	XP_015431804.1	XP_025987337.1
OG0000020	XP_015433955.1	XP_025991589.1
OG0000020	XP_015437420.1	XP_011157847.1
OG0000021	XP_015436481.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_015436556.1	XP_011159438.1
OG0000021	XP_015436479.1	XP_025991392.1
OG0000022	XP_015436673.1	XP_011165726.1
OG0000022	XP_015430686.1	XP_011163652.1
OG0000022	XP_015435342.1, XP_015438104.1, XP_015435346.1	XP_011166335.1
OG0000023	XP_015435373.1, XP_015435410.1	XP_011163199.1, XP_011166349.1, XP_011156269.1
OG0000024	XP_015433449.1, XP_015433466.1, XP_015433467.1, XP_015433468.1, XP_015432613.1	XP_025992331.1
OG0000024	XP_015436496.1	XP_011168449.1, XP_011168448.1
OG0000024	XP_015435623.1	XP_025991932.1
OG0000024	XP_015435622.1	XP_025991934.1
OG0000025	XP_015437574.1	XP_039309205.1
OG0000026	XP_015439534.1	XP_039304799.1
OG0000026	XP_015434403.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	XP_015435411.1	XP_011156268.1, XP_039307731.1
OG0000028	XP_015437076.1	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1
OG0000028	XP_015437070.1, XP_015437828.1	XP_011170007.1, XP_011176359.1, XP_039302918.1, XP_039303908.1, XP_011171790.2, XP_011166516.2, XP_025992254.2, XP_025990428.2, XP_039303527.1, XP_039309129.1
OG0000029	XP_015428687.1	XP_011175216.3
OG0000029	XP_015428726.1	XP_011175277.3
OG0000029	XP_015430246.1	XP_025987625.1
OG0000029	XP_015428686.1	XP_025994361.1
OG0000030	XP_015435285.1, XP_015435289.1, XP_015435290.1, XP_015435288.1, XP_015435286.1	XP_025986100.1
OG0000030	XP_015434622.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000032	XP_015439764.1, XP_015439837.1, XP_015439765.1, XP_015439830.1	XP_011159466.2
OG0000032	XP_015438580.1	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000033	XP_015429327.1	XP_025996388.2
OG0000033	XP_015437849.1, XP_015434582.1, XP_015434937.1	XP_039311284.1, XP_039302324.1, XP_039305808.1, XP_039315262.1
OG0000033	XP_015430869.1	XP_039315453.1
OG0000035	XP_015436890.1, XP_015436892.1	XP_039312187.1
OG0000035	XP_015436992.1	XP_025987669.2
OG0000036	XP_015434703.1	XP_011166049.1
OG0000038	XP_015436794.1, XP_015438692.1	XP_011172049.1
OG0000038	XP_015430801.1	XP_011173370.1
OG0000038	XP_015433215.1	XP_011174246.2
OG0000038	XP_015437923.1	XP_025991821.1
OG0000039	XP_015430124.1	XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1
OG0000040	XP_015434420.1, XP_015432771.1	XP_011157958.2, XP_011160398.1
OG0000040	XP_015429021.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1
OG0000040	XP_015439748.1	XP_011170816.1
OG0000041	XP_015433852.1	XP_011173741.1
OG0000041	XP_015434640.1	XP_039304942.1, XP_011173639.1
OG0000041	XP_015438128.1, XP_015434651.1, XP_015434661.1	XP_011173634.1, XP_011173641.1
OG0000042	XP_015431768.1	XP_025988401.1, XP_025988400.1
OG0000042	XP_015431650.1, XP_015431773.1, XP_015431779.1, XP_015431770.1	XP_025993549.1, XP_011172554.1
OG0000043	XP_015429520.1	XP_011166108.1
OG0000043	XP_015438227.1	XP_011172450.1
OG0000044	XP_015435691.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_015432638.1	XP_011157503.2
OG0000045	XP_015429239.1	XP_011156768.2
OG0000045	XP_015432639.1	XP_025992324.2
OG0000045	XP_015439683.1	XP_039312826.1
OG0000046	XP_015433680.1	XP_011168512.1
OG0000046	XP_015435615.1	XP_011168531.1
OG0000046	XP_015435626.1	XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000049	XP_015434938.1	XP_011166542.2, XP_039303155.1, XP_039302674.1, XP_039303372.1, XP_039304370.1, XP_025997858.2, XP_039315445.1, XP_025997875.2, XP_039315238.1, XP_025992395.2, XP_039310999.1, XP_039308535.1, XP_039308574.1, XP_039312526.1, XP_039312758.1, XP_039307673.1, XP_039302736.1, XP_039302387.1, XP_039307694.1, XP_039306461.1, XP_039301800.1, XP_025992494.2
OG0000050	XP_015435553.1	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000051	XP_015431640.1, XP_015430244.1, XP_015435721.1, XP_015437619.1, XP_015437082.1, XP_015431669.1, XP_015433563.1, XP_015436701.1, XP_015437898.1, XP_015440415.1, XP_015436740.1	XP_011172686.3
OG0000051	XP_015435191.1, XP_015440313.1	XP_039312743.1, XP_011170442.1
OG0000052	XP_015430581.1	XP_039313337.1
OG0000052	XP_015437305.1	XP_025995966.1
OG0000053	XP_015437620.1, XP_015429491.1, XP_015429307.1	XP_025991729.2, XP_039314261.1
OG0000053	XP_015429448.1	XP_039315547.1
OG0000053	XP_015429676.1, XP_015435718.1	XP_011162891.2
OG0000054	XP_015438760.1	XP_011164393.2
OG0000054	XP_015438771.1, XP_015438765.1	XP_011164215.1, XP_011164214.2
OG0000055	XP_015437264.1	XP_039311167.1
OG0000055	XP_015436857.1	XP_039311121.1
OG0000055	XP_015431672.1	XP_011169776.2
OG0000055	XP_015428835.1	XP_011162045.1
OG0000056	XP_015437145.1	XP_039301684.1
OG0000056	XP_015440426.1	XP_025992809.2
OG0000056	XP_015428673.1	XP_011167471.3
OG0000056	XP_015437336.1	XP_039313454.1
OG0000056	XP_015433237.1, XP_015433238.1	XP_039306715.1
OG0000057	XP_015430802.1	XP_011165693.1
OG0000057	XP_015434046.1	XP_011161996.1
OG0000057	XP_015430702.1, XP_015430703.1	XP_011165692.1
OG0000058	XP_015439489.1	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1
OG0000060	XP_015438716.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_015432264.1, XP_015432266.1, XP_015432267.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_015432844.1	XP_039310102.1
OG0000061	XP_015435594.1	XP_039311104.1
OG0000062	XP_015432477.1	XP_025989351.2
OG0000065	XP_015431269.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000065	XP_015431271.1	XP_039308740.1, XP_011176028.1, XP_011176027.2
OG0000065	XP_015431347.1	XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1
OG0000066	XP_015434666.1	XP_039306035.1, XP_039312738.1, XP_039302943.1, XP_011173934.3, XP_025996408.2, XP_039303305.1, XP_039313707.1, XP_039303413.1, XP_025996127.1, XP_011159374.1
OG0000067	XP_015429287.1	XP_011168949.1
OG0000067	XP_015435217.1	XP_039302008.1, XP_011157859.1
OG0000067	XP_015435216.1	XP_011157858.1, XP_025991420.1
OG0000067	XP_015439239.1	XP_025989655.1
OG0000069	XP_015435554.1	XP_025987486.1
OG0000069	XP_015435557.1	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3
OG0000070	XP_015436275.1	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1
OG0000071	XP_015438117.1, XP_015437901.1, XP_015434022.1, XP_015435159.1	XP_025993345.1
OG0000072	XP_015437903.1	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1
OG0000073	XP_015435659.1	XP_011157914.1
OG0000074	XP_015432069.1	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000074	XP_015438453.1	XP_025985929.1
OG0000075	XP_015432649.1	XP_039303461.1, XP_011165249.1
OG0000075	XP_015438036.1	XP_011170280.1, XP_039306753.1, XP_039315376.1, XP_039304403.1, XP_039301980.1, XP_039309941.1
OG0000077	XP_015436389.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_015435143.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_015440204.1	XP_011156318.2, XP_039310413.1, XP_039310414.1, XP_039310426.1, XP_011155581.2, XP_011155595.2, XP_011155606.1
OG0000079	XP_015431676.1	XP_039303157.1, XP_011155938.1
OG0000079	XP_015431758.1	XP_025987034.1
OG0000079	XP_015431759.1	XP_025987035.1
OG0000079	XP_015431760.1	XP_025987036.2
OG0000080	XP_015432762.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_015430277.1	XP_025995013.1
OG0000080	XP_015432781.1	XP_011173727.1
OG0000081	XP_015437926.1	XP_011174507.3, XP_025987271.2, XP_011174500.3
OG0000081	XP_015437927.1	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2
OG0000082	XP_015434042.1	XP_011158501.1
OG0000082	XP_015434075.1	XP_011158493.1
OG0000082	XP_015434041.1	XP_011158531.2
OG0000083	XP_015434759.1, XP_015437063.1, XP_015437856.1, XP_015438077.1, XP_015437811.1, XP_015430607.1	XP_039309918.1, XP_039303503.1, XP_039311967.1, XP_011169881.1, XP_025994761.2, XP_025997387.2, XP_039303927.1, XP_039312445.1, XP_039314871.1, XP_011167206.1, XP_011174675.3, XP_025994696.2, XP_039315406.1, XP_011168851.2, XP_025996074.1, XP_039303955.1
OG0000084	XP_015429440.1	XP_011155841.2
OG0000084	XP_015429441.1	XP_011155844.1
OG0000084	XP_015429460.1	XP_039310256.1, XP_011155840.3
OG0000085	XP_015433752.1	XP_025987478.1, XP_025987477.1
OG0000086	XP_015439351.1	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	XP_015439307.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_015433138.1, XP_015433161.1	XP_025989498.1, XP_011170042.2
OG0000088	XP_015430594.1	XP_025996218.1, XP_039311698.1
OG0000089	XP_015429642.1, XP_015429641.1, XP_015429643.1, XP_015429644.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_015438011.1	XP_011171848.1
OG0000090	XP_015437127.1	XP_039303165.1, XP_039314249.1, XP_039304817.1
OG0000090	XP_015433177.1, XP_015429494.1, XP_015437628.1, XP_015436676.1, XP_015435244.1, XP_015434570.1, XP_015437853.1, XP_015435652.1, XP_015440349.1	XP_025997709.2, XP_039305766.1, XP_039303294.1, XP_039310030.1, XP_039310471.1, XP_039305112.1
OG0000091	XP_015428722.1, XP_015428720.1, XP_015428718.1	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_015433035.1	XP_011165503.1
OG0000092	XP_015431194.1	XP_011175720.1, XP_011175721.1
OG0000092	XP_015431125.1	XP_011175719.1
OG0000092	XP_015432408.1	XP_011162964.1
OG0000093	XP_015434213.1	XP_011169943.1
OG0000093	XP_015436654.1	XP_011174429.2
OG0000093	XP_015434215.1, XP_015429653.1	XP_025997554.2
OG0000093	XP_015431878.1	XP_011162834.1, XP_011157346.1, XP_039302213.1
OG0000094	XP_015432992.1	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000094	XP_015432272.1	XP_039303166.1
OG0000095	XP_015436624.1, XP_015436625.1	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1
OG0000096	XP_015438977.1	XP_011156409.1, XP_039313932.1
OG0000096	XP_015439740.1	XP_039306601.1
OG0000097	XP_015428851.1, XP_015428850.1, XP_015428848.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1
OG0000097	XP_015439293.1, XP_015439294.1	XP_025992182.1, XP_011159441.1
OG0000098	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1	XP_025996352.1
OG0000099	XP_015434840.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_015437951.1	XP_039314426.1
OG0000099	XP_015439443.1	XP_011164670.2
OG0000101	XP_015429187.1	XP_011159599.3
OG0000101	XP_015437434.1, XP_015434419.1	XP_025989569.1
OG0000102	XP_015437466.1	XP_025989688.2, XP_025989699.1
OG0000102	XP_015437463.1	XP_011164886.1, XP_011164887.1, XP_039303339.1, XP_039303337.1, XP_025989702.1, XP_025989701.1, XP_025989700.1, XP_011164888.1, XP_025989703.1
OG0000103	XP_015431403.1	XP_011161395.1
OG0000103	XP_015431354.1	XP_011161367.1
OG0000103	XP_015431408.1	XP_011161334.1
OG0000107	XP_015440456.1	XP_011159805.1
OG0000108	XP_015431062.1	XP_025985914.1
OG0000109	XP_015429717.1	XP_011157413.1, XP_011157412.1
OG0000110	XP_015438727.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	XP_015434178.1	XP_039301713.1
OG0000111	XP_015430891.1	XP_039308795.1
OG0000112	XP_015437727.1	XP_025989590.2
OG0000113	XP_015431174.1	XP_011169897.1
OG0000113	XP_015436887.1, XP_015436888.1	XP_011176341.1, XP_011176387.1
OG0000114	XP_015439692.1, XP_015439905.1	XP_011161124.1
OG0000114	XP_015439901.1	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	XP_015431679.1, XP_015431680.1	NP_001291541.1
OG0000115	XP_015431789.1, XP_015431678.1	XP_011165643.1, XP_011165649.2, XP_011165650.1
OG0000116	XP_015436046.1	XP_011158331.1, XP_039303768.1
OG0000116	XP_015436326.1	XP_039303766.1
OG0000117	XP_015435315.1	XP_011157894.1
OG0000117	XP_015436200.1	XP_011170972.1, XP_011170971.1
OG0000119	XP_015436224.1, XP_015436228.1, XP_015436225.1	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1
OG0000120	XP_015437451.1, XP_015437450.1, XP_015437448.1	XP_011175144.2
OG0000122	XP_015433447.1	XP_039310041.1
OG0000122	XP_015431888.1	XP_039305859.1
OG0000122	XP_015431901.1	XP_025995487.2
OG0000122	XP_015431893.1	XP_011173307.2
OG0000123	XP_015435654.1, XP_015435655.1	XP_011169664.1
OG0000124	XP_015437181.1	XP_039302015.1
OG0000125	XP_015440379.1, XP_015440359.1, XP_015440376.1, XP_015440360.1	XP_011166830.1, XP_011166831.1
OG0000126	XP_015428496.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_015432901.1, XP_015432902.1, XP_015432903.1	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000128	XP_015433463.1	XP_039306786.1, XP_039312393.1, XP_039309505.1, XP_039313498.1, XP_039306739.1, XP_025988163.2, XP_039303559.1, XP_039306752.1, XP_039303482.1, XP_011174706.1, XP_039315251.1, XP_039310402.1, XP_039311972.1, XP_039313520.1, XP_039303522.1, XP_039314690.1, XP_039311326.1, XP_025997681.2, XP_039308691.1, XP_039308809.1
OG0000129	XP_015436027.1	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_015429425.1	XP_039309465.1
OG0000130	XP_015429842.1	XP_025991693.1, XP_025991692.1
OG0000131	XP_015436559.1	XP_011159624.1
OG0000131	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1	XP_011168548.1, XP_011168539.1
OG0000132	XP_015437606.1	XP_039305040.1, XP_011175354.1
OG0000132	XP_015431599.1	XP_011162113.1
OG0000133	XP_015434318.1	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000133	XP_015429111.1	XP_039303648.1
OG0000134	XP_015433726.1	XP_011160707.1
OG0000135	XP_015439063.1	XP_025991427.1
OG0000135	XP_015435320.1, XP_015435321.1	XP_011168086.1
OG0000135	XP_015431583.1	XP_025992521.1
OG0000136	XP_015437319.1, XP_015436484.1, XP_015438169.1	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1
OG0000137	XP_015432001.1	XP_039302269.1, XP_011164282.1
OG0000137	XP_015433288.1	XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2
OG0000138	XP_015429248.1	XP_011156769.2
OG0000139	XP_015435212.1	XP_011163312.2, XP_025992297.2
OG0000140	XP_015431670.1	XP_039311174.1
OG0000141	XP_015435225.1	XP_011172931.2
OG0000141	XP_015435164.1, XP_015435072.1	XP_011173169.1
OG0000142	XP_015433594.1, XP_015433595.1	XP_039305867.1, XP_025986931.2, XP_039314570.1, XP_025986941.2, XP_025986936.2, XP_039314535.1, XP_039314558.1, XP_011168007.2, XP_039314529.1, XP_039314590.1, XP_039314564.1, XP_039305868.1, XP_039305708.1, XP_039305809.1, XP_039305616.1, XP_039305178.1, XP_039305782.1
OG0000143	XP_015429114.1	XP_011158940.1, XP_011158941.1
OG0000144	XP_015428670.1	XP_011155485.2
OG0000144	XP_015428727.1	XP_011155484.1
OG0000145	XP_015436844.1	XP_039310475.1, XP_039310474.1
OG0000145	XP_015431112.1	XP_025989810.1
OG0000146	XP_015432760.1	XP_011158610.1
OG0000146	XP_015436388.1	XP_011163024.1, XP_011163029.1
OG0000146	XP_015435877.1	XP_011157598.1
OG0000147	XP_015439801.1	XP_025987816.1, XP_039314750.1
OG0000149	XP_015435823.1	XP_011168700.1
OG0000149	XP_015435834.1	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2
OG0000150	XP_015432205.1	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1
OG0000151	XP_015429673.1, XP_015429674.1, XP_015429675.1	XP_011167344.2
OG0000152	XP_015433494.1	XP_011159593.1, XP_011159592.1
OG0000153	XP_015439140.1	XP_025991417.2
OG0000154	XP_015436141.1	XP_039306572.1, XP_011172804.1, XP_039306683.1
OG0000156	XP_015429868.1	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1
OG0000157	XP_015433606.1, XP_015433605.1	XP_039311111.1, XP_039311110.1
OG0000158	XP_015439684.1	XP_039312830.1
OG0000158	XP_015439979.1	XP_039312827.1
OG0000160	XP_015437280.1	XP_025995468.2
OG0000160	XP_015436859.1, XP_015436868.1	XP_039307899.1
OG0000162	XP_015439554.1	XP_025990139.1
OG0000164	XP_015437774.1	XP_011175603.2, XP_039313027.1
OG0000165	XP_015429586.1	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1
OG0000165	XP_015435493.1	XP_011173553.1
OG0000166	XP_015435053.1	XP_025986750.2, XP_025986751.2, XP_039305072.1, XP_039305077.1
OG0000168	XP_015430998.1	XP_025989788.2
OG0000169	XP_015437575.1	XP_011166801.1, XP_011166805.2, XP_011166806.2
OG0000170	XP_015439592.1	XP_011161394.2
OG0000170	XP_015439591.1	XP_011161392.2
OG0000170	XP_015439594.1	XP_011161398.1
OG0000171	XP_015434404.1, XP_015434466.1	XP_011160261.1, XP_039309768.1, XP_011160941.1, XP_039309770.1, XP_011160937.1, XP_011160936.1
