Orthogroup	Dufourea_novaeangliae	Anopheles_gambiae
OG0000042	XP_015431650.1, XP_015431773.1, XP_015431779.1, XP_015431770.1	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3
OG0000043	XP_015429520.1	XP_317400.2
OG0000043	XP_015440180.1	XP_317404.2
OG0000044	XP_015435691.1	XP_003436574.1
OG0000045	XP_015432638.1, XP_015429239.1, XP_015432639.1	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3
OG0000046	XP_015433680.1	XP_313085.3
OG0000046	XP_015435615.1, XP_015435626.1	XP_001689308.2
OG0000046	XP_015437775.1	XP_315042.3
OG0000050	XP_015435553.1, XP_015434531.1, XP_015434396.1	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5
OG0000051	XP_015431640.1	XP_024667080.1, XP_024667095.1
OG0000052	XP_015430581.1, XP_015437086.1	XP_319685.4
OG0000052	XP_015437305.1	XP_320291.3
OG0000054	XP_015438760.1	XP_556684.2
OG0000054	XP_015438771.1, XP_015438765.1	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3
OG0000055	XP_015437264.1	XP_553645.3
OG0000055	XP_015436857.1	XP_312790.4
OG0000055	XP_015428835.1	XP_321277.5
OG0000056	XP_015437145.1, XP_015440426.1	XP_318579.4
OG0000056	XP_015428673.1	XP_550805.4
OG0000056	XP_015437708.1	XP_317863.3
OG0000057	XP_015430802.1	XP_309765.4
OG0000057	XP_015430702.1, XP_015430703.1	XP_314483.4
OG0000057	XP_015430706.1, XP_015430705.1	XP_315005.3
OG0000060	XP_015438716.1	XP_318748.4
OG0000061	XP_015432844.1	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5
OG0000061	XP_015431091.1, XP_015435594.1	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4
OG0000062	XP_015432477.1	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1
OG0000065	XP_015431269.1	XP_321329.4
OG0000065	XP_015431271.1, XP_015431347.1	XP_565271.3
OG0000067	XP_015429287.1	XP_320481.4
OG0000067	XP_015435216.1	XP_315003.3, XP_001688603.1, XP_315671.4
OG0000067	XP_015439239.1	XP_315363.4
OG0000074	XP_015438453.1	XP_321263.5
OG0000077	XP_015436389.1	XP_319941.4
OG0000077	XP_015435143.1	XP_316979.4, XP_321166.4
OG0000079	XP_015431758.1, XP_015431759.1, XP_015431761.1	XP_001238492.1
OG0000079	XP_015431764.1, XP_015431760.1	XP_319818.4
OG0000080	XP_015432762.1	XP_313655.5
OG0000080	XP_015432781.1	XP_313656.5, XP_003436798.1, XP_003436797.1
OG0000082	XP_015434043.1, XP_015434042.1, XP_015434075.1, XP_015434041.1	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2
OG0000085	XP_015439820.1, XP_015433752.1	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3
OG0000086	XP_015439351.1	XP_552698.3
OG0000086	XP_015439307.1	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1
OG0000087	XP_015433138.1, XP_015433161.1	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4
OG0000087	XP_015433219.1, XP_015433217.1, XP_015433218.1, XP_015433159.1	XP_306334.2, XP_308083.4, XP_308082.4
OG0000088	XP_015430594.1	XP_317091.3
OG0000089	XP_015429642.1, XP_015429641.1, XP_015429643.1, XP_015429644.1	XP_319737.4
OG0000089	XP_015438011.1	XP_310298.6
OG0000091	XP_015428722.1, XP_015428720.1, XP_015428718.1	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2
OG0000092	XP_015433035.1	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1
OG0000092	XP_015432408.1	XP_321262.1, XP_003435947.1
OG0000094	XP_015432992.1	XP_317094.4, XP_001689000.1
OG0000094	XP_015432272.1	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5
OG0000094	XP_015430372.1	XP_312311.5
OG0000095	XP_015436624.1, XP_015436625.1	XP_316096.4, XP_316098.3, XP_316099.4
OG0000096	XP_015438977.1	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4
OG0000096	XP_015439740.1	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2
OG0000097	XP_015428851.1, XP_015428850.1, XP_015428848.1, XP_015439293.1, XP_015439294.1	XP_003436515.1, XP_003436516.1, XP_562379.1
OG0000098	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1	XP_314814.3
OG0000099	XP_015434840.1	XP_320987.5
OG0000099	XP_015437951.1	XP_312290.4
OG0000099	XP_015439443.1	XP_313462.4
OG0000100	XP_015432704.1, XP_015432705.1	XP_313581.5
OG0000101	XP_015429187.1	XP_321098.5
OG0000101	XP_015437434.1, XP_015434419.1	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1
OG0000102	XP_015437466.1, XP_015437463.1	XP_308709.4, XP_565152.3
OG0000108	XP_015431062.1	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2
OG0000109	XP_015429717.1	XP_309801.3
OG0000110	XP_015438727.1, XP_015438930.1	XP_001689285.1
OG0000112	XP_015437727.1	XP_309025.4
OG0000112	XP_015439824.1	XP_560420.2
OG0000113	XP_015431174.1, XP_015436887.1, XP_015436888.1	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4
OG0000114	XP_015439692.1, XP_015439905.1	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4
OG0000114	XP_015439901.1	XP_314336.2
OG0000115	XP_015431679.1, XP_015431680.1, XP_015439194.1, XP_015431789.1, XP_015431678.1	XP_311546.4
OG0000116	XP_015436046.1, XP_015436326.1	XP_315806.4
OG0000117	XP_015435315.1	XP_318912.3
OG0000117	XP_015436200.1	XP_001238428.3
OG0000120	XP_015437451.1, XP_015437450.1, XP_015437448.1	XP_319911.4
OG0000122	XP_015433447.1	XP_309303.3, XP_564139.3
OG0000122	XP_015431888.1	XP_552160.3
OG0000123	XP_015435654.1, XP_015435655.1	XP_317585.4
OG0000124	XP_015437181.1	XP_312632.5
OG0000125	XP_015440379.1, XP_015440359.1, XP_015440376.1, XP_015440360.1	XP_321447.5
OG0000126	XP_015428496.1	XP_003436885.1, XP_311618.2
OG0000127	XP_015432901.1, XP_015432902.1, XP_015432903.1	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5
OG0000129	XP_015436027.1	XP_319208.4
OG0000130	XP_015429425.1, XP_015429434.1	XP_314859.4
OG0000130	XP_015429842.1	XP_314860.4, XP_557898.3
OG0000131	XP_015436559.1	XP_311973.1, XP_003436315.1
OG0000131	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1	XP_320516.2
OG0000132	XP_015437606.1	XP_314281.4
OG0000132	XP_015431599.1	XP_317287.4, XP_319288.2
OG0000133	XP_015434318.1	XP_001238215.2
OG0000135	XP_015435320.1, XP_015435321.1	XP_321549.1
OG0000135	XP_015431583.1	XP_308966.4
OG0000136	XP_015437319.1, XP_015436484.1, XP_015438169.1	XP_557311.3, XP_316252.2
OG0000137	XP_015432001.1, XP_015433288.1	XP_313095.4
OG0000138	XP_015429248.1, XP_015429192.1	XP_310751.5
OG0000139	XP_015435212.1	XP_318027.4
OG0000140	XP_015431670.1	XP_308203.4
OG0000140	XP_015439249.1	XP_318829.4
OG0000141	XP_015431506.1	XP_312292.5
OG0000141	XP_015435164.1, XP_015435072.1	XP_317639.4
OG0000143	XP_015429124.1, XP_015429114.1	XP_311266.4, XP_311556.4
OG0000144	XP_015428670.1, XP_015428727.1	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4
OG0000145	XP_015436844.1, XP_015431112.1	XP_318854.4
OG0000146	XP_015432760.1	XP_556748.3
OG0000146	XP_015435877.1	XP_308640.2
OG0000147	XP_015435294.1, XP_015435295.1, XP_015439801.1	XP_312505.3, XP_003436127.1, XP_003436126.1
OG0000149	XP_015435823.1	XP_319018.3
OG0000150	XP_015432205.1	XP_316248.3
OG0000151	XP_015429673.1, XP_015429674.1, XP_015429675.1	XP_001687986.1
OG0000152	XP_015433494.1	XP_001688746.1, XP_315920.4
OG0000153	XP_015439140.1	XP_315414.4
OG0000156	XP_015429868.1	XP_315693.3
OG0000157	XP_015433606.1, XP_015433605.1	XP_319874.4, XP_319873.4
OG0000160	XP_015437280.1	XP_314536.3
OG0000160	XP_015436859.1, XP_015436868.1	XP_314534.4
OG0000161	XP_015432556.1	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2
OG0000162	XP_015435684.1	XP_566274.3, XP_311007.4
OG0000162	XP_015439554.1	XP_311918.3
OG0000164	XP_015437865.1, XP_015437659.1, XP_015437774.1	XP_552916.2
OG0000165	XP_015429586.1	XP_311219.3
OG0000165	XP_015435493.1	XP_311252.5
OG0000166	XP_015435053.1	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1
OG0000168	XP_015435199.1	XP_314120.4
OG0000168	XP_015430998.1	XP_001688600.1, XP_314993.4, XP_001688601.1
OG0000168	XP_015436891.1	XP_308666.4, XP_309810.4
OG0000170	XP_015439592.1	XP_315409.2
OG0000171	XP_015434404.1, XP_015434466.1	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3
OG0000173	XP_015434867.1, XP_015434866.1, XP_015434871.1, XP_015434870.1, XP_015434869.1, XP_015434868.1	XP_313784.5
OG0000174	XP_015438965.1	XP_313394.4
OG0000175	XP_015437422.1, XP_015437423.1	XP_001687949.1, XP_308467.4
OG0000177	XP_015435549.1	XP_309771.2
OG0000177	XP_015435485.1	XP_001230649.2
OG0000177	XP_015435546.1	XP_001688246.1
OG0000178	XP_015438494.1	XP_307952.5
OG0000179	XP_015434426.1	XP_003437002.1, XP_310632.5
OG0000180	XP_015430454.1, XP_015430456.1, XP_015430455.1, XP_015430457.1	XP_003436547.1, XP_003436546.1, XP_313417.5
OG0000181	XP_015440531.1	XP_321792.2
OG0000183	XP_015431052.1	XP_311711.3
OG0000183	XP_015435715.1	XP_317936.4
OG0000184	XP_015432847.1	XP_319373.1
OG0000185	XP_015434150.1, XP_015434133.1	XP_001688361.2
OG0000186	XP_015434985.1, XP_015434960.1, XP_015434988.1, XP_015434990.1	XP_308393.4
OG0000187	XP_015436316.1	XP_318759.3
OG0000188	XP_015431252.1	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4
OG0000188	XP_015431689.1	XP_316795.2
OG0000189	XP_015429531.1	XP_559460.4, XP_003436249.1, XP_312117.5
OG0000189	XP_015429543.1	XP_003437104.1, XP_311341.5
OG0000189	XP_015429076.1	XP_311343.4, XP_309276.4
OG0000190	XP_015440287.1, XP_015440288.1, XP_015440289.1	XP_003436713.1, XP_312971.1
OG0000191	XP_015434794.1	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4
OG0000192	XP_015433091.1	XP_311585.4
OG0000194	XP_015439485.1	XP_556986.2
OG0000196	XP_015432167.1	XP_321556.3
OG0000196	XP_015437821.1	XP_001687817.2, XP_560491.4
OG0000197	XP_015439072.1, XP_015439073.1, XP_015439149.1	XP_308795.4
OG0000200	XP_015435653.1	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1
OG0000201	XP_015438380.1	XP_316379.4
OG0000201	XP_015438436.1	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4
OG0000203	XP_015429928.1	XP_321914.5
OG0000204	XP_015428607.1	XP_003436222.1, XP_312208.4
OG0000205	XP_015435790.1	XP_001688795.1, XP_003436549.1
OG0000206	XP_015432679.1	XP_003435909.1, XP_321392.5
OG0000206	XP_015432778.1, XP_015432779.1	XP_003436103.1, XP_563817.3
OG0000207	XP_015437049.1	XP_308487.3
OG0000207	XP_015434683.1, XP_015434682.1	XP_001688813.1, XP_001688814.1, XP_556880.3
OG0000208	XP_015434613.1	XP_001688810.1, XP_316236.4
OG0000208	XP_015428530.1, XP_015428529.1	XP_314845.4
OG0000209	XP_015436163.1	XP_001230643.2, XP_309738.3
OG0000210	XP_015440351.1, XP_015428957.1	XP_001688664.1
OG0000210	XP_015439732.1	XP_319144.3
OG0000212	XP_015431045.1, XP_015430967.1, XP_015430965.1, XP_015430966.1	XP_554502.2, XP_318238.4
OG0000213	XP_015428729.1	XP_309297.2
OG0000214	XP_015435958.1	XP_313425.3, XP_003436551.1
OG0000214	XP_015428442.1	XP_319075.3, XP_313331.4
OG0000215	XP_015432430.1, XP_015432437.1	XP_001689079.1, XP_001230280.1, XP_318019.4
OG0000216	XP_015431904.1	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4
OG0000217	XP_015437152.1	XP_310550.5, XP_309658.5, XP_001237269.3
OG0000218	XP_015434934.1, XP_015434933.1	XP_308642.4
OG0000219	XP_015434863.1, XP_015434855.1	XP_309335.4
OG0000220	XP_015435676.1, XP_015435677.1	XP_314482.4
OG0000223	XP_015433759.1	XP_320146.3
OG0000223	XP_015437890.1	XP_308984.1
OG0000224	XP_015431603.1, XP_015431605.1	XP_312099.2, XP_312102.4, XP_003436251.1
OG0000225	XP_015430669.1, XP_015430668.1, XP_015430670.1, XP_015430654.1	XP_310636.2, XP_003437000.1
OG0000226	XP_015432296.1, XP_015432295.1	XP_313395.2
OG0000226	XP_015432297.1	XP_317851.1
OG0000227	XP_015438705.1	XP_308342.4, XP_001237064.2
OG0000230	XP_015435543.1, XP_015428614.1, XP_015428616.1, XP_015428615.1	XP_001688611.1
OG0000231	XP_015438519.1	XP_003436333.1, XP_316371.4
OG0000232	XP_015439264.1	XP_315941.1, XP_315942.3, XP_315943.3
OG0000233	XP_015435413.1, XP_015435414.1	XP_311447.4
OG0000234	XP_015436796.1, XP_015436761.1	XP_314989.4, XP_316577.4
OG0000235	XP_015433084.1	XP_309952.4
OG0000236	XP_015433151.1	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4
OG0000236	XP_015433153.1	XP_312478.1, XP_001238571.2
OG0000237	XP_015438767.1	XP_559100.2
OG0000237	XP_015438769.1	XP_311581.3
OG0000239	XP_015432329.1	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4
OG0000241	XP_015435537.1, XP_015436630.1	XP_553025.3
OG0000243	XP_015436725.1	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4
OG0000244	XP_015439085.1	XP_313365.4
OG0000245	XP_015437253.1, XP_015435215.1	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2
OG0000246	XP_015438662.1	XP_319840.2, XP_319841.3
OG0000246	XP_015438684.1	XP_319838.3
OG0000248	XP_015437282.1, XP_015437302.1	XP_308379.4, XP_315470.5, XP_003435724.1
OG0000249	XP_015431145.1, XP_015431096.1, XP_015431100.1	XP_310971.5
OG0000250	XP_015428900.1, XP_015428865.1	XP_003436312.1, XP_003436311.1, XP_311978.5
OG0000252	XP_015430094.1, XP_015430087.1, XP_015430103.1	XP_321164.1
OG0000253	XP_015433105.1	XP_310451.4, XP_310450.4, XP_001238805.2
OG0000253	XP_015430007.1	XP_316966.4
OG0000254	XP_015440243.1	XP_312967.3, XP_003436712.1
OG0000255	XP_015440437.1	XP_003436960.1, XP_310845.5
OG0000256	XP_015435282.1, XP_015435281.1	XP_307890.5
OG0000257	XP_015439225.1	XP_321870.5
OG0000257	XP_015439223.1	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3
OG0000261	XP_015431688.1	XP_315985.3, XP_001688761.1
OG0000263	XP_015438831.1, XP_015438832.1, XP_015438830.1	XP_001687857.1, XP_564524.3, XP_001687858.1
OG0000264	XP_015438044.1	XP_001688533.1, XP_314137.4
OG0000264	XP_015429295.1, XP_015429294.1	XP_311594.2
OG0000265	XP_015429094.1	XP_319555.4, XP_312273.4, XP_003436201.1
OG0000266	XP_015433228.1	XP_310704.3
OG0000266	XP_015431896.1	XP_308081.2
OG0000268	XP_015439427.1	XP_309197.1, XP_003437164.1, XP_003437165.1, XP_560220.3, XP_001688171.2, XP_311384.3, XP_311355.3, XP_307829.2
OG0000269	XP_015440166.1	XP_315017.4
OG0000270	XP_015429298.1	XP_003436281.1, XP_312025.4, XP_003436282.1
OG0000270	XP_015429562.1	XP_003436280.1, XP_312026.4
OG0000271	XP_015431651.1	XP_311184.3, XP_312761.3, XP_003436383.1
OG0000272	XP_015430061.1	XP_308042.3, XP_001230608.1
OG0000272	XP_015438983.1	XP_309153.3, XP_314691.2
OG0000273	XP_015436896.1, XP_015436881.1	XP_308599.4, XP_001688028.1
OG0000274	XP_015439714.1	XP_317143.4, XP_318742.4, XP_318623.4
OG0000274	XP_015433358.1	XP_319531.4
OG0000275	XP_015433891.1	XP_001237830.2
OG0000276	XP_015432586.1	XP_003436154.1, XP_312380.3
OG0000277	XP_015430231.1	XP_315597.3, XP_001688685.1, XP_001688686.1
OG0000278	XP_015431164.1	XP_307914.5, XP_003436076.1
OG0000279	XP_015432369.1	XP_308623.4, XP_317820.4
OG0000281	XP_015432612.1	XP_312382.3
OG0000283	XP_015440094.1	XP_315855.4
OG0000284	XP_015429852.1	XP_003436098.1, XP_003436097.1, XP_312601.2
OG0000284	XP_015439650.1, XP_015438214.1	XP_308964.2
OG0000285	XP_015436920.1, XP_015436921.1	XP_309398.1
OG0000286	XP_015436588.1, XP_015436589.1	XP_309986.3
OG0000287	XP_015438255.1	XP_315240.3
OG0000287	XP_015438180.1	XP_320482.3
OG0000288	XP_015435796.1	XP_552525.3
OG0000288	XP_015439791.1	XP_319330.4
OG0000289	XP_015432866.1, XP_015432868.1, XP_015432869.1, XP_015432870.1, XP_015432867.1	XP_319051.2
OG0000291	XP_015433144.1	XP_001689411.1
OG0000295	XP_015433330.1, XP_015433328.1, XP_015433329.1	XP_564212.2
OG0000296	XP_015434298.1	XP_316088.3
OG0000297	XP_015429556.1	XP_309482.3
OG0000298	XP_015433364.1	XP_003436069.1, XP_307929.5
OG0000299	XP_015435404.1	XP_317327.4
OG0000300	XP_015436168.1	XP_315560.2
OG0000300	XP_015437092.1, XP_015437090.1, XP_015437089.1	XP_311179.3
OG0000301	XP_015428488.1	XP_003437208.1, XP_003437207.1, XP_003437206.1, XP_558699.5
OG0000301	XP_015434699.1	XP_555875.4
OG0000302	XP_015433893.1	XP_320795.4
OG0000302	XP_015438406.1	XP_559969.3
OG0000303	XP_015430384.1	XP_562126.3
OG0000304	XP_015430485.1	XP_309314.4
OG0000305	XP_015434461.1	XP_563311.4
OG0000306	XP_015439792.1, XP_015439652.1	XP_313557.5
OG0000307	XP_015428477.1	XP_321110.5
OG0000308	XP_015438475.1	XP_003436758.1, XP_313171.5
OG0000309	XP_015430291.1	XP_314908.3
OG0000310	XP_015435023.1	XP_554747.3
OG0000311	XP_015428715.1	XP_308653.4
OG0000312	XP_015431093.1	XP_314530.4
OG0000313	XP_015433511.1	XP_317714.4, XP_317713.4, XP_319608.4, XP_003435856.1, XP_003435855.1, XP_321620.4
OG0000314	XP_015430168.1	XP_001230545.2, XP_309706.4
OG0000314	XP_015430171.1	XP_313795.3
OG0000315	XP_015429602.1, XP_015429443.1	XP_309465.3, XP_309463.4, XP_309462.4
OG0000316	XP_015438634.1	XP_024667073.1
OG0000316	XP_015431212.1	XP_024667074.1
OG0000317	XP_015438869.1	XP_313902.4
OG0000318	XP_015432674.1	XP_318652.3
OG0000319	XP_015437316.1	XP_001688115.1, XP_308867.3
OG0000320	XP_015434182.1	XP_564296.2, XP_310187.3
OG0000321	XP_015438194.1	XP_319900.4
OG0000323	XP_015436562.1	XP_321271.5
OG0000324	XP_015440322.1	XP_307908.4
OG0000325	XP_015433942.1	XP_321287.5
OG0000326	XP_015436335.1	XP_321051.5, XP_321052.5
OG0000327	XP_015436511.1	XP_316545.4
OG0000327	XP_015436510.1	XP_316546.4
OG0000329	XP_015430338.1, XP_015430339.1	XP_313828.2, XP_313829.3
OG0000330	XP_015434719.1	XP_557449.3
OG0000330	XP_015431229.1, XP_015431230.1	XP_309352.4
OG0000332	XP_015431199.1, XP_015431198.1	XP_566006.4
