Orthogroup	Dufourea_novaeangliae	Vespa_mandarinia
OG0000025	XP_015438738.1, XP_015434210.1, XP_015438097.1, XP_015438320.1	XP_035720610.1
OG0000025	XP_015437446.1, XP_015433589.1, XP_015432548.1, XP_015429182.1	XP_035720880.1, XP_035742374.1, XP_035725548.1, XP_035737742.1
OG0000026	XP_015439534.1	XP_035728457.1
OG0000026	XP_015434403.1	XP_035718093.1, XP_035718094.1
OG0000027	XP_015435411.1	XP_035732973.1, XP_035725930.1
OG0000027	XP_015440405.1	XP_035725928.1, XP_035725929.1
OG0000029	XP_015428687.1	XP_035732363.1, XP_035732348.1
OG0000029	XP_015430246.1	XP_035737588.1
OG0000029	XP_015428686.1	XP_035732367.1, XP_035732349.1
OG0000030	XP_015435285.1, XP_015435289.1, XP_015435290.1, XP_015435288.1, XP_015435286.1	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1
OG0000030	XP_015434622.1	XP_035723581.1
OG0000032	XP_015431638.1	XP_035723151.1
OG0000032	XP_015438580.1	XP_035730167.1
OG0000035	XP_015436890.1, XP_015436892.1	XP_035731371.1
OG0000038	XP_015436794.1, XP_015438692.1	XP_035735001.1, XP_035735000.1
OG0000038	XP_015433215.1	XP_035727166.1
OG0000038	XP_015437923.1	XP_035733817.1
OG0000040	XP_015434420.1, XP_015432771.1	XP_035729457.1
OG0000040	XP_015429021.1	XP_035742485.1
OG0000040	XP_015439748.1	XP_035725216.1
OG0000041	XP_015433852.1	XP_035743035.1
OG0000041	XP_015434640.1	XP_035742719.1
OG0000041	XP_015434661.1	XP_035742717.1
OG0000042	XP_015431768.1	XP_035732212.1
OG0000043	XP_015429520.1	XP_035731122.1
OG0000043	XP_015438227.1	XP_035718657.1
OG0000045	XP_015432638.1	XP_035720478.1, XP_035720481.1, XP_035720479.1
OG0000045	XP_015429239.1	XP_035731034.1, XP_035731019.1
OG0000045	XP_015432639.1	XP_035720482.1
OG0000045	XP_015439683.1	XP_035742841.1
OG0000046	XP_015433680.1	XP_035742705.1
OG0000046	XP_015435615.1	XP_035734549.1
OG0000046	XP_015435626.1	XP_035728851.1, XP_035728840.1
OG0000048	XP_015436085.1, XP_015436086.1	XP_035728121.1
OG0000048	XP_015436095.1	XP_035728382.1
OG0000050	XP_015435553.1	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1
OG0000050	XP_015434531.1, XP_015434396.1	XP_035718383.1
OG0000052	XP_015430581.1	XP_035730522.1
OG0000052	XP_015437086.1	XP_035729830.1, XP_035729829.1, XP_035729805.1
OG0000053	XP_015429676.1	XP_035737765.1, XP_035725546.1
OG0000053	XP_015430868.1	XP_035739246.1
OG0000054	XP_015438760.1	XP_035724338.1
OG0000054	XP_015438771.1, XP_015438765.1	XP_035724099.1, XP_035724441.1
OG0000055	XP_015437264.1	XP_035726348.1, XP_035726347.1
OG0000055	XP_015436857.1	XP_035720014.1
OG0000056	XP_015437145.1	XP_035726130.1
OG0000056	XP_015440426.1	XP_035718477.1
OG0000056	XP_015428673.1	XP_035728622.1
OG0000056	XP_015437336.1	XP_035733992.1
OG0000056	XP_015433237.1, XP_015433238.1	XP_035741213.1
OG0000056	XP_015437708.1	XP_035729096.1
OG0000057	XP_015430802.1	XP_035734097.1
OG0000057	XP_015434046.1	XP_035721261.1
OG0000057	XP_015430702.1, XP_015430703.1	XP_035734264.1
OG0000057	XP_015430706.1, XP_015430705.1	XP_035734268.1
OG0000058	XP_015439488.1	XP_035739545.1, XP_035739536.1
OG0000058	XP_015439489.1	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1
OG0000060	XP_015438716.1	XP_035730103.1
OG0000060	XP_015432264.1, XP_015432266.1, XP_015432267.1	XP_035738199.1, XP_035738201.1, XP_035738202.1
OG0000061	XP_015431091.1	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1
OG0000062	XP_015432477.1	XP_035737336.1
OG0000062	XP_015431874.1	XP_035728895.1
OG0000062	XP_015431815.1	XP_035728894.1
OG0000062	XP_015431817.1, XP_015431876.1	XP_035728892.1
OG0000065	XP_015431269.1	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1
OG0000067	XP_015429287.1	XP_035734988.1
OG0000067	XP_015435217.1	XP_035729269.1
OG0000067	XP_015435565.1	XP_035718759.1
OG0000067	XP_015435216.1	XP_035729165.1
OG0000067	XP_015439239.1	XP_035724654.1
OG0000069	XP_015435554.1	XP_035737423.1
OG0000069	XP_015435557.1	XP_035737135.1
OG0000070	XP_015436275.1	XP_035741503.1, XP_035741697.1, XP_035741696.1
OG0000074	XP_015432069.1	XP_035719932.1, XP_035736547.1
OG0000077	XP_015436389.1	XP_035738027.1
OG0000077	XP_015435143.1	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1
OG0000079	XP_015431758.1	XP_035741810.1
OG0000079	XP_015431759.1	XP_035741818.1
OG0000079	XP_015431764.1	XP_035741822.1
OG0000079	XP_015431760.1	XP_035741817.1
OG0000080	XP_015432762.1	XP_035724002.1
OG0000080	XP_015432781.1	XP_035722996.1
OG0000081	XP_015437926.1	XP_035739549.1, XP_035739551.1, XP_035739552.1
OG0000081	XP_015437927.1	XP_035739553.1
OG0000082	XP_015434042.1	XP_035733049.1
OG0000084	XP_015429440.1	XP_035738869.1
OG0000084	XP_015429460.1	XP_035739145.1
OG0000085	XP_015439820.1	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1
OG0000085	XP_015433752.1	XP_035737189.1
OG0000086	XP_015439351.1	XP_035718518.1
OG0000086	XP_015439307.1	XP_035737219.1, XP_035737220.1
OG0000087	XP_015433161.1	XP_035734892.1
OG0000087	XP_015433219.1, XP_015433217.1, XP_015433218.1	XP_035735028.1
OG0000088	XP_015430594.1	XP_035718097.1
OG0000089	XP_015429642.1, XP_015429641.1, XP_015429643.1, XP_015429644.1	XP_035732042.1
OG0000089	XP_015438011.1	XP_035729577.1
OG0000091	XP_015428722.1, XP_015428720.1, XP_015428718.1	XP_035743855.1
OG0000092	XP_015433035.1	XP_035729950.1
OG0000092	XP_015431194.1	XP_035719716.1, XP_035719715.1
OG0000092	XP_015432408.1	XP_035718227.1
OG0000094	XP_015432992.1	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1
OG0000094	XP_015432272.1	XP_035729864.1
OG0000095	XP_015436624.1, XP_015436625.1	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1
OG0000096	XP_015438977.1	XP_035735801.1
OG0000096	XP_015439740.1	XP_035724668.1, XP_035724666.1
OG0000097	XP_015428851.1, XP_015428850.1, XP_015428848.1	XP_035742312.1, XP_035742314.1, XP_035742313.1
OG0000097	XP_015439293.1, XP_015439294.1	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1
OG0000098	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1	XP_035733072.1, XP_035733137.1
OG0000099	XP_015434840.1	XP_035723282.1, XP_035723292.1, XP_035723300.1
OG0000099	XP_015437951.1	XP_035721767.1
OG0000099	XP_015439443.1	XP_035729911.1
OG0000100	XP_015432704.1, XP_015432705.1	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1
OG0000101	XP_015429187.1	XP_035724161.1
OG0000101	XP_015437434.1, XP_015434419.1	XP_035724180.1
OG0000102	XP_015437466.1	XP_035722712.1
OG0000102	XP_015437463.1	XP_035722713.1
OG0000103	XP_015431403.1	XP_035728991.1
OG0000103	XP_015431354.1	XP_035729002.1, XP_035728999.1
OG0000103	XP_015431408.1	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1
OG0000106	XP_015430089.1	XP_035736824.1
OG0000107	XP_015440456.1	XP_035735907.1
OG0000108	XP_015431062.1	XP_035729104.1, XP_035729105.1
OG0000109	XP_015429717.1	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1
OG0000110	XP_015438727.1	XP_035727648.1, XP_035727647.1
OG0000110	XP_015438930.1	XP_035738900.1
OG0000111	XP_015434178.1	XP_035718068.1
OG0000111	XP_015430891.1	XP_035719146.1
OG0000112	XP_015437727.1	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1
OG0000112	XP_015439824.1	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1
OG0000113	XP_015431174.1	XP_035724028.1
OG0000113	XP_015436887.1, XP_015436888.1	XP_035725454.1
OG0000114	XP_015439901.1	XP_035719468.1
OG0000115	XP_015431679.1, XP_015431680.1, XP_015439194.1	XP_035719374.1
OG0000115	XP_015431789.1, XP_015431678.1	XP_035728117.1
OG0000116	XP_015436046.1	XP_035728572.1, XP_035728573.1
OG0000116	XP_015436326.1	XP_035728508.1, XP_035728506.1, XP_035728507.1
OG0000117	XP_015435315.1	XP_035721151.1
OG0000117	XP_015436200.1	XP_035728960.1
OG0000119	XP_015436224.1, XP_015436228.1, XP_015436225.1	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1
OG0000120	XP_015437451.1, XP_015437450.1, XP_015437448.1	XP_035743508.1
OG0000122	XP_015433447.1	XP_035742190.1
OG0000122	XP_015431888.1	XP_035722129.1
OG0000122	XP_015431901.1	XP_035738975.1
OG0000122	XP_015431893.1	XP_035738980.1
OG0000123	XP_015435654.1, XP_015435655.1	XP_035725246.1, XP_035725252.1
OG0000124	XP_015437181.1	XP_035724659.1
OG0000125	XP_015440379.1, XP_015440359.1, XP_015440376.1, XP_015440360.1	XP_035743368.1, XP_035743367.1
OG0000126	XP_015428496.1	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1
OG0000127	XP_015432901.1, XP_015432902.1, XP_015432903.1	XP_035726611.1, XP_035726612.1, XP_035720274.1
OG0000129	XP_015436027.1	XP_035741994.1, XP_035741995.1
OG0000130	XP_015429425.1	XP_035721963.1
OG0000130	XP_015429434.1	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1
OG0000130	XP_015429842.1	XP_035721444.1
OG0000131	XP_015436559.1	XP_035742296.1
OG0000131	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1	XP_035733339.1, XP_035733338.1
OG0000132	XP_015437606.1	XP_035721782.1, XP_035721781.1
OG0000132	XP_015431599.1	XP_035732604.1
OG0000133	XP_015434318.1	XP_035741242.1
OG0000134	XP_015429489.1, XP_015433726.1	XP_035740651.1
OG0000135	XP_015435320.1, XP_015435321.1	XP_035717163.1
OG0000135	XP_015431583.1	XP_035725594.1
OG0000136	XP_015437319.1, XP_015436484.1, XP_015438169.1	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1
OG0000137	XP_015432001.1	XP_035738396.1
OG0000138	XP_015429248.1	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1
OG0000138	XP_015429192.1	XP_035722005.1
OG0000139	XP_015435212.1	XP_035719417.1, XP_035719753.1
OG0000140	XP_015439128.1	XP_035720742.1, XP_035720741.1
OG0000141	XP_015435225.1	XP_035723074.1, XP_035723075.1, XP_035723073.1
OG0000141	XP_015431506.1	XP_035722354.1, XP_035722355.1
OG0000141	XP_015435164.1, XP_015435072.1	XP_035722392.1, XP_035722391.1
OG0000143	XP_015429124.1	XP_035726588.1
OG0000143	XP_015429114.1	XP_035726587.1, XP_035726585.1, XP_035726586.1
OG0000145	XP_015436844.1	XP_035739706.1, XP_035739705.1
OG0000145	XP_015431112.1	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1
OG0000146	XP_015432760.1, XP_015436388.1	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1
OG0000147	XP_015435294.1, XP_015435295.1	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1
OG0000147	XP_015439801.1	XP_035734708.1
OG0000149	XP_015435823.1	XP_035726837.1
OG0000149	XP_015435834.1	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1
OG0000150	XP_015432205.1	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1
OG0000151	XP_015429673.1, XP_015429674.1, XP_015429675.1	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1
OG0000152	XP_015433494.1	XP_035722053.1
OG0000153	XP_015439140.1	XP_035727062.1
OG0000154	XP_015436141.1	XP_035743057.1, XP_035743056.1
OG0000156	XP_015429868.1	XP_035723493.1
OG0000157	XP_015433606.1	XP_035732282.1
OG0000157	XP_015433605.1	XP_035732281.1
OG0000158	XP_015439684.1	XP_035740201.1
OG0000158	XP_015440019.1, XP_015440020.1, XP_015439979.1	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1
OG0000160	XP_015437280.1	XP_035723999.1
OG0000160	XP_015436859.1, XP_015436868.1	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1
OG0000162	XP_015435684.1	XP_035731205.1
OG0000162	XP_015439554.1	XP_035740246.1, XP_035740247.1
OG0000164	XP_015437865.1, XP_015437659.1, XP_015437774.1	XP_035732024.1
OG0000165	XP_015429586.1	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1
OG0000165	XP_015435493.1	XP_035734576.1
OG0000166	XP_015435053.1	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1
OG0000168	XP_015435199.1	XP_035736898.1
OG0000168	XP_015436891.1	XP_035731474.1
OG0000169	XP_015437575.1	XP_035729103.1, XP_035729296.1
OG0000171	XP_015434404.1	XP_035741201.1, XP_035741202.1
OG0000171	XP_015434466.1	XP_035741205.1, XP_035741206.1
OG0000172	XP_015432146.1	XP_035738100.1, XP_035738101.1
OG0000173	XP_015434867.1, XP_015434866.1, XP_015434871.1, XP_015434870.1, XP_015434869.1, XP_015434868.1	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1
OG0000174	XP_015438965.1	XP_035731433.1
OG0000175	XP_015437422.1, XP_015437423.1	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1
OG0000176	XP_015428971.1	XP_035737411.1
OG0000177	XP_015435549.1	XP_035739406.1
OG0000177	XP_015435485.1	XP_035739374.1
OG0000177	XP_015435546.1	XP_035739564.1
OG0000178	XP_015438494.1	XP_035725180.1
OG0000179	XP_015436506.1	XP_035741505.1
OG0000179	XP_015434426.1	XP_035719102.1, XP_035719101.1
OG0000180	XP_015430454.1, XP_015430456.1, XP_015430455.1, XP_015430457.1	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1
OG0000181	XP_015440531.1	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1
OG0000182	XP_015436232.1	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1
OG0000183	XP_015431052.1	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1
OG0000183	XP_015435715.1	XP_035739701.1
OG0000185	XP_015434133.1	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1
OG0000186	XP_015434985.1, XP_015434960.1, XP_015434988.1, XP_015434990.1	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1
OG0000187	XP_015436316.1	XP_035731676.1, XP_035731677.1
OG0000188	XP_015428433.1	XP_035731793.1
OG0000188	XP_015431252.1	XP_035740046.1
OG0000189	XP_015429531.1	XP_035728865.1
OG0000189	XP_015429076.1	XP_035728855.1
OG0000190	XP_015440287.1, XP_015440288.1, XP_015440289.1	XP_035728040.1, XP_035728039.1
OG0000191	XP_015434794.1	XP_035735127.1
OG0000192	XP_015433091.1	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1
OG0000194	XP_015439485.1	XP_035728644.1
OG0000194	XP_015439482.1	XP_035728648.1
OG0000194	XP_015439483.1	XP_035728646.1
OG0000194	XP_015439487.1	XP_035728547.1
OG0000195	XP_015432263.1, XP_015432088.1	XP_035739727.1, XP_035739726.1
OG0000196	XP_015437821.1	XP_035720910.1
OG0000199	XP_015435599.1	XP_035729157.1
OG0000200	XP_015435653.1	XP_035719894.1, XP_035719895.1
OG0000200	XP_015438807.1, XP_015438810.1	XP_035718373.1
OG0000201	XP_015438380.1	XP_035742700.1
OG0000202	XP_015434898.1	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1
OG0000202	XP_015433874.1	XP_035742672.1, XP_035742669.1, XP_035742670.1
OG0000203	XP_015429928.1	XP_035739190.1
OG0000204	XP_015428607.1	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1
OG0000205	XP_015435790.1	XP_035727194.1, XP_035727191.1, XP_035727193.1
OG0000206	XP_015432679.1	XP_035731791.1
OG0000206	XP_015432778.1, XP_015432779.1	XP_035731805.1
OG0000207	XP_015437049.1	XP_035718709.1
OG0000207	XP_015434683.1	XP_035726226.1
OG0000207	XP_015434682.1	XP_035726227.1
OG0000208	XP_015434613.1	XP_035726225.1
OG0000208	XP_015428530.1, XP_015428529.1	XP_035721855.1
OG0000209	XP_015436163.1	XP_035728112.1
OG0000210	XP_015440351.1	XP_035733688.1
OG0000210	XP_015428957.1	XP_035732804.1
OG0000210	XP_015439732.1	XP_035723457.1
OG0000212	XP_015431045.1	XP_035737335.1
OG0000212	XP_015430965.1, XP_015430966.1	XP_035737458.1
OG0000213	XP_015428729.1	XP_035723104.1
OG0000214	XP_015435958.1	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1
OG0000214	XP_015428442.1	XP_035741447.1, XP_035741444.1
OG0000215	XP_015432430.1	XP_035724895.1, XP_035724894.1
OG0000215	XP_015432437.1	XP_035724898.1, XP_035724897.1
OG0000216	XP_015431904.1	XP_035724451.1
OG0000217	XP_015437152.1	XP_035740471.1
OG0000218	XP_015434934.1, XP_015434933.1	XP_035726856.1
OG0000219	XP_015434863.1, XP_015434855.1	XP_035741255.1, XP_035741253.1, XP_035741259.1, XP_035741260.1, XP_035741251.1, XP_035741257.1, XP_035741254.1, XP_035741252.1, XP_035741256.1
OG0000220	XP_015435676.1, XP_015435677.1	XP_035717455.1, XP_035717452.1, XP_035717450.1, XP_035717454.1, XP_035717453.1
OG0000223	XP_015433759.1	XP_035733807.1
OG0000223	XP_015437890.1	XP_035722636.1
OG0000225	XP_015430669.1, XP_015430668.1, XP_015430670.1	XP_035734246.1, XP_035734248.1
OG0000225	XP_015430654.1	XP_035742936.1
OG0000227	XP_015438705.1	XP_035735426.1
OG0000228	XP_015440284.1	XP_035731235.1
OG0000229	XP_015437954.1	XP_035730748.1, XP_035730749.1, XP_035731006.1, XP_035731009.1
OG0000231	XP_015438519.1	XP_035738625.1, XP_035738626.1, XP_035738627.1
OG0000232	XP_015439264.1	XP_035727361.1, XP_035727359.1, XP_035727360.1
OG0000233	XP_015435413.1, XP_015435414.1	XP_035718297.1
OG0000234	XP_015436796.1, XP_015436761.1	XP_035726727.1
OG0000235	XP_015433084.1	XP_035729544.1, XP_035729549.1, XP_035729541.1
OG0000236	XP_015433151.1	XP_035735169.1
OG0000236	XP_015433153.1	XP_035735167.1
OG0000237	XP_015438767.1	XP_035740253.1
OG0000237	XP_015438769.1	XP_035740306.1
OG0000240	XP_015434475.1	XP_035741192.1, XP_035741079.1
OG0000243	XP_015436725.1	XP_035719823.1, XP_035719832.1
OG0000244	XP_015439085.1	XP_035735677.1, XP_035735674.1, XP_035735678.1, XP_035735673.1, XP_035735676.1, XP_035735675.1
OG0000245	XP_015437253.1, XP_015435215.1	XP_035726439.1
OG0000246	XP_015438662.1	XP_035739647.1
OG0000246	XP_015438684.1	XP_035722551.1, XP_035722552.1, XP_035722553.1
OG0000248	XP_015437282.1	XP_035739829.1
OG0000249	XP_015431100.1	XP_035717767.1
OG0000250	XP_015428865.1	XP_035723650.1
OG0000251	XP_015432104.1	XP_035723813.1
OG0000252	XP_015430094.1, XP_015430087.1, XP_015430103.1	XP_035720532.1, XP_035720531.1
OG0000253	XP_015433105.1	XP_035742337.1, XP_035742338.1
OG0000254	XP_015435101.1	XP_035718876.1
OG0000254	XP_015440243.1	XP_035732648.1
OG0000255	XP_015440437.1	XP_035728438.1, XP_035728437.1, XP_035728436.1
OG0000255	XP_015436124.1	XP_035737965.1
OG0000256	XP_015435282.1, XP_015435281.1	XP_035743889.1, XP_035743888.1, XP_035743887.1, XP_035743890.1
OG0000257	XP_015439225.1	XP_035740806.1, XP_035740850.1
OG0000257	XP_015439223.1	XP_035740701.1
OG0000258	XP_015434872.1	XP_035735190.1
OG0000260	XP_015438781.1	XP_035730091.1
OG0000263	XP_015438831.1, XP_015438832.1, XP_015438830.1	XP_035722794.1, XP_035722793.1, XP_035722795.1, XP_035722792.1, XP_035722797.1
OG0000264	XP_015438044.1	XP_035735842.1
OG0000264	XP_015429295.1, XP_015429294.1	XP_035728468.1
OG0000265	XP_015429094.1	XP_035743707.1
OG0000266	XP_015433228.1	XP_035743679.1
OG0000266	XP_015431896.1	XP_035727916.1
OG0000268	XP_015439427.1	XP_035724329.1
OG0000269	XP_015440166.1	XP_035719187.1, XP_035719185.1, XP_035719186.1, XP_035719184.1
OG0000270	XP_015429298.1	XP_035721119.1
OG0000270	XP_015429562.1	XP_035736463.1
OG0000271	XP_015429507.1	XP_035725070.1, XP_035725069.1
OG0000272	XP_015430061.1	XP_035738837.1
OG0000272	XP_015438983.1	XP_035729176.1
OG0000273	XP_015436896.1	XP_035734287.1
OG0000273	XP_015436881.1	XP_035734277.1
OG0000274	XP_015433358.1	XP_035728684.1
OG0000275	XP_015433891.1	XP_035721639.1, XP_035721634.1, XP_035721635.1, XP_035721637.1, XP_035721638.1, XP_035721636.1
