Orthogroup	Dufourea_novaeangliae	Nasonia_vitripennis
OG0000028	XP_015437070.1, XP_015437828.1	XP_031777412.1, XP_031788715.1, XP_008212990.1, XP_008211073.1, XP_031783222.1, XP_031784225.1
OG0000029	XP_015428687.1, XP_015428726.1	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1
OG0000029	XP_015430246.1	NP_001166265.1
OG0000029	XP_015428686.1	NP_001166272.1
OG0000030	XP_015434622.1	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1
OG0000032	XP_015431638.1	XP_016838416.1
OG0000032	XP_015439764.1, XP_015439837.1, XP_015439765.1, XP_015439830.1	NP_001164368.1
OG0000032	XP_015438580.1	XP_003426142.1, XP_016840393.1, NP_001164369.1
OG0000035	XP_015436890.1, XP_015436892.1	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1
OG0000036	XP_015434703.1	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1
OG0000038	XP_015436794.1, XP_015438692.1	XP_001607699.1, XP_001604160.1
OG0000038	XP_015433215.1	XP_031786847.1, XP_032452100.1
OG0000039	XP_015430124.1, XP_015435713.1	XP_031778424.1
OG0000040	XP_015434420.1, XP_015432771.1	XP_031787073.1
OG0000040	XP_015429021.1	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1
OG0000040	XP_015439748.1	XP_032453050.1, NP_001166054.1, XP_016837013.1
OG0000041	XP_015433852.1	XP_032453601.1, NP_001157191.1, NP_001157192.1
OG0000041	XP_015434640.1	XP_001600960.1
OG0000041	XP_015434651.1, XP_015434661.1	XP_001601342.1
OG0000042	XP_015431768.1	XP_008205137.1, XP_008205135.1, XP_008205136.1
OG0000042	XP_015431650.1, XP_015431773.1, XP_015431779.1, XP_015431770.1	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1
OG0000043	XP_015429520.1	XP_008208463.1
OG0000044	XP_015435691.1	XP_031788192.1
OG0000045	XP_015432638.1	XP_001604688.1, XP_001604507.3, XP_001604459.1
OG0000045	XP_015429239.1	NP_001153339.1, NP_001153340.1
OG0000045	XP_015432639.1	XP_001604662.2
OG0000045	XP_015439683.1	XP_032454987.1, XP_031784367.1
OG0000046	XP_015433680.1	XP_001604460.2
OG0000046	XP_015435615.1	XP_032452163.1, NP_001166228.1
OG0000046	XP_015435626.1	XP_001608044.1
OG0000048	XP_015436085.1, XP_015436086.1	XP_003426470.1
OG0000048	XP_015436088.1	XP_016841096.1
OG0000049	XP_015434938.1	XP_031789254.1, XP_031781108.1, XP_008212920.1, XP_031781361.1, XP_031777338.1, XP_031789251.1, XP_031785875.1, XP_031784018.1, XP_031785674.1
OG0000050	XP_015435553.1	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2
OG0000050	XP_015434531.1, XP_015434396.1	XP_008216259.1, XP_001608200.1
OG0000052	XP_015430581.1	XP_001607313.2
OG0000052	XP_015437086.1	XP_031779680.1, XP_016838631.1
OG0000052	XP_015437305.1	XP_001602874.2
OG0000054	XP_015438760.1	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1
OG0000054	XP_015438771.1, XP_015438765.1	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2
OG0000055	XP_015437264.1	XP_001602853.1
OG0000055	XP_015436857.1	XP_008215920.1
OG0000055	XP_015431672.1	XP_032454549.1
OG0000055	XP_015428835.1	XP_001600035.1, XP_008208159.3
OG0000056	XP_015437145.1	XP_031780252.1
OG0000056	XP_015440426.1	XP_001604931.2
OG0000056	XP_015428673.1	XP_008202999.3
OG0000056	XP_015437336.1	XP_008204847.1
OG0000056	XP_015433237.1, XP_015433238.1	XP_032455826.1
OG0000056	XP_015437708.1	XP_031784842.1
OG0000057	XP_015430802.1	XP_031785452.1
OG0000057	XP_015434046.1	XP_001602360.1
OG0000057	XP_015430702.1, XP_015430703.1	XP_003427519.1
OG0000057	XP_015430706.1, XP_015430705.1	XP_001600234.1, XP_001606290.1
OG0000058	XP_015439488.1, XP_015439489.1	NP_001177491.1
OG0000060	XP_015438716.1	XP_031784439.1, XP_031784422.1, XP_031784431.1
OG0000060	XP_015432264.1, XP_015432266.1, XP_015432267.1	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1
OG0000061	XP_015432844.1	XP_031786737.1, NP_001164380.1
OG0000062	XP_015431874.1	XP_003425371.1
OG0000062	XP_015431820.1	XP_032453005.1, XP_001604985.1
OG0000062	XP_015431815.1	XP_003425370.1
OG0000062	XP_015431817.1, XP_015431876.1	XP_008202211.1
OG0000065	XP_015431269.1	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1
OG0000065	XP_015431271.1, XP_015431347.1	XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2
OG0000066	XP_015434666.1	XP_031784236.1, XP_031781387.2, XP_016843120.1, XP_031784228.1
OG0000067	XP_015429287.1	XP_001605420.2
OG0000067	XP_015435565.1	XP_031788440.1
OG0000067	XP_015435216.1	XP_031782248.1
OG0000067	XP_015439239.1	XP_008209138.1
OG0000069	XP_015435554.1	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1
OG0000070	XP_015436275.1	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2
OG0000071	XP_015438117.1, XP_015437901.1, XP_015434022.1, XP_015435159.1	XP_032455647.1, XP_032455648.1, XP_031784195.1, XP_031785865.1, XP_016845893.1
OG0000072	XP_015437903.1	XP_031789247.1
OG0000073	XP_015435659.1	XP_031786450.1, XP_003428114.1, XP_003428113.1
OG0000074	XP_015432069.1	XP_008207498.1, XP_031787381.1
OG0000077	XP_015436389.1	XP_003423914.1
OG0000077	XP_015435143.1	XP_001605700.1, XP_008203901.1
OG0000079	XP_015431758.1, XP_015431759.1, XP_015431761.1	XP_031783468.1
OG0000080	XP_015432762.1	XP_016838697.1, XP_001600017.1
OG0000080	XP_015430277.1	XP_001600048.1
OG0000080	XP_015432781.1	XP_016838620.1
OG0000081	XP_015437926.1	NP_001164391.1, NP_001177501.1, XP_031786138.1
OG0000082	XP_015434043.1	XP_016845753.1
OG0000083	XP_015434759.1, XP_015437063.1, XP_015437856.1, XP_015438077.1, XP_015437811.1, XP_015430607.1	XP_031788378.1, XP_031783911.1
OG0000084	XP_015429441.1	XP_001600141.2
OG0000084	XP_015429460.1	NP_001161311.1
OG0000085	XP_015439820.1	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1
OG0000086	XP_015439351.1	XP_031786740.1, NP_001166061.1
OG0000086	XP_015439307.1	XP_008218019.2
OG0000087	XP_015433138.1	NP_001153410.1
OG0000087	XP_015433161.1	NP_001153411.1
OG0000087	XP_015433219.1, XP_015433217.1, XP_015433218.1	XP_001603938.2
OG0000087	XP_015433159.1	XP_003425364.1, XP_001604204.2
OG0000089	XP_015429642.1, XP_015429641.1, XP_015429643.1, XP_015429644.1	XP_016843743.1
OG0000089	XP_015438011.1	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2
OG0000090	XP_015437127.1	XP_031781279.1, XP_031785958.1
OG0000091	XP_015428722.1, XP_015428720.1, XP_015428718.1	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2
OG0000092	XP_015431194.1	NP_001153343.1
OG0000092	XP_015432408.1	XP_001599003.1
OG0000093	XP_015434213.1, XP_015436654.1	XP_008205782.1, XP_008212379.1, XP_031788023.1
OG0000093	XP_015434215.1, XP_015429653.1	XP_031789189.1
OG0000093	XP_015431878.1	XP_031788001.1, XP_031783867.1, XP_008205373.1, XP_031789320.1, XP_016841922.2, XP_031789146.1, XP_031781374.1, XP_031788904.1
OG0000094	XP_015432992.1	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1
OG0000094	XP_015432272.1	XP_001605100.1
OG0000094	XP_015430372.1	XP_001600571.1
OG0000095	XP_015436624.1, XP_015436625.1	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1
OG0000096	XP_015438977.1	XP_008209422.1
OG0000096	XP_015439740.1	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1
OG0000097	XP_015428851.1, XP_015428850.1, XP_015428848.1	XP_001600781.1
OG0000097	XP_015439293.1, XP_015439294.1	NP_001166227.1, XP_008208182.1
OG0000098	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1
OG0000099	XP_015434840.1	XP_008207065.2
OG0000099	XP_015439443.1	XP_031785392.1
OG0000100	XP_015432704.1, XP_015432705.1	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1
OG0000101	XP_015429187.1	XP_016842653.2
OG0000101	XP_015437434.1, XP_015434419.1	XP_001603117.1, NP_001166254.1, XP_008211083.1, NP_001155060.1
OG0000102	XP_015437466.1	XP_031786135.1
OG0000102	XP_015437463.1	XP_031786805.1
OG0000103	XP_015431354.1	XP_031786310.1, XP_001604969.2
OG0000106	XP_015430089.1	NP_001177643.1, NP_001177620.1, NP_001177621.1
OG0000108	XP_015431062.1	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1
OG0000109	XP_015429717.1	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1
OG0000110	XP_015438727.1, XP_015438930.1	XP_008201867.1
OG0000111	XP_015434178.1	XP_008217621.1, XP_008217622.1, XP_016837442.1
OG0000111	XP_015430891.1	XP_001605587.3
OG0000112	XP_015437727.1	XP_003425489.1
OG0000112	XP_015439824.1	XP_031780635.1
OG0000113	XP_015431174.1	XP_031785048.1, XP_001599906.1, XP_008208626.1
OG0000113	XP_015436887.1, XP_015436888.1	XP_001603394.1, XP_008204873.1, XP_001603447.1
OG0000114	XP_015439692.1, XP_015439905.1	XP_031785569.1, NP_001155077.1
OG0000114	XP_015439901.1	XP_031788613.1, NP_001155043.1, XP_032454692.1
OG0000115	XP_015431679.1, XP_015431680.1, XP_015439194.1	NP_001165922.1, NP_001165921.1, NP_001165923.1
OG0000115	XP_015431789.1, XP_015431678.1	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1
OG0000116	XP_015436046.1, XP_015436326.1	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1
OG0000117	XP_015435315.1	XP_003424885.1
OG0000117	XP_015436200.1	XP_016845279.1, XP_003428202.1, XP_008214870.1
OG0000119	XP_015436224.1, XP_015436228.1, XP_015436225.1	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1
OG0000122	XP_015433447.1	XP_001604760.1
OG0000122	XP_015431901.1	XP_031780275.1
OG0000122	XP_015431893.1	XP_001603886.1, XP_008216017.2
OG0000123	XP_015435654.1, XP_015435655.1	XP_032452434.1, XP_001602993.1
OG0000124	XP_015437181.1	XP_031781470.1
OG0000125	XP_015440379.1, XP_015440359.1, XP_015440376.1, XP_015440360.1	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1
OG0000126	XP_015428496.1	XP_031784298.1, NP_001161164.1
OG0000127	XP_015432901.1, XP_015432902.1, XP_015432903.1	XP_031782271.1, XP_031782270.1
OG0000128	XP_015433463.1	XP_008213153.2, XP_031781757.1, XP_016839119.2, XP_031781536.1
OG0000129	XP_015436027.1	XP_032454413.1, XP_016839449.1
OG0000130	XP_015429842.1	XP_031776696.1
OG0000131	XP_015436559.1	NP_001153335.1, XP_032458192.1
OG0000131	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1
OG0000132	XP_015437606.1	XP_031780045.1, XP_032453407.1
OG0000132	XP_015431599.1	XP_016837749.1
OG0000133	XP_015434318.1	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1
OG0000135	XP_015439063.1	XP_001603134.1
OG0000135	XP_015435320.1, XP_015435321.1	XP_001603371.1
OG0000136	XP_015437319.1, XP_015436484.1, XP_015438169.1	XP_008208307.1
OG0000137	XP_015433288.1	XP_016841737.2
OG0000138	XP_015429248.1, XP_015429192.1	XP_031787653.1, XP_001605659.1
OG0000139	XP_015435212.1	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1
OG0000140	XP_015439249.1	XP_003424447.1
OG0000141	XP_015435225.1	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1
OG0000142	XP_015433594.1, XP_015433595.1	XP_031788758.1, NP_001177427.1, NP_001177428.1
OG0000143	XP_015429124.1	XP_008203875.1
OG0000143	XP_015429114.1	XP_003425736.1, XP_001605275.2, XP_032454553.1
OG0000144	XP_015428670.1	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1
OG0000144	XP_015428727.1	NP_001164332.1
OG0000145	XP_015436844.1	XP_001607062.1
OG0000145	XP_015431112.1	XP_001602428.1
OG0000146	XP_015432760.1	XP_016840249.1
OG0000146	XP_015435877.1	XP_032452549.1, XP_001602324.1
OG0000147	XP_015435294.1, XP_015435295.1	XP_001600440.1
OG0000147	XP_015439801.1	XP_001602387.1
OG0000149	XP_015435823.1	XP_001606233.2
OG0000149	XP_015435834.1	XP_016840414.1, XP_008211722.2
OG0000150	XP_015432205.1	XP_031781028.1, XP_031781038.1, XP_032457432.1
OG0000151	XP_015429673.1, XP_015429674.1, XP_015429675.1	XP_003426709.1
OG0000152	XP_015433494.1	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1
OG0000153	XP_015439140.1	XP_031778705.1, XP_031778704.1, XP_031778706.1
OG0000154	XP_015436141.1	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1
OG0000156	XP_015429868.1	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1
OG0000157	XP_015433605.1	XP_032456198.1, XP_031788611.1
OG0000158	XP_015439979.1	XP_016840739.1, XP_031785765.1, XP_016840738.1
OG0000160	XP_015437280.1	XP_008204617.1
OG0000160	XP_015436859.1, XP_015436868.1	XP_003424871.1, XP_003424872.1
OG0000161	XP_015432556.1	XP_001602765.2, XP_031779585.1
OG0000162	XP_015435684.1	NP_001234904.1, XP_031787426.1
OG0000162	XP_015439554.1	XP_031789332.1, NP_001234893.1
OG0000164	XP_015437865.1, XP_015437659.1, XP_015437774.1	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1
OG0000165	XP_015435493.1	XP_008211085.1
OG0000166	XP_015435053.1	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1
OG0000168	XP_015435199.1	XP_008207992.2
OG0000168	XP_015430998.1	XP_031785658.1
OG0000170	XP_015439592.1	XP_032453170.1
OG0000170	XP_015439591.1, XP_015439594.1	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2
OG0000171	XP_015434404.1, XP_015434466.1	XP_016838928.1, XP_001608062.2, XP_031780002.1
OG0000172	XP_015432146.1	XP_031789541.1
OG0000173	XP_015434867.1, XP_015434866.1, XP_015434871.1, XP_015434870.1, XP_015434869.1, XP_015434868.1	XP_031787440.1, NP_001153423.1, NP_001153422.1
OG0000174	XP_015438965.1	XP_001600210.1
OG0000176	XP_015428971.1	NP_001127789.1
OG0000177	XP_015435549.1	XP_001606472.1
OG0000177	XP_015435485.1	XP_008210134.1
OG0000177	XP_015435546.1	XP_003427240.1
OG0000178	XP_015438494.1	XP_031787092.1
OG0000179	XP_015436506.1	XP_001604591.1
OG0000179	XP_015434426.1	XP_032451900.1, XP_001607038.1, XP_032451901.1
OG0000180	XP_015430454.1, XP_015430456.1, XP_015430455.1, XP_015430457.1	XP_008206406.1, XP_001606981.2
OG0000181	XP_015440531.1	XP_001600458.2, XP_008214574.1, XP_008214578.1, XP_016845255.1
OG0000182	XP_015436232.1	XP_001601987.2, XP_016841479.1, XP_016841478.1, XP_031787113.1, XP_031787104.1, XP_031787105.1, XP_031787106.1, XP_031787109.1, XP_031787110.1, XP_031787111.1, XP_031787112.1, XP_008205687.1, XP_008205678.1, XP_031787103.1
OG0000183	XP_015431052.1	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1
OG0000183	XP_015435715.1	XP_001603387.1
OG0000184	XP_015432847.1	NP_001177442.1, XP_031786125.1, NP_001177456.1, NP_001177454.1, NP_001177455.1, NP_001177445.1, NP_001177448.1, NP_001177447.1, XP_031786129.1, NP_001177452.1, NP_001177453.1, NP_001177446.1, XP_032454720.1, NP_001177450.1, NP_001164388.1, NP_001177421.1, NP_001177422.1, XP_016845192.1, NP_001177460.1, NP_001177457.1, NP_001177449.1, NP_001177451.1, NP_001164464.1, NP_001177642.1, XP_031786111.1, NP_001177697.1, NP_001177444.1, NP_001177458.1, NP_001177459.1, NP_001177443.1, NP_001177441.1
OG0000185	XP_015434150.1, XP_015434133.1	XP_008202977.1
OG0000185	XP_015434039.1	XP_032452589.1, NP_001136331.1, XP_008202533.1
OG0000186	XP_015434985.1, XP_015434960.1, XP_015434988.1, XP_015434990.1	XP_008214191.1, NP_001165994.1
OG0000187	XP_015436316.1	XP_016840762.1, XP_032455395.1, XP_032455396.1, XP_032455397.1, XP_008211394.1, XP_008211389.1, XP_031785200.1
OG0000188	XP_015428433.1	XP_031783182.1, XP_016839660.1
OG0000188	XP_015431689.1	XP_001604859.1
OG0000189	XP_015429531.1	XP_016838483.1, XP_031781823.1
OG0000189	XP_015429076.1	XP_031781874.1
OG0000190	XP_015440287.1, XP_015440288.1, XP_015440289.1	XP_008201771.1, XP_032456089.1, XP_032456090.1, XP_032456086.1, XP_001605005.1, XP_032456093.1, XP_032456091.1, XP_032456092.1, XP_032456087.1, XP_032456088.1, XP_001604983.1, XP_003425264.1, XP_008201772.1, XP_032456085.1, XP_008201769.1, XP_032456082.1, XP_032456084.1, XP_032456083.1, XP_008201770.1
OG0000191	XP_015434794.1	XP_008207212.2
OG0000192	XP_015433091.1	XP_031780067.1, XP_031780066.1
OG0000194	XP_015439485.1	NP_001166262.1
OG0000194	XP_015439482.1	XP_003426834.1
OG0000194	XP_015439483.1	NP_001166261.1
OG0000194	XP_015439487.1	NP_001161280.1, XP_032451902.1
OG0000195	XP_015432263.1, XP_015432088.1	XP_008203346.1, XP_008203347.1
OG0000195	XP_015428493.1	XP_003424961.1
OG0000196	XP_015432167.1	XP_003423952.1, XP_008215430.1
OG0000196	XP_015437821.1	XP_008215207.1
OG0000197	XP_015439072.1, XP_015439073.1, XP_015439149.1	XP_016837276.1, XP_016837275.1, NP_001155183.1, XP_016837279.1, XP_016837277.1, XP_032452047.1, XP_031777742.1, XP_031777741.1, XP_031777743.1
OG0000200	XP_015435653.1	XP_001601256.2
