Orthogroup	Tribolium_castaneum	Nomia_melanderi
OG0000116	XP_015837656.1	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1, XP_031837730.1
OG0000117	XP_008198411.1	XP_031840830.1
OG0000117	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1
OG0000119	NP_001157311.1	XP_031848621.1, XP_031848628.1, XP_031848630.1, XP_031848631.1
OG0000120	XP_015838347.1	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1
OG0000122	XP_015834556.1	XP_031848880.1
OG0000122	XP_008192222.1	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1
OG0000122	XP_008190630.1, XP_970917.2, NP_001280526.1	XP_031833934.1
OG0000123	XP_001813105.1	XP_031829219.1
OG0000124	XP_015834874.1	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1
OG0000125	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1	XP_031839027.1, XP_031839025.1, XP_031838819.1, XP_031838775.1
OG0000126	NP_001034505.1	XP_031846352.1
OG0000127	XP_008201644.1	XP_031849581.1, XP_031849592.1, XP_031846850.1
OG0000129	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1	XP_031848648.1, XP_031848647.1
OG0000130	XP_008200084.1, XP_001811552.1	XP_031826226.1, XP_031826291.1
OG0000130	XP_008200083.1	XP_031826201.1
OG0000131	XP_001808435.1	XP_031828484.1
OG0000131	XP_008198189.1, XP_968387.1, XP_008198188.1	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1
OG0000132	XP_008198166.1, XP_015839207.1	XP_031829308.1
OG0000133	XP_975308.3	XP_031836871.1, XP_031836868.1
OG0000133	XP_015840591.1	XP_031827303.1, XP_031827306.1
OG0000134	XP_008201435.1	XP_031832250.1
OG0000135	XP_015833857.1, XP_008194086.1	XP_031837271.1
OG0000135	XP_008190640.1, XP_008190639.1	XP_031839483.1
OG0000135	NP_001153713.1	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1
OG0000136	XP_971514.1, XP_971572.1	XP_031828129.1, XP_031828130.1, XP_031827941.1, XP_031829540.1
OG0000137	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1	XP_031838894.1, XP_031830054.1, XP_031830055.1, XP_031830052.1
OG0000138	XP_015840574.1, XP_967720.2, XP_015840573.1	XP_031839076.1, XP_031839079.1
OG0000139	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1	XP_031836046.1, XP_031836045.1, XP_031836044.1, XP_031836043.1, XP_031836055.1, XP_031836054.1
OG0000140	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1	XP_031832920.1
OG0000141	XP_015833202.1	XP_031837195.1
OG0000143	XP_008192676.1	XP_031839633.1, XP_031839547.1
OG0000144	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1	XP_031829750.1, XP_031829749.1, XP_031829842.1
OG0000145	XP_008193348.1	XP_031837412.1
OG0000146	XP_966544.1, XP_001811608.2	XP_031825439.1
OG0000146	XP_974294.1	XP_031844338.1
OG0000147	XP_966688.1	XP_031846647.1
OG0000150	XP_015838556.1, XP_015838555.1, XP_015838554.1	XP_031826266.1, XP_031826326.1
OG0000151	XP_969439.1, XP_015840091.1	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1
OG0000152	XP_966734.2	XP_031830368.1
OG0000153	XP_970869.1, XP_008195606.1	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1
OG0000154	XP_008195104.1	XP_031838095.1
OG0000156	XP_008199571.1, XP_008199569.1, XP_008199570.1	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1
OG0000157	NP_001161084.1, XP_008194710.1, NP_001161130.1	XP_031827834.1, XP_031827676.1
OG0000158	XP_008198818.1	XP_031833446.1, XP_031833445.1
OG0000160	XP_008199283.1	XP_031835553.1
OG0000160	XP_967023.4	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1
OG0000161	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3	XP_031840747.1, XP_031840748.1, XP_031840749.1
OG0000162	XP_008201498.1, NP_001103246.1	XP_031844217.1
OG0000162	NP_001103245.1	XP_031846677.1, XP_031846685.1
OG0000164	XP_015833602.1, XP_015840341.1, XP_015833616.1	XP_031838886.1, XP_031838889.1, XP_031838888.1
OG0000165	XP_008192571.1	XP_031845761.1
OG0000165	XP_974173.2	XP_031849879.1
OG0000166	XP_008199436.1, XP_008199431.1	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1
OG0000168	XP_015838873.1, NP_001107841.1	XP_031842375.1
OG0000169	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1	XP_031828486.1
OG0000170	XP_008193117.1, XP_008193116.1	XP_031847930.1, XP_031847931.1, XP_031847927.1, XP_031847933.1
OG0000171	XP_971346.1, XP_015836633.1	XP_031825968.1, XP_031826361.1, XP_031826360.1, XP_031826362.1
OG0000173	XP_008194517.1	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1
OG0000174	XP_015838513.1	XP_031832594.1, XP_031832593.1, XP_031832592.1
OG0000175	XP_974770.1, XP_015836695.1	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1
OG0000176	XP_008195214.1	XP_031839720.1
OG0000177	XP_971910.1	XP_031850035.1
OG0000177	XP_008194311.1	XP_031849982.1, XP_031849983.1
OG0000177	XP_972019.2	XP_031849977.1, XP_031849980.1
OG0000178	XP_008200484.2, XP_015835582.1	XP_031843734.1
OG0000179	XP_008194977.1	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1
OG0000179	XP_966308.2	XP_031842123.1
OG0000180	XP_976031.1, XP_008200320.1	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1
OG0000181	NP_001280548.1, XP_008193833.1	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1
OG0000182	XP_015832992.1	XP_031841728.1
OG0000183	XP_975025.1	XP_031838925.1
OG0000183	XP_970665.1	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1
OG0000184	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3	XP_031846910.1
OG0000185	XP_008197397.1	XP_031829650.1, XP_031829646.1, XP_031829645.1, XP_031829647.1
OG0000186	XP_008199126.1, XP_008199118.1, XP_015835450.1	XP_031834869.1
OG0000187	XP_975362.1	XP_031844556.1, XP_031844565.1, XP_031844499.1, XP_031844479.1, XP_031844458.1, XP_031844469.1, XP_031844528.1, XP_031844537.1, XP_031844547.1, XP_031844448.1, XP_031844518.1, XP_031844439.1, XP_031844509.1, XP_031844574.1, XP_031844582.1, XP_031844489.1
OG0000188	XP_008197500.1	XP_031843391.1
OG0000188	XP_967501.2	XP_031834431.1
OG0000189	XP_008198457.1, XP_008193919.1	XP_031837615.1
OG0000190	XP_015839424.1, XP_968802.1	XP_031829381.1, XP_031829385.1, XP_031829383.1, XP_031829384.1, XP_031829386.1
OG0000191	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2	XP_031843261.1
OG0000192	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1	XP_031847208.1
OG0000194	XP_008193011.1	XP_031843496.1, XP_031843495.1
OG0000194	NP_001280525.1	XP_031848879.1, XP_031843507.1, XP_031838309.1
OG0000196	XP_969047.2	XP_031841275.1
OG0000196	XP_967948.2	XP_031836104.1, XP_031836105.1, XP_031836106.1, XP_031836107.1, XP_031836103.1
OG0000197	XP_015837925.1	XP_031837253.1, XP_031837082.1
OG0000198	XP_008196149.1	XP_031827645.1, XP_031827644.1
OG0000200	XP_974164.1	XP_031827782.1
OG0000200	XP_967143.1, XP_015839106.1, XP_974030.1	XP_031849412.1, XP_031849414.1
OG0000201	XP_015833113.1	XP_031831080.1
OG0000202	XP_008196489.1, XP_008196491.1, XP_008196490.1	XP_031842338.1, XP_031842336.1, XP_031842337.1, XP_031842339.1
OG0000203	XP_972061.1	XP_031831628.1, XP_031831625.1, XP_031831627.1, XP_031831626.1
OG0000204	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1	XP_031827654.1, XP_031827655.1, XP_031827656.1, XP_031827653.1
OG0000205	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2	XP_031844495.1, XP_031844500.1, XP_031844501.1
OG0000206	XP_975174.1	XP_031826752.1
OG0000206	XP_967870.1	XP_031826808.1, XP_031826811.1, XP_031826810.1, XP_031826809.1
OG0000207	XP_008190794.1	XP_031841289.1, XP_031841290.1
OG0000208	NP_001034487.2, XP_008199220.1	XP_031841274.1
OG0000209	XP_015833617.1	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1
OG0000210	XP_008196393.1	XP_031838858.1
OG0000210	XP_008194608.1, XP_973007.1	XP_031847872.1
OG0000210	XP_015838316.1, XP_971337.1	XP_031833724.1
