Orthogroup	Tribolium_castaneum	Solenopsis_invicta
OG0000003	XP_015836638.1	XP_039311338.1
OG0000004	XP_015834342.1	XP_039303478.1, XP_039305759.1, XP_025989297.2
OG0000006	XP_015840913.1, XP_015839886.1, XP_015840914.1, XP_015839882.1, XP_015840915.1, XP_015838120.1, XP_015833039.1, XP_015838103.1, XP_008197157.2, XP_015838111.1, XP_015838098.1, XP_015833153.1, XP_015833154.1, XP_015838097.1, XP_015838114.1, XP_015837672.1, XP_015837670.1, XP_015833429.1, XP_015833045.1, XP_015833034.1, XP_015838052.1, XP_015838051.1, XP_015834939.1	XP_039311113.1
OG0000007	XP_015837969.1	XP_039304377.1, XP_039310340.1, XP_039308911.1
OG0000008	XP_972338.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_969421.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_008191987.1, XP_972532.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_972430.2	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_015836551.1, XP_015836552.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_008191970.1	XP_039305528.1
OG0000009	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1, XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1, XP_011172780.1, XP_011160035.1, XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000012	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1	XP_011166798.2, XP_039314082.1
OG0000012	XP_008192552.1	XP_025991007.1
OG0000013	XP_969677.1	XP_011165753.2
OG0000013	XP_966487.1	XP_011166327.1
OG0000013	XP_008197392.1	XP_011158467.1, XP_011158466.1, XP_039315701.1
OG0000014	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1	XP_011156264.2, XP_011163196.1
OG0000015	XP_008199215.1, XP_015840019.1	XP_039311973.1, XP_025997032.2, XP_039303427.1
OG0000016	XP_015840352.1, XP_015840124.1	XP_025994129.1, XP_039306761.1, XP_039313966.1, XP_039309074.1, XP_039304382.1, XP_039314252.1, XP_039306750.1, XP_039304356.1, XP_039301762.1, XP_039309915.1, XP_039303543.1, XP_039303418.1, XP_039303421.1, XP_039309887.1, XP_039304375.1, XP_039308808.1, XP_025991342.1, XP_039308631.1
OG0000017	XP_015834775.1, XP_974273.1	XP_039311373.1, XP_025996377.1
OG0000018	XP_008200429.1	XP_025993846.1, XP_039312756.1
OG0000018	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1
OG0000018	XP_008194092.1, XP_969781.1	XP_011168181.2, XP_011168177.2
OG0000019	XP_975378.1	XP_025990211.2
OG0000019	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1
OG0000019	XP_973324.1	XP_025993384.1, XP_025996194.1, XP_039304954.1, XP_011171050.2, XP_011171052.2, XP_039306693.1, XP_011163180.2, XP_039309449.1, XP_025993961.1, XP_025987780.2, XP_025987781.2, XP_025987782.2, XP_039314384.1, XP_039314385.1
OG0000019	XP_972874.1, XP_015834337.1, XP_008192577.2	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_008201408.1	XP_011159576.2
OG0000021	XP_015838406.1, XP_015838407.1, XP_008197201.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_015838169.1	XP_011162935.1
OG0000021	XP_008197404.1	XP_011159438.1
OG0000021	XP_008197203.1, XP_969207.1	XP_025991392.1
OG0000022	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1	XP_011163652.1
OG0000024	XP_970056.2	XP_025991932.1
OG0000026	XP_015833705.1	XP_039304799.1
OG0000026	XP_008193329.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000028	XP_015836641.1	XP_011170007.1, XP_011176359.1, XP_039302918.1
OG0000029	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1	XP_011175216.3, XP_011175277.3
OG0000029	XP_015840495.1, XP_008201389.1, XP_008201390.1	XP_025987625.1, XP_025994361.1
OG0000030	XP_966905.1	XP_025986100.1
OG0000030	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000032	XP_008199233.1	XP_039305331.1, XP_011173570.2
OG0000032	XP_008197173.2	XP_025991246.2
OG0000032	XP_969958.1, XP_970026.1	XP_011159466.2, XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000035	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1	XP_039312187.1
OG0000035	XP_973091.2, XP_008190471.1, XP_015838951.1	XP_025987669.2
OG0000036	XP_967476.1, XP_001811753.1	XP_011166052.2, XP_011166051.2, XP_011166050.1, XP_011166049.1
OG0000037	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1	XP_011161783.1
OG0000038	XP_966584.1	XP_011174246.2
OG0000040	NP_001161088.1	XP_011164376.1, XP_011164378.1, XP_011157958.2, XP_011160398.1, XP_011156988.3, XP_011156956.1, XP_039307920.1
OG0000040	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1, XP_011155958.2, XP_025987203.2, XP_011170816.1
OG0000041	NP_001165843.1	XP_011173672.1
OG0000041	NP_001165844.1	XP_011173741.1
OG0000041	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1	XP_039304943.1, XP_039304942.1, XP_011173639.1, XP_011173634.1, XP_011173641.1
OG0000041	XP_967305.1	XP_011167847.1
OG0000042	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1	XP_025993436.2, XP_025988401.1, XP_025988400.1
OG0000042	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1	XP_025993549.1, XP_011172554.1
OG0000043	XP_008193777.1, NP_001039289.1	XP_011166108.1
OG0000043	NP_001039279.1, NP_001039280.1, NP_001039278.1	XP_011172450.1
OG0000044	XP_008200957.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_015834974.1, XP_015834972.1	XP_011157503.2, XP_011156768.2, XP_025992324.2
OG0000046	XP_008200986.2, XP_015838368.1	XP_011168512.1
OG0000046	XP_966611.1	XP_011168531.1, XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000047	XP_015839407.1, XP_015839283.1, XP_008200958.2	XP_039311272.1, XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1, XP_039302440.1
OG0000049	XP_015839705.1, XP_015837946.1, XP_015840443.1	XP_039303155.1
OG0000050	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000051	XP_015840160.1, XP_015838855.1, XP_015838856.1	XP_011172686.3
OG0000052	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1	XP_039313337.1
OG0000052	XP_008197196.2, XP_008197191.1	XP_011160846.1
OG0000054	XP_970381.1	XP_011164215.1, XP_011164214.2
OG0000055	XP_971821.3	XP_039311167.1
OG0000055	XP_969454.3	XP_039311121.1
OG0000055	XP_008194095.1	XP_011162045.1
OG0000056	XP_015835680.1	XP_039301684.1, XP_025992809.2
OG0000056	XP_008197222.1	XP_011167471.3
OG0000056	XP_015834565.1	XP_039313454.1
OG0000056	XP_015839288.1	XP_039306715.1
OG0000057	XP_967267.1	XP_011165693.1
OG0000057	XP_969993.1	XP_011161996.1
OG0000057	XP_967348.1	XP_011165692.1
OG0000060	XP_008194927.2	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_969936.2	XP_039302873.1, XP_039310102.1
OG0000062	XP_968760.1	XP_025989351.2
OG0000063	XP_015837412.1	XP_025994603.1, XP_039315362.1, XP_025997464.2, XP_039310407.1, XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2, XP_039303555.1, XP_025989898.1, XP_011171877.1, XP_039306356.1, XP_039309572.1, XP_039315364.1, XP_039304184.1
OG0000065	XP_015834020.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000065	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1	XP_039308740.1, XP_011176028.1, XP_011176027.2, XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1
OG0000066	XP_015839951.1, XP_015837849.1, XP_015839954.1, XP_015840122.1, XP_015839271.1, XP_015839922.1, XP_015837699.1, XP_008192464.1	XP_039309173.1
OG0000066	XP_015840033.1	XP_039306035.1, XP_039312738.1, XP_039302943.1
OG0000067	XP_008200210.1	XP_011168949.1
OG0000067	XP_008198995.1	XP_025989655.1
OG0000068	XP_015840125.1, XP_015837077.1, XP_015840120.1	XP_039307749.1, XP_025991341.2, XP_039305707.1, XP_025997530.1, XP_039310468.1, XP_025995817.1, XP_039303333.1, XP_039311052.1, XP_011170894.1
OG0000069	XP_008191789.1	XP_039305623.1, XP_025987486.1
OG0000071	XP_015835156.1	XP_039312667.1, XP_025987085.2, XP_039303086.1, XP_039302962.1
OG0000072	XP_015839914.1, XP_015840429.1	XP_039305208.1, XP_039302106.1, XP_039314684.1, XP_039310588.1, XP_039304519.1
OG0000072	XP_015840428.1	XP_011174276.1, XP_039303571.1
OG0000072	XP_015840056.1, XP_008198792.1, XP_015839243.1	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1
OG0000074	XP_015837890.1, XP_970945.2	XP_025985929.1
OG0000076	XP_015840141.1	XP_039312428.1, XP_011164066.1, XP_039303422.1
OG0000077	XP_008200285.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_008194480.2, XP_971466.1, XP_015836196.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000079	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1	XP_025987034.1, XP_025987035.1
OG0000080	XP_971544.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_015839289.1	XP_025995013.1
OG0000080	XP_015838833.1, XP_968784.1, XP_008199652.2	XP_011173727.1
OG0000081	XP_015833047.1	XP_039314714.1, XP_039314329.1, XP_025987230.1, XP_039314328.1, XP_039314324.1, XP_011174507.3, XP_025987271.2, XP_011174500.3, XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2
OG0000082	XP_008196787.1, XP_008196786.1	XP_011158501.1, XP_039315682.1, XP_039315686.1, XP_039315687.1, XP_039315688.1, XP_039315689.1, XP_039315684.1, XP_039315685.1, XP_011158493.1, XP_011158531.2
OG0000084	XP_008194205.2	XP_011155841.2, XP_011155844.1, XP_039310256.1, XP_011155840.3
OG0000084	XP_008194337.1, XP_969263.1	XP_011155335.1
OG0000085	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1	XP_025987478.1, XP_025987477.1
OG0000086	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	XP_008194263.2	XP_011155770.1
OG0000086	XP_008200062.1, XP_015834290.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2	XP_025989498.1, XP_011170042.2
OG0000088	XP_015837887.1	XP_025996218.1, XP_039311698.1
OG0000089	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000091	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_008198926.1	XP_011165503.1
OG0000092	XP_967128.1	XP_011175720.1, XP_011175721.1, XP_011175719.1
OG0000093	XP_008198969.1	XP_011169943.1, XP_011174429.2, XP_039309916.1, XP_039304381.1, XP_039303396.1, XP_025991744.2, XP_039309657.1, XP_025997554.2, XP_039302323.1, XP_039302122.1, XP_025997695.2, XP_039308825.1, XP_039312413.1, XP_039313509.1, XP_039303479.1, XP_011161917.1, XP_039303354.1, XP_011164915.1
OG0000094	XP_008194293.1	XP_039303166.1
OG0000095	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1
OG0000096	XP_970191.2	XP_011156409.1, XP_039313932.1
OG0000096	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1	XP_039306601.1
OG0000097	XP_966355.1, XP_008200463.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1
OG0000098	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1	XP_025996352.1
OG0000099	XP_973444.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_967359.1	XP_039314426.1
OG0000099	XP_008198312.1	XP_011164670.2
OG0000101	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1	XP_011159599.3
OG0000101	XP_968658.1, XP_008190341.1, XP_968586.1	XP_025989569.1
OG0000102	XP_015836203.1, XP_972020.3, XP_971968.1	XP_025989688.2, XP_025989699.1, XP_011164886.1, XP_011164887.1, XP_039303339.1, XP_039303337.1, XP_025989702.1, XP_025989701.1, XP_025989700.1, XP_011164888.1, XP_025989703.1
OG0000103	NP_001121967.1	XP_011161395.1
OG0000105	XP_015840325.1	XP_039310031.1, XP_039303471.1, XP_039310412.1, XP_039306389.1, XP_025997867.2, XP_039310743.1, XP_039310753.1, XP_039313503.1, XP_039301769.1, XP_039312987.1, XP_025995502.1, XP_011166079.2, XP_039303450.1, XP_039312390.1, XP_039310739.1, XP_039315286.1, XP_039312441.1, XP_025987801.1, XP_039309125.1, XP_039313023.1, XP_039303458.1, XP_039309067.1, XP_039304369.1, XP_039315571.1, XP_039303518.1, XP_039303508.1, XP_039303373.1, XP_025997523.1, XP_039307882.1, XP_025996893.2, XP_039312414.1, XP_039309056.1, XP_039307970.1, XP_011162286.1, XP_011174022.1, XP_011166552.2, XP_011162411.1, XP_011172228.1, XP_011171549.1, XP_011170860.2, XP_025996956.1, XP_011168888.1, XP_039309061.1, XP_011173815.1
OG0000107	XP_974139.1, XP_008198278.1	XP_039312138.1, XP_039303442.1, XP_039312990.1, XP_011172705.3, XP_039303394.1, XP_011165454.2, XP_039304368.1, XP_039305207.1, XP_039315443.1, XP_039315444.1, XP_039306758.1, XP_039306315.1, XP_039315665.1, XP_039315620.1, XP_039305556.1, XP_039315020.1
OG0000108	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1	XP_025985914.1
OG0000109	XP_008200716.1	XP_011157413.1, XP_011157412.1
OG0000110	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1	XP_039301713.1, XP_011165202.1, XP_025990766.2, NP_001291520.1
OG0000112	XP_008191265.1	XP_025989590.2
OG0000113	XP_967872.2, XP_008198495.1, XP_008198500.1	XP_011169897.1, XP_011176341.1, XP_011176387.1
OG0000114	XP_015836792.1, XP_015836794.1	XP_011161124.1
OG0000114	XP_008195366.2, XP_015837027.1, XP_015837028.1	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1	NP_001291541.1, XP_011165645.2, XP_011165643.1, XP_011165649.2, XP_011165650.1
OG0000116	XP_015837656.1	XP_011158331.1, XP_039303768.1, XP_039303766.1
OG0000117	XP_008198411.1	XP_011157894.1
OG0000117	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1	XP_011170972.1, XP_011170971.1
OG0000118	XP_015834547.1, XP_008200548.1, XP_015834543.1, XP_015833294.1, XP_015835116.1, XP_015840487.1, XP_015834751.1, XP_008200539.1, XP_015835309.1, XP_015837361.1	XP_011169789.1, XP_039310497.1
OG0000119	NP_001157311.1	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1
OG0000120	XP_015838347.1	XP_011175144.2
OG0000121	XP_008191076.1, XP_015836860.1	XP_039309981.1, XP_011171563.3, XP_039311944.1, XP_039311858.1
OG0000121	XP_008199266.1	XP_039310273.1, XP_011171604.1
OG0000121	XP_015839703.1, XP_015839411.1	XP_011164982.1, XP_039307617.1
OG0000122	XP_015834556.1	XP_039310041.1
OG0000122	XP_008192222.1	XP_039305859.1
OG0000122	XP_008190630.1, XP_970917.2, NP_001280526.1	XP_025995487.2, XP_011173307.2
OG0000123	XP_001813105.1	XP_011169664.1
OG0000124	XP_015834874.1	XP_039302015.1
OG0000125	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1	XP_011166830.1, XP_011166831.1, XP_039307624.1
OG0000126	NP_001034505.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_008201644.1	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000127	NP_001280519.1, XP_015839687.1	XP_039307613.1, XP_039307615.1
OG0000129	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_008200084.1, XP_001811552.1	XP_039309465.1
OG0000130	XP_008200083.1	XP_025991693.1, XP_025991692.1
OG0000131	XP_001808435.1	XP_011159624.1
OG0000131	XP_008198189.1, XP_968387.1, XP_008198188.1	XP_011168548.1, XP_011168539.1
OG0000132	XP_008198166.1, XP_015839207.1	XP_039305040.1, XP_011175354.1
OG0000133	XP_975308.3	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000133	XP_015840591.1	XP_039303648.1
OG0000135	XP_015833857.1, XP_008194086.1	XP_025991427.1
OG0000135	XP_008190640.1, XP_008190639.1	XP_011168086.1
OG0000135	NP_001153713.1	XP_025992521.1
OG0000136	XP_971514.1, XP_971572.1	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1
OG0000137	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1	XP_039302269.1, XP_011164282.1, XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2
OG0000138	XP_015840574.1, XP_967720.2, XP_015840573.1	XP_011156769.2
OG0000139	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1	XP_011163331.1, XP_011163323.1, XP_011163250.1, XP_011163312.2, XP_025992297.2, XP_039315649.1, XP_039315647.1, XP_039301829.1, XP_039315650.1, XP_039302240.1, XP_039302238.1, XP_039302239.1, XP_025994094.1, XP_039304648.1, XP_039304661.1, XP_039304659.1, XP_039304653.1, XP_039304655.1, XP_039304654.1, XP_039304658.1, XP_039304657.1, XP_039304656.1, XP_039304652.1, XP_039304651.1, XP_039304649.1, XP_039304664.1, XP_039304665.1, XP_039304663.1, XP_039304662.1
OG0000140	XP_015836386.1	XP_039311174.1
OG0000141	XP_015833202.1	XP_011172931.2
OG0000141	XP_008193877.2	XP_011173169.1
OG0000143	XP_008192676.1	XP_011158940.1, XP_011158941.1
OG0000144	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1	XP_011155485.2, XP_011155484.1
OG0000145	XP_008193348.1	XP_039310475.1, XP_039310474.1
