Orthogroup	Tribolium_castaneum	Ceratina_calcarata
OG0000044	XP_008200957.1	XP_026675544.1
OG0000045	XP_015834974.1, XP_015834972.1	XP_017885494.1, XP_017885495.1, XP_026672577.1
OG0000046	XP_008200986.2, XP_015838368.1	XP_017880728.1
OG0000046	XP_966611.1	XP_017877146.1, XP_017889622.1
OG0000047	XP_015839407.1, XP_015839283.1, XP_008200958.2	XP_017880334.1, XP_017892805.1, XP_017875626.1, XP_017888678.1, XP_026675543.1
OG0000048	XP_008193917.1	XP_026672955.1
OG0000049	XP_015840032.1, XP_015840259.1, XP_015839930.1, XP_015840220.1, XP_015840324.1, XP_015837476.1, XP_008194621.1	XP_026673634.1
OG0000050	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1, XP_017890628.2
OG0000052	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1	XP_017876353.1, XP_017876352.1, XP_026667536.1
OG0000054	XP_970381.1	XP_017882628.1, XP_017882621.1, XP_017879473.2
OG0000055	XP_971821.3	XP_026669288.1, XP_026670741.1
OG0000055	XP_969454.3	XP_026669873.1
OG0000055	XP_008194095.1	XP_026670737.1
OG0000056	XP_015835680.1	XP_026668599.1
OG0000056	XP_008197222.1	XP_017878877.2
OG0000056	XP_015834565.1	XP_026674744.1
OG0000056	XP_015839288.1	XP_026667107.1
OG0000056	XP_970084.2	XP_026673034.1
OG0000057	XP_967267.1	XP_017893620.1
OG0000057	XP_967348.1	XP_017893591.1
OG0000057	XP_968314.1	XP_026666868.1
OG0000060	XP_008194927.2	XP_017886873.1
OG0000060	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1
OG0000061	XP_969936.2	XP_017875889.1
OG0000061	XP_008197154.2	XP_017878262.1
OG0000062	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1	XP_017884166.1, XP_017884165.1, XP_017883750.1, XP_017889879.1
OG0000063	XP_015837412.1	XP_017879825.1
OG0000065	XP_015834020.1	XP_026668887.1
OG0000065	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1	XP_017879155.1, XP_017882484.1, XP_017882497.1
OG0000066	XP_015839951.1, XP_015837849.1, XP_015839954.1, XP_015840122.1, XP_015839271.1, XP_015839922.1, XP_015837699.1, XP_008192464.1	XP_017893308.1, XP_017886546.1, XP_017892307.1, XP_026666824.1, XP_026673906.1, XP_026674185.1, XP_017892139.2, XP_026672447.1
OG0000067	XP_008200210.1	XP_017879415.1
OG0000067	NP_001164095.1, XP_008200192.1	XP_017890435.1
OG0000067	XP_008198995.1	XP_017875523.1
OG0000069	XP_008191789.1	XP_017891750.1, XP_026674127.1, XP_017886230.2
OG0000072	XP_015839914.1, XP_015840429.1	XP_017885361.1
OG0000077	XP_008200285.1	XP_017875015.1
OG0000077	XP_008194480.2, XP_971466.1, XP_015836196.1	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1
OG0000079	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1	XP_026668250.1
OG0000080	XP_971544.1	XP_017890681.1
OG0000080	XP_015839289.1	XP_017883725.1
OG0000080	XP_015838833.1, XP_968784.1, XP_008199652.2	XP_017890685.1
OG0000081	XP_015833047.1	XP_026674182.1, XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2
OG0000082	XP_008196787.1, XP_008196786.1	XP_017884449.1, XP_017884391.1, XP_017884390.1
OG0000084	XP_008194205.2	XP_017892832.1, XP_017892831.1, XP_017892838.1
OG0000084	XP_008194337.1, XP_969263.1	XP_017886965.1
OG0000085	XP_008190480.1, XP_008190479.1, XP_008190478.1	XP_017890150.1
OG0000085	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1	XP_026671441.1
OG0000086	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1	XP_017886282.1, XP_017890445.1
OG0000086	XP_008200062.1, XP_015834290.1	XP_017889819.1
OG0000087	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2	XP_017889598.1, XP_017889597.1
OG0000087	XP_969383.1	XP_017889543.1, XP_026674171.1
OG0000088	XP_015837887.1	XP_017876693.1
OG0000089	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1
OG0000091	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2	XP_017878945.1, XP_017878947.1, XP_017875917.2
OG0000092	XP_008198926.1	XP_017890756.1
OG0000092	XP_967128.1	XP_017879703.1, XP_026669127.1, XP_017879700.1
OG0000093	XP_008198969.1	XP_017884046.1
OG0000094	XP_008194293.1	XP_017879892.1, XP_017892146.2, XP_017879895.1
OG0000094	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2	XP_026667942.1, XP_017877215.1
OG0000095	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1
OG0000096	XP_970191.2	XP_026671822.1
OG0000096	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1
OG0000097	XP_966355.1, XP_008200463.1	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1
OG0000098	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1
OG0000099	XP_973444.1	XP_017878131.1
OG0000099	XP_967359.1	XP_017882904.1
OG0000099	XP_008198312.1	XP_017889756.1
OG0000100	XP_015833282.1, XP_008190946.1, XP_008190945.1	XP_026672742.1, XP_026672741.1, XP_026672740.1
OG0000101	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1	XP_026672149.1
OG0000101	XP_968658.1, XP_008190341.1, XP_968586.1	XP_017885597.1
OG0000102	XP_015836203.1, XP_972020.3, XP_971968.1	XP_017888807.1, XP_017888735.1
OG0000103	NP_001121967.1	XP_017881956.1
OG0000108	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1
OG0000109	XP_008200716.1	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1
OG0000110	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2	XP_026671942.1, XP_026671669.1, XP_026671670.1, XP_017884745.1
OG0000111	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1	XP_026672562.1, XP_026667865.1, XP_026672563.1, XP_026672556.1, XP_026672555.1, XP_017886302.1, XP_026672564.1, XP_017886304.1, XP_017887546.1
OG0000112	XP_008191265.1	XP_026668642.1, XP_017878656.1, XP_017878658.1
OG0000112	XP_008198195.1, XP_015837714.1	XP_017883504.1, XP_026671066.1
OG0000113	XP_967872.2, XP_008198495.1, XP_008198500.1	XP_017875141.1, XP_017886534.2, XP_017878803.1
OG0000114	XP_008195366.2, XP_015837027.1, XP_015837028.1	XP_017890039.2
OG0000115	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1	XP_017887780.1, XP_017887778.1, XP_017885409.1, XP_017881706.1, XP_017881697.1
OG0000116	XP_015837656.1	XP_017881657.1, XP_026670219.1, XP_017881740.1
OG0000117	XP_008198411.1	XP_017881345.1
OG0000117	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1
OG0000119	NP_001157311.1	XP_017887198.1, XP_017887196.1, XP_017887190.1, XP_026672950.1, XP_017887192.1, XP_026672944.1
OG0000120	XP_015838347.1	XP_026671941.1, XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1
OG0000122	XP_015834556.1	XP_026667849.1
OG0000122	XP_008192222.1	XP_017884012.1
OG0000122	XP_008190630.1, XP_970917.2, NP_001280526.1	XP_017883014.1, XP_017882995.2
OG0000123	XP_001813105.1	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1
OG0000124	XP_015834874.1	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1
OG0000125	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1
OG0000126	NP_001034505.1	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1
OG0000127	XP_008201644.1	XP_017876054.2, XP_017881008.1
OG0000127	NP_001280519.1, XP_015839687.1	XP_026671168.1, XP_026667416.1
OG0000129	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1	XP_026673235.1, XP_026673236.1, XP_017887874.1
OG0000130	XP_008200084.1, XP_001811552.1	XP_017890630.1, XP_017890624.2, XP_026674583.1, XP_026674584.1, XP_026670687.1
OG0000130	XP_008200083.1	XP_026670684.1
OG0000131	XP_001808435.1	XP_017887498.1
OG0000131	XP_008198189.1, XP_968387.1, XP_008198188.1	XP_017887622.1, XP_026673152.1
OG0000132	XP_008198166.1, XP_015839207.1	XP_017878842.1
OG0000133	XP_975308.3	XP_017877510.1
OG0000133	XP_015840591.1	XP_017887809.1, XP_026673220.1
OG0000134	XP_008201435.1	XP_026667909.1
OG0000135	XP_008190640.1, XP_008190639.1	XP_026673412.1
OG0000135	NP_001153713.1	XP_026669661.1
OG0000136	XP_971514.1, XP_971572.1	XP_026675214.1, XP_017892253.1
OG0000137	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1	XP_026670973.1, XP_026670220.1, XP_026675240.1
OG0000138	XP_015840574.1, XP_967720.2, XP_015840573.1	XP_017885549.1, XP_026672117.1, XP_017885589.1, XP_017885588.1, XP_017885587.1
OG0000139	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1	XP_026673554.1
OG0000140	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1	XP_017884943.1
OG0000140	XP_973264.1	XP_017884451.1, XP_026671567.1, XP_026671566.1
OG0000141	XP_015833202.1	XP_017885124.1
OG0000141	XP_008193877.2	XP_017876335.1
OG0000143	XP_008192676.1	XP_017891548.1, XP_026675129.1, XP_017891695.1, XP_017891686.1
OG0000144	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1	XP_026673668.1, XP_017888863.1
OG0000145	XP_008193348.1	XP_026667451.1, XP_017876164.1
OG0000146	XP_966544.1, XP_001811608.2	XP_017880213.1
OG0000146	XP_974294.1	XP_017880666.1
OG0000147	XP_966688.1	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1, XP_017875842.1, XP_017875843.1, XP_026667285.1
OG0000149	XP_008191323.1	XP_026669621.1
OG0000150	XP_015838556.1, XP_015838555.1, XP_015838554.1	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1
OG0000151	XP_969439.1, XP_015840091.1	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1
OG0000152	XP_966734.2	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1
OG0000153	XP_970869.1, XP_008195606.1	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1
OG0000154	XP_008195104.1	XP_017876215.1
OG0000156	XP_008199571.1, XP_008199569.1, XP_008199570.1	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1
OG0000157	NP_001161084.1, XP_008194710.1, NP_001161130.1	XP_017891817.1, XP_017891818.1
OG0000158	XP_008198818.1	XP_017883012.1, XP_017893148.1, XP_017892229.1, XP_017892218.2, XP_017883003.2
OG0000160	XP_008199283.1	XP_017886269.2, XP_017886270.1
OG0000160	XP_967023.4	XP_017887715.1, XP_026673143.1, XP_026673144.1
OG0000161	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3	XP_017882448.1, XP_017877494.1, XP_017878197.1
OG0000162	XP_008201498.1, NP_001103246.1	XP_017889429.1
OG0000162	NP_001103245.1	XP_017885311.1
OG0000163	XP_015839362.1	XP_026670104.1
OG0000163	XP_008197923.1, XP_015840038.1	XP_026675297.1, XP_026666960.1, XP_026673476.1
OG0000163	XP_015834329.1	XP_026675569.1, XP_017885410.1
OG0000164	XP_015833602.1, XP_015840341.1, XP_015833616.1	XP_026674186.1, XP_026673941.1
OG0000165	XP_008192571.1	XP_017893274.1, XP_017893275.1, XP_017893271.1, XP_017893273.1, XP_017893272.1
OG0000165	XP_974173.2	XP_017880352.1
OG0000166	XP_008199436.1, XP_008199431.1	XP_017884326.1, XP_026671456.1, XP_026671462.1, XP_026671458.1, XP_026671477.1
OG0000168	XP_008199616.2, XP_015834098.1	XP_017885312.2
OG0000169	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1	XP_017875038.1
OG0000170	XP_008193117.1, XP_008193116.1	XP_017883824.1, XP_017883820.1, XP_017883828.1, XP_026671258.1, XP_026671257.1
OG0000171	XP_971346.1, XP_015836633.1	XP_017888625.2, XP_017893176.1
OG0000173	XP_008194517.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000174	XP_015838513.1	XP_017884502.1, XP_017884504.1, XP_017884503.1, XP_017884500.1, XP_017884501.1, XP_026671517.1, XP_017884509.1, XP_017884505.1, XP_017884508.1
OG0000175	XP_974770.1, XP_015836695.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000176	XP_008195214.1	XP_017891232.1
OG0000177	XP_971910.1	XP_017876272.1
OG0000177	XP_008194311.1	XP_017876310.1
OG0000177	XP_972019.2	XP_017876269.1
OG0000178	XP_008200484.2, XP_015835582.1	XP_026671237.1, XP_017883869.1
OG0000179	XP_008194977.1	XP_017886749.1
OG0000179	XP_966308.2	XP_017888464.1
OG0000180	XP_976031.1, XP_008200320.1	XP_017890818.1
OG0000181	NP_001280548.1, XP_008193833.1	XP_017887447.1, XP_017887445.1, XP_017887444.1, XP_026673014.1
OG0000182	XP_015832992.1	XP_026670184.1, XP_026670178.1, XP_026670174.1, XP_017881549.1
OG0000183	XP_975025.1	XP_026670364.1
OG0000183	XP_970665.1	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1
OG0000184	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3	XP_017880151.1
OG0000185	XP_008197397.1	XP_017884792.1, XP_017884791.1
OG0000186	XP_008199126.1, XP_008199118.1, XP_015835450.1	XP_017880985.2, XP_017889237.1, XP_017889238.1, XP_017884325.1, XP_017889240.1, XP_026673871.1, XP_017879879.1, XP_017879865.1, XP_017893576.1, XP_017877687.1, XP_017877675.1, XP_017885068.1, XP_017890095.1, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1
OG0000187	XP_975362.1	XP_017885442.1, XP_017885441.1, XP_026672109.1, XP_026672110.1
OG0000188	XP_967501.2	XP_017881748.1
OG0000189	XP_008198457.1, XP_008193919.1	XP_017883266.1
OG0000190	XP_015839424.1, XP_968802.1	XP_026670787.1, XP_017882897.1, XP_017882899.1, XP_017882898.1
OG0000191	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2	XP_026668491.1
OG0000192	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1	XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_026666470.1, XP_017892919.1
OG0000194	XP_008193011.1	XP_026669791.1
OG0000194	NP_001280525.1	XP_017880978.1, XP_026670038.1, XP_026670032.1, XP_026670031.1
OG0000196	XP_969047.2	XP_017876924.1, XP_026672114.1
OG0000196	XP_967948.2	XP_026675560.1
OG0000197	XP_015837925.1	XP_017882165.1, XP_017882164.1, XP_017882163.1
OG0000198	XP_008196149.1	XP_017889330.1
OG0000200	XP_974164.1	XP_017890009.1, XP_017890010.1
OG0000200	XP_967143.1, XP_015839106.1, XP_974030.1	XP_017878648.1, XP_017878649.1
OG0000201	XP_015833113.1, XP_974115.1	XP_017881997.1
OG0000202	XP_008196489.1, XP_008196491.1, XP_008196490.1	XP_017879501.1
