Orthogroup	Tribolium_castaneum	Aedes_aegypti
OG0000024	XP_968973.1, XP_015836276.1, XP_970629.1, XP_968453.1, XP_969481.3, XP_966714.3, XP_015836397.1, XP_970153.3, XP_970128.4, XP_969915.1, XP_008195025.1, XP_970890.1, XP_015836275.1, XP_008194723.1, XP_015836190.1, XP_015836389.1	XP_001653943.1, XP_021708435.1, XP_011492953.2, XP_011492954.2, XP_001659308.2, XP_011492952.2, XP_001661001.2, XP_001661002.2, XP_011493633.2, XP_021711830.1, XP_001660615.1, XP_001656527.2
OG0000026	XP_008193329.1	XP_021706420.1
OG0000026	XP_969357.3	XP_021708568.1, XP_021708571.1
OG0000026	XP_966472.1	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1
OG0000027	XP_008199927.1	XP_001656994.2
OG0000027	XP_008199050.2	XP_021706523.1
OG0000029	XP_971332.1	XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_015840495.1, XP_008201389.1, XP_008201390.1	XP_001664018.2, XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_966905.1	XP_001658050.1
OG0000030	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2	XP_021696991.1, XP_001660265.2, XP_021696300.1, XP_001658217.2
OG0000032	XP_001807564.1	XP_021702783.1
OG0000032	XP_008197173.2	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1
OG0000032	XP_969958.1, XP_970026.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000033	XP_015837581.1, XP_015839927.1, XP_015839926.1	XP_021702767.1
OG0000035	XP_008191815.1, XP_008191817.1, XP_971626.2	XP_001650274.2, XP_001662128.2
OG0000035	XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1	XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2, XP_021699048.1, XP_021699049.1, XP_001654514.2, XP_021699050.1
OG0000036	XP_008190813.1	XP_001655517.2, XP_021697914.1
OG0000036	XP_967476.1, XP_001811753.1	XP_021695536.1
OG0000037	XP_015835222.1	XP_021698956.1, XP_021698957.1
OG0000037	XP_970216.2	XP_021698955.1
OG0000037	XP_008193010.2	XP_001655400.1
OG0000037	XP_008190973.2	XP_001659628.2, XP_001654516.2
OG0000037	XP_970770.1, XP_970895.1	XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2
OG0000037	XP_008200145.1	XP_001659656.2, XP_001659657.1
OG0000038	XP_974091.1	XP_021698339.1, XP_021698338.1, XP_021704212.1
OG0000038	XP_966407.1	XP_021694449.1
OG0000040	NP_001161088.1	XP_001659969.2, XP_001659962.1
OG0000040	NP_001161129.1, XP_008193161.1, NP_001161087.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1
OG0000040	XP_970321.1, NP_001161083.1	XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	NP_001165844.1	XP_001655176.1, XP_001655175.1
OG0000041	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1	XP_001654313.1, XP_001649530.1, XP_001659963.1
OG0000041	XP_967305.1	XP_001649531.1
OG0000042	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1	XP_021693433.1
OG0000042	XP_974033.1, XP_015840580.1	XP_001658411.2
OG0000043	NP_001039287.1, XP_015836776.1, NP_001039277.1	XP_001651341.1, XP_021710636.1, XP_001651340.1, XP_001651343.1, XP_001651344.1, XP_001651345.1
OG0000043	XP_008193777.1, NP_001039289.1	XP_001660749.1
OG0000043	NP_001039285.1	XP_001660753.1
OG0000043	NP_001039276.1	XP_001660785.1, XP_001660754.1, XP_001660774.1, XP_001660775.1, XP_021703266.1, XP_001660780.1, XP_001660777.1, XP_001660776.1, XP_001660779.1, XP_001660778.1, XP_001660781.1, XP_001660770.1, XP_001660773.1, XP_001660768.2, XP_021703264.1, XP_001660771.1, XP_001660767.1, XP_001660764.1, XP_001660769.1, XP_021703265.1, XP_001660763.1, XP_001660766.1, XP_001660765.1, XP_001660759.1, XP_001660760.1, XP_001660784.1, XP_001660762.1, XP_001660761.1
OG0000044	NP_001164285.1	XP_001651479.2, XP_021712899.1, XP_021712941.1, XP_021712940.1
OG0000044	XP_008200957.1	XP_021712943.1
OG0000044	XP_008200834.1	XP_001661567.1, XP_001662326.1
OG0000045	XP_015834974.1, XP_015834972.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_008200986.2, XP_015838368.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_973521.1	XP_021709388.1, XP_021709332.1
OG0000046	NP_001164199.1, NP_001164200.1, XP_974442.1, NP_001164098.1	XP_021693655.1, XP_021693654.1, XP_021693653.1, XP_021693651.1, XP_021693652.1, XP_021693649.1
OG0000046	XP_966611.1	XP_021707697.1
OG0000047	XP_015839407.1, XP_015839283.1, XP_008200958.2	XP_021713287.1, XP_021713290.1, XP_021698064.1, XP_021698875.1, XP_021705066.1, XP_021697550.1
OG0000048	XP_008193917.1	XP_001663296.2
OG0000050	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1	XP_001654509.1, XP_011493543.2
OG0000050	XP_015840854.1	XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000051	XP_015837846.1, XP_015833811.1, XP_015837945.1	XP_021694238.1
OG0000052	XP_008197196.2, XP_008197191.1	XP_001653763.1
OG0000054	XP_015836116.1	XP_021702234.1
OG0000054	XP_970381.1, XP_970445.1, XP_008193936.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_971821.3	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_969454.3	XP_001654841.2
OG0000056	XP_015835680.1	XP_021702305.1
OG0000056	XP_008197222.1	XP_021704129.1
OG0000056	XP_970084.2	XP_021704390.1
OG0000057	XP_967267.1	XP_001656025.1
OG0000057	XP_969993.1	XP_021701591.1
OG0000057	XP_967348.1	XP_001656026.2
OG0000057	XP_968314.1	XP_001650054.1
OG0000060	XP_008194927.2	XP_001663993.2
OG0000060	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_969936.2	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_008197154.2	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000062	XP_968760.1	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000063	XP_015837412.1	XP_021706514.1, XP_021712878.1
OG0000065	XP_015834020.1	XP_011493201.1
OG0000065	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000066	XP_015837699.1	XP_021704301.1
OG0000067	XP_008200210.1	XP_001653435.1
OG0000067	NP_001164095.1, XP_008200192.1	XP_001654897.1
OG0000067	XP_008198995.1	XP_001661370.1, XP_021698916.1
OG0000071	XP_015835156.1	XP_021703680.1, XP_021702229.1, XP_021694311.1, XP_021706464.1, XP_021703997.1, XP_021695236.1, XP_021701192.1, XP_021709271.1, XP_021695636.1, XP_021710570.1, XP_021708727.1, XP_021702221.1, XP_021706502.1, XP_021694267.1
OG0000073	NP_001161930.1, NP_001161928.1	XP_021705856.1
OG0000073	XP_015832956.1, XP_015833016.1	XP_021703552.1, XP_021705322.1
OG0000073	XP_008192409.1, NP_001161921.1	XP_001647607.2
OG0000073	NP_001161922.1	XP_001660197.2, XP_001653248.2, XP_001652848.2, XP_001655365.1, XP_001649820.2
OG0000074	XP_015837890.1, XP_970945.2	XP_021707386.1
OG0000077	XP_008200285.1	XP_001658180.2
OG0000077	XP_008194480.2, XP_971466.1, XP_015836196.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000080	XP_971544.1	XP_021693685.1
OG0000082	XP_008196787.1, XP_008196786.1	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000084	XP_008194340.1	XP_001656586.1
OG0000084	XP_973788.1	XP_001656600.1
OG0000084	XP_008194204.2	XP_001656587.2
OG0000085	XP_008190480.1, XP_008190479.1, XP_008190478.1, XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_973839.1, XP_008201361.1	XP_021701219.1
OG0000086	XP_008200062.1, XP_015834290.1	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2	XP_001648461.1, XP_001648458.1
OG0000087	XP_969383.1, XP_001808639.1, XP_008200953.1, XP_974493.2	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_015837887.1	XP_021702205.1
OG0000089	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1	XP_001654187.2
OG0000091	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2	XP_021699738.1
OG0000092	XP_008198926.1	XP_021707375.1
OG0000094	XP_008194293.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000094	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2	XP_021704594.1
OG0000095	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1	XP_001649682.2
OG0000096	XP_970191.2	XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	NP_001107835.1	XP_011493435.1
OG0000097	XP_966355.1, XP_008200463.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1	XP_001660410.1
OG0000099	XP_973444.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_967359.1	XP_001650952.2
OG0000099	XP_008198312.1	XP_021710287.1
OG0000100	XP_015833282.1, XP_008190946.1, XP_008190945.1	XP_001662579.2
OG0000101	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1	XP_001652481.1
OG0000101	XP_968658.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1
OG0000101	XP_008190341.1, XP_968586.1	XP_001655711.1
OG0000102	XP_015836203.1, XP_972020.3, XP_971968.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000102	XP_008201580.1	XP_021700055.1
OG0000103	NP_001107839.1	XP_021707710.1, XP_021707709.1
OG0000103	NP_001121967.1	XP_001661506.1
OG0000108	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1	XP_001650404.2, XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_008200716.1, XP_968250.2	XP_021709303.1
OG0000110	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2	XP_021711612.1, XP_021711613.1
OG0000112	XP_008191265.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_008198195.1, XP_015837714.1	XP_021703753.1
OG0000113	XP_967872.2, XP_008198495.1, XP_008198500.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_015836792.1, XP_015836794.1	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1
OG0000114	XP_008195366.2, XP_015837027.1, XP_015837028.1	XP_001656658.2
OG0000114	XP_015840611.1	XP_001658784.2
OG0000115	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1	XP_021711348.1
OG0000116	XP_015837656.1	XP_021695569.1
OG0000117	XP_008198411.1	XP_001658273.1
OG0000117	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000118	XP_015834547.1, XP_008200548.1, XP_015834543.1, XP_015833294.1, XP_015835116.1, XP_015840487.1, XP_015834751.1, XP_008200539.1, XP_015835309.1, XP_015837361.1	XP_021693048.1, XP_021707566.1, XP_021707125.1, XP_021697078.1, XP_021700766.1, XP_021698879.1
OG0000119	NP_001157311.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_015838347.1	XP_021702687.1
OG0000122	XP_015834556.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_008192222.1	XP_021707885.1
OG0000123	XP_001813105.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_015834874.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1	XP_001657204.2
OG0000126	NP_001034505.1	XP_021694197.1
OG0000127	XP_008201644.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	NP_001280519.1, XP_015839687.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_008200084.1, XP_001811552.1	XP_021695251.1
OG0000130	XP_008200083.1	XP_021700367.1
OG0000131	XP_001808435.1	XP_021705306.1
OG0000131	XP_008198189.1, XP_968387.1, XP_008198188.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_008198166.1, XP_015839207.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000133	XP_975308.3	XP_021702724.1, XP_021702723.1
OG0000133	XP_015840591.1	XP_021702554.1
OG0000134	XP_008201435.1	XP_001660707.1, XP_021702138.1, XP_001654223.2, XP_001650418.1
OG0000135	XP_008190640.1, XP_008190639.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	NP_001153713.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000137	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_015840574.1, XP_967720.2, XP_015840573.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1	XP_001663072.2
OG0000140	XP_008194732.1, XP_969266.1	XP_021704953.1, XP_021704952.1, XP_001664287.1
OG0000140	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1	XP_021702905.1
OG0000141	XP_008193877.2	XP_001663030.2
OG0000143	XP_008192676.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_008193348.1	XP_001661017.2
OG0000146	XP_966544.1, XP_001811608.2	XP_001662762.1
OG0000146	XP_974294.1	XP_001660580.2
OG0000147	XP_966688.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_008191323.1	XP_021701465.1
OG0000150	XP_015838556.1, XP_015838555.1, XP_015838554.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_969439.1, XP_015840091.1	XP_021697798.1
OG0000152	XP_966734.2	XP_001653160.1
OG0000153	XP_970869.1, XP_008195606.1	XP_021705481.1, XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_008195104.1	XP_001662815.2
OG0000154	XP_015839325.1, XP_015839324.1, XP_008199705.2, XP_015838950.1, XP_015833663.1, XP_008193592.1, XP_015840362.1, XP_008199148.1, XP_015840355.1	XP_001654315.1, XP_021709760.1, XP_021709756.1, XP_021697249.1, XP_001662813.2, XP_021697250.1, XP_021697252.1, XP_021697253.1
OG0000156	XP_008199571.1, XP_008199569.1, XP_008199570.1	XP_021696919.1, XP_021712121.1
OG0000157	NP_001161084.1, XP_008194710.1, NP_001161130.1	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_008198818.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_008199283.1	XP_021709766.1
OG0000160	XP_967023.4	XP_021707900.1, XP_021710525.1, XP_001662274.1
OG0000161	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3	XP_001656119.2
OG0000162	XP_008201498.1, NP_001103246.1	XP_021694432.1
OG0000162	XP_008200302.1, NP_001107770.1	XP_021704010.1
OG0000162	NP_001103245.1	XP_021706951.1
OG0000163	XP_015839362.1	XP_001662163.1
