Orthogroup	Tribolium_castaneum	Dufourea_novaeangliae
OG0000139	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1	XP_015435212.1
OG0000140	XP_015836386.1	XP_015431670.1
OG0000140	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1	XP_015439249.1
OG0000140	XP_973264.1	XP_015439128.1
OG0000141	XP_015833202.1	XP_015435225.1
OG0000141	XP_008193877.2	XP_015435164.1, XP_015435072.1
OG0000143	XP_008192676.1	XP_015429124.1, XP_015429114.1
OG0000144	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1	XP_015428670.1, XP_015428727.1
OG0000145	XP_008193348.1	XP_015436844.1
OG0000146	XP_966544.1, XP_001811608.2	XP_015432760.1
OG0000146	XP_974294.1	XP_015435877.1
OG0000147	XP_966688.1	XP_015435294.1, XP_015435295.1, XP_015439801.1
OG0000149	XP_008191323.1	XP_015435823.1
OG0000150	XP_015838556.1, XP_015838555.1, XP_015838554.1	XP_015432205.1
OG0000151	XP_969439.1, XP_015840091.1	XP_015429673.1, XP_015429674.1, XP_015429675.1
OG0000152	XP_966734.2	XP_015433494.1
OG0000153	XP_970869.1, XP_008195606.1	XP_015439140.1
OG0000154	XP_008195104.1	XP_015436141.1
OG0000156	XP_008199571.1, XP_008199569.1, XP_008199570.1	XP_015429868.1
OG0000157	NP_001161084.1, XP_008194710.1, NP_001161130.1	XP_015433606.1, XP_015433605.1
OG0000158	XP_008198818.1	XP_015439684.1, XP_015440019.1, XP_015440020.1, XP_015439979.1
OG0000160	XP_008199283.1	XP_015437280.1
OG0000160	XP_967023.4	XP_015436859.1, XP_015436868.1
OG0000161	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3	XP_015432556.1
OG0000162	XP_008201498.1, NP_001103246.1	XP_015435684.1
OG0000162	NP_001103245.1	XP_015439554.1
OG0000164	XP_015833602.1, XP_015840341.1, XP_015833616.1	XP_015437865.1, XP_015437659.1, XP_015437774.1
OG0000165	XP_008192571.1	XP_015429586.1
OG0000165	XP_974173.2	XP_015435493.1
OG0000166	XP_008199436.1, XP_008199431.1	XP_015435053.1
OG0000168	XP_008199616.2, XP_015834098.1	XP_015430998.1
OG0000168	XP_015838873.1, NP_001107841.1	XP_015436891.1
OG0000169	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1	XP_015437575.1
OG0000170	XP_008193117.1, XP_008193116.1	XP_015439591.1, XP_015439594.1
OG0000171	XP_971346.1, XP_015836633.1	XP_015434404.1, XP_015434466.1
OG0000173	XP_008194517.1	XP_015434867.1, XP_015434866.1, XP_015434871.1, XP_015434870.1, XP_015434869.1, XP_015434868.1
OG0000174	XP_015838513.1	XP_015438965.1
OG0000175	XP_974770.1, XP_015836695.1	XP_015437422.1, XP_015437423.1
OG0000176	XP_008195214.1	XP_015428971.1
OG0000177	XP_971910.1	XP_015435549.1
OG0000177	XP_008194311.1	XP_015435485.1
OG0000177	XP_972019.2	XP_015435546.1
OG0000178	XP_008200484.2, XP_015835582.1	XP_015438494.1
OG0000179	XP_008194977.1	XP_015436506.1
OG0000179	XP_966308.2	XP_015434426.1
OG0000180	XP_976031.1, XP_008200320.1	XP_015430454.1, XP_015430456.1, XP_015430455.1, XP_015430457.1
OG0000181	NP_001280548.1, XP_008193833.1	XP_015440531.1
OG0000182	XP_015832992.1	XP_015436232.1
OG0000183	XP_975025.1	XP_015431052.1
OG0000183	XP_970665.1	XP_015435715.1
OG0000184	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3	XP_015432847.1
OG0000185	XP_008197397.1	XP_015434150.1, XP_015434133.1
OG0000186	XP_008199126.1, XP_008199118.1, XP_015835450.1	XP_015434985.1, XP_015434960.1, XP_015434988.1, XP_015434990.1
OG0000187	XP_975362.1	XP_015436316.1
OG0000188	XP_008197500.1	XP_015431252.1
OG0000188	XP_967501.2	XP_015431689.1
OG0000189	XP_966528.2, XP_008201661.1	XP_015429531.1
OG0000189	XP_008198457.1, XP_008193919.1	XP_015429076.1
OG0000190	XP_015839424.1, XP_968802.1	XP_015440287.1, XP_015440288.1, XP_015440289.1
OG0000191	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2	XP_015434794.1
OG0000192	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1	XP_015433091.1
OG0000194	XP_008193011.1	XP_015439485.1
OG0000194	NP_001280525.1	XP_015439482.1, XP_015439483.1, XP_015439487.1
OG0000196	XP_969047.2	XP_015432167.1
OG0000196	XP_967948.2	XP_015437821.1
OG0000197	XP_015837925.1	XP_015439072.1, XP_015439073.1, XP_015439149.1
OG0000200	XP_974164.1	XP_015435653.1
OG0000200	XP_967143.1, XP_015839106.1, XP_974030.1	XP_015438807.1, XP_015438810.1
OG0000201	XP_015833113.1	XP_015438380.1
OG0000201	XP_974115.1	XP_015438436.1
OG0000202	XP_008196489.1, XP_008196491.1, XP_008196490.1	XP_015434898.1
OG0000204	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1	XP_015428607.1
OG0000205	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2	XP_015435790.1
OG0000206	XP_975174.1	XP_015432679.1
OG0000206	XP_967870.1	XP_015432778.1, XP_015432779.1
OG0000207	XP_008190794.1	XP_015434683.1, XP_015434682.1
OG0000208	NP_001034487.2, XP_008199220.1	XP_015434613.1
OG0000209	XP_015833617.1	XP_015436163.1
OG0000210	XP_008196393.1	XP_015440351.1
OG0000210	XP_008194608.1, XP_973007.1	XP_015428957.1
OG0000210	XP_015838316.1, XP_971337.1	XP_015439732.1
OG0000212	XP_970912.2, XP_015835896.1, XP_015840439.1, XP_015840441.1	XP_015431045.1, XP_015430967.1, XP_015430965.1, XP_015430966.1
OG0000213	XP_970612.2	XP_015428729.1
OG0000214	XP_967960.2	XP_015435958.1
OG0000214	XP_970835.1	XP_015428442.1
OG0000215	XP_972301.2, XP_008197697.1, XP_008197706.1, XP_015839776.1	XP_015432430.1, XP_015432437.1
OG0000216	NP_001107836.1, XP_967724.1, NP_001123993.1, XP_008193185.1, XP_008199996.1, XP_971612.1, NP_001123994.1	XP_015431904.1
OG0000217	XP_973791.2, XP_975130.2, XP_015839401.1, XP_015839404.1, XP_015839405.1, XP_008199621.1, XP_015839403.1, XP_015840143.1, XP_008192685.2, XP_008192686.2, XP_015835054.1, XP_015835055.1, XP_008191628.1, XP_008191600.1, XP_008198006.2	XP_015437152.1
OG0000218	XP_967940.2	XP_015434934.1, XP_015434933.1
OG0000219	XP_968383.1	XP_015434863.1, XP_015434855.1
OG0000220	XP_015840696.1	XP_015435676.1, XP_015435677.1
OG0000223	NP_001164284.1, XP_972063.1	XP_015433759.1
OG0000225	XP_971086.2	XP_015430669.1, XP_015430668.1, XP_015430670.1, XP_015430654.1
OG0000226	NP_001280522.1, XP_008197480.1	XP_015432296.1, XP_015432295.1
OG0000226	XP_015838522.1	XP_015432297.1
OG0000227	XP_008198897.2	XP_015438705.1
OG0000229	XP_008190780.1	XP_015437954.1
OG0000230	XP_015836723.1	XP_015428614.1, XP_015428616.1, XP_015428615.1
OG0000231	XP_015836454.1, XP_015836453.1, XP_973943.1, XP_008194841.1	XP_015438519.1
OG0000232	XP_970131.1	XP_015439264.1
OG0000233	XP_008196062.1, XP_008196018.1, XP_008196019.1	XP_015435413.1, XP_015435414.1
OG0000234	XP_972520.3, XP_001814003.1	XP_015436796.1, XP_015436761.1
OG0000235	XP_015835330.1, XP_015835329.1, XP_015835324.1, XP_015835328.1	XP_015433084.1
OG0000236	NP_001155991.1	XP_015433151.1
OG0000237	XP_008197452.1	XP_015438767.1
OG0000237	XP_008197451.1	XP_015438769.1
OG0000239	XP_015836807.1, XP_008200144.1	XP_015432329.1
OG0000240	XP_015833080.1, XP_015833079.1, XP_015840681.1, XP_008190666.2, XP_008190667.1, XP_966770.1, XP_001809806.2, XP_008190687.2, XP_008201648.1	XP_015434475.1
OG0000244	XP_974579.1, XP_015836330.1	XP_015439085.1
OG0000245	XP_008194988.1, NP_001034522.1, NP_001034493.1	XP_015437253.1, XP_015435215.1
OG0000246	NP_001096056.1	XP_015438662.1
OG0000246	XP_973068.2, XP_008193582.1	XP_015438684.1
OG0000248	XP_015839338.1, XP_008193359.2, XP_015835108.1	XP_015437282.1, XP_015437302.1
OG0000249	XP_966587.1	XP_015431145.1, XP_015431096.1, XP_015431100.1
OG0000250	XP_008196257.1	XP_015428900.1, XP_015428865.1
OG0000251	XP_015840048.1, XP_008201191.1	XP_015428959.1, XP_015432104.1
