Orthogroup	Tribolium_castaneum	Apis_mellifera
OG0000042	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1	XP_026295892.1, XP_026295893.1
OG0000043	XP_008193777.1, NP_001039289.1	XP_016768084.1, NP_001071287.1
OG0000043	NP_001039285.1	XP_006557941.1, NP_001071282.1
OG0000044	XP_008200957.1	XP_006565537.1
OG0000045	XP_015834974.1, XP_015834972.1	NP_001035326.1, NP_001035349.1, NP_001011608.1
OG0000046	XP_008200986.2, XP_015838368.1	NP_001153524.1
OG0000046	XP_966611.1	NP_001153522.1, NP_001153544.1
OG0000048	XP_008193917.1	XP_016769367.1
OG0000050	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1	XP_026299635.1, XP_392696.5, XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1
OG0000052	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1	XP_624251.3
OG0000054	XP_970381.1	NP_001257754.1, NP_001257753.1
OG0000055	XP_969454.3	XP_016771370.1
OG0000055	XP_008194095.1	XP_393860.4
OG0000056	XP_015835680.1	XP_026297251.1
OG0000056	XP_008197222.1	XP_026301167.1
OG0000056	XP_015834565.1	XP_026297087.1
OG0000056	XP_015839288.1	XP_026296769.1
OG0000056	XP_970084.2	XP_026299492.1
OG0000057	XP_967267.1	XP_392313.1
OG0000057	XP_969993.1	XP_026300739.1
OG0000057	XP_967348.1	XP_394469.1
OG0000060	XP_008194927.2	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2
OG0000060	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1	NP_001180219.1, XP_006565210.1
OG0000061	XP_969936.2	XP_397017.3
OG0000061	XP_008197154.2	XP_624322.1, XP_016773033.1
OG0000062	XP_968760.1	XP_006568238.2
OG0000062	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1	XP_001119884.1, XP_001120194.1, XP_001120006.2, XP_001120137.1
OG0000065	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1	XP_026299150.1
OG0000066	XP_015839951.1, XP_015837849.1, XP_015839954.1, XP_015840122.1, XP_015839271.1, XP_015839922.1, XP_015837699.1, XP_008192464.1	XP_006569791.3
OG0000067	XP_008200210.1	XP_006561513.1
OG0000067	NP_001164095.1, XP_008200192.1	XP_026299464.1
OG0000067	XP_008198995.1	XP_395774.2
OG0000069	XP_008191789.1	XP_006564460.2, XP_392727.4
OG0000073	XP_008195260.1, NP_001161930.1, NP_001161928.1, XP_015832956.1, XP_015833016.1	XP_003250137.2
OG0000077	XP_008200285.1	XP_006567467.1
OG0000077	XP_008194480.2, XP_971466.1, XP_015836196.1	XP_395426.5
OG0000079	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1	XP_026295829.1, XP_026295828.1
OG0000080	XP_971544.1	XP_397228.2
OG0000080	XP_015839289.1	XP_623221.2
OG0000080	XP_015838833.1, XP_968784.1, XP_008199652.2	XP_006559470.1
OG0000081	XP_015833047.1	XP_006563549.2, NP_001229913.1, XP_016772002.2, XP_394081.6, XP_026301357.1, XP_016772004.2, XP_026301413.1
OG0000082	XP_008196787.1, XP_008196786.1	XP_006565018.1, XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2
OG0000084	XP_008194205.2	NP_001257744.1, NP_001257757.1, NP_001257743.1
OG0000084	XP_008194337.1, XP_969263.1	XP_026300413.1
OG0000085	XP_008190480.1, XP_008190479.1, XP_008190478.1	XP_394579.2
OG0000086	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1	XP_016772143.2, XP_001120043.2
OG0000086	XP_008200062.1, XP_015834290.1	XP_016772088.2
OG0000087	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2	XP_624353.1
OG0000087	XP_001808639.1, XP_008200953.1, XP_974493.2	XP_016772139.1
OG0000088	XP_015837887.1	XP_006566240.1, XP_006566239.1, XP_026299220.1
OG0000089	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1	XP_003249883.2, XP_016768850.2
OG0000091	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2	XP_026299597.1, XP_026299596.1
OG0000092	XP_967128.1	XP_006558182.1, XP_396653.1, XP_396654.1, XP_016768016.1
OG0000094	XP_008194293.1	XP_026299983.1
OG0000094	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2	XP_006572211.1
OG0000095	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1	XP_006564430.1
OG0000096	XP_970191.2	XP_026300868.1
OG0000096	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1	XP_003250667.2, XP_006562163.1
OG0000097	XP_966355.1, XP_008200463.1	XP_006566906.1, NP_001011628.1
OG0000098	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1	XP_006561279.1
OG0000099	XP_973444.1	XP_026301459.1
OG0000099	XP_967359.1	XP_026301457.1, XP_026301458.1
OG0000099	XP_008198312.1	XP_006563474.1
OG0000100	XP_015833282.1, XP_008190946.1, XP_008190945.1	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1
OG0000101	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1	XP_016769181.1
OG0000101	XP_968658.1, XP_008190341.1, XP_968586.1	XP_016769182.2
OG0000102	XP_015836203.1, XP_972020.3, XP_971968.1	XP_026298009.1, XP_016768868.1, XP_006559629.1
OG0000103	NP_001121967.1	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1
OG0000108	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1	XP_026296997.1, XP_026296995.1, XP_026296996.1
OG0000109	XP_008200716.1	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1
OG0000110	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2	XP_016771484.1, XP_026300877.1, XP_016771820.2
OG0000111	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1	XP_016767388.2
OG0000112	XP_008191265.1	XP_016770669.1
OG0000112	XP_008198195.1, XP_015837714.1	XP_395840.2
OG0000113	XP_967872.2, XP_008198495.1, XP_008198500.1	XP_001120149.1, XP_001121347.2
OG0000114	XP_008195366.2, XP_015837027.1, XP_015837028.1	XP_026296673.1
OG0000115	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1	NP_001153742.1, XP_026295756.1, NP_001136128.1, XP_006560566.1
OG0000116	XP_015837656.1	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1
OG0000117	XP_008198411.1	XP_006566844.1
OG0000117	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1
OG0000119	NP_001157311.1	XP_006567540.1, XP_006567591.1, XP_016769352.1, XP_016769353.1
OG0000120	XP_015838347.1	XP_026295458.1, XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1
OG0000122	XP_015834556.1	XP_396281.5
OG0000122	XP_008192222.1	XP_006569022.1
OG0000123	XP_001813105.1	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1
OG0000124	XP_015834874.1	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1
OG0000125	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1	XP_016768147.1, XP_393208.1
OG0000126	NP_001034505.1	XP_016772382.1, NP_001011571.1
OG0000127	XP_008201644.1	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1
OG0000127	NP_001280519.1, XP_015839687.1	XP_396819.2
OG0000129	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1
OG0000130	XP_008200084.1, XP_001811552.1	XP_006568433.1, XP_006568428.1, XP_394686.4
OG0000130	XP_008200083.1	XP_026297554.1, XP_394687.3, XP_006565573.1
OG0000131	XP_001808435.1	XP_006564418.1
OG0000131	XP_008198189.1, XP_968387.1, XP_008198188.1	XP_392990.2, XP_003251503.1
OG0000132	XP_008198166.1, XP_015839207.1	XP_006569358.1, XP_006569359.1, XP_016767260.1
OG0000133	XP_975308.3	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1
OG0000133	XP_015840591.1	XP_006571481.2, XP_016766376.2
OG0000135	XP_015833857.1, XP_008194086.1	XP_392723.3
OG0000135	XP_008190640.1, XP_008190639.1	XP_006570858.1, XP_026300893.1
OG0000136	XP_971514.1, XP_971572.1	XP_001123230.2, XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000137	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1, XP_026298341.1
OG0000138	XP_015840574.1, XP_967720.2, XP_015840573.1	XP_006561534.1, XP_006561540.1
OG0000139	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1	XP_026302052.1
OG0000140	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1	XP_006565855.1, XP_006565854.1, XP_006565856.1
OG0000141	XP_015833202.1	XP_396377.3, XP_016771703.1
OG0000141	XP_008193877.2	XP_393772.4
OG0000143	XP_008192676.1	XP_394342.1, XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1
OG0000144	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1	NP_001092187.1, NP_001011600.1, NP_001104234.1
OG0000145	XP_008193348.1	XP_006571519.1, NP_001128406.1
OG0000146	XP_966544.1, XP_001811608.2	XP_006569990.1
OG0000147	XP_966688.1	XP_026301958.1
OG0000149	XP_008191323.1	XP_624573.2
OG0000150	XP_015838556.1, XP_015838555.1, XP_015838554.1	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1
OG0000151	XP_969439.1, XP_015840091.1	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1
OG0000152	XP_966734.2	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1
OG0000153	XP_970869.1, XP_008195606.1	XP_006557622.1
OG0000154	XP_008195104.1	XP_003249939.3
OG0000156	XP_008199571.1, XP_008199569.1, XP_008199570.1	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1
OG0000157	NP_001161084.1, XP_008194710.1, NP_001161130.1	XP_016771183.1, XP_016771274.2
OG0000158	XP_008198818.1	XP_026295419.1, XP_026296654.1, XP_026296664.1
OG0000160	XP_008199283.1	XP_006570492.2
OG0000161	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3	NP_001011563.1, NP_001119716.1
OG0000162	XP_008201498.1, NP_001103246.1	NP_001091691.1, XP_006562616.1
OG0000162	XP_008200302.1, NP_001107770.1	XP_016767550.1, NP_001073029.1
OG0000162	NP_001103245.1	NP_001091690.1, XP_026298411.1
OG0000164	XP_015833602.1, XP_015840341.1, XP_015833616.1	XP_016768018.2, XP_006558190.2
OG0000165	XP_008192571.1	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2
OG0000165	XP_974173.2	XP_006566324.1
OG0000166	XP_008199436.1, XP_008199431.1	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3
OG0000168	XP_008199616.2, XP_015834098.1	XP_016767974.1, NP_001035325.2
OG0000168	XP_015838873.1, NP_001107841.1	NP_001014991.1, XP_026295680.1
OG0000169	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1	XP_026296993.1
OG0000170	XP_008193117.1, XP_008193116.1	XP_006566077.2, XP_026299163.1, XP_006566079.2
OG0000171	XP_971346.1, XP_015836633.1	XP_623922.2
OG0000173	XP_008194517.1	XP_006560020.1, XP_006560019.1
OG0000174	XP_015838513.1	XP_394018.2
OG0000175	XP_974770.1, XP_015836695.1	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1
OG0000176	XP_008195214.1	XP_003251204.1
OG0000177	XP_971910.1	XP_001121910.1
OG0000177	XP_008194311.1	XP_016770327.1, XP_006566372.1
OG0000177	XP_972019.2	XP_016770328.1
OG0000178	XP_008200484.2, XP_015835582.1	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1, XP_026295371.1, XP_026295357.1, XP_026295360.1
OG0000179	XP_008194977.1	XP_026301506.1
OG0000179	XP_966308.2	XP_393381.2
OG0000180	XP_976031.1, XP_008200320.1	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1
OG0000181	NP_001280548.1, XP_008193833.1	XP_393751.2, XP_006570397.2, XP_016770282.2
OG0000182	XP_015832992.1	XP_006561855.2
OG0000183	XP_975025.1	XP_026298476.1, XP_026298477.1
OG0000183	XP_970665.1	XP_395404.2
OG0000184	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3	XP_016773569.1, XP_026300573.1
OG0000185	XP_008197397.1	XP_003250560.1
OG0000186	XP_008199126.1, XP_008199118.1, XP_015835450.1	XP_001119981.4
OG0000187	XP_975362.1	XP_016769442.2
OG0000188	XP_967501.2	XP_395697.2
OG0000190	XP_015839424.1, XP_968802.1	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1
OG0000191	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2	XP_026301152.1
OG0000192	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000194	XP_008193011.1	XP_003249950.2
OG0000194	NP_001280525.1	NP_001257752.1, XP_006561931.1, XP_016769566.1, XP_016769565.2
OG0000196	XP_969047.2	XP_003250051.2
OG0000196	XP_967948.2	XP_003251169.1, XP_016771426.1
OG0000197	XP_015837925.1	XP_006565013.1, XP_016773443.1, XP_026300501.1, XP_006565014.2
OG0000198	XP_008196149.1	XP_006566997.1, XP_624772.2
OG0000200	XP_974164.1	XP_026296548.1
OG0000200	XP_967143.1, XP_015839106.1, XP_974030.1	XP_006566649.2, XP_006566650.1
OG0000201	XP_974115.1	XP_006562412.3
OG0000202	XP_008196489.1, XP_008196491.1, XP_008196490.1	XP_006558615.1
OG0000203	XP_972061.1	XP_006558107.2, XP_395356.4
OG0000204	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1	XP_001121814.2
OG0000205	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2	XP_016766914.1
OG0000206	XP_967870.1	XP_026300186.1
OG0000207	XP_008190794.1	NP_001011652.1, NP_001305411.1
OG0000208	NP_001034487.2, XP_008199220.1	XP_006562317.1
OG0000209	XP_015833617.1	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1
OG0000210	XP_008196393.1	XP_026297186.1
OG0000210	XP_008194608.1, XP_973007.1	XP_016769921.1
OG0000210	XP_015838316.1, XP_971337.1	XP_006562251.2
OG0000212	XP_970912.2, XP_015835896.1, XP_015840439.1, XP_015840441.1	XP_001121043.2, XP_026298300.1
OG0000213	XP_970612.2	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000214	XP_967960.2	XP_623084.1
OG0000214	XP_970835.1	XP_392104.4
OG0000215	XP_972301.2, XP_008197697.1, XP_008197706.1, XP_015839776.1	XP_016772012.1, XP_394061.2
OG0000216	NP_001107836.1, XP_967724.1, NP_001123993.1, XP_008193185.1, XP_008199996.1, XP_971612.1, NP_001123994.1	XP_016767691.1
OG0000217	XP_973791.2, XP_975130.2, XP_015839401.1, XP_015839404.1, XP_015839405.1, XP_008199621.1, XP_015839403.1, XP_015840143.1, XP_008192685.2, XP_008192686.2, XP_015835054.1, XP_015835055.1, XP_008191628.1, XP_008191600.1, XP_008198006.2	XP_394861.4
OG0000218	XP_967940.2	XP_623312.2
OG0000219	XP_968383.1	XP_392277.4, XP_006563970.2
OG0000221	XP_015837155.1, XP_974256.1	XP_006571382.1
OG0000223	NP_001164284.1, XP_972063.1	NP_001157186.1, XP_016769330.2
OG0000225	XP_971086.2	XP_006567210.2
OG0000226	NP_001280522.1, XP_008197480.1	XP_026300579.1
OG0000227	XP_008198897.2	XP_006562291.2, XP_006562294.2, XP_006562293.2, XP_016770836.2
OG0000229	XP_008190780.1	XP_001121505.2
OG0000230	XP_015836723.1	XP_026300638.1, XP_026300637.1
OG0000231	XP_015836454.1, XP_015836453.1, XP_973943.1, XP_008194841.1	XP_006562424.1
OG0000232	XP_970131.1	XP_393976.2, XP_006563043.1, XP_006563042.1
OG0000233	XP_008196062.1, XP_008196018.1, XP_008196019.1	XP_001120116.2, XP_016768768.2, XP_397073.5, XP_026300288.1
