Orthogroup	Tribolium_castaneum	Osmia_lignaria
OG0000098	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1	XP_034189435.1, XP_034189436.1, XP_034189437.1, XP_034189438.1, XP_034189434.1
OG0000099	XP_973444.1	XP_034179642.1, XP_034179643.1, XP_034179641.1
OG0000099	XP_008198312.1	XP_034193873.1
OG0000100	XP_015833282.1, XP_008190946.1, XP_008190945.1	XP_034186665.1, XP_034186661.1, XP_034186660.1, XP_034186663.1, XP_034186662.1, XP_034186656.1, XP_034186655.1, XP_034186659.1, XP_034186658.1, XP_034186664.1, XP_034186666.1, XP_034186667.1, XP_034186669.1, XP_034186670.1, XP_034186654.1
OG0000101	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1	XP_034181509.1
OG0000101	XP_968658.1, XP_008190341.1, XP_968586.1	XP_034181515.1
OG0000102	XP_015836203.1, XP_972020.3, XP_971968.1	XP_034184723.1, XP_034190695.1
OG0000103	NP_001121967.1	XP_034185802.1
OG0000108	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1	XP_034193813.1
OG0000109	XP_008200716.1	XP_034187724.1, XP_034187720.1, XP_034187719.1, XP_034187723.1, XP_034187722.1
OG0000110	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2	XP_034180203.1, XP_034180902.1
OG0000111	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1	XP_034179968.1, XP_034179487.1, XP_034179966.1, XP_034179488.1
OG0000112	XP_008191265.1	XP_034175689.1
OG0000112	XP_008198195.1, XP_015837714.1	XP_034177437.1
OG0000113	XP_967872.2, XP_008198495.1, XP_008198500.1	XP_034185991.1, XP_034174201.1
OG0000114	XP_015836792.1, XP_015836794.1	XP_034178036.1, XP_034190286.1
OG0000114	XP_008195366.2, XP_015837027.1, XP_015837028.1	XP_034192603.1
OG0000115	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1	XP_034173929.1, XP_034174012.1, XP_034174010.1, XP_034174009.1
OG0000116	XP_015837656.1	XP_034183708.1, XP_034183753.1, XP_034183636.1, XP_034183664.1, XP_034183656.1, XP_034183646.1, XP_034183695.1, XP_034183674.1, XP_034183684.1
OG0000117	XP_008198411.1	XP_034188640.1
OG0000117	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1	XP_034186050.1, XP_034186060.1, XP_034186043.1, XP_034186034.1
OG0000119	NP_001157311.1	XP_034185219.1, XP_034185196.1, XP_034185454.1, XP_034185227.1, XP_034185236.1
OG0000120	XP_015838347.1	XP_034188385.1
OG0000122	XP_015834556.1	XP_034183230.1
OG0000122	XP_008192222.1	XP_034171356.1, XP_034171357.1
OG0000122	XP_008190630.1, XP_970917.2, NP_001280526.1	XP_034174067.1
OG0000123	XP_001813105.1	XP_034189051.1, XP_034189052.1
OG0000124	XP_015834874.1	XP_034195724.1, XP_034195725.1, XP_034195722.1, XP_034195721.1, XP_034195720.1, XP_034195715.1, XP_034195714.1, XP_034195719.1, XP_034195718.1, XP_034195717.1, XP_034195716.1
OG0000125	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1	XP_034195792.1, XP_034195791.1, XP_034195790.1, XP_034195789.1
OG0000126	NP_001034505.1	XP_034182851.1, XP_034182856.1, XP_034182855.1, XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182850.1
OG0000127	NP_001280519.1, XP_015839687.1	XP_034173169.1, XP_034173170.1
OG0000129	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1	XP_034176178.1, XP_034176173.1, XP_034176171.1, XP_034176172.1, XP_034176175.1, XP_034176174.1, XP_034176177.1, XP_034176176.1
OG0000130	XP_008200084.1, XP_001811552.1	XP_034182741.1, XP_034182770.1, XP_034182761.1
OG0000130	XP_008200083.1	XP_034183368.1, XP_034183281.1
OG0000131	XP_001808435.1	XP_034176064.1
OG0000131	XP_008198189.1, XP_968387.1, XP_008198188.1	XP_034182652.1, XP_034182661.1
OG0000132	XP_008198166.1, XP_015839207.1	XP_034187328.1, XP_034187330.1
OG0000133	XP_975308.3	XP_034182098.1, XP_034182097.1
OG0000133	XP_015840591.1	XP_034172967.1, XP_034172964.1
OG0000135	XP_015833857.1, XP_008194086.1	XP_034180180.1
OG0000135	XP_008190640.1, XP_008190639.1	XP_034173405.1
OG0000135	NP_001153713.1	XP_034194710.1
OG0000136	XP_971514.1, XP_971572.1	XP_034180981.1, XP_034173810.1
OG0000137	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1	XP_034196013.1, XP_034190610.1, XP_034190609.1, XP_034190611.1, XP_034190608.1, XP_034178422.1
OG0000138	XP_015840574.1, XP_967720.2, XP_015840573.1	XP_034181257.1, XP_034181256.1, XP_034181258.1, XP_034181252.1, XP_034181253.1, XP_034181250.1, XP_034181251.1, XP_034181249.1, XP_034181254.1, XP_034181259.1
OG0000139	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1	XP_034187809.1
OG0000140	XP_973264.1	XP_034191662.1, XP_034191663.1, XP_034191664.1, XP_034191666.1, XP_034191665.1, XP_034191659.1
OG0000141	XP_015833202.1	XP_034180611.1, XP_034180612.1, XP_034180613.1, XP_034180614.1
OG0000141	XP_008193877.2	XP_034191369.1, XP_034191364.1, XP_034191348.1, XP_034191355.1
OG0000143	XP_008192676.1	XP_034170956.1, XP_034170957.1, XP_034170955.1, XP_034170950.1
OG0000144	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1	XP_034185501.1, XP_034185500.1
OG0000145	XP_008193348.1	XP_034172080.1, XP_034172081.1, XP_034172082.1, XP_034172083.1
OG0000146	XP_966544.1, XP_001811608.2	XP_034191002.1
OG0000147	XP_966688.1	XP_034172317.1, XP_034176955.1, XP_034176956.1, XP_034176953.1, XP_034176954.1, XP_034176959.1, XP_034176957.1, XP_034176958.1
OG0000149	XP_008191323.1	XP_034188253.1
OG0000150	XP_015838556.1, XP_015838555.1, XP_015838554.1	XP_034191022.1
OG0000151	XP_969439.1, XP_015840091.1	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1
OG0000152	XP_966734.2	XP_034190547.1, XP_034190545.1, XP_034190544.1, XP_034190543.1, XP_034190550.1, XP_034190549.1, XP_034190548.1, XP_034190542.1
OG0000153	XP_970869.1, XP_008195606.1	XP_034191920.1, XP_034191919.1, XP_034191916.1, XP_034191917.1, XP_034191915.1, XP_034191918.1
OG0000154	XP_008195104.1	XP_034183985.1
OG0000155	XP_015840329.1	XP_034192272.1, XP_034194779.1
OG0000155	XP_015840229.1, XP_015840425.1	XP_034194795.1
OG0000156	XP_008199571.1, XP_008199569.1, XP_008199570.1	XP_034172064.1
OG0000157	NP_001161084.1, XP_008194710.1, NP_001161130.1	XP_034178431.1, XP_034178176.1, XP_034178177.1, XP_034178427.1, XP_034178570.1, XP_034178430.1
OG0000158	XP_008198818.1	XP_034177301.1, XP_034177337.1, XP_034177300.1, XP_034177310.1, XP_034177338.1
OG0000160	XP_008199283.1	XP_034176220.1, XP_034176221.1
OG0000160	XP_967023.4	XP_034182275.1
OG0000161	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3	XP_034182690.1
OG0000162	XP_008201498.1, NP_001103246.1	XP_034185575.1
OG0000162	NP_001103245.1	XP_034184537.1
OG0000163	XP_015839362.1, XP_008197923.1, XP_015840038.1	XP_034192171.1
OG0000164	XP_015833602.1, XP_015840341.1, XP_015833616.1	XP_034196183.1, XP_034195536.1
OG0000165	XP_008192571.1	XP_034181772.1, XP_034181773.1, XP_034181774.1
OG0000165	XP_974173.2	XP_034193100.1
OG0000166	XP_008199436.1, XP_008199431.1	XP_034172021.1, XP_034172006.1, XP_034171988.1, XP_034171990.1
OG0000169	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1	XP_034195551.1
OG0000170	XP_008193117.1, XP_008193116.1	XP_034186107.1, XP_034186108.1, XP_034186114.1
OG0000171	XP_971346.1, XP_015836633.1	XP_034175616.1, XP_034175629.1
OG0000173	XP_008194517.1	XP_034193474.1, XP_034193472.1, XP_034193473.1, XP_034193470.1, XP_034193475.1, XP_034193476.1
OG0000174	XP_015838513.1	XP_034180576.1, XP_034180577.1, XP_034180578.1
OG0000175	XP_974770.1, XP_015836695.1	XP_034180406.1, XP_034180404.1, XP_034180403.1, XP_034180402.1
OG0000176	XP_008195214.1	XP_034194212.1, XP_034171203.1
OG0000177	XP_971910.1	XP_034175291.1
OG0000177	XP_008194311.1	XP_034176051.1, XP_034176049.1
OG0000177	XP_972019.2	XP_034176052.1
OG0000178	XP_008200484.2, XP_015835582.1	XP_034190100.1, XP_034190095.1
OG0000179	XP_008194977.1	XP_034186565.1, XP_034186567.1
OG0000179	XP_966308.2	XP_034186839.1
OG0000180	XP_976031.1, XP_008200320.1	XP_034190519.1, XP_034190518.1, XP_034190520.1
OG0000181	NP_001280548.1, XP_008193833.1	XP_034175483.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175487.1, XP_034175489.1, XP_034175488.1
OG0000182	XP_015832992.1	XP_034185960.1, XP_034185984.1, XP_034185975.1, XP_034185966.1
OG0000183	XP_975025.1	XP_034184393.1, XP_034184394.1
OG0000183	XP_970665.1	XP_034184584.1
OG0000184	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3	XP_034172644.1, XP_034172643.1, XP_034172641.1, XP_034172642.1
OG0000185	XP_008197397.1	XP_034191549.1, XP_034191548.1
OG0000186	XP_008199126.1, XP_008199118.1, XP_015835450.1	XP_034172036.1, XP_034172037.1, XP_034172035.1
OG0000187	XP_975362.1	XP_034184427.1, XP_034184426.1, XP_034184425.1, XP_034184424.1
OG0000188	XP_008197500.1	XP_034183311.1
OG0000188	XP_967501.2	XP_034174014.1
OG0000189	XP_008198457.1, XP_008193919.1	XP_034173527.1, XP_034173528.1, XP_034173529.1
OG0000190	XP_015839424.1, XP_968802.1	XP_034178973.1
OG0000191	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2	XP_034193856.1
OG0000192	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1	XP_034188823.1, XP_034188824.1, XP_034188825.1
OG0000194	XP_008193011.1	XP_034172732.1
OG0000194	NP_001280525.1	XP_034179980.1, XP_034179976.1, XP_034179971.1
OG0000196	XP_969047.2	XP_034182940.1, XP_034182938.1, XP_034182937.1
OG0000196	XP_967948.2	XP_034194596.1
OG0000197	XP_015837925.1	XP_034180318.1, XP_034180320.1, XP_034180317.1, XP_034180316.1
OG0000200	XP_974164.1	XP_034194186.1
OG0000200	XP_967143.1, XP_015839106.1, XP_974030.1	XP_034175393.1, XP_034175399.1
OG0000201	XP_015833113.1	XP_034190160.1
OG0000201	XP_974115.1	XP_034190159.1
OG0000202	XP_008196489.1, XP_008196491.1, XP_008196490.1	XP_034174741.1
OG0000203	XP_972061.1	XP_034176454.1
OG0000204	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1	XP_034178486.1, XP_034178485.1
