Orthogroup	Megalopta_genalis	Apis_mellifera
OG0000020	XP_033323952.1, XP_033323953.1	XP_026300927.1
OG0000021	XP_033327467.1	XP_026299753.1
OG0000022	XP_033328481.1	XP_001119899.1
OG0000022	XP_033326609.1	XP_624700.1
OG0000022	XP_033328967.1, XP_033328581.1	XP_001120346.1
OG0000022	XP_033328625.1	XP_001120186.1
OG0000023	XP_033328578.1	XP_003251626.1
OG0000024	XP_033339085.1, XP_033339401.1, XP_033329817.1	XP_026299083.1, XP_001120613.2
OG0000024	XP_033340779.1	XP_016773395.2
OG0000025	XP_033330636.1	XP_026294993.1, XP_026295496.1
OG0000026	XP_033339312.1	XP_392530.3
OG0000026	XP_033330956.1, XP_033330958.1	XP_006557594.2
OG0000026	XP_033340742.1	XP_026295189.1
OG0000026	XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1	XP_003251584.1
OG0000027	XP_033328968.1	XP_003251624.1
OG0000027	XP_033328627.1, XP_033328773.1	XP_006570863.1
OG0000029	XP_033327295.1	NP_001257746.1
OG0000029	XP_033338642.1	NP_001257750.1
OG0000029	XP_033327378.1	NP_001257748.1
OG0000029	XP_033327383.1	NP_001257749.1
OG0000030	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1	NP_001177849.1, XP_006572276.1
OG0000030	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1	XP_026300187.1
OG0000032	XP_033340631.1	XP_026298886.1
OG0000033	XP_033331624.1	XP_016771932.2
OG0000035	XP_033326685.1	XP_392319.3
OG0000035	XP_033326629.1, XP_033326628.1	XP_394494.5
OG0000036	XP_033340619.1, XP_033331129.1, XP_033339844.1, XP_033340605.1, XP_033340632.1	XP_016771997.1, XP_001120999.2
OG0000036	XP_033341377.1, XP_033341389.1	XP_006563421.1
OG0000036	XP_033341270.1, XP_033341293.1, XP_033341282.1	XP_006563422.1
OG0000036	XP_033341364.1	XP_001121077.2
OG0000036	XP_033324523.1, XP_033324493.1	XP_003250085.1
OG0000037	XP_033322268.1	NP_001257751.1
OG0000038	XP_033322848.1	XP_623220.1
OG0000038	XP_033330101.1	XP_006567025.1
OG0000038	XP_033327050.1	XP_006558759.1
OG0000038	XP_033340658.1	XP_394092.3
OG0000038	XP_033327650.1	XP_006563567.1
OG0000038	XP_033322343.1	XP_026300252.1
OG0000038	XP_033322376.1, XP_033322375.1	XP_396338.2
OG0000041	XP_033333606.1, XP_033333605.1	NP_001172074.1, NP_001172075.1
OG0000041	XP_033322537.1	XP_026296530.1
OG0000041	XP_033322535.1	XP_003251464.1, XP_016767697.1
OG0000041	XP_033338815.1	XP_625015.1
OG0000042	XP_033329807.1, XP_033329806.1	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1
OG0000042	XP_033329812.1	XP_026295892.1, XP_026295893.1
OG0000043	XP_033340088.1	XP_016768084.1, NP_001071287.1
OG0000043	XP_033339734.1	NP_001011583.1
OG0000043	XP_033339691.1	XP_006557941.1, NP_001071282.1
OG0000044	XP_033322614.1	XP_006565547.1
OG0000044	XP_033323078.1, XP_033323667.1	XP_006565544.2
OG0000044	XP_033334549.1	XP_006565537.1
OG0000045	XP_033323543.1	NP_001035326.1
OG0000045	XP_033329211.1	NP_001035349.1
OG0000045	XP_033323567.1, XP_033323555.1	NP_001011608.1
OG0000045	XP_033327991.1	XP_006564814.1, XP_026296732.1, XP_006564813.1
OG0000046	XP_033341697.1	NP_001153524.1
OG0000046	XP_033341090.1	NP_001153522.1
OG0000048	XP_033333402.1	XP_016769367.1
OG0000048	XP_033333675.1	XP_026298613.1
OG0000048	XP_033333474.1	XP_006567535.1
OG0000050	XP_033332897.1, XP_033332837.1	XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1
OG0000054	XP_033321308.1	NP_001257759.1
OG0000054	XP_033321391.1, XP_033321390.1	NP_001257753.1
OG0000055	XP_033330133.1	XP_016771370.1
OG0000055	XP_033323580.1	XP_393860.4
OG0000056	XP_033329125.1	XP_026297251.1
OG0000056	XP_033329947.1	XP_026301167.1
OG0000056	XP_033321060.1	XP_026297087.1
OG0000056	XP_033332176.1	XP_026296769.1
OG0000056	XP_033342931.1, XP_033342927.1	XP_026299492.1
OG0000057	XP_033338100.1	XP_392313.1
OG0000057	XP_033330917.1	XP_026300739.1
OG0000057	XP_033338102.1	XP_394471.1
OG0000057	XP_033338099.1	XP_394469.1
OG0000058	XP_033339143.1, XP_033339144.1	XP_026294942.1
OG0000058	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339287.1, XP_033339137.1, XP_033339139.1, XP_033339138.1, XP_033339134.1	NP_001314879.1, XP_016766488.1, XP_026294950.1, XP_026294949.1, XP_016766484.1, XP_026301740.1, XP_016766491.1, XP_006557709.2, XP_026294837.1, XP_026300513.1, XP_006571977.2, XP_026301741.1, XP_026297763.1, XP_026298536.1
OG0000060	XP_033325149.1, XP_033325147.1	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2
OG0000060	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1	NP_001180219.1, XP_006565210.1
OG0000061	XP_033328585.1	XP_397017.3
OG0000061	XP_033333649.1	XP_624322.1, XP_016773033.1
OG0000062	XP_033339725.1	XP_001119884.1
OG0000062	XP_033323498.1	XP_001120194.1
OG0000066	XP_033339069.1, XP_033339070.1, XP_033322899.1, XP_033336647.1, XP_033325791.1, XP_033330914.1, XP_033331125.1	XP_006569791.3
OG0000067	XP_033333911.1	XP_006561513.1
OG0000067	XP_033335042.1	XP_026299464.1
OG0000067	XP_033335707.1	XP_006560064.1
OG0000067	XP_033336615.1	XP_395774.2
OG0000069	XP_033334725.1	XP_006564460.2, XP_392727.4
OG0000069	XP_033334726.1, XP_033334728.1	XP_016770442.2
OG0000070	XP_033333736.1, XP_033333776.1	NP_001229918.1
OG0000073	XP_033331553.1, XP_033331552.1	XP_003250137.2
OG0000073	XP_033341264.1, XP_033341263.1, XP_033341369.1	XP_003251791.2
OG0000074	XP_033343118.1	XP_001120594.2
OG0000077	XP_033333760.1	XP_006567467.1
OG0000077	XP_033332959.1	XP_395426.5
OG0000078	XP_033337649.1	XP_026294842.1
OG0000078	XP_033342126.1	XP_006572184.2, XP_026294928.1, XP_026294834.1
OG0000078	XP_033337334.1, XP_033337342.1, XP_033337625.1, XP_033337637.1	XP_026294841.1
OG0000079	XP_033333837.1	XP_026295829.1
OG0000079	XP_033333901.1	XP_006562781.1
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_397228.2
OG0000080	XP_033335311.1	XP_623221.2
OG0000080	XP_033326285.1	XP_006559470.1
OG0000081	XP_033339803.1	XP_006563549.2, NP_001229913.1, XP_016772002.2, XP_394081.6, XP_026301357.1, XP_016772004.2, XP_026301413.1
OG0000082	XP_033336170.1	XP_006565018.1
OG0000082	XP_033336011.1	XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2
OG0000084	XP_033339433.1	NP_001257744.1
OG0000084	XP_033339434.1	NP_001257757.1
OG0000084	XP_033339432.1	NP_001257743.1
OG0000084	XP_033337518.1	XP_026300413.1
OG0000085	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1	XP_394579.2
OG0000086	XP_033341642.1	XP_016772143.2, XP_001120043.2
OG0000086	XP_033331032.1	XP_016772088.2
OG0000087	XP_033330624.1, XP_033324927.1	XP_624353.1
OG0000088	XP_033340711.1	XP_006566240.1, XP_006566239.1, XP_026299220.1
OG0000089	XP_033329242.1, XP_033329243.1, XP_033329244.1	XP_003249883.2, XP_016768850.2
OG0000089	XP_033320834.1	XP_001120425.1
OG0000091	XP_033327591.1, XP_033327610.1	XP_026299597.1, XP_026299596.1
OG0000092	XP_033322679.1, XP_033322678.1	XP_006558182.1, XP_396653.1
OG0000092	XP_033322688.1	XP_396654.1, XP_016768016.1
OG0000092	XP_033332253.1	XP_006560146.1
OG0000094	XP_033328912.1	XP_394160.3, XP_016770351.2
OG0000094	XP_033338575.1	XP_006572211.1
OG0000095	XP_033334699.1, XP_033334698.1	XP_006564430.1
OG0000096	XP_033336669.1	XP_026300868.1
OG0000096	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1	XP_003250667.2, XP_006562163.1
OG0000097	XP_033322825.1	XP_006566906.1, NP_001011628.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	XP_006561279.1
OG0000099	XP_033322301.1	XP_026301459.1
OG0000099	XP_033322345.1	XP_026301457.1, XP_026301458.1
OG0000099	XP_033341688.1	XP_006563474.1
OG0000100	XP_033332436.1, XP_033332438.1, XP_033332435.1	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1
OG0000101	XP_033329295.1	XP_016769181.1
OG0000101	XP_033329294.1, XP_033329291.1	XP_016769182.2
OG0000102	XP_033337546.1	XP_026298009.1
OG0000102	XP_033327585.1	XP_016768868.1, XP_006559629.1
OG0000103	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1
OG0000103	XP_033321001.1	XP_026298877.1
OG0000103	XP_033320999.1, XP_033321000.1	XP_006558409.1, XP_016770073.1, XP_006558410.1
OG0000106	XP_033325290.1	XP_001120660.2
OG0000107	XP_033342710.1	XP_006570363.1
OG0000108	XP_033333478.1	XP_026296997.1, XP_026296995.1, XP_026296996.1
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1
OG0000110	XP_033334675.1, XP_033333647.1	XP_016771820.2
OG0000111	XP_033327466.1	XP_016769305.2
OG0000112	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1	XP_016770669.1
OG0000112	XP_033338986.1	XP_395840.2
OG0000113	XP_033339074.1	XP_001120149.1
OG0000113	XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_001121347.2
OG0000114	XP_033328279.1	XP_026296673.1
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1	NP_001153742.1, XP_026295756.1
OG0000115	XP_033336981.1	NP_001136128.1, XP_006560566.1
OG0000116	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1
OG0000117	XP_033329862.1	XP_006566844.1
OG0000117	XP_033333385.1	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1
OG0000119	XP_033333666.1	XP_006567540.1, XP_006567591.1
OG0000119	XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1	XP_016769352.1
OG0000120	XP_033326033.1, XP_033326042.1	XP_026295458.1
OG0000120	XP_033323873.1	XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1
OG0000122	XP_033334236.1	XP_006569022.1
OG0000123	XP_033333520.1, XP_033333521.1	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1
OG0000125	XP_033321046.1, XP_033321048.1	XP_016768147.1
OG0000125	XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1	XP_393208.1
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	XP_016772382.1, NP_001011571.1
OG0000127	XP_033341265.1	XP_006570777.1, XP_016771428.1, XP_016771429.1
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1
OG0000130	XP_033328411.1	XP_006568433.1, XP_006568428.1
OG0000130	XP_033328425.1, XP_033328424.1, XP_033328423.1	XP_394686.4
OG0000130	XP_033328418.1	XP_026297554.1, XP_394687.3, XP_006565573.1
OG0000131	XP_033335039.1	XP_006564418.1
OG0000131	XP_033340309.1, XP_033340308.1	XP_392990.2, XP_003251503.1
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1	XP_006569358.1, XP_006569359.1, XP_016767260.1
OG0000132	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1	XP_006567280.1, XP_006567283.1, XP_006567281.1
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1
OG0000133	XP_033332587.1	XP_006571481.2
OG0000135	XP_033328565.1	XP_006570858.1, XP_026300893.1
OG0000136	XP_033340885.1	XP_001123230.2
OG0000136	XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1	XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000137	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1	XP_006561534.1
OG0000138	XP_033329393.1, XP_033329391.1, XP_033329394.1	XP_006561540.1
OG0000139	XP_033336023.1	XP_026302052.1
OG0000140	XP_033336138.1, XP_033336137.1	XP_006565855.1, XP_006565854.1, XP_006565856.1
OG0000141	XP_033323945.1	XP_396377.3, XP_016771703.1
OG0000142	XP_033330200.1, XP_033330159.1, XP_033330161.1	XP_026300389.1
OG0000142	XP_033330157.1, XP_033330202.1, XP_033330203.1, XP_033330160.1, XP_033330163.1, XP_033330158.1, XP_033330192.1, XP_033330162.1, XP_033335998.1, XP_033335872.1	XP_026300390.1
OG0000143	XP_033338241.1, XP_033338240.1, XP_033338242.1	XP_394342.1
OG0000143	XP_033338224.1	XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1
OG0000144	XP_033329958.1, XP_033329957.1	NP_001092187.1
OG0000145	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1	XP_006571519.1, NP_001128406.1
OG0000145	XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1	XP_006557552.1, NP_001011643.1
OG0000146	XP_033338432.1	XP_006569990.1
OG0000146	XP_033321210.1	XP_001120801.1
OG0000147	XP_033341113.1, XP_033341112.1	XP_026301958.1
OG0000149	XP_033323096.1	XP_624573.2
OG0000149	XP_033323100.1, XP_033323099.1	XP_006560541.1
OG0000150	XP_033330026.1, XP_033330029.1	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_006557622.1
OG0000154	XP_033321243.1, XP_033321242.1	XP_003249939.3
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1
OG0000157	XP_033333782.1	XP_016771183.1
OG0000157	XP_033334269.1	XP_016771274.2
OG0000158	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1	XP_026295419.1, XP_026296654.1
OG0000160	XP_033342703.1, XP_033342702.1	XP_006570492.2
OG0000161	XP_033331231.1	NP_001011563.1
OG0000161	XP_033321839.1	NP_001119716.1
OG0000162	XP_033334806.1	NP_001091691.1, XP_006562616.1
OG0000162	XP_033338174.1	NP_001091690.1, XP_026298411.1
OG0000164	XP_033320770.1	XP_016768018.2
OG0000164	XP_033343121.1	XP_006558190.2
OG0000165	XP_033333149.1, XP_033333152.1	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2
OG0000165	XP_033335006.1	XP_006566324.1
OG0000168	XP_033341755.1	XP_016766381.2
OG0000168	XP_033339918.1	NP_001035325.2
OG0000169	XP_033338959.1	XP_026296993.1
OG0000170	XP_033325782.1	XP_006566077.2
OG0000170	XP_033325779.1	XP_026299163.1
OG0000171	XP_033333056.1	XP_623922.2
OG0000172	XP_033326361.1	XP_006565262.1, XP_006565259.1, XP_006565261.1
OG0000173	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1	XP_006560020.1, XP_006560019.1
OG0000174	XP_033336682.1, XP_033336684.1, XP_033336683.1	XP_394018.2
OG0000175	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1
OG0000176	XP_033321468.1, XP_033321469.1	XP_003251204.1
OG0000177	XP_033335034.1	XP_001121910.1
OG0000177	XP_033334971.1	XP_016770327.1, XP_006566372.1
OG0000177	XP_033334932.1	XP_016770328.1
OG0000178	XP_033330470.1, XP_033330472.1	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1, XP_026295371.1, XP_026295357.1
OG0000179	XP_033324424.1	XP_026301506.1
OG0000179	XP_033329714.1	XP_393381.2
OG0000180	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1
OG0000181	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1	XP_393751.2, XP_006570397.2, XP_016770282.2
OG0000182	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1	XP_006561855.2
OG0000183	XP_033334085.1	XP_026298476.1, XP_026298477.1
OG0000183	XP_033333570.1	XP_395404.2
OG0000184	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1	XP_016773569.1, XP_026300573.1
OG0000185	XP_033335695.1, XP_033335694.1	XP_003250560.1
OG0000186	XP_033322600.1	XP_001119981.4
OG0000187	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1	XP_016769442.2
OG0000188	XP_033338475.1	XP_394855.4
OG0000188	XP_033332397.1, XP_033339920.1	XP_395697.2
OG0000190	XP_033320777.1, XP_033320785.1, XP_033320794.1, XP_033320771.1	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1
OG0000191	XP_033324612.1, XP_033324613.1	XP_026301152.1
OG0000192	XP_033330674.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1, XP_033330689.1, XP_033330679.1, XP_033330678.1, XP_033330686.1, XP_033330685.1, XP_033330677.1, XP_033330690.1, XP_033330687.1, XP_033330688.1, XP_033330692.1, XP_033330676.1, XP_033330675.1	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000194	XP_033339145.1	XP_003249950.2
OG0000194	XP_033339236.1	NP_001257752.1
OG0000194	XP_033339249.1	XP_006561931.1, XP_016769566.1, XP_016769565.2
OG0000196	XP_033325034.1	XP_003250051.2
OG0000196	XP_033326430.1	XP_003251169.1, XP_016771426.1
OG0000197	XP_033335784.1	XP_006565013.1, XP_016773443.1, XP_026300501.1
OG0000197	XP_033335975.1, XP_033335974.1, XP_033335976.1, XP_033335973.1	XP_006565014.2
OG0000198	XP_033335479.1	XP_624772.2
OG0000200	XP_033342572.1	XP_006566649.2
OG0000200	XP_033342575.1	XP_006566650.1
OG0000201	XP_033340957.1	XP_006562412.3
OG0000202	XP_033333432.1, XP_033333433.1	XP_006558615.1
OG0000202	XP_033333451.1	XP_016768758.1, XP_016768759.1
OG0000203	XP_033330196.1	XP_623676.2
OG0000203	XP_033332078.1	XP_006558107.2, XP_395356.4
OG0000204	XP_033332020.1, XP_033332021.1	XP_001121814.2
OG0000205	XP_033323241.1, XP_033323242.1, XP_033323243.1, XP_033323244.1	XP_016766914.1
OG0000206	XP_033326332.1, XP_033332305.1	XP_026300186.1
OG0000207	XP_033334745.1	XP_006566311.1
OG0000207	XP_033335457.1	NP_001011652.1
OG0000207	XP_033335455.1	NP_001305411.1
OG0000208	XP_033335301.1	XP_006562317.1
OG0000208	XP_033341683.1, XP_033341671.1	XP_625189.3
OG0000209	XP_033325797.1, XP_033325796.1	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1
OG0000210	XP_033321038.1	XP_026297186.1
OG0000210	XP_033331494.1	XP_016769921.1
OG0000210	XP_033339699.1	XP_006562251.2
OG0000212	XP_033337306.1	XP_026298300.1
OG0000213	XP_033335273.1, XP_033335255.1, XP_033335248.1, XP_033335265.1	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000214	XP_033329279.1	XP_623084.1
OG0000214	XP_033332495.1	XP_392104.4
OG0000215	XP_033324846.1	XP_016772012.1
OG0000215	XP_033324848.1	XP_394061.2
OG0000216	XP_033329437.1	XP_016767691.1
OG0000217	XP_033326893.1	XP_394861.4
OG0000218	XP_033324698.1, XP_033324701.1, XP_033324699.1, XP_033324700.1, XP_033324694.1, XP_033324693.1, XP_033324696.1, XP_033324695.1	XP_623312.2
OG0000219	XP_033341813.1, XP_033341838.1, XP_033341823.1, XP_033341832.1, XP_033341847.1	XP_392277.4, XP_006563970.2
OG0000221	XP_033341189.1	XP_006571382.1
OG0000223	XP_033321135.1, XP_033336081.1	NP_001157186.1, XP_016769330.2
OG0000223	XP_033326615.1	XP_001121634.3
OG0000224	XP_033336757.1	XP_006560620.1
OG0000225	XP_033326964.1	XP_006567210.2
OG0000226	XP_033334005.1	XP_026300579.1
OG0000227	XP_033335345.1, XP_033335343.1, XP_033335344.1, XP_033335341.1, XP_033335342.1	XP_006562291.2, XP_006562294.2, XP_006562293.2, XP_016770836.2
OG0000229	XP_033329851.1, XP_033329859.1	XP_001121505.2
OG0000230	XP_033334946.1	XP_001122612.2
OG0000230	XP_033332064.1, XP_033332065.1	XP_026300638.1, XP_026300637.1
