Orthogroup	Megalopta_genalis	Solenopsis_invicta
OG0000032	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1	XP_011159466.2
OG0000032	XP_033340631.1	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000033	XP_033328398.1	XP_025996388.2
OG0000035	XP_033326685.1	XP_039312187.1
OG0000035	XP_033326629.1, XP_033326628.1	XP_025987669.2
OG0000036	XP_033340191.1, XP_033340178.1, XP_033341270.1, XP_033341293.1, XP_033341282.1, XP_033341364.1, XP_033324523.1, XP_033324493.1	XP_011166049.1
OG0000037	XP_033322268.1	XP_011161783.1
OG0000038	XP_033322848.1, XP_033330101.1	XP_011172049.1
OG0000038	XP_033327050.1	XP_011173370.1
OG0000038	XP_033327650.1	XP_011174246.2
OG0000038	XP_033322343.1	XP_025991821.1
OG0000039	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1	XP_039315519.1, XP_025996976.1, XP_011161413.1, XP_039307954.1, XP_011164139.3, XP_039315258.1, XP_039309669.1, XP_011171625.1, XP_039306397.1, XP_039304359.1, XP_011170179.1, XP_039301770.1, XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1
OG0000039	XP_033321520.1	XP_025985703.1
OG0000040	XP_033322715.1, XP_033322612.1	XP_011157958.2, XP_011160398.1
OG0000040	XP_033323605.1, XP_033323606.1	XP_011155958.2, XP_025987203.2
OG0000041	XP_033333605.1	XP_011173741.1
OG0000041	XP_033322537.1	XP_039304943.1, XP_039304942.1, XP_011173639.1
OG0000041	XP_033339804.1, XP_033322547.1, XP_033322535.1, XP_033322540.1	XP_011173634.1, XP_011173641.1
OG0000041	XP_033338815.1	XP_011167847.1
OG0000042	XP_033329807.1, XP_033329806.1	XP_025988401.1, XP_025988400.1
OG0000042	XP_033329812.1	XP_025993549.1, XP_011172554.1
OG0000043	XP_033340088.1	XP_011166108.1
OG0000043	XP_033330269.1	XP_011172450.1
OG0000044	XP_033322614.1	XP_039306340.1, XP_025986513.2
OG0000044	XP_033323078.1, XP_033323667.1	XP_025986454.1
OG0000044	XP_033334549.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_033323543.1	XP_011157503.2
OG0000045	XP_033329211.1	XP_011156768.2
OG0000045	XP_033323567.1, XP_033323555.1	XP_025992324.2
OG0000045	XP_033327991.1	XP_039312826.1
OG0000046	XP_033341697.1	XP_011168512.1
OG0000046	XP_033341090.1	XP_011168531.1
OG0000048	XP_033333675.1	XP_011160449.2
OG0000049	XP_033322820.1	XP_039302752.1, XP_039313275.1, XP_039310745.1, XP_039312988.1, XP_039315632.1
OG0000049	XP_033334390.1, XP_033329021.1	XP_011166542.2, XP_039303155.1, XP_039302674.1, XP_039303372.1, XP_039304370.1, XP_025997858.2, XP_039315445.1, XP_025997875.2, XP_039315238.1, XP_025992395.2, XP_039310999.1, XP_039308535.1, XP_039308574.1, XP_039312526.1, XP_039312758.1, XP_039307673.1, XP_039302736.1, XP_039302387.1, XP_039307694.1, XP_039306461.1, XP_039301800.1, XP_025992494.2
OG0000052	XP_033323679.1	XP_039313337.1
OG0000053	XP_033335402.1, XP_033331112.1	XP_011162891.2
OG0000054	XP_033321308.1	XP_011164393.2
OG0000054	XP_033321391.1, XP_033321390.1	XP_011164215.1, XP_011164214.2
OG0000055	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1	XP_039311167.1
OG0000055	XP_033330133.1	XP_039311121.1
OG0000055	XP_033323580.1	XP_011162045.1
OG0000056	XP_033329125.1	XP_039301684.1
OG0000056	XP_033343017.1	XP_025992809.2
OG0000056	XP_033329947.1	XP_011167471.3
OG0000056	XP_033321060.1	XP_039313454.1
OG0000056	XP_033332176.1	XP_039306715.1
OG0000057	XP_033338100.1	XP_011165693.1
OG0000057	XP_033330917.1	XP_011161996.1
OG0000057	XP_033338102.1	XP_011165691.1
OG0000057	XP_033338099.1	XP_011165692.1
OG0000058	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339287.1, XP_033339137.1, XP_033339139.1, XP_033339138.1, XP_033339134.1	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1
OG0000059	XP_033334412.1, XP_033334413.1	XP_025997481.2
OG0000059	XP_033324362.1, XP_033324363.1, XP_033324361.1, XP_033332589.1, XP_033323469.1, XP_033329015.1, XP_033334385.1	XP_025993817.1, XP_039302107.1, XP_039302911.1, XP_025995022.2
OG0000060	XP_033325149.1, XP_033325147.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_033328585.1	XP_039310102.1
OG0000061	XP_033340644.1	XP_039311104.1
OG0000063	XP_033331128.1	XP_025994603.1, XP_039315362.1, XP_025997464.2, XP_039310407.1, XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2, XP_039303555.1, XP_025989898.1, XP_011171877.1, XP_039306356.1, XP_039309572.1, XP_039315364.1, XP_039304184.1
OG0000065	XP_033320904.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000066	XP_033339069.1, XP_033339070.1, XP_033322899.1, XP_033336647.1, XP_033325791.1, XP_033330914.1, XP_033331125.1, XP_033335269.1, XP_033339072.1, XP_033339073.1, XP_033339079.1, XP_033339076.1, XP_033339080.1, XP_033322435.1	XP_039309173.1
OG0000066	XP_033326446.1, XP_033325792.1, XP_033332603.1	XP_039306035.1, XP_039312738.1, XP_039302943.1, XP_011173934.3, XP_025996408.2, XP_039303305.1, XP_039313707.1, XP_039303413.1, XP_025996127.1, XP_011159374.1
OG0000067	XP_033333911.1	XP_011168949.1
OG0000067	XP_033335707.1	XP_011157858.1, XP_025991420.1
OG0000067	XP_033336615.1	XP_025989655.1
OG0000069	XP_033334725.1	XP_025987486.1
OG0000069	XP_033334726.1, XP_033334728.1	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3
OG0000070	XP_033333736.1, XP_033333776.1	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1
OG0000071	XP_033329354.1	XP_039312667.1, XP_025987085.2, XP_039303086.1, XP_039302962.1
OG0000072	XP_033326117.1	XP_039313968.1
OG0000072	XP_033334346.1	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1
OG0000073	XP_033341264.1, XP_033341263.1, XP_033341369.1	XP_011157914.1
OG0000074	XP_033343118.1	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000076	XP_033339833.1	XP_011165898.1
OG0000077	XP_033333760.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_033332959.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_033337649.1	XP_011156318.2, XP_039310413.1, XP_039310414.1, XP_039310426.1, XP_011155581.2, XP_011155595.2, XP_011155606.1
OG0000078	XP_033342126.1	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1
OG0000079	XP_033333836.1	XP_039303157.1, XP_011155938.1
OG0000079	XP_033333904.1, XP_033333901.1	XP_025987036.2
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_033335311.1	XP_025995013.1
OG0000080	XP_033326285.1	XP_011173727.1
OG0000081	XP_033339806.1	XP_039314329.1
OG0000081	XP_033339803.1	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2
OG0000082	XP_033336010.1	XP_011158501.1
OG0000082	XP_033336011.1	XP_011158493.1
OG0000082	XP_033336012.1	XP_011158531.2
OG0000084	XP_033339433.1	XP_011155841.2
OG0000084	XP_033339434.1	XP_011155844.1
OG0000084	XP_033339432.1	XP_039310256.1, XP_011155840.3
OG0000084	XP_033337518.1	XP_011155335.1
OG0000085	XP_033337654.1	XP_025987478.1, XP_025987477.1
OG0000086	XP_033341642.1	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	XP_033331032.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_033330624.1, XP_033324927.1	XP_025989498.1, XP_011170042.2
OG0000088	XP_033340711.1	XP_025996218.1, XP_039311698.1
OG0000089	XP_033329242.1, XP_033329243.1, XP_033329244.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_033320834.1	XP_011171848.1
OG0000091	XP_033327591.1, XP_033327610.1	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_033328764.1	XP_011165503.1
OG0000092	XP_033322679.1, XP_033322678.1	XP_011175720.1, XP_011175721.1
OG0000092	XP_033332253.1	XP_011162964.1
OG0000093	XP_033326118.1, XP_033326113.1	XP_039313509.1, XP_039303479.1, XP_011161917.1
OG0000093	XP_033330936.1	XP_039306021.1
OG0000094	XP_033328912.1	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000095	XP_033334699.1, XP_033334698.1	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1
OG0000096	XP_033336669.1	XP_011156409.1, XP_039313932.1
OG0000096	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1	XP_039306601.1
OG0000097	XP_033322825.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	XP_025996352.1
OG0000099	XP_033322301.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_033322345.1	XP_039314426.1
OG0000099	XP_033341688.1	XP_011164670.2
OG0000101	XP_033329295.1	XP_011159599.3
OG0000101	XP_033329294.1, XP_033329291.1	XP_025989569.1
OG0000102	XP_033337546.1	XP_025989688.2, XP_025989699.1
OG0000102	XP_033327585.1	XP_011164886.1, XP_011164887.1, XP_039303339.1, XP_039303337.1, XP_025989702.1, XP_025989701.1, XP_025989700.1, XP_011164888.1, XP_025989703.1
OG0000103	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1	XP_011161395.1
OG0000103	XP_033321001.1	XP_011161367.1
OG0000103	XP_033320999.1, XP_033321000.1	XP_011161334.1
OG0000105	XP_033331395.1, XP_033322443.1	XP_011173815.1
OG0000106	XP_033320766.1, XP_033320765.1, XP_033333838.1, XP_033333876.1, XP_033320767.1	XP_039314717.1
OG0000107	XP_033342710.1	XP_011159805.1
OG0000108	XP_033333478.1	XP_025985914.1
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_011157413.1, XP_011157412.1
OG0000111	XP_033327466.1	XP_039308795.1
OG0000112	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1	XP_025989590.2
OG0000113	XP_033339074.1	XP_011169897.1
OG0000113	XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_011176341.1, XP_011176387.1
OG0000114	XP_033328279.1	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1	NP_001291541.1
OG0000115	XP_033335187.1	XP_011165643.1, XP_011165649.2, XP_011165650.1
OG0000116	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1	XP_011158331.1, XP_039303768.1
OG0000116	XP_033334348.1, XP_033334350.1, XP_033334349.1	XP_039303766.1
OG0000117	XP_033329862.1	XP_011157894.1
OG0000117	XP_033333385.1	XP_011170972.1, XP_011170971.1
OG0000119	XP_033333666.1, XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1
OG0000120	XP_033323873.1	XP_011175144.2
OG0000122	XP_033334236.1	XP_039305859.1
OG0000123	XP_033333520.1, XP_033333521.1	XP_011169664.1
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_039302015.1
OG0000125	XP_033321046.1, XP_033321048.1, XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1	XP_011166830.1, XP_011166831.1
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_033341265.1	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_033328411.1	XP_039309465.1
OG0000130	XP_033328418.1	XP_025991693.1, XP_025991692.1
OG0000131	XP_033335039.1	XP_011159624.1
OG0000131	XP_033340309.1, XP_033340308.1	XP_011168548.1, XP_011168539.1
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1	XP_039305040.1, XP_011175354.1
OG0000132	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1	XP_011162113.1
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000133	XP_033332587.1	XP_039303648.1
OG0000135	XP_033328565.1	XP_011168086.1
OG0000135	XP_033329896.1	XP_025992521.1
OG0000136	XP_033340885.1, XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1
OG0000137	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1	XP_039302269.1, XP_011164282.1
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1	XP_011156769.2
OG0000139	XP_033336023.1	XP_011163312.2, XP_025992297.2
OG0000141	XP_033323945.1	XP_011172931.2
OG0000142	XP_033330200.1, XP_033330159.1, XP_033330161.1, XP_033330157.1, XP_033330202.1, XP_033330203.1, XP_033330160.1, XP_033330163.1, XP_033330158.1, XP_033330192.1, XP_033330162.1, XP_033335998.1, XP_033335872.1	XP_039305867.1, XP_025986931.2, XP_039314570.1, XP_025986941.2, XP_025986936.2, XP_039314535.1, XP_039314558.1, XP_011168007.2, XP_039314529.1, XP_039314590.1, XP_039314564.1, XP_039305868.1, XP_039305708.1, XP_039305809.1, XP_039305616.1, XP_039305178.1, XP_039305782.1
OG0000143	XP_033338224.1	XP_011158940.1, XP_011158941.1
OG0000144	XP_033329958.1, XP_033329957.1	XP_011155485.2
OG0000145	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1	XP_039310475.1, XP_039310474.1
OG0000145	XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1	XP_025989810.1
OG0000146	XP_033338432.1	XP_011158610.1
OG0000146	XP_033321210.1	XP_011163024.1, XP_011163029.1
OG0000147	XP_033324165.1	XP_025987816.1, XP_039314750.1
OG0000149	XP_033323096.1	XP_011168700.1
OG0000149	XP_033323100.1, XP_033323099.1	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2
OG0000150	XP_033330026.1, XP_033330029.1	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	XP_011167344.2
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_011159593.1, XP_011159592.1
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_025991417.2
OG0000154	XP_033321243.1, XP_033321242.1	XP_039306572.1, XP_011172804.1, XP_039306683.1
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1
OG0000157	XP_033333782.1, XP_033334269.1	XP_039311111.1, XP_039311110.1
OG0000158	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1	XP_039312830.1
OG0000160	XP_033342703.1, XP_033342702.1	XP_025995468.2
OG0000161	XP_033331231.1	XP_011171818.2, XP_011157167.1, XP_011171836.1
OG0000162	XP_033338174.1	XP_025990139.1
OG0000164	XP_033343121.1	XP_011175603.2, XP_039313027.1
OG0000165	XP_033333149.1, XP_033333152.1	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1
OG0000165	XP_033335006.1	XP_011173553.1
OG0000168	XP_033339918.1	XP_025989788.2
OG0000169	XP_033338959.1	XP_011166801.1, XP_011166805.2, XP_011166806.2
OG0000170	XP_033325780.1	XP_011161394.2
OG0000170	XP_033325783.1	XP_011161401.1
