Orthogroup	Megalopta_genalis	Bombyx_mori
OG0000032	XP_033335963.1	XP_004931720.1
OG0000032	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1, XP_033340631.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000033	XP_033328398.1	XP_004925104.2, XP_004925103.1
OG0000033	XP_033331624.1	XP_021203082.2, XP_037875893.1
OG0000035	XP_033326685.1	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000035	XP_033326629.1, XP_033326628.1	NP_001243964.1, NP_001243980.1
OG0000036	XP_033324439.1	XP_004925684.1
OG0000036	XP_033340568.1	XP_037874658.1
OG0000036	XP_033340191.1, XP_033340178.1, XP_033341270.1, XP_033341293.1, XP_033341282.1, XP_033341364.1, XP_033324523.1, XP_033324493.1	XP_037877629.1, XP_012544322.2
OG0000037	XP_033322268.1	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1
OG0000038	XP_033322848.1, XP_033330101.1	NP_001036884.1
OG0000038	XP_033327650.1	NP_001036886.1, XP_021204307.1
OG0000039	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1	XP_037877377.1, XP_037875720.1, XP_037875730.1, XP_037875679.1, XP_037877102.1, XP_037877190.1, XP_037877066.1
OG0000040	XP_033342116.1, XP_033323605.1, XP_033323606.1	XP_037871589.1, XP_037877007.1
OG0000041	XP_033333606.1, XP_033333605.1	NP_001119727.1
OG0000041	XP_033322537.1, XP_033339804.1, XP_033322547.1, XP_033322535.1, XP_033322540.1	NP_001119724.1
OG0000041	XP_033338815.1	NP_001119726.1, XP_037872546.1
OG0000042	XP_033329807.1, XP_033329806.1	XP_004925565.1
OG0000042	XP_033339770.1, XP_033333624.1, XP_033342791.1	NP_001296474.1, NP_001296524.1, NP_001296530.1
OG0000042	XP_033329812.1	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1
OG0000043	XP_033340088.1	NP_001037067.1, NP_001037068.1
OG0000043	XP_033339691.1	NP_001091780.1, XP_021206019.2
OG0000044	XP_033322614.1, XP_033323078.1, XP_033323667.1	NP_001036834.1
OG0000044	XP_033334549.1	XP_037868658.1
OG0000045	XP_033323543.1, XP_033329211.1, XP_033323567.1, XP_033323555.1	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	XP_033341697.1	NP_001036837.1, XP_012547740.1
OG0000046	XP_033341090.1	NP_001036892.1
OG0000050	XP_033332897.1, XP_033332837.1	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1
OG0000052	XP_033323679.1	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000054	XP_033321308.1	NP_001040112.1
OG0000054	XP_033321391.1, XP_033321390.1	NP_001036835.1, NP_001166743.1
OG0000055	XP_033330133.1	XP_021207833.1
OG0000055	XP_033323580.1	XP_012548893.1, NP_001036959.1
OG0000056	XP_033329125.1, XP_033343017.1	XP_037866675.1
OG0000056	XP_033329947.1	XP_037872689.1
OG0000056	XP_033321060.1	XP_037871311.1
OG0000056	XP_033342931.1, XP_033342927.1	XP_037873641.1
OG0000057	XP_033338100.1	NP_001036887.1, NP_001036964.1
OG0000057	XP_033330917.1	XP_004923508.1, XP_012553252.3
OG0000057	XP_033338102.1	NP_001036965.1
OG0000057	XP_033338099.1	NP_001036888.1
OG0000057	XP_033338103.1	NP_001037492.1, NP_001093079.1
OG0000060	XP_033325149.1, XP_033325147.1	XP_004925993.2
OG0000060	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1	XP_021206640.1, XP_004930776.1
OG0000061	XP_033328585.1	XP_012551685.2
OG0000062	XP_033339725.1, XP_033323498.1, XP_033339724.1	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1
OG0000063	XP_033331128.1	XP_037869408.1, XP_037875862.1, XP_037867560.1, XP_037877026.1, XP_037868831.1, XP_037869779.1, XP_037870303.1, XP_037873338.1, XP_037876423.1, XP_037875121.1, XP_037875120.1, XP_037869757.1, XP_037869756.1, XP_037869471.1, XP_037869470.1, XP_037868509.1, XP_037869469.1
OG0000065	XP_033320904.1	XP_004931596.1
OG0000066	XP_033326446.1, XP_033325792.1, XP_033332603.1	XP_012545514.1
OG0000067	XP_033333911.1	XP_004931451.1
OG0000067	XP_033335042.1	NP_001037582.1
OG0000067	XP_033336615.1	XP_037877745.1
OG0000069	XP_033334725.1	NP_001243973.1
OG0000070	XP_033333758.1, XP_033333759.1, XP_033333736.1, XP_033333776.1	NP_001166602.1
OG0000071	XP_033329354.1	XP_004930894.1
OG0000073	XP_033341264.1, XP_033341263.1, XP_033341369.1	NP_001243938.1
OG0000076	XP_033321464.1, XP_033339062.1, XP_033339066.1, XP_033339064.1, XP_033326534.1, XP_033335205.1, XP_033335207.1, XP_033335206.1, XP_033335208.1	XP_037869185.1, XP_037874698.1, XP_037877095.1
OG0000077	XP_033333760.1	XP_037870080.1
OG0000077	XP_033332959.1	NP_001037478.1
OG0000078	XP_033337616.1, XP_033337565.1, XP_033337649.1, XP_033342126.1, XP_033337334.1, XP_033337342.1, XP_033337625.1, XP_033337637.1, XP_033337576.1, XP_033337322.1, XP_033337589.1, XP_033337603.1	XP_037872110.1, NP_001159625.1, NP_001116810.1
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	XP_033335311.1	XP_004931946.1
OG0000080	XP_033326285.1	XP_037874734.1
OG0000082	XP_033336170.1, XP_033336010.1, XP_033336011.1, XP_033336012.1	XP_004927040.1, NP_001124343.1
OG0000084	XP_033339433.1, XP_033339434.1, XP_033339432.1	XP_012550708.1, NP_001166718.1
OG0000084	XP_033337518.1	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1
OG0000085	XP_033337654.1	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1
OG0000086	XP_033341642.1	NP_001243984.1
OG0000086	XP_033331032.1	XP_004922188.1
OG0000087	XP_033330624.1, XP_033324927.1	XP_004925118.1
OG0000087	XP_033324926.1	XP_004926772.1
OG0000088	XP_033340711.1	XP_037876269.1, XP_037876266.1
OG0000091	XP_033327591.1, XP_033327610.1	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	XP_033328764.1, XP_033322679.1, XP_033322678.1, XP_033322688.1, XP_033332253.1	NP_001040445.1
OG0000093	XP_033326118.1, XP_033326113.1	XP_037875268.1
OG0000094	XP_033338575.1	XP_004929868.2
OG0000095	XP_033334699.1, XP_033334698.1	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_033336669.1	XP_004933352.2
OG0000097	XP_033322825.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_033322301.1	XP_012551708.2
OG0000099	XP_033322345.1	XP_004933046.1
OG0000099	XP_033341688.1	XP_037876655.1
OG0000101	XP_033329294.1, XP_033329291.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_033337546.1, XP_033327585.1	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000103	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1	XP_037869904.1
OG0000108	XP_033333478.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_021205885.1
OG0000110	XP_033334675.1, XP_033333647.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_033327466.1	XP_004927517.1
OG0000112	XP_033338986.1	NP_001240824.1, XP_012546717.1
OG0000113	XP_033339074.1, XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_004929660.1, XP_004925443.2, XP_012545237.2
OG0000114	XP_033328279.1	XP_037876437.1
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1, XP_033336981.1, XP_033335187.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_033329862.1	NP_001040298.1
OG0000117	XP_033333385.1	NP_001233214.1, XP_012552766.1
OG0000119	XP_033333666.1, XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1	XP_037869697.1
OG0000120	XP_033326033.1, XP_033326042.1, XP_033323873.1	XP_021207126.2
OG0000122	XP_033334236.1	XP_037871005.1
OG0000123	XP_033333520.1, XP_033333521.1	NP_001037614.1, XP_012548321.1
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_033321046.1, XP_033321048.1, XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	XP_012549565.1, NP_001037319.1
OG0000127	XP_033341265.1	XP_012551315.1, NP_001037024.1
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_021203173.1
OG0000130	XP_033328411.1, XP_033328425.1, XP_033328424.1, XP_033328423.1	NP_001108469.1
OG0000130	XP_033328418.1	XP_012548931.3
OG0000131	XP_033335039.1	XP_004931759.1
OG0000131	XP_033340309.1, XP_033340308.1	NP_001091755.1
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1	NP_001164651.1, XP_037870176.1
OG0000132	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1	NP_001164650.1
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1	XP_021207866.1, XP_004932639.1
OG0000134	XP_033330806.1	XP_004928832.1
OG0000135	XP_033328565.1	NP_001166873.1, XP_037875522.1
OG0000135	XP_033329896.1	NP_001108335.1
OG0000136	XP_033340885.1, XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1	XP_037876368.1, XP_004927026.1
OG0000137	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1	XP_037868770.1
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1, XP_033329393.1, XP_033329391.1, XP_033329394.1	XP_037868949.1, XP_004925223.3
OG0000139	XP_033336023.1	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000141	XP_033323945.1	XP_004931634.1
OG0000143	XP_033338241.1, XP_033338240.1, XP_033338242.1, XP_033338224.1	XP_037870673.1, NP_001040254.1, XP_004927859.1
OG0000144	XP_033329958.1, XP_033329957.1	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1, XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_033338432.1	XP_037871222.1, XP_004922825.1
OG0000146	XP_033321210.1	NP_001106739.1, NP_001106231.1
OG0000147	XP_033341113.1, XP_033341112.1, XP_033324165.1	XP_004933126.1
OG0000149	XP_033323096.1	XP_037875543.1
OG0000149	XP_033323100.1, XP_033323099.1	XP_004924927.1, XP_004924928.1
OG0000150	XP_033330026.1, XP_033330029.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_021205393.1
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_033321243.1, XP_033321242.1	XP_037873529.1
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_021206155.2
OG0000157	XP_033333782.1, XP_033334269.1	XP_037869375.1
OG0000158	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1	XP_021204632.1
OG0000160	XP_033342703.1, XP_033342702.1	XP_004925382.2
OG0000161	XP_033331231.1, XP_033321839.1	NP_001182393.1
OG0000162	XP_033334806.1	NP_001103389.1, XP_037868604.1
OG0000162	XP_033338174.1	NP_001103388.1, XP_021203288.2
OG0000164	XP_033320770.1, XP_033320763.1, XP_033343121.1	XP_037875027.1, XP_037872511.1
OG0000165	XP_033333149.1, XP_033333152.1	XP_012547188.1, XP_021204892.1
OG0000165	XP_033335006.1	XP_012551706.2
OG0000168	XP_033341755.1, XP_033339918.1	XP_037873451.1
OG0000169	XP_033338959.1	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1
OG0000170	XP_033325780.1	XP_021202707.2
OG0000170	XP_033325783.1, XP_033325782.1, XP_033325779.1	XP_004924795.2
OG0000171	XP_033333068.1, XP_033333056.1	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1	NP_001093316.1
OG0000174	XP_033336682.1, XP_033336684.1, XP_033336683.1	NP_001040490.1, XP_037874321.1
OG0000175	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1	NP_001040124.1
OG0000176	XP_033333384.1, XP_033325289.1	XP_004925760.2, XP_004928976.1
OG0000176	XP_033327287.1	XP_004930346.3
OG0000176	XP_033321468.1, XP_033321469.1	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1
OG0000177	XP_033335034.1	XP_004931030.1
OG0000177	XP_033334971.1	XP_004931031.2
OG0000177	XP_033334932.1	XP_004930870.1
OG0000178	XP_033330470.1, XP_033330472.1	XP_037871996.1, XP_004924483.2
OG0000179	XP_033324424.1	NP_001040172.1, XP_021206181.1
OG0000179	XP_033329714.1	NP_001037301.1
OG0000180	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1	XP_004930542.1
OG0000181	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1	NP_001037380.1, XP_037871534.1
OG0000182	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1	XP_037866789.1
OG0000183	XP_033333570.1	XP_004930975.1
OG0000184	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1	XP_004932760.3
OG0000187	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1	XP_004929301.1
OG0000188	XP_033332397.1, XP_033339920.1	NP_001037050.1
OG0000189	XP_033338330.1	XP_037875495.1, XP_037875337.1
OG0000190	XP_033320777.1, XP_033320785.1, XP_033320794.1, XP_033320771.1	XP_004931167.1
OG0000191	XP_033324612.1, XP_033324613.1	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2
OG0000192	XP_033330674.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1, XP_033330689.1, XP_033330679.1, XP_033330678.1, XP_033330686.1, XP_033330685.1, XP_033330677.1, XP_033330690.1, XP_033330687.1, XP_033330688.1, XP_033330692.1, XP_033330676.1, XP_033330675.1	XP_021207317.1
OG0000195	XP_033335400.1, XP_033338707.1, XP_033338706.1, XP_033329041.1, XP_033329044.1, XP_033329028.1, XP_033329043.1, XP_033329042.1, XP_033329055.1, XP_033329056.1, XP_033338704.1, XP_033338713.1, XP_033338705.1, XP_033339377.1	NP_001037076.1, NP_001124371.1, NP_001124372.2, NP_001165396.1, XP_004922067.1, XP_004922068.1, NP_001091784.1
OG0000196	XP_033325034.1	XP_012545232.2
OG0000196	XP_033326430.1	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2
OG0000197	XP_033335784.1, XP_033335975.1, XP_033335974.1, XP_033335976.1, XP_033335973.1	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1
OG0000198	XP_033335479.1	XP_037870155.1
OG0000200	XP_033342572.1, XP_033342575.1	NP_001036881.1
OG0000201	XP_033340961.1	XP_004930370.2
OG0000201	XP_033340957.1	NP_001040155.1, NP_001040154.1, XP_012552516.1, XP_012552521.1, NP_001243997.1, XP_004922761.1, XP_004922760.1, XP_004922779.1, XP_004931809.1, XP_004928423.2, XP_004931849.1, XP_004931273.1
OG0000202	XP_033333432.1, XP_033333433.1, XP_033333451.1	NP_001281213.1
OG0000203	XP_033330196.1	XP_004930258.2, XP_037876006.1
OG0000203	XP_033332078.1	XP_037867417.1
OG0000204	XP_033332020.1, XP_033332021.1	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1
OG0000205	XP_033323241.1, XP_033323242.1, XP_033323243.1, XP_033323244.1	NP_001243944.1
OG0000206	XP_033326327.1, XP_033326324.1	XP_004924015.1
OG0000206	XP_033326332.1, XP_033332305.1	XP_004922930.2
OG0000207	XP_033334745.1	NP_001037594.1
OG0000207	XP_033335457.1, XP_033335455.1	NP_001091793.1, XP_004930513.3
OG0000208	XP_033335301.1	XP_037869032.1, NP_001103395.1
OG0000209	XP_033325797.1, XP_033325796.1	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2
OG0000210	XP_033321038.1, XP_033331494.1	XP_012544085.3
OG0000210	XP_033339699.1	XP_037866888.1, XP_037866887.1
OG0000212	XP_033337306.1, XP_033337304.1, XP_033337305.1	XP_037869182.1, NP_001106228.1
OG0000213	XP_033335273.1, XP_033335255.1, XP_033335248.1, XP_033335265.1	XP_004922013.1
OG0000214	XP_033329279.1	NP_001040475.1
OG0000214	XP_033332495.1	NP_001040198.1, XP_037870587.1
OG0000215	XP_033324846.1, XP_033324848.1	XP_037866848.1, XP_004930044.1
OG0000216	XP_033329437.1	NP_001108343.1
OG0000217	XP_033326893.1	XP_021203021.2, XP_012548700.2, XP_004933855.2, XP_037870903.1
