Orthogroup	Megalopta_genalis	Anopheles_gambiae
OG0000056	XP_033329947.1	XP_550805.4
OG0000056	XP_033342931.1, XP_033342927.1	XP_317863.3
OG0000057	XP_033338100.1	XP_309765.4
OG0000057	XP_033338099.1	XP_314483.4
OG0000057	XP_033338103.1	XP_315005.3
OG0000060	XP_033325149.1, XP_033325147.1	XP_318748.4
OG0000061	XP_033328585.1	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5
OG0000061	XP_033333649.1, XP_033340644.1	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4
OG0000065	XP_033320904.1	XP_321329.4
OG0000067	XP_033333911.1	XP_320481.4
OG0000067	XP_033335707.1, XP_033335708.1	XP_315003.3, XP_001688603.1, XP_315671.4
OG0000067	XP_033336615.1	XP_315363.4
OG0000073	XP_033331553.1	XP_311477.4
OG0000077	XP_033333760.1	XP_319941.4
OG0000077	XP_033332959.1	XP_316979.4, XP_321166.4
OG0000079	XP_033333837.1	XP_001238492.1
OG0000079	XP_033333904.1, XP_033333901.1	XP_319818.4
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_313655.5
OG0000080	XP_033326285.1	XP_313656.5, XP_003436798.1, XP_003436797.1
OG0000082	XP_033336170.1, XP_033336010.1, XP_033336011.1, XP_033336012.1	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2
OG0000085	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1, XP_033337654.1	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3
OG0000086	XP_033341642.1	XP_552698.3
OG0000086	XP_033331032.1	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1
OG0000087	XP_033330624.1, XP_033324927.1	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4
OG0000087	XP_033324926.1	XP_306334.2, XP_308083.4, XP_308082.4
OG0000088	XP_033340711.1	XP_317091.3
OG0000089	XP_033329242.1, XP_033329243.1, XP_033329244.1	XP_319737.4
OG0000089	XP_033320834.1	XP_310298.6
OG0000091	XP_033327591.1, XP_033327610.1	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2
OG0000092	XP_033328764.1	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1
OG0000092	XP_033332253.1	XP_321262.1, XP_003435947.1
OG0000094	XP_033328912.1	XP_317094.4, XP_001689000.1
OG0000094	XP_033338575.1	XP_312311.5
OG0000095	XP_033334699.1, XP_033334698.1	XP_316096.4, XP_316098.3, XP_316099.4
OG0000096	XP_033336669.1	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4
OG0000096	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2
OG0000097	XP_033322825.1	XP_003436515.1, XP_003436516.1, XP_562379.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	XP_314814.3
OG0000099	XP_033322301.1	XP_320987.5
OG0000099	XP_033322345.1	XP_312290.4
OG0000099	XP_033341688.1	XP_313462.4
OG0000100	XP_033332436.1, XP_033332438.1, XP_033332435.1	XP_313581.5
OG0000101	XP_033329295.1	XP_321098.5
OG0000101	XP_033329294.1, XP_033329291.1	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1
OG0000102	XP_033337546.1, XP_033327585.1	XP_308709.4, XP_565152.3
OG0000108	XP_033333478.1	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_309801.3
OG0000110	XP_033334675.1, XP_033333647.1	XP_001689285.1
OG0000112	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1	XP_309025.4
OG0000112	XP_033338986.1	XP_560420.2
OG0000113	XP_033339074.1, XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4
OG0000114	XP_033328279.1	XP_314336.2
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1, XP_033336981.1, XP_033335187.1	XP_311546.4
OG0000116	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1, XP_033334348.1, XP_033334350.1, XP_033334349.1	XP_315806.4
OG0000117	XP_033329862.1	XP_318912.3
OG0000117	XP_033333385.1	XP_001238428.3
OG0000120	XP_033326033.1, XP_033326042.1, XP_033323873.1	XP_319911.4
OG0000122	XP_033334236.1	XP_552160.3
OG0000123	XP_033333520.1, XP_033333521.1	XP_317585.4
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_312632.5
OG0000125	XP_033321046.1, XP_033321048.1, XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1	XP_321447.5
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	XP_003436885.1, XP_311618.2
OG0000127	XP_033341265.1	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_319208.4
OG0000130	XP_033328411.1, XP_033328425.1, XP_033328424.1, XP_033328423.1	XP_314859.4
OG0000130	XP_033328418.1	XP_314860.4, XP_557898.3
OG0000131	XP_033335039.1	XP_311973.1, XP_003436315.1
OG0000131	XP_033340309.1, XP_033340308.1	XP_320516.2
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1	XP_314281.4
OG0000132	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1	XP_317287.4, XP_319288.2
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1	XP_001238215.2
OG0000135	XP_033328565.1	XP_321549.1
OG0000135	XP_033329896.1	XP_308966.4
OG0000136	XP_033340885.1, XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1	XP_557311.3, XP_316252.2
OG0000137	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1	XP_313095.4
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1, XP_033329393.1, XP_033329391.1, XP_033329394.1	XP_310751.5
OG0000139	XP_033336023.1	XP_318027.4
OG0000140	XP_033336138.1, XP_033336137.1	XP_318829.4
OG0000141	XP_033323610.1, XP_033323609.1	XP_312292.5
OG0000143	XP_033338241.1, XP_033338240.1, XP_033338242.1, XP_033338224.1	XP_311266.4, XP_311556.4
OG0000144	XP_033329958.1, XP_033329957.1	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4
OG0000145	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1, XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1	XP_318854.4
OG0000146	XP_033338432.1	XP_556748.3
OG0000147	XP_033341113.1, XP_033341112.1, XP_033324165.1	XP_312505.3, XP_003436127.1, XP_003436126.1
OG0000149	XP_033323096.1	XP_319018.3
OG0000150	XP_033330026.1, XP_033330029.1	XP_316248.3
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	XP_001687986.1
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_001688746.1, XP_315920.4
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_315414.4
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_315693.3
OG0000157	XP_033333782.1, XP_033334269.1	XP_319874.4, XP_319873.4
OG0000160	XP_033342703.1, XP_033342702.1	XP_314536.3
OG0000161	XP_033331231.1, XP_033321839.1	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2
OG0000162	XP_033334806.1	XP_566274.3, XP_311007.4
OG0000162	XP_033338174.1	XP_311918.3
OG0000164	XP_033320770.1, XP_033320763.1, XP_033343121.1	XP_552916.2
OG0000165	XP_033333149.1, XP_033333152.1	XP_311219.3
OG0000165	XP_033335006.1	XP_311252.5
OG0000168	XP_033339918.1	XP_001688600.1, XP_314993.4, XP_001688601.1
OG0000170	XP_033325780.1	XP_315409.2
OG0000171	XP_033333068.1, XP_033333056.1	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3
OG0000173	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1	XP_313784.5
OG0000174	XP_033336682.1, XP_033336684.1, XP_033336683.1	XP_313394.4
OG0000175	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1	XP_001687949.1, XP_308467.4
OG0000177	XP_033335034.1	XP_309771.2
OG0000177	XP_033334971.1	XP_001230649.2
OG0000177	XP_033334932.1	XP_001688246.1
OG0000178	XP_033330470.1, XP_033330472.1	XP_307952.5
OG0000179	XP_033329714.1	XP_003437002.1, XP_310632.5
OG0000180	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1	XP_003436547.1, XP_003436546.1, XP_313417.5
OG0000181	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1	XP_321792.2
OG0000183	XP_033334085.1	XP_311711.3
OG0000183	XP_033333570.1	XP_317936.4
OG0000184	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1	XP_319373.1
OG0000185	XP_033335697.1, XP_033335695.1, XP_033335694.1	XP_001688361.2
OG0000186	XP_033322600.1	XP_308393.4
OG0000187	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1	XP_318759.3
OG0000188	XP_033325090.1	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4
OG0000188	XP_033332397.1, XP_033339920.1	XP_316795.2
OG0000189	XP_033338330.1	XP_559460.4, XP_003436249.1, XP_312117.5
OG0000190	XP_033320777.1, XP_033320785.1, XP_033320794.1, XP_033320771.1	XP_003436713.1, XP_312971.1
OG0000191	XP_033324612.1, XP_033324613.1	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4
OG0000192	XP_033330674.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1, XP_033330689.1, XP_033330679.1, XP_033330678.1, XP_033330686.1, XP_033330685.1, XP_033330677.1, XP_033330690.1, XP_033330687.1, XP_033330688.1, XP_033330692.1, XP_033330676.1, XP_033330675.1	XP_311585.4
OG0000194	XP_033339145.1	XP_556986.2
OG0000196	XP_033325034.1	XP_321556.3
OG0000196	XP_033326430.1	XP_001687817.2, XP_560491.4
OG0000197	XP_033335784.1, XP_033335975.1, XP_033335974.1, XP_033335976.1, XP_033335973.1	XP_308795.4
OG0000198	XP_033335479.1	XP_314495.3
OG0000201	XP_033340961.1	XP_316379.4
OG0000201	XP_033340957.1	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4
OG0000203	XP_033330196.1	XP_321914.5
OG0000203	XP_033332078.1	XP_315944.3
OG0000204	XP_033332020.1, XP_033332021.1	XP_003436222.1, XP_312208.4
OG0000205	XP_033323241.1, XP_033323242.1, XP_033323243.1, XP_033323244.1	XP_001688795.1, XP_003436549.1
OG0000206	XP_033326327.1, XP_033326324.1	XP_003435909.1, XP_321392.5
OG0000206	XP_033326332.1, XP_033332305.1	XP_003436103.1, XP_563817.3
OG0000207	XP_033334745.1	XP_308487.3
OG0000207	XP_033335457.1, XP_033335455.1	XP_001688813.1, XP_001688814.1, XP_556880.3
OG0000208	XP_033335301.1	XP_001688810.1, XP_316236.4
OG0000208	XP_033341683.1, XP_033341671.1	XP_314845.4
OG0000209	XP_033325797.1, XP_033325796.1	XP_001230643.2, XP_309738.3
OG0000210	XP_033321038.1, XP_033331494.1	XP_001688664.1
OG0000210	XP_033339699.1	XP_319144.3
OG0000212	XP_033337306.1, XP_033337304.1, XP_033337305.1	XP_554502.2, XP_318238.4
OG0000213	XP_033335273.1, XP_033335255.1, XP_033335248.1, XP_033335265.1	XP_309297.2
OG0000214	XP_033329279.1	XP_313425.3, XP_003436551.1
OG0000214	XP_033332495.1	XP_319075.3, XP_313331.4
OG0000215	XP_033324846.1, XP_033324848.1	XP_001689079.1, XP_001230280.1, XP_318019.4
OG0000216	XP_033329437.1	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4
OG0000217	XP_033326893.1	XP_310550.5, XP_309658.5, XP_001237269.3
OG0000218	XP_033324698.1, XP_033324701.1, XP_033324699.1, XP_033324700.1, XP_033324694.1, XP_033324693.1, XP_033324696.1, XP_033324695.1	XP_308642.4
OG0000219	XP_033341813.1, XP_033341838.1, XP_033341823.1, XP_033341832.1, XP_033341847.1	XP_309335.4
OG0000220	XP_033334552.1	XP_314482.4
OG0000221	XP_033341189.1	XP_310745.5
OG0000223	XP_033321135.1, XP_033336081.1	XP_320146.3
OG0000223	XP_033326615.1	XP_308984.1
OG0000224	XP_033336757.1	XP_312099.2, XP_312102.4, XP_003436251.1
OG0000225	XP_033327125.1, XP_033327126.1, XP_033326964.1	XP_310636.2, XP_003437000.1
OG0000226	XP_033333963.1, XP_033334005.1	XP_313395.2
OG0000226	XP_033334386.1, XP_033334377.1	XP_317851.1
OG0000227	XP_033335345.1, XP_033335343.1, XP_033335344.1, XP_033335341.1, XP_033335342.1	XP_308342.4, XP_001237064.2
OG0000230	XP_033334946.1, XP_033332064.1, XP_033332065.1	XP_001688611.1
OG0000231	XP_033341044.1, XP_033341042.1, XP_033341032.1, XP_033341037.1, XP_033341036.1, XP_033341034.1, XP_033341041.1, XP_033341039.1, XP_033341043.1, XP_033341035.1, XP_033341033.1, XP_033341038.1	XP_003436333.1, XP_316371.4
OG0000232	XP_033336594.1	XP_315941.1, XP_315942.3, XP_315943.3
OG0000233	XP_033328835.1, XP_033330123.1	XP_311447.4
OG0000234	XP_033322626.1, XP_033322627.1, XP_033322628.1	XP_314989.4, XP_316577.4
OG0000235	XP_033327679.1, XP_033327639.1	XP_309952.4
OG0000236	XP_033341648.1	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4
OG0000236	XP_033341647.1	XP_312478.1, XP_001238571.2
OG0000237	XP_033330897.1	XP_559100.2
OG0000237	XP_033330926.1	XP_311581.3
OG0000239	XP_033331997.1, XP_033331996.1, XP_033331995.1	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4
OG0000241	XP_033322650.1, XP_033322611.1, XP_033334508.1, XP_033334500.1, XP_033334501.1, XP_033334502.1, XP_033334507.1, XP_033334506.1	XP_553025.3
OG0000243	XP_033330955.1	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4
OG0000244	XP_033335781.1, XP_033335780.1, XP_033335782.1	XP_313365.4
OG0000245	XP_033323070.1	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2
OG0000246	XP_033331324.1, XP_033331325.1	XP_319838.3
OG0000247	XP_033324057.1	XP_311005.4
OG0000247	XP_033324120.1	XP_003436566.1
OG0000248	XP_033342993.1	XP_308379.4, XP_315470.5, XP_003435724.1
OG0000249	XP_033324895.1, XP_033324916.1, XP_033324906.1	XP_310971.5
OG0000249	XP_033325592.1, XP_033325604.1, XP_033324884.1	XP_003436284.1, XP_312022.5
OG0000250	XP_033331459.1, XP_033325499.1, XP_033325504.1	XP_003436312.1, XP_003436311.1, XP_311978.5
OG0000252	XP_033340169.1, XP_033340168.1, XP_033340167.1	XP_321164.1
OG0000253	XP_033327704.1	XP_310451.4, XP_310450.4, XP_001238805.2
OG0000253	XP_033326834.1	XP_316966.4
OG0000254	XP_033339944.1, XP_033327994.1	XP_312967.3, XP_003436712.1
OG0000255	XP_033334959.1	XP_003436960.1, XP_310845.5
OG0000256	XP_033341517.1	XP_307890.5
OG0000257	XP_033335911.1, XP_033335914.1, XP_033335912.1, XP_033335913.1	XP_321870.5
OG0000257	XP_033335903.1	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3
OG0000260	XP_033342091.1	XP_550846.3
OG0000261	XP_033329797.1	XP_315985.3, XP_001688761.1
OG0000263	XP_033342453.1, XP_033342455.1, XP_033342456.1	XP_001687857.1, XP_564524.3, XP_001687858.1
OG0000264	XP_033339250.1	XP_001688533.1, XP_314137.4
OG0000264	XP_033329580.1	XP_311594.2
OG0000265	XP_033342102.1	XP_319555.4, XP_312273.4, XP_003436201.1
OG0000266	XP_033340749.1	XP_310704.3
OG0000266	XP_033338173.1	XP_308081.2
OG0000268	XP_033325300.1, XP_033325301.1	XP_309197.1, XP_003437164.1, XP_003437165.1, XP_560220.3, XP_001688171.2, XP_311384.3, XP_311355.3, XP_307829.2
OG0000269	XP_033324455.1, XP_033324487.1, XP_033324472.1, XP_033324481.1, XP_033324463.1	XP_315017.4
OG0000270	XP_033332852.1, XP_033332853.1, XP_033332850.1, XP_033332967.1	XP_003436281.1, XP_312025.4, XP_003436282.1
OG0000270	XP_033333269.1	XP_003436280.1, XP_312026.4
OG0000271	XP_033335191.1	XP_311184.3, XP_312761.3, XP_003436383.1
OG0000272	XP_033334149.1	XP_308042.3, XP_001230608.1
OG0000272	XP_033323942.1, XP_033323944.1	XP_309153.3, XP_314691.2
OG0000273	XP_033335472.1, XP_033335572.1, XP_033335541.1, XP_033335536.1, XP_033335548.1, XP_033335557.1, XP_033335563.1, XP_033335534.1	XP_308599.4, XP_001688028.1
OG0000274	XP_033324105.1, XP_033324106.1	XP_317143.4, XP_318742.4, XP_318623.4
OG0000274	XP_033324310.1	XP_319531.4
OG0000275	XP_033329977.1, XP_033329978.1	XP_001237830.2
OG0000276	XP_033322708.1	XP_003436154.1, XP_312380.3
OG0000277	XP_033336084.1	XP_315597.3, XP_001688685.1, XP_001688686.1
OG0000278	XP_033322809.1	XP_307914.5, XP_003436076.1
OG0000279	XP_033323438.1	XP_308623.4, XP_317820.4
OG0000280	XP_033340364.1, XP_033340363.1	XP_001238321.1, XP_552131.1, XP_001688631.1
OG0000281	XP_033322646.1	XP_312382.3
OG0000283	XP_033331140.1, XP_033331139.1, XP_033331138.1, XP_033331136.1, XP_033331137.1	XP_315855.4
OG0000284	XP_033331949.1	XP_003436098.1, XP_003436097.1, XP_312601.2
OG0000284	XP_033323843.1, XP_033340215.1, XP_033340029.1	XP_308964.2
OG0000285	XP_033343077.1	XP_309398.1
OG0000286	XP_033335143.1, XP_033335144.1, XP_033335142.1, XP_033335145.1	XP_309986.3
