Orthogroup	Megalopta_genalis	Megachile_rotundata
OG0000017	XP_033341626.1	XP_012153570.1
OG0000018	XP_033342252.1	XP_003699290.1
OG0000018	XP_033342250.1	XP_012135493.1
OG0000018	XP_033327648.1	XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1
OG0000019	XP_033335083.1	XP_012138718.1, XP_012138710.1, XP_012138725.1
OG0000019	XP_033337986.1	XP_012135889.1
OG0000019	XP_033321516.1	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1
OG0000020	XP_033333974.1	XP_012144180.1
OG0000020	XP_033341111.1	XP_012136049.1
OG0000020	XP_033329902.1	XP_003701701.2
OG0000020	XP_033341861.1	XP_012136672.1
OG0000020	XP_033323952.1, XP_033323953.1	XP_012137465.1
OG0000021	XP_033334588.1	XP_012138701.1
OG0000021	XP_033336486.1, XP_033336485.1	XP_012152675.1, XP_003708289.1
OG0000022	XP_033337184.1	XP_012137783.1
OG0000022	XP_033326609.1	XP_003706155.1
OG0000022	XP_033328625.1	XP_012141737.1
OG0000023	XP_033328578.1	XP_003707916.2
OG0000024	XP_033339085.1, XP_033339401.1, XP_033329817.1	XP_003705303.1
OG0000024	XP_033340779.1	XP_003705639.2
OG0000024	XP_033341678.1	XP_003699641.1, XP_012142103.1
OG0000025	XP_033331393.1	XP_003708133.2, XP_012149733.1, XP_003704143.1, XP_003705684.1
OG0000025	XP_033340892.1, XP_033322610.1	XP_012152731.1
OG0000025	XP_033331349.1	XP_012143994.1
OG0000026	XP_033339312.1	XP_003699994.1
OG0000026	XP_033332814.1	XP_012144087.1
OG0000026	XP_033330956.1, XP_033330958.1	XP_012137100.1
OG0000026	XP_033340742.1	XP_012148280.1, XP_003706585.1
OG0000026	XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1
OG0000027	XP_033328969.1, XP_033328626.1, XP_033328968.1	XP_012151723.1
OG0000027	XP_033328627.1	XP_003703732.1
OG0000028	XP_033332580.1	XP_012146123.1
OG0000028	XP_033323534.1, XP_033320862.1, XP_033323544.1, XP_033323536.1	XP_012147725.1
OG0000028	XP_033320861.1	XP_012151332.1
OG0000028	XP_033331103.1	XP_012150523.1
OG0000029	XP_033327295.1	XP_012142317.1
OG0000029	XP_033338642.1	XP_012154358.1
OG0000029	XP_033327383.1	XP_003704721.1
OG0000030	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1	XP_012151824.1
OG0000030	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1	XP_012136054.1
OG0000032	XP_033338046.1	XP_003700812.2
OG0000032	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1
OG0000032	XP_033340631.1	XP_012148506.1
OG0000035	XP_033326685.1	XP_003699462.1
OG0000036	XP_033340619.1, XP_033331129.1, XP_033339844.1, XP_033340605.1, XP_033340632.1	XP_003708655.1
OG0000036	XP_033324439.1, XP_033340568.1	XP_012134943.1
OG0000036	XP_033341364.1	XP_003708656.1
OG0000036	XP_033324523.1, XP_033324493.1	XP_003700660.1
OG0000037	XP_033322268.1	XP_012141146.1
OG0000038	XP_033322848.1	XP_012136030.1, XP_003703285.1
OG0000038	XP_033327050.1	XP_012138042.1
OG0000038	XP_033340658.1	XP_012143992.1
OG0000038	XP_033327650.1	XP_012146808.1, XP_012146805.1
OG0000038	XP_033322343.1	XP_012148553.1
OG0000038	XP_033322376.1, XP_033322375.1	XP_012153286.1
OG0000039	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1	XP_012153215.1
OG0000040	XP_033342116.1	XP_012139968.1
OG0000040	XP_033323605.1, XP_033323606.1	XP_003700882.2, XP_003700841.2
OG0000041	XP_033333606.1, XP_033333605.1	XP_012137793.1, XP_012137792.1, XP_003702208.1
OG0000041	XP_033322537.1	XP_003706099.1, XP_012147265.1, XP_012147267.1, XP_012147266.1
OG0000041	XP_033339804.1, XP_033322547.1, XP_033322535.1, XP_033322540.1	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1
OG0000041	XP_033338815.1	XP_003700544.1
OG0000042	XP_033339770.1, XP_033333624.1, XP_033342791.1	XP_012140350.1
OG0000042	XP_033329812.1	XP_012142134.1, XP_003703962.2
OG0000043	XP_033340088.1	XP_003705047.1
OG0000043	XP_033339734.1	XP_012153654.1
OG0000043	XP_033339691.1	XP_003700214.1
OG0000043	XP_033330269.1	XP_003708519.1
OG0000044	XP_033322614.1	XP_012148083.1
OG0000044	XP_033323078.1, XP_033323667.1	XP_012148084.1
OG0000044	XP_033334549.1	XP_003706475.2
OG0000045	XP_033323543.1	XP_003702695.1
OG0000045	XP_033329211.1	XP_003703631.1
OG0000045	XP_033327991.1	XP_003707415.2
OG0000046	XP_033341697.1	XP_012146503.1
OG0000046	XP_033341090.1	XP_003705538.1
OG0000048	XP_033333402.1	XP_012150784.1
OG0000048	XP_033333340.1, XP_033333349.1, XP_033333668.1, XP_033333667.1, XP_033333670.1	XP_012150872.1, XP_003707597.1
OG0000048	XP_033333675.1	XP_012150787.1
OG0000048	XP_033333474.1	XP_012150791.1
OG0000048	XP_033333353.1, XP_033333663.1	XP_012150780.1, XP_012150778.1
OG0000048	XP_033333403.1	XP_012150870.1
OG0000048	XP_033333671.1	XP_012150871.1
OG0000050	XP_033332897.1, XP_033332837.1	XP_003704799.2
OG0000051	XP_033332759.1, XP_033333536.1	XP_012153588.1, XP_012136548.1
OG0000053	XP_033335402.1, XP_033331112.1	XP_012145741.1, XP_012148086.1
OG0000054	XP_033321308.1	XP_003707234.1
OG0000054	XP_033321391.1, XP_033321390.1	XP_003707236.1
OG0000055	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1	XP_003702736.1
OG0000055	XP_033330133.1	XP_012143001.1
OG0000055	XP_033323580.1	XP_012136069.1
OG0000056	XP_033329125.1	XP_012140855.1
OG0000056	XP_033343017.1	XP_012148645.1
OG0000056	XP_033329947.1	XP_012147749.1
OG0000056	XP_033321060.1	XP_012140860.1
OG0000056	XP_033332176.1	XP_012137428.1
OG0000056	XP_033342931.1, XP_033342927.1	XP_012154207.1, XP_012154186.1
OG0000057	XP_033338100.1	XP_003706217.1
OG0000057	XP_033330917.1	XP_003702759.1
OG0000057	XP_033338102.1	XP_012147418.1
OG0000057	XP_033338099.1	XP_003706216.1
OG0000058	XP_033339143.1, XP_033339144.1	XP_012152350.1
OG0000058	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339287.1, XP_033339137.1, XP_033339139.1, XP_033339138.1, XP_033339134.1	XP_012148352.1, XP_012152307.1, XP_012152319.1, XP_012152339.1, XP_012151894.1
OG0000059	XP_033324362.1, XP_033324363.1, XP_033324361.1, XP_033332589.1, XP_033323469.1, XP_033329015.1, XP_033334385.1	XP_012152118.1
OG0000060	XP_033325149.1, XP_033325147.1	XP_012134573.1, XP_012134574.1, XP_012134572.1
OG0000060	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1
OG0000061	XP_033328585.1	XP_003703873.1
OG0000061	XP_033333649.1	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1
OG0000061	XP_033340644.1	XP_012153335.1
OG0000062	XP_033339725.1	XP_003701703.1
OG0000062	XP_033323498.1	XP_003701707.1
OG0000062	XP_033339724.1	XP_012136839.1, XP_003701702.1
OG0000063	XP_033331128.1	XP_012146122.1, XP_012150530.1, XP_012147290.1, XP_012143814.1, XP_012152389.1, XP_012137504.1, XP_012153232.1, XP_012146118.1, XP_012147780.1
OG0000065	XP_033320904.1	XP_012143903.1, XP_012143889.1, XP_012143895.1
OG0000066	XP_033326446.1, XP_033325792.1, XP_033332603.1	XP_012147361.1, XP_012147785.1, XP_012151330.1, XP_012151855.1
OG0000067	XP_033333911.1	XP_012148170.1
OG0000067	XP_033335042.1	XP_012152266.1
OG0000067	XP_033335707.1	XP_003701916.1
OG0000067	XP_033336615.1	XP_003707128.1
OG0000069	XP_033334725.1	XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1
OG0000069	XP_033334726.1, XP_033334728.1	XP_012154576.1
OG0000070	XP_033333759.1	XP_012150706.1
OG0000071	XP_033329354.1	XP_012148642.1, XP_003706755.2, XP_012148644.1, XP_012148643.1, XP_012149906.1
OG0000072	XP_033326117.1	XP_012140869.1
OG0000072	XP_033334346.1	XP_012151359.1
OG0000073	XP_033331553.1, XP_033331552.1	XP_012147570.1
OG0000073	XP_033341264.1, XP_033341263.1, XP_033341369.1	XP_003702701.1, XP_012139216.1, XP_003702702.1
OG0000074	XP_033343118.1	XP_012149755.1, XP_012149751.1, XP_012149748.1
OG0000075	XP_033330826.1	XP_012135022.1, XP_012144543.1
OG0000076	XP_033339833.1	XP_012147801.1
OG0000077	XP_033333760.1	XP_012150605.1, XP_012150604.1
OG0000077	XP_033332959.1	XP_003703606.1
OG0000078	XP_033342126.1	XP_012149880.1
OG0000078	XP_033337334.1, XP_033337342.1, XP_033337625.1, XP_033337637.1	XP_012149881.1, XP_012149882.1
OG0000079	XP_033333836.1	XP_012141957.1, XP_012141956.1
OG0000079	XP_033333837.1	XP_003703883.1, XP_012142004.1
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1
OG0000080	XP_033335311.1	XP_003700522.1
OG0000080	XP_033326285.1	XP_003700524.1
OG0000081	XP_033339803.1	XP_012143986.1, XP_012143985.1, XP_012143891.1, XP_012143988.1, XP_012143893.1, XP_003704733.2
OG0000082	XP_033336170.1	XP_012151975.1
OG0000082	XP_033336011.1	XP_012151997.1
OG0000082	XP_033336012.1	XP_012151993.1
OG0000084	XP_033339433.1	XP_003701847.1
OG0000084	XP_033339432.1	XP_003701826.2
OG0000084	XP_033337518.1	XP_003701043.1
OG0000085	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1	XP_003702681.1
OG0000085	XP_033337654.1	XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1
OG0000086	XP_033341642.1	XP_003699659.2
OG0000086	XP_033331032.1	XP_012143956.1, XP_012143955.1
OG0000087	XP_033330624.1, XP_033324927.1	XP_003708584.1
OG0000088	XP_033340711.1	XP_003701082.1
OG0000089	XP_033329242.1, XP_033329243.1, XP_033329244.1	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1
OG0000089	XP_033320834.1	XP_003706466.1
OG0000091	XP_033327591.1, XP_033327610.1	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1
OG0000092	XP_033328764.1	XP_012144682.1
OG0000092	XP_033322679.1, XP_033322678.1	XP_003702709.1
OG0000092	XP_033322688.1	XP_003702708.1
OG0000092	XP_033332253.1	XP_012142981.1, XP_003704244.1
OG0000093	XP_033326118.1, XP_033326113.1	XP_012146604.1
OG0000094	XP_033328912.1	XP_012151693.1
OG0000094	XP_033338575.1	XP_012154361.1
OG0000096	XP_033336669.1	XP_012147708.1
OG0000096	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1	XP_012137363.1, XP_012137365.1
OG0000097	XP_033322825.1	XP_012153341.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1
OG0000099	XP_033322301.1	XP_003705981.1, XP_012146974.1
OG0000099	XP_033322345.1	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1
OG0000099	XP_033341688.1	XP_012136224.1
OG0000100	XP_033332436.1, XP_033332438.1, XP_033332435.1	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1
OG0000101	XP_033329295.1	XP_012141182.1, XP_012141571.1
OG0000101	XP_033329294.1, XP_033329291.1	XP_012141186.1, XP_003703468.1
OG0000102	XP_033337546.1	XP_012135996.1
OG0000102	XP_033327585.1	XP_012135840.1, XP_012135835.1
OG0000103	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1	XP_012144424.1
OG0000103	XP_033321001.1	XP_003699704.1
OG0000103	XP_033320999.1, XP_033321000.1	XP_012143723.1
OG0000106	XP_033325290.1	XP_003706674.1
OG0000106	XP_033320766.1, XP_033320765.1, XP_033333838.1, XP_033333876.1, XP_033320767.1	XP_012146762.1, XP_012146725.1, XP_012146726.1, XP_012146761.1, XP_012146727.1, XP_012146759.1
OG0000107	XP_033342710.1	XP_012151270.1, XP_012151275.1
OG0000107	XP_033337107.1	XP_012151859.1
OG0000108	XP_033333478.1	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_003700281.2
OG0000110	XP_033334675.1, XP_033333647.1	XP_012139832.1
OG0000111	XP_033327466.1	XP_012135601.1, XP_012135600.1
OG0000112	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1
OG0000112	XP_033338986.1	XP_003700355.1, XP_012154003.1
OG0000113	XP_033339074.1	XP_003701045.1
OG0000113	XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_003699454.1
OG0000114	XP_033328279.1	XP_003707384.2
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1	XP_003703956.1
OG0000115	XP_033336981.1	XP_012139900.1
OG0000115	XP_033335187.1	XP_003703954.1
OG0000116	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1	XP_003700102.1
OG0000116	XP_033334348.1, XP_033334350.1, XP_033334349.1	XP_012150301.1, XP_003700101.1
OG0000117	XP_033329862.1	XP_012142234.1
OG0000117	XP_033333385.1	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1
OG0000119	XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1
OG0000120	XP_033323873.1	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1
OG0000122	XP_033334236.1	XP_003702313.1
OG0000123	XP_033333520.1, XP_033333521.1	XP_003702607.2
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_003703399.2
OG0000125	XP_033321046.1, XP_033321048.1	XP_003703348.2
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1
OG0000127	XP_033341265.1	XP_003707941.2
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1
OG0000130	XP_033328411.1	XP_012141591.1
OG0000130	XP_033328425.1, XP_033328424.1, XP_033328423.1	XP_003703718.1
OG0000130	XP_033328418.1	XP_003702400.1
OG0000131	XP_033335039.1	XP_012138681.1, XP_003699377.1
OG0000131	XP_033340309.1, XP_033340308.1	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1	XP_003706203.1, XP_012147468.1
OG0000132	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1	XP_012152838.1, XP_003708422.1
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1	XP_003707714.1
OG0000133	XP_033338340.1	XP_012147926.1
OG0000134	XP_033330806.1	XP_012143753.1
OG0000135	XP_033328565.1	XP_003708004.1
OG0000135	XP_033329896.1	XP_003708115.1
OG0000136	XP_033340885.1	XP_003705561.1
OG0000136	XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1	XP_012146210.1
OG0000137	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1	XP_003705868.1
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1	XP_012141572.1
OG0000138	XP_033329393.1, XP_033329391.1, XP_033329394.1	XP_012141209.1
OG0000139	XP_033336023.1	XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1
OG0000140	XP_033336138.1, XP_033336137.1	XP_012139579.1, XP_012139878.1
OG0000141	XP_033323945.1	XP_003701926.1
OG0000142	XP_033330200.1, XP_033330159.1, XP_033330161.1	XP_003704387.2
OG0000142	XP_033330157.1, XP_033330202.1, XP_033330203.1, XP_033330160.1, XP_033330163.1, XP_033330158.1, XP_033330192.1, XP_033330162.1, XP_033335998.1, XP_033335872.1	XP_012143007.1
OG0000143	XP_033338241.1, XP_033338240.1, XP_033338242.1	XP_003702327.1
OG0000143	XP_033338224.1	XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1
OG0000144	XP_033329958.1, XP_033329957.1	XP_003705520.2
OG0000145	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1
OG0000145	XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1	XP_012138596.1
OG0000146	XP_033338432.1	XP_003705369.1
OG0000146	XP_033321210.1	XP_012151898.1, XP_012151891.1, XP_012151896.1
OG0000147	XP_033341113.1, XP_033341112.1	XP_012151556.1, XP_003707862.1, XP_012151555.1
OG0000147	XP_033324165.1	XP_012149993.1, XP_003707471.1
OG0000149	XP_033323096.1	XP_012147339.1
OG0000149	XP_033323100.1, XP_033323099.1	XP_012147343.1, XP_012147342.1, XP_003706133.1
OG0000150	XP_033330026.1, XP_033330029.1	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	XP_003704470.2
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_012139835.1
OG0000154	XP_033321243.1, XP_033321242.1	XP_012152021.1
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_012150894.1
OG0000158	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1	XP_012150089.1
OG0000160	XP_033342703.1, XP_033342702.1	XP_012147327.1
OG0000161	XP_033331231.1	XP_003703976.1
OG0000162	XP_033334806.1	XP_003699383.2
OG0000162	XP_033338174.1	XP_012151345.1
OG0000164	XP_033320770.1	XP_012138610.1
OG0000164	XP_033320763.1	XP_012138588.1
OG0000164	XP_033343121.1	XP_012138609.1
OG0000165	XP_033333149.1, XP_033333152.1	XP_012141446.1, XP_012141448.1, XP_012141447.1
OG0000165	XP_033335006.1	XP_012138919.1
OG0000168	XP_033341755.1	XP_012136788.1
OG0000168	XP_033339918.1	XP_012139252.1
OG0000169	XP_033338959.1	XP_003705463.1
OG0000169	XP_033333680.1, XP_033333360.1	XP_003705446.1, XP_003705458.1, XP_003705457.1
OG0000169	XP_033333679.1	XP_003705455.2
OG0000170	XP_033325780.1	XP_012135505.1
OG0000170	XP_033325783.1	XP_003701076.1
OG0000170	XP_033325782.1	XP_012135503.1
OG0000170	XP_033325779.1	XP_012143625.1
OG0000171	XP_033333068.1	XP_003704787.1
OG0000171	XP_033333056.1	XP_012144044.1
OG0000172	XP_033326361.1	XP_012144448.1, XP_012144447.1, XP_012144446.1, XP_012144445.1, XP_012144449.1, XP_012144439.1, XP_012144440.1, XP_012144441.1, XP_012144442.1, XP_012144443.1, XP_003704990.1
OG0000173	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1	XP_012141604.1
OG0000174	XP_033336682.1, XP_033336684.1, XP_033336683.1	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1
OG0000175	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1
OG0000176	XP_033333384.1, XP_033325289.1	XP_012142410.1, XP_012149521.1
OG0000176	XP_033321468.1, XP_033321469.1	XP_003702272.1
OG0000177	XP_033335034.1	XP_003707752.1
OG0000177	XP_033334971.1	XP_012151117.1
OG0000177	XP_033334932.1	XP_012151116.1
OG0000178	XP_033330470.1, XP_033330472.1	XP_012149455.1
OG0000179	XP_033324424.1	XP_012134930.1
OG0000179	XP_033329714.1	XP_003707098.1
OG0000180	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1
OG0000181	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1	XP_012135659.1
