Orthogroup	Megalopta_genalis	Polistes_dominula
OG0000120	XP_033323873.1	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1
OG0000122	XP_033334236.1	XP_015172140.1
OG0000123	XP_033333520.1, XP_033333521.1	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_015173329.1, XP_015173327.1, XP_015173328.1
OG0000125	XP_033321046.1, XP_033321048.1, XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1	XP_015191429.1
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1
OG0000127	XP_033341265.1	XP_015189033.1
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_015185341.1, XP_015185342.1
OG0000130	XP_033328411.1	XP_015177984.1
OG0000130	XP_033328425.1, XP_033328424.1, XP_033328423.1	XP_015177985.1, XP_015177986.1
OG0000130	XP_033328418.1	XP_015178018.1, XP_015178019.1
OG0000131	XP_033335039.1	XP_015188702.1
OG0000131	XP_033340309.1, XP_033340308.1	XP_015181077.1, XP_015181078.1
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1	XP_015173499.1, XP_015173500.1
OG0000132	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1	XP_015188177.1
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1	XP_015173823.1
OG0000133	XP_033332587.1	XP_015171178.1
OG0000135	XP_033328565.1	XP_015190379.1, XP_015190377.1, XP_015190378.1
OG0000135	XP_033329896.1	XP_015186255.1
OG0000136	XP_033340885.1, XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1	XP_015182073.1
OG0000137	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1	XP_015174184.1
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1
OG0000138	XP_033329393.1, XP_033329391.1, XP_033329394.1	XP_015181777.1
OG0000139	XP_033336023.1	XP_015184449.1
OG0000140	XP_033336138.1, XP_033336137.1	XP_015172454.1
OG0000141	XP_033323945.1	XP_015172584.1
OG0000141	XP_033323610.1, XP_033323609.1	XP_015191838.1
OG0000142	XP_033330200.1, XP_033330159.1, XP_033330161.1, XP_033330157.1, XP_033330202.1, XP_033330203.1, XP_033330160.1, XP_033330163.1, XP_033330158.1, XP_033330192.1, XP_033330162.1, XP_033335998.1, XP_033335872.1	XP_015177690.1
OG0000143	XP_033338241.1, XP_033338240.1, XP_033338242.1	XP_015188708.1
OG0000143	XP_033338224.1	XP_015188709.1, XP_015188710.1
OG0000144	XP_033329958.1, XP_033329957.1	XP_015177945.1
OG0000145	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1
OG0000145	XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1	XP_015191830.1, XP_015191831.1, XP_015191832.1
OG0000146	XP_033338432.1, XP_033321210.1	XP_015178326.1, XP_015178324.1
OG0000147	XP_033341113.1, XP_033341112.1	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1
OG0000147	XP_033324165.1	XP_015172908.1
OG0000149	XP_033323096.1	XP_015183082.1
OG0000149	XP_033323100.1, XP_033323099.1	XP_015183081.1, XP_015183080.1, XP_015183079.1
OG0000150	XP_033330026.1, XP_033330029.1	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_015177279.1
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1
OG0000154	XP_033321243.1, XP_033321242.1	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1
OG0000157	XP_033334269.1	XP_015176246.1
OG0000158	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1	XP_015180258.1, XP_015180556.1, XP_015179489.1
OG0000160	XP_033342703.1, XP_033342702.1	XP_015185930.1
OG0000161	XP_033331231.1	XP_015176784.1
OG0000162	XP_033334806.1	XP_015186367.1
OG0000162	XP_033338174.1	XP_015182682.1
OG0000164	XP_033320770.1	XP_015191636.1
OG0000164	XP_033343121.1	XP_015191588.1
OG0000165	XP_033333149.1, XP_033333152.1	XP_015185448.1
OG0000165	XP_033335006.1	XP_015174982.1
OG0000168	XP_033341755.1	XP_015190714.1, XP_015190715.1
OG0000169	XP_033338959.1	XP_015174834.1, XP_015178625.1, XP_015181526.1
OG0000170	XP_033325780.1	XP_015191093.1, XP_015191092.1
OG0000170	XP_033325783.1	XP_015191094.1
OG0000170	XP_033325782.1	XP_015191097.1, XP_015191098.1
OG0000171	XP_033333068.1	XP_015174391.1
OG0000171	XP_033333056.1	XP_015174730.1
OG0000172	XP_033326361.1	XP_015184112.1, XP_015184114.1, XP_015184115.1, XP_015184116.1, XP_015184111.1
OG0000173	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1
OG0000174	XP_033336682.1, XP_033336684.1, XP_033336683.1	XP_015191732.1, XP_015191730.1, XP_015191731.1
OG0000175	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1
OG0000176	XP_033327287.1	XP_015188014.1
OG0000176	XP_033321468.1, XP_033321469.1	XP_015179485.1
OG0000177	XP_033335034.1	XP_015191041.1
OG0000177	XP_033334971.1	XP_015190999.1
OG0000178	XP_033330470.1, XP_033330472.1	XP_015179140.1
OG0000179	XP_033324424.1	XP_015183599.1
OG0000179	XP_033329714.1	XP_015184549.1
OG0000180	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1	XP_015171486.1, XP_015171485.1, XP_015171484.1
OG0000181	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1
OG0000182	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1
OG0000183	XP_033334085.1	XP_015175162.1
OG0000183	XP_033333570.1	XP_015181592.1
OG0000185	XP_033335695.1, XP_033335694.1	XP_015175891.1, XP_015175892.1, XP_015175893.1
OG0000186	XP_033322600.1	XP_015183983.1, XP_015183981.1
OG0000187	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1	XP_015180155.1, XP_015180146.1, XP_015180136.1
OG0000188	XP_033332397.1, XP_033339920.1	XP_015176881.1
OG0000189	XP_033338330.1	XP_015173121.1, XP_015173134.1
OG0000190	XP_033320777.1, XP_033320785.1, XP_033320794.1, XP_033320771.1	XP_015184945.1
OG0000191	XP_033324612.1, XP_033324613.1	XP_015179465.1, XP_015179466.1
OG0000192	XP_033330674.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1, XP_033330689.1, XP_033330679.1, XP_033330678.1, XP_033330686.1, XP_033330685.1, XP_033330677.1, XP_033330690.1, XP_033330687.1, XP_033330688.1, XP_033330692.1, XP_033330676.1, XP_033330675.1	XP_015178452.1
OG0000194	XP_033339145.1	XP_015173607.1
OG0000194	XP_033339236.1	XP_015173634.1
OG0000194	XP_033339238.1	XP_015173610.1
OG0000194	XP_033339249.1	XP_015181334.1, XP_015181335.1
OG0000195	XP_033335400.1	XP_015179161.1
OG0000196	XP_033325034.1	XP_015178964.1
OG0000196	XP_033326430.1	XP_015174639.1
OG0000198	XP_033335479.1	XP_015173178.1
OG0000200	XP_033342572.1, XP_033342575.1	XP_015178431.1, XP_015178427.1
OG0000201	XP_033340961.1	XP_015179138.1
OG0000202	XP_033333432.1, XP_033333433.1	XP_015177652.1, XP_015177653.1, XP_015177655.1, XP_015177654.1
OG0000203	XP_033330196.1	XP_015176004.1
OG0000203	XP_033332078.1	XP_015174579.1, XP_015174578.1
OG0000204	XP_033332020.1, XP_033332021.1	XP_015182497.1, XP_015177887.1
OG0000205	XP_033323241.1, XP_033323242.1, XP_033323243.1, XP_033323244.1	XP_015183111.1, XP_015183110.1
OG0000206	XP_033326327.1, XP_033326324.1	XP_015186289.1
OG0000206	XP_033326332.1, XP_033332305.1	XP_015186290.1, XP_015186291.1
OG0000207	XP_033334745.1	XP_015175962.1
OG0000207	XP_033335457.1	XP_015186420.1, XP_015186417.1
OG0000208	XP_033335301.1	XP_015186385.1
OG0000208	XP_033341683.1, XP_033341671.1	XP_015173568.1
OG0000209	XP_033325797.1, XP_033325796.1	XP_015184955.1
OG0000210	XP_033321038.1	XP_015177416.1
OG0000210	XP_033331494.1	XP_015180468.1
OG0000210	XP_033339699.1	XP_015185061.1
OG0000212	XP_033337306.1	XP_015185495.1
OG0000212	XP_033337304.1, XP_033337305.1	XP_015185494.1
OG0000213	XP_033335273.1, XP_033335255.1, XP_033335248.1, XP_033335265.1	XP_015189481.1
OG0000214	XP_033329279.1	XP_015190491.1
OG0000214	XP_033332495.1	XP_015175994.1
OG0000215	XP_033324846.1	XP_015185000.1
OG0000215	XP_033324848.1	XP_015185001.1
OG0000216	XP_033329437.1	XP_015185916.1
OG0000217	XP_033326893.1	XP_015186718.1
OG0000218	XP_033324698.1, XP_033324701.1, XP_033324699.1, XP_033324700.1, XP_033324694.1, XP_033324693.1, XP_033324696.1, XP_033324695.1	XP_015174590.1, XP_015174588.1, XP_015174591.1
