Orthogroup	Megalopta_genalis	Ceratina_calcarata
OG0000020	XP_033336086.1	XP_026672764.1
OG0000020	XP_033329902.1	XP_017892668.1
OG0000020	XP_033341861.1	XP_017878233.1
OG0000020	XP_033323952.1, XP_033323953.1	XP_026668767.1
OG0000021	XP_033334588.1	XP_026674526.1, XP_017890431.1
OG0000021	XP_033327467.1	XP_017878927.1
OG0000021	XP_033336486.1, XP_033336485.1	XP_017892165.1
OG0000022	XP_033337184.1	XP_017887568.1
OG0000022	XP_033328481.1	XP_017892302.1
OG0000022	XP_033326609.1	XP_017879112.1
OG0000022	XP_033328967.1	XP_017888174.1
OG0000022	XP_033328625.1	XP_017887616.1, XP_017881012.1
OG0000023	XP_033328578.1	XP_026673239.1, XP_017881017.1
OG0000024	XP_033339085.1, XP_033339401.1, XP_033329817.1	XP_017876987.2
OG0000024	XP_033340779.1	XP_017892075.1
OG0000024	XP_033341678.1	XP_017889793.1
OG0000025	XP_033330636.1	XP_026674121.1
OG0000025	XP_033335340.1, XP_033334345.1	XP_017890440.1
OG0000026	XP_033339312.1	XP_017881604.1
OG0000026	XP_033330956.1, XP_033330958.1	XP_017886012.1
OG0000026	XP_033321049.1	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1
OG0000027	XP_033328968.1	XP_017875198.1
OG0000027	XP_033328627.1	XP_017887602.1, XP_017888171.1
OG0000028	XP_033331103.1	XP_026666970.1, XP_017891298.1, XP_017890721.1, XP_017887219.1
OG0000029	XP_033327291.1, XP_033327295.1	XP_017879055.1, XP_017878925.1
OG0000029	XP_033338642.1	XP_017883728.1
OG0000029	XP_033327378.1	XP_026668846.1, XP_026671320.1
OG0000029	XP_033327383.1	XP_017878918.1
OG0000030	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1	XP_026669786.1, XP_026668326.1
OG0000030	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1	XP_017889314.1, XP_026673910.1, XP_026673911.1, XP_026673914.1, XP_026673913.1, XP_026673912.1
OG0000032	XP_033338046.1	XP_017879113.1
OG0000032	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1	XP_026669191.1, XP_017879823.1
OG0000032	XP_033340631.1	XP_017891597.1
OG0000033	XP_033328398.1	XP_026675149.1, XP_017888593.2
OG0000033	XP_033331624.1	XP_017881686.1
OG0000035	XP_033326629.1, XP_033326628.1	XP_017886557.1
OG0000036	XP_033340619.1, XP_033331129.1, XP_033339844.1, XP_033340605.1, XP_033340632.1	XP_017881580.1, XP_017889701.1, XP_017889702.1
OG0000036	XP_033324439.1, XP_033340568.1	XP_017881584.1
OG0000036	XP_033341377.1, XP_033341389.1	XP_017889442.1, XP_026674036.1
OG0000036	XP_033323972.1	XP_017890188.1, XP_017889424.1
OG0000036	XP_033341270.1, XP_033341293.1, XP_033341282.1	XP_017889438.1
OG0000036	XP_033341364.1	XP_017889422.1
OG0000036	XP_033324493.1	XP_017888379.2
OG0000037	XP_033322268.1	XP_017893255.1
OG0000038	XP_033322848.1	XP_017875625.1
OG0000038	XP_033330101.1	XP_017877449.1
OG0000038	XP_033340658.1	XP_017889363.1
OG0000038	XP_033327650.1	XP_017889379.1
OG0000038	XP_033322343.1	XP_017882886.1
OG0000038	XP_033322376.1, XP_033322375.1	XP_017886375.1
OG0000041	XP_033322535.1	XP_017880121.1, XP_017880123.1
OG0000041	XP_033338815.1	XP_017893662.1
OG0000042	XP_033329807.1, XP_033329806.1	XP_017883943.2, XP_026673615.1
OG0000043	XP_033340088.1	XP_017886026.1
OG0000043	XP_033339734.1	XP_017878064.1
OG0000043	XP_033339691.1	XP_017877704.1
OG0000043	XP_033330269.1	XP_017881454.1
OG0000044	XP_033322614.1	XP_026674447.1
OG0000044	XP_033323078.1, XP_033323667.1	XP_026673576.1
OG0000044	XP_033334549.1	XP_026675544.1
OG0000045	XP_033329211.1	XP_017885494.1, XP_017885495.1
OG0000045	XP_033323567.1, XP_033323555.1	XP_026672577.1
OG0000045	XP_033327991.1	XP_026670847.1
OG0000046	XP_033341697.1	XP_017880728.1
OG0000046	XP_033341090.1	XP_017877146.1
OG0000048	XP_033333402.1	XP_026672955.1
OG0000049	XP_033329024.1	XP_026673634.1
OG0000049	XP_033322820.1	XP_026673635.1
OG0000050	XP_033332897.1, XP_033332837.1	XP_017890628.2
OG0000051	XP_033332759.1, XP_033333536.1	XP_017891841.1
OG0000052	XP_033323679.1	XP_017876353.1
OG0000054	XP_033321308.1	XP_017877140.2
OG0000055	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1	XP_026670741.1
OG0000055	XP_033330133.1	XP_026669873.1
OG0000055	XP_033323580.1	XP_026670737.1
OG0000056	XP_033343017.1	XP_026668599.1
OG0000056	XP_033329947.1	XP_017878877.2
OG0000056	XP_033321060.1	XP_026674744.1
OG0000056	XP_033332176.1	XP_026667107.1
OG0000056	XP_033342931.1, XP_033342927.1	XP_026673034.1
OG0000057	XP_033338100.1	XP_017893620.1
OG0000057	XP_033338102.1	XP_017893593.1
OG0000057	XP_033338099.1	XP_017893591.1
OG0000057	XP_033338103.1	XP_026666868.1
OG0000058	XP_033339143.1, XP_033339144.1	XP_026669998.1
OG0000058	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339287.1, XP_033339137.1, XP_033339139.1, XP_033339138.1, XP_033339134.1	XP_026674585.1, XP_026669241.1, XP_017890641.2, XP_026667263.1, XP_026674805.1, XP_026667259.1, XP_026669747.1, XP_026669980.1, XP_026667260.1, XP_026669995.1
OG0000060	XP_033325149.1, XP_033325147.1	XP_017886873.1
OG0000060	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1
OG0000061	XP_033328585.1	XP_017875889.1
OG0000061	XP_033333649.1	XP_017878262.1
OG0000062	XP_033339725.1	XP_017884166.1
OG0000062	XP_033323498.1	XP_017884165.1
OG0000062	XP_033339724.1	XP_017883750.1, XP_017889879.1
OG0000063	XP_033331128.1	XP_017879825.1
OG0000065	XP_033320904.1	XP_026668887.1
OG0000066	XP_033339069.1, XP_033339070.1, XP_033322899.1, XP_033336647.1, XP_033325791.1, XP_033330914.1, XP_033331125.1	XP_017893308.1
OG0000066	XP_033335269.1, XP_033339072.1, XP_033339073.1, XP_033339079.1, XP_033339076.1, XP_033339080.1, XP_033322435.1	XP_017886546.1, XP_017892307.1, XP_026666824.1
OG0000066	XP_033326446.1, XP_033325792.1, XP_033332603.1	XP_026669810.1, XP_026674360.1
OG0000067	XP_033333911.1	XP_017879415.1
OG0000067	XP_033335042.1	XP_017890435.1
OG0000067	XP_033335707.1	XP_017893293.1
OG0000067	XP_033336615.1	XP_017875523.1
OG0000069	XP_033334725.1	XP_017886230.2
OG0000069	XP_033334726.1, XP_033334728.1	XP_026667998.1, XP_017877327.1, XP_017886254.1, XP_026669813.1
OG0000070	XP_033333759.1	XP_026674236.1
OG0000070	XP_033333736.1, XP_033333776.1	XP_017889960.2
OG0000074	XP_033343118.1	XP_017890868.1
OG0000077	XP_033333760.1	XP_017875015.1
OG0000077	XP_033332959.1	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1
OG0000078	XP_033342126.1	XP_026670822.1, XP_026670829.1
OG0000079	XP_033333837.1	XP_026668250.1
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_017890681.1
OG0000080	XP_033335311.1	XP_017883725.1
OG0000080	XP_033326285.1	XP_017890685.1
OG0000081	XP_033339803.1	XP_026674182.1, XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2
OG0000082	XP_033336170.1	XP_017884449.1
OG0000082	XP_033336010.1	XP_017884391.1
OG0000082	XP_033336011.1	XP_017884390.1
OG0000084	XP_033339433.1	XP_017892832.1
OG0000084	XP_033339434.1	XP_017892831.1
OG0000084	XP_033339432.1	XP_017892838.1
OG0000084	XP_033337518.1	XP_017886965.1
OG0000085	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1	XP_017890150.1
OG0000085	XP_033337654.1	XP_026671441.1
OG0000086	XP_033341642.1	XP_017886282.1, XP_017890445.1
OG0000086	XP_033331032.1	XP_017889819.1
OG0000087	XP_033330624.1, XP_033324927.1	XP_017889597.1
OG0000087	XP_033324926.1	XP_017889543.1, XP_026674171.1
OG0000088	XP_033340711.1	XP_017876693.1
OG0000089	XP_033329242.1, XP_033329243.1, XP_033329244.1	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1
OG0000089	XP_033320834.1	XP_017879753.1
OG0000091	XP_033327591.1, XP_033327610.1	XP_017878945.1, XP_017878947.1, XP_017875917.2
OG0000092	XP_033328764.1	XP_017890756.1
OG0000092	XP_033322679.1, XP_033322678.1	XP_017879703.1, XP_026669127.1
OG0000092	XP_033322688.1	XP_017879700.1
OG0000092	XP_033332253.1	XP_017883478.1
OG0000093	XP_033326118.1, XP_033326113.1	XP_017884046.1
OG0000094	XP_033328912.1	XP_017888932.1
OG0000094	XP_033338575.1	XP_026667942.1, XP_017877215.1
OG0000095	XP_033334699.1, XP_033334698.1	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1
OG0000096	XP_033336669.1	XP_026671822.1
OG0000096	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1
OG0000097	XP_033322825.1	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1
OG0000099	XP_033322301.1	XP_017878131.1
OG0000099	XP_033322345.1	XP_017882904.1
OG0000099	XP_033341688.1	XP_017889756.1
OG0000100	XP_033332436.1, XP_033332438.1, XP_033332435.1	XP_026672742.1, XP_026672741.1, XP_026672740.1
OG0000101	XP_033329295.1	XP_026672149.1
OG0000101	XP_033329294.1, XP_033329291.1	XP_017885597.1
OG0000102	XP_033337546.1	XP_017888807.1
OG0000102	XP_033327585.1	XP_017888735.1
OG0000103	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1	XP_017881956.1
OG0000103	XP_033321001.1	XP_017881941.1
OG0000103	XP_033320999.1, XP_033321000.1	XP_017881954.1
OG0000106	XP_033325290.1	XP_017875835.1
OG0000106	XP_033320766.1, XP_033320765.1, XP_033333838.1, XP_033333876.1, XP_033320767.1	XP_017890716.2, XP_017883369.2
OG0000107	XP_033342710.1	XP_017877578.1, XP_026668184.1
OG0000108	XP_033333478.1	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1
OG0000110	XP_033334675.1, XP_033333647.1	XP_026671669.1, XP_026671670.1, XP_017884745.1
OG0000111	XP_033327466.1	XP_017892963.2
OG0000112	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1	XP_026668642.1, XP_017878656.1, XP_017878658.1
OG0000112	XP_033338986.1	XP_017883504.1, XP_026671066.1
OG0000113	XP_033339074.1	XP_017875141.1, XP_017886534.2
OG0000113	XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_017878803.1
OG0000114	XP_033328279.1	XP_017890039.2
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1	XP_017887780.1, XP_017887778.1, XP_017885409.1
OG0000115	XP_033336981.1	XP_017881706.1
OG0000115	XP_033335187.1	XP_017881697.1
OG0000116	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1	XP_017881657.1, XP_026670219.1
OG0000116	XP_033334348.1, XP_033334350.1, XP_033334349.1	XP_017881740.1
OG0000117	XP_033329862.1	XP_017881345.1
OG0000117	XP_033333385.1	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1
OG0000120	XP_033326033.1, XP_033326042.1	XP_026671941.1
OG0000120	XP_033323873.1	XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1
OG0000122	XP_033334236.1	XP_017884012.1
OG0000123	XP_033333520.1, XP_033333521.1	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1
OG0000125	XP_033321046.1, XP_033321048.1	XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1
OG0000125	XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1	XP_017875581.1
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1
OG0000127	XP_033341265.1	XP_017876054.2
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_026673235.1, XP_026673236.1, XP_017887874.1
OG0000130	XP_033328411.1	XP_017890630.1
OG0000130	XP_033328425.1, XP_033328424.1, XP_033328423.1	XP_017890624.2, XP_026674583.1, XP_026674584.1
OG0000130	XP_033328418.1	XP_026670684.1
OG0000131	XP_033335039.1	XP_017887498.1
OG0000131	XP_033340309.1, XP_033340308.1	XP_017887622.1, XP_026673152.1
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1	XP_017878842.1
OG0000132	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1	XP_026668316.1
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1	XP_017877510.1
OG0000133	XP_033338340.1	XP_017887809.1
OG0000135	XP_033328565.1	XP_026673412.1
OG0000135	XP_033329896.1	XP_026669661.1
OG0000136	XP_033340885.1	XP_026675214.1
OG0000136	XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1	XP_017892253.1
OG0000137	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1	XP_026670973.1
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1	XP_017885549.1, XP_026672117.1
OG0000138	XP_033329393.1, XP_033329391.1, XP_033329394.1	XP_017885589.1, XP_017885588.1, XP_017885587.1
OG0000139	XP_033336023.1	XP_026673554.1
OG0000140	XP_033336138.1, XP_033336137.1	XP_017884943.1
OG0000141	XP_033323945.1	XP_017885124.1
OG0000141	XP_033323610.1, XP_033323609.1	XP_026671329.1, XP_026671326.1, XP_026671328.1, XP_017884016.1, XP_026671325.1
OG0000142	XP_033330200.1, XP_033330159.1, XP_033330161.1	XP_026669751.1, XP_017892956.2, XP_017891025.1
OG0000142	XP_033330157.1, XP_033330202.1, XP_033330203.1, XP_033330160.1, XP_033330163.1, XP_033330158.1, XP_033330192.1, XP_033330162.1, XP_033335998.1, XP_033335872.1	XP_017891024.1
OG0000143	XP_033338241.1, XP_033338240.1, XP_033338242.1	XP_017891548.1
OG0000143	XP_033338224.1	XP_026675129.1, XP_017891695.1, XP_017891686.1
OG0000144	XP_033329958.1, XP_033329957.1	XP_026673668.1
OG0000145	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1	XP_026667451.1, XP_017876164.1
OG0000145	XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1	XP_017875158.1
OG0000146	XP_033338432.1	XP_017880213.1
OG0000146	XP_033321210.1	XP_017876237.1
OG0000147	XP_033341113.1, XP_033341112.1	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1
OG0000147	XP_033324165.1	XP_017875842.1, XP_017875843.1, XP_026667285.1
OG0000149	XP_033323096.1	XP_026669621.1
OG0000149	XP_033323100.1, XP_033323099.1	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1
OG0000150	XP_033330026.1, XP_033330029.1	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1
OG0000154	XP_033321243.1, XP_033321242.1	XP_017876215.1
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1
OG0000157	XP_033333782.1	XP_017891817.1
OG0000157	XP_033334269.1	XP_017891818.1
OG0000158	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1	XP_017883012.1
OG0000160	XP_033342703.1, XP_033342702.1	XP_017886269.2, XP_017886270.1
OG0000161	XP_033331231.1	XP_017882448.1
OG0000162	XP_033334806.1	XP_017889429.1
OG0000162	XP_033338174.1	XP_017885311.1
OG0000164	XP_033320770.1	XP_026674186.1
OG0000164	XP_033320763.1	XP_026673941.1
OG0000165	XP_033333149.1, XP_033333152.1	XP_017893274.1, XP_017893275.1, XP_017893271.1, XP_017893273.1, XP_017893272.1
OG0000165	XP_033335006.1	XP_017880352.1
OG0000168	XP_033341755.1	XP_017876803.1
OG0000168	XP_033339918.1	XP_017885312.2
OG0000169	XP_033338959.1	XP_017875038.1
OG0000169	XP_033333679.1	XP_017875026.1
OG0000170	XP_033325780.1	XP_017883822.1
OG0000170	XP_033325783.1	XP_017883824.1
OG0000170	XP_033325779.1	XP_017883820.1
OG0000171	XP_033333068.1	XP_017888625.2
OG0000171	XP_033333056.1	XP_017893176.1
OG0000172	XP_033326361.1	XP_017877808.2, XP_017888362.2
OG0000173	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000174	XP_033336682.1, XP_033336684.1, XP_033336683.1	XP_017884502.1, XP_017884504.1, XP_017884503.1, XP_017884500.1, XP_017884501.1, XP_026671517.1, XP_017884509.1, XP_017884505.1, XP_017884508.1
OG0000175	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000176	XP_033321468.1, XP_033321469.1	XP_017891232.1
OG0000177	XP_033335034.1	XP_017876272.1
OG0000177	XP_033334971.1	XP_017876310.1
OG0000177	XP_033334932.1	XP_017876269.1
OG0000178	XP_033330470.1, XP_033330472.1	XP_026671237.1, XP_017883869.1
OG0000179	XP_033324424.1	XP_017886749.1
OG0000179	XP_033329714.1	XP_017888464.1
OG0000180	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1	XP_017890818.1
OG0000181	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1	XP_017887447.1, XP_017887445.1, XP_017887444.1, XP_026673014.1
OG0000182	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1	XP_026670184.1, XP_026670178.1, XP_026670174.1, XP_017881549.1
OG0000183	XP_033334085.1	XP_026670364.1
OG0000183	XP_033333570.1	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1
OG0000184	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1	XP_017880151.1
OG0000185	XP_033335695.1, XP_033335694.1	XP_017884792.1, XP_017884791.1
OG0000186	XP_033322600.1	XP_017880985.2, XP_017889237.1, XP_017889238.1, XP_017884325.1, XP_017889240.1, XP_026673871.1, XP_017879879.1, XP_017879865.1, XP_017893576.1, XP_017877687.1, XP_017877675.1, XP_017885068.1, XP_017890095.1, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1
OG0000187	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1	XP_017885442.1, XP_017885441.1, XP_026672109.1, XP_026672110.1
OG0000188	XP_033338475.1	XP_017880112.2, XP_017880113.1, XP_026669344.1
OG0000188	XP_033332397.1, XP_033339920.1	XP_017881748.1
OG0000190	XP_033320777.1, XP_033320785.1, XP_033320794.1, XP_033320771.1	XP_026670787.1, XP_017882897.1, XP_017882899.1, XP_017882898.1
OG0000191	XP_033324612.1, XP_033324613.1	XP_026668491.1
OG0000192	XP_033330674.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1, XP_033330689.1, XP_033330679.1, XP_033330678.1, XP_033330686.1, XP_033330685.1, XP_033330677.1, XP_033330690.1, XP_033330687.1, XP_033330688.1, XP_033330692.1, XP_033330676.1, XP_033330675.1	XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_026666470.1, XP_017892919.1
OG0000194	XP_033339145.1	XP_026669791.1
OG0000194	XP_033339236.1	XP_017880978.1
OG0000194	XP_033339238.1	XP_026670038.1
OG0000194	XP_033339249.1	XP_026670032.1, XP_026670031.1
OG0000196	XP_033325034.1	XP_017876924.1, XP_026672114.1
OG0000196	XP_033326430.1	XP_026675560.1
OG0000197	XP_033335784.1	XP_017882165.1
OG0000197	XP_033335975.1, XP_033335974.1, XP_033335976.1, XP_033335973.1	XP_017882164.1, XP_017882163.1
