Orthogroup	Megalopta_genalis	Tribolium_castaneum
OG0000066	XP_033339069.1, XP_033339070.1, XP_033322899.1, XP_033336647.1, XP_033325791.1, XP_033330914.1, XP_033331125.1, XP_033335269.1, XP_033339072.1, XP_033339073.1, XP_033339079.1, XP_033339076.1, XP_033339080.1, XP_033322435.1	XP_015839951.1, XP_015837849.1, XP_015839954.1, XP_015840122.1, XP_015839271.1, XP_015839922.1, XP_015837699.1, XP_008192464.1
OG0000066	XP_033326446.1, XP_033325792.1, XP_033332603.1	XP_015840033.1
OG0000067	XP_033333911.1	XP_008200210.1
OG0000067	XP_033335042.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_033336615.1	XP_008198995.1
OG0000069	XP_033334725.1	XP_008191789.1
OG0000071	XP_033329354.1	XP_015835156.1
OG0000072	XP_033334346.1	XP_008198792.1, XP_015839243.1
OG0000073	XP_033331553.1	XP_008195260.1
OG0000077	XP_033333760.1	XP_008200285.1
OG0000077	XP_033332959.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_033333837.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_971544.1
OG0000080	XP_033335311.1	XP_015839289.1
OG0000080	XP_033326285.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	XP_033339806.1, XP_033339803.1	XP_015833047.1
OG0000082	XP_033336170.1, XP_033336010.1, XP_033336011.1, XP_033336012.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_033339433.1, XP_033339434.1, XP_033339432.1	XP_008194205.2
OG0000084	XP_033337518.1	XP_008194337.1, XP_969263.1
OG0000085	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1	XP_008190480.1, XP_008190479.1, XP_008190478.1
OG0000085	XP_033337654.1	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	XP_033341642.1	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1
OG0000086	XP_033331032.1	XP_008200062.1, XP_015834290.1
OG0000087	XP_033330624.1, XP_033324927.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_033324926.1	XP_969383.1
OG0000088	XP_033340711.1	XP_015837887.1
OG0000089	XP_033329242.1, XP_033329243.1, XP_033329244.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	XP_033327591.1, XP_033327610.1	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	XP_033328764.1	XP_008198926.1
OG0000092	XP_033322679.1, XP_033322678.1, XP_033322688.1	XP_967128.1
OG0000093	XP_033326118.1, XP_033326113.1	XP_008198969.1
OG0000094	XP_033338575.1	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000095	XP_033334699.1, XP_033334698.1	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1
OG0000096	XP_033336669.1	XP_970191.2
OG0000096	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	XP_033322825.1	XP_966355.1, XP_008200463.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_033322301.1	XP_973444.1
OG0000099	XP_033322345.1	XP_967359.1
OG0000099	XP_033341688.1	XP_008198312.1
OG0000100	XP_033332436.1, XP_033332438.1, XP_033332435.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_033329295.1	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	XP_033329294.1, XP_033329291.1	XP_968658.1, XP_008190341.1, XP_968586.1
OG0000102	XP_033337546.1, XP_033327585.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000103	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1	NP_001121967.1
OG0000105	XP_033331395.1, XP_033322443.1	XP_015840325.1
OG0000108	XP_033333478.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_008200716.1
OG0000110	XP_033334675.1, XP_033333647.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000112	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1	XP_008191265.1
OG0000112	XP_033338986.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_033339074.1, XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_033328279.1	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1, XP_033336981.1, XP_033335187.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000116	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1, XP_033334348.1, XP_033334350.1, XP_033334349.1	XP_015837656.1
OG0000117	XP_033329862.1	XP_008198411.1
OG0000117	XP_033333385.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000119	XP_033333666.1, XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1	NP_001157311.1
OG0000120	XP_033326033.1, XP_033326042.1, XP_033323873.1	XP_015838347.1
OG0000122	XP_033334236.1	XP_008192222.1
OG0000123	XP_033333520.1, XP_033333521.1	XP_001813105.1
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_015834874.1
OG0000125	XP_033321046.1, XP_033321048.1, XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	NP_001034505.1
OG0000127	XP_033341265.1	XP_008201644.1
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	XP_033328411.1, XP_033328425.1, XP_033328424.1, XP_033328423.1	XP_008200084.1, XP_001811552.1
OG0000130	XP_033328418.1	XP_008200083.1
OG0000131	XP_033335039.1	XP_001808435.1
OG0000131	XP_033340309.1, XP_033340308.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1	XP_975308.3
OG0000133	XP_033332587.1, XP_033338340.1	XP_015840591.1
OG0000135	XP_033328565.1	XP_008190640.1, XP_008190639.1
OG0000135	XP_033329896.1	NP_001153713.1
OG0000136	XP_033340885.1, XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1	XP_971514.1, XP_971572.1
OG0000137	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1, XP_033329393.1, XP_033329391.1, XP_033329394.1	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_033336023.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_033336138.1, XP_033336137.1	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1
OG0000141	XP_033323945.1	XP_015833202.1
OG0000143	XP_033338241.1, XP_033338240.1, XP_033338242.1, XP_033338224.1	XP_008192676.1
OG0000144	XP_033329958.1, XP_033329957.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1	XP_008193348.1
OG0000146	XP_033338432.1	XP_966544.1, XP_001811608.2
OG0000147	XP_033341113.1, XP_033341112.1, XP_033324165.1	XP_966688.1
OG0000149	XP_033323096.1	XP_008191323.1
OG0000150	XP_033330026.1, XP_033330029.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	XP_969439.1, XP_015840091.1
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_966734.2
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_970869.1, XP_008195606.1
OG0000154	XP_033321243.1, XP_033321242.1	XP_008195104.1
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	XP_033333782.1, XP_033334269.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1	XP_008198818.1
OG0000160	XP_033342703.1, XP_033342702.1	XP_008199283.1
OG0000161	XP_033331231.1, XP_033321839.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	XP_033334806.1	XP_008201498.1, NP_001103246.1
OG0000162	XP_033338174.1	NP_001103245.1
OG0000164	XP_033320770.1, XP_033320763.1, XP_033343121.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	XP_033333149.1, XP_033333152.1	XP_008192571.1
OG0000165	XP_033335006.1	XP_974173.2
OG0000168	XP_033339918.1	XP_008199616.2, XP_015834098.1
OG0000169	XP_033338959.1	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1
OG0000170	XP_033325783.1, XP_033325782.1, XP_033325779.1	XP_008193117.1, XP_008193116.1
OG0000171	XP_033333068.1, XP_033333056.1	XP_971346.1, XP_015836633.1
OG0000173	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1	XP_008194517.1
OG0000174	XP_033336682.1, XP_033336684.1, XP_033336683.1	XP_015838513.1
OG0000175	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1	XP_974770.1, XP_015836695.1
OG0000176	XP_033321468.1, XP_033321469.1	XP_008195214.1
OG0000177	XP_033335034.1	XP_971910.1
OG0000177	XP_033334971.1	XP_008194311.1
OG0000177	XP_033334932.1	XP_972019.2
OG0000178	XP_033330470.1, XP_033330472.1	XP_008200484.2, XP_015835582.1
OG0000179	XP_033324424.1	XP_008194977.1
OG0000179	XP_033329714.1	XP_966308.2
OG0000180	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1	XP_976031.1, XP_008200320.1
OG0000181	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1	NP_001280548.1, XP_008193833.1
OG0000182	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1	XP_015832992.1
OG0000183	XP_033334085.1	XP_975025.1
OG0000183	XP_033333570.1	XP_970665.1
OG0000184	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3
OG0000185	XP_033335697.1, XP_033335695.1, XP_033335694.1	XP_008197397.1
OG0000186	XP_033322600.1	XP_008199126.1, XP_008199118.1, XP_015835450.1
OG0000187	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1	XP_975362.1
OG0000188	XP_033325090.1	XP_008197500.1
OG0000188	XP_033332397.1, XP_033339920.1	XP_967501.2
OG0000189	XP_033338330.1	XP_966528.2, XP_008201661.1
OG0000190	XP_033320777.1, XP_033320785.1, XP_033320794.1, XP_033320771.1	XP_015839424.1, XP_968802.1
OG0000191	XP_033324612.1, XP_033324613.1	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2
OG0000192	XP_033330674.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1, XP_033330689.1, XP_033330679.1, XP_033330678.1, XP_033330686.1, XP_033330685.1, XP_033330677.1, XP_033330690.1, XP_033330687.1, XP_033330688.1, XP_033330692.1, XP_033330676.1, XP_033330675.1	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1
OG0000194	XP_033339145.1	XP_008193011.1
OG0000194	XP_033339236.1, XP_033339238.1, XP_033339249.1	NP_001280525.1
OG0000196	XP_033325034.1	XP_969047.2
OG0000196	XP_033326430.1	XP_967948.2
OG0000197	XP_033335784.1, XP_033335975.1, XP_033335974.1, XP_033335976.1, XP_033335973.1	XP_015837925.1
OG0000198	XP_033335479.1	XP_008196149.1
OG0000200	XP_033342572.1, XP_033342575.1	XP_967143.1, XP_015839106.1, XP_974030.1
OG0000201	XP_033340961.1	XP_015833113.1
OG0000201	XP_033340957.1	XP_974115.1
OG0000202	XP_033333432.1, XP_033333433.1	XP_008196489.1, XP_008196491.1, XP_008196490.1
OG0000203	XP_033332078.1	XP_972061.1
OG0000204	XP_033332020.1, XP_033332021.1	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1
OG0000205	XP_033323241.1, XP_033323242.1, XP_033323243.1, XP_033323244.1	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2
OG0000206	XP_033326327.1, XP_033326324.1	XP_975174.1
OG0000206	XP_033326332.1, XP_033332305.1	XP_967870.1
OG0000207	XP_033335457.1, XP_033335455.1	XP_008190794.1
OG0000208	XP_033335301.1	NP_001034487.2, XP_008199220.1
OG0000209	XP_033325797.1, XP_033325796.1	XP_015833617.1
OG0000210	XP_033321038.1	XP_008196393.1
OG0000210	XP_033331494.1	XP_008194608.1, XP_973007.1
OG0000210	XP_033339699.1	XP_015838316.1, XP_971337.1
OG0000212	XP_033337306.1, XP_033337304.1, XP_033337305.1	XP_970912.2, XP_015835896.1, XP_015840439.1, XP_015840441.1
OG0000213	XP_033335273.1, XP_033335255.1, XP_033335248.1, XP_033335265.1	XP_970612.2
OG0000214	XP_033329279.1	XP_967960.2
OG0000214	XP_033332495.1	XP_970835.1
OG0000215	XP_033324846.1, XP_033324848.1	XP_972301.2, XP_008197697.1, XP_008197706.1, XP_015839776.1
OG0000216	XP_033329437.1	NP_001107836.1, XP_967724.1, NP_001123993.1, XP_008193185.1, XP_008199996.1, XP_971612.1, NP_001123994.1
OG0000217	XP_033326893.1	XP_973791.2, XP_975130.2, XP_015839401.1, XP_015839404.1, XP_015839405.1, XP_008199621.1, XP_015839403.1, XP_015840143.1, XP_008192685.2, XP_008192686.2, XP_015835054.1, XP_015835055.1, XP_008191628.1, XP_008191600.1, XP_008198006.2
OG0000218	XP_033324698.1, XP_033324701.1, XP_033324699.1, XP_033324700.1, XP_033324694.1, XP_033324693.1, XP_033324696.1, XP_033324695.1	XP_967940.2
