Orthogroup	Megalopta_genalis	Nasonia_vitripennis
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_001600419.1
OG0000008	XP_033321020.1, XP_033321019.1	XP_032456689.1, XP_032456688.1, XP_001601943.1
OG0000009	XP_033323903.1, XP_033323904.1, XP_033323905.1	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1
OG0000009	XP_033321090.1, XP_033323894.1, XP_033323884.1, XP_033323895.1, XP_033323898.1, XP_033323897.1, XP_033323886.1, XP_033323896.1, XP_033323885.1, XP_033323887.1	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1
OG0000012	XP_033333560.1	XP_032452116.1, XP_032452115.1
OG0000012	XP_033333685.1	XP_016838732.1
OG0000012	XP_033324767.1	NP_001166049.1, XP_032452528.1
OG0000012	XP_033324764.1	XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1
OG0000013	XP_033328965.1	XP_001599179.2
OG0000013	XP_033328623.1	XP_031777922.1
OG0000013	XP_033330794.1, XP_033330796.1	XP_001608166.1, XP_001608174.1
OG0000017	XP_033341626.1	NP_001165914.1
OG0000018	XP_033334915.1	XP_008214580.1
OG0000018	XP_033342252.1	XP_001604347.2
OG0000018	XP_033342250.1	XP_031784239.1
OG0000018	XP_033327648.1	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1
OG0000019	XP_033335083.1	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1
OG0000019	XP_033337986.1	XP_016841509.1, XP_031783474.1, XP_003424417.1
OG0000019	XP_033321516.1	XP_031783671.1
OG0000020	XP_033329902.1	XP_031781856.1
OG0000020	XP_033323952.1, XP_033323953.1	XP_016838656.1, XP_031778996.1
OG0000021	XP_033334588.1	XP_001603725.1
OG0000021	XP_033327467.1	XP_008201868.1
OG0000022	XP_033337184.1	XP_032456078.1
OG0000022	XP_033326609.1	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1
OG0000024	XP_033339085.1, XP_033339401.1, XP_033329817.1	XP_001604944.4
OG0000024	XP_033340779.1	XP_001599160.3
OG0000024	XP_033341678.1	XP_008216554.1
OG0000026	XP_033339312.1	XP_032452024.1
OG0000026	XP_033332814.1	XP_008204831.1
OG0000026	XP_033340742.1	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1
OG0000026	XP_033321049.1	XP_001599637.2
OG0000026	XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1	XP_001599666.2
OG0000027	XP_033328968.1	XP_001599220.1
OG0000027	XP_033328627.1	XP_001599471.2, XP_031787983.1, XP_001607366.1, XP_001607925.1, XP_031778034.1, XP_031778033.1, XP_001607894.1, XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1, XP_001599230.1, XP_031778035.1
OG0000028	XP_033332580.1	XP_031789120.1, XP_031783906.1
OG0000028	XP_033331103.1	XP_031777412.1, XP_031788715.1, XP_008212990.1, XP_008211073.1, XP_031783222.1, XP_031784225.1
OG0000029	XP_033327291.1, XP_033327295.1	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1
OG0000029	XP_033338642.1	NP_001166265.1
OG0000029	XP_033327378.1	NP_001166275.1, NP_001161319.1
OG0000029	XP_033327383.1	NP_001166272.1
OG0000030	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1	XP_031776890.1
OG0000032	XP_033338046.1	XP_016838416.1
OG0000032	XP_033335963.1	XP_031787250.1
OG0000032	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1	NP_001164368.1
OG0000032	XP_033340631.1	XP_003426142.1, XP_016840393.1, NP_001164369.1
OG0000033	XP_033328398.1	XP_031788710.1, XP_008205139.1
OG0000035	XP_033326685.1	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1
OG0000036	XP_033340191.1, XP_033340178.1, XP_033341270.1, XP_033341293.1, XP_033341282.1, XP_033341364.1, XP_033324523.1, XP_033324493.1	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1
OG0000037	XP_033322268.1	XP_008216622.1, XP_008216623.1
OG0000038	XP_033322848.1, XP_033330101.1	XP_001607699.1, XP_001604160.1
OG0000038	XP_033327650.1	XP_031786847.1, XP_032452100.1
OG0000039	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1, XP_033321520.1, XP_033327710.1	XP_031778424.1
OG0000040	XP_033322715.1, XP_033322612.1	XP_031787073.1
OG0000040	XP_033323605.1, XP_033323606.1	NP_001166069.1, XP_016838948.1, NP_001166068.1, XP_016838625.2, XP_001605658.3, XP_031779738.1
OG0000041	XP_033333606.1, XP_033333605.1	XP_032453601.1, NP_001157191.1, NP_001157192.1
OG0000041	XP_033322537.1	XP_001600960.1
OG0000041	XP_033322535.1	XP_001601342.1
OG0000041	XP_033338815.1	XP_001601504.1, XP_016845814.1
OG0000042	XP_033329807.1, XP_033329806.1	XP_008205137.1, XP_008205135.1, XP_008205136.1
OG0000042	XP_033339770.1, XP_033333624.1, XP_033342791.1	XP_001607893.1
OG0000042	XP_033329812.1	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1
OG0000043	XP_033340088.1	XP_008208463.1
OG0000044	XP_033322614.1	XP_031787739.1
OG0000044	XP_033334549.1	XP_031788192.1
OG0000045	XP_033323543.1	XP_001604688.1, XP_001604507.3, XP_001604459.1
OG0000045	XP_033329211.1	NP_001153339.1, NP_001153340.1
OG0000045	XP_033323567.1, XP_033323555.1	XP_001604662.2
OG0000045	XP_033327991.1	XP_032454987.1, XP_031784367.1
OG0000046	XP_033341697.1	XP_001604460.2
OG0000046	XP_033341090.1	XP_032452163.1, NP_001166228.1
OG0000048	XP_033333402.1	XP_003426470.1
OG0000048	XP_033333675.1, XP_033333400.1	XP_016841096.1
OG0000048	XP_033333347.1	XP_016841091.1, XP_016841092.1, XP_031787184.1
OG0000048	XP_033333355.1	XP_032456442.1
OG0000048	XP_033333662.1, XP_033333353.1, XP_033333663.1, XP_033333354.1	XP_008207163.1
OG0000048	XP_033333403.1, XP_033333671.1	XP_003426658.1
OG0000048	XP_033333664.1	XP_031787181.1
OG0000049	XP_033329024.1	XP_031781770.1, XP_031777956.1
OG0000049	XP_033322820.1	XP_031783961.1
OG0000049	XP_033334390.1, XP_033329021.1	XP_031789254.1, XP_031781108.1, XP_008212920.1, XP_031781361.1, XP_031777338.1, XP_031789251.1, XP_031785875.1, XP_031784018.1, XP_031785674.1
OG0000050	XP_033332897.1, XP_033332837.1	XP_008216259.1, XP_001608200.1
OG0000052	XP_033323679.1	XP_001607313.2
OG0000054	XP_033321308.1	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1
OG0000054	XP_033321391.1, XP_033321390.1	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2
OG0000055	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1	XP_001602853.1
OG0000055	XP_033330133.1	XP_008215920.1
OG0000055	XP_033323580.1	XP_001600035.1, XP_008208159.3
OG0000056	XP_033329125.1	XP_031780252.1
OG0000056	XP_033343017.1	XP_001604931.2
OG0000056	XP_033329947.1	XP_008202999.3
OG0000056	XP_033321060.1	XP_008204847.1
OG0000056	XP_033332176.1	XP_032455826.1
OG0000056	XP_033342931.1, XP_033342927.1	XP_031784842.1
OG0000057	XP_033338100.1	XP_031785452.1
OG0000057	XP_033330917.1	XP_001602360.1
OG0000057	XP_033338099.1	XP_003427519.1
OG0000057	XP_033338103.1	XP_001600234.1, XP_001606290.1
OG0000058	XP_033339143.1, XP_033339144.1, XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339287.1, XP_033339137.1, XP_033339139.1, XP_033339138.1, XP_033339134.1	NP_001177491.1
OG0000059	XP_033334412.1, XP_033334413.1	XP_031781093.1, XP_031783872.1
OG0000059	XP_033324362.1, XP_033324363.1, XP_033324361.1, XP_033332589.1, XP_033323469.1, XP_033329015.1, XP_033334385.1	XP_008214724.1
OG0000060	XP_033325149.1, XP_033325147.1	XP_031784439.1, XP_031784422.1, XP_031784431.1
OG0000060	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1
OG0000061	XP_033328585.1	XP_031786737.1, NP_001164380.1
OG0000062	XP_033339725.1	XP_003425371.1
OG0000062	XP_033323498.1	XP_032453005.1, XP_001604985.1
OG0000062	XP_033339724.1	XP_008202211.1
OG0000063	XP_033331128.1	XP_031784224.1, XP_032458024.1, XP_031784373.1, XP_032457267.1, XP_031781630.1, XP_031782179.1, XP_031784220.1
OG0000065	XP_033320904.1	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1
OG0000066	XP_033326446.1, XP_033325792.1, XP_033332603.1	XP_031784236.1, XP_031781387.2, XP_016843120.1, XP_031784228.1
OG0000067	XP_033333911.1	XP_001605420.2
OG0000067	XP_033335042.1	XP_031788440.1
OG0000067	XP_033335707.1, XP_033335708.1	XP_031782248.1
OG0000067	XP_033336615.1	XP_008209138.1
OG0000069	XP_033334725.1	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1
OG0000070	XP_033333736.1, XP_033333776.1	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2
OG0000071	XP_033329354.1	XP_016840145.2
OG0000074	XP_033343118.1	XP_008207498.1, XP_031787381.1
OG0000077	XP_033333760.1	XP_003423914.1
OG0000077	XP_033332959.1	XP_001605700.1, XP_008203901.1
OG0000078	XP_033342126.1	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1
OG0000079	XP_033333837.1	XP_031783468.1
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_016838697.1, XP_001600017.1
OG0000080	XP_033335311.1	XP_001600048.1
OG0000080	XP_033326285.1	XP_016838620.1
OG0000082	XP_033336170.1	XP_016845753.1
OG0000084	XP_033339434.1	XP_001600141.2
OG0000084	XP_033339432.1	NP_001161311.1
OG0000084	XP_033337518.1	NP_001161297.1, NP_001161274.1, NP_001161305.1
OG0000085	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1
OG0000086	XP_033341642.1	XP_031786740.1, NP_001166061.1
OG0000086	XP_033331032.1	XP_008218019.2
OG0000087	XP_033330624.1, XP_033324927.1	NP_001153411.1
OG0000087	XP_033324926.1	XP_001603938.2
OG0000089	XP_033329242.1, XP_033329243.1, XP_033329244.1	XP_016843743.1
OG0000089	XP_033320834.1	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2
OG0000091	XP_033327591.1, XP_033327610.1	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2
OG0000092	XP_033322679.1, XP_033322678.1	NP_001153343.1
OG0000092	XP_033322688.1	XP_016843499.1
OG0000092	XP_033332253.1	XP_001599003.1
OG0000094	XP_033328912.1	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1
OG0000094	XP_033338575.1	XP_001600571.1
OG0000095	XP_033334699.1, XP_033334698.1	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1
OG0000096	XP_033336669.1	XP_008209422.1
OG0000096	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1
OG0000097	XP_033322825.1	XP_001600781.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1
OG0000099	XP_033322301.1	XP_008207065.2
OG0000099	XP_033341688.1	XP_031785392.1
OG0000100	XP_033332436.1, XP_033332438.1, XP_033332435.1	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1
OG0000101	XP_033329295.1	XP_016842653.2
OG0000101	XP_033329294.1, XP_033329291.1	NP_001155060.1
OG0000102	XP_033337546.1	XP_031786135.1
OG0000102	XP_033327585.1	XP_031786805.1
OG0000103	XP_033321001.1	XP_031786310.1, XP_001604969.2
OG0000105	XP_033331395.1, XP_033322443.1	XP_031789231.1, XP_031779862.1, XP_031781833.1, XP_031788960.1, XP_008217406.2, XP_031776843.1, XP_031778436.1, XP_031778433.1, XP_032457458.1, XP_016842088.1, XP_031780005.1, XP_008211761.1, XP_031777955.1, XP_008217375.2, XP_031789139.1, XP_031788862.1, XP_031789250.1, XP_031781026.1, XP_008217972.1, XP_031785598.1
OG0000106	XP_033325290.1, XP_033320766.1, XP_033320765.1, XP_033333838.1, XP_033333876.1, XP_033320767.1	NP_001177643.1, NP_001177620.1, NP_001177621.1
OG0000108	XP_033333478.1	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1
OG0000110	XP_033334675.1, XP_033333647.1	XP_008201867.1
OG0000111	XP_033327466.1	XP_001605587.3
OG0000112	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1	XP_003425489.1
OG0000112	XP_033338986.1	XP_031780635.1
OG0000113	XP_033339074.1	XP_031785048.1, XP_001599906.1, XP_008208626.1
OG0000113	XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_001603394.1, XP_008204873.1, XP_001603447.1
OG0000114	XP_033328279.1	XP_031788613.1, NP_001155043.1, XP_032454692.1
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1, XP_033336981.1	NP_001165922.1, NP_001165921.1, NP_001165923.1
OG0000115	XP_033335187.1	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1
OG0000116	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1, XP_033334348.1, XP_033334350.1, XP_033334349.1	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1
OG0000117	XP_033329862.1	XP_003424885.1
OG0000117	XP_033333385.1	XP_016845279.1, XP_003428202.1, XP_008214870.1
OG0000119	XP_033333666.1, XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1
OG0000123	XP_033333520.1, XP_033333521.1	XP_032452434.1, XP_001602993.1
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_031781470.1
OG0000125	XP_033321046.1, XP_033321048.1, XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	XP_031784298.1, NP_001161164.1
OG0000127	XP_033341265.1	XP_031782271.1, XP_031782270.1
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_032454413.1, XP_016839449.1
OG0000130	XP_033328418.1	XP_031776696.1
OG0000131	XP_033335039.1	NP_001153335.1, XP_032458192.1
OG0000131	XP_033340309.1, XP_033340308.1	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1	XP_031780045.1, XP_032453407.1
OG0000132	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1	XP_016837749.1
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1
OG0000135	XP_033328565.1	XP_001603371.1
OG0000136	XP_033340885.1, XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1	XP_008208307.1
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1, XP_033329393.1, XP_033329391.1, XP_033329394.1	XP_031787653.1, XP_001605659.1
OG0000139	XP_033336023.1	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1
OG0000140	XP_033336138.1, XP_033336137.1	XP_003424447.1
OG0000141	XP_033323945.1	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1
OG0000142	XP_033330200.1, XP_033330159.1, XP_033330161.1, XP_033330157.1, XP_033330202.1, XP_033330203.1, XP_033330160.1, XP_033330163.1, XP_033330158.1, XP_033330192.1, XP_033330162.1, XP_033335998.1, XP_033335872.1	XP_031788758.1, NP_001177427.1, NP_001177428.1
OG0000143	XP_033338241.1, XP_033338240.1, XP_033338242.1	XP_008203875.1
OG0000143	XP_033338224.1	XP_003425736.1, XP_001605275.2, XP_032454553.1
OG0000144	XP_033329958.1, XP_033329957.1	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1
OG0000145	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1	XP_001607062.1
OG0000145	XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1	XP_001602428.1
OG0000146	XP_033338432.1	XP_016840249.1
OG0000147	XP_033341113.1, XP_033341112.1	XP_001600440.1
OG0000147	XP_033324165.1	XP_001602387.1
OG0000149	XP_033323096.1	XP_001606233.2
OG0000149	XP_033323100.1, XP_033323099.1	XP_016840414.1, XP_008211722.2
OG0000150	XP_033330026.1, XP_033330029.1	XP_031781028.1, XP_031781038.1, XP_032457432.1
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	XP_003426709.1
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_031778705.1, XP_031778704.1, XP_031778706.1
OG0000154	XP_033321243.1, XP_033321242.1	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1
OG0000157	XP_033334269.1	XP_032456198.1, XP_031788611.1
OG0000160	XP_033342703.1, XP_033342702.1	XP_008204617.1
OG0000161	XP_033331231.1	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1
OG0000161	XP_033321839.1	XP_001602765.2, XP_031779585.1
OG0000162	XP_033334806.1	NP_001234904.1, XP_031787426.1
OG0000162	XP_033338174.1	XP_031789332.1, NP_001234893.1
OG0000164	XP_033320770.1, XP_033320763.1, XP_033343121.1	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1
OG0000165	XP_033335006.1	XP_008211085.1
OG0000168	XP_033339918.1	XP_031785658.1
OG0000170	XP_033325780.1	XP_032453170.1
OG0000170	XP_033325783.1	XP_001604322.2
OG0000170	XP_033325779.1	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2
OG0000171	XP_033333068.1, XP_033333056.1	XP_016838928.1, XP_001608062.2, XP_031780002.1
OG0000172	XP_033326361.1	XP_031789541.1
OG0000173	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1	XP_031787440.1, NP_001153423.1, NP_001153422.1
OG0000174	XP_033336682.1, XP_033336684.1, XP_033336683.1	XP_001600210.1
OG0000176	XP_033321468.1, XP_033321469.1	NP_001127789.1
OG0000177	XP_033335034.1	XP_001606472.1
OG0000177	XP_033334971.1	XP_008210134.1
OG0000177	XP_033334932.1	XP_003427240.1
OG0000178	XP_033330470.1, XP_033330472.1	XP_031787092.1
OG0000179	XP_033324424.1	XP_001604591.1
OG0000179	XP_033329714.1	XP_032451900.1, XP_001607038.1, XP_032451901.1
OG0000180	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1	XP_008206406.1, XP_001606981.2
OG0000181	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1	XP_001600458.2, XP_008214574.1, XP_008214578.1, XP_016845255.1
OG0000182	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1	XP_001601987.2, XP_016841479.1, XP_016841478.1, XP_031787113.1, XP_031787104.1, XP_031787105.1, XP_031787106.1, XP_031787109.1, XP_031787110.1, XP_031787111.1, XP_031787112.1, XP_008205687.1, XP_008205678.1, XP_031787103.1
OG0000183	XP_033334085.1	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1
OG0000183	XP_033333570.1	XP_001603387.1
OG0000184	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1	NP_001177442.1, XP_031786125.1, NP_001177456.1, NP_001177454.1, NP_001177455.1, NP_001177445.1, NP_001177448.1, NP_001177447.1, XP_031786129.1, NP_001177452.1, NP_001177453.1, NP_001177446.1, XP_032454720.1, NP_001177450.1, NP_001164388.1, NP_001177421.1, NP_001177422.1, XP_016845192.1, NP_001177460.1, NP_001177457.1, NP_001177449.1, NP_001177451.1, NP_001164464.1, NP_001177642.1, XP_031786111.1, NP_001177697.1, NP_001177444.1, NP_001177458.1, NP_001177459.1, NP_001177443.1, NP_001177441.1
OG0000185	XP_033335697.1, XP_033335695.1, XP_033335694.1	XP_008202977.1
OG0000186	XP_033322600.1	XP_008214191.1, NP_001165994.1
OG0000187	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1	XP_016840762.1, XP_032455395.1, XP_032455396.1, XP_032455397.1, XP_008211394.1, XP_008211389.1, XP_031785200.1
OG0000188	XP_033338475.1	XP_031783182.1, XP_016839660.1
OG0000188	XP_033332397.1, XP_033339920.1	XP_001604859.1
OG0000189	XP_033338330.1	XP_016838483.1, XP_031781823.1
