Orthogroup	Megalopta_genalis	Acyrthosiphon_pisum
OG0000005	XP_033333817.1, XP_033333818.1, XP_033333179.1, XP_033333180.1, XP_033333183.1, XP_033333184.1, XP_033333182.1, XP_033333185.1, XP_033333186.1, XP_033333187.1, XP_033333188.1, XP_033333178.1, XP_033333177.1, XP_033333176.1, XP_033333175.1, XP_033331182.1, XP_033331181.1	XP_016662685.1
OG0000005	XP_033329942.1, XP_033329941.1, XP_033329937.1	XP_001944491.1
OG0000006	XP_033331530.1, XP_033332228.1, XP_033332254.1, XP_033331526.1, XP_033331528.1, XP_033331538.1, XP_033331539.1, XP_033331537.1, XP_033332233.1, XP_033332232.1, XP_033331527.1, XP_033331540.1, XP_033332229.1, XP_033331543.1, XP_033331542.1, XP_033332231.1, XP_033332235.1, XP_033331544.1, XP_033332230.1, XP_033332227.1, XP_033331535.1, XP_033331536.1, XP_033325709.1	XP_016661819.1
OG0000007	XP_033334294.1	XP_016656399.1, XP_016658578.1, XP_016658583.1, XP_008183630.3, XP_029348031.1
OG0000008	XP_033329050.1	XP_016663037.1
OG0000008	XP_033321018.1, XP_033321034.1	XP_029347046.1
OG0000008	XP_033329521.1	XP_001942555.1, XP_008181935.1
OG0000008	XP_033329051.1	XP_001945226.1
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_001948787.1, XP_008186873.1
OG0000008	XP_033321020.1, XP_033321019.1	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3
OG0000010	XP_033342844.1, XP_033332592.1, XP_033332262.1, XP_033329818.1, XP_033328507.1, XP_033337278.1, XP_033333275.1, XP_033337279.1, XP_033337116.1, XP_033332263.1, XP_033339381.1, XP_033337295.1, XP_033333309.1	XP_016657651.1
OG0000013	XP_033328965.1	XP_008190047.2, XP_008190048.2, XP_003246588.2
OG0000013	XP_033330794.1, XP_033330796.1, XP_033330795.1	XP_008188188.1
OG0000013	XP_033330798.1	XP_008186887.1
OG0000016	XP_033327074.1	XP_008179439.1, XP_008188179.1, XP_008189245.1
OG0000017	XP_033341624.1, XP_033341626.1	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1
OG0000018	XP_033334915.1, XP_033333868.1, XP_033333867.1, XP_033342252.1, XP_033342250.1, XP_033327648.1	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2
OG0000019	XP_033335083.1	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1
OG0000019	XP_033337986.1	XP_001952539.2
OG0000020	XP_033333974.1	XP_003244194.1
OG0000020	XP_033341111.1	XP_029343120.1
OG0000020	XP_033336086.1	XP_029345653.1
OG0000020	XP_033329902.1	XP_029344335.1, XP_016664934.1
OG0000020	XP_033340707.1, XP_033341861.1	XP_029347131.1
OG0000020	XP_033323952.1, XP_033323953.1	XP_029343394.1
OG0000021	XP_033334588.1	XP_016663029.1, XP_003240228.1, XP_029342725.1
OG0000021	XP_033327467.1, XP_033336486.1, XP_033336485.1	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1
OG0000022	XP_033337184.1	XP_003244391.2, XP_029347151.1, XP_029347343.1
OG0000022	XP_033328481.1, XP_033326609.1, XP_033328967.1, XP_033328581.1, XP_033328625.1	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2
OG0000023	XP_033328495.1, XP_033328493.1, XP_033337165.1, XP_033337190.1, XP_033328578.1, XP_033328607.1, XP_033328772.1	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1
OG0000024	XP_033339085.1, XP_033339401.1, XP_033329817.1, XP_033340779.1	XP_001949358.2
OG0000024	XP_033341678.1	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1
OG0000026	XP_033339312.1	XP_029342349.1, XP_029342350.1
OG0000026	XP_033332814.1	XP_029343074.1
OG0000026	XP_033330956.1, XP_033330958.1	XP_029345451.1
OG0000026	XP_033340742.1	XP_029342802.1
OG0000026	XP_033321049.1, XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1	XP_029342414.1
OG0000027	XP_033328968.1	NP_001156692.1
OG0000027	XP_033328627.1	XP_001949096.2, XP_008189396.1, XP_008190046.1
OG0000028	XP_033332580.1	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1, XP_008180486.1
OG0000028	XP_033320862.1	XP_008186969.1, XP_008178160.1, XP_008184707.1, XP_008188330.1, XP_008183752.1
OG0000028	XP_033323544.1, XP_033323536.1	XP_029341390.1, XP_008185507.1, XP_008186170.1
OG0000028	XP_033320861.1	XP_029341381.1
OG0000028	XP_033331103.1	XP_008185551.1, XP_029347940.1, XP_029347869.1, XP_008185413.1, XP_008180393.1, XP_008180395.1, XP_008184226.1, XP_008185676.1, XP_008182613.1, XP_008178496.1, XP_008189619.1, XP_029348411.1, XP_016659690.1, XP_016657916.1, XP_008189693.1, XP_029348305.1
OG0000029	XP_033327291.1, XP_033327295.1	XP_016663309.2, XP_001952418.1
OG0000029	XP_033327378.1, XP_033327383.1	NP_001165726.1, XP_001947860.1
OG0000030	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2
OG0000032	XP_033338046.1	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1
OG0000032	XP_033335963.1	XP_003243898.1
OG0000033	XP_033328398.1	XP_016655826.1
OG0000033	XP_033331624.1	XP_008182854.1, XP_029348025.1, XP_008178823.1, XP_008185411.1, XP_008186193.1, XP_016656274.2, XP_008182823.1, XP_008189784.1, XP_008180205.1, XP_029340974.1, XP_008182739.1, XP_008181029.1, XP_029341451.1, XP_016661483.1, XP_003241729.1, XP_008178756.1, XP_016659109.1, XP_029345523.1, XP_029340907.1, XP_029348688.1, XP_016664841.1, XP_008180201.1, XP_016661474.1, XP_008182425.1, XP_008181197.1, XP_016659542.1, XP_008188170.1
OG0000035	XP_033326685.1	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1
OG0000035	XP_033326629.1, XP_033326628.1	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1
OG0000037	XP_033322268.1	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1
OG0000038	XP_033322848.1, XP_033330101.1	XP_001948685.1
OG0000038	XP_033322376.1, XP_033322375.1	XP_003245830.1
OG0000039	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1	XP_016661651.1
OG0000039	XP_033321520.1	XP_029341489.1
OG0000039	XP_033327710.1	XP_008180148.1, XP_008181917.1, XP_029348202.1, XP_008180129.1, XP_016664939.1, XP_008183853.1, XP_008183589.1, XP_016656248.1, XP_008181108.1
OG0000041	XP_033333605.1	XP_008186344.1
OG0000041	XP_033322537.1, XP_033339804.1, XP_033322547.1, XP_033322535.1, XP_033322540.1	NP_001136108.1, XP_001948457.2
OG0000041	XP_033338815.1	XP_001948128.1
OG0000042	XP_033329807.1, XP_033329806.1	XP_016662708.1, XP_008186444.1
OG0000042	XP_033329812.1	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1
OG0000043	XP_033340088.1	NP_001128404.1, XP_029342103.1, NP_001119651.1
OG0000044	XP_033322614.1, XP_033323078.1, XP_033323667.1	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2
OG0000045	XP_033323543.1, XP_033329211.1, XP_033323567.1, XP_033323555.1	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2
OG0000045	XP_033327991.1	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1
OG0000046	XP_033341697.1	XP_008184380.1, NP_001156420.1
OG0000046	XP_033341090.1	XP_001951207.1, XP_003244048.1
OG0000048	XP_033333402.1	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1
OG0000048	XP_033333675.1, XP_033333400.1, XP_033333398.1, XP_033333474.1, XP_033333347.1, XP_033333345.1, XP_033333355.1, XP_033333662.1, XP_033333353.1, XP_033333663.1, XP_033333354.1, XP_033333356.1, XP_033333351.1, XP_033333352.1, XP_033333344.1, XP_033333403.1, XP_033333671.1, XP_033333664.1	XP_016662412.1
OG0000049	XP_033329024.1	XP_029344683.1, XP_029348273.1
OG0000049	XP_033334390.1, XP_033329021.1	XP_029348220.1, XP_008179823.1, XP_008178595.1, XP_029348309.1, XP_008181856.2, XP_029340935.1, XP_029343051.1, XP_008188430.1, XP_029348118.1, XP_029348189.1, XP_003243221.1, XP_003241955.1, XP_008183571.1, XP_003240833.3, XP_029341607.1
OG0000050	XP_033332897.1, XP_033332837.1	XP_008186168.1, XP_029344195.1
OG0000052	XP_033323679.1	XP_008180304.1, XP_008180303.1
OG0000053	XP_033339815.1, XP_033323538.1, XP_033323537.1, XP_033323540.1, XP_033335402.1, XP_033331112.1, XP_033339896.1	XP_008178754.1, XP_008188582.3
OG0000054	XP_033321308.1, XP_033321391.1, XP_033321390.1	NP_001162107.1, XP_003243273.1, NP_001233051.1
OG0000055	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1
OG0000055	XP_033323580.1	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1
OG0000056	XP_033329125.1, XP_033343017.1	XP_029341785.1, XP_016658856.2
OG0000056	XP_033329947.1	XP_029347390.1, XP_029340985.1
OG0000056	XP_033321060.1, XP_033332176.1	XP_029341336.1
OG0000056	XP_033342931.1, XP_033342927.1	XP_029345472.1, XP_029341337.1
OG0000057	XP_033338100.1	NP_001177327.1
OG0000057	XP_033338099.1	XP_008190203.1
OG0000059	XP_033324362.1, XP_033324363.1, XP_033324361.1, XP_033332589.1, XP_033323469.1, XP_033329015.1, XP_033334385.1	XP_008178159.1, XP_029346651.1
OG0000060	XP_033325149.1, XP_033325147.1	XP_029341750.1
OG0000060	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1	XP_016660546.1
OG0000061	XP_033328585.1	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1
OG0000061	XP_033333649.1, XP_033340644.1	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2
OG0000062	XP_033339725.1, XP_033323498.1, XP_033339724.1	XP_001951309.3
OG0000063	XP_033331128.1	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1
OG0000065	XP_033320904.1	XP_001943808.2
OG0000066	XP_033339069.1, XP_033339070.1, XP_033322899.1, XP_033336647.1, XP_033325791.1, XP_033330914.1, XP_033331125.1, XP_033335269.1, XP_033339072.1, XP_033339073.1, XP_033339079.1, XP_033339076.1, XP_033339080.1, XP_033322435.1	XP_008178755.1, XP_029348396.1, XP_029347905.1, XP_008187418.1, XP_029347848.1, XP_008178341.1, XP_008189191.1, XP_029347833.1, XP_029347832.1, XP_008180329.2, XP_008180328.1, XP_008186719.1, XP_008186645.1, XP_008178451.1, XP_008184821.1, XP_008189985.1, XP_008181030.1, XP_008181032.1, XP_008178816.1, XP_008181153.1
OG0000066	XP_033326446.1, XP_033325792.1, XP_033332603.1	XP_008180330.1, XP_008184253.1, XP_008178157.1, XP_008182364.1, XP_008182864.1, XP_029341012.1, XP_008179068.1, XP_016656442.1, XP_016656220.2, XP_008179054.1, XP_008189844.1, XP_029341034.1, XP_029348339.1, XP_029341294.1, XP_008180143.1, XP_016660748.1, XP_008181152.1
OG0000067	XP_033333911.1	XP_001948642.2
OG0000067	XP_033335042.1	XP_016658458.1
OG0000067	XP_033335707.1, XP_033335708.1	XP_029347451.1, XP_001948493.1
OG0000067	XP_033336615.1	XP_008185788.1
OG0000069	XP_033334725.1, XP_033334726.1, XP_033334728.1	XP_029344273.1
OG0000071	XP_033329354.1	XP_016655856.1, XP_008178182.1
OG0000072	XP_033326117.1	XP_016661629.1, XP_008185485.1, XP_008185666.1, XP_008181048.1, XP_008189623.1
OG0000072	XP_033334346.1	XP_029344847.1
OG0000074	XP_033343118.1	XP_016661872.1
OG0000075	XP_033329052.1, XP_033330826.1	XP_016662368.1
OG0000077	XP_033333760.1	XP_001945190.2
OG0000077	XP_033332959.1	XP_008187030.1
OG0000079	XP_033333837.1	XP_001952588.1
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_001952817.1, XP_003241505.1
OG0000080	XP_033326285.1	XP_003240094.1
OG0000081	XP_033339806.1, XP_033339803.1	XP_016660637.1, XP_003245950.2
OG0000084	XP_033339433.1, XP_033339434.1, XP_033339432.1	NP_001155431.1
OG0000084	XP_033337518.1	NP_001155786.1
OG0000085	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1, XP_033337654.1	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1
OG0000086	XP_033341642.1	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1
OG0000086	XP_033331032.1	XP_001950197.2
OG0000087	XP_033330624.1, XP_033324927.1, XP_033324926.1	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2
OG0000088	XP_033340711.1	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1
OG0000091	XP_033327591.1, XP_033327610.1	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2
OG0000092	XP_033328764.1, XP_033322679.1, XP_033322678.1, XP_033322688.1, XP_033332253.1	XP_001947820.1
OG0000093	XP_033326118.1, XP_033326113.1, XP_033330936.1	XP_016662984.1, XP_008187890.1
OG0000094	XP_033328912.1, XP_033338575.1	XP_001948596.2
OG0000097	XP_033322825.1	XP_001948740.2, XP_008182369.1, XP_029347936.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	NP_001153821.1, XP_008189785.1
OG0000099	XP_033322301.1	XP_001945365.2
OG0000099	XP_033322345.1	XP_001945213.1
OG0000099	XP_033341688.1	XP_001951744.1
OG0000100	XP_033332436.1, XP_033332438.1, XP_033332435.1	XP_001944985.1
OG0000101	XP_033329295.1	XP_001950980.2, XP_001945570.2
OG0000101	XP_033329294.1, XP_033329291.1	XP_001952301.1
OG0000102	XP_033337546.1, XP_033327585.1	XP_001946994.2
OG0000103	XP_033321001.1, XP_033320999.1, XP_033321000.1	XP_003248994.1, XP_003243120.1
OG0000105	XP_033331395.1, XP_033322443.1	XP_008181126.1, XP_029342287.1, XP_016664909.1, XP_008181480.1, XP_008181641.1, XP_008187105.1, XP_008183455.1, XP_008178153.1, XP_008181855.2, XP_008180151.1, XP_008180159.1, XP_008189948.1, XP_029348472.1, XP_008180160.1, XP_008180372.1, XP_008187636.1
OG0000108	XP_033333478.1	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_001947883.2
OG0000112	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1, XP_033338986.1	XP_001944328.2
OG0000113	XP_033339074.1, XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1, XP_033336981.1, XP_033335187.1	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1
OG0000117	XP_033329862.1	XP_001947242.1
OG0000117	XP_033333385.1	XP_001945228.1
OG0000119	XP_033333666.1, XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1	XP_001950896.2, XP_001946809.2
OG0000120	XP_033326033.1, XP_033326042.1, XP_033323873.1	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1
OG0000123	XP_033333520.1, XP_033333521.1	XP_001944241.1
OG0000124	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1
OG0000125	XP_033321046.1, XP_033321048.1, XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1	XP_029343174.1, XP_029343175.1
OG0000126	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1	XP_029344350.1
OG0000127	XP_033341265.1	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2
OG0000129	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1	XP_029342557.1, XP_003243980.1, XP_008182280.1
OG0000130	XP_033328411.1, XP_033328425.1, XP_033328424.1, XP_033328423.1	XP_008188212.1
OG0000130	XP_033328418.1	XP_029347188.1
OG0000131	XP_033335039.1	NP_001119635.1
OG0000131	XP_033340309.1, XP_033340308.1	XP_001944342.1, NP_001280296.1
OG0000132	XP_033338073.1, XP_033338074.1, XP_033338075.1, XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1	XP_001944867.2, XP_008188761.1
OG0000133	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1, XP_033332587.1, XP_033338340.1	XP_001947717.2, XP_029346829.1
OG0000134	XP_033330806.1	XP_008179309.1, XP_016661614.1, XP_008184229.1, XP_003240649.1, XP_003244810.1
OG0000134	XP_033326408.1	XP_016660817.1, XP_029344030.1, XP_008187410.1
OG0000135	XP_033328565.1, XP_033329896.1	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1
OG0000137	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1
OG0000138	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1, XP_033329393.1, XP_033329391.1, XP_033329394.1	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2
OG0000139	XP_033336023.1	XP_001949990.1
OG0000140	XP_033336138.1, XP_033336137.1	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1
OG0000141	XP_033323945.1, XP_033323610.1, XP_033323609.1	XP_029343859.1
OG0000143	XP_033338241.1, XP_033338240.1, XP_033338242.1, XP_033338224.1	XP_008183821.1, XP_001945042.2
OG0000146	XP_033338432.1, XP_033321210.1	NP_001119627.1
OG0000147	XP_033341113.1, XP_033341112.1, XP_033324165.1	NP_001119678.1
OG0000149	XP_033323096.1	NP_001233210.1, XP_008189229.1
OG0000149	XP_033323100.1, XP_033323099.1	XP_001945852.2
OG0000150	XP_033330026.1, XP_033330029.1	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1
OG0000151	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1	NP_001232992.1
OG0000152	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1	XP_001950609.1
OG0000153	XP_033336074.1, XP_033336076.1, XP_033336075.1	XP_001952790.2
OG0000154	XP_033321243.1, XP_033321242.1	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1
OG0000156	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1	XP_016659611.1
OG0000160	XP_033342703.1, XP_033342702.1	XP_001951963.1
OG0000161	XP_033331231.1, XP_033321839.1	XP_001950765.1
OG0000162	XP_033334806.1	XP_029346510.1
OG0000162	XP_033338174.1	XP_016657938.1, XP_008180629.1
OG0000164	XP_033320770.1, XP_033320763.1, XP_033343121.1	XP_016661577.1
OG0000165	XP_033333149.1, XP_033333152.1	XP_029343832.1
OG0000165	XP_033335006.1	XP_029343481.1
OG0000169	XP_033338959.1, XP_033333680.1, XP_033333360.1, XP_033339825.1, XP_033333681.1, XP_033333679.1	XP_016663900.2, XP_001944382.3
OG0000170	XP_033325780.1	XP_008188310.1
OG0000170	XP_033325783.1, XP_033325782.1, XP_033325779.1	XP_029343183.1
OG0000171	XP_033333068.1, XP_033333056.1	XP_029345553.1
OG0000173	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1	NP_001233019.1
OG0000174	XP_033336682.1, XP_033336684.1, XP_033336683.1	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1
OG0000175	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1	XP_029344556.1, XP_001951192.1
OG0000176	XP_033333384.1, XP_033325289.1	XP_016657241.2, XP_029347801.1
OG0000176	XP_033327287.1	XP_008179367.1, XP_029343812.1, XP_029345679.1
OG0000177	XP_033335034.1	XP_016657898.1, XP_008180564.2
OG0000177	XP_033334971.1, XP_033334932.1	XP_001952775.1
OG0000179	XP_033324424.1	XP_003240433.1
OG0000179	XP_033329714.1	NP_001155435.1, NP_001280333.1
OG0000180	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1	NP_001232980.1
OG0000181	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1	XP_029343194.1, XP_001948653.1
OG0000182	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1	XP_003241873.1
OG0000183	XP_033334085.1, XP_033333570.1	XP_016663191.1, XP_016662030.1
