Orthogroup	Osmia_bicornis	Eufriesea_mexicana
OG0000009	XP_029038489.1, XP_029038483.1, XP_029038484.1, XP_029038485.1, XP_029038486.1, XP_029038490.1, XP_029038488.1	XP_017760325.1, XP_017760326.1, XP_017760327.1
OG0000010	XP_029040920.1	XP_017758034.1
OG0000011	XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1, XP_029038954.1	XP_017762097.1
OG0000012	XP_029040334.1, XP_029040333.1, XP_029040338.1, XP_029040336.1, XP_029040335.1, XP_029040332.1, XP_029040337.1	XP_017756205.1, XP_017756206.1, XP_017756207.1, XP_017756208.1, XP_017756209.1, XP_017756212.1, XP_017756211.1, XP_017756210.1
OG0000014	XP_029053373.1, XP_029053459.1, XP_029053460.1, XP_029053959.1, XP_029035639.1	XP_017754149.1
OG0000014	XP_029051993.1, XP_029035641.1, XP_029053960.1, XP_029054966.1, XP_029051689.1	XP_017764550.1
OG0000015	XP_029036177.1	XP_017766522.1
OG0000017	XP_029054575.1, XP_029051991.1, XP_029053360.1, XP_029051696.1, XP_029054086.1, XP_029053954.1, XP_029054574.1, XP_029051698.1, XP_029053456.1, XP_029053953.1, XP_029053457.1, XP_029055089.1, XP_029051697.1	XP_017764548.1
OG0000018	XP_029050472.1, XP_029050471.1, XP_029050469.1, XP_029050473.1	XP_017765545.1, XP_017765546.1, XP_017765543.1, XP_017765544.1, XP_017765541.1, XP_017765542.1, XP_017765540.1
OG0000019	XP_029037621.1, XP_029037535.1, XP_029037019.1, XP_029037363.1, XP_029037788.1, XP_029036850.1, XP_029036756.1, XP_029036672.1, XP_029037702.1, XP_029037101.1, XP_029037873.1, XP_029037448.1, XP_029036938.1	XP_017759439.1, XP_017759448.1
OG0000020	XP_029054370.1, XP_029052586.1, XP_029054369.1, XP_029053131.1, XP_029054368.1, XP_029053123.1, XP_029054135.1, XP_029053126.1, XP_029053754.1, XP_029053755.1, XP_029053590.1, XP_029053128.1, XP_029052577.1, XP_029054129.1, XP_029054131.1, XP_029052576.1, XP_029053127.1, XP_029052579.1	XP_017766952.1, XP_017766939.1, XP_017766929.1, XP_017766928.1, XP_017766924.1, XP_017766923.1, XP_017766932.1
OG0000021	XP_029054640.1, XP_029053970.1, XP_029053864.1, XP_029054752.1, XP_029055248.1, XP_029054436.1, XP_029054545.1, XP_029055086.1, XP_029053767.1	XP_017759127.1
OG0000021	XP_029054361.1	XP_017765002.1, XP_017765495.1
OG0000022	XP_029047059.1	XP_017752524.1, XP_017752525.1, XP_017752522.1, XP_017752521.1, XP_017752519.1, XP_017752523.1
OG0000023	XP_029055135.1, XP_029055222.1, XP_029055059.1	XP_017762861.1, XP_017753050.1
OG0000023	XP_029055109.1	XP_017757975.1, XP_017762901.1
OG0000023	XP_029054531.1	XP_017759096.1
OG0000024	XP_029054975.1, XP_029054109.1, XP_029053865.1, XP_029055242.1, XP_029054756.1, XP_029054919.1, XP_029055143.1, XP_029055168.1, XP_029054758.1, XP_029054093.1, XP_029055290.1, XP_029055318.1, XP_029053771.1, XP_029053773.1, XP_029053777.1, XP_029053774.1, XP_029053775.1, XP_029053776.1, XP_029053772.1, XP_029039304.1, XP_029039303.1, XP_029039306.1, XP_029039307.1, XP_029039305.1, XP_029055093.1, XP_029054853.1, XP_029055141.1, XP_029054751.1	XP_017763357.1
OG0000025	XP_029049807.1, XP_029049826.1, XP_029049817.1, XP_029049849.1, XP_029049843.1, XP_029049833.1	XP_017753605.1, XP_017753606.1, XP_017753607.1, XP_017753608.1, XP_017753604.1
OG0000026	XP_029040057.1, XP_029040060.1, XP_029040058.1, XP_029040062.1, XP_029040061.1	XP_017760518.1, XP_017760517.1, XP_017760519.1, XP_017760520.1, XP_017760522.1, XP_017760521.1, XP_017760524.1, XP_017760523.1
OG0000027	XP_029038377.1, XP_029038375.1, XP_029038380.1, XP_029038376.1, XP_029038382.1, XP_029038381.1, XP_029038379.1, XP_029038378.1	XP_017753388.1
OG0000028	XP_029031896.1, XP_029031893.1, XP_029031892.1, XP_029031895.1, XP_029031894.1	XP_017754494.1, XP_017754495.1
OG0000029	XP_029043158.1, XP_029043148.1, XP_029043147.1, XP_029043150.1, XP_029043149.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043151.1, XP_029043152.1	XP_017760452.1, XP_017760451.1, XP_017760450.1, XP_017760449.1, XP_017760448.1
OG0000031	XP_029040317.1, XP_029040320.1, XP_029040318.1, XP_029040322.1, XP_029040321.1	XP_017764156.1, XP_017764173.1, XP_017756939.1, XP_017757028.1, XP_017757262.1, XP_017764182.1, XP_017764190.1, XP_017764164.1, XP_017757183.1, XP_017757105.1
OG0000032	XP_029053161.1, XP_029053163.1, XP_029053162.1	XP_017760292.1, XP_017760294.1, XP_017760295.1, XP_017760293.1, XP_017760298.1, XP_017760299.1, XP_017760296.1
OG0000033	XP_029032768.1, XP_029032769.1, XP_029032767.1	XP_017757082.1, XP_017757081.1, XP_017757084.1, XP_017757083.1
OG0000034	XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1	XP_017755245.1
OG0000035	XP_029045881.1, XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045880.1	XP_017753788.1, XP_017753789.1
OG0000036	XP_029056308.1, XP_029056307.1, XP_029056309.1, XP_029056279.1, XP_029056277.1, XP_029056278.1, XP_029056276.1, XP_029056274.1, XP_029056306.1	XP_017753439.1, XP_017753440.1
OG0000037	XP_029035328.1	XP_017764881.1
OG0000038	XP_029033159.1, XP_029033157.1, XP_029033158.1	XP_017759271.1, XP_017759272.1
OG0000038	XP_029042191.1, XP_029042190.1	XP_017755960.1, XP_017755959.1
OG0000039	XP_029041153.1, XP_029041150.1, XP_029041151.1, XP_029041152.1	XP_017755128.1, XP_017755127.1, XP_017755129.1
OG0000040	XP_029047963.1, XP_029047965.1, XP_029047964.1	XP_017756955.1, XP_017756954.1, XP_017756957.1, XP_017756956.1, XP_017756953.1, XP_017756959.1, XP_017756958.1, XP_017756961.1
OG0000041	XP_029054090.1	XP_017754682.1
OG0000043	XP_029040374.1, XP_029040375.1, XP_029040379.1, XP_029040378.1, XP_029040377.1, XP_029040376.1, XP_029040383.1, XP_029040381.1, XP_029040380.1, XP_029040373.1	XP_017764300.1, XP_017764303.1, XP_017764301.1, XP_017764302.1, XP_017764299.1, XP_017764298.1
OG0000044	XP_029034777.1, XP_029034772.1, XP_029034773.1, XP_029034774.1, XP_029034775.1, XP_029034776.1	XP_017762070.1
OG0000045	XP_029054340.1, XP_029054991.1, XP_029055099.1	XP_017762444.1
OG0000045	XP_029054673.1, XP_029054773.1, XP_029054785.1, XP_029054062.1	XP_017762647.1
OG0000046	XP_029048308.1, XP_029054352.1, XP_029054355.1, XP_029048298.1, XP_029054358.1	XP_017759730.1, XP_017759712.1, XP_017759757.1, XP_017759752.1
OG0000047	XP_029051703.1, XP_029054087.1, XP_029053362.1, XP_029053958.1, XP_029053454.1, XP_029053455.1, XP_029051688.1	XP_017761001.1, XP_017764547.1, XP_017764538.1
OG0000048	XP_029054119.1, XP_029055085.1, XP_029055220.1	XP_017756654.1
OG0000049	XP_029050690.1, XP_029054983.1, XP_029052801.1	XP_017761867.1
OG0000049	XP_029051176.1, XP_029051151.1	XP_017761874.1, XP_017761872.1, XP_017761873.1
OG0000050	XP_029046842.1, XP_029046843.1, XP_029046844.1	XP_017764208.1, XP_017764210.1, XP_017764209.1
OG0000051	XP_029056239.1, XP_029056240.1	XP_017755704.1
OG0000052	XP_029039545.1, XP_029032070.1	XP_017767765.1
OG0000052	XP_029055800.1, XP_029031929.1, XP_029055886.1, XP_029031842.1, XP_029055971.1, XP_029032017.1	XP_017752170.1
OG0000053	XP_029033388.1	XP_017767300.1, XP_017767299.1
OG0000054	XP_029032043.1, XP_029036162.1, XP_029032023.1, XP_029032032.1, XP_029037018.1, XP_029035307.1, XP_029032057.1, XP_029038301.1	XP_017752159.1, XP_017752160.1, XP_017752157.1, XP_017752163.1, XP_017752162.1, XP_017752161.1, XP_017767778.1
OG0000055	XP_029047831.1	XP_017755787.1, XP_017755788.1
OG0000056	XP_029038444.1, XP_029038443.1, XP_029038446.1, XP_029038448.1, XP_029038447.1	XP_017765580.1, XP_017759914.1, XP_017759915.1, XP_017759916.1
OG0000057	XP_029053944.1, XP_029053297.1, XP_029053920.1, XP_029055270.1, XP_029054526.1, XP_029054738.1, XP_029053950.1, XP_029054798.1, XP_029055186.1, XP_029054894.1, XP_029055283.1, XP_029054828.1, XP_029054734.1, XP_029054754.1, XP_029055214.1, XP_029054525.1	XP_017759424.1
OG0000058	XP_029034428.1	XP_017759716.1
OG0000059	XP_029054658.1, XP_029051685.1, XP_029054088.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029035522.1, XP_029051694.1	XP_017764543.1
OG0000059	XP_029051987.1	XP_017754143.1
OG0000060	XP_029042800.1, XP_029042801.1, XP_029042802.1, XP_029042806.1, XP_029042807.1, XP_029042804.1, XP_029042805.1, XP_029042799.1	XP_017755619.1
OG0000061	XP_029054973.1	XP_017759422.1
OG0000063	XP_029047764.1	XP_017761192.1
OG0000063	XP_029047765.1	XP_017761194.1
OG0000064	XP_029045842.1, XP_029045841.1, XP_029045843.1	XP_017765235.1
OG0000064	XP_029050411.1	XP_017766133.1
OG0000064	XP_029041947.1	XP_017752930.1
OG0000065	XP_029051352.1, XP_029051350.1, XP_029051349.1, XP_029051355.1, XP_029051354.1, XP_029051353.1, XP_029051351.1, XP_029051348.1	XP_017763404.1, XP_017763403.1
OG0000066	XP_029037198.1	XP_017760463.1, XP_017760479.1, XP_017760437.1, XP_017760456.1, XP_017760471.1, XP_017760487.1, XP_017760447.1, XP_017760493.1
OG0000067	XP_029033273.1, XP_029033274.1, XP_029033275.1, XP_029033276.1, XP_029033278.1, XP_029033277.1, XP_029033279.1	XP_017767297.1, XP_017767298.1
OG0000068	XP_029048274.1	XP_017759707.1, XP_017759704.1, XP_017759700.1
OG0000069	XP_029039101.1, XP_029039106.1, XP_029039104.1, XP_029039105.1, XP_029039103.1	XP_017752578.1, XP_017752577.1
OG0000070	XP_029034267.1, XP_029034266.1	XP_017760341.1, XP_017758953.1, XP_017758954.1
OG0000071	XP_029053281.1, XP_029053278.1, XP_029053280.1, XP_029053279.1	XP_017755804.1
OG0000072	XP_029033097.1, XP_029033098.1, XP_029033101.1, XP_029033100.1, XP_029033099.1	XP_017755418.1, XP_017755417.1, XP_017755416.1, XP_017755419.1
OG0000073	XP_029041950.1	XP_017761423.1
OG0000074	XP_029039350.1	XP_017765620.1, XP_017758638.1, XP_017758637.1
OG0000076	XP_029036993.1, XP_029036999.1	XP_017756858.1
OG0000077	XP_029043698.1, XP_029043697.1	XP_017765695.1, XP_017765694.1
OG0000078	XP_029037376.1, XP_029037375.1, XP_029050159.1	XP_017765599.1, XP_017757743.1, XP_017757733.1
OG0000079	XP_029034757.1	XP_017762072.1
OG0000081	XP_029044048.1	XP_017762308.1, XP_017762307.1
OG0000082	XP_029042511.1, XP_029042512.1, XP_029042509.1, XP_029042507.1, XP_029042508.1, XP_029042505.1, XP_029042506.1, XP_029042504.1	XP_017763260.1
OG0000083	XP_029047201.1, XP_029047202.1, XP_029047200.1, XP_029047205.1, XP_029047203.1, XP_029047204.1	XP_017752414.1, XP_017752413.1
OG0000085	XP_029038807.1	XP_017758814.1
OG0000086	XP_029045849.1, XP_029045856.1, XP_029045855.1, XP_029045850.1, XP_029045852.1, XP_029045851.1, XP_029045846.1, XP_029045847.1, XP_029045848.1, XP_029045854.1	XP_017765267.1
OG0000087	XP_029038559.1, XP_029038556.1, XP_029038557.1, XP_029038558.1	XP_017761493.1
OG0000088	XP_029043635.1, XP_029043629.1	XP_017765680.1
OG0000090	XP_029034205.1, XP_029034224.1, XP_029034214.1, XP_029034233.1	XP_017757147.1
OG0000091	XP_029055761.1, XP_029055758.1, XP_029055757.1, XP_029055762.1, XP_029055759.1	XP_017757596.1, XP_017757597.1, XP_017757598.1
OG0000093	XP_029048941.1, XP_029048940.1, XP_029048942.1	XP_017761469.1, XP_017761468.1
OG0000094	XP_029043250.1, XP_029043248.1, XP_029043249.1, XP_029043247.1, XP_029043244.1, XP_029043245.1, XP_029043246.1	XP_017756314.1, XP_017756313.1, XP_017756312.1
OG0000095	XP_029032554.1, XP_029032555.1, XP_029032556.1, XP_029032553.1, XP_029032550.1, XP_029032551.1, XP_029032552.1	XP_017761268.1
OG0000096	XP_029033042.1	XP_017755355.1
OG0000097	XP_029039444.1, XP_029039447.1, XP_029039445.1	XP_017756661.1, XP_017756664.1, XP_017756662.1, XP_017756663.1
OG0000098	XP_029040435.1, XP_029040433.1, XP_029040434.1	XP_017758002.1
OG0000099	XP_029040750.1, XP_029040751.1, XP_029040752.1, XP_029040754.1, XP_029040753.1	XP_017753055.1, XP_017753057.1, XP_017753056.1
OG0000100	XP_029054322.1, XP_029054146.1	XP_017752721.1, XP_017765748.1
OG0000101	XP_029045205.1, XP_029045209.1, XP_029045208.1, XP_029045207.1, XP_029045206.1	XP_017762179.1
OG0000102	XP_029052144.1, XP_029052143.1, XP_029052142.1	XP_017761688.1, XP_017761692.1, XP_017761690.1, XP_017761691.1
OG0000103	XP_029035507.1, XP_029035508.1, XP_029035509.1, XP_029035510.1, XP_029035506.1	XP_017754876.1
OG0000104	XP_029033620.1, XP_029033633.1	XP_017767455.1
OG0000105	XP_029056130.1, XP_029056133.1, XP_029056132.1, XP_029056135.1, XP_029056137.1, XP_029056136.1, XP_029056129.1, XP_029056126.1, XP_029056127.1, XP_029056128.1	XP_017752876.1
OG0000106	XP_029055010.1, XP_029055230.1	XP_017754218.1
OG0000106	XP_029054950.1	XP_017763966.1
OG0000107	XP_029054384.1, XP_029055252.1	XP_017758189.1
OG0000107	XP_029054924.1	XP_017765020.1, XP_017765501.1
OG0000108	XP_029052451.1, XP_029052452.1, XP_029052453.1	XP_017758536.1, XP_017758535.1, XP_017758538.1, XP_017758537.1, XP_017758534.1
OG0000109	XP_029034867.1, XP_029034872.1, XP_029034870.1, XP_029034873.1, XP_029034875.1, XP_029034868.1, XP_029034871.1, XP_029034874.1	XP_017763632.1
OG0000110	XP_029039360.1, XP_029039361.1, XP_029039362.1	XP_017759339.1
OG0000110	XP_029039363.1, XP_029039365.1, XP_029039366.1, XP_029039369.1, XP_029039368.1, XP_029039367.1	XP_017759315.1
OG0000112	XP_029048273.1	XP_017759734.1
OG0000113	XP_029036204.1, XP_029036205.1	XP_017761057.1
OG0000114	XP_029034788.1, XP_029034792.1, XP_029034789.1, XP_029034793.1, XP_029034794.1	XP_017762074.1, XP_017762076.1, XP_017762077.1
OG0000115	XP_029042359.1, XP_029042358.1	XP_017759960.1, XP_017759969.1
OG0000116	XP_029043523.1, XP_029043522.1, XP_029043520.1, XP_029043525.1, XP_029043526.1, XP_029043524.1	XP_017759381.1, XP_017759382.1, XP_017759380.1, XP_017759385.1
OG0000117	XP_029056400.1, XP_029056399.1, XP_029056401.1	XP_017757675.1, XP_017757673.1, XP_017757674.1
OG0000118	XP_029033105.1, XP_029033103.1, XP_029033102.1, XP_029033106.1	XP_017755441.1, XP_017755443.1, XP_017755442.1, XP_017755445.1, XP_017755444.1, XP_017755448.1, XP_017755446.1
OG0000119	XP_029037437.1	XP_017757875.1
OG0000120	XP_029038253.1	XP_017762310.1, XP_017765591.1, XP_017762297.1, XP_017753025.1
OG0000121	XP_029048121.1, XP_029048127.1, XP_029048113.1	XP_017758615.1, XP_017758616.1, XP_017758614.1
OG0000122	XP_029037839.1	XP_017759065.1
OG0000124	XP_029033341.1	XP_017765196.1, XP_017765195.1, XP_017765197.1, XP_017765198.1
OG0000125	XP_029033204.1, XP_029033205.1	XP_017759625.1
OG0000126	XP_029041017.1	XP_017755102.1
OG0000127	XP_029039507.1	XP_017766918.1
OG0000127	XP_029054367.1	XP_017766920.1, XP_017766930.1, XP_017766937.1, XP_017766938.1
OG0000128	XP_029043920.1, XP_029043924.1, XP_029043923.1, XP_029043921.1	XP_017753707.1
OG0000129	XP_029049425.1, XP_029049426.1, XP_029049423.1, XP_029049424.1	XP_017759636.1
OG0000130	XP_029055343.1, XP_029055344.1, XP_029055342.1, XP_029055341.1	XP_017759671.1
OG0000131	XP_029046541.1	XP_017760921.1, XP_017760917.1, XP_017760918.1, XP_017760919.1
OG0000132	XP_029036613.1, XP_029036612.1, XP_029036611.1	XP_017757477.1
OG0000135	XP_029048626.1, XP_029048627.1, XP_029048622.1, XP_029048625.1, XP_029048623.1	XP_017763314.1, XP_017763313.1, XP_017763312.1, XP_017763311.1, XP_017763310.1
OG0000136	XP_029054867.1	XP_017765344.1, XP_017762993.1, XP_017756226.1, XP_017759329.1, XP_017765018.1, XP_017759643.1
OG0000136	XP_029054294.1	XP_017765343.1, XP_017762446.1, XP_017756490.1, XP_017765529.1
OG0000138	XP_029042874.1	XP_017765353.1, XP_017755995.1, XP_017765491.1, XP_017765601.1, XP_017765328.1, XP_017765342.1, XP_017756047.1, XP_017764695.1
OG0000139	XP_029040165.1, XP_029040164.1, XP_029040163.1	XP_017767595.1, XP_017767594.1
OG0000140	XP_029049760.1, XP_029049752.1, XP_029049777.1, XP_029049770.1	XP_017753603.1
OG0000141	XP_029049545.1, XP_029049544.1, XP_029049543.1	XP_017766587.1, XP_017766604.1, XP_017766595.1
OG0000142	XP_029040361.1, XP_029040362.1, XP_029054299.1, XP_029054598.1, XP_029050131.1, XP_029040653.1	XP_017766127.1, XP_017766135.1, XP_017756789.1, XP_017756788.1
OG0000143	XP_029032563.1, XP_029032564.1, XP_029032565.1	XP_017761464.1, XP_017761449.1, XP_017761457.1
OG0000144	XP_029051946.1	XP_017754095.1, XP_017754093.1, XP_017754096.1, XP_017754097.1
OG0000147	XP_029043739.1, XP_029043735.1, XP_029043741.1, XP_029043740.1, XP_029043737.1, XP_029043736.1, XP_029043738.1	XP_017753919.1
OG0000148	XP_029044799.1, XP_029044795.1, XP_029044794.1, XP_029044800.1, XP_029044801.1, XP_029044793.1, XP_029044796.1, XP_029044797.1	XP_017761808.1, XP_017761809.1
OG0000149	XP_029052541.1, XP_029052544.1, XP_029052542.1, XP_029052540.1	XP_017757484.1, XP_017757483.1, XP_017757482.1
OG0000150	XP_029055180.1, XP_029055185.1	XP_017764388.1
OG0000151	XP_029043125.1	XP_017756441.1
OG0000152	XP_029055961.1, XP_029055960.1, XP_029055959.1	XP_017754464.1
OG0000155	XP_029043981.1, XP_029044013.1	XP_017752598.1, XP_017752600.1, XP_017752604.1, XP_017752603.1, XP_017752602.1, XP_017752601.1, XP_017752605.1, XP_017752599.1, XP_017752596.1, XP_017752595.1
OG0000156	XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1	XP_017765698.1, XP_017765697.1, XP_017765696.1
OG0000157	XP_029055024.1, XP_029055196.1	XP_017753464.1, XP_017753465.1, XP_017753463.1
OG0000157	XP_029051623.1	XP_017753462.1, XP_017753460.1
OG0000158	XP_029044409.1, XP_029044408.1	XP_017752864.1
OG0000159	XP_029054484.1, XP_029039829.1	XP_017757286.1
OG0000160	XP_029044872.1	XP_017762808.1, XP_017762798.1
OG0000160	XP_029044880.1	XP_017763918.1, XP_017763923.1
OG0000161	XP_029056195.1, XP_029056189.1, XP_029056190.1, XP_029056194.1	XP_017752918.1, XP_017752916.1, XP_017752917.1, XP_017752915.1
OG0000162	XP_029046899.1, XP_029046901.1, XP_029046900.1, XP_029046898.1	XP_017754406.1
OG0000163	XP_029033614.1, XP_029033615.1, XP_029033460.1, XP_029033459.1, XP_029033458.1, XP_029033457.1, XP_029033613.1	XP_017765374.1, XP_017765375.1, XP_017765376.1
OG0000164	XP_029034616.1, XP_029034615.1	XP_017764057.1
OG0000165	XP_029051860.1, XP_029051861.1, XP_029051863.1	XP_017762757.1
OG0000166	XP_029055641.1, XP_029055642.1	XP_017762820.1, XP_017762821.1, XP_017762819.1
OG0000167	XP_029042551.1	XP_017758010.1, XP_017758016.1, XP_017758017.1, XP_017758018.1, XP_017758011.1, XP_017758012.1, XP_017758013.1, XP_017758009.1
OG0000168	XP_029055770.1	XP_017757433.1
OG0000168	XP_029055768.1	XP_017757434.1
OG0000169	XP_029036311.1	XP_017765669.1
OG0000170	XP_029048497.1, XP_029048498.1, XP_029048495.1, XP_029048496.1, XP_029048494.1	XP_017763761.1
OG0000171	XP_029037481.1, XP_029037480.1, XP_029037477.1, XP_029037478.1, XP_029037479.1	XP_017763945.1
OG0000172	XP_029035838.1	XP_017757145.1
OG0000172	XP_029035983.1	XP_017757194.1
OG0000172	XP_029041778.1	XP_017767144.1
OG0000173	XP_029034022.1, XP_029034020.1, XP_029034027.1	XP_017766040.1, XP_017766039.1
OG0000174	XP_029035664.1, XP_029035662.1, XP_029035663.1	XP_017758626.1, XP_017758628.1, XP_017758627.1
OG0000175	XP_029049724.1, XP_029049723.1, XP_029049722.1	XP_017760787.1
OG0000176	XP_029046768.1, XP_029054871.1, XP_029050764.1, XP_029050765.1, XP_029046106.1, XP_029053706.1, XP_029046121.1, XP_029046220.1, XP_029046219.1	XP_017765023.1, XP_017765019.1
OG0000177	XP_029049654.1, XP_029049653.1	XP_017766190.1
OG0000178	XP_029048286.1	XP_017757043.1
OG0000179	XP_029036091.1, XP_029036092.1, XP_029036095.1, XP_029036094.1, XP_029036096.1	XP_017766856.1
OG0000180	XP_029039669.1	XP_017758446.1
OG0000181	XP_029034706.1	XP_017762004.1, XP_017762005.1
OG0000182	XP_029047897.1	XP_017755798.1
OG0000183	XP_029053198.1, XP_029053200.1, XP_029053197.1, XP_029053196.1	XP_017761880.1, XP_017761881.1, XP_017761882.1
OG0000184	XP_029040541.1, XP_029040539.1, XP_029040537.1, XP_029040540.1	XP_017766254.1, XP_017766253.1
OG0000185	XP_029051596.1	XP_017760240.1, XP_017760239.1
OG0000186	XP_029034955.1, XP_029034945.1, XP_029034943.1	XP_017763651.1, XP_017763644.1
OG0000187	XP_029038646.1, XP_029038645.1	XP_017753953.1, XP_017753952.1, XP_017756071.1, XP_017756070.1, XP_017756072.1, XP_017753957.1
OG0000188	XP_029055915.1, XP_029055916.1	XP_017765200.1
OG0000189	XP_029036321.1, XP_029036322.1, XP_029036324.1, XP_029036323.1, XP_029036319.1	XP_017754652.1, XP_017754659.1, XP_017754667.1
OG0000190	XP_029054729.1, XP_029054732.1	XP_017766410.1, XP_017766409.1, XP_017766414.1, XP_017766415.1, XP_017766412.1, XP_017766413.1
OG0000191	XP_029038856.1, XP_029038855.1, XP_029038852.1, XP_029038853.1, XP_029038850.1, XP_029038851.1, XP_029038854.1	XP_017753554.1
OG0000192	XP_029050068.1, XP_029050069.1, XP_029050067.1, XP_029050066.1	XP_017754347.1
OG0000193	XP_029032557.1	XP_017761219.1
OG0000194	XP_029046532.1, XP_029046533.1	XP_017760945.1, XP_017760944.1
OG0000195	XP_029042145.1	XP_017755677.1, XP_017755678.1, XP_017755679.1
OG0000197	XP_029054993.1	XP_017757949.1
OG0000197	XP_029054836.1	XP_017767290.1, XP_017757950.1
OG0000198	XP_029055718.1, XP_029055719.1, XP_029055717.1	XP_017765770.1, XP_017765759.1
OG0000200	XP_029047376.1, XP_029047377.1	XP_017753509.1, XP_017753508.1
OG0000201	XP_029047912.1, XP_029047913.1, XP_029047914.1	XP_017755856.1, XP_017755853.1, XP_017755854.1, XP_017755851.1, XP_017755852.1, XP_017755858.1, XP_017755857.1
OG0000202	XP_029053398.1, XP_029053399.1, XP_029053400.1, XP_029053397.1	XP_017760841.1
OG0000203	XP_029032827.1, XP_029032824.1, XP_029032825.1, XP_029032823.1, XP_029032831.1, XP_029032828.1, XP_029032829.1, XP_029032832.1, XP_029032833.1, XP_029032830.1	XP_017761525.1, XP_017761524.1, XP_017761523.1
OG0000204	XP_029037152.1, XP_029037151.1, XP_029037150.1	XP_017759506.1, XP_017759507.1
OG0000205	XP_029042084.1, XP_029042086.1, XP_029042079.1, XP_029042083.1, XP_029042081.1, XP_029042082.1, XP_029042080.1, XP_029042088.1, XP_029042087.1	XP_017755660.1
OG0000206	XP_029046178.1, XP_029046181.1, XP_029046179.1, XP_029046182.1	XP_017757359.1
OG0000207	XP_029038204.1, XP_029038203.1, XP_029038205.1, XP_029038208.1, XP_029038201.1, XP_029038207.1, XP_029038202.1	XP_017762624.1
OG0000208	XP_029044277.1, XP_029044272.1	XP_017764212.1, XP_017764213.1, XP_017764211.1
OG0000209	XP_029054025.1, XP_029054032.1, XP_029054085.1, XP_029054092.1	XP_017755037.1, XP_017755038.1
OG0000210	XP_029036848.1	XP_017765046.1
OG0000210	XP_029036836.1, XP_029036835.1	XP_017765038.1
OG0000210	XP_029036838.1	XP_017765051.1
OG0000211	XP_029044238.1, XP_029044235.1, XP_029044234.1, XP_029044237.1, XP_029044236.1	XP_017761260.1, XP_017761259.1
