Orthogroup	Osmia_bicornis	Megalopta_genalis
OG0000026	XP_029040057.1, XP_029040060.1, XP_029040058.1, XP_029040062.1, XP_029040061.1	XP_033321452.1, XP_033321451.1, XP_033321450.1
OG0000027	XP_029038377.1, XP_029038375.1, XP_029038380.1, XP_029038376.1, XP_029038382.1, XP_029038381.1, XP_029038379.1, XP_029038378.1	XP_033337252.1, XP_033337236.1, XP_033337245.1, XP_033337219.1, XP_033337227.1, XP_033337260.1
OG0000028	XP_029031896.1, XP_029031893.1, XP_029031892.1, XP_029031895.1, XP_029031894.1	XP_033330647.1, XP_033330816.1, XP_033330486.1, XP_033330568.1, XP_033330405.1, XP_033330738.1, XP_033330319.1
OG0000029	XP_029043158.1, XP_029043148.1, XP_029043147.1, XP_029043150.1, XP_029043149.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043151.1, XP_029043152.1	XP_033333520.1, XP_033333521.1
OG0000030	XP_029046676.1	XP_033332405.1
OG0000031	XP_029040317.1, XP_029040320.1, XP_029040318.1, XP_029040322.1, XP_029040321.1	XP_033326345.1, XP_033326344.1, XP_033326347.1, XP_033326346.1, XP_033326351.1, XP_033326352.1, XP_033326348.1, XP_033326349.1
OG0000032	XP_029053161.1, XP_029053163.1, XP_029053162.1	XP_033329243.1, XP_033329242.1, XP_033329244.1
OG0000033	XP_029032768.1, XP_029032769.1, XP_029032767.1	XP_033336003.1, XP_033336004.1, XP_033336005.1, XP_033336006.1, XP_033336007.1, XP_033336008.1, XP_033336009.1
OG0000034	XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1	XP_033324165.1
OG0000035	XP_029045881.1, XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045880.1	XP_033324679.1, XP_033324678.1, XP_033324677.1, XP_033324680.1
OG0000036	XP_029056308.1, XP_029056307.1, XP_029056309.1, XP_029056279.1, XP_029056277.1, XP_029056278.1, XP_029056276.1, XP_029056274.1, XP_029056306.1	XP_033335344.1, XP_033335343.1, XP_033335345.1, XP_033335342.1, XP_033335341.1
OG0000037	XP_029035328.1	XP_033328353.1, XP_033328354.1, XP_033328352.1, XP_033328348.1, XP_033328347.1, XP_033328345.1, XP_033328346.1, XP_033328349.1, XP_033328356.1, XP_033328355.1
OG0000038	XP_029033159.1, XP_029033157.1, XP_029033158.1, XP_029042191.1, XP_029042190.1	XP_033322825.1
OG0000039	XP_029041153.1, XP_029041150.1, XP_029041151.1, XP_029041152.1	XP_033335273.1, XP_033335248.1, XP_033335255.1, XP_033335265.1
OG0000040	XP_029047963.1, XP_029047965.1, XP_029047964.1	XP_033325796.1, XP_033325797.1
OG0000041	XP_029054090.1	XP_033337279.1
OG0000043	XP_029040374.1, XP_029040375.1, XP_029040379.1, XP_029040378.1, XP_029040377.1, XP_029040376.1, XP_029040383.1, XP_029040381.1, XP_029040380.1, XP_029040373.1	XP_033341999.1
OG0000044	XP_029034777.1, XP_029034772.1, XP_029034773.1, XP_029034774.1, XP_029034775.1, XP_029034776.1	XP_033324696.1, XP_033324693.1, XP_033324694.1, XP_033324700.1, XP_033324699.1, XP_033324698.1, XP_033324701.1, XP_033324695.1
OG0000045	XP_029054340.1	XP_033339062.1, XP_033339064.1, XP_033339066.1, XP_033326534.1
OG0000047	XP_029051703.1, XP_029054087.1, XP_029053362.1, XP_029053958.1, XP_029053454.1, XP_029053455.1, XP_029051688.1	XP_033328481.1, XP_033328625.1, XP_033328967.1, XP_033328581.1
OG0000049	XP_029050690.1, XP_029054983.1, XP_029052801.1	XP_033341369.1, XP_033341264.1, XP_033341263.1
OG0000050	XP_029046842.1, XP_029046843.1, XP_029046844.1	XP_033332614.1, XP_033332612.1, XP_033332613.1, XP_033332615.1
OG0000051	XP_029056239.1, XP_029056240.1	XP_033325147.1, XP_033325149.1
OG0000052	XP_029039545.1, XP_029032070.1	XP_033321049.1
OG0000052	XP_029055800.1, XP_029031929.1, XP_029055886.1, XP_029031842.1, XP_029055971.1, XP_029032017.1	XP_033333313.1, XP_033333310.1, XP_033333311.1, XP_033333314.1
OG0000053	XP_029033388.1	XP_033323667.1, XP_033323078.1
OG0000054	XP_029032043.1, XP_029036162.1, XP_029032023.1, XP_029032032.1, XP_029037018.1, XP_029035307.1, XP_029032057.1, XP_029038301.1	XP_033321046.1, XP_033321048.1
OG0000055	XP_029047831.1	XP_033333278.1, XP_033333280.1, XP_033333281.1, XP_033333279.1
OG0000056	XP_029038444.1, XP_029038443.1, XP_029038446.1, XP_029038448.1, XP_029038447.1	XP_033336684.1, XP_033336683.1, XP_033336682.1
OG0000059	XP_029054658.1, XP_029051685.1, XP_029054088.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029035522.1, XP_029051694.1	XP_033328603.1, XP_033328582.1, XP_033328621.1
OG0000059	XP_029051987.1	XP_033328576.1
OG0000060	XP_029042800.1, XP_029042801.1, XP_029042802.1, XP_029042806.1, XP_029042807.1, XP_029042804.1, XP_029042805.1, XP_029042799.1	XP_033324135.1, XP_033324136.1
OG0000062	XP_029054809.1, XP_029054781.1, XP_029054680.1, XP_029055155.1, XP_029054121.1, XP_029054120.1, XP_029055077.1, XP_029053862.1, XP_029053484.1, XP_029054695.1, XP_029055216.1, XP_029055254.1, XP_029055261.1, XP_029054123.1, XP_029054587.1, XP_029054451.1, XP_029053982.1, XP_029053574.1, XP_029048393.1	XP_033334294.1
OG0000063	XP_029047764.1	XP_033341364.1
OG0000063	XP_029043016.1	XP_033324523.1
OG0000063	XP_029047765.1	XP_033341282.1
OG0000064	XP_029045842.1, XP_029045841.1, XP_029045843.1	XP_033322375.1, XP_033322376.1
OG0000064	XP_029050411.1	XP_033322848.1, XP_033330101.1
OG0000065	XP_029051352.1, XP_029051350.1, XP_029051349.1, XP_029051355.1, XP_029051354.1, XP_029051353.1, XP_029051351.1, XP_029051348.1	XP_033334751.1, XP_033334748.1, XP_033334749.1, XP_033334750.1
OG0000066	XP_029037198.1	XP_033322048.1, XP_033322049.1, XP_033322050.1
OG0000067	XP_029033273.1, XP_029033274.1, XP_029033275.1, XP_029033276.1, XP_029033278.1, XP_029033277.1, XP_029033279.1	XP_033334552.1
OG0000069	XP_029039101.1, XP_029039106.1, XP_029039104.1, XP_029039105.1, XP_029039103.1	XP_033336074.1, XP_033336075.1, XP_033336076.1
OG0000070	XP_029034267.1, XP_029034266.1	XP_033330676.1, XP_033330685.1, XP_033330686.1, XP_033330689.1, XP_033330692.1, XP_033330678.1, XP_033330679.1, XP_033330690.1, XP_033330677.1, XP_033330674.1, XP_033330675.1, XP_033330687.1, XP_033330688.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1
OG0000071	XP_029053281.1, XP_029053278.1, XP_029053280.1, XP_029053279.1	XP_033333385.1
OG0000072	XP_029033097.1, XP_029033098.1, XP_029033101.1, XP_029033100.1, XP_029033099.1	XP_033341823.1, XP_033341838.1, XP_033341847.1, XP_033341813.1, XP_033341832.1
OG0000073	XP_029041950.1	XP_033330026.1, XP_033330029.1
OG0000074	XP_029039350.1	XP_033323885.1, XP_033323887.1
OG0000075	XP_029053795.1, XP_029054739.1, XP_029054177.1, XP_029054402.1, XP_029054850.1, XP_029054450.1, XP_029055088.1, XP_029054401.1, XP_029054286.1	XP_033323553.1
OG0000076	XP_029036993.1, XP_029036999.1	XP_033334963.1, XP_033334929.1, XP_033334954.1, XP_033334945.1, XP_033334936.1
OG0000077	XP_029043698.1, XP_029043697.1	XP_033322600.1
OG0000078	XP_029037376.1, XP_029037375.1, XP_029050159.1	XP_033326692.1, XP_033331288.1
OG0000079	XP_029034757.1	XP_033324601.1
OG0000081	XP_029044048.1	XP_033342457.1, XP_033342461.1
OG0000082	XP_029042511.1, XP_029042512.1, XP_029042509.1, XP_029042507.1, XP_029042508.1, XP_029042505.1, XP_029042506.1, XP_029042504.1	XP_033341517.1
OG0000083	XP_029047201.1, XP_029047202.1, XP_029047200.1, XP_029047205.1, XP_029047203.1, XP_029047204.1	XP_033323244.1, XP_033323243.1, XP_033323242.1, XP_033323241.1
OG0000084	XP_029053688.1, XP_029055081.1	XP_033332263.1, XP_033333309.1, XP_033337116.1, XP_033339381.1, XP_033337295.1
OG0000085	XP_029038807.1	XP_033334351.1, XP_033334352.1
OG0000087	XP_029038559.1, XP_029038556.1, XP_029038557.1, XP_029038558.1	XP_033342872.1
OG0000089	XP_029038589.1	XP_033334507.1, XP_033334506.1, XP_033334502.1, XP_033334501.1, XP_033334500.1, XP_033334508.1, XP_033334505.1, XP_033334495.1, XP_033334489.1, XP_033334497.1, XP_033334490.1, XP_033334498.1, XP_033334499.1
OG0000090	XP_029034205.1, XP_029034224.1, XP_029034214.1, XP_029034233.1	XP_033338119.1, XP_033338120.1, XP_033338121.1, XP_033338123.1, XP_033338118.1, XP_033338124.1
OG0000091	XP_029055761.1, XP_029055758.1, XP_029055757.1, XP_029055762.1, XP_029055759.1	XP_033323823.1, XP_033323824.1, XP_033323821.1, XP_033323822.1
OG0000093	XP_029048941.1, XP_029048940.1, XP_029048942.1	XP_033342589.1, XP_033342588.1, XP_033342587.1, XP_033342590.1, XP_033342594.1, XP_033342595.1, XP_033342586.1, XP_033342593.1
OG0000094	XP_029043250.1, XP_029043248.1, XP_029043249.1, XP_029043247.1, XP_029043244.1, XP_029043245.1, XP_029043246.1	XP_033341961.1, XP_033341964.1, XP_033341962.1, XP_033341963.1
OG0000095	XP_029032554.1, XP_029032555.1, XP_029032556.1, XP_029032553.1, XP_029032550.1, XP_029032551.1, XP_029032552.1	XP_033340438.1, XP_033340437.1, XP_033340435.1, XP_033340436.1
OG0000096	XP_029033042.1	XP_033327190.1
OG0000097	XP_029039444.1, XP_029039447.1, XP_029039445.1	XP_033339361.1, XP_033339360.1, XP_033339359.1, XP_033339357.1, XP_033339358.1
OG0000098	XP_029040435.1, XP_029040433.1, XP_029040434.1	XP_033339580.1
OG0000099	XP_029040750.1, XP_029040751.1, XP_029040752.1, XP_029040754.1, XP_029040753.1	XP_033340259.1, XP_033340261.1, XP_033340260.1, XP_033340258.1
OG0000100	XP_029054269.1, XP_029053720.1, XP_029054555.1, XP_029053909.1, XP_029054503.1, XP_029054744.1, XP_029054303.1, XP_029053823.1, XP_029053356.1, XP_029054240.1	XP_033323173.1
OG0000101	XP_029045205.1, XP_029045209.1, XP_029045208.1, XP_029045207.1, XP_029045206.1	XP_033326283.1
OG0000102	XP_029052144.1, XP_029052143.1, XP_029052142.1	XP_033333983.1, XP_033333985.1, XP_033333982.1
OG0000103	XP_029035507.1, XP_029035508.1, XP_029035509.1, XP_029035510.1, XP_029035506.1	XP_033334793.1, XP_033334791.1, XP_033334792.1
OG0000104	XP_029033620.1, XP_029033633.1	XP_033325779.1
OG0000104	XP_029033623.1	XP_033325783.1
OG0000105	XP_029056130.1, XP_029056133.1, XP_029056132.1, XP_029056135.1, XP_029056137.1, XP_029056136.1, XP_029056129.1, XP_029056126.1, XP_029056127.1, XP_029056128.1	XP_033330005.1, XP_033330008.1, XP_033330004.1, XP_033330007.1, XP_033330006.1, XP_033330009.1
OG0000106	XP_029055010.1, XP_029055230.1	XP_033335286.1
OG0000107	XP_029055302.1, XP_029043251.1, XP_029049350.1	XP_033333536.1, XP_033332759.1
OG0000109	XP_029034867.1, XP_029034872.1, XP_029034870.1, XP_029034873.1, XP_029034875.1, XP_029034868.1, XP_029034871.1, XP_029034874.1	XP_033337630.1, XP_033337629.1, XP_033337631.1
OG0000110	XP_029039363.1, XP_029039365.1, XP_029039366.1, XP_029039369.1, XP_029039368.1, XP_029039367.1	XP_033336486.1, XP_033336485.1
OG0000113	XP_029036204.1, XP_029036205.1	XP_033324463.1, XP_033324455.1, XP_033324487.1, XP_033324472.1, XP_033324481.1
OG0000114	XP_029034788.1, XP_029034792.1, XP_029034789.1, XP_029034793.1, XP_029034794.1	XP_033324702.1
OG0000115	XP_029042359.1, XP_029042358.1	XP_033338597.1, XP_033338594.1, XP_033338596.1, XP_033338595.1, XP_033338590.1, XP_033338592.1, XP_033338591.1, XP_033338593.1
OG0000116	XP_029043523.1, XP_029043522.1, XP_029043520.1, XP_029043525.1, XP_029043526.1, XP_029043524.1	XP_033335852.1, XP_033335851.1, XP_033335854.1, XP_033335853.1
OG0000117	XP_029056400.1, XP_029056399.1, XP_029056401.1	XP_033320794.1, XP_033320777.1, XP_033320785.1, XP_033320771.1
OG0000118	XP_029033105.1, XP_029033103.1, XP_029033102.1, XP_029033106.1	XP_033341864.1, XP_033341872.1
OG0000119	XP_029037437.1	XP_033333649.1
OG0000120	XP_029038253.1	XP_033337565.1, XP_033337616.1, XP_033337576.1, XP_033337589.1, XP_033337322.1, XP_033337603.1, XP_033337334.1, XP_033337342.1, XP_033337637.1, XP_033337625.1
OG0000121	XP_029048121.1, XP_029048127.1, XP_029048113.1	XP_033329737.1
OG0000122	XP_029037839.1	XP_033340167.1, XP_033340169.1
OG0000124	XP_029033341.1	XP_033335144.1, XP_033335143.1, XP_033335142.1, XP_033335145.1
OG0000125	XP_029033204.1, XP_029033205.1	XP_033322509.1, XP_033338371.1, XP_033338373.1
OG0000126	XP_029041017.1	XP_033332905.1, XP_033332906.1, XP_033332896.1, XP_033332898.1, XP_033332899.1, XP_033332902.1, XP_033332904.1, XP_033332900.1, XP_033332901.1
OG0000127	XP_029039507.1	XP_033325356.1
OG0000127	XP_029054367.1	XP_033340025.1
OG0000128	XP_029043920.1, XP_029043924.1, XP_029043923.1, XP_029043921.1	XP_033337265.1, XP_033337266.1, XP_033337267.1, XP_033337269.1, XP_033337270.1, XP_033337268.1
OG0000129	XP_029049425.1, XP_029049426.1, XP_029049423.1, XP_029049424.1	XP_033324466.1, XP_033324465.1, XP_033324464.1
OG0000130	XP_029055343.1, XP_029055344.1, XP_029055342.1, XP_029055341.1	XP_033331923.1, XP_033331924.1, XP_033331922.1
OG0000131	XP_029046541.1	XP_033342656.1, XP_033342657.1, XP_033342660.1, XP_033342658.1, XP_033342659.1, XP_033342655.1
OG0000132	XP_029036613.1, XP_029036612.1, XP_029036611.1	XP_033328245.1
OG0000133	XP_029053476.1	XP_033325792.1, XP_033332603.1, XP_033326446.1
OG0000134	XP_029040198.1	XP_033333680.1, XP_033333360.1, XP_033339825.1, XP_033333679.1, XP_033333681.1
OG0000135	XP_029048626.1, XP_029048627.1, XP_029048622.1, XP_029048625.1, XP_029048623.1	XP_033335530.1, XP_033335529.1, XP_033335528.1, XP_033335531.1
OG0000136	XP_029054294.1	XP_033329188.1, XP_033324576.1, XP_033335544.1
OG0000137	XP_029054716.1	XP_033338262.1
OG0000139	XP_029040165.1, XP_029040164.1, XP_029040163.1	XP_033326623.1
OG0000140	XP_029049760.1, XP_029049752.1, XP_029049777.1, XP_029049770.1	XP_033332465.1, XP_033332464.1
OG0000141	XP_029049545.1, XP_029049544.1, XP_029049543.1	XP_033322099.1, XP_033322094.1, XP_033322100.1, XP_033322098.1, XP_033322097.1, XP_033322095.1
OG0000142	XP_029040361.1, XP_029040362.1, XP_029054299.1, XP_029054598.1, XP_029050131.1, XP_029040653.1	XP_033329994.1, XP_033332455.1, XP_033332539.1
OG0000143	XP_029032563.1, XP_029032564.1, XP_029032565.1	XP_033340309.1, XP_033340308.1
OG0000144	XP_029051946.1	XP_033328638.1, XP_033328637.1, XP_033328636.1
OG0000145	XP_029033988.1, XP_029055303.1, XP_029051956.1, XP_029051468.1	XP_033342857.1
OG0000146	XP_029044326.1, XP_029044327.1	XP_033335472.1
OG0000147	XP_029043739.1, XP_029043735.1, XP_029043741.1, XP_029043740.1, XP_029043737.1, XP_029043736.1, XP_029043738.1	XP_033329204.1, XP_033329208.1, XP_033329209.1, XP_033329205.1, XP_033329207.1, XP_033329210.1
OG0000148	XP_029044799.1, XP_029044795.1, XP_029044794.1, XP_029044800.1, XP_029044801.1, XP_029044793.1, XP_029044796.1, XP_029044797.1	XP_033334305.1, XP_033334302.1, XP_033334301.1, XP_033334304.1
OG0000149	XP_029052541.1, XP_029052544.1, XP_029052542.1, XP_029052540.1	XP_033332751.1
OG0000150	XP_029055180.1, XP_029055185.1	XP_033340372.1, XP_033340373.1, XP_033340375.1, XP_033340374.1
OG0000151	XP_029043125.1	XP_033340563.1
OG0000152	XP_029055961.1, XP_029055960.1, XP_029055959.1	XP_033323605.1, XP_033323606.1
OG0000154	XP_029054668.1, XP_029054897.1, XP_029054216.1, XP_029054549.1, XP_029054821.1, XP_029054666.1	XP_033328449.1, XP_033329898.1
OG0000155	XP_029043981.1, XP_029044013.1	XP_033339983.1
OG0000156	XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1	XP_033338224.1
OG0000157	XP_029051623.1	XP_033340891.1, XP_033340948.1
OG0000158	XP_029044409.1, XP_029044408.1	XP_033324595.1, XP_033324597.1, XP_033324598.1, XP_033324600.1, XP_033324596.1, XP_033324599.1
OG0000159	XP_029054484.1, XP_029039829.1	XP_033341034.1, XP_033341035.1, XP_033341036.1, XP_033341044.1, XP_033341039.1, XP_033341042.1, XP_033341043.1, XP_033341041.1, XP_033341033.1, XP_033341032.1, XP_033341037.1, XP_033341038.1
OG0000160	XP_029044872.1	XP_033334444.1, XP_033334451.1
OG0000160	XP_029044880.1	XP_033334453.1
OG0000161	XP_029056195.1, XP_029056189.1, XP_029056190.1, XP_029056194.1	XP_033338617.1, XP_033338616.1, XP_033338842.1
OG0000162	XP_029046899.1, XP_029046901.1, XP_029046900.1, XP_029046898.1	XP_033340314.1, XP_033340315.1, XP_033340313.1, XP_033340310.1
OG0000163	XP_029033614.1, XP_029033615.1, XP_029033460.1, XP_029033459.1, XP_029033458.1, XP_029033457.1, XP_029033613.1	XP_033325441.1
OG0000164	XP_029034616.1, XP_029034615.1	XP_033331312.1, XP_033331313.1
OG0000165	XP_029051860.1, XP_029051861.1, XP_029051863.1	XP_033333308.1, XP_033333301.1, XP_033333312.1, XP_033333320.1
OG0000166	XP_029055641.1, XP_029055642.1	XP_033328363.1
OG0000167	XP_029042551.1	XP_033341189.1
OG0000168	XP_029055772.1	XP_033323837.1
OG0000168	XP_029055770.1	XP_033323834.1, XP_033323835.1
OG0000169	XP_029036311.1	XP_033332192.1
OG0000170	XP_029048497.1, XP_029048498.1, XP_029048495.1, XP_029048496.1, XP_029048494.1	XP_033323045.1, XP_033322951.1
OG0000171	XP_029037481.1, XP_029037480.1, XP_029037477.1, XP_029037478.1, XP_029037479.1	XP_033334479.1
OG0000172	XP_029035838.1	XP_033338100.1
OG0000172	XP_029035983.1	XP_033338102.1
OG0000172	XP_029041778.1	XP_033330917.1
OG0000173	XP_029034022.1, XP_029034020.1, XP_029034027.1	XP_033341477.1, XP_033341474.1, XP_033341487.1, XP_033341483.1
OG0000174	XP_029035664.1, XP_029035662.1, XP_029035663.1	XP_033329797.1
OG0000175	XP_029049724.1, XP_029049723.1, XP_029049722.1	XP_033342393.1
OG0000176	XP_029046768.1, XP_029054871.1, XP_029050764.1, XP_029050765.1, XP_029046106.1, XP_029053706.1, XP_029046121.1, XP_029046220.1, XP_029046219.1	XP_033321740.1, XP_033321739.1
OG0000177	XP_029049654.1, XP_029049653.1	XP_033331231.1
OG0000178	XP_029048286.1	XP_033326630.1, XP_033335186.1, XP_033335200.1, XP_033335199.1, XP_033335198.1
OG0000179	XP_029036091.1, XP_029036092.1, XP_029036095.1, XP_029036094.1, XP_029036096.1	XP_033323438.1
OG0000180	XP_029039669.1	XP_033325819.1, XP_033325821.1, XP_033325822.1
OG0000181	XP_029034706.1	XP_033322282.1, XP_033322281.1, XP_033322284.1, XP_033322283.1, XP_033322286.1, XP_033322285.1
OG0000182	XP_029047897.1	XP_033321343.1, XP_033321342.1, XP_033321344.1
OG0000183	XP_029053198.1, XP_029053200.1, XP_029053197.1, XP_029053196.1	XP_033328687.1
OG0000184	XP_029040541.1, XP_029040539.1, XP_029040537.1, XP_029040540.1	XP_033325763.1
OG0000185	XP_029051596.1	XP_033320838.1, XP_033320836.1, XP_033320837.1
OG0000186	XP_029034956.1	XP_033337784.1
OG0000186	XP_029034955.1, XP_029034945.1, XP_029034943.1	XP_033337769.1
OG0000187	XP_029038646.1, XP_029038645.1	XP_033329875.1, XP_033329874.1
OG0000188	XP_029055915.1, XP_029055916.1	XP_033321545.1, XP_033321544.1
OG0000189	XP_029036321.1, XP_029036322.1, XP_029036324.1, XP_029036323.1, XP_029036319.1	XP_033334134.1
OG0000190	XP_029054729.1, XP_029054732.1	XP_033337368.1, XP_033337377.1, XP_033337357.1
OG0000191	XP_029038856.1, XP_029038855.1, XP_029038852.1, XP_029038853.1, XP_029038850.1, XP_029038851.1, XP_029038854.1	XP_033322576.1
OG0000192	XP_029050068.1, XP_029050069.1, XP_029050067.1, XP_029050066.1	XP_033322054.1, XP_033322055.1
OG0000193	XP_029032557.1	XP_033340517.1, XP_033340518.1
OG0000194	XP_029046532.1, XP_029046533.1	XP_033342648.1, XP_033342647.1, XP_033342649.1, XP_033342645.1, XP_033342644.1
OG0000195	XP_029042145.1	XP_033321430.1, XP_033321431.1, XP_033321429.1
OG0000196	XP_029055038.1	XP_033331198.1
OG0000197	XP_029054993.1	XP_033331112.1, XP_033339815.1, XP_033323538.1, XP_033323537.1, XP_033323540.1
OG0000198	XP_029055718.1, XP_029055719.1, XP_029055717.1	XP_033322502.1, XP_033339875.1, XP_033322501.1, XP_033322500.1, XP_033322503.1
OG0000200	XP_029047376.1, XP_029047377.1	XP_033326152.1, XP_033326153.1, XP_033326154.1, XP_033326155.1, XP_033326156.1, XP_033326151.1
OG0000201	XP_029047912.1, XP_029047913.1, XP_029047914.1	XP_033339218.1
OG0000202	XP_029053398.1, XP_029053399.1, XP_029053400.1, XP_029053397.1	XP_033342968.1, XP_033342969.1, XP_033342966.1, XP_033342965.1, XP_033342964.1
OG0000203	XP_029032827.1, XP_029032824.1, XP_029032825.1, XP_029032823.1, XP_029032831.1, XP_029032828.1, XP_029032829.1, XP_029032832.1, XP_029032833.1, XP_029032830.1	XP_033336084.1
OG0000204	XP_029037152.1, XP_029037151.1, XP_029037150.1	XP_033322184.1, XP_033322183.1, XP_033322176.1, XP_033322177.1
OG0000205	XP_029042084.1, XP_029042086.1, XP_029042079.1, XP_029042083.1, XP_029042081.1, XP_029042082.1, XP_029042080.1, XP_029042088.1, XP_029042087.1	XP_033333094.1
