Orthogroup	Osmia_bicornis	Dufourea_novaeangliae
OG0000025	XP_029049807.1, XP_029049826.1, XP_029049817.1, XP_029049849.1, XP_029049843.1, XP_029049833.1	XP_015428496.1
OG0000026	XP_029040057.1, XP_029040060.1, XP_029040058.1, XP_029040062.1, XP_029040061.1	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431417.1, XP_015431416.1
OG0000027	XP_029038377.1, XP_029038375.1, XP_029038380.1, XP_029038376.1, XP_029038382.1, XP_029038381.1, XP_029038379.1, XP_029038378.1	XP_015436027.1
OG0000028	XP_029031896.1, XP_029031893.1, XP_029031892.1, XP_029031895.1, XP_029031894.1	XP_015429673.1, XP_015429675.1, XP_015429674.1
OG0000029	XP_029043158.1, XP_029043148.1, XP_029043147.1, XP_029043150.1, XP_029043149.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043151.1, XP_029043152.1	XP_015435655.1, XP_015435654.1
OG0000031	XP_029040317.1, XP_029040320.1, XP_029040318.1, XP_029040322.1, XP_029040321.1	XP_015432264.1, XP_015432266.1, XP_015432267.1
OG0000032	XP_029053161.1, XP_029053163.1, XP_029053162.1	XP_015429644.1, XP_015429643.1, XP_015429641.1, XP_015429642.1
OG0000033	XP_029032768.1, XP_029032769.1, XP_029032767.1	XP_015437422.1, XP_015437423.1
OG0000034	XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1	XP_015439801.1
OG0000035	XP_029045881.1, XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045880.1	XP_015434866.1, XP_015434867.1, XP_015434868.1, XP_015434869.1, XP_015434870.1, XP_015434871.1
OG0000036	XP_029056308.1, XP_029056307.1, XP_029056309.1, XP_029056279.1, XP_029056277.1, XP_029056278.1, XP_029056276.1, XP_029056274.1, XP_029056306.1	XP_015438705.1
OG0000037	XP_029035328.1	XP_015429868.1
OG0000038	XP_029033159.1, XP_029033157.1, XP_029033158.1	XP_015428850.1, XP_015428848.1, XP_015428851.1
OG0000038	XP_029042191.1, XP_029042190.1	XP_015439294.1, XP_015439293.1
OG0000039	XP_029041153.1, XP_029041150.1, XP_029041151.1, XP_029041152.1	XP_015428729.1
OG0000040	XP_029047963.1, XP_029047965.1, XP_029047964.1	XP_015436163.1
OG0000042	XP_029036980.1	XP_015436224.1
OG0000043	XP_029040374.1, XP_029040375.1, XP_029040379.1, XP_029040378.1, XP_029040377.1, XP_029040376.1, XP_029040383.1, XP_029040381.1, XP_029040380.1, XP_029040373.1	XP_015430085.1
OG0000044	XP_029034777.1, XP_029034772.1, XP_029034773.1, XP_029034774.1, XP_029034775.1, XP_029034776.1	XP_015434933.1, XP_015434934.1
OG0000046	XP_029048308.1, XP_029054352.1, XP_029054355.1, XP_029048298.1, XP_029054358.1	XP_015431116.1, XP_015431127.1
OG0000047	XP_029051703.1, XP_029054087.1, XP_029053362.1, XP_029053958.1, XP_029053454.1, XP_029053455.1, XP_029051688.1	XP_015436673.1, XP_015438104.1, XP_015435346.1, XP_015435342.1
OG0000048	XP_029054119.1, XP_029055085.1, XP_029055220.1	XP_015440349.1, XP_015435652.1, XP_015435244.1, XP_015437628.1, XP_015429494.1, XP_015436676.1, XP_015433177.1, XP_015434570.1, XP_015437853.1
OG0000049	XP_029051176.1, XP_029051151.1	XP_015435659.1
OG0000050	XP_029046842.1, XP_029046843.1, XP_029046844.1	XP_015430457.1, XP_015430455.1, XP_015430454.1, XP_015430456.1
OG0000051	XP_029056239.1, XP_029056240.1	XP_015438716.1
OG0000052	XP_029039545.1, XP_029032070.1	XP_015440357.1
OG0000052	XP_029055800.1, XP_029031929.1, XP_029055886.1, XP_029031842.1, XP_029055971.1, XP_029032017.1	XP_015440372.1
OG0000054	XP_029032043.1, XP_029036162.1, XP_029032023.1, XP_029032032.1, XP_029037018.1, XP_029035307.1, XP_029032057.1, XP_029038301.1	XP_015440360.1, XP_015440376.1, XP_015440359.1, XP_015440379.1
OG0000055	XP_029047831.1	XP_015436316.1
OG0000056	XP_029038444.1, XP_029038443.1, XP_029038446.1, XP_029038448.1, XP_029038447.1	XP_015438965.1
OG0000058	XP_029048279.1, XP_029054354.1, XP_029034389.1	XP_015431081.1
OG0000059	XP_029054658.1, XP_029051685.1, XP_029054088.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029035522.1	XP_015435357.1
OG0000059	XP_029051987.1	XP_015435350.1
OG0000060	XP_029042800.1, XP_029042801.1, XP_029042802.1, XP_029042806.1, XP_029042807.1, XP_029042804.1, XP_029042805.1, XP_029042799.1	XP_015439981.1
OG0000062	XP_029054809.1, XP_029054781.1, XP_029054680.1, XP_029055155.1, XP_029054121.1, XP_029054120.1, XP_029055077.1, XP_029053862.1, XP_029053484.1, XP_029054695.1, XP_029055216.1, XP_029055254.1, XP_029055261.1, XP_029054123.1, XP_029054587.1, XP_029054451.1	XP_015440301.1
OG0000063	XP_029047764.1	XP_015435591.1
OG0000063	XP_029043017.1	XP_015434749.1
OG0000063	XP_029043016.1	XP_015434704.1
OG0000063	XP_029047765.1	XP_015435639.1
OG0000064	XP_029045842.1, XP_029045841.1, XP_029045843.1	XP_015439422.1
OG0000064	XP_029050411.1	XP_015436794.1, XP_015438692.1
OG0000065	XP_029051352.1, XP_029051350.1, XP_029051349.1, XP_029051355.1, XP_029051354.1, XP_029051353.1, XP_029051351.1, XP_029051348.1	XP_015440531.1
OG0000066	XP_029037198.1	XP_015429769.1
OG0000067	XP_029033273.1, XP_029033274.1, XP_029033275.1, XP_029033276.1, XP_029033278.1, XP_029033277.1, XP_029033279.1	XP_015435677.1, XP_015435676.1
OG0000068	XP_029048274.1	XP_015431173.1, XP_015431151.1
OG0000069	XP_029039101.1, XP_029039106.1, XP_029039104.1, XP_029039105.1, XP_029039103.1	XP_015439140.1
OG0000070	XP_029034267.1, XP_029034266.1	XP_015433091.1
OG0000071	XP_029053281.1, XP_029053278.1, XP_029053280.1, XP_029053279.1	XP_015436200.1
OG0000072	XP_029033097.1, XP_029033098.1, XP_029033101.1, XP_029033100.1, XP_029033099.1	XP_015434855.1, XP_015434863.1
OG0000073	XP_029041950.1	XP_015432205.1
OG0000074	XP_029039350.1	XP_015438918.1
OG0000076	XP_029036993.1, XP_029036999.1	XP_015436046.1
OG0000077	XP_029043698.1, XP_029043697.1	XP_015434988.1, XP_015434960.1, XP_015434985.1, XP_015434990.1
OG0000078	XP_029037376.1, XP_029037375.1, XP_029050159.1	XP_015438151.1, XP_015435224.1, XP_015439947.1
OG0000079	XP_029034757.1	XP_015434849.1
OG0000081	XP_029044048.1	XP_015437277.1
OG0000082	XP_029042511.1, XP_029042512.1, XP_029042509.1, XP_029042507.1, XP_029042508.1, XP_029042505.1, XP_029042506.1, XP_029042504.1	XP_015435281.1, XP_015435282.1
OG0000083	XP_029047201.1, XP_029047202.1, XP_029047200.1, XP_029047205.1, XP_029047203.1, XP_029047204.1	XP_015435790.1
OG0000085	XP_029038807.1	XP_015436209.1
OG0000086	XP_029045849.1, XP_029045856.1, XP_029045855.1, XP_029045850.1, XP_029045852.1, XP_029045851.1, XP_029045846.1, XP_029045847.1, XP_029045848.1, XP_029045854.1	XP_015439325.1
OG0000087	XP_029038559.1, XP_029038556.1, XP_029038557.1, XP_029038558.1	XP_015438869.1
OG0000089	XP_029038589.1	XP_015436630.1, XP_015435537.1
OG0000090	XP_029034205.1, XP_029034224.1, XP_029034214.1, XP_029034233.1	XP_015430865.1
OG0000091	XP_029055761.1, XP_029055758.1, XP_029055757.1, XP_029055762.1, XP_029055759.1	XP_015440081.1
OG0000093	XP_029048941.1, XP_029048940.1, XP_029048942.1	XP_015428411.1
OG0000094	XP_029043250.1, XP_029043248.1, XP_029043249.1, XP_029043247.1, XP_029043244.1, XP_029043245.1, XP_029043246.1	XP_015431880.1
OG0000095	XP_029032554.1, XP_029032555.1, XP_029032556.1, XP_029032553.1, XP_029032550.1, XP_029032551.1, XP_029032552.1	XP_015438184.1
OG0000096	XP_029033042.1	XP_015434227.1
OG0000097	XP_029039444.1, XP_029039447.1, XP_029039445.1	XP_015431198.1, XP_015431199.1
OG0000098	XP_029040435.1, XP_029040433.1, XP_029040434.1	XP_015438475.1
OG0000099	XP_029040750.1, XP_029040751.1, XP_029040752.1, XP_029040754.1, XP_029040753.1	XP_015430255.1, XP_015430247.1
OG0000100	XP_029054322.1, XP_029054146.1	XP_015437850.1, XP_015438094.1
OG0000100	XP_029054269.1, XP_029053720.1, XP_029054555.1, XP_029053909.1, XP_029054503.1, XP_029054744.1, XP_029054303.1, XP_029053823.1, XP_029053356.1, XP_029054240.1	XP_015438890.1
OG0000101	XP_029045205.1, XP_029045209.1, XP_029045208.1, XP_029045207.1, XP_029045206.1	XP_015432218.1
OG0000102	XP_029052144.1, XP_029052143.1, XP_029052142.1	XP_015429601.1
OG0000103	XP_029035507.1, XP_029035508.1, XP_029035509.1, XP_029035510.1, XP_029035506.1	XP_015435506.1, XP_015435505.1
OG0000104	XP_029033620.1, XP_029033633.1	XP_015439591.1
OG0000104	XP_029033625.1	XP_015439594.1
OG0000105	XP_029056130.1, XP_029056133.1, XP_029056132.1, XP_029056135.1, XP_029056137.1, XP_029056136.1, XP_029056129.1, XP_029056126.1, XP_029056127.1, XP_029056128.1	XP_015432223.1
OG0000107	XP_029055083.1, XP_029054931.1, XP_029055302.1, XP_029043251.1, XP_029049350.1, XP_029054384.1, XP_029055252.1	XP_015431640.1
OG0000107	XP_029054924.1	XP_015440415.1, XP_015437898.1, XP_015436740.1, XP_015437082.1, XP_015437619.1, XP_015431669.1, XP_015435721.1, XP_015430244.1, XP_015433563.1, XP_015436701.1
OG0000108	XP_029052451.1, XP_029052452.1, XP_029052453.1	XP_015438463.1
OG0000109	XP_029034867.1, XP_029034872.1, XP_029034870.1, XP_029034873.1, XP_029034875.1, XP_029034868.1, XP_029034871.1, XP_029034874.1	XP_015430535.1
OG0000110	XP_029039360.1, XP_029039361.1, XP_029039362.1	XP_015436481.1
OG0000110	XP_029039363.1, XP_029039365.1, XP_029039366.1, XP_029039369.1, XP_029039368.1, XP_029039367.1	XP_015436479.1
OG0000113	XP_029036204.1, XP_029036205.1	XP_015440166.1
OG0000114	XP_029034788.1, XP_029034792.1, XP_029034789.1, XP_029034793.1, XP_029034794.1	XP_015434902.1
OG0000115	XP_029042359.1, XP_029042358.1	XP_015428477.1
OG0000116	XP_029043523.1, XP_029043522.1, XP_029043520.1, XP_029043525.1, XP_029043526.1, XP_029043524.1	XP_015434163.1, XP_015434164.1
OG0000117	XP_029056400.1, XP_029056399.1, XP_029056401.1	XP_015440289.1, XP_015440287.1, XP_015440288.1
OG0000118	XP_029033105.1, XP_029033103.1, XP_029033102.1, XP_029033106.1	XP_015435404.1
OG0000119	XP_029037437.1	XP_015431091.1
OG0000120	XP_029038253.1	XP_015438092.1
OG0000121	XP_029048121.1, XP_029048127.1, XP_029048113.1	XP_015431772.1
OG0000122	XP_029037839.1	XP_015430087.1, XP_015430094.1, XP_015430103.1
OG0000124	XP_029033341.1	XP_015436589.1, XP_015436588.1
OG0000125	XP_029033204.1, XP_029033205.1	XP_015436982.1, XP_015436981.1, XP_015436985.1, XP_015436987.1, XP_015436980.1
OG0000126	XP_029041017.1	XP_015428736.1, XP_015428737.1, XP_015428735.1
OG0000127	XP_029039507.1	XP_015432783.1
OG0000128	XP_029043920.1, XP_029043924.1, XP_029043923.1, XP_029043921.1	XP_015440194.1
OG0000129	XP_029049425.1, XP_029049426.1, XP_029049423.1, XP_029049424.1	XP_015436626.1
OG0000130	XP_029055343.1, XP_029055344.1, XP_029055342.1, XP_029055341.1	XP_015429959.1, XP_015429961.1
OG0000131	XP_029046541.1	XP_015437714.1
OG0000132	XP_029036613.1, XP_029036612.1, XP_029036611.1	XP_015433331.1, XP_015433332.1, XP_015433333.1
OG0000133	XP_029053476.1	XP_015434666.1
OG0000134	XP_029040198.1	XP_015431085.1
OG0000135	XP_029048626.1, XP_029048627.1, XP_029048622.1, XP_029048625.1, XP_029048623.1	XP_015430291.1
OG0000136	XP_029054867.1	XP_015435242.1
OG0000136	XP_029054294.1	XP_015433735.1, XP_015437848.1, XP_015435722.1, XP_015436675.1
OG0000139	XP_029040165.1, XP_029040164.1, XP_029040163.1	XP_015440328.1
OG0000140	XP_029049760.1, XP_029049752.1, XP_029049777.1, XP_029049770.1	XP_015428456.1
OG0000141	XP_029049545.1, XP_029049544.1, XP_029049543.1	XP_015434298.1
OG0000142	XP_029040361.1, XP_029040362.1, XP_029054299.1, XP_029054598.1, XP_029050131.1, XP_029040653.1	XP_015440004.1, XP_015440053.1
OG0000143	XP_029032563.1, XP_029032564.1, XP_029032565.1	XP_015436700.1, XP_015436679.1, XP_015436686.1, XP_015436693.1
OG0000144	XP_029051946.1	XP_015433077.1
OG0000146	XP_029044326.1, XP_029044327.1	XP_015436896.1
OG0000147	XP_029043739.1, XP_029043735.1, XP_029043741.1, XP_029043740.1, XP_029043737.1, XP_029043736.1, XP_029043738.1	XP_015429248.1
OG0000148	XP_029044799.1, XP_029044795.1, XP_029044794.1, XP_029044800.1, XP_029044801.1, XP_029044793.1, XP_029044796.1, XP_029044797.1	XP_015436232.1
OG0000149	XP_029052541.1, XP_029052544.1, XP_029052542.1, XP_029052540.1	XP_015433364.1
OG0000150	XP_029055180.1, XP_029055185.1	XP_015437621.1
OG0000151	XP_029043125.1	XP_015430154.1
OG0000152	XP_029055961.1, XP_029055960.1, XP_029055959.1	XP_015429021.1
OG0000154	XP_029054668.1, XP_029054897.1, XP_029054216.1, XP_029054549.1, XP_029054821.1, XP_029054666.1	XP_015436990.1, XP_015437810.1, XP_015438039.1
OG0000155	XP_029043981.1, XP_029044013.1	XP_015430002.1
OG0000156	XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1	XP_015429114.1
OG0000157	XP_029055024.1, XP_029055196.1	XP_015436484.1
OG0000158	XP_029044409.1, XP_029044408.1	XP_015439412.1
OG0000159	XP_029054484.1, XP_029039829.1	XP_015438519.1
OG0000160	XP_029044872.1	XP_015436511.1
OG0000160	XP_029044880.1	XP_015436510.1
OG0000161	XP_029056195.1, XP_029056189.1, XP_029056190.1, XP_029056194.1	XP_015438642.1
OG0000162	XP_029046899.1, XP_029046901.1, XP_029046900.1, XP_029046898.1	XP_015429975.1
OG0000163	XP_029033614.1, XP_029033615.1, XP_029033460.1, XP_029033459.1, XP_029033458.1, XP_029033457.1, XP_029033613.1	XP_015438423.1
OG0000164	XP_029034616.1, XP_029034615.1	XP_015437557.1, XP_015437559.1, XP_015437558.1
OG0000165	XP_029051860.1, XP_029051861.1, XP_029051863.1	XP_015431086.1
OG0000166	XP_029055641.1, XP_029055642.1	XP_015429867.1
OG0000168	XP_029055768.1	XP_015439652.1
OG0000169	XP_029036311.1	XP_015436217.1
OG0000170	XP_029048497.1, XP_029048498.1, XP_029048495.1, XP_029048496.1, XP_029048494.1	XP_015434496.1
OG0000171	XP_029037481.1, XP_029037480.1, XP_029037477.1, XP_029037478.1, XP_029037479.1	XP_015436562.1
OG0000172	XP_029035838.1	XP_015430802.1
OG0000172	XP_029035983.1, XP_029041778.1	XP_015434046.1
OG0000173	XP_029034022.1, XP_029034020.1, XP_029034027.1	XP_015432862.1
OG0000174	XP_029035664.1, XP_029035662.1, XP_029035663.1	XP_015431688.1
OG0000175	XP_029049724.1, XP_029049723.1, XP_029049722.1	XP_015437287.1
OG0000176	XP_029046768.1, XP_029054871.1, XP_029050764.1, XP_029050765.1, XP_029046106.1, XP_029053706.1, XP_029046121.1, XP_029046220.1, XP_029046219.1	XP_015433628.1
OG0000178	XP_029048286.1	XP_015431680.1, XP_015431679.1
OG0000179	XP_029036091.1, XP_029036092.1, XP_029036095.1, XP_029036094.1, XP_029036096.1	XP_015432369.1
OG0000180	XP_029039669.1	XP_015432607.1, XP_015432609.1, XP_015432608.1
OG0000181	XP_029034706.1	XP_015439359.1
OG0000182	XP_029047897.1	XP_015436440.1, XP_015436439.1, XP_015436438.1, XP_015436441.1
OG0000183	XP_029053198.1, XP_029053200.1, XP_029053197.1, XP_029053196.1	XP_015430027.1, XP_015430036.1
OG0000184	XP_029040541.1, XP_029040539.1, XP_029040537.1, XP_029040540.1	XP_015431426.1, XP_015431427.1, XP_015431425.1
OG0000185	XP_029051596.1	XP_015438013.1
OG0000186	XP_029034956.1	XP_015433541.1
OG0000187	XP_029038646.1, XP_029038645.1	XP_015434347.1
OG0000188	XP_029055915.1, XP_029055916.1	XP_015429150.1
OG0000189	XP_029036321.1, XP_029036322.1, XP_029036324.1, XP_029036323.1, XP_029036319.1	XP_015432676.1
OG0000190	XP_029054729.1, XP_029054732.1	XP_015431829.1
OG0000191	XP_029038856.1, XP_029038855.1, XP_029038852.1, XP_029038853.1, XP_029038850.1, XP_029038851.1, XP_029038854.1	XP_015434653.1, XP_015434652.1
OG0000192	XP_029050068.1, XP_029050069.1, XP_029050067.1, XP_029050066.1	XP_015434228.1
OG0000193	XP_029032557.1	XP_015437702.1, XP_015437695.1
OG0000194	XP_029046532.1, XP_029046533.1	XP_015437727.1
OG0000195	XP_029042145.1	XP_015433329.1, XP_015433328.1, XP_015433330.1
OG0000197	XP_029054993.1	XP_015430868.1
OG0000197	XP_029054892.1, XP_029054836.1	XP_015429676.1
OG0000198	XP_029055718.1, XP_029055719.1, XP_029055717.1	XP_015439765.1, XP_015439830.1, XP_015439764.1, XP_015439837.1
OG0000200	XP_029047376.1, XP_029047377.1	XP_015436844.1
OG0000201	XP_029047912.1, XP_029047913.1, XP_029047914.1	XP_015436162.1
OG0000202	XP_029053398.1, XP_029053399.1, XP_029053400.1, XP_029053397.1	XP_015437325.1
OG0000203	XP_029032827.1, XP_029032824.1, XP_029032825.1, XP_029032823.1, XP_029032831.1, XP_029032828.1, XP_029032829.1, XP_029032832.1, XP_029032833.1, XP_029032830.1	XP_015430231.1
OG0000204	XP_029037152.1, XP_029037151.1, XP_029037150.1	XP_015431509.1, XP_015431511.1, XP_015431510.1
OG0000205	XP_029042084.1, XP_029042086.1, XP_029042079.1, XP_029042083.1, XP_029042081.1, XP_029042082.1, XP_029042080.1, XP_029042088.1, XP_029042087.1	XP_015433280.1
OG0000206	XP_029046178.1, XP_029046181.1, XP_029046179.1, XP_029046182.1	XP_015431498.1, XP_015431497.1
OG0000207	XP_029038204.1, XP_029038203.1, XP_029038205.1, XP_029038208.1, XP_029038201.1, XP_029038207.1, XP_029038202.1	XP_015429188.1
OG0000208	XP_029044272.1	XP_015430478.1
OG0000209	XP_029054025.1, XP_029054032.1, XP_029054085.1, XP_029054092.1	XP_015436281.1
OG0000210	XP_029036848.1	XP_015432472.1
OG0000211	XP_029044238.1, XP_029044235.1, XP_029044234.1, XP_029044237.1, XP_029044236.1	XP_015430485.1
OG0000212	XP_029042763.1, XP_029042765.1, XP_029042764.1	XP_015438832.1, XP_015438831.1, XP_015438830.1
OG0000213	XP_029040796.1	XP_015432870.1, XP_015432869.1, XP_015432866.1, XP_015432868.1, XP_015432867.1
OG0000214	XP_029037952.1, XP_029037950.1	XP_015430841.1, XP_015430849.1
OG0000215	XP_029040698.1, XP_029040697.1, XP_029040696.1	XP_015434230.1
OG0000216	XP_029044690.1, XP_029044601.1, XP_029046212.1, XP_029046384.1, XP_029046120.1, XP_029044865.1, XP_029044781.1, XP_029044950.1, XP_029045035.1, XP_029046300.1, XP_029045949.1, XP_029046032.1	XP_015437199.1
OG0000217	XP_029037762.1	XP_015431233.1
OG0000218	XP_029040891.1	XP_015432437.1
OG0000218	XP_029040887.1, XP_029040888.1, XP_029040889.1	XP_015432430.1
OG0000219	XP_029042878.1	XP_015439988.1
OG0000220	XP_029053413.1	XP_015433093.1, XP_015434209.1
OG0000221	XP_029039027.1	XP_015439085.1
OG0000222	XP_029050577.1	XP_015438542.1
OG0000222	XP_029040022.1, XP_029040023.1	XP_015428940.1
OG0000223	XP_029056512.1, XP_029056513.1, XP_029056509.1, XP_029056510.1, XP_029056511.1	XP_015434738.1
OG0000224	XP_029051911.1, XP_029051912.1, XP_029051913.1, XP_029051914.1, XP_029051915.1	XP_015430929.1
OG0000226	XP_029039485.1, XP_029039487.1, XP_029039486.1, XP_029039483.1, XP_029039484.1	XP_015434860.1
OG0000227	XP_029039555.1	XP_015436973.1, XP_015436974.1, XP_015436975.1
OG0000227	XP_029039563.1, XP_029039564.1, XP_029039565.1	XP_015436971.1
OG0000228	XP_029038096.1, XP_029038095.1	XP_015435414.1, XP_015435413.1
OG0000229	XP_029049346.1	XP_015436804.1
OG0000230	XP_029053423.1, XP_029053421.1, XP_029053420.1, XP_029053419.1, XP_029053417.1, XP_029053425.1, XP_029053422.1, XP_029053424.1	XP_015433097.1, XP_015433098.1, XP_015433099.1
OG0000231	XP_029045111.1	XP_015434546.1
OG0000232	XP_029052101.1, XP_029052102.1, XP_029052100.1	XP_015432406.1
OG0000233	XP_029039442.1, XP_029039443.1	XP_015431093.1
OG0000234	XP_029052965.1, XP_029052964.1	XP_015437503.1
OG0000235	XP_029047230.1, XP_029047231.1, XP_029047232.1	XP_015435834.1
OG0000236	XP_029055140.1, XP_029055157.1, XP_029055144.1, XP_029055133.1, XP_029055149.1, XP_029055117.1, XP_029055128.1, XP_029055127.1, XP_029055152.1, XP_029055165.1, XP_029055160.1, XP_029055137.1, XP_029055122.1	XP_015429983.1
OG0000237	XP_029041087.1, XP_029041088.1, XP_029041084.1, XP_029041083.1, XP_029041089.1, XP_029041086.1	XP_015436500.1
OG0000238	XP_029055734.1	XP_015439918.1
OG0000239	XP_029033287.1	XP_015436567.1
OG0000240	XP_029043504.1, XP_029043503.1	XP_015431041.1
OG0000241	XP_029035087.1, XP_029035084.1, XP_029035083.1, XP_029035085.1, XP_029035086.1	XP_015428795.1
OG0000242	XP_029035228.1	XP_015436608.1
OG0000243	XP_029052279.1	XP_015438163.1
OG0000244	XP_029032944.1, XP_029032942.1, XP_029032943.1	XP_015434318.1
OG0000245	XP_029047419.1, XP_029047428.1	XP_015438086.1, XP_015438085.1, XP_015438084.1
OG0000246	XP_029049378.1	XP_015430155.1
OG0000247	XP_029055363.1, XP_029055358.1, XP_029055359.1, XP_029055360.1, XP_029055361.1, XP_029055362.1	XP_015430038.1, XP_015430037.1
OG0000248	XP_029035923.1, XP_029035927.1, XP_029035924.1, XP_029035926.1, XP_029035925.1	XP_015428745.1, XP_015428747.1, XP_015428748.1
OG0000249	XP_029041124.1, XP_029041126.1	XP_015428718.1, XP_015428722.1, XP_015428720.1
OG0000250	XP_029040724.1	XP_015436838.1
OG0000251	XP_029052784.1, XP_029052783.1	XP_015433212.1, XP_015433213.1, XP_015433214.1
OG0000252	XP_029050552.1, XP_029050554.1, XP_029050553.1	XP_015439601.1, XP_015439599.1
OG0000253	XP_029035145.1	XP_015428727.1
OG0000254	XP_029032935.1, XP_029032936.1	XP_015435781.1
OG0000255	XP_029039090.1, XP_029039088.1	XP_015439251.1
OG0000257	XP_029050709.1	XP_015434092.1, XP_015434094.1, XP_015434091.1, XP_015434090.1, XP_015434093.1
OG0000258	XP_029046934.1, XP_029046936.1, XP_029046935.1, XP_029046937.1	XP_015434468.1
OG0000259	XP_029053604.1, XP_029053594.1, XP_029053725.1	XP_015436712.1, XP_015436714.1, XP_015436713.1
