Orthogroup	Habropoda_laboriosa	Drosophila_melanogaster
OG0000054	XP_017797389.1, XP_017797390.1	NP_477282.2, NP_729146.1, NP_729147.1
OG0000055	XP_017799533.1	NP_001284925.1
OG0000055	XP_017789854.1	NP_650904.3
OG0000055	XP_017787951.1, XP_017787952.1	NP_609815.1
OG0000055	XP_017791354.1	NP_001246914.1
OG0000056	XP_017795795.1, XP_017792816.1	NP_001369131.1
OG0000056	XP_017792926.1	NP_647937.2
OG0000056	XP_017792979.1	NP_995958.2
OG0000057	XP_017798766.1, XP_017798094.1	NP_524290.2
OG0000057	XP_017798097.1	NP_523842.2
OG0000057	XP_017798098.1	NP_729172.1
OG0000060	XP_017787543.1	NP_650848.1
OG0000060	XP_017792478.1	NP_001163168.1
OG0000061	XP_017799273.1	NP_001097692.1
OG0000061	XP_017788550.1, XP_017795246.1, XP_017791843.1	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1
OG0000065	XP_017793851.1	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2
OG0000067	XP_017790603.1	NP_001284994.1
OG0000067	XP_017795551.1	NP_524243.2, NP_572330.2
OG0000067	XP_017794648.1	NP_001261491.1
OG0000072	XP_017793474.1	NP_663311.1
OG0000074	XP_017795199.1	NP_536776.2
OG0000077	XP_017797118.1, XP_017795753.1	NP_001137778.2, NP_001259986.1
OG0000077	XP_017789897.1	NP_001015405.3
OG0000080	XP_017798424.1	NP_001262255.1
OG0000080	XP_017798422.1	NP_001262254.1
OG0000082	XP_017797726.1, XP_017797683.1, XP_017797684.1, XP_017797819.1	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1
OG0000085	XP_017790689.1, XP_017793167.1	NP_651221.1
OG0000086	XP_017787894.1	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1
OG0000086	XP_017791806.1	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1
OG0000087	XP_017792906.1, XP_017792917.1	NP_001261716.1
OG0000087	XP_017792908.1, XP_017792909.1	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1
OG0000088	XP_017789815.1	NP_476589.4
OG0000089	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1	NP_001162840.1, NP_001259800.1
OG0000091	XP_017792668.1, XP_017792670.1	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2
OG0000092	XP_017799316.1, XP_017789003.1, XP_017789058.1, XP_017789059.1, XP_017788769.1	NP_001262592.1
OG0000094	XP_017791335.1	NP_001284983.1, NP_651446.2, NP_650069.2
OG0000094	XP_017798352.1	NP_651889.3, NP_001189331.1, NP_651891.2
OG0000096	XP_017798525.1	NP_726022.1, NP_001246550.1
OG0000096	XP_017796013.1	NP_611542.2
OG0000097	XP_017791424.1, XP_017791423.1, XP_017793649.1	NP_524611.1
OG0000098	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1	NP_001260487.1
OG0000099	XP_017796840.1	NP_608954.1
OG0000099	XP_017796299.1, XP_017796300.1	NP_001034071.1
OG0000099	XP_017791883.1	NP_651628.1
OG0000100	XP_017794869.1	NP_001262908.1, NP_001262907.1
OG0000101	XP_017793334.1	NP_001286204.1, NP_610403.1, NP_609640.1
OG0000102	XP_017787422.1, XP_017787495.1	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2
OG0000103	XP_017793916.1	NP_001303368.1
OG0000108	XP_017797595.1	NP_648918.1
OG0000109	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1	NP_648392.1, NP_001245736.1
OG0000110	XP_017794692.1, XP_017797747.1	NP_788521.2, NP_729246.2, NP_729014.1
OG0000111	XP_017793968.1	NP_650264.1
OG0000112	XP_017790673.1	NP_001369123.1
OG0000113	XP_017798381.1, XP_017798181.1	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1
OG0000114	XP_017792172.1	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2
OG0000115	XP_017797018.1, XP_017795994.1	NP_001261040.1
OG0000117	XP_017791704.1	NP_001286115.1
OG0000117	XP_017797358.1	NP_001262809.1
OG0000120	XP_017788040.1, XP_017794605.1	NP_001260010.1, NP_001162947.1
OG0000122	XP_017798532.1	NP_001287102.1, NP_001163462.1, NP_649023.1
OG0000122	XP_017799142.1	NP_610807.3
OG0000123	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1	NP_001259925.1
OG0000124	XP_017789119.1	NP_001260435.1, NP_001245746.1
OG0000125	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1, XP_017795819.1	NP_651172.1, NP_001097888.1
OG0000126	XP_017792776.1	NP_477498.1, NP_996167.1
OG0000127	XP_017799036.1, XP_017799037.1	NP_001261916.1
OG0000127	XP_017799080.1	NP_477127.1
OG0000129	XP_017792739.1	NP_001188842.2
OG0000130	XP_017787765.1, XP_017789001.1, XP_017789002.1	NP_723165.2
OG0000130	XP_017791658.1	NP_001014474.3
OG0000131	XP_017790302.1	NP_001259087.1
OG0000131	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1	NP_001097667.1
OG0000132	XP_017798108.1	NP_001245934.1, NP_001137808.1, NP_609121.2
OG0000132	XP_017798132.1	NP_001245823.1, NP_724088.2, NP_724087.1
OG0000133	XP_017788158.1	NP_001368939.1
OG0000134	XP_017789975.1	NP_525003.2
OG0000135	XP_017799029.1	NP_001286904.1
OG0000135	XP_017788492.1	NP_524655.1
OG0000136	XP_017788204.1, XP_017788203.1	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1
OG0000137	XP_017797492.1, XP_017791135.1, XP_017788948.1	NP_727460.1, NP_611465.2
OG0000138	XP_017794346.1, XP_017793300.1	NP_001036303.2
OG0000139	XP_017787706.1, XP_017787697.1	NP_651882.1
OG0000141	XP_017794696.1	NP_001287037.1
OG0000141	XP_017797914.1	NP_651471.2
OG0000141	XP_017787810.1	NP_724101.4
OG0000143	XP_017790512.1, XP_017790495.1	NP_001259687.1
OG0000144	XP_017797971.1, XP_017797954.1, XP_017797955.1, XP_017797956.1	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1
OG0000145	XP_017788300.1, XP_017797568.1	NP_651930.2
OG0000146	XP_017794829.1	NP_648843.1
OG0000146	XP_017789431.1	NP_610294.1
OG0000147	XP_017799321.1, XP_017792150.1, XP_017792149.1, XP_017792148.1	NP_001245762.1
OG0000149	XP_017788095.1	NP_648425.1
OG0000149	XP_017788073.1	NP_647686.1
OG0000150	XP_017787586.1, XP_017787587.1	NP_001246198.1
OG0000151	XP_017798042.1, XP_017798041.1	NP_001287124.1
OG0000152	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1	NP_001260743.1
OG0000153	XP_017797758.1	NP_001261584.1
OG0000154	XP_017795372.1	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1
OG0000156	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1	NP_647767.1
OG0000157	XP_017788939.1, XP_017788698.1	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1
OG0000158	XP_017793670.1, XP_017793698.1, XP_017793668.1, XP_017793669.1	NP_648354.1
OG0000160	XP_017795191.1	NP_001034016.1, NP_649019.2
OG0000160	XP_017792249.1	NP_649428.1
OG0000161	XP_017791738.1, XP_017791682.1, XP_017791681.1, XP_017791680.1	NP_001261749.1, NP_788501.1
OG0000162	XP_017797980.1	NP_001097669.2
OG0000162	XP_017794848.1	NP_001285015.1
OG0000162	XP_017787385.1	NP_001262916.1
OG0000164	XP_017797560.1, XP_017797561.1	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1
OG0000165	XP_017789911.1	NP_001245593.1
OG0000165	XP_017795542.1	NP_001284986.1
OG0000166	XP_017790571.1, XP_017790565.1, XP_017790567.1, XP_017790564.1, XP_017790576.1	NP_001097498.1
OG0000168	XP_017788116.1	NP_996226.2
OG0000168	XP_017789057.1	NP_001261500.1
OG0000168	XP_017797231.1	NP_001261571.1, NP_001246162.1
OG0000171	XP_017787774.1, XP_017787850.1, XP_017787824.1	NP_609310.2, NP_609309.1
OG0000173	XP_017794775.1, XP_017794776.1	NP_001247239.1
OG0000174	XP_017798800.1	NP_725682.2, NP_001286533.1, NP_611218.1
OG0000175	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1	NP_001163218.1
OG0000177	XP_017795594.1	NP_001261827.1
OG0000177	XP_017795592.1	NP_001261829.1
OG0000177	XP_017795589.1	NP_001261830.1
OG0000178	XP_017790433.1	NP_001356914.1
OG0000179	XP_017791524.1	NP_523366.2, NP_648697.1
OG0000180	XP_017787401.1, XP_017787400.1, XP_017787399.1	NP_001027161.1
OG0000182	XP_017794377.1	NP_001163460.1
OG0000183	XP_017795084.1	NP_001287555.1
OG0000183	XP_017796132.1	NP_524074.1
OG0000184	XP_017798954.1	NP_995642.1, NP_523504.2, NP_001162633.1
OG0000185	XP_017797685.1, XP_017797731.1	NP_001259439.1
OG0000186	XP_017790553.1, XP_017790555.1	NP_573320.1
OG0000187	XP_017797342.1	NP_001188856.1
OG0000188	XP_017791383.1	NP_477462.1
OG0000188	XP_017795271.1	NP_524551.2, NP_476974.1
OG0000189	XP_017795367.1	NP_651982.1, NP_001036733.1, NP_001262788.1
OG0000189	XP_017787964.1, XP_017787967.1	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1
OG0000190	XP_017789755.1, XP_017789754.1, XP_017789756.1	NP_732717.1
OG0000191	XP_017795883.1	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3
OG0000192	XP_017792725.1	NP_611994.3
OG0000194	XP_017799440.1	NP_648207.1
OG0000196	XP_017791366.1	NP_001261758.1
OG0000196	XP_017791305.1	NP_730938.1
OG0000197	XP_017794596.1	NP_001287082.1
OG0000198	XP_017787675.1	NP_611747.2
OG0000200	XP_017790004.1, XP_017790003.1	NP_001262796.1
OG0000200	XP_017793346.1, XP_017793347.1	NP_001259616.1
OG0000201	XP_017790031.1	NP_649026.1, NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2
OG0000202	XP_017795643.1	NP_001260674.1
OG0000203	XP_017794211.1	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1
OG0000203	XP_017790332.1	NP_648067.2
OG0000204	XP_017788993.1	NP_001188590.1
OG0000205	XP_017788047.1	NP_001097505.1
OG0000206	XP_017794929.1	NP_650893.2
OG0000206	XP_017794889.1, XP_017794888.1, XP_017794887.1	NP_001097707.1, NP_001287222.1
OG0000207	XP_017793342.1	NP_001286310.1, NP_001287091.1
OG0000207	XP_017791361.1, XP_017791356.1	NP_001246139.1
OG0000208	XP_017791349.1	NP_001137606.1
OG0000209	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1	NP_001163199.1
OG0000212	XP_017795959.1, XP_017793996.1, XP_017793987.1, XP_017793986.1	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1
OG0000213	XP_017789586.1	NP_648589.1
OG0000214	XP_017794266.1	NP_001260290.1
OG0000214	XP_017792781.1, XP_017792782.1	NP_001247324.1
OG0000215	XP_017796692.1, XP_017796575.1	NP_649139.1
OG0000216	XP_017793604.1	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1
OG0000217	XP_017789113.1	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1
OG0000218	XP_017795109.1	NP_649086.2
OG0000219	XP_017788174.1, XP_017788173.1, XP_017788171.1, XP_017788172.1, XP_017788169.1, XP_017788170.1	NP_610764.1
OG0000220	XP_017792512.1	NP_650528.1
OG0000221	XP_017798983.1, XP_017799229.1	NP_001036320.3
OG0000223	XP_017794139.1	NP_523986.2
OG0000223	XP_017796406.1	NP_524142.2, NP_524141.1
OG0000224	XP_017797256.1	NP_647862.1, NP_728942.1
OG0000225	XP_017798161.1, XP_017796348.1	NP_536756.1
OG0000226	XP_017788751.1	NP_001356958.1
OG0000226	XP_017788770.1	NP_611241.2
OG0000227	XP_017791515.1	NP_001262022.1
OG0000229	XP_017794169.1	NP_726223.1, NP_001303360.1, NP_001246468.1
OG0000230	XP_017788896.1	NP_001286852.1
OG0000231	XP_017789953.1	NP_650028.1, NP_650029.1, NP_001285882.1
OG0000232	XP_017787985.1	NP_001303567.1
OG0000233	XP_017798941.1	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1
OG0000234	XP_017797661.1, XP_017797660.1, XP_017797559.1	NP_726740.1, NP_649880.1, NP_649881.1
OG0000235	XP_017795898.1, XP_017795906.1	NP_001261046.1
OG0000236	XP_017796614.1	NP_524368.5
OG0000237	XP_017794664.1	NP_523863.1
OG0000237	XP_017794663.1	NP_523862.1
OG0000239	XP_017788956.1, XP_017788957.1, XP_017788955.1	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1
OG0000241	XP_017793226.1, XP_017793227.1, XP_017793317.1, XP_017793318.1, XP_017793285.1, XP_017797037.1	NP_001097059.1, NP_647821.2, NP_001285749.1
OG0000243	XP_017797616.1	NP_608584.1, NP_523761.2
OG0000244	XP_017798659.1	NP_610117.1
OG0000245	XP_017796958.1, XP_017796963.1	NP_476812.1, NP_610443.1, NP_524760.1
OG0000246	XP_017787631.1	NP_724163.1
OG0000246	XP_017787636.1	NP_476592.1
OG0000247	XP_017790662.1	NP_651898.2, NP_001096949.1
OG0000247	XP_017790661.1	NP_649833.1, NP_648548.1
OG0000249	XP_017795192.1	NP_572996.1
OG0000250	XP_017791430.1, XP_017790978.1, XP_017797061.1	NP_650508.1, NP_001285102.1
OG0000252	XP_017797270.1, XP_017797289.1, XP_017797280.1	NP_730950.2
OG0000253	XP_017796608.1	NP_001162737.1
OG0000253	XP_017795187.1	NP_001263132.1
OG0000254	XP_017789988.1	NP_732295.1
OG0000254	XP_017793665.1	NP_001368946.1
OG0000255	XP_017793024.1	NP_001033900.2, NP_572436.1
OG0000256	XP_017799058.1	NP_732900.1
OG0000257	XP_017797798.1	NP_001262861.1
OG0000257	XP_017797796.1	NP_001287485.1
OG0000259	XP_017787619.1	NP_723538.3
OG0000260	XP_017797942.1, XP_017797440.1	NP_001261383.1
OG0000261	XP_017796472.1	NP_001286161.1, NP_610318.1, NP_610319.2
OG0000263	XP_017793038.1	NP_001285111.1
OG0000264	XP_017789982.1	NP_001033939.2
OG0000264	XP_017790586.1, XP_017790587.1	NP_476735.1
OG0000266	XP_017799566.1	NP_524387.1
OG0000266	XP_017789615.1	NP_001285202.1
OG0000269	XP_017794671.1	NP_001284901.1
OG0000270	XP_017790438.1, XP_017790393.1	NP_001034048.2
OG0000270	XP_017790436.1	NP_001163596.2
OG0000271	XP_017796506.1	NP_001014620.1, NP_731788.1, NP_731790.1
OG0000272	XP_017787885.1	NP_995675.1
OG0000272	XP_017794633.1	NP_001162795.1, NP_001356885.1
OG0000273	XP_017796843.1, XP_017791956.1	NP_001097437.1
OG0000274	XP_017788622.1	NP_001014485.3
OG0000274	XP_017790712.1	NP_001036681.1
OG0000275	XP_017791259.1	NP_648909.1
OG0000276	XP_017793212.1	NP_649535.2
OG0000277	XP_017798618.1, XP_017798619.1, XP_017798620.1	NP_647800.1
OG0000278	XP_017793717.1	NP_612039.1, NP_647794.1
OG0000279	XP_017788771.1	NP_001137708.2, NP_001356890.1
OG0000281	XP_017793218.1	NP_001350861.1
OG0000283	XP_017790766.1	NP_001286595.1
OG0000284	XP_017791641.1	NP_727448.1
OG0000284	XP_017793660.1, XP_017792010.1	NP_001259432.1
OG0000285	XP_017798151.1	NP_001163186.1
OG0000286	XP_017792533.1, XP_017792535.1, XP_017792536.1, XP_017792537.1, XP_017792538.1, XP_017792539.1, XP_017792534.1	NP_729792.1
OG0000287	XP_017788179.1	NP_001036660.1, NP_001260729.1
OG0000288	XP_017789073.1	NP_476934.2
OG0000288	XP_017788636.1	NP_001188784.1
OG0000289	XP_017799003.1	NP_001303316.1
OG0000291	XP_017793299.1	NP_648883.1, NP_648882.1
OG0000292	XP_017796966.1	NP_612066.1
OG0000293	XP_017796745.1	NP_649119.2, NP_001262050.1
OG0000295	XP_017795274.1, XP_017795266.1	NP_611878.1
OG0000296	XP_017788651.1, XP_017788659.1, XP_017788642.1	NP_573076.1, NP_001096988.2
OG0000297	XP_017790136.1	NP_651265.1
OG0000298	XP_017790769.1, XP_017790767.1	NP_650963.2
OG0000300	XP_017794224.1, XP_017794223.1	NP_648000.1
OG0000300	XP_017790327.1	NP_001285398.1
OG0000301	XP_017798433.1	NP_572721.1
OG0000301	XP_017789978.1	NP_525031.1
OG0000302	XP_017797066.1	NP_001246314.1
OG0000302	XP_017789605.1	NP_730054.1
OG0000303	XP_017798322.1	NP_609514.1, NP_730670.1, NP_572924.1, NP_730671.1, NP_648026.1
OG0000304	XP_017799529.1	NP_788277.1
OG0000305	XP_017790464.1	NP_001284764.1, NP_650013.3, NP_650012.2
OG0000307	XP_017794904.1, XP_017794906.1, XP_017794905.1	NP_650089.1
OG0000308	XP_017790044.1	NP_001261704.1
OG0000309	XP_017798375.1	NP_651063.1
OG0000310	XP_017796412.1	NP_001286754.1
OG0000311	XP_017792683.1	NP_477380.1
OG0000312	XP_017790961.1, XP_017795474.1	NP_001286891.1
OG0000313	XP_017787470.1, XP_017787453.1	NP_001262580.1, NP_727588.2
OG0000314	XP_017796592.1	NP_611815.3
OG0000314	XP_017796594.1	NP_001287244.1
OG0000316	XP_017787626.1	NP_723502.2, NP_611157.1
OG0000316	XP_017788611.1	NP_611470.1
OG0000317	XP_017789247.1	NP_732413.1
OG0000318	XP_017794915.1	NP_609354.1
OG0000319	XP_017793487.1	NP_523751.2
OG0000320	XP_017798550.1	NP_001285825.1, NP_476734.1
OG0000321	XP_017794268.1	NP_523551.1
OG0000322	XP_017791003.1	NP_996040.1
OG0000322	XP_017792259.1, XP_017792257.1, XP_017792260.1	NP_649068.1
OG0000323	XP_017793291.1, XP_017793301.1	NP_524359.2
OG0000324	XP_017796882.1	NP_001189070.1
OG0000326	XP_017796830.1, XP_017795870.1	NP_001246635.1
OG0000327	XP_017793298.1	NP_001246651.1
OG0000330	XP_017787722.1	NP_523672.1
OG0000331	XP_017798011.1	NP_572986.1, NP_001285254.1, NP_001285253.1
OG0000332	XP_017792113.1	NP_651838.1
OG0000333	XP_017797214.1, XP_017796435.1	NP_731787.1, NP_650273.2, NP_650274.2
OG0000334	XP_017792528.1	NP_001260523.1, NP_724023.1, NP_001097168.1, NP_609817.1
OG0000335	XP_017792772.1	NP_608439.2, NP_001285956.1
OG0000336	XP_017798007.1, XP_017788072.1	NP_001286141.1
OG0000337	XP_017793012.1	NP_001097630.2
OG0000338	XP_017791744.1	NP_001303553.1, NP_728030.2
OG0000338	XP_017792145.1	NP_001245442.1, NP_001285408.1
OG0000339	XP_017790714.1	NP_649788.2
OG0000339	XP_017797978.1, XP_017797977.1	NP_001245907.1
OG0000340	XP_017794738.1	NP_726025.1, NP_611123.2
OG0000341	XP_017797340.1, XP_017797341.1	NP_001284896.1
OG0000342	XP_017793328.1	NP_649266.1
OG0000344	XP_017788369.1	NP_001246528.1
OG0000345	XP_017789387.1, XP_017789386.1, XP_017789385.1	NP_610946.1
OG0000347	XP_017796917.1	NP_608720.2, NP_608717.2, NP_001285425.1, NP_608723.2, NP_610360.2, NP_609258.1
OG0000349	XP_017792810.1	NP_650967.2
OG0000350	XP_017795578.1	NP_726992.2
OG0000351	XP_017796142.1	NP_001286398.1
OG0000352	XP_017789207.1, XP_017789128.1	NP_001259266.1
OG0000356	XP_017795527.1, XP_017795525.1	NP_001163468.1, NP_728338.2
OG0000357	XP_017797704.1	NP_001137674.2
OG0000358	XP_017791660.1	NP_001286927.1
OG0000360	XP_017796307.1	NP_001246235.1
