Orthogroup	Habropoda_laboriosa	Vespa_mandarinia
OG0000019	XP_017788514.1	XP_035726985.1
OG0000020	XP_017791573.1	XP_035723591.1
OG0000020	XP_017790081.1	XP_035725275.1
OG0000020	XP_017794423.1	XP_035728836.1
OG0000020	XP_017793275.1, XP_017796526.1	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1
OG0000021	XP_017798657.1	XP_035729141.1
OG0000021	XP_017790331.1	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1
OG0000021	XP_017790276.1	XP_035723530.1
OG0000021	XP_017787416.1	XP_035723165.1, XP_035723164.1
OG0000021	XP_017798692.1	XP_035729144.1
OG0000022	XP_017795686.1	XP_035725916.1
OG0000022	XP_017798138.1	XP_035721830.1
OG0000022	XP_017799306.1	XP_035735991.1, XP_035732965.1
OG0000023	XP_017799140.1	XP_035735257.1, XP_035725926.1, XP_035725925.1, XP_035725924.1, XP_035725922.1
OG0000024	XP_017798115.1	XP_035742194.1
OG0000024	XP_017788217.1	XP_035728675.1, XP_035728676.1, XP_035728677.1
OG0000025	XP_017796822.1, XP_017795782.1, XP_017795848.1	XP_035731230.1, XP_035723148.1, XP_035733844.1, XP_035727538.1, XP_035737739.1
OG0000025	XP_017791901.1	XP_035744177.1, XP_035744179.1, XP_035744180.1, XP_035744178.1
OG0000025	XP_017795708.1	XP_035723709.1
OG0000025	XP_017791900.1	XP_035720880.1, XP_035742374.1, XP_035725548.1, XP_035737742.1
OG0000026	XP_017799538.1	XP_035728457.1
OG0000026	XP_017790381.1	XP_035718093.1, XP_035718094.1
OG0000027	XP_017799307.1	XP_035732973.1, XP_035725930.1
OG0000029	XP_017798436.1	XP_035737588.1
OG0000030	XP_017799391.1, XP_017799392.1	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1
OG0000030	XP_017791372.1	XP_035723581.1
OG0000032	XP_017791965.1	XP_035723151.1
OG0000032	XP_017790226.1	XP_035730167.1
OG0000034	XP_017795546.1, XP_017795548.1, XP_017795547.1	XP_035741912.1, XP_035741914.1
OG0000035	XP_017797282.1	XP_035731371.1
OG0000036	XP_017791824.1	XP_035729817.1
OG0000036	XP_017791822.1	XP_035729794.1
OG0000037	XP_017798855.1	XP_035725074.1
OG0000038	XP_017789191.1, XP_017795058.1	XP_035735001.1, XP_035735000.1
OG0000038	XP_017791877.1	XP_035739586.1
OG0000038	XP_017796596.1	XP_035727166.1
OG0000038	XP_017796281.1	XP_035733817.1
OG0000039	XP_017793816.1	XP_035742491.1, XP_035738048.1, XP_035739234.1, XP_035741853.1, XP_035742781.1, XP_035742675.1, XP_035742780.1
OG0000040	XP_017793196.1	XP_035729456.1
OG0000040	XP_017797297.1, XP_017797034.1	XP_035742485.1
OG0000040	XP_017789776.1	XP_035725216.1
OG0000041	XP_017795667.1, XP_017795668.1	XP_035743035.1
OG0000041	XP_017796748.1	XP_035742719.1
OG0000041	XP_017796749.1	XP_035742718.1, XP_035742717.1
OG0000042	XP_017797246.1	XP_035732212.1
OG0000043	XP_017797621.1	XP_035731122.1
OG0000043	XP_017794273.1	XP_035718657.1
OG0000044	XP_017792515.1	XP_035717273.1
OG0000044	XP_017792514.1	XP_035744089.1, XP_035744088.1
OG0000045	XP_017797443.1	XP_035720478.1, XP_035720481.1, XP_035720479.1
OG0000045	XP_017797444.1	XP_035720482.1
OG0000045	XP_017793667.1	XP_035742841.1
OG0000046	XP_017789468.1	XP_035742705.1
OG0000046	XP_017790988.1	XP_035734549.1
OG0000046	XP_017792943.1	XP_035728851.1, XP_035728840.1
OG0000048	XP_017799483.1	XP_035728121.1
OG0000048	XP_017799488.1	XP_035728382.1
OG0000050	XP_017787690.1	XP_035718383.1
OG0000052	XP_017790871.1	XP_035730522.1
OG0000052	XP_017790994.1	XP_035729830.1, XP_035729829.1, XP_035729805.1
OG0000052	XP_017798778.1	XP_035743009.1, XP_035743008.1
OG0000053	XP_017795064.1	XP_035741492.1, XP_035735020.1
OG0000053	XP_017797143.1	XP_035739246.1
OG0000054	XP_017797421.1	XP_035724338.1
OG0000054	XP_017797389.1, XP_017797390.1	XP_035724099.1, XP_035724441.1
OG0000055	XP_017799533.1	XP_035726348.1, XP_035726347.1
OG0000055	XP_017789854.1	XP_035720014.1
OG0000056	XP_017795795.1	XP_035726130.1
OG0000056	XP_017792816.1	XP_035718477.1
OG0000056	XP_017792926.1	XP_035728622.1
OG0000056	XP_017789030.1	XP_035733992.1
OG0000056	XP_017792979.1	XP_035729096.1
OG0000057	XP_017798095.1	XP_035734097.1
OG0000057	XP_017798766.1	XP_035721261.1
OG0000057	XP_017798094.1	XP_035734267.1, XP_035734266.1
OG0000057	XP_017798097.1	XP_035734264.1
OG0000057	XP_017798098.1	XP_035734268.1
OG0000058	XP_017799435.1, XP_017795874.1, XP_017799434.1, XP_017787376.1	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1
OG0000060	XP_017787543.1	XP_035730103.1
OG0000060	XP_017792478.1	XP_035738199.1, XP_035738201.1, XP_035738202.1
OG0000061	XP_017788550.1, XP_017795246.1	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1
OG0000062	XP_017794533.1	XP_035728895.1
OG0000062	XP_017794445.1	XP_035728894.1
OG0000062	XP_017794580.1, XP_017794526.1	XP_035728892.1
OG0000064	XP_017794588.1, XP_017796982.1, XP_017794413.1, XP_017794592.1, XP_017794416.1, XP_017797020.1, XP_017794589.1, XP_017797125.1, XP_017797050.1, XP_017794414.1, XP_017797092.1, XP_017794590.1, XP_017797021.1, XP_017797022.1, XP_017797090.1, XP_017794415.1, XP_017797051.1, XP_017792749.1, XP_017794593.1, XP_017796353.1, XP_017797093.1, XP_017794417.1, XP_017794418.1	XP_035728239.1, XP_035741915.1, XP_035741916.1, XP_035741917.1
OG0000065	XP_017793945.1	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1
OG0000067	XP_017790603.1	XP_035734988.1
OG0000067	XP_017794658.1	XP_035729269.1
OG0000067	XP_017795551.1	XP_035718759.1
OG0000067	XP_017794648.1	XP_035729165.1
OG0000067	XP_017787992.1	XP_035724654.1
OG0000069	XP_017795598.1, XP_017795596.1, XP_017795597.1, XP_017795595.1	XP_035737423.1
OG0000069	XP_017795600.1	XP_035737135.1
OG0000070	XP_017795126.1	XP_035741503.1, XP_035741697.1, XP_035741696.1
OG0000073	XP_017792787.1	XP_035733744.1
OG0000074	XP_017797397.1	XP_035719932.1, XP_035736547.1
OG0000075	XP_017794503.1	XP_035737766.1, XP_035725545.1, XP_035722714.1
OG0000077	XP_017797118.1, XP_017795753.1	XP_035738027.1
OG0000077	XP_017789897.1	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1
OG0000078	XP_017792652.1	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1
OG0000079	XP_017787942.1	XP_035741820.1
OG0000079	XP_017787939.1	XP_035741817.1
OG0000080	XP_017798424.1	XP_035724002.1
OG0000080	XP_017798422.1	XP_035722996.1
OG0000081	XP_017796643.1	XP_035739549.1, XP_035739551.1, XP_035739552.1
OG0000082	XP_017797683.1	XP_035733049.1
OG0000084	XP_017792624.1	XP_035738869.1
OG0000084	XP_017792708.1	XP_035739145.1
OG0000085	XP_017790689.1	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1
OG0000085	XP_017793167.1	XP_035737189.1
OG0000086	XP_017787894.1	XP_035718518.1
OG0000086	XP_017791806.1	XP_035737219.1, XP_035737220.1
OG0000087	XP_017792917.1	XP_035734892.1
OG0000087	XP_017792908.1	XP_035735028.1
OG0000088	XP_017789815.1	XP_035718097.1
OG0000089	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1	XP_035732042.1
OG0000089	XP_017798058.1	XP_035729577.1
OG0000090	XP_017795987.1, XP_017793833.1	XP_035719369.1
OG0000091	XP_017792668.1, XP_017792670.1	XP_035743855.1
OG0000092	XP_017799316.1	XP_035729950.1
OG0000092	XP_017789003.1, XP_017789058.1, XP_017789059.1	XP_035719716.1, XP_035719715.1
OG0000092	XP_017788769.1	XP_035718227.1
OG0000094	XP_017798959.1	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1
OG0000094	XP_017791335.1	XP_035729864.1
OG0000095	XP_017790301.1	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1
OG0000096	XP_017798525.1	XP_035735801.1
OG0000096	XP_017796013.1	XP_035724668.1, XP_035724666.1
OG0000097	XP_017791424.1, XP_017791423.1	XP_035742312.1, XP_035742314.1, XP_035742313.1
OG0000097	XP_017793649.1	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1
OG0000098	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1	XP_035733072.1, XP_035733137.1
OG0000099	XP_017796840.1	XP_035723282.1, XP_035723292.1, XP_035723300.1
OG0000099	XP_017796299.1, XP_017796300.1	XP_035721767.1
OG0000099	XP_017791883.1	XP_035729911.1
OG0000100	XP_017794869.1	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1
OG0000101	XP_017793334.1	XP_035724161.1
OG0000102	XP_017787422.1	XP_035722712.1
OG0000102	XP_017787495.1	XP_035722713.1
OG0000103	XP_017793916.1	XP_035728991.1
OG0000103	XP_017793918.1	XP_035729002.1, XP_035728999.1
OG0000103	XP_017793920.1	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1
OG0000106	XP_017794550.1	XP_035736824.1
OG0000106	XP_017797471.1	XP_035733484.1
OG0000107	XP_017793002.1	XP_035735907.1
OG0000108	XP_017797595.1	XP_035729104.1, XP_035729105.1
OG0000109	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1
OG0000110	XP_017794692.1	XP_035727648.1, XP_035727647.1
OG0000110	XP_017797747.1	XP_035738900.1
OG0000111	XP_017797783.1, XP_017787491.1	XP_035718068.1
OG0000111	XP_017793968.1	XP_035719146.1
OG0000112	XP_017793364.1	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1
OG0000112	XP_017790673.1	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1
OG0000113	XP_017798381.1	XP_035724028.1
OG0000113	XP_017798181.1	XP_035725454.1
OG0000114	XP_017792121.1	XP_035719468.1
OG0000115	XP_017797018.1	XP_035719374.1
OG0000115	XP_017795994.1	XP_035728117.1
OG0000116	XP_017799593.1	XP_035728572.1, XP_035728573.1
OG0000116	XP_017799604.1	XP_035728508.1, XP_035728506.1, XP_035728507.1
OG0000117	XP_017791704.1	XP_035721151.1
OG0000117	XP_017797358.1	XP_035728960.1
OG0000119	XP_017787392.1	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1
OG0000120	XP_017794605.1	XP_035743508.1
OG0000122	XP_017798532.1	XP_035742190.1
OG0000122	XP_017799142.1	XP_035722129.1
OG0000122	XP_017793619.1	XP_035738975.1
OG0000122	XP_017793618.1	XP_035738980.1
OG0000123	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1	XP_035725246.1, XP_035725252.1
OG0000124	XP_017789119.1	XP_035724659.1
OG0000125	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1, XP_017795819.1	XP_035743368.1, XP_035743367.1
OG0000126	XP_017792776.1	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1
OG0000127	XP_017799036.1, XP_017799037.1	XP_035726611.1, XP_035726612.1, XP_035720274.1
OG0000127	XP_017799080.1	XP_035726374.1
OG0000129	XP_017792739.1	XP_035741994.1, XP_035741995.1
OG0000130	XP_017787765.1	XP_035721963.1
OG0000130	XP_017789002.1	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1
OG0000130	XP_017791658.1	XP_035721444.1
OG0000131	XP_017790302.1	XP_035742296.1
OG0000131	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1	XP_035733339.1, XP_035733338.1
OG0000132	XP_017798108.1	XP_035721782.1, XP_035721781.1
OG0000132	XP_017798132.1	XP_035732604.1
OG0000133	XP_017788158.1	XP_035741242.1
OG0000134	XP_017789975.1	XP_035740651.1
OG0000135	XP_017799029.1	XP_035717163.1
OG0000135	XP_017788492.1	XP_035725594.1
OG0000136	XP_017788204.1, XP_017788203.1	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1
OG0000137	XP_017797492.1	XP_035738396.1
OG0000137	XP_017788948.1	XP_035732267.1
OG0000138	XP_017794346.1	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1
OG0000138	XP_017793300.1	XP_035722005.1
OG0000139	XP_017787697.1	XP_035719417.1, XP_035719753.1
OG0000140	XP_017798552.1	XP_035720742.1, XP_035720741.1
OG0000141	XP_017794696.1	XP_035723074.1, XP_035723075.1, XP_035723073.1
OG0000141	XP_017797914.1	XP_035722354.1, XP_035722355.1
OG0000141	XP_017787810.1	XP_035722392.1, XP_035722391.1
OG0000143	XP_017790512.1	XP_035726588.1
OG0000143	XP_017790495.1	XP_035726587.1, XP_035726585.1, XP_035726586.1
OG0000144	XP_017797955.1	XP_035721747.1
OG0000145	XP_017788300.1	XP_035739706.1, XP_035739705.1
OG0000145	XP_017797568.1	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1
OG0000146	XP_017794829.1, XP_017789218.1	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1
OG0000147	XP_017799321.1	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1
OG0000147	XP_017792150.1, XP_017792149.1, XP_017792148.1	XP_035734708.1
OG0000149	XP_017788095.1	XP_035726837.1
OG0000149	XP_017788073.1	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1
OG0000150	XP_017787586.1, XP_017787587.1	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1
OG0000151	XP_017798042.1, XP_017798041.1	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1
OG0000152	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1	XP_035722053.1
OG0000153	XP_017797758.1	XP_035727062.1
OG0000154	XP_017795372.1	XP_035743057.1, XP_035743056.1
OG0000156	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1	XP_035723493.1
OG0000157	XP_017788939.1	XP_035732282.1
OG0000157	XP_017788698.1	XP_035732281.1
OG0000158	XP_017793670.1	XP_035740201.1
OG0000158	XP_017793698.1, XP_017793668.1, XP_017793669.1	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1
OG0000160	XP_017795191.1	XP_035723999.1
OG0000160	XP_017792249.1	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1
OG0000161	XP_017791738.1	XP_035719666.1, XP_035719656.1, XP_035719675.1
OG0000162	XP_017797980.1	XP_035731205.1
OG0000162	XP_017787385.1	XP_035740246.1, XP_035740247.1
OG0000164	XP_017797560.1, XP_017797561.1	XP_035732024.1
OG0000165	XP_017789911.1	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1
OG0000165	XP_017795542.1	XP_035734576.1
OG0000166	XP_017790571.1, XP_017790565.1, XP_017790567.1, XP_017790564.1, XP_017790576.1	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1
OG0000167	XP_017795285.1	XP_035725133.1, XP_035725137.1
OG0000168	XP_017788116.1	XP_035736898.1
OG0000168	XP_017797231.1	XP_035731474.1
OG0000169	XP_017797588.1	XP_035729296.1
OG0000170	XP_017790362.1	XP_035742479.1
OG0000171	XP_017787774.1	XP_035741201.1, XP_035741202.1
OG0000171	XP_017787850.1, XP_017787824.1	XP_035741205.1, XP_035741206.1
OG0000172	XP_017792473.1, XP_017792475.1, XP_017792474.1, XP_017792472.1, XP_017792476.1	XP_035738100.1, XP_035738101.1
OG0000173	XP_017794775.1, XP_017794776.1	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1
OG0000174	XP_017798800.1	XP_035731433.1
OG0000175	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1
OG0000176	XP_017790348.1	XP_035737411.1
OG0000177	XP_017795594.1	XP_035739406.1
OG0000177	XP_017795592.1	XP_035739374.1
OG0000177	XP_017795589.1	XP_035739564.1
OG0000178	XP_017790433.1	XP_035725180.1
OG0000179	XP_017791990.1	XP_035741505.1
OG0000179	XP_017791524.1	XP_035719102.1, XP_035719101.1
OG0000179	XP_017799324.1	XP_035737641.1
OG0000180	XP_017787401.1, XP_017787400.1, XP_017787399.1	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1
OG0000181	XP_017792968.1	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1
OG0000182	XP_017794377.1	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1
OG0000183	XP_017795084.1	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1
OG0000183	XP_017796132.1	XP_035739701.1
OG0000185	XP_017797731.1	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1
OG0000186	XP_017790553.1, XP_017790555.1	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1
OG0000187	XP_017797342.1	XP_035731676.1, XP_035731677.1
OG0000188	XP_017794866.1	XP_035731793.1
OG0000188	XP_017791383.1	XP_035740046.1
OG0000189	XP_017795367.1	XP_035728865.1
OG0000189	XP_017787964.1, XP_017787967.1	XP_035728855.1
OG0000190	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_035728040.1, XP_035728039.1
OG0000191	XP_017795883.1	XP_035735127.1
OG0000192	XP_017792725.1	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1
OG0000194	XP_017799440.1	XP_035728644.1
OG0000194	XP_017799442.1	XP_035728648.1
OG0000194	XP_017799441.1	XP_035728646.1
OG0000194	XP_017799437.1	XP_035728547.1
OG0000196	XP_017791305.1	XP_035720910.1
OG0000198	XP_017787675.1	XP_035723755.1
OG0000199	XP_017792901.1	XP_035729157.1
OG0000200	XP_017790004.1, XP_017790003.1	XP_035719894.1, XP_035719895.1
OG0000200	XP_017793346.1, XP_017793347.1	XP_035718373.1
OG0000201	XP_017790031.1	XP_035742700.1
OG0000202	XP_017791030.1	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1
OG0000202	XP_017795643.1	XP_035742672.1, XP_035742669.1, XP_035742670.1
OG0000203	XP_017794211.1	XP_035739190.1
OG0000203	XP_017790332.1	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1
OG0000204	XP_017788993.1	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1
OG0000205	XP_017788047.1	XP_035727194.1, XP_035727191.1, XP_035727193.1
OG0000206	XP_017794929.1	XP_035731791.1
OG0000206	XP_017794889.1, XP_017794888.1, XP_017794887.1	XP_035731805.1
OG0000207	XP_017793342.1	XP_035718709.1
OG0000207	XP_017791361.1	XP_035726226.1
OG0000207	XP_017791356.1	XP_035726227.1
OG0000208	XP_017791349.1	XP_035726225.1
OG0000208	XP_017796380.1	XP_035721855.1
OG0000209	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1	XP_035728112.1
OG0000210	XP_017789022.1	XP_035733688.1
OG0000210	XP_017790992.1	XP_035732804.1
OG0000210	XP_017789769.1	XP_035723457.1
OG0000212	XP_017795959.1	XP_035737335.1
OG0000212	XP_017793987.1, XP_017793986.1	XP_035737458.1
OG0000213	XP_017789586.1	XP_035723104.1
OG0000214	XP_017794266.1	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1
OG0000214	XP_017792781.1, XP_017792782.1	XP_035741447.1, XP_035741444.1
OG0000215	XP_017796692.1	XP_035724895.1, XP_035724894.1
OG0000215	XP_017796575.1	XP_035724898.1, XP_035724897.1
OG0000216	XP_017793604.1	XP_035724451.1
OG0000217	XP_017789113.1	XP_035740471.1
OG0000218	XP_017795109.1	XP_035726856.1
OG0000219	XP_017788174.1, XP_017788173.1, XP_017788171.1, XP_017788172.1, XP_017788169.1, XP_017788170.1	XP_035741255.1, XP_035741253.1, XP_035741259.1, XP_035741260.1, XP_035741251.1, XP_035741257.1, XP_035741254.1, XP_035741252.1, XP_035741256.1
OG0000220	XP_017792512.1	XP_035717455.1, XP_035717452.1, XP_035717450.1, XP_035717454.1, XP_035717453.1
OG0000221	XP_017798983.1, XP_017799229.1	XP_035721735.1
OG0000223	XP_017794139.1	XP_035733807.1
OG0000223	XP_017796406.1	XP_035722636.1
OG0000225	XP_017798161.1	XP_035734246.1, XP_035734248.1
OG0000225	XP_017796348.1	XP_035742936.1
OG0000227	XP_017791515.1	XP_035735426.1
OG0000228	XP_017791917.1	XP_035731235.1
OG0000229	XP_017794169.1	XP_035730748.1, XP_035730749.1, XP_035731006.1, XP_035731009.1
OG0000231	XP_017789953.1	XP_035738625.1, XP_035738626.1, XP_035738627.1
OG0000232	XP_017787985.1	XP_035727361.1, XP_035727359.1, XP_035727360.1
OG0000233	XP_017798941.1	XP_035718297.1
OG0000234	XP_017797661.1, XP_017797660.1	XP_035726727.1
OG0000235	XP_017795898.1, XP_017795906.1	XP_035729544.1, XP_035729549.1, XP_035729541.1
OG0000236	XP_017796613.1	XP_035735169.1
OG0000236	XP_017796614.1	XP_035735167.1
OG0000237	XP_017794664.1	XP_035740253.1
OG0000237	XP_017794663.1	XP_035740306.1
OG0000240	XP_017787807.1, XP_017787848.1	XP_035741192.1, XP_035741079.1
OG0000243	XP_017797616.1	XP_035719823.1, XP_035719832.1
OG0000244	XP_017798659.1	XP_035735677.1, XP_035735674.1, XP_035735678.1, XP_035735673.1, XP_035735676.1, XP_035735675.1
OG0000245	XP_017796958.1, XP_017796963.1	XP_035726439.1
OG0000246	XP_017787631.1	XP_035739647.1
OG0000246	XP_017787636.1	XP_035722551.1, XP_035722552.1, XP_035722553.1
OG0000247	XP_017790661.1	XP_035732193.1
OG0000248	XP_017792985.1	XP_035739829.1
OG0000249	XP_017795192.1	XP_035744085.1, XP_035717767.1
OG0000250	XP_017790978.1	XP_035723650.1
OG0000250	XP_017797566.1	XP_035723432.1, XP_035723431.1, XP_035723434.1, XP_035723433.1
OG0000251	XP_017793287.1, XP_017795052.1	XP_035723813.1
