Orthogroup	Habropoda_laboriosa	Nomia_melanderi
OG0000036	XP_017791523.1, XP_017791522.1	XP_031849986.1, XP_031850071.1
OG0000037	XP_017798855.1	XP_031838355.1
OG0000038	XP_017789191.1	XP_031848143.1
OG0000038	XP_017795058.1	XP_031835042.1
OG0000038	XP_017796401.1	XP_031833332.1
OG0000038	XP_017791877.1	XP_031825712.1
OG0000038	XP_017796596.1	XP_031847407.1
OG0000038	XP_017796281.1	XP_031844860.1
OG0000038	XP_017796681.1, XP_017796680.1	XP_031842989.1, XP_031842986.1
OG0000039	XP_017793816.1	XP_031848932.1, XP_031848981.1
OG0000040	XP_017797294.1	XP_031843292.1
OG0000040	XP_017797297.1, XP_017797034.1	XP_031847213.1
OG0000041	XP_017795667.1, XP_017795668.1	XP_031836959.1, XP_031836960.1
OG0000041	XP_017796749.1	XP_031848908.1, XP_031828119.1, XP_031828107.1
OG0000042	XP_017797246.1	XP_031842358.1
OG0000043	XP_017797621.1	XP_031842101.1
OG0000043	XP_017793787.1	XP_031831863.1, XP_031831864.1
OG0000043	XP_017793789.1	XP_031831862.1
OG0000043	XP_017794273.1	XP_031828007.1
OG0000044	XP_017792515.1	XP_031831328.1
OG0000044	XP_017792527.1, XP_017792526.1	XP_031848718.1, XP_031848716.1, XP_031848717.1
OG0000045	XP_017797443.1	XP_031836513.1
OG0000045	XP_017797444.1	XP_031836517.1, XP_031836516.1, XP_031836515.1
OG0000045	XP_017793667.1	XP_031833680.1
OG0000046	XP_017789468.1	XP_031849512.1
OG0000046	XP_017790988.1	XP_031844716.1
OG0000046	XP_017792943.1	XP_031825836.1
OG0000046	XP_017788243.1	XP_031827836.1
OG0000048	XP_017799479.1	XP_031848640.1
OG0000048	XP_017799481.1	XP_031848646.1
OG0000048	XP_017799488.1	XP_031844144.1
OG0000048	XP_017787394.1	XP_031848637.1
OG0000050	XP_017787690.1	XP_031826510.1, XP_031826305.1, XP_031826306.1
OG0000052	XP_017790871.1	XP_031831624.1, XP_031831623.1
OG0000053	XP_017796105.1	XP_031836323.1
OG0000053	XP_017795064.1, XP_017788510.1, XP_017795065.1, XP_017797143.1	XP_031848020.1
OG0000054	XP_017797421.1	XP_031843412.1
OG0000054	XP_017797389.1	XP_031843397.1
OG0000054	XP_017797390.1	XP_031843398.1
OG0000055	XP_017799533.1	XP_031825307.1
OG0000055	XP_017789854.1	XP_031844409.1
OG0000055	XP_017787951.1, XP_017787952.1	XP_031846127.1
OG0000055	XP_017791354.1	XP_031827062.1
OG0000056	XP_017795795.1	XP_031840201.1
OG0000056	XP_017792816.1	XP_031838488.1
OG0000056	XP_017792926.1	XP_031846527.1
OG0000056	XP_017789030.1	XP_031838897.1
OG0000056	XP_017792979.1	XP_031835578.1
OG0000057	XP_017798095.1	XP_031845337.1
OG0000057	XP_017798766.1	XP_031832931.1
OG0000057	XP_017798094.1	XP_031845460.1
OG0000057	XP_017798097.1	XP_031845459.1
OG0000057	XP_017798098.1	XP_031845030.1
OG0000058	XP_017799435.1, XP_017795874.1, XP_017799434.1, XP_017787376.1	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1
OG0000060	XP_017787543.1	XP_031827529.1, XP_031827528.1
OG0000060	XP_017792478.1	XP_031827527.1
OG0000061	XP_017799273.1	XP_031839331.1
OG0000061	XP_017788550.1, XP_017795246.1	XP_031838029.1, XP_031840063.1
OG0000062	XP_017794533.1	XP_031836310.1
OG0000062	XP_017794504.1	XP_031836308.1
OG0000062	XP_017794445.1	XP_031836306.1
OG0000062	XP_017794580.1	XP_031836307.1
OG0000062	XP_017794526.1	XP_031836020.1
OG0000065	XP_017793945.1	XP_031830877.1
OG0000065	XP_017793851.1	XP_031830875.1
OG0000067	XP_017790603.1	XP_031834066.1
OG0000067	XP_017794658.1	XP_031837355.1
OG0000067	XP_017795551.1	XP_031838504.1
OG0000067	XP_017794648.1	XP_031837354.1
OG0000067	XP_017787992.1	XP_031845953.1
OG0000069	XP_017795598.1, XP_017795596.1, XP_017795597.1, XP_017795595.1	XP_031829088.1, XP_031829087.1
OG0000069	XP_017795599.1	XP_031829093.1, XP_031829089.1
OG0000069	XP_017795600.1	XP_031829094.1
OG0000070	XP_017795125.1	XP_031841704.1, XP_031841650.1, XP_031841664.1, XP_031841675.1, XP_031841808.1, XP_031843606.1
OG0000070	XP_017795128.1	XP_031841689.1
OG0000070	XP_017795126.1	XP_031839945.1, XP_031848755.1, XP_031848754.1
OG0000073	XP_017793055.1, XP_017793138.1	XP_031842058.1, XP_031837430.1
OG0000074	XP_017797397.1	XP_031849072.1
OG0000075	XP_017792483.1, XP_017795752.1	XP_031826514.1
OG0000076	XP_017797031.1, XP_017795922.1	XP_031848811.1
OG0000076	XP_017796723.1	XP_031842248.1
OG0000077	XP_017797118.1, XP_017795753.1	XP_031841494.1, XP_031841485.1
OG0000077	XP_017789897.1	XP_031831897.1
OG0000078	XP_017792652.1	XP_031834906.1, XP_031834907.1
OG0000078	XP_017792653.1, XP_017792695.1	XP_031840328.1
OG0000079	XP_017787942.1, XP_017787943.1	XP_031846019.1
OG0000080	XP_017798424.1	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1
OG0000080	XP_017798328.1	XP_031826836.1, XP_031826837.1
OG0000080	XP_017798422.1	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1
OG0000081	XP_017796643.1	XP_031847372.1
OG0000082	XP_017797726.1	XP_031829547.1
OG0000082	XP_017797683.1	XP_031829549.1
OG0000082	XP_017797819.1	XP_031829550.1
OG0000084	XP_017792624.1	XP_031839513.1
OG0000084	XP_017792625.1	XP_031839514.1
OG0000084	XP_017792708.1	XP_031839516.1
OG0000084	XP_017791300.1	XP_031839314.1
OG0000085	XP_017790689.1	XP_031843333.1
OG0000085	XP_017793167.1	XP_031826359.1, XP_031826358.1, XP_031826356.1
OG0000086	XP_017791806.1	XP_031842854.1
OG0000087	XP_017792906.1	XP_031843075.1
OG0000087	XP_017792917.1	XP_031843076.1
OG0000087	XP_017792908.1	XP_031843049.1
OG0000088	XP_017789815.1	XP_031830799.1
OG0000089	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1	XP_031841904.1, XP_031841905.1, XP_031841906.1
OG0000089	XP_017798058.1	XP_031839041.1
OG0000090	XP_017795703.1	XP_031841174.1, XP_031848787.1, XP_031843838.1, XP_031838604.1, XP_031848702.1, XP_031828601.1, XP_031836614.1, XP_031847656.1, XP_031842050.1, XP_031836582.1, XP_031827996.1, XP_031848752.1
OG0000091	XP_017792668.1, XP_017792670.1	XP_031846471.1, XP_031846477.1, XP_031846470.1
OG0000092	XP_017799316.1	XP_031832478.1
OG0000092	XP_017789058.1, XP_017789059.1	XP_031836523.1
OG0000092	XP_017788769.1	XP_031827660.1
OG0000093	XP_017796719.1, XP_017795063.1	XP_031829450.1
OG0000094	XP_017798959.1	XP_031847199.1, XP_031847200.1
OG0000094	XP_017791335.1	XP_031827484.1
OG0000094	XP_017798352.1	XP_031826729.1, XP_031826728.1
OG0000095	XP_017790301.1	XP_031850007.1, XP_031850009.1, XP_031850008.1
OG0000096	XP_017798525.1	XP_031832678.1
OG0000096	XP_017796013.1	XP_031843327.1
OG0000097	XP_017791424.1, XP_017791423.1	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1
OG0000097	XP_017793649.1	XP_031831172.1, XP_031831171.1, XP_031831170.1
OG0000098	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1
OG0000099	XP_017796840.1	XP_031844823.1, XP_031844824.1, XP_031844822.1
OG0000099	XP_017796299.1, XP_017796300.1	XP_031825801.1, XP_031825802.1
OG0000099	XP_017791883.1	XP_031843262.1
OG0000100	XP_017794869.1	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1
OG0000101	XP_017793334.1	XP_031848007.1
OG0000102	XP_017787422.1	XP_031830192.1
OG0000102	XP_017787495.1	XP_031830259.1
OG0000103	XP_017793916.1	XP_031830730.1
OG0000103	XP_017793918.1	XP_031830618.1
OG0000103	XP_017793920.1	XP_031830446.1
OG0000106	XP_017794550.1	XP_031841956.1
OG0000106	XP_017797471.1	XP_031838896.1
OG0000107	XP_017793002.1	XP_031849421.1, XP_031849424.1
OG0000108	XP_017797595.1	XP_031836809.1
OG0000109	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1
OG0000110	XP_017794692.1	XP_031837099.1
OG0000110	XP_017797747.1	XP_031848100.1, XP_031848102.1
OG0000111	XP_017797783.1	XP_031843589.1
OG0000111	XP_017787491.1	XP_031825716.1
OG0000111	XP_017793968.1	XP_031842672.1
OG0000112	XP_017793364.1	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1
OG0000112	XP_017790673.1	XP_031831414.1
OG0000113	XP_017798381.1	XP_031838147.1
OG0000113	XP_017798181.1	XP_031842250.1
OG0000114	XP_017792172.1	XP_031825659.1
OG0000114	XP_017792121.1	XP_031825640.1
OG0000115	XP_017795994.1	XP_031842255.1
OG0000116	XP_017799593.1	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1
OG0000116	XP_017799604.1	XP_031837730.1
OG0000117	XP_017791704.1	XP_031840830.1
OG0000117	XP_017797358.1	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1
OG0000120	XP_017794605.1	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1
OG0000122	XP_017798532.1	XP_031848880.1
OG0000122	XP_017799142.1	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1
OG0000122	XP_017793618.1	XP_031833934.1
OG0000123	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1	XP_031829219.1
OG0000124	XP_017789119.1	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1
OG0000125	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1	XP_031839027.1
OG0000125	XP_017795819.1	XP_031839025.1, XP_031838819.1, XP_031838775.1
OG0000126	XP_017792776.1	XP_031846352.1
OG0000127	XP_017799036.1, XP_017799037.1	XP_031849581.1, XP_031849592.1, XP_031846850.1
OG0000129	XP_017792739.1	XP_031848648.1, XP_031848647.1
OG0000130	XP_017787765.1	XP_031826226.1
OG0000130	XP_017789002.1	XP_031826291.1
OG0000130	XP_017791658.1	XP_031826201.1
OG0000131	XP_017790302.1	XP_031828484.1
OG0000131	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1
OG0000132	XP_017798108.1	XP_031829308.1
OG0000132	XP_017798132.1	XP_031845637.1, XP_031845638.1, XP_031845639.1
OG0000133	XP_017788158.1	XP_031836871.1, XP_031836868.1
OG0000135	XP_017794640.1	XP_031837271.1
OG0000135	XP_017799029.1	XP_031839483.1
OG0000135	XP_017788492.1	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1
OG0000136	XP_017788204.1	XP_031828129.1
OG0000136	XP_017788203.1	XP_031828130.1, XP_031827941.1, XP_031829540.1
OG0000137	XP_017797492.1	XP_031838894.1
OG0000137	XP_017791135.1	XP_031830054.1, XP_031830055.1, XP_031830052.1
OG0000138	XP_017794346.1	XP_031839076.1
OG0000138	XP_017793300.1	XP_031839079.1
OG0000139	XP_017787706.1	XP_031836046.1, XP_031836045.1, XP_031836044.1, XP_031836043.1
OG0000139	XP_017787697.1	XP_031836055.1, XP_031836054.1
OG0000140	XP_017798520.1	XP_031832920.1
OG0000141	XP_017794696.1	XP_031837195.1
OG0000141	XP_017797914.1	XP_031839814.1
OG0000142	XP_017789845.1	XP_031844401.1
OG0000142	XP_017789846.1	XP_031844400.1, XP_031844389.1
OG0000143	XP_017790512.1	XP_031839633.1
OG0000143	XP_017790495.1	XP_031839547.1
OG0000144	XP_017797971.1, XP_017797954.1	XP_031829750.1
OG0000144	XP_017797955.1	XP_031829749.1
OG0000144	XP_017797956.1	XP_031829842.1
OG0000145	XP_017788300.1	XP_031837412.1
OG0000145	XP_017797568.1	XP_031838797.1, XP_031838795.1
OG0000146	XP_017794829.1	XP_031825439.1
OG0000146	XP_017789218.1	XP_031838000.1, XP_031837999.1, XP_031838001.1
OG0000146	XP_017789431.1	XP_031844338.1
OG0000147	XP_017792150.1, XP_017792149.1, XP_017792148.1	XP_031846647.1
OG0000149	XP_017788073.1	XP_031844539.1
OG0000150	XP_017787586.1, XP_017787587.1	XP_031826266.1, XP_031826326.1
OG0000151	XP_017798042.1, XP_017798041.1	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1
OG0000152	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1	XP_031830368.1
OG0000153	XP_017797758.1	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1
OG0000154	XP_017795372.1	XP_031838095.1
OG0000156	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1
OG0000157	XP_017788939.1	XP_031827834.1
OG0000157	XP_017788698.1	XP_031827676.1
OG0000158	XP_017793670.1	XP_031833446.1
OG0000158	XP_017793698.1	XP_031833445.1
OG0000160	XP_017795191.1	XP_031835553.1
OG0000160	XP_017792249.1	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1
OG0000161	XP_017791738.1	XP_031840747.1, XP_031840748.1
OG0000161	XP_017791682.1	XP_031840749.1
OG0000162	XP_017797980.1	XP_031844217.1
OG0000162	XP_017787385.1	XP_031846677.1, XP_031846685.1
OG0000164	XP_017797560.1	XP_031838889.1
OG0000164	XP_017797561.1	XP_031838888.1
OG0000165	XP_017789911.1	XP_031845761.1
OG0000165	XP_017795542.1	XP_031849879.1
OG0000168	XP_017788116.1	XP_031840911.1
OG0000168	XP_017797231.1	XP_031842375.1
OG0000169	XP_017797588.1	XP_031828486.1
OG0000170	XP_017790420.1	XP_031847928.1
OG0000170	XP_017790362.1	XP_031847930.1
OG0000170	XP_017790369.1	XP_031847933.1
OG0000171	XP_017787774.1	XP_031825968.1
OG0000171	XP_017787850.1, XP_017787824.1	XP_031826361.1, XP_031826360.1, XP_031826362.1
OG0000172	XP_017792473.1, XP_017792475.1, XP_017792474.1, XP_017792472.1, XP_017792476.1	XP_031826024.1, XP_031826014.1, XP_031826006.1, XP_031825998.1, XP_031825989.1, XP_031825979.1
OG0000173	XP_017794775.1, XP_017794776.1	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1
OG0000174	XP_017798800.1	XP_031832594.1, XP_031832593.1, XP_031832592.1
OG0000175	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1
OG0000176	XP_017790348.1	XP_031839720.1
OG0000177	XP_017795594.1	XP_031850035.1
OG0000177	XP_017795592.1	XP_031849982.1, XP_031849983.1
OG0000177	XP_017795589.1	XP_031849977.1, XP_031849980.1
OG0000179	XP_017791990.1	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1
OG0000179	XP_017791524.1	XP_031842123.1
OG0000180	XP_017787401.1, XP_017787400.1, XP_017787399.1	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1
OG0000181	XP_017792968.1	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1
OG0000182	XP_017794377.1	XP_031841728.1
OG0000183	XP_017795084.1	XP_031838925.1
OG0000183	XP_017796132.1	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1
OG0000184	XP_017798954.1	XP_031846910.1
OG0000185	XP_017797685.1	XP_031829650.1
OG0000185	XP_017797731.1	XP_031829646.1, XP_031829645.1, XP_031829647.1
OG0000186	XP_017790553.1, XP_017790555.1	XP_031834869.1
OG0000187	XP_017797342.1	XP_031844556.1, XP_031844565.1, XP_031844499.1, XP_031844479.1, XP_031844458.1, XP_031844469.1, XP_031844528.1, XP_031844537.1, XP_031844547.1, XP_031844448.1, XP_031844518.1, XP_031844439.1, XP_031844509.1, XP_031844574.1, XP_031844582.1, XP_031844489.1
OG0000188	XP_017791383.1	XP_031843391.1
OG0000188	XP_017795271.1	XP_031834431.1
OG0000189	XP_017787964.1, XP_017787967.1	XP_031837615.1
OG0000190	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_031829381.1, XP_031829385.1, XP_031829383.1, XP_031829384.1, XP_031829386.1
OG0000191	XP_017795883.1	XP_031843261.1
OG0000192	XP_017792725.1	XP_031847208.1
OG0000194	XP_017799440.1	XP_031843496.1, XP_031843495.1
OG0000194	XP_017799442.1	XP_031848879.1
OG0000194	XP_017799441.1	XP_031843507.1
OG0000194	XP_017799437.1	XP_031838309.1
OG0000196	XP_017791366.1	XP_031841275.1
OG0000196	XP_017791305.1	XP_031836104.1, XP_031836105.1, XP_031836106.1, XP_031836107.1, XP_031836103.1
OG0000197	XP_017794596.1	XP_031837253.1, XP_031837082.1
OG0000198	XP_017787675.1	XP_031827645.1, XP_031827644.1
OG0000200	XP_017790004.1, XP_017790003.1	XP_031827782.1
OG0000200	XP_017793346.1	XP_031849412.1
OG0000200	XP_017793347.1	XP_031849414.1
OG0000201	XP_017790031.1	XP_031831080.1
OG0000202	XP_017791030.1	XP_031842338.1, XP_031842336.1, XP_031842337.1, XP_031842339.1
OG0000203	XP_017794211.1	XP_031840442.1
OG0000203	XP_017790332.1	XP_031831628.1, XP_031831625.1, XP_031831627.1, XP_031831626.1
OG0000204	XP_017788993.1	XP_031827654.1, XP_031827655.1, XP_031827656.1, XP_031827653.1
OG0000205	XP_017788047.1	XP_031844495.1, XP_031844500.1, XP_031844501.1
OG0000206	XP_017794929.1	XP_031826752.1
OG0000206	XP_017794889.1, XP_017794888.1, XP_017794887.1	XP_031826808.1, XP_031826811.1, XP_031826810.1, XP_031826809.1
OG0000207	XP_017793342.1	XP_031850268.1
OG0000207	XP_017791361.1	XP_031841289.1
OG0000207	XP_017791356.1	XP_031841290.1
OG0000208	XP_017791349.1	XP_031841274.1
OG0000208	XP_017797296.1	XP_031843304.1
OG0000208	XP_017796380.1	XP_031841014.1, XP_031841015.1
OG0000209	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1
OG0000210	XP_017789022.1	XP_031838858.1
OG0000210	XP_017790992.1	XP_031847872.1
OG0000210	XP_017789769.1	XP_031833724.1
OG0000212	XP_017795959.1	XP_031834616.1
OG0000212	XP_017793996.1	XP_031829597.1
OG0000212	XP_017793987.1, XP_017793986.1	XP_031829541.1
OG0000213	XP_017789586.1	XP_031829822.1, XP_031829824.1, XP_031829823.1
OG0000214	XP_017794266.1	XP_031832084.1
