Orthogroup	Habropoda_laboriosa	Tribolium_castaneum
OG0000089	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	XP_017792668.1, XP_017792670.1	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	XP_017799316.1	XP_008198926.1
OG0000092	XP_017789003.1, XP_017789058.1, XP_017789059.1	XP_967128.1
OG0000093	XP_017796954.1, XP_017796719.1, XP_017795063.1	XP_008198969.1
OG0000094	XP_017791335.1	XP_008194293.1
OG0000094	XP_017798352.1	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000095	XP_017790301.1	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1
OG0000096	XP_017798525.1	XP_970191.2
OG0000096	XP_017796013.1	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	XP_017791424.1, XP_017791423.1	XP_966355.1, XP_008200463.1
OG0000098	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_017796840.1	XP_973444.1
OG0000099	XP_017796299.1, XP_017796300.1	XP_967359.1
OG0000099	XP_017791883.1	XP_008198312.1
OG0000100	XP_017794869.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_017793334.1	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000102	XP_017787422.1, XP_017787495.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000103	XP_017793916.1	NP_001121967.1
OG0000108	XP_017797595.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1	XP_008200716.1
OG0000110	XP_017794692.1, XP_017797747.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000111	XP_017797783.1, XP_017787491.1	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1
OG0000112	XP_017793364.1	XP_008191265.1
OG0000112	XP_017790673.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_017798381.1, XP_017798181.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_017792172.1	XP_015836792.1, XP_015836794.1
OG0000114	XP_017792121.1	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	XP_017797018.1, XP_017795994.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000116	XP_017799593.1, XP_017799604.1	XP_015837656.1
OG0000117	XP_017791704.1	XP_008198411.1
OG0000117	XP_017797358.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000119	XP_017787392.1	NP_001157311.1
OG0000120	XP_017788040.1, XP_017794605.1	XP_015838347.1
OG0000122	XP_017798532.1	XP_015834556.1
OG0000122	XP_017799142.1	XP_008192222.1
OG0000122	XP_017793619.1, XP_017793618.1	XP_008190630.1, XP_970917.2, NP_001280526.1
OG0000123	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1	XP_001813105.1
OG0000124	XP_017789119.1	XP_015834874.1
OG0000125	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1, XP_017795819.1	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_017792776.1	NP_001034505.1
OG0000127	XP_017799036.1, XP_017799037.1	XP_008201644.1
OG0000127	XP_017799080.1	NP_001280519.1, XP_015839687.1
OG0000129	XP_017792739.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	XP_017787765.1, XP_017789001.1, XP_017789002.1	XP_008200084.1, XP_001811552.1
OG0000130	XP_017791658.1	XP_008200083.1
OG0000131	XP_017790302.1	XP_001808435.1
OG0000131	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	XP_017798108.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_017788158.1	XP_975308.3
OG0000133	XP_017795366.1	XP_015840591.1
OG0000135	XP_017794640.1	XP_015833857.1, XP_008194086.1
OG0000135	XP_017799029.1	XP_008190640.1, XP_008190639.1
OG0000135	XP_017788492.1	NP_001153713.1
OG0000136	XP_017788204.1, XP_017788203.1	XP_971514.1, XP_971572.1
OG0000137	XP_017797492.1, XP_017791135.1, XP_017788948.1	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_017794346.1, XP_017793300.1	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_017787706.1, XP_017787697.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_017795261.1	XP_015836386.1
OG0000140	XP_017798520.1	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1
OG0000140	XP_017798552.1	XP_973264.1
OG0000141	XP_017794696.1	XP_015833202.1
OG0000141	XP_017787810.1	XP_008193877.2
OG0000143	XP_017790512.1, XP_017790495.1	XP_008192676.1
OG0000144	XP_017797971.1, XP_017797954.1, XP_017797955.1, XP_017797956.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_017788300.1	XP_008193348.1
OG0000146	XP_017794829.1	XP_966544.1, XP_001811608.2
OG0000146	XP_017789431.1	XP_974294.1
OG0000147	XP_017799321.1, XP_017792150.1, XP_017792149.1, XP_017792148.1	XP_966688.1
OG0000149	XP_017788095.1	XP_008191323.1
OG0000150	XP_017787586.1, XP_017787587.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_017798042.1, XP_017798041.1	XP_969439.1, XP_015840091.1
OG0000152	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1	XP_966734.2
OG0000153	XP_017797758.1	XP_970869.1, XP_008195606.1
OG0000154	XP_017795372.1	XP_008195104.1
OG0000156	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	XP_017788939.1, XP_017788698.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	XP_017793670.1, XP_017793698.1, XP_017793668.1, XP_017793669.1	XP_008198818.1
OG0000160	XP_017795191.1	XP_008199283.1
OG0000160	XP_017792249.1	XP_967023.4
OG0000161	XP_017791738.1, XP_017791682.1, XP_017791681.1, XP_017791680.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	XP_017797980.1	XP_008201498.1, NP_001103246.1
OG0000162	XP_017794848.1	XP_008200302.1, NP_001107770.1
OG0000162	XP_017787385.1	NP_001103245.1
OG0000164	XP_017797560.1, XP_017797561.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	XP_017789911.1	XP_008192571.1
OG0000165	XP_017795542.1	XP_974173.2
OG0000166	XP_017790571.1, XP_017790565.1, XP_017790567.1, XP_017790564.1, XP_017790576.1	XP_008199436.1, XP_008199431.1
OG0000168	XP_017789057.1	XP_008199616.2, XP_015834098.1
OG0000168	XP_017797231.1	XP_015838873.1, NP_001107841.1
OG0000169	XP_017797588.1	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1
OG0000170	XP_017790362.1, XP_017790369.1	XP_008193117.1, XP_008193116.1
OG0000171	XP_017787774.1, XP_017787850.1, XP_017787824.1	XP_971346.1, XP_015836633.1
OG0000173	XP_017794775.1, XP_017794776.1	XP_008194517.1
OG0000174	XP_017798800.1	XP_015838513.1
OG0000175	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1	XP_974770.1, XP_015836695.1
OG0000176	XP_017790348.1	XP_008195214.1
OG0000177	XP_017795594.1	XP_971910.1
OG0000177	XP_017795592.1	XP_008194311.1
OG0000177	XP_017795589.1	XP_972019.2
OG0000178	XP_017790433.1	XP_008200484.2, XP_015835582.1
OG0000179	XP_017791990.1	XP_008194977.1
OG0000179	XP_017791524.1	XP_966308.2
OG0000180	XP_017787401.1, XP_017787400.1, XP_017787399.1	XP_976031.1, XP_008200320.1
OG0000181	XP_017792968.1	NP_001280548.1, XP_008193833.1
OG0000182	XP_017794377.1	XP_015832992.1
OG0000183	XP_017795084.1	XP_975025.1
OG0000183	XP_017796132.1	XP_970665.1
OG0000184	XP_017798954.1	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3
OG0000185	XP_017797685.1, XP_017797731.1	XP_008197397.1
OG0000186	XP_017790553.1, XP_017790555.1	XP_008199126.1, XP_008199118.1, XP_015835450.1
OG0000187	XP_017797342.1	XP_975362.1
OG0000188	XP_017791383.1	XP_008197500.1
OG0000188	XP_017795271.1	XP_967501.2
OG0000189	XP_017795367.1	XP_966528.2, XP_008201661.1
OG0000189	XP_017787964.1, XP_017787967.1	XP_008198457.1, XP_008193919.1
OG0000190	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_015839424.1, XP_968802.1
OG0000191	XP_017795883.1	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2
OG0000192	XP_017792725.1	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1
OG0000194	XP_017799440.1	XP_008193011.1
OG0000194	XP_017799442.1, XP_017799441.1, XP_017799437.1	NP_001280525.1
OG0000196	XP_017791366.1	XP_969047.2
OG0000196	XP_017791305.1	XP_967948.2
OG0000197	XP_017794596.1	XP_015837925.1
OG0000198	XP_017787675.1	XP_008196149.1
OG0000200	XP_017790004.1, XP_017790003.1, XP_017795331.1	XP_974164.1
OG0000200	XP_017793346.1, XP_017793347.1	XP_967143.1, XP_015839106.1, XP_974030.1
OG0000201	XP_017790031.1	XP_015833113.1, XP_974115.1
OG0000202	XP_017791032.1, XP_017791030.1	XP_008196489.1, XP_008196491.1, XP_008196490.1
OG0000203	XP_017790332.1	XP_972061.1
OG0000204	XP_017788993.1	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1
OG0000205	XP_017788047.1	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2
OG0000206	XP_017794929.1	XP_975174.1
OG0000206	XP_017794889.1, XP_017794888.1, XP_017794887.1	XP_967870.1
OG0000207	XP_017791361.1, XP_017791356.1	XP_008190794.1
OG0000208	XP_017791349.1	NP_001034487.2, XP_008199220.1
OG0000209	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1	XP_015833617.1
OG0000210	XP_017789022.1	XP_008196393.1
OG0000210	XP_017790992.1	XP_008194608.1, XP_973007.1
OG0000210	XP_017789769.1	XP_015838316.1, XP_971337.1
OG0000212	XP_017795959.1, XP_017793996.1, XP_017793987.1, XP_017793986.1	XP_970912.2, XP_015835896.1, XP_015840439.1, XP_015840441.1
OG0000213	XP_017789586.1	XP_970612.2
OG0000214	XP_017794266.1	XP_967960.2
OG0000214	XP_017792781.1, XP_017792782.1	XP_970835.1
OG0000215	XP_017796692.1, XP_017796575.1	XP_972301.2, XP_008197697.1, XP_008197706.1, XP_015839776.1
OG0000216	XP_017793604.1	NP_001107836.1, XP_967724.1, NP_001123993.1, XP_008193185.1, XP_008199996.1, XP_971612.1, NP_001123994.1
OG0000217	XP_017789113.1	XP_973791.2, XP_975130.2, XP_015839401.1, XP_015839404.1, XP_015839405.1, XP_008199621.1, XP_015839403.1, XP_015840143.1, XP_008192685.2, XP_008192686.2, XP_015835054.1, XP_015835055.1, XP_008191628.1, XP_008191600.1, XP_008198006.2
OG0000218	XP_017795109.1	XP_967940.2
OG0000219	XP_017788174.1, XP_017788173.1, XP_017788171.1, XP_017788172.1, XP_017788169.1, XP_017788170.1	XP_968383.1
OG0000220	XP_017792512.1	XP_015840696.1
OG0000221	XP_017798983.1, XP_017799229.1	XP_015837155.1, XP_974256.1
OG0000223	XP_017794139.1	NP_001164284.1, XP_972063.1
OG0000225	XP_017798161.1, XP_017796348.1	XP_971086.2
OG0000226	XP_017788751.1	NP_001280522.1, XP_008197480.1
OG0000226	XP_017788770.1	XP_015838522.1
OG0000227	XP_017791515.1	XP_008198897.2
OG0000229	XP_017794169.1	XP_008190780.1
OG0000230	XP_017788896.1	XP_015836723.1
OG0000231	XP_017789953.1	XP_015836454.1, XP_015836453.1, XP_973943.1, XP_008194841.1
OG0000232	XP_017787985.1	XP_970131.1
OG0000233	XP_017798941.1	XP_008196062.1, XP_008196018.1, XP_008196019.1
OG0000234	XP_017797661.1, XP_017797660.1, XP_017797559.1	XP_972520.3, XP_001814003.1
OG0000235	XP_017795898.1, XP_017795906.1	XP_015835330.1, XP_015835329.1, XP_015835324.1, XP_015835328.1
OG0000236	XP_017796613.1	NP_001155991.1
OG0000237	XP_017794664.1	XP_008197452.1
OG0000237	XP_017794663.1	XP_008197451.1
OG0000239	XP_017788956.1, XP_017788957.1, XP_017788955.1	XP_015836807.1, XP_008200144.1
OG0000240	XP_017787807.1, XP_017787848.1	XP_015833080.1, XP_015833079.1, XP_015840681.1, XP_008190666.2, XP_008190667.1, XP_966770.1, XP_001809806.2, XP_008190687.2, XP_008201648.1
OG0000244	XP_017798659.1	XP_974579.1, XP_015836330.1
OG0000245	XP_017796958.1, XP_017796963.1	XP_008194988.1, NP_001034522.1, NP_001034493.1
OG0000246	XP_017787631.1	NP_001096056.1
OG0000246	XP_017787636.1	XP_973068.2, XP_008193582.1
OG0000247	XP_017790661.1	XP_015840017.1, XP_008190606.2, XP_015833810.1
OG0000248	XP_017792985.1	XP_015839338.1, XP_008193359.2, XP_015835108.1
