Orthogroup	Habropoda_laboriosa	Aedes_aegypti
OG0000057	XP_017798095.1	XP_001656025.1
OG0000057	XP_017798766.1, XP_017798094.1	XP_021701591.1
OG0000057	XP_017798097.1	XP_001656026.2
OG0000057	XP_017798098.1	XP_001650054.1
OG0000060	XP_017787543.1	XP_001663993.2
OG0000060	XP_017792478.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_017799273.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_017788550.1, XP_017795246.1, XP_017791843.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000065	XP_017793945.1	XP_011493201.1
OG0000065	XP_017793851.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000067	XP_017790603.1	XP_001653435.1
OG0000067	XP_017795551.1	XP_001654897.1
OG0000067	XP_017794648.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_017787992.1	XP_001661370.1, XP_021698916.1
OG0000074	XP_017795199.1	XP_021707386.1
OG0000077	XP_017797118.1, XP_017795753.1	XP_001658180.2
OG0000077	XP_017789897.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000079	XP_017787939.1	XP_001662329.1
OG0000080	XP_017798424.1	XP_021693685.1
OG0000082	XP_017797726.1, XP_017797683.1, XP_017797684.1, XP_017797819.1	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_017790689.1, XP_017793167.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_017787894.1	XP_021701219.1
OG0000086	XP_017791806.1	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_017792906.1, XP_017792917.1	XP_001648461.1, XP_001648458.1
OG0000087	XP_017792908.1, XP_017792909.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_017789815.1	XP_021702205.1
OG0000089	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1	XP_001654187.2
OG0000091	XP_017792668.1, XP_017792670.1	XP_021699738.1
OG0000092	XP_017799316.1	XP_021707375.1
OG0000092	XP_017788769.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_017798959.1	XP_021702456.1, XP_001660396.2
OG0000094	XP_017791335.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000094	XP_017798352.1	XP_021704594.1
OG0000095	XP_017790301.1	XP_001649682.2
OG0000096	XP_017798525.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_017796013.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_017791424.1, XP_017791423.1, XP_017793649.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1	XP_001660410.1
OG0000099	XP_017796840.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_017796299.1, XP_017796300.1	XP_001650952.2
OG0000099	XP_017791883.1	XP_021710287.1
OG0000100	XP_017794869.1	XP_001662579.2
OG0000101	XP_017793334.1	XP_001652481.1
OG0000102	XP_017787422.1, XP_017787495.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_017793916.1	XP_001661506.1
OG0000108	XP_017797595.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1	XP_021709303.1
OG0000110	XP_017794692.1, XP_017797747.1	XP_021711612.1, XP_021711613.1
OG0000111	XP_017793968.1	XP_021704753.1
OG0000112	XP_017793364.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_017790673.1	XP_021703753.1
OG0000113	XP_017798381.1, XP_017798181.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_017792172.1	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1
OG0000114	XP_017792121.1	XP_001656658.2
OG0000115	XP_017797018.1, XP_017795994.1	XP_021711348.1
OG0000116	XP_017799593.1, XP_017799604.1	XP_021695569.1
OG0000117	XP_017791704.1	XP_001658273.1
OG0000117	XP_017797358.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000119	XP_017787392.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_017788040.1, XP_017794605.1	XP_021702687.1
OG0000122	XP_017798532.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_017799142.1	XP_021707885.1
OG0000123	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_017789119.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1, XP_017795819.1	XP_001657204.2
OG0000126	XP_017792776.1	XP_021694197.1
OG0000127	XP_017799036.1, XP_017799037.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	XP_017799080.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_017792739.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_017787765.1, XP_017789001.1, XP_017789002.1	XP_021695251.1
OG0000130	XP_017791658.1	XP_021700367.1
OG0000131	XP_017790302.1	XP_021705306.1
OG0000131	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_017798108.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_017798132.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_017788158.1	XP_021702724.1, XP_021702723.1
OG0000134	XP_017793449.1	XP_001655292.1
OG0000135	XP_017799029.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	XP_017788492.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	XP_017788204.1, XP_017788203.1	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_017797492.1, XP_017791135.1, XP_017788948.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_017794346.1, XP_017793300.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_017787706.1, XP_017787697.1	XP_001663072.2
OG0000140	XP_017798520.1	XP_021702905.1
OG0000141	XP_017797914.1	XP_021706046.1
OG0000141	XP_017787810.1	XP_001663030.2
OG0000143	XP_017790512.1, XP_017790495.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	XP_017797971.1, XP_017797954.1, XP_017797955.1, XP_017797956.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_017788300.1, XP_017797568.1	XP_001661017.2
OG0000146	XP_017794829.1	XP_001662762.1
OG0000146	XP_017789431.1	XP_001660580.2
OG0000147	XP_017799321.1, XP_017792150.1, XP_017792149.1, XP_017792148.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_017788095.1	XP_021701465.1
OG0000149	XP_017788073.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_017787586.1, XP_017787587.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_017798042.1, XP_017798041.1	XP_021697798.1
OG0000152	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1	XP_001653160.1
OG0000153	XP_017797758.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_017795372.1	XP_001662815.2
OG0000156	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1	XP_021696919.1, XP_021712121.1
OG0000157	XP_017788939.1, XP_017788698.1	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_017793670.1, XP_017793698.1, XP_017793668.1, XP_017793669.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_017795191.1	XP_021709766.1
OG0000160	XP_017792249.1	XP_021707900.1, XP_021710525.1, XP_001662274.1
OG0000161	XP_017791738.1, XP_017791682.1, XP_017791681.1, XP_017791680.1	XP_001656119.2
OG0000162	XP_017797980.1	XP_021694432.1
OG0000162	XP_017794848.1	XP_021704010.1
OG0000162	XP_017787385.1	XP_021706951.1
OG0000164	XP_017797560.1, XP_017797561.1	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1
OG0000165	XP_017789911.1	XP_021697212.1
OG0000165	XP_017795542.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	XP_017790571.1, XP_017790565.1, XP_017790567.1, XP_017790564.1, XP_017790576.1	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000168	XP_017788116.1	XP_021712003.1, XP_021699894.1
OG0000168	XP_017797231.1	XP_021705545.1
OG0000169	XP_017797588.1	XP_021702706.1
OG0000170	XP_017790420.1	XP_001654345.1
OG0000170	XP_017790362.1, XP_017790369.1	XP_021699236.1
OG0000171	XP_017787774.1, XP_017787850.1, XP_017787824.1	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000173	XP_017794775.1, XP_017794776.1	XP_021694163.1, XP_001649426.1
OG0000174	XP_017798800.1	XP_021704325.1, XP_021704326.1
OG0000175	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1	XP_001654240.1
OG0000177	XP_017795594.1	XP_001651644.2
OG0000177	XP_017795592.1	XP_021707471.1, XP_021707472.1
OG0000177	XP_017795589.1	XP_001651645.1
OG0000178	XP_017790433.1	XP_021707000.1, XP_021706999.1
OG0000179	XP_017791524.1	XP_001655662.1, XP_021712235.1
OG0000180	XP_017787401.1, XP_017787400.1, XP_017787399.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000181	XP_017792968.1	XP_001656977.3
OG0000183	XP_017795084.1	XP_001655456.2
OG0000183	XP_017796132.1	XP_021704629.1, XP_021704627.1
OG0000184	XP_017798954.1	XP_011493295.2, XP_021702574.1, XP_001655087.1, XP_011493580.2
OG0000185	XP_017797685.1, XP_017797731.1	XP_001651366.1
OG0000186	XP_017790553.1, XP_017790555.1	XP_001658387.1, XP_021710177.1, XP_001652490.2
OG0000187	XP_017797342.1	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1
OG0000188	XP_017794866.1	XP_021694895.1
OG0000188	XP_017791383.1	XP_001656810.1, XP_001656809.1
OG0000188	XP_017795271.1	XP_021704883.1
OG0000189	XP_017795367.1	XP_001655460.2
OG0000189	XP_017787964.1, XP_017787967.1	XP_001655465.2, XP_001655464.2
OG0000190	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_001660557.1
OG0000191	XP_017795883.1	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1
OG0000192	XP_017792725.1	XP_001664087.2
OG0000194	XP_017799440.1	XP_001658607.2
OG0000196	XP_017791366.1	XP_021709422.1, XP_021709426.1
OG0000197	XP_017794596.1	XP_021697283.1, XP_021697282.1, XP_021697285.1, XP_021697284.1, XP_001661709.1, XP_021697516.1, XP_021697517.1, XP_021697518.1, XP_021697519.1
OG0000198	XP_017787675.1	XP_021706486.1
OG0000200	XP_017790004.1, XP_017790003.1	XP_001655242.1
OG0000201	XP_017790031.1	XP_001663057.1, XP_011493157.1, XP_001652982.2, XP_021711304.1, XP_001659011.2, XP_001659009.1, XP_021712798.1, XP_001654269.2
OG0000202	XP_017795643.1	XP_021695300.1
OG0000203	XP_017794211.1	XP_001662504.2
OG0000203	XP_017790332.1	XP_021697410.1
OG0000204	XP_017788993.1	XP_021704598.1, XP_021704597.1, XP_001656463.1
OG0000205	XP_017788047.1	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1
OG0000206	XP_017794929.1	XP_001651825.1, XP_021704991.1
OG0000206	XP_017794889.1, XP_017794888.1, XP_017794887.1	XP_001648552.1
OG0000207	XP_017793342.1	XP_001650660.1
OG0000207	XP_017791361.1, XP_017791356.1	XP_021698130.1
OG0000208	XP_017791349.1	XP_021698134.1, XP_021698133.1
OG0000208	XP_017796380.1	XP_001653727.1
OG0000209	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1	XP_021711015.1, XP_021711016.1
OG0000210	XP_017789022.1, XP_017790992.1	XP_021702938.1
OG0000210	XP_017789769.1	XP_001655152.2
OG0000212	XP_017795959.1, XP_017793996.1, XP_017793987.1, XP_017793986.1	XP_001650168.2, XP_001650170.2, XP_001650169.2, XP_021705033.1
OG0000213	XP_017789586.1	XP_001660162.2
OG0000214	XP_017794266.1	XP_001653648.2
OG0000214	XP_017792781.1, XP_017792782.1	XP_001660495.2, XP_001648014.1
OG0000215	XP_017796692.1, XP_017796575.1	XP_001650687.1
OG0000216	XP_017793604.1	XP_021695787.1, XP_021695812.1, XP_001658816.2, XP_001660657.2, XP_001652926.3, XP_021705200.1, XP_001652928.1, XP_001652922.1, XP_021704573.1, XP_001656766.3, XP_001663987.1, XP_001652925.2
OG0000217	XP_017789113.1	XP_021712681.1, XP_001656258.2, XP_021707319.1, XP_021696760.1, XP_021696771.1, XP_021694727.1
OG0000218	XP_017795109.1	XP_021706089.1, XP_001660419.1
OG0000219	XP_017788174.1, XP_017788173.1, XP_017788171.1, XP_017788172.1, XP_017788169.1, XP_017788170.1	XP_001650937.1, XP_021711710.1
OG0000220	XP_017792512.1	XP_021710699.1, XP_001651636.1
OG0000221	XP_017798983.1, XP_017799229.1	XP_001660128.1
OG0000223	XP_017794139.1	XP_021710530.1
OG0000223	XP_017796406.1	XP_001658512.3
OG0000224	XP_017797256.1	XP_001654732.1, XP_001654733.2
OG0000225	XP_017798161.1, XP_017796348.1	XP_001647679.1
OG0000226	XP_017788751.1	XP_021708650.1
OG0000226	XP_017788770.1	XP_021706929.1
OG0000227	XP_017791515.1	XP_021696785.1
OG0000228	XP_017791917.1	XP_021712416.1
OG0000230	XP_017792853.1, XP_017788896.1	XP_021699383.1
OG0000231	XP_017789953.1	XP_021702255.1, XP_001656509.2, XP_011493518.1, XP_021712758.1, XP_021712760.1, XP_021698283.1, XP_021698300.1
OG0000232	XP_017787985.1	XP_021697432.1, XP_021697433.1, XP_021697431.1, XP_021697430.1, XP_021697411.1, XP_021697412.1, XP_021697413.1, XP_021697424.1, XP_021697425.1, XP_021697426.1, XP_021697427.1, XP_021697428.1, XP_021697429.1, XP_021697414.1, XP_021697421.1, XP_021697420.1, XP_021697419.1, XP_021697418.1, XP_021697417.1, XP_021697416.1, XP_021697415.1, XP_021697423.1, XP_021697422.1
OG0000233	XP_017798941.1	XP_001657370.2
OG0000234	XP_017797661.1, XP_017797660.1, XP_017797559.1	XP_001659472.1, XP_001659474.1, XP_001659473.2
OG0000235	XP_017795898.1, XP_017795906.1	XP_021707634.1, XP_021707632.1, XP_021707627.1
OG0000235	XP_017797830.1	XP_021707639.1
OG0000236	XP_017796613.1	XP_001657619.2, XP_001651997.1, XP_021712370.1, XP_001651998.1, XP_021712372.1, XP_001651166.1, XP_001651167.1
OG0000236	XP_017796614.1	XP_001652725.2
