Orthogroup	Habropoda_laboriosa	Megalopta_genalis
OG0000026	XP_017789050.1	XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1
OG0000027	XP_017799307.1	XP_033328969.1, XP_033328626.1, XP_033328968.1
OG0000027	XP_017795687.1	XP_033328627.1
OG0000028	XP_017796995.1, XP_017796351.1	XP_033320862.1
OG0000028	XP_017795070.1	XP_033323544.1, XP_033323536.1
OG0000028	XP_017791905.1, XP_017797006.1, XP_017792950.1, XP_017797074.1, XP_017794490.1, XP_017788507.1	XP_033320861.1
OG0000029	XP_017792656.1, XP_017792675.1	XP_033327295.1
OG0000029	XP_017798436.1	XP_033338642.1
OG0000029	XP_017792700.1	XP_033327378.1
OG0000030	XP_017799391.1, XP_017799392.1	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1
OG0000030	XP_017791372.1	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1
OG0000032	XP_017791965.1	XP_033338046.1
OG0000032	XP_017793574.1	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1
OG0000032	XP_017790226.1	XP_033340631.1
OG0000033	XP_017796735.1	XP_033331624.1
OG0000035	XP_017797282.1	XP_033326685.1
OG0000035	XP_017793793.1, XP_017793792.1	XP_033326629.1, XP_033326628.1
OG0000036	XP_017791823.1	XP_033341377.1, XP_033341389.1
OG0000036	XP_017791802.1	XP_033323972.1
OG0000036	XP_017791824.1	XP_033341270.1, XP_033341293.1, XP_033341282.1
OG0000036	XP_017791822.1	XP_033341364.1
OG0000036	XP_017791523.1, XP_017791522.1	XP_033324523.1, XP_033324493.1
OG0000037	XP_017798855.1	XP_033322268.1
OG0000038	XP_017789191.1	XP_033322848.1
OG0000038	XP_017795058.1	XP_033330101.1
OG0000038	XP_017796401.1	XP_033327050.1
OG0000038	XP_017791877.1	XP_033340658.1
OG0000038	XP_017796596.1	XP_033327650.1
OG0000038	XP_017796281.1	XP_033322343.1
OG0000038	XP_017796681.1, XP_017796680.1	XP_033322376.1, XP_033322375.1
OG0000039	XP_017793816.1	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1
OG0000040	XP_017797294.1	XP_033342116.1
OG0000041	XP_017796748.1	XP_033322537.1
OG0000041	XP_017796749.1	XP_033339804.1, XP_033322547.1, XP_033322535.1, XP_033322540.1
OG0000041	XP_017798373.1	XP_033338815.1
OG0000042	XP_017797246.1	XP_033329807.1, XP_033329806.1
OG0000042	XP_017797230.1	XP_033329812.1
OG0000043	XP_017797621.1	XP_033340088.1
OG0000043	XP_017793787.1	XP_033339734.1
OG0000043	XP_017793789.1	XP_033339691.1
OG0000043	XP_017794273.1	XP_033330269.1
OG0000044	XP_017792515.1	XP_033322614.1
OG0000044	XP_017792514.1	XP_033323078.1, XP_033323667.1
OG0000044	XP_017792527.1, XP_017792526.1	XP_033334549.1
OG0000045	XP_017797443.1	XP_033323543.1
OG0000045	XP_017797444.1	XP_033323567.1, XP_033323555.1
OG0000045	XP_017793667.1	XP_033327991.1
OG0000046	XP_017789468.1	XP_033341697.1
OG0000046	XP_017790988.1	XP_033341090.1
OG0000048	XP_017799483.1	XP_033333402.1
OG0000048	XP_017799479.1	XP_033333340.1, XP_033333349.1, XP_033333668.1, XP_033333667.1
OG0000048	XP_017799581.1	XP_033333675.1
OG0000048	XP_017799481.1	XP_033333398.1
OG0000048	XP_017799488.1	XP_033333474.1
OG0000048	XP_017787394.1	XP_033333347.1
OG0000048	XP_017799482.1	XP_033333671.1
OG0000050	XP_017787690.1	XP_033332897.1, XP_033332837.1
OG0000051	XP_017789577.1	XP_033332759.1, XP_033333536.1
OG0000052	XP_017790871.1	XP_033323679.1
OG0000053	XP_017795064.1	XP_033339815.1, XP_033323538.1, XP_033323537.1, XP_033323540.1
OG0000053	XP_017788510.1, XP_017795065.1	XP_033335402.1, XP_033331112.1
OG0000053	XP_017797143.1	XP_033339896.1
OG0000054	XP_017797421.1	XP_033321308.1
OG0000054	XP_017797390.1	XP_033321391.1, XP_033321390.1
OG0000055	XP_017799533.1	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1
OG0000055	XP_017789854.1	XP_033330133.1
OG0000055	XP_017791354.1	XP_033323580.1
OG0000056	XP_017795795.1	XP_033329125.1
OG0000056	XP_017792816.1	XP_033343017.1
OG0000056	XP_017792926.1	XP_033329947.1
OG0000056	XP_017789030.1	XP_033321060.1
OG0000056	XP_017792979.1	XP_033342931.1, XP_033342927.1
OG0000057	XP_017798095.1	XP_033338100.1
OG0000057	XP_017798766.1	XP_033330917.1
OG0000057	XP_017798094.1	XP_033338102.1
OG0000057	XP_017798097.1	XP_033338099.1
OG0000057	XP_017798098.1	XP_033338103.1
OG0000058	XP_017799435.1, XP_017795874.1, XP_017799434.1, XP_017787376.1	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339287.1, XP_033339137.1, XP_033339139.1, XP_033339138.1, XP_033339134.1
OG0000060	XP_017787543.1	XP_033325149.1, XP_033325147.1
OG0000060	XP_017792478.1	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1
OG0000061	XP_017799273.1	XP_033328585.1
OG0000061	XP_017788550.1, XP_017795246.1	XP_033333649.1
OG0000061	XP_017791843.1	XP_033340644.1
OG0000062	XP_017794533.1	XP_033339725.1
OG0000062	XP_017794504.1	XP_033323498.1
OG0000062	XP_017794526.1	XP_033339724.1
OG0000065	XP_017793945.1	XP_033320904.1
OG0000067	XP_017790603.1	XP_033333911.1
OG0000067	XP_017795551.1	XP_033335042.1
OG0000067	XP_017794648.1	XP_033335707.1
OG0000067	XP_017787992.1	XP_033336615.1
OG0000069	XP_017795598.1, XP_017795596.1, XP_017795597.1, XP_017795595.1	XP_033334725.1
OG0000069	XP_017795600.1	XP_033334726.1, XP_033334728.1
OG0000070	XP_017795125.1	XP_033333758.1
OG0000070	XP_017795128.1	XP_033333759.1
OG0000070	XP_017795126.1	XP_033333736.1, XP_033333776.1
OG0000072	XP_017795069.1	XP_033334346.1
OG0000073	XP_017792787.1	XP_033341264.1, XP_033341263.1, XP_033341369.1
OG0000074	XP_017797397.1	XP_033343118.1
OG0000076	XP_017792759.1, XP_017797054.1	XP_033339833.1
OG0000076	XP_017797047.1, XP_017797064.1, XP_017796208.1	XP_033339062.1, XP_033339066.1, XP_033339064.1, XP_033326534.1
OG0000076	XP_017797036.1, XP_017791630.1	XP_033335205.1, XP_033335207.1, XP_033335206.1, XP_033335208.1
OG0000077	XP_017797118.1, XP_017795753.1	XP_033333760.1
OG0000077	XP_017789897.1	XP_033332959.1
OG0000078	XP_017792696.1	XP_033337649.1
OG0000078	XP_017792652.1	XP_033342126.1
OG0000078	XP_017792653.1, XP_017792695.1	XP_033337334.1, XP_033337342.1, XP_033337625.1, XP_033337637.1
OG0000079	XP_017787942.1, XP_017787943.1	XP_033333837.1
OG0000079	XP_017787939.1	XP_033333901.1
OG0000080	XP_017798424.1	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1
OG0000080	XP_017798328.1	XP_033335311.1
OG0000080	XP_017798422.1	XP_033326285.1
OG0000082	XP_017797726.1	XP_033336170.1
OG0000082	XP_017797683.1	XP_033336010.1
OG0000082	XP_017797684.1	XP_033336011.1
OG0000082	XP_017797819.1	XP_033336012.1
OG0000084	XP_017792624.1	XP_033339433.1
OG0000084	XP_017792625.1	XP_033339434.1
OG0000084	XP_017792708.1	XP_033339432.1
OG0000084	XP_017791300.1	XP_033337518.1
OG0000085	XP_017790689.1	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1
OG0000085	XP_017793167.1	XP_033337654.1
OG0000086	XP_017787894.1	XP_033341642.1
OG0000086	XP_017791806.1	XP_033331032.1
OG0000087	XP_017792917.1	XP_033330624.1, XP_033324927.1
OG0000087	XP_017792908.1	XP_033324926.1
OG0000088	XP_017789815.1	XP_033340711.1
OG0000089	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1	XP_033329242.1, XP_033329243.1, XP_033329244.1
OG0000089	XP_017798058.1	XP_033320834.1
OG0000091	XP_017792668.1, XP_017792670.1	XP_033327591.1, XP_033327610.1
OG0000092	XP_017799316.1	XP_033328764.1
OG0000092	XP_017789003.1, XP_017789058.1, XP_017789059.1	XP_033322679.1, XP_033322678.1
OG0000092	XP_017788769.1	XP_033332253.1
OG0000093	XP_017796719.1	XP_033326118.1, XP_033326113.1
OG0000093	XP_017796355.1, XP_017797106.1	XP_033330936.1
OG0000094	XP_017798959.1	XP_033328912.1
OG0000094	XP_017798352.1	XP_033338575.1
OG0000095	XP_017790301.1	XP_033334699.1, XP_033334698.1
OG0000096	XP_017798525.1	XP_033336669.1
OG0000096	XP_017796013.1	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1
OG0000097	XP_017791424.1, XP_017791423.1	XP_033322825.1
OG0000098	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1	XP_033321452.1, XP_033321450.1, XP_033321451.1
OG0000099	XP_017796840.1	XP_033322301.1
OG0000099	XP_017796299.1, XP_017796300.1	XP_033322345.1
OG0000099	XP_017791883.1	XP_033341688.1
OG0000100	XP_017794869.1	XP_033332436.1, XP_033332438.1, XP_033332435.1
OG0000101	XP_017793334.1	XP_033329295.1
OG0000102	XP_017787422.1	XP_033337546.1
OG0000102	XP_017787495.1	XP_033327585.1
OG0000103	XP_017793916.1	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1
OG0000103	XP_017793918.1	XP_033321001.1
OG0000103	XP_017793920.1	XP_033320999.1, XP_033321000.1
OG0000106	XP_017794550.1	XP_033325290.1
OG0000106	XP_017797471.1	XP_033320766.1, XP_033320765.1, XP_033333838.1, XP_033333876.1, XP_033320767.1
OG0000107	XP_017793002.1	XP_033342710.1
OG0000108	XP_017797595.1	XP_033333478.1
OG0000109	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1
OG0000110	XP_017797747.1	XP_033334675.1, XP_033333647.1
OG0000111	XP_017793968.1	XP_033327466.1
OG0000112	XP_017793364.1	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1
OG0000112	XP_017790673.1	XP_033338986.1
OG0000113	XP_017798381.1	XP_033339074.1
OG0000113	XP_017798181.1	XP_033343072.1, XP_033343071.1, XP_033343075.1
OG0000114	XP_017792121.1	XP_033328279.1
OG0000115	XP_017797018.1	XP_033336981.1
OG0000116	XP_017799593.1	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1
OG0000116	XP_017799604.1	XP_033334348.1, XP_033334350.1, XP_033334349.1
OG0000117	XP_017791704.1	XP_033329862.1
OG0000117	XP_017797358.1	XP_033333385.1
OG0000119	XP_017787392.1	XP_033333666.1
OG0000120	XP_017788040.1	XP_033326033.1, XP_033326042.1
OG0000120	XP_017794605.1	XP_033323873.1
OG0000122	XP_017799142.1	XP_033334236.1
OG0000123	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1	XP_033333520.1, XP_033333521.1
OG0000124	XP_017789119.1	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1
OG0000125	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1	XP_033321046.1, XP_033321048.1
OG0000125	XP_017795819.1	XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1
OG0000126	XP_017792776.1	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1
OG0000127	XP_017799036.1, XP_017799037.1	XP_033341265.1
OG0000129	XP_017792739.1	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1
OG0000130	XP_017787765.1	XP_033328411.1
OG0000130	XP_017789002.1	XP_033328425.1, XP_033328424.1, XP_033328423.1
OG0000130	XP_017791658.1	XP_033328418.1
OG0000131	XP_017790302.1	XP_033335039.1
OG0000131	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1	XP_033340309.1, XP_033340308.1
OG0000132	XP_017798108.1	XP_033338073.1, XP_033338074.1, XP_033338075.1
OG0000132	XP_017798132.1	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1
OG0000133	XP_017788158.1	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1
OG0000133	XP_017795366.1	XP_033332587.1
OG0000134	XP_017789975.1	XP_033326408.1
OG0000135	XP_017799029.1	XP_033328565.1
OG0000135	XP_017788492.1	XP_033329896.1
OG0000136	XP_017788204.1	XP_033340885.1
OG0000136	XP_017788203.1	XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1
OG0000137	XP_017797492.1	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1
OG0000138	XP_017794346.1	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1
OG0000138	XP_017793300.1	XP_033329393.1, XP_033329391.1, XP_033329394.1
OG0000139	XP_017787697.1	XP_033336023.1
OG0000140	XP_017798520.1	XP_033336138.1, XP_033336137.1
OG0000141	XP_017794696.1	XP_033323945.1
OG0000141	XP_017797914.1	XP_033323610.1, XP_033323609.1
OG0000142	XP_017789845.1	XP_033330200.1, XP_033330159.1, XP_033330161.1
OG0000142	XP_017789846.1	XP_033330157.1, XP_033330202.1, XP_033330203.1, XP_033330160.1, XP_033330163.1, XP_033330158.1, XP_033330192.1, XP_033330162.1, XP_033335998.1, XP_033335872.1
OG0000143	XP_017790512.1	XP_033338241.1, XP_033338240.1, XP_033338242.1
OG0000143	XP_017790495.1	XP_033338224.1
OG0000144	XP_017797971.1, XP_017797954.1	XP_033329958.1, XP_033329957.1
OG0000145	XP_017788300.1	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1
OG0000145	XP_017797568.1	XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1
OG0000146	XP_017794829.1	XP_033338432.1
OG0000146	XP_017789218.1	XP_033321210.1
OG0000147	XP_017799321.1	XP_033341113.1, XP_033341112.1
OG0000147	XP_017792150.1, XP_017792149.1, XP_017792148.1	XP_033324165.1
OG0000149	XP_017788095.1	XP_033323096.1
OG0000149	XP_017788073.1	XP_033323100.1, XP_033323099.1
OG0000150	XP_017787586.1, XP_017787587.1	XP_033330026.1, XP_033330029.1
OG0000151	XP_017798042.1, XP_017798041.1	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1
OG0000152	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1
OG0000153	XP_017797758.1	XP_033336074.1, XP_033336076.1, XP_033336075.1
OG0000154	XP_017795372.1	XP_033321243.1, XP_033321242.1
OG0000156	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1
OG0000157	XP_017788939.1	XP_033333782.1
OG0000157	XP_017788698.1	XP_033334269.1
OG0000158	XP_017793670.1	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1
OG0000160	XP_017795191.1	XP_033342703.1, XP_033342702.1
OG0000161	XP_017791738.1	XP_033331231.1
OG0000161	XP_017791682.1	XP_033321839.1
OG0000162	XP_017797980.1	XP_033334806.1
OG0000162	XP_017787385.1	XP_033338174.1
OG0000164	XP_017797560.1	XP_033320763.1
OG0000164	XP_017797561.1	XP_033343121.1
OG0000165	XP_017789911.1	XP_033333149.1, XP_033333152.1
OG0000165	XP_017795542.1	XP_033335006.1
OG0000168	XP_017790457.1	XP_033341755.1
OG0000168	XP_017789057.1	XP_033339918.1
OG0000169	XP_017797588.1	XP_033338959.1
OG0000169	XP_017797579.1	XP_033333679.1
OG0000170	XP_017790420.1	XP_033325780.1
OG0000170	XP_017790362.1	XP_033325783.1
OG0000171	XP_017787774.1	XP_033333068.1
OG0000171	XP_017787850.1, XP_017787824.1	XP_033333056.1
OG0000172	XP_017792473.1, XP_017792475.1, XP_017792474.1, XP_017792472.1, XP_017792476.1	XP_033326361.1
OG0000173	XP_017794775.1, XP_017794776.1	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1
OG0000174	XP_017798800.1	XP_033336682.1, XP_033336684.1, XP_033336683.1
OG0000175	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1
OG0000176	XP_017790348.1	XP_033321468.1, XP_033321469.1
OG0000177	XP_017795594.1	XP_033335034.1
OG0000177	XP_017795592.1	XP_033334971.1
OG0000177	XP_017795589.1	XP_033334932.1
OG0000178	XP_017790433.1	XP_033330470.1, XP_033330472.1
OG0000179	XP_017791990.1	XP_033324424.1
OG0000179	XP_017791524.1	XP_033329714.1
OG0000180	XP_017787401.1, XP_017787400.1, XP_017787399.1	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1
OG0000181	XP_017792968.1	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1
OG0000182	XP_017794377.1	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1
OG0000183	XP_017795084.1	XP_033334085.1
OG0000183	XP_017796132.1	XP_033333570.1
OG0000184	XP_017798954.1	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1
OG0000185	XP_017797685.1	XP_033335697.1
OG0000185	XP_017797731.1	XP_033335695.1, XP_033335694.1
OG0000186	XP_017790553.1, XP_017790555.1	XP_033322600.1
OG0000187	XP_017797342.1	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1
OG0000188	XP_017794866.1	XP_033338475.1
OG0000188	XP_017791383.1	XP_033325090.1
OG0000188	XP_017795271.1	XP_033332397.1, XP_033339920.1
OG0000189	XP_017795367.1	XP_033338330.1
OG0000190	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_033320777.1, XP_033320785.1, XP_033320794.1, XP_033320771.1
OG0000191	XP_017795883.1	XP_033324612.1, XP_033324613.1
OG0000192	XP_017792725.1	XP_033330674.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1, XP_033330689.1, XP_033330679.1, XP_033330678.1, XP_033330686.1, XP_033330685.1, XP_033330677.1, XP_033330690.1, XP_033330687.1, XP_033330688.1, XP_033330692.1, XP_033330676.1, XP_033330675.1
OG0000194	XP_017799440.1	XP_033339145.1
OG0000194	XP_017799442.1	XP_033339236.1
OG0000194	XP_017799441.1	XP_033339238.1
OG0000194	XP_017799437.1	XP_033339249.1
OG0000196	XP_017791366.1	XP_033325034.1
OG0000196	XP_017791305.1	XP_033326430.1
OG0000197	XP_017794596.1	XP_033335784.1, XP_033335975.1, XP_033335974.1, XP_033335976.1, XP_033335973.1
OG0000198	XP_017787675.1	XP_033335479.1
OG0000200	XP_017793346.1	XP_033342572.1
OG0000200	XP_017793347.1	XP_033342575.1
OG0000201	XP_017790031.1	XP_033340961.1, XP_033340957.1
OG0000202	XP_017791030.1	XP_033333432.1, XP_033333433.1
OG0000202	XP_017795643.1	XP_033333451.1
OG0000203	XP_017794211.1	XP_033330196.1
OG0000203	XP_017790332.1	XP_033332078.1
OG0000204	XP_017788993.1	XP_033332020.1, XP_033332021.1
OG0000205	XP_017788047.1	XP_033323241.1, XP_033323242.1, XP_033323243.1, XP_033323244.1
OG0000206	XP_017794929.1	XP_033326327.1, XP_033326324.1
OG0000206	XP_017794889.1, XP_017794888.1, XP_017794887.1	XP_033326332.1, XP_033332305.1
OG0000207	XP_017793342.1	XP_033334745.1
OG0000207	XP_017791361.1	XP_033335457.1
OG0000207	XP_017791356.1	XP_033335455.1
OG0000208	XP_017791349.1	XP_033335301.1
OG0000208	XP_017797296.1	XP_033342197.1
OG0000208	XP_017797298.1	XP_033342198.1
OG0000208	XP_017796380.1	XP_033341683.1, XP_033341671.1
OG0000209	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1	XP_033325797.1, XP_033325796.1
OG0000210	XP_017789022.1	XP_033321038.1
OG0000210	XP_017790992.1	XP_033331494.1
OG0000210	XP_017789769.1	XP_033339699.1
OG0000212	XP_017793996.1	XP_033337306.1
OG0000212	XP_017793987.1, XP_017793986.1	XP_033337304.1, XP_033337305.1
OG0000213	XP_017789586.1	XP_033335273.1, XP_033335255.1, XP_033335248.1, XP_033335265.1
OG0000214	XP_017794266.1	XP_033329279.1
OG0000214	XP_017792781.1, XP_017792782.1	XP_033332495.1
OG0000215	XP_017796692.1	XP_033324846.1
OG0000215	XP_017796575.1	XP_033324848.1
OG0000216	XP_017793604.1	XP_033329437.1
OG0000217	XP_017789113.1	XP_033326893.1
OG0000218	XP_017795109.1	XP_033324698.1, XP_033324701.1, XP_033324699.1, XP_033324700.1, XP_033324694.1, XP_033324693.1, XP_033324696.1, XP_033324695.1
