Orthogroup	Eufriesea_mexicana	Megalopta_genalis
OG0000031	XP_017764156.1, XP_017764173.1, XP_017756939.1, XP_017757028.1, XP_017757262.1, XP_017764182.1, XP_017764190.1, XP_017764164.1, XP_017757183.1, XP_017757105.1	XP_033326345.1, XP_033326344.1, XP_033326347.1, XP_033326346.1, XP_033326351.1, XP_033326352.1, XP_033326348.1, XP_033326349.1
OG0000032	XP_017760292.1, XP_017760294.1, XP_017760295.1, XP_017760293.1, XP_017760298.1, XP_017760299.1, XP_017760296.1	XP_033329243.1, XP_033329242.1, XP_033329244.1
OG0000033	XP_017757082.1, XP_017757081.1, XP_017757084.1, XP_017757083.1	XP_033336003.1, XP_033336004.1, XP_033336005.1, XP_033336006.1, XP_033336007.1, XP_033336008.1, XP_033336009.1
OG0000034	XP_017755245.1	XP_033324165.1
OG0000034	XP_017764859.1	XP_033341112.1, XP_033341113.1
OG0000035	XP_017753788.1, XP_017753789.1	XP_033324679.1, XP_033324678.1, XP_033324677.1, XP_033324680.1
OG0000036	XP_017753439.1, XP_017753440.1	XP_033335344.1, XP_033335343.1, XP_033335345.1, XP_033335342.1, XP_033335341.1
OG0000037	XP_017764881.1	XP_033328353.1, XP_033328354.1, XP_033328352.1, XP_033328348.1, XP_033328347.1, XP_033328345.1, XP_033328346.1, XP_033328349.1, XP_033328356.1, XP_033328355.1
OG0000038	XP_017759271.1, XP_017759272.1, XP_017755960.1, XP_017755959.1	XP_033322825.1
OG0000039	XP_017755128.1, XP_017755127.1, XP_017755129.1	XP_033335273.1, XP_033335248.1, XP_033335255.1, XP_033335265.1
OG0000040	XP_017756955.1, XP_017756954.1, XP_017756957.1, XP_017756956.1, XP_017756953.1, XP_017756959.1, XP_017756958.1, XP_017756961.1	XP_033325796.1, XP_033325797.1
OG0000041	XP_017754682.1	XP_033337279.1
OG0000041	XP_017762235.1	XP_033321520.1
OG0000041	XP_017756504.1	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1
OG0000042	XP_017756873.1, XP_017756878.1	XP_033327860.1, XP_033327858.1, XP_033327861.1, XP_033327862.1
OG0000043	XP_017764300.1, XP_017764303.1, XP_017764301.1, XP_017764302.1, XP_017764299.1, XP_017764298.1	XP_033341999.1
OG0000044	XP_017762070.1	XP_033324696.1, XP_033324693.1, XP_033324694.1, XP_033324700.1, XP_033324699.1, XP_033324698.1, XP_033324701.1, XP_033324695.1
OG0000045	XP_017762448.1	XP_033321464.1
OG0000045	XP_017762444.1	XP_033339062.1, XP_033339064.1, XP_033339066.1, XP_033326534.1
OG0000047	XP_017761001.1	XP_033328481.1
OG0000047	XP_017764547.1	XP_033328625.1
OG0000047	XP_017764538.1	XP_033328581.1
OG0000049	XP_017761867.1	XP_033341369.1, XP_033341264.1, XP_033341263.1
OG0000050	XP_017764208.1, XP_017764210.1, XP_017764209.1	XP_033332614.1, XP_033332612.1, XP_033332613.1, XP_033332615.1
OG0000051	XP_017755704.1	XP_033325147.1, XP_033325149.1
OG0000052	XP_017767765.1	XP_033321049.1
OG0000052	XP_017752170.1	XP_033333313.1, XP_033333310.1, XP_033333311.1, XP_033333314.1
OG0000053	XP_017767300.1, XP_017767299.1	XP_033323667.1, XP_033323078.1
OG0000054	XP_017752159.1, XP_017752160.1, XP_017752157.1, XP_017752163.1, XP_017752162.1, XP_017752161.1, XP_017767778.1	XP_033321046.1, XP_033321048.1
OG0000055	XP_017755787.1, XP_017755788.1	XP_033333278.1, XP_033333280.1, XP_033333281.1, XP_033333279.1
OG0000056	XP_017765580.1, XP_017759914.1, XP_017759915.1, XP_017759916.1	XP_033336684.1, XP_033336683.1, XP_033336682.1
OG0000059	XP_017764543.1	XP_033328603.1, XP_033328582.1, XP_033328621.1
OG0000059	XP_017754143.1	XP_033328576.1
OG0000060	XP_017755619.1	XP_033324135.1, XP_033324136.1
OG0000063	XP_017761192.1	XP_033341364.1
OG0000063	XP_017761194.1	XP_033341282.1
OG0000064	XP_017765235.1	XP_033322375.1, XP_033322376.1
OG0000064	XP_017766133.1	XP_033322848.1
OG0000065	XP_017763404.1, XP_017763403.1	XP_033334751.1, XP_033334748.1, XP_033334749.1, XP_033334750.1
OG0000066	XP_017760463.1, XP_017760479.1, XP_017760437.1, XP_017760456.1, XP_017760471.1, XP_017760487.1, XP_017760447.1, XP_017760493.1	XP_033322048.1, XP_033322049.1, XP_033322050.1
OG0000067	XP_017767297.1, XP_017767298.1	XP_033334552.1
OG0000069	XP_017752578.1, XP_017752577.1	XP_033336074.1, XP_033336075.1, XP_033336076.1
OG0000070	XP_017760341.1, XP_017758953.1, XP_017758954.1	XP_033330676.1, XP_033330685.1, XP_033330686.1, XP_033330689.1, XP_033330692.1, XP_033330678.1, XP_033330679.1, XP_033330690.1, XP_033330677.1, XP_033330674.1, XP_033330675.1, XP_033330687.1, XP_033330688.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1
OG0000071	XP_017755804.1	XP_033333385.1
OG0000072	XP_017755418.1, XP_017755417.1, XP_017755416.1, XP_017755419.1	XP_033341823.1, XP_033341838.1, XP_033341847.1, XP_033341813.1, XP_033341832.1
OG0000073	XP_017761423.1	XP_033330026.1, XP_033330029.1
OG0000074	XP_017765620.1, XP_017758638.1, XP_017758637.1	XP_033323885.1, XP_033323887.1
OG0000076	XP_017756858.1	XP_033334963.1, XP_033334929.1, XP_033334954.1, XP_033334945.1, XP_033334936.1
OG0000077	XP_017765695.1, XP_017765694.1	XP_033322600.1
OG0000078	XP_017765599.1, XP_017757743.1, XP_017757733.1	XP_033326692.1, XP_033331288.1
OG0000079	XP_017762072.1	XP_033324601.1
OG0000080	XP_017753139.1	XP_033328473.1
OG0000081	XP_017762308.1, XP_017762307.1	XP_033342457.1, XP_033342461.1
OG0000082	XP_017763260.1	XP_033341517.1
OG0000083	XP_017752414.1, XP_017752413.1	XP_033323244.1, XP_033323243.1, XP_033323242.1, XP_033323241.1
OG0000085	XP_017758814.1	XP_033334351.1, XP_033334352.1
OG0000087	XP_017761493.1	XP_033342872.1
OG0000090	XP_017757147.1	XP_033338119.1, XP_033338120.1, XP_033338121.1, XP_033338123.1, XP_033338118.1, XP_033338124.1
OG0000091	XP_017757596.1, XP_017757597.1, XP_017757598.1	XP_033323823.1, XP_033323824.1, XP_033323821.1, XP_033323822.1
OG0000092	XP_017762078.1	XP_033332592.1, XP_033342844.1, XP_033337278.1, XP_033328507.1, XP_033333275.1, XP_033329818.1, XP_033332262.1
OG0000093	XP_017761469.1, XP_017761468.1	XP_033342589.1, XP_033342588.1, XP_033342587.1, XP_033342590.1, XP_033342594.1, XP_033342595.1, XP_033342586.1, XP_033342593.1
OG0000094	XP_017756314.1, XP_017756313.1, XP_017756312.1	XP_033341961.1, XP_033341964.1, XP_033341962.1, XP_033341963.1
OG0000095	XP_017761268.1	XP_033340438.1, XP_033340437.1, XP_033340435.1, XP_033340436.1
OG0000096	XP_017755355.1	XP_033327190.1
OG0000097	XP_017756661.1, XP_017756664.1, XP_017756662.1, XP_017756663.1	XP_033339361.1, XP_033339360.1, XP_033339359.1, XP_033339357.1, XP_033339358.1
OG0000098	XP_017758002.1	XP_033339580.1
OG0000099	XP_017753055.1, XP_017753057.1, XP_017753056.1	XP_033340259.1, XP_033340261.1, XP_033340260.1, XP_033340258.1
OG0000101	XP_017762179.1	XP_033326283.1
OG0000102	XP_017761688.1, XP_017761692.1, XP_017761690.1, XP_017761691.1	XP_033333983.1, XP_033333985.1, XP_033333982.1
OG0000103	XP_017754876.1	XP_033334793.1, XP_033334791.1, XP_033334792.1
OG0000104	XP_017767455.1	XP_033325779.1
OG0000105	XP_017752876.1	XP_033330005.1, XP_033330008.1, XP_033330004.1, XP_033330007.1, XP_033330006.1, XP_033330009.1
OG0000106	XP_017754218.1	XP_033335286.1
OG0000109	XP_017763632.1	XP_033337630.1, XP_033337629.1, XP_033337631.1
OG0000110	XP_017759315.1	XP_033336486.1, XP_033336485.1
OG0000113	XP_017761057.1	XP_033324463.1, XP_033324455.1, XP_033324487.1, XP_033324472.1, XP_033324481.1
OG0000114	XP_017762074.1, XP_017762076.1, XP_017762077.1	XP_033324702.1
OG0000115	XP_017759960.1, XP_017759969.1	XP_033338597.1, XP_033338594.1, XP_033338596.1, XP_033338595.1, XP_033338590.1, XP_033338592.1, XP_033338591.1, XP_033338593.1
OG0000116	XP_017759381.1, XP_017759382.1, XP_017759380.1, XP_017759385.1	XP_033335852.1, XP_033335851.1, XP_033335854.1, XP_033335853.1
OG0000117	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_033320794.1, XP_033320777.1, XP_033320785.1, XP_033320771.1
OG0000118	XP_017755441.1, XP_017755443.1, XP_017755442.1, XP_017755445.1, XP_017755444.1, XP_017755448.1, XP_017755446.1	XP_033341864.1, XP_033341872.1
OG0000119	XP_017757875.1	XP_033333649.1
OG0000120	XP_017762310.1, XP_017765591.1, XP_017762297.1, XP_017753025.1	XP_033337565.1, XP_033337616.1, XP_033337576.1, XP_033337589.1, XP_033337322.1, XP_033337603.1, XP_033337334.1, XP_033337342.1, XP_033337637.1, XP_033337625.1
OG0000121	XP_017758615.1, XP_017758616.1, XP_017758614.1	XP_033329737.1
OG0000122	XP_017759065.1, XP_017759064.1	XP_033340167.1, XP_033340169.1
OG0000124	XP_017765196.1, XP_017765195.1, XP_017765197.1, XP_017765198.1	XP_033335144.1, XP_033335143.1, XP_033335142.1, XP_033335145.1
OG0000125	XP_017759625.1	XP_033322509.1, XP_033338371.1, XP_033338373.1
OG0000126	XP_017755102.1	XP_033332905.1, XP_033332906.1, XP_033332896.1, XP_033332898.1, XP_033332899.1, XP_033332902.1, XP_033332904.1, XP_033332900.1, XP_033332901.1
OG0000127	XP_017766918.1	XP_033325356.1
OG0000127	XP_017766920.1, XP_017766930.1, XP_017766937.1, XP_017766938.1	XP_033340025.1
OG0000128	XP_017753707.1	XP_033337265.1, XP_033337266.1, XP_033337267.1, XP_033337269.1, XP_033337270.1, XP_033337268.1
OG0000129	XP_017759636.1	XP_033324466.1, XP_033324465.1, XP_033324464.1
OG0000130	XP_017759671.1	XP_033331923.1, XP_033331924.1, XP_033331922.1
OG0000131	XP_017760921.1, XP_017760917.1, XP_017760918.1, XP_017760919.1	XP_033342656.1, XP_033342657.1, XP_033342660.1, XP_033342658.1, XP_033342659.1, XP_033342655.1
OG0000132	XP_017757477.1	XP_033328245.1
OG0000135	XP_017763314.1, XP_017763313.1, XP_017763312.1, XP_017763311.1, XP_017763310.1	XP_033335530.1, XP_033335529.1, XP_033335528.1, XP_033335531.1
OG0000136	XP_017762446.1, XP_017756490.1, XP_017765529.1	XP_033329188.1
OG0000137	XP_017764351.1	XP_033322368.1
OG0000137	XP_017757680.1, XP_017763339.1	XP_033326115.1
OG0000139	XP_017767595.1, XP_017767594.1	XP_033326623.1
OG0000140	XP_017753603.1	XP_033332465.1, XP_033332464.1
OG0000141	XP_017766587.1, XP_017766604.1, XP_017766595.1	XP_033322099.1, XP_033322094.1, XP_033322100.1, XP_033322098.1, XP_033322097.1, XP_033322095.1
OG0000142	XP_017766127.1, XP_017766135.1, XP_017756789.1, XP_017756788.1	XP_033329994.1, XP_033332455.1, XP_033332539.1
OG0000143	XP_017761464.1, XP_017761449.1, XP_017761457.1	XP_033340309.1, XP_033340308.1
OG0000144	XP_017754095.1, XP_017754093.1, XP_017754096.1, XP_017754097.1	XP_033328638.1, XP_033328637.1, XP_033328636.1
OG0000146	XP_017759692.1	XP_033335472.1
OG0000147	XP_017753919.1	XP_033329204.1, XP_033329208.1, XP_033329209.1, XP_033329205.1, XP_033329207.1, XP_033329210.1
OG0000148	XP_017761808.1, XP_017761809.1	XP_033334305.1, XP_033334302.1, XP_033334301.1, XP_033334304.1
OG0000149	XP_017757484.1, XP_017757483.1, XP_017757482.1	XP_033332751.1
OG0000150	XP_017764388.1	XP_033340372.1, XP_033340373.1, XP_033340375.1, XP_033340374.1
OG0000151	XP_017756441.1	XP_033340563.1
OG0000152	XP_017754464.1	XP_033323605.1, XP_033323606.1
OG0000153	XP_017764516.1, XP_017759423.1	XP_033330936.1
OG0000155	XP_017752598.1, XP_017752600.1, XP_017752604.1, XP_017752603.1, XP_017752602.1, XP_017752601.1, XP_017752605.1, XP_017752599.1, XP_017752596.1, XP_017752595.1	XP_033339983.1
OG0000156	XP_017765698.1, XP_017765697.1, XP_017765696.1	XP_033338224.1
OG0000157	XP_017753462.1, XP_017753460.1	XP_033340891.1, XP_033340948.1
OG0000158	XP_017752864.1	XP_033324595.1, XP_033324597.1, XP_033324598.1, XP_033324600.1, XP_033324596.1, XP_033324599.1
OG0000159	XP_017757286.1	XP_033341034.1, XP_033341035.1, XP_033341036.1, XP_033341044.1, XP_033341039.1, XP_033341042.1, XP_033341043.1, XP_033341041.1, XP_033341033.1, XP_033341032.1, XP_033341037.1, XP_033341038.1
OG0000160	XP_017762808.1, XP_017762798.1	XP_033334444.1, XP_033334451.1
OG0000160	XP_017763918.1, XP_017763923.1	XP_033334453.1
OG0000161	XP_017752918.1, XP_017752916.1, XP_017752917.1, XP_017752915.1	XP_033338617.1, XP_033338616.1, XP_033338842.1
OG0000162	XP_017754406.1	XP_033340314.1, XP_033340315.1, XP_033340313.1, XP_033340310.1
OG0000163	XP_017765374.1, XP_017765375.1, XP_017765376.1	XP_033325441.1
OG0000164	XP_017764057.1	XP_033331312.1, XP_033331313.1
OG0000165	XP_017762757.1	XP_033333308.1, XP_033333301.1, XP_033333312.1, XP_033333320.1
OG0000166	XP_017762820.1, XP_017762821.1, XP_017762819.1	XP_033328363.1
OG0000167	XP_017758010.1, XP_017758016.1, XP_017758017.1, XP_017758018.1, XP_017758011.1, XP_017758012.1, XP_017758013.1, XP_017758009.1	XP_033341189.1
OG0000168	XP_017757433.1	XP_033323834.1, XP_033323835.1
OG0000169	XP_017765669.1	XP_033332192.1
OG0000170	XP_017763761.1	XP_033323045.1, XP_033322951.1
OG0000171	XP_017763945.1	XP_033334479.1
OG0000172	XP_017757145.1	XP_033338100.1
OG0000172	XP_017757194.1	XP_033338102.1
OG0000172	XP_017767144.1	XP_033330917.1
OG0000173	XP_017766040.1, XP_017766039.1	XP_033341477.1, XP_033341474.1, XP_033341487.1, XP_033341483.1
OG0000174	XP_017758626.1, XP_017758628.1, XP_017758627.1	XP_033329797.1
OG0000175	XP_017760787.1	XP_033342393.1
OG0000176	XP_017765023.1, XP_017765019.1	XP_033321740.1, XP_033321739.1
OG0000177	XP_017765621.1, XP_017766192.1, XP_017766182.1, XP_017765612.1, XP_017753075.1	XP_033321839.1
OG0000177	XP_017766190.1	XP_033331231.1
OG0000178	XP_017757043.1	XP_033326630.1, XP_033335186.1, XP_033335200.1, XP_033335199.1, XP_033335198.1
OG0000179	XP_017766856.1	XP_033323438.1
OG0000180	XP_017758446.1	XP_033325819.1, XP_033325821.1, XP_033325822.1
OG0000181	XP_017762004.1, XP_017762005.1	XP_033322282.1, XP_033322281.1, XP_033322284.1, XP_033322283.1, XP_033322286.1, XP_033322285.1
OG0000182	XP_017755798.1	XP_033321343.1, XP_033321342.1, XP_033321344.1
OG0000183	XP_017761880.1, XP_017761881.1, XP_017761882.1	XP_033328687.1
OG0000184	XP_017766254.1, XP_017766253.1	XP_033325763.1
OG0000185	XP_017760240.1, XP_017760239.1	XP_033320838.1, XP_033320836.1, XP_033320837.1
OG0000186	XP_017763651.1, XP_017763644.1	XP_033337769.1
OG0000187	XP_017753953.1, XP_017753952.1, XP_017756071.1, XP_017756070.1, XP_017756072.1, XP_017753957.1	XP_033329875.1, XP_033329874.1
OG0000188	XP_017765200.1	XP_033321545.1, XP_033321544.1
OG0000189	XP_017754652.1, XP_017754659.1, XP_017754667.1	XP_033334134.1
OG0000190	XP_017766410.1, XP_017766409.1, XP_017766414.1, XP_017766415.1, XP_017766412.1, XP_017766413.1	XP_033337368.1, XP_033337377.1, XP_033337357.1
OG0000191	XP_017753554.1	XP_033322576.1
OG0000192	XP_017754347.1	XP_033322054.1, XP_033322055.1
OG0000193	XP_017761219.1	XP_033340517.1, XP_033340518.1
OG0000194	XP_017760945.1, XP_017760944.1	XP_033342648.1, XP_033342647.1, XP_033342649.1, XP_033342645.1, XP_033342644.1
OG0000195	XP_017755677.1, XP_017755678.1, XP_017755679.1	XP_033321430.1, XP_033321431.1, XP_033321429.1
OG0000197	XP_017757949.1	XP_033331112.1, XP_033339815.1, XP_033323538.1, XP_033323537.1, XP_033323540.1
OG0000197	XP_017760652.1	XP_033339896.1
OG0000198	XP_017765770.1, XP_017765759.1	XP_033322502.1, XP_033339875.1, XP_033322501.1, XP_033322500.1, XP_033322503.1
OG0000200	XP_017753509.1, XP_017753508.1	XP_033326152.1, XP_033326153.1, XP_033326154.1, XP_033326155.1, XP_033326156.1, XP_033326151.1
OG0000201	XP_017755856.1, XP_017755853.1, XP_017755854.1, XP_017755851.1, XP_017755852.1, XP_017755858.1, XP_017755857.1	XP_033339218.1
OG0000202	XP_017760841.1	XP_033342968.1, XP_033342969.1, XP_033342966.1, XP_033342965.1, XP_033342964.1
OG0000203	XP_017761525.1, XP_017761524.1, XP_017761523.1	XP_033336084.1
OG0000204	XP_017759506.1, XP_017759507.1	XP_033322184.1, XP_033322183.1, XP_033322176.1, XP_033322177.1
OG0000205	XP_017755660.1	XP_033333094.1
OG0000206	XP_017757359.1	XP_033321632.1, XP_033321633.1
OG0000207	XP_017762624.1	XP_033329549.1, XP_033329550.1, XP_033329551.1, XP_033329552.1
OG0000208	XP_017764212.1, XP_017764213.1, XP_017764211.1	XP_033330350.1, XP_033330348.1, XP_033330352.1, XP_033330353.1, XP_033330349.1, XP_033330351.1
OG0000209	XP_017755037.1, XP_017755038.1	XP_033321121.1, XP_033321122.1
OG0000210	XP_017765046.1	XP_033324748.1, XP_033324745.1, XP_033324753.1
OG0000211	XP_017761260.1, XP_017761259.1	XP_033330324.1, XP_033330323.1
OG0000212	XP_017760364.1, XP_017760363.1, XP_017760362.1	XP_033342456.1, XP_033342455.1, XP_033342453.1
OG0000213	XP_017765989.1, XP_017765987.1	XP_033322907.1, XP_033322909.1, XP_033322906.1, XP_033322908.1
OG0000214	XP_017765450.1, XP_017765451.1	XP_033325212.1, XP_033325213.1
OG0000215	XP_017762915.1	XP_033323142.1
OG0000216	XP_017766078.1	XP_033323741.1, XP_033323739.1, XP_033323740.1
OG0000217	XP_017763974.1, XP_017764053.1	XP_033321019.1, XP_033321020.1
OG0000218	XP_017765029.1	XP_033324848.1, XP_033324846.1
OG0000219	XP_017760481.1	XP_033324531.1, XP_033324539.1, XP_033324524.1, XP_033324510.1, XP_033324519.1
OG0000220	XP_017764513.1	XP_033328845.1, XP_033335222.1, XP_033335513.1, XP_033324575.1, XP_033324992.1, XP_033335291.1, XP_033335305.1, XP_033339857.1, XP_033335510.1, XP_033335471.1, XP_033335515.1, XP_033339328.1, XP_033335514.1, XP_033335512.1, XP_033335511.1, XP_033335309.1, XP_033331754.1, XP_033321453.1
OG0000221	XP_017759937.1	XP_033335782.1, XP_033335781.1, XP_033335780.1
OG0000222	XP_017762934.1	XP_033340878.1
OG0000222	XP_017767431.1	XP_033331406.1
OG0000223	XP_017760444.1	XP_033330464.1, XP_033330462.1, XP_033330463.1
OG0000224	XP_017760492.1	XP_033337798.1, XP_033337797.1, XP_033337796.1
OG0000226	XP_017761831.1	XP_033339886.1, XP_033339893.1, XP_033339899.1, XP_033339905.1
OG0000227	XP_017756242.1, XP_017756241.1	XP_033341624.1
OG0000227	XP_017756232.1	XP_033341626.1
OG0000228	XP_017764855.1, XP_017764854.1, XP_017764853.1	XP_033328835.1, XP_033330123.1
OG0000229	XP_017753960.1	XP_033339441.1
OG0000230	XP_017764495.1	XP_033331798.1, XP_033331801.1, XP_033331802.1, XP_033331799.1, XP_033331800.1, XP_033331803.1
OG0000231	XP_017763159.1, XP_017763158.1, XP_017763161.1, XP_017763160.1	XP_033333198.1
OG0000232	XP_017766787.1	XP_033331541.1, XP_033331557.1, XP_033331549.1, XP_033331564.1, XP_033331533.1
OG0000234	XP_017756007.1, XP_017756006.1, XP_017756004.1, XP_017756005.1, XP_017756003.1	XP_033337469.1
OG0000235	XP_017752374.1, XP_017752371.1, XP_017752372.1	XP_033323099.1, XP_033323100.1
OG0000236	XP_017764392.1, XP_017764391.1	XP_033328401.1
OG0000237	XP_017752738.1	XP_033324532.1
OG0000238	XP_017765337.1, XP_017765335.1, XP_017765336.1	XP_033332150.1
OG0000239	XP_017765562.1	XP_033334973.1
OG0000240	XP_017757896.1, XP_017757897.1	XP_033337696.1
OG0000241	XP_017759546.1	XP_033327460.1, XP_033327459.1, XP_033327458.1
OG0000242	XP_017753451.1	XP_033328430.1, XP_033328429.1, XP_033328391.1, XP_033327890.1
OG0000243	XP_017753486.1, XP_017753487.1	XP_033340737.1, XP_033340738.1, XP_033340739.1
OG0000244	XP_017755394.1	XP_033338068.1, XP_033337989.1, XP_033337902.1, XP_033338145.1
OG0000245	XP_017758588.1	XP_033322573.1, XP_033322572.1, XP_033322571.1
OG0000246	XP_017752449.1	XP_033322795.1
OG0000246	XP_017765588.1, XP_017753107.1	XP_033339858.1, XP_033326784.1, XP_033326778.1, XP_033326780.1
OG0000247	XP_017762833.1	XP_033328483.1, XP_033328484.1, XP_033328485.1, XP_033328486.1, XP_033328487.1
OG0000248	XP_017765753.1	XP_033329923.1
OG0000249	XP_017755131.1	XP_033327591.1, XP_033327610.1
OG0000250	XP_017753496.1	XP_033326206.1
OG0000251	XP_017765225.1	XP_033342906.1, XP_033342925.1, XP_033342916.1, XP_033342897.1, XP_033342933.1, XP_033342942.1, XP_033342888.1
OG0000252	XP_017767385.1	XP_033325470.1, XP_033325469.1, XP_033325468.1
OG0000253	XP_017759463.1, XP_017759475.1, XP_017759465.1	XP_033329957.1, XP_033329958.1
OG0000254	XP_017767116.1, XP_017767118.1, XP_017767117.1	XP_033327765.1
OG0000255	XP_017759954.1, XP_017759955.1, XP_017759953.1, XP_017759956.1	XP_033336696.1, XP_033336697.1, XP_033336698.1, XP_033336699.1, XP_033336695.1, XP_033336694.1, XP_033336700.1
OG0000256	XP_017765643.1, XP_017765658.1, XP_017765668.1, XP_017765677.1, XP_017765690.1, XP_017765683.1, XP_017765699.1, XP_017765650.1, XP_017765592.1	XP_033329058.1, XP_033329059.1, XP_033329045.1
OG0000257	XP_017767214.1	XP_033336466.1
OG0000258	XP_017757117.1	XP_033325255.1, XP_033325257.1, XP_033325256.1
OG0000259	XP_017764041.1	XP_033330960.1
