Orthogroup	Eufriesea_mexicana	Osmia_lignaria
OG0000012	XP_017756205.1, XP_017756206.1, XP_017756207.1, XP_017756208.1, XP_017756209.1, XP_017756212.1, XP_017756211.1, XP_017756210.1	XP_034186457.1, XP_034186455.1, XP_034186454.1, XP_034186459.1, XP_034186458.1, XP_034186462.1, XP_034186460.1, XP_034186461.1, XP_034186464.1, XP_034186463.1
OG0000013	XP_017766957.1	XP_034194692.1
OG0000014	XP_017754149.1	XP_034172221.1, XP_034172089.1, XP_034195019.1, XP_034171801.1, XP_034174017.1, XP_034173430.1
OG0000014	XP_017764550.1	XP_034184143.1, XP_034172344.1, XP_034172482.1, XP_034173947.1, XP_034173516.1, XP_034173945.1
OG0000015	XP_017766522.1	XP_034178503.1
OG0000017	XP_017764548.1	XP_034173428.1, XP_034173938.1, XP_034171974.1, XP_034183944.1, XP_034173515.1, XP_034171836.1, XP_034173514.1, XP_034195016.1, XP_034171788.1
OG0000018	XP_017765545.1, XP_017765546.1, XP_017765543.1, XP_017765544.1, XP_017765541.1, XP_017765542.1, XP_017765540.1	XP_034187723.1, XP_034187722.1, XP_034187720.1, XP_034187719.1, XP_034187724.1
OG0000019	XP_017759439.1, XP_017759448.1	XP_034195722.1, XP_034195724.1, XP_034195725.1, XP_034195721.1, XP_034195720.1, XP_034195717.1, XP_034195716.1, XP_034195719.1, XP_034195718.1, XP_034195715.1, XP_034195714.1
OG0000020	XP_017766952.1, XP_017766939.1, XP_017766929.1, XP_017766928.1, XP_017766924.1, XP_017766923.1, XP_017766932.1	XP_034179515.1, XP_034179497.1, XP_034179001.1, XP_034179112.1, XP_034179105.1, XP_034192240.1, XP_034179568.1, XP_034179326.1, XP_034179496.1, XP_034179104.1, XP_034179567.1, XP_034179107.1, XP_034179109.1, XP_034178945.1, XP_034179106.1, XP_034179327.1, XP_034178946.1
OG0000021	XP_017759127.1	XP_034194686.1, XP_034177277.1, XP_034196681.1, XP_034194632.1
OG0000022	XP_017752524.1, XP_017752525.1, XP_017752522.1, XP_017752521.1, XP_017752519.1, XP_017752523.1	XP_034190542.1, XP_034190549.1, XP_034190548.1, XP_034190550.1, XP_034190544.1, XP_034190547.1, XP_034190545.1, XP_034190543.1
OG0000023	XP_017762861.1, XP_017753050.1, XP_017759221.1, XP_017760971.1, XP_017757975.1, XP_017762901.1, XP_017765503.1, XP_017759096.1	XP_034194812.1
OG0000024	XP_017763357.1	XP_034194556.1, XP_034183419.1, XP_034195153.1, XP_034192177.1, XP_034194575.1, XP_034194883.1, XP_034194909.1, XP_034187270.1, XP_034187269.1, XP_034187268.1, XP_034187271.1
OG0000025	XP_017753605.1, XP_017753606.1, XP_017753607.1, XP_017753608.1, XP_017753604.1	XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182855.1, XP_034182851.1, XP_034182850.1, XP_034182856.1
OG0000026	XP_017760518.1, XP_017760517.1, XP_017760519.1, XP_017760520.1, XP_017760522.1, XP_017760521.1, XP_017760524.1, XP_017760523.1	XP_034189435.1, XP_034189434.1, XP_034189436.1, XP_034189437.1, XP_034189438.1
OG0000027	XP_017753388.1	XP_034176177.1, XP_034176176.1, XP_034176171.1, XP_034176175.1, XP_034176174.1, XP_034176173.1, XP_034176178.1, XP_034176172.1
OG0000028	XP_017754494.1, XP_017754495.1	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1
OG0000029	XP_017760452.1, XP_017760451.1, XP_017760450.1, XP_017760449.1, XP_017760448.1	XP_034189051.1, XP_034189052.1
OG0000031	XP_017764156.1, XP_017764173.1, XP_017756939.1, XP_017757028.1, XP_017757262.1, XP_017764182.1, XP_017764190.1, XP_017764164.1, XP_017757183.1, XP_017757105.1	XP_034187152.1, XP_034187153.1, XP_034187150.1, XP_034187149.1, XP_034187151.1, XP_034187148.1
OG0000032	XP_017760292.1, XP_017760294.1, XP_017760295.1, XP_017760293.1, XP_017760298.1, XP_017760299.1, XP_017760296.1	XP_034188074.1, XP_034188075.1, XP_034188076.1
OG0000033	XP_017757082.1, XP_017757081.1, XP_017757084.1, XP_017757083.1	XP_034180404.1, XP_034180403.1, XP_034180406.1, XP_034180402.1
OG0000034	XP_017755245.1	XP_034176957.1, XP_034176958.1, XP_034176959.1, XP_034176953.1, XP_034176954.1, XP_034176955.1, XP_034176956.1
OG0000035	XP_017753788.1, XP_017753789.1	XP_034193470.1, XP_034193472.1, XP_034193474.1, XP_034193475.1, XP_034193473.1, XP_034193476.1
OG0000036	XP_017753439.1, XP_017753440.1	XP_034186581.1, XP_034186577.1, XP_034186579.1, XP_034186578.1, XP_034186576.1, XP_034186580.1
OG0000037	XP_017764881.1	XP_034172064.1
OG0000038	XP_017759271.1, XP_017759272.1	XP_034190835.1, XP_034190836.1
OG0000038	XP_017755960.1, XP_017755959.1	XP_034176738.1, XP_034176739.1
OG0000039	XP_017755128.1, XP_017755127.1, XP_017755129.1	XP_034181405.1, XP_034181399.1, XP_034181401.1, XP_034181402.1, XP_034181400.1, XP_034181403.1
OG0000040	XP_017756955.1, XP_017756954.1, XP_017756957.1, XP_017756956.1, XP_017756953.1, XP_017756959.1, XP_017756958.1, XP_017756961.1	XP_034184421.1
OG0000041	XP_017762235.1	XP_034194031.1
OG0000041	XP_017756504.1	XP_034195325.1
OG0000043	XP_017764300.1, XP_017764303.1, XP_017764301.1, XP_017764302.1, XP_017764299.1, XP_017764298.1	XP_034173337.1, XP_034173336.1, XP_034173334.1, XP_034173335.1
OG0000044	XP_017762070.1	XP_034179353.1, XP_034179355.1, XP_034179356.1
OG0000045	XP_017762647.1	XP_034194538.1
OG0000046	XP_017759730.1, XP_017759712.1, XP_017759757.1, XP_017759752.1	XP_034171928.1, XP_034171932.1, XP_034171930.1, XP_034171011.1
OG0000047	XP_017761001.1, XP_017764547.1, XP_017764538.1	XP_034173513.1, XP_034184140.1, XP_034173808.1, XP_034171775.1, XP_034171711.1, XP_034171584.1, XP_034173512.1
OG0000048	XP_017756654.1	XP_034194531.1, XP_034194822.1, XP_034192185.1
OG0000049	XP_017761867.1	XP_034195422.1, XP_034195424.1
OG0000049	XP_017761874.1, XP_017761872.1, XP_017761873.1	XP_034195423.1, XP_034195421.1
OG0000050	XP_017764208.1, XP_017764210.1, XP_017764209.1	XP_034190520.1, XP_034190518.1, XP_034190519.1
OG0000051	XP_017755704.1	XP_034191137.1
OG0000052	XP_017767765.1	XP_034195801.1
OG0000052	XP_017752170.1	XP_034196365.1
OG0000053	XP_017767300.1, XP_017767299.1	XP_034185422.1
OG0000054	XP_017752159.1, XP_017752160.1, XP_017752157.1, XP_017752163.1, XP_017752162.1, XP_017752161.1, XP_017767778.1	XP_034195791.1, XP_034195790.1, XP_034195789.1, XP_034195792.1
OG0000055	XP_017755787.1, XP_017755788.1	XP_034184425.1, XP_034184424.1, XP_034184427.1, XP_034184426.1
OG0000056	XP_017765580.1, XP_017759914.1, XP_017759915.1, XP_017759916.1	XP_034180577.1, XP_034180576.1, XP_034180578.1
OG0000057	XP_017759424.1	XP_034195035.1, XP_034194817.1, XP_034194163.1, XP_034194542.1, XP_034195049.1
OG0000058	XP_017759716.1	XP_034171015.1
OG0000059	XP_017764543.1	XP_034173506.1, XP_034183943.1, XP_034175387.1, XP_034171057.1, XP_034173943.1, XP_034173507.1
OG0000059	XP_017754143.1	XP_034173418.1
OG0000060	XP_017755619.1	XP_034192995.1, XP_034192984.1, XP_034192985.1, XP_034192986.1, XP_034192987.1, XP_034192988.1, XP_034192989.1, XP_034192990.1, XP_034192992.1, XP_034192993.1, XP_034192994.1, XP_034192997.1, XP_034192999.1, XP_034193000.1, XP_034192998.1, XP_034192996.1
OG0000061	XP_017759422.1	XP_034195041.1
OG0000063	XP_017761192.1	XP_034179598.1
OG0000063	XP_017761194.1	XP_034179599.1
OG0000064	XP_017765235.1	XP_034193748.1, XP_034193749.1, XP_034193750.1
OG0000064	XP_017766133.1	XP_034195488.1
OG0000064	XP_017752930.1	XP_034191028.1
OG0000065	XP_017763404.1, XP_017763403.1	XP_034175487.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175489.1, XP_034175483.1, XP_034175488.1
OG0000066	XP_017760463.1, XP_017760479.1, XP_017760437.1, XP_017760456.1, XP_017760471.1, XP_017760487.1, XP_017760447.1, XP_017760493.1	XP_034182276.1, XP_034182277.1, XP_034182279.1, XP_034182278.1, XP_034182280.1
OG0000067	XP_017767297.1, XP_017767298.1	XP_034185661.1, XP_034185663.1, XP_034185666.1, XP_034185665.1, XP_034185667.1, XP_034185659.1, XP_034185660.1, XP_034185662.1
OG0000068	XP_017759707.1, XP_017759704.1, XP_017759700.1	XP_034171931.1
OG0000069	XP_017752578.1, XP_017752577.1	XP_034191920.1, XP_034191918.1, XP_034191919.1, XP_034191915.1, XP_034191916.1, XP_034191917.1
OG0000070	XP_017760341.1, XP_017758953.1, XP_017758954.1	XP_034188825.1, XP_034188823.1, XP_034188824.1
OG0000071	XP_017755804.1	XP_034186050.1, XP_034186060.1, XP_034186034.1, XP_034186043.1
OG0000072	XP_017755418.1, XP_017755417.1, XP_017755416.1, XP_017755419.1	XP_034182415.1, XP_034182416.1, XP_034182419.1, XP_034182418.1, XP_034182417.1
OG0000073	XP_017761423.1	XP_034191022.1
OG0000074	XP_017765620.1, XP_017758638.1, XP_017758637.1	XP_034180498.1
OG0000076	XP_017756858.1	XP_034183753.1, XP_034183708.1
OG0000077	XP_017765695.1, XP_017765694.1	XP_034172037.1, XP_034172035.1
OG0000078	XP_017765599.1, XP_017757743.1, XP_017757733.1	XP_034175172.1, XP_034175972.1, XP_034175971.1, XP_034175970.1, XP_034175973.1, XP_034175974.1
OG0000079	XP_017762072.1	XP_034179339.1
OG0000080	XP_017753139.1	XP_034178154.1
OG0000081	XP_017762308.1, XP_017762307.1	XP_034175506.1
OG0000082	XP_017763260.1	XP_034172377.1, XP_034172378.1, XP_034172374.1, XP_034172375.1, XP_034172381.1, XP_034172379.1, XP_034172380.1
OG0000083	XP_017752414.1, XP_017752413.1	XP_034188204.1, XP_034188205.1, XP_034188201.1, XP_034188199.1, XP_034188198.1, XP_034188203.1, XP_034188202.1, XP_034188206.1
OG0000085	XP_017758814.1	XP_034184545.1, XP_034184551.1, XP_034184550.1, XP_034184552.1, XP_034184547.1, XP_034184546.1, XP_034184549.1, XP_034184548.1
OG0000086	XP_017765267.1	XP_034193755.1
OG0000087	XP_017761493.1	XP_034175005.1, XP_034175008.1, XP_034174999.1, XP_034175001.1, XP_034175000.1, XP_034175002.1, XP_034175004.1, XP_034175007.1, XP_034175006.1, XP_034175003.1, XP_034175009.1
OG0000088	XP_017765680.1	XP_034171990.1, XP_034172006.1, XP_034171988.1
OG0000090	XP_017757147.1	XP_034174806.1, XP_034174807.1, XP_034174804.1, XP_034174805.1, XP_034174809.1, XP_034174808.1
OG0000091	XP_017757596.1, XP_017757597.1, XP_017757598.1	XP_034176758.1, XP_034176759.1, XP_034176760.1, XP_034176761.1, XP_034176762.1, XP_034176757.1
OG0000093	XP_017761469.1, XP_017761468.1	XP_034176689.1
OG0000094	XP_017756314.1, XP_017756313.1, XP_017756312.1	XP_034189000.1, XP_034188997.1, XP_034188999.1, XP_034188998.1, XP_034189001.1, XP_034189002.1
OG0000095	XP_017761268.1	XP_034182328.1, XP_034182296.1, XP_034182318.1, XP_034182312.1, XP_034182303.1
OG0000096	XP_017755355.1	XP_034182648.1, XP_034182649.1, XP_034182646.1, XP_034182647.1, XP_034182653.1, XP_034182650.1, XP_034182651.1, XP_034182631.1, XP_034182643.1, XP_034182642.1, XP_034182641.1, XP_034182640.1, XP_034182639.1, XP_034182638.1, XP_034182637.1, XP_034182644.1, XP_034182630.1, XP_034182632.1, XP_034182633.1, XP_034182628.1, XP_034182629.1, XP_034182645.1, XP_034182634.1, XP_034182635.1, XP_034182654.1
OG0000097	XP_017756661.1, XP_017756664.1, XP_017756662.1, XP_017756663.1	XP_034194113.1, XP_034194115.1, XP_034194114.1
OG0000098	XP_017758002.1	XP_034183858.1, XP_034183859.1, XP_034183860.1, XP_034183857.1, XP_034183855.1, XP_034183854.1, XP_034183861.1, XP_034183862.1
OG0000099	XP_017753055.1, XP_017753057.1, XP_017753056.1	XP_034172361.1, XP_034172360.1, XP_034172357.1, XP_034172359.1
OG0000101	XP_017762179.1	XP_034190967.1, XP_034190977.1, XP_034190974.1, XP_034190966.1, XP_034190972.1, XP_034190973.1, XP_034190965.1, XP_034190964.1, XP_034190980.1, XP_034190971.1, XP_034190970.1, XP_034190981.1, XP_034190976.1, XP_034190982.1, XP_034190975.1, XP_034190983.1, XP_034190968.1, XP_034190978.1, XP_034190969.1
OG0000102	XP_017761688.1, XP_017761692.1, XP_017761690.1, XP_017761691.1	XP_034181038.1, XP_034181041.1, XP_034181039.1, XP_034181040.1, XP_034181037.1
OG0000103	XP_017754876.1	XP_034175113.1, XP_034175112.1, XP_034175114.1
OG0000105	XP_017752876.1	XP_034191356.1, XP_034191353.1, XP_034191357.1, XP_034191354.1, XP_034191358.1, XP_034191359.1, XP_034191360.1, XP_034191361.1, XP_034191352.1, XP_034191351.1
OG0000106	XP_017763966.1	XP_034194636.1
OG0000108	XP_017758536.1, XP_017758535.1, XP_017758538.1, XP_017758537.1, XP_017758534.1	XP_034183658.1, XP_034183657.1
OG0000109	XP_017763632.1	XP_034185678.1, XP_034185675.1, XP_034185679.1, XP_034185680.1, XP_034185683.1, XP_034185684.1, XP_034185676.1, XP_034185673.1, XP_034185674.1, XP_034185681.1, XP_034185682.1, XP_034185677.1
OG0000110	XP_017759315.1	XP_034194089.1, XP_034194090.1, XP_034194088.1, XP_034194086.1, XP_034194087.1
OG0000112	XP_017759734.1	XP_034171933.1
OG0000113	XP_017761057.1	XP_034171786.1, XP_034171784.1, XP_034171785.1
OG0000114	XP_017762074.1, XP_017762076.1, XP_017762077.1	XP_034179365.1, XP_034179363.1, XP_034179367.1, XP_034179366.1, XP_034179361.1, XP_034179362.1
OG0000115	XP_017759960.1, XP_017759969.1	XP_034191324.1, XP_034191323.1
OG0000116	XP_017759381.1, XP_017759382.1, XP_017759380.1, XP_017759385.1	XP_034180712.1, XP_034180711.1, XP_034180710.1, XP_034180709.1
OG0000117	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_034178973.1
OG0000118	XP_017755441.1, XP_017755443.1, XP_017755442.1, XP_017755445.1, XP_017755444.1, XP_017755448.1, XP_017755446.1	XP_034182422.1, XP_034182423.1, XP_034182421.1, XP_034182424.1
OG0000119	XP_017757875.1	XP_034191746.1, XP_034191745.1, XP_034191747.1, XP_034191749.1, XP_034191748.1
OG0000120	XP_017762310.1, XP_017765591.1, XP_017762297.1, XP_017753025.1	XP_034190809.1, XP_034176183.1, XP_034190765.1, XP_034175209.1
OG0000121	XP_017758615.1, XP_017758616.1, XP_017758614.1	XP_034174273.1, XP_034174272.1, XP_034174271.1, XP_034174270.1
OG0000122	XP_017759065.1	XP_034172163.1
OG0000124	XP_017765196.1, XP_017765195.1, XP_017765197.1, XP_017765198.1	XP_034185528.1
OG0000125	XP_017759625.1	XP_034190826.1, XP_034190827.1
OG0000126	XP_017755102.1	XP_034181554.1
OG0000127	XP_017766918.1	XP_034179569.1, XP_034178978.1
OG0000128	XP_017753707.1	XP_034176819.1, XP_034176820.1, XP_034176821.1, XP_034176817.1, XP_034176818.1
OG0000129	XP_017759636.1	XP_034176168.1, XP_034176167.1, XP_034176169.1
OG0000130	XP_017759671.1	XP_034177344.1, XP_034177330.1, XP_034177323.1, XP_034177336.1
OG0000131	XP_017760921.1, XP_017760917.1, XP_017760918.1, XP_017760919.1	XP_034175704.1, XP_034175702.1, XP_034175701.1, XP_034175700.1, XP_034175703.1, XP_034175699.1
OG0000132	XP_017757477.1	XP_034177586.1, XP_034177584.1, XP_034177583.1
OG0000135	XP_017763314.1, XP_017763313.1, XP_017763312.1, XP_017763311.1, XP_017763310.1	XP_034191110.1, XP_034191109.1
OG0000138	XP_017765353.1, XP_017755995.1, XP_017765491.1, XP_017765601.1, XP_017765328.1, XP_017765342.1, XP_017756047.1, XP_017764695.1	XP_034192727.1
OG0000139	XP_017767595.1, XP_017767594.1	XP_034195309.1, XP_034195317.1, XP_034195314.1, XP_034195304.1
OG0000140	XP_017753603.1	XP_034183102.1, XP_034183103.1, XP_034183104.1, XP_034183105.1, XP_034183106.1, XP_034183101.1
OG0000141	XP_017766587.1, XP_017766604.1, XP_017766595.1	XP_034182597.1, XP_034182600.1, XP_034182598.1
OG0000142	XP_017766127.1, XP_017766135.1, XP_017756789.1, XP_017756788.1	XP_034186603.1, XP_034186606.1, XP_034186605.1, XP_034188116.1, XP_034188457.1
OG0000143	XP_017761464.1, XP_017761449.1, XP_017761457.1	XP_034182661.1, XP_034182652.1
OG0000144	XP_017754095.1, XP_017754093.1, XP_017754096.1, XP_017754097.1	XP_034173463.1, XP_034173465.1, XP_034173464.1
OG0000147	XP_017753919.1	XP_034181254.1, XP_034181253.1, XP_034181258.1, XP_034181249.1, XP_034181250.1, XP_034181251.1, XP_034181257.1, XP_034181256.1, XP_034181252.1
OG0000148	XP_017761808.1, XP_017761809.1	XP_034185966.1, XP_034185984.1, XP_034185960.1, XP_034185975.1
OG0000149	XP_017757484.1, XP_017757483.1, XP_017757482.1	XP_034177625.1, XP_034177623.1, XP_034177622.1, XP_034177626.1
OG0000150	XP_017764388.1	XP_034176323.1, XP_034176352.1, XP_034176342.1, XP_034176332.1
OG0000151	XP_017756441.1	XP_034189041.1, XP_034189040.1
OG0000152	XP_017754464.1	XP_034170811.1, XP_034170810.1, XP_034170809.1
OG0000152	XP_017760692.1	XP_034170854.1
OG0000153	XP_017764516.1, XP_017759423.1	XP_034182476.1
OG0000155	XP_017752598.1, XP_017752600.1, XP_017752604.1, XP_017752603.1, XP_017752602.1, XP_017752601.1, XP_017752605.1, XP_017752599.1, XP_017752596.1, XP_017752595.1	XP_034171114.1, XP_034171099.1, XP_034171091.1, XP_034171105.1
OG0000156	XP_017765698.1, XP_017765697.1, XP_017765696.1	XP_034170950.1
OG0000157	XP_017753462.1, XP_017753460.1	XP_034173810.1
OG0000158	XP_017752864.1	XP_034179685.1
OG0000159	XP_017757286.1	XP_034190002.1, XP_034190001.1
OG0000160	XP_017762808.1, XP_017762798.1	XP_034175010.1, XP_034175012.1
OG0000161	XP_017752918.1, XP_017752916.1, XP_017752917.1, XP_017752915.1	XP_034186534.1, XP_034186533.1
OG0000162	XP_017754406.1	XP_034178501.1, XP_034178492.1
OG0000163	XP_017765374.1, XP_017765375.1, XP_017765376.1	XP_034189578.1, XP_034189579.1, XP_034189580.1, XP_034189581.1
OG0000164	XP_017764057.1	XP_034182895.1, XP_034182896.1
OG0000165	XP_017762757.1	XP_034194095.1, XP_034194096.1, XP_034194097.1
OG0000166	XP_017762820.1, XP_017762821.1, XP_017762819.1	XP_034195596.1, XP_034195604.1, XP_034195587.1
OG0000167	XP_017758010.1, XP_017758016.1, XP_017758017.1, XP_017758018.1, XP_017758011.1, XP_017758012.1, XP_017758013.1, XP_017758009.1	XP_034172270.1
OG0000168	XP_017757434.1	XP_034176766.1
OG0000169	XP_017765669.1	XP_034183965.1, XP_034183967.1, XP_034183963.1, XP_034183964.1, XP_034183968.1, XP_034183962.1
OG0000170	XP_017763761.1	XP_034189531.1, XP_034189541.1
OG0000171	XP_017763945.1	XP_034175132.1, XP_034175130.1, XP_034175131.1
OG0000172	XP_017757145.1	XP_034187515.1
OG0000172	XP_017757194.1	XP_034187516.1
OG0000172	XP_017767144.1	XP_034180852.1
OG0000173	XP_017766040.1, XP_017766039.1	XP_034173077.1, XP_034173076.1, XP_034173069.1
OG0000174	XP_017758626.1, XP_017758628.1, XP_017758627.1	XP_034174497.1, XP_034174496.1, XP_034174495.1
OG0000175	XP_017760787.1	XP_034193114.1, XP_034193113.1, XP_034193115.1
OG0000176	XP_017765023.1, XP_017765019.1	XP_034190369.1, XP_034190365.1, XP_034190693.1, XP_034190367.1, XP_034190366.1, XP_034194217.1, XP_034194216.1
OG0000177	XP_017766190.1	XP_034182690.1
OG0000178	XP_017757043.1	XP_034174012.1
OG0000179	XP_017766856.1	XP_034178078.1, XP_034178079.1
OG0000180	XP_017758446.1	XP_034189596.1, XP_034189595.1
OG0000181	XP_017762004.1, XP_017762005.1	XP_034178956.1
OG0000182	XP_017755798.1	XP_034184451.1, XP_034184450.1, XP_034184449.1, XP_034184448.1, XP_034184452.1
OG0000183	XP_017761880.1, XP_017761881.1, XP_017761882.1	XP_034196191.1
OG0000184	XP_017766254.1, XP_017766253.1	XP_034183395.1, XP_034183397.1, XP_034183396.1
OG0000185	XP_017760240.1, XP_017760239.1	XP_034183428.1
OG0000186	XP_017763651.1, XP_017763644.1	XP_034185101.1, XP_034185087.1, XP_034185093.1, XP_034185104.1
OG0000187	XP_017753953.1, XP_017753952.1, XP_017756071.1, XP_017756070.1, XP_017756072.1, XP_017753957.1	XP_034182467.1, XP_034182466.1, XP_034182468.1, XP_034182469.1
OG0000188	XP_017765200.1	XP_034170835.1, XP_034170836.1
OG0000189	XP_017754652.1, XP_017754659.1, XP_017754667.1	XP_034171567.1, XP_034171566.1
OG0000190	XP_017766410.1, XP_017766409.1, XP_017766414.1, XP_017766415.1, XP_017766412.1, XP_017766413.1	XP_034171366.1, XP_034171365.1
OG0000191	XP_017753554.1	XP_034182960.1, XP_034182962.1, XP_034182961.1, XP_034182965.1, XP_034182963.1, XP_034182964.1
OG0000192	XP_017754347.1	XP_034188503.1
OG0000193	XP_017761219.1	XP_034182344.1
OG0000194	XP_017760945.1, XP_017760944.1	XP_034175689.1
OG0000195	XP_017755677.1, XP_017755678.1, XP_017755679.1	XP_034177803.1, XP_034177800.1, XP_034177802.1
OG0000197	XP_017757949.1	XP_034192365.1
OG0000198	XP_017765770.1, XP_017765759.1	XP_034177599.1, XP_034177331.1
OG0000200	XP_017753509.1, XP_017753508.1	XP_034172080.1, XP_034172081.1, XP_034172083.1, XP_034172082.1
OG0000201	XP_017755856.1, XP_017755853.1, XP_017755854.1, XP_017755851.1, XP_017755852.1, XP_017755858.1, XP_017755857.1	XP_034184461.1, XP_034184462.1, XP_034184460.1
OG0000202	XP_017760841.1	XP_034175101.1, XP_034175099.1, XP_034175100.1, XP_034175097.1, XP_034175098.1, XP_034175102.1, XP_034175095.1
OG0000203	XP_017761525.1, XP_017761524.1, XP_017761523.1	XP_034180149.1
OG0000204	XP_017759506.1, XP_017759507.1	XP_034182241.1, XP_034182242.1, XP_034182243.1, XP_034182244.1
OG0000205	XP_017755660.1	XP_034177794.1, XP_034177796.1, XP_034177793.1, XP_034177790.1, XP_034177792.1, XP_034177797.1, XP_034177795.1, XP_034177798.1
OG0000206	XP_017757359.1	XP_034194321.1
OG0000207	XP_017762624.1	XP_034181121.1
OG0000208	XP_017764212.1, XP_017764213.1, XP_017764211.1	XP_034185553.1, XP_034185552.1
OG0000209	XP_017755037.1, XP_017755038.1	XP_034184026.1, XP_034184027.1, XP_034184025.1
OG0000210	XP_017765046.1	XP_034193594.1
OG0000210	XP_017765038.1	XP_034193584.1
OG0000210	XP_017765051.1	XP_034193587.1, XP_034193586.1
OG0000211	XP_017761260.1, XP_017761259.1	XP_034185535.1, XP_034185540.1, XP_034185536.1, XP_034185537.1, XP_034185538.1, XP_034185539.1
OG0000212	XP_017760364.1, XP_017760363.1, XP_017760362.1	XP_034176251.1, XP_034176252.1, XP_034176254.1, XP_034176253.1
OG0000213	XP_017765989.1, XP_017765987.1	XP_034172935.1
OG0000214	XP_017765450.1, XP_017765451.1	XP_034173135.1, XP_034173136.1
OG0000215	XP_017762915.1	XP_034182772.1, XP_034182771.1
OG0000216	XP_017766078.1	XP_034195726.1, XP_034195727.1, XP_034195728.1
OG0000217	XP_017763974.1, XP_017764053.1	XP_034185982.1, XP_034185981.1, XP_034185980.1
OG0000218	XP_017765029.1	XP_034179204.1, XP_034179200.1, XP_034179202.1, XP_034179201.1
OG0000219	XP_017760481.1	XP_034192589.1
OG0000220	XP_017764513.1	XP_034181640.1
OG0000221	XP_017759937.1	XP_034191998.1
OG0000222	XP_017762934.1	XP_034185956.1
OG0000222	XP_017767431.1	XP_034189852.1
OG0000223	XP_017760444.1	XP_034188959.1, XP_034188958.1, XP_034188954.1, XP_034188955.1, XP_034188956.1, XP_034188957.1
OG0000224	XP_017760492.1	XP_034195082.1
OG0000226	XP_017761831.1	XP_034179612.1, XP_034179613.1
OG0000227	XP_017756242.1, XP_017756241.1	XP_034178979.1
OG0000227	XP_017756232.1	XP_034178984.1, XP_034178985.1
OG0000228	XP_017764855.1, XP_017764854.1, XP_017764853.1	XP_034173028.1, XP_034173027.1, XP_034173029.1
OG0000229	XP_017753960.1	XP_034178871.1
OG0000230	XP_017764495.1	XP_034181654.1
OG0000231	XP_017763159.1, XP_017763158.1, XP_017763161.1, XP_017763160.1	XP_034187972.1
OG0000232	XP_017766787.1	XP_034178303.1, XP_034178300.1, XP_034178301.1, XP_034178299.1
OG0000233	XP_017756660.1	XP_034194111.1, XP_034194110.1
OG0000234	XP_017756007.1, XP_017756006.1, XP_017756004.1, XP_017756005.1, XP_017756003.1	XP_034184736.1, XP_034184734.1, XP_034184733.1, XP_034184735.1
