Orthogroup	Eufriesea_mexicana	Bombus_terrestris
OG0000012	XP_017756205.1, XP_017756206.1, XP_017756207.1, XP_017756208.1, XP_017756209.1, XP_017756212.1, XP_017756211.1, XP_017756210.1	XP_012170544.1, XP_012170543.1, XP_012170542.1, XP_012170541.1, XP_012170540.1, XP_012170539.1, XP_020721690.1, XP_012170538.1
OG0000014	XP_017754149.1, XP_017764549.1	XP_012166136.1
OG0000014	XP_017764550.1	XP_003392970.1, XP_003393115.1
OG0000015	XP_017766522.1	XP_012171125.2, XP_012174398.2, XP_020721957.1
OG0000016	XP_017764768.1	XP_020720493.1
OG0000017	XP_017764548.1	XP_012175550.1
OG0000017	XP_017765135.1	XP_003396974.1
OG0000017	XP_017761097.1	XP_012165320.1
OG0000018	XP_017765545.1, XP_017765546.1, XP_017765543.1, XP_017765544.1, XP_017765541.1, XP_017765542.1, XP_017765540.1	XP_003398707.1, XP_003398706.1
OG0000019	XP_017759439.1, XP_017759448.1	XP_012164839.1
OG0000020	XP_017766952.1, XP_017766939.1, XP_017766929.1, XP_017766928.1, XP_017766924.1, XP_017766923.1, XP_017766932.1	XP_020720720.1, XP_003401565.2
OG0000021	XP_017759127.1	XP_012175449.1, XP_020723728.1, XP_012171988.1, XP_020723723.1
OG0000021	XP_017765002.1, XP_017765495.1, XP_017765120.1, XP_017763841.1	XP_012175527.2
OG0000022	XP_017752524.1, XP_017752525.1, XP_017752522.1, XP_017752521.1, XP_017752519.1, XP_017752523.1	XP_012173075.1, XP_012173068.1, XP_012173069.1, XP_012173070.1, XP_012173071.1, XP_012173067.1
OG0000023	XP_017762861.1, XP_017753050.1	XP_003396672.1
OG0000023	XP_017759221.1	XP_012175515.1
OG0000025	XP_017753605.1, XP_017753606.1, XP_017753607.1, XP_017753608.1, XP_017753604.1	XP_020723218.1, XP_003402194.1, XP_012173626.1, XP_020723220.1, XP_020723219.1, XP_012173627.1
OG0000026	XP_017760518.1, XP_017760517.1, XP_017760519.1, XP_017760520.1, XP_017760522.1, XP_017760521.1, XP_017760524.1, XP_017760523.1	XP_003398369.1, XP_012168085.1, XP_012168086.1, XP_012168083.1, XP_012168084.1
OG0000027	XP_017753388.1	XP_003398638.1, XP_012168485.1, XP_012168486.1, XP_012168487.1, XP_012168488.1, XP_012168489.1, XP_012168490.1, XP_012168484.1
OG0000028	XP_017754494.1, XP_017754495.1	XP_012174599.1, XP_012174600.1, XP_012174604.1, XP_012174601.1, XP_012174602.1, XP_003402871.1
OG0000029	XP_017760452.1, XP_017760451.1, XP_017760450.1, XP_017760449.1, XP_017760448.1	XP_012167211.1, XP_012167212.1, XP_012167209.1, XP_012167210.1, XP_003397633.1, XP_012167208.1
OG0000030	XP_017759130.1	XP_020718526.1, XP_020718527.1
OG0000030	XP_017759129.1	XP_020718522.1, XP_020718528.1, XP_020718524.1, XP_020718520.1, XP_020718521.1, XP_020718529.1
OG0000031	XP_017764156.1, XP_017764173.1, XP_017756939.1, XP_017757028.1, XP_017757262.1, XP_017764182.1, XP_017764190.1, XP_017764164.1, XP_017757183.1, XP_017757105.1	XP_020721716.1
OG0000032	XP_017760292.1, XP_017760294.1, XP_017760295.1, XP_017760293.1, XP_017760298.1, XP_017760299.1, XP_017760296.1	XP_012166697.1, XP_012166700.1, XP_003397323.1, XP_003397322.1, XP_003397324.1
OG0000033	XP_017757082.1, XP_017757081.1, XP_017757084.1, XP_017757083.1	XP_003400937.1, XP_020721993.1, XP_012171929.1, XP_012171930.1
OG0000034	XP_017755245.1	XP_012164119.1, XP_012164121.1, XP_012164120.1
OG0000034	XP_017764859.1	XP_003393447.1, XP_020721193.1, XP_020721198.1, XP_020721202.1
OG0000035	XP_017753788.1, XP_017753789.1	XP_012172815.1, XP_012172814.1, XP_012172816.1, XP_012172817.1
OG0000036	XP_017753439.1, XP_017753440.1	XP_012169872.1, XP_012169873.1, XP_012169871.1, XP_003399621.1
OG0000037	XP_017764881.1	XP_003396400.1
OG0000038	XP_017759271.1, XP_017759272.1	XP_003399689.1, XP_012170206.1
OG0000038	XP_017755960.1, XP_017755959.1	XP_012173498.1, XP_020723033.1
OG0000039	XP_017755128.1, XP_017755127.1, XP_017755129.1	XP_003399165.1, XP_003399166.1, XP_012169436.1, XP_012169438.1, XP_012169439.1, XP_012169441.1
OG0000040	XP_017756955.1, XP_017756954.1, XP_017756957.1, XP_017756956.1, XP_017756953.1, XP_017756959.1, XP_017756958.1, XP_017756961.1	XP_012167037.1, XP_012167036.1, XP_012167034.1, XP_012167030.1, XP_012167031.1, XP_012167033.1
OG0000041	XP_017754682.1	XP_020723306.1
OG0000041	XP_017762235.1	XP_012173831.1, XP_012175491.1, XP_012171920.1, XP_012169517.1, XP_020723949.1, XP_020723189.1, XP_012171921.1
OG0000041	XP_017756504.1	XP_012175480.1
OG0000042	XP_017756873.1, XP_017756878.1	XP_020720348.1, XP_020720337.1
OG0000043	XP_017764300.1, XP_017764303.1, XP_017764301.1, XP_017764302.1, XP_017764299.1, XP_017764298.1	XP_003393409.1
OG0000044	XP_017762070.1	XP_012172566.2
OG0000045	XP_017762448.1, XP_017762444.1	XP_012175534.1, XP_012172861.2, XP_012171986.1, XP_012174538.1, XP_012176290.1
OG0000046	XP_017759730.1, XP_017759712.1	XP_003393999.1, XP_003393907.1, XP_020722356.1, XP_020723889.1, XP_012175705.1, XP_003394000.1, XP_012175707.1, XP_003393910.1
OG0000046	XP_017759757.1	XP_003393913.1
OG0000046	XP_017759752.1	XP_012175708.2
OG0000047	XP_017761001.1	XP_003396338.1
OG0000047	XP_017764547.1	XP_003392968.1
OG0000048	XP_017756654.1	XP_012171815.1, XP_012174400.2, XP_012174871.1
OG0000049	XP_017761867.1	XP_020719074.1, XP_003393329.1, XP_020719067.1, XP_020722566.1
OG0000049	XP_017761874.1	XP_012166402.1, XP_003393343.1, XP_003393341.1, XP_003393340.1
OG0000049	XP_017761873.1	XP_012166351.1
OG0000050	XP_017764208.1, XP_017764210.1, XP_017764209.1	XP_003403152.1, XP_020723773.1, XP_003403151.1, XP_012175160.1, XP_012175161.1, XP_012175162.1
OG0000051	XP_017755704.1	XP_003394733.1, XP_020721699.1, XP_020723568.1, XP_020723847.1, XP_003403375.2, XP_020723961.1, XP_003403427.2, XP_012175487.2, XP_012175505.2, XP_012175211.1, XP_012175212.1, XP_012174533.1, XP_012173842.1, XP_003402269.1, XP_012175213.2, XP_003402802.1, XP_020723849.1, XP_012174003.2, XP_020723970.1, XP_012175509.2, XP_020723511.1, XP_020723935.1, XP_020723892.1
OG0000052	XP_017767765.1	XP_003402888.1
OG0000052	XP_017752170.1	XP_003402887.1, XP_012174757.1
OG0000053	XP_017767300.1, XP_017767299.1	XP_012174271.2, XP_020723867.1, XP_012175325.1, XP_020723893.1
OG0000054	XP_017752159.1, XP_017752160.1, XP_017752157.1, XP_017752163.1, XP_017752162.1, XP_017752161.1, XP_017767778.1	XP_003402889.2
OG0000055	XP_017755787.1, XP_017755788.1	XP_003397755.1, XP_020720316.1, XP_020720318.1, XP_012167100.1, XP_012167097.1, XP_012167099.1, XP_012167098.1
OG0000056	XP_017765580.1, XP_017759914.1, XP_017759915.1, XP_017759916.1	XP_012171554.1, XP_012171555.1, XP_003400605.1, XP_012171557.1, XP_012171558.1, XP_003400606.1
OG0000058	XP_017759715.1	XP_020722344.1
OG0000059	XP_017764543.1	XP_012175524.1
OG0000059	XP_017754143.1	XP_003393114.1
OG0000060	XP_017755619.1	XP_003395309.1
OG0000063	XP_017761192.1	XP_012172397.1
OG0000063	XP_017761194.1	XP_003401252.1
OG0000064	XP_017765235.1	XP_003401157.1
OG0000064	XP_017766133.1	XP_003396169.1
OG0000065	XP_017763404.1, XP_017763403.1	XP_003399390.1, XP_012169772.1, XP_012169774.1, XP_012169773.1
OG0000066	XP_017760463.1, XP_017760479.1, XP_017760437.1, XP_017760456.1, XP_017760471.1, XP_017760487.1, XP_017760447.1, XP_017760493.1	XP_012176180.1, XP_012176179.1, XP_012176178.1, XP_012176177.1, XP_003394336.1, XP_003394335.1, XP_020724195.1, XP_020724193.1, XP_020724194.1, XP_012176181.1
OG0000067	XP_017767297.1, XP_017767298.1	XP_020719485.1, XP_020719487.1, XP_020719486.1, XP_003396344.1, XP_012165070.1, XP_012165068.1
OG0000068	XP_017759708.1, XP_017759706.1	XP_012175711.1
OG0000068	XP_017759707.1, XP_017759704.1, XP_017759700.1	XP_003393920.1, XP_003394006.1, XP_003403429.1, XP_003393921.1
OG0000069	XP_017752578.1, XP_017752577.1	XP_003400832.1, XP_012171883.1, XP_012171882.1
OG0000070	XP_017760341.1, XP_017758953.1, XP_017758954.1	XP_003393731.1
OG0000071	XP_017755804.1	XP_003398039.1
OG0000072	XP_017755418.1, XP_017755417.1, XP_017755416.1, XP_017755419.1	XP_003394637.1
OG0000073	XP_017761423.1	XP_020721682.1, XP_012170498.1, XP_012170499.1, XP_003399855.1, XP_012170500.1, XP_012170501.1
OG0000074	XP_017765620.1, XP_017758638.1, XP_017758637.1	XP_003393379.1
OG0000076	XP_017756858.1	XP_012167610.1, XP_003397903.1, XP_012167613.1, XP_012167612.1, XP_012167611.1, XP_020720164.1, XP_020720163.1, XP_020720166.1, XP_020720165.1, XP_003397904.1, XP_020720167.1, XP_003397905.1
OG0000077	XP_017765695.1, XP_017765694.1	XP_003393866.1, XP_003393865.1, XP_003393867.1, XP_020723943.1
OG0000078	XP_017765599.1, XP_017757743.1	XP_003400351.1
OG0000078	XP_017757733.1	XP_003400142.1
OG0000079	XP_017762072.1	XP_012172564.1, XP_020722768.1
OG0000080	XP_017753139.1	XP_003396583.1
OG0000081	XP_017762308.1, XP_017762307.1	XP_012168611.1
OG0000082	XP_017763260.1	NP_001295235.1, XP_012176496.1
OG0000083	XP_017752414.1, XP_017752413.1	XP_003394538.1, XP_012176340.1
OG0000084	XP_017756503.1	XP_012174846.1, XP_012174697.1, XP_012174259.1, XP_012171989.1
OG0000084	XP_017765358.1, XP_017761999.1, XP_017764809.1, XP_017766494.1	XP_012173746.1, XP_012173833.1
OG0000085	XP_017758814.1	XP_020720248.1, XP_012166912.1
OG0000086	XP_017765267.1	XP_012172081.1
OG0000087	XP_017761493.1	XP_012169707.1, XP_012169706.1, XP_012169708.1, XP_003399343.1, XP_020720978.1
OG0000088	XP_017765680.1	XP_012175364.1, XP_012175388.1
OG0000090	XP_017757147.1	XP_003394915.1, XP_012163272.1
OG0000091	XP_017757596.1, XP_017757597.1, XP_017757598.1	XP_003395578.1, XP_003395577.1, XP_012164030.1
OG0000092	XP_017762078.1, XP_017758941.1	XP_020723418.1, XP_012174385.1
OG0000093	XP_017761469.1, XP_017761468.1	XP_020721109.1
OG0000094	XP_017756314.1, XP_017756313.1, XP_017756312.1	XP_012174304.1, XP_012174308.2
OG0000095	XP_017761268.1	XP_012165356.1, XP_012165354.1, XP_012165353.1
OG0000096	XP_017755355.1	XP_012176549.1
OG0000097	XP_017756661.1, XP_017756664.1, XP_017756662.1, XP_017756663.1	XP_020722095.1, XP_012171292.1, XP_012171295.1, XP_012171296.1, XP_012171298.1, XP_012171297.1
OG0000098	XP_017758002.1	XP_020720591.1
OG0000099	XP_017753055.1, XP_017753057.1, XP_017753056.1	XP_012175961.1, XP_012175965.1, XP_012175971.1, XP_003392979.1
OG0000101	XP_017762179.1	XP_012170316.1
OG0000102	XP_017761688.1, XP_017761692.1, XP_017761690.1, XP_017761691.1	XP_003397051.1, XP_020719814.1, XP_020719815.1, XP_012166337.1, XP_012166336.1
OG0000103	XP_017754876.1	XP_020721331.1, XP_020721332.1, XP_012169146.1, XP_012169147.1
OG0000104	XP_017767455.1	XP_003398306.1
OG0000105	XP_017752876.1	XP_020721488.1
OG0000106	XP_017754218.1	XP_020724024.1
OG0000106	XP_017763966.1	XP_020723503.1, XP_020723505.1, XP_020723502.1, XP_020723508.1, XP_020723509.1, XP_020723510.1, XP_020723504.1, XP_020723507.1, XP_020723506.1
OG0000108	XP_017758536.1, XP_017758535.1, XP_017758538.1, XP_017758537.1, XP_017758534.1	XP_012168065.1, XP_003398352.1, XP_020720538.1, XP_012168063.1
OG0000110	XP_017759339.1	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000110	XP_017759315.1	XP_012171598.1, XP_003400635.1, XP_012171599.1
OG0000112	XP_017759703.1, XP_017759702.1	XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175717.1
OG0000112	XP_017759734.1	XP_012175609.1
OG0000113	XP_017761057.1	XP_012170154.1, XP_020723319.1, XP_012170122.1, XP_012170161.1, XP_012170166.1, XP_012170150.1
OG0000114	XP_017762074.1, XP_017762076.1, XP_017762077.1	XP_020722733.1, XP_012172572.1, XP_012172570.1
OG0000115	XP_017759960.1, XP_017759969.1	XP_003402143.1, XP_003402144.1
OG0000116	XP_017759381.1, XP_017759382.1, XP_017759380.1, XP_017759385.1	XP_012171737.1, XP_003400885.1, XP_020722207.1
OG0000117	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_012172000.1, XP_012171999.1, XP_012171998.1
OG0000118	XP_017755441.1, XP_017755443.1, XP_017755442.1, XP_017755445.1, XP_017755444.1, XP_017755448.1, XP_017755446.1	XP_003394635.1, XP_012176600.1, XP_012176601.1, XP_012176598.1, XP_012176599.1
OG0000119	XP_017757875.1	XP_020723141.1, XP_020723140.1, XP_020723142.1, XP_020723139.1
OG0000120	XP_017762310.1, XP_017765591.1, XP_017762297.1	XP_020720644.1
OG0000120	XP_017753025.1	XP_020720719.1, XP_012168483.1
OG0000121	XP_017758615.1, XP_017758616.1, XP_017758614.1	NP_001274492.1
OG0000124	XP_017765196.1, XP_017765195.1, XP_017765197.1, XP_017765198.1	XP_012165095.1, XP_003396395.1, XP_012165096.1, XP_020719491.1, XP_012165093.1, XP_012165091.1, XP_012165097.1
OG0000125	XP_017759625.1	XP_012170233.1, XP_020721551.1, XP_003393848.1, XP_012175298.1, XP_003399696.2, XP_012170223.1, XP_012170221.2
OG0000126	XP_017755102.1	XP_012169448.1
OG0000127	XP_017766918.1	XP_003402395.2, XP_020722449.1
OG0000127	XP_017766920.1	XP_020722450.1
OG0000127	XP_017766930.1, XP_017766937.1, XP_017766938.1	XP_020722451.1
OG0000128	XP_017753707.1	XP_003395437.1
OG0000129	XP_017759636.1	XP_012168842.2, XP_020720955.1, XP_020720954.1, XP_020720953.1, XP_020720956.1
OG0000130	XP_017759671.1	XP_003396634.1, XP_003396633.1
OG0000131	XP_017760921.1, XP_017760917.1, XP_017760918.1, XP_017760919.1	XP_003398786.1, XP_012168589.1, XP_012168588.1, XP_020721254.1
OG0000132	XP_017757477.1	XP_020718867.1, XP_020718868.1, XP_012164341.1, XP_003402529.2
OG0000134	XP_017755084.1, XP_017761127.1, XP_017754848.1, XP_017754959.1, XP_017754988.1, XP_017754974.1	XP_003402924.1, XP_003402922.1, XP_003402925.1
OG0000135	XP_017763314.1, XP_017763313.1, XP_017763312.1, XP_017763311.1, XP_017763310.1	XP_012169829.1, XP_003399465.1, XP_020721648.1
OG0000136	XP_017765344.1, XP_017762993.1, XP_017756226.1, XP_017759329.1, XP_017765018.1, XP_017759643.1, XP_017765343.1, XP_017762446.1, XP_017756490.1, XP_017765529.1, XP_017752718.1, XP_017752724.1	XP_020721352.1
OG0000137	XP_017764351.1, XP_017757680.1, XP_017763339.1	XP_020724217.1
OG0000138	XP_017765353.1, XP_017755995.1, XP_017765491.1, XP_017765601.1, XP_017765328.1, XP_017765342.1, XP_017756047.1, XP_017764695.1	XP_012173522.1
OG0000139	XP_017767595.1, XP_017767594.1	XP_012176727.1
OG0000140	XP_017753603.1	XP_020723223.1, XP_003402203.1
OG0000141	XP_017766587.1, XP_017766604.1, XP_017766595.1	XP_012175996.1, XP_012175997.1
OG0000143	XP_017761464.1, XP_017761449.1, XP_017761457.1	XP_003396371.1
OG0000144	XP_017754095.1, XP_017754093.1, XP_017754096.1, XP_017754097.1	XP_012164458.1, XP_003393127.1, XP_003393128.1
OG0000146	XP_017759692.1	XP_012163322.1
OG0000147	XP_017753919.1	XP_012166619.1, XP_003397345.2
OG0000148	XP_017761808.1, XP_017761809.1	XP_012167065.1, XP_012167067.1, XP_003397602.1
OG0000149	XP_017757484.1, XP_017757483.1, XP_017757482.1	XP_003395613.1, XP_012164070.1
OG0000150	XP_017764388.1	XP_020719393.1, XP_003396571.1, XP_012165583.1
OG0000151	XP_017756441.1	XP_012166952.1, XP_012166951.1, XP_012166950.1, XP_012166949.1, XP_003397465.1, XP_012166953.1, XP_012166954.1
OG0000152	XP_017754464.1	XP_003393535.1
OG0000152	XP_017760692.1	XP_003393536.1
OG0000155	XP_017752598.1, XP_017752600.1, XP_017752604.1, XP_017752603.1, XP_017752602.1, XP_017752601.1, XP_017752605.1, XP_017752599.1, XP_017752596.1, XP_017752595.1	XP_012165134.1, XP_020719226.1, XP_012165135.1
OG0000156	XP_017765698.1, XP_017765697.1, XP_017765696.1	XP_020722547.1, XP_020722544.1, XP_020722543.1, XP_020722545.1, XP_012175058.1
OG0000157	XP_017753460.1	XP_003396782.1, XP_003402992.1, XP_020723712.1, XP_012165896.1
OG0000158	XP_017752864.1	XP_003401312.1
OG0000159	XP_017757286.1	XP_003398422.1, XP_020720652.1
OG0000160	XP_017762808.1, XP_017762798.1	XP_020720934.1, XP_020720933.1
OG0000160	XP_017763918.1, XP_017763923.1	XP_020720937.1
OG0000161	XP_017752918.1, XP_017752916.1, XP_017752917.1, XP_017752915.1	XP_012170447.1, XP_012170445.1, XP_012170446.1, XP_003399827.1
OG0000162	XP_017754406.1	XP_012165810.1, XP_012165811.1
OG0000163	XP_017765374.1, XP_017765375.1, XP_017765376.1	XP_020720787.1, XP_020720786.1, XP_020720785.1, XP_020720789.1, XP_020720788.1
OG0000164	XP_017764057.1	XP_020721631.1, XP_012170305.1, XP_012170304.1
OG0000165	XP_017762757.1	XP_012171348.1
OG0000166	XP_017762820.1, XP_017762821.1, XP_017762819.1	XP_003396953.1, XP_012165554.1, XP_012165552.1, XP_012165555.1, XP_012165553.1
OG0000167	XP_017758010.1, XP_017758016.1, XP_017758017.1, XP_017758018.1, XP_017758011.1, XP_017758012.1, XP_017758013.1, XP_017758009.1	XP_020720834.1
OG0000168	XP_017757433.1	XP_020718921.1
OG0000168	XP_017757434.1	XP_003395571.1
OG0000169	XP_017765669.1	XP_012167498.1, XP_003397946.1
OG0000170	XP_017763761.1	XP_003396944.1, XP_020719363.1, XP_020719364.1, XP_020719362.1, XP_020719365.1, XP_020719366.1, XP_020719367.1, XP_020719368.1
OG0000171	XP_017763945.1	XP_012168820.1, XP_012168822.1, XP_020720959.1, XP_020720960.1, XP_020720957.1, XP_020720958.1, XP_003398855.1
OG0000172	XP_017757145.1	XP_003395180.1
OG0000172	XP_017757194.1	XP_003395196.1
OG0000172	XP_017767144.1	XP_003400373.1
OG0000173	XP_017766040.1, XP_017766039.1	XP_020718789.1, XP_020718803.1, XP_020718807.1
OG0000174	XP_017758626.1, XP_017758628.1, XP_017758627.1	XP_020718460.1, XP_003395135.1, XP_003395133.1
OG0000175	XP_017760787.1	XP_003399057.1
OG0000176	XP_017765023.1, XP_017765019.1	XP_020723870.1, XP_020724153.1, XP_020724151.1, XP_012175295.2, XP_012176310.1, XP_003394317.1
OG0000177	XP_017766192.1, XP_017766182.1, XP_017765612.1, XP_017753075.1	XP_003394675.1
OG0000178	XP_017757043.1	XP_003395150.1
OG0000179	XP_017766856.1	XP_003400301.1
OG0000180	XP_017758446.1	XP_012175367.1, XP_012175366.1, XP_012175365.1, XP_012175368.1
OG0000181	XP_017762004.1, XP_017762005.1	XP_012172664.1, XP_012172663.1, XP_012172661.1, XP_020722452.1, XP_020722453.1, XP_003401447.1, XP_012172665.1
OG0000182	XP_017755798.1	XP_020720041.1
OG0000183	XP_017761880.1, XP_017761881.1, XP_017761882.1	XP_020719532.1, XP_020719535.1, XP_020719522.1, XP_012164942.1, XP_020719524.1, XP_020719516.1, XP_020719528.1, XP_020719518.1, XP_020719517.1, XP_020719520.1, XP_020719530.1, XP_003403386.2
OG0000184	XP_017766254.1, XP_017766253.1	XP_003398235.1, XP_012167901.1, XP_012167903.1
OG0000185	XP_017760240.1, XP_017760239.1	XP_012165006.1, XP_012165007.1, XP_012165005.1, XP_003396214.1
OG0000186	XP_017763651.1, XP_017763644.1	XP_020723801.1, XP_020723808.1
OG0000187	XP_017753953.1, XP_017753952.1, XP_017756071.1, XP_017756070.1, XP_017756072.1, XP_017753957.1	XP_012176528.1, XP_012176529.1, XP_020724350.1
OG0000188	XP_017765200.1	XP_020722869.1, XP_020722877.1, XP_020722876.1, XP_003393959.1
OG0000189	XP_017754652.1, XP_017754659.1, XP_017754667.1	XP_003393809.1, XP_012173633.1, XP_012173634.1
OG0000190	XP_017766410.1, XP_017766409.1, XP_017766414.1, XP_017766415.1, XP_017766412.1, XP_017766413.1	XP_020722929.1
OG0000191	XP_017753554.1	XP_003394509.1
OG0000192	XP_017754347.1	XP_003394690.1
OG0000193	XP_017761219.1	XP_003396374.1, XP_012165376.1, XP_012165373.1, XP_012165379.1, XP_012165378.1
OG0000194	XP_017760945.1, XP_017760944.1	XP_012168595.1, XP_012168596.1, XP_012168597.1, XP_012168598.1, XP_020720998.1
OG0000195	XP_017755677.1, XP_017755678.1, XP_017755679.1	XP_020718760.1, XP_020718759.1, XP_003395333.1
OG0000197	XP_017757949.1	XP_012169560.1
OG0000197	XP_017760652.1	XP_020718269.1
OG0000200	XP_017753509.1, XP_017753508.1	XP_003393298.1
OG0000201	XP_017755856.1, XP_017755853.1, XP_017755854.1, XP_017755851.1, XP_017755852.1, XP_017755858.1, XP_017755857.1	XP_003397959.1, XP_012167677.1
OG0000202	XP_017760841.1	XP_012169335.1, XP_012169334.1
OG0000203	XP_017761525.1, XP_017761524.1, XP_017761523.1	XP_003400456.1, XP_012171242.1
OG0000204	XP_017759506.1, XP_017759507.1	XP_003394706.1, XP_003394705.1
OG0000205	XP_017755660.1	XP_012164463.1
OG0000206	XP_017757359.1	XP_020723622.1, XP_012174635.1, XP_012174638.1, XP_012174636.1, XP_003402881.1
OG0000207	XP_017762624.1	XP_012166636.1
OG0000208	XP_017764212.1, XP_017764213.1, XP_017764211.1	XP_012175169.1, XP_012175168.1, XP_020723824.1
OG0000209	XP_017755037.1, XP_017755038.1	XP_012167357.1
OG0000210	XP_017765051.1	XP_020722400.1, XP_020722396.1, XP_012172186.1, XP_020722391.1
OG0000211	XP_017761260.1, XP_017761259.1	XP_003403180.1, XP_012175194.1, XP_012175192.1, XP_012175195.1
OG0000212	XP_017760364.1, XP_017760363.1, XP_017760362.1	XP_012168652.1
OG0000213	XP_017765989.1, XP_017765987.1	XP_012175785.1, XP_012175778.1, XP_012175770.1, XP_012175792.1, XP_003393170.1
OG0000214	XP_017765450.1, XP_017765451.1	XP_003392935.1
OG0000215	XP_017762915.1	XP_020723607.1, XP_020723610.1, XP_012174547.1, XP_020723608.1, XP_020723611.1, XP_020723609.1
OG0000216	XP_017766078.1	XP_020719016.1
OG0000217	XP_017763974.1, XP_017764053.1	XP_020721002.1, XP_003394739.1, XP_012176683.1, XP_020718362.1, XP_020718364.1, XP_020718363.1, XP_012176685.1, XP_012176686.1, XP_012176691.1, XP_012176689.1, XP_012176690.1, XP_012176687.1, XP_012176688.1, XP_020718365.1, XP_003394740.1
OG0000218	XP_017765029.1	XP_003401025.1, XP_012172166.1
OG0000219	XP_017760481.1	XP_012173564.1
OG0000220	XP_017764513.1	XP_012163163.1
OG0000221	XP_017759937.1	XP_003400569.1
OG0000222	XP_017762934.1	XP_003398123.1
OG0000222	XP_017767431.1	XP_012167804.1
OG0000223	XP_017760444.1	XP_012166755.1, XP_003397452.1, XP_003397451.1
OG0000224	XP_017760492.1	XP_020723779.1, XP_012174962.1, XP_012174961.1, XP_012174960.1
OG0000226	XP_017761831.1	XP_012172272.1
OG0000227	XP_017756232.1	XP_012172050.1
OG0000228	XP_017764855.1, XP_017764854.1, XP_017764853.1	XP_003393462.1
OG0000229	XP_017755480.1	XP_012171396.1, XP_012171459.1, XP_003400520.2, XP_012171402.1, XP_003402519.3, XP_012171398.1, XP_003400517.1, XP_012171404.1, XP_012174839.1, XP_003400519.2, XP_012175504.1
OG0000229	XP_017753960.1	XP_003401003.1
OG0000230	XP_017764495.1	XP_003394878.1, XP_003394880.1, XP_020718578.1, XP_003394879.1
OG0000231	XP_017763159.1, XP_017763158.1, XP_017763161.1, XP_017763160.1	XP_012166221.1, XP_012166220.1, XP_012166219.1, XP_020719791.1, XP_012166222.1, XP_012166223.1
OG0000232	XP_017766787.1	XP_003400196.1, XP_012170947.1
OG0000233	XP_017756660.1	XP_012171308.1, XP_020722096.1, XP_003400476.1
OG0000234	XP_017756007.1, XP_017756006.1, XP_017756004.1, XP_017756005.1, XP_017756003.1	XP_012173296.1, XP_012173298.1, XP_012173297.1, XP_003401876.1, XP_003401877.1, XP_012173299.1
OG0000235	XP_017752374.1, XP_017752371.1, XP_017752372.1	XP_012175460.1, XP_020724080.1
OG0000236	XP_017764392.1	XP_012165571.1
OG0000236	XP_017764391.1	XP_012165569.1
OG0000237	XP_017752738.1	XP_012173935.1, XP_012173937.1, XP_012173936.1
