Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
OG0014824	XP_001949532.1																				
OG0014825	NP_001155409.1																				
OG0014826	NP_001280431.1																				
OG0014827	XP_001951312.1																				
OG0014828	NP_001165727.1																				
OG0014829	NP_001155954.1																				
OG0014830	XP_001952399.2																				
OG0014831	NP_001155414.1																				
OG0014832	XP_001950504.1																				
OG0014833	XP_001950323.2																				
OG0014834	XP_001951079.2																				
OG0014835	XP_029344570.1																				
OG0014836	NP_001155417.1																				
OG0014837	NP_001155418.1																				
OG0014838	XP_029345684.1																				
OG0014839	NP_001156075.1																				
OG0014840	XP_001943652.1																				
OG0014841	XP_001950186.1																				
OG0014842	XP_016664128.1																				
OG0014843	XP_029341398.1																				
OG0014844	XP_001943253.1																				
OG0014845	XP_001947183.2																				
OG0014846	XP_016656817.1																				
OG0014847	XP_001951443.1																				
OG0014848	XP_001943998.2																				
OG0014849	XP_029343922.1																				
OG0014850	NP_001155430.1																				
OG0014851	XP_016657665.1																				
OG0014852	XP_001952334.1																				
OG0014853	NP_001313555.1																				
OG0014854	XP_003242176.1																				
OG0014855	NP_001165732.1																				
OG0014856	XP_001948014.2																				
OG0014857	XP_016662809.1																				
OG0014858	XP_001951165.1																				
OG0014859	NP_001155445.1																				
OG0014860	NP_001155446.1																				
OG0014861	NP_001313556.1																				
OG0014862	XP_029345646.1																				
OG0014863	NP_001155453.1																				
OG0014864	XP_016660514.1																				
OG0014865	XP_008182905.2																				
OG0014866	XP_016661244.1																				
OG0014867	XP_003244494.1																				
OG0014868	NP_001156098.1																				
OG0014869	NP_001233122.1																				
OG0014870	XP_016658763.2																				
OG0014871	XP_029343151.1																				
OG0014872	NP_001156684.1																				
OG0014873	NP_001280331.1																				
OG0014874	XP_001947241.4																				
OG0014875	XP_029344745.1																				
OG0014876	NP_001155467.1																				
OG0014877	XP_003243163.1																				
OG0014878	XP_001950101.1																				
OG0014879	NP_001233104.1																				
OG0014880	XP_016659224.1																				
OG0014881	XP_001943847.2																				
OG0014882	XP_001949077.2																				
OG0014883	XP_001947629.1																				
OG0014884	XP_001947305.1																				
OG0014885	XP_001948356.1																				
OG0014886	XP_001944965.1																				
OG0014887	NP_001155475.1																				
OG0014888	XP_016662805.1																				
OG0014889	NP_001156609.1																				
OG0014890	XP_029342281.1																				
OG0014891	NP_001191988.1																				
OG0014892	XP_008187737.1																				
OG0014893	XP_001948193.1																				
OG0014894	XP_001952189.2																				
OG0014895	XP_001951281.1																				
OG0014896	XP_008183672.1																				
OG0014897	NP_001280417.1																				
OG0014898	XP_029344860.1																				
OG0014899	XP_029344957.1																				
OG0014900	NP_001156118.1																				
OG0014901	XP_001946241.1																				
OG0014902	XP_001949703.2																				
OG0014903	XP_001942542.1																				
OG0014904	XP_001950292.1																				
OG0014905	NP_001156124.1																				
OG0014906	XP_008179482.2																				
OG0014907	XP_008185576.1																				
OG0014908	XP_029341742.1																				
OG0014909	XP_008184282.2																				
OG0014910	XP_001951612.1																				
OG0014911	XP_001949232.2																				
OG0014912	NP_001191923.1																				
OG0014913	XP_001945717.2																				
OG0014914	XP_001951357.1																				
OG0014915	XP_001943310.1																				
OG0014916	XP_008179649.2																				
OG0014917	XP_016660652.1																				
OG0014918	XP_001942972.2																				
OG0014919	XP_001946760.1																				
OG0014920	XP_001946396.1																				
OG0014921	XP_008178652.1																				
OG0014922	XP_001949617.1																				
OG0014923	NP_001156137.1																				
OG0014924	NP_001155527.1																				
OG0014925	XP_001949724.1																				
OG0014926	XP_001942685.2																				
OG0014927	NP_001233026.1																				
OG0014928	XP_001946634.2																				
OG0014929	XP_008189796.1																				
OG0014930	XP_016661956.1																				
OG0014931	XP_001946929.2																				
OG0014932	XP_001949055.2																				
OG0014933	XP_001948993.2																				
OG0014934	XP_001951707.1																				
OG0014935	XP_001947485.1																				
OG0014936	XP_001944839.2																				
OG0014937	XP_016660825.1																				
OG0014938	XP_001950297.1																				
OG0014939	NP_001155548.1																				
OG0014940	NP_001156152.1																				
OG0014941	XP_008184434.1																				
OG0014942	XP_001948456.2																				
OG0014943	XP_008187232.1																				
OG0014944	XP_001952168.1																				
OG0014945	NP_001313571.1																				
OG0014946	XP_003242336.1																				
OG0014947	XP_001952118.2																				
OG0014948	XP_001945497.1																				
OG0014949	NP_001156670.1																				
OG0014950	XP_001944767.1																				
OG0014951	XP_001944975.2																				
OG0014952	XP_003245777.1																				
OG0014953	XP_029343764.1																				
OG0014954	XP_003248388.1																				
OG0014955	XP_001947378.1																				
OG0014956	XP_001948535.1																				
OG0014957	XP_029341540.1																				
OG0014958	XP_008187859.1																				
OG0014959	NP_001155566.1																				
OG0014960	XP_008179801.1																				
OG0014961	NP_001156163.1																				
OG0014962	NP_001156164.1																				
OG0014963	XP_001943373.1																				
OG0014964	XP_001952834.2																				
OG0014965	XP_001947900.3																				
OG0014966	XP_001942640.1																				
OG0014967	XP_029346234.1																				
OG0014968	XP_029341321.1																				
OG0014969	XP_008182638.1																				
OG0014970	XP_008186753.1																				
OG0014971	XP_008178174.1																				
OG0014972	XP_008187394.1																				
OG0014973	XP_001949397.1																				
OG0014974	XP_029341233.1																				
OG0014975	NP_001156696.1																				
OG0014976	XP_029344538.1																				
OG0014977	XP_029346606.1																				
OG0014978	XP_029343031.1																				
OG0014979	XP_001945400.1																				
OG0014980	XP_008178908.1																				
OG0014981	XP_016657179.1																				
OG0014982	XP_001945528.2																				
OG0014983	NP_001155587.1																				
OG0014984	XP_016661485.1																				
OG0014985	XP_001951598.2																				
OG0014986	XP_001947734.2																				
OG0014987	XP_029341511.1																				
OG0014988	XP_001951863.2																				
OG0014989	XP_001951311.2																				
OG0014990	XP_016660534.1																				
OG0014991	XP_001948050.1																				
OG0014992	XP_008180880.1																				
OG0014993	XP_008181434.1																				
OG0014994	XP_001950944.1																				
OG0014995	NP_001232993.1																				
OG0014996	XP_001948554.1																				
OG0014997	XP_001946443.2																				
OG0014998	XP_029342983.1																				
OG0014999	XP_001950577.1																				
OG0015000	XP_001945144.1																				
OG0015001	XP_001952019.2																				
OG0015002	NP_001155604.1																				
OG0015003	XP_001944353.1																				
OG0015004	XP_003247089.1																				
OG0015005	XP_001944570.1																				
OG0015006	XP_029344772.1																				
OG0015007	XP_001946714.1																				
OG0015008	XP_001944773.2																				
OG0015009	XP_008182842.1																				
OG0015010	XP_029341079.1																				
OG0015011	XP_001951637.3																				
OG0015012	XP_029347237.1																				
OG0015013	XP_001950875.1																				
OG0015014	XP_001943313.1																				
OG0015015	NP_001155614.1																				
OG0015016	NP_001155619.1																				
OG0015017	XP_001943216.2																				
OG0015018	NP_001156185.1																				
OG0015019	XP_001948963.1																				
OG0015020	XP_001945627.1																				
OG0015021	XP_008186454.1																				
OG0015022	XP_029341193.1																				
OG0015023	XP_003248215.1																				
OG0015024	XP_001945767.1																				
OG0015025	XP_016662020.1																				
OG0015026	NP_001165736.1																				
OG0015027	NP_001155634.2																				
OG0015028	XP_008188497.1																				
OG0015029	XP_008185829.1																				
OG0015030	XP_001942585.3																				
OG0015031	XP_016663393.1																				
OG0015032	XP_001947308.1																				
OG0015033	XP_008183766.1																				
OG0015034	XP_001948016.4																				
OG0015035	XP_001947395.2																				
OG0015036	NP_001156194.1																				
OG0015037	XP_008187093.1																				
OG0015038	XP_029344177.1																				
OG0015039	XP_001946678.2																				
OG0015040	NP_001156201.1																				
OG0015041	XP_029345554.1																				
OG0015042	XP_008181844.1																				
OG0015043	XP_001944676.2																				
OG0015044	XP_001943732.1																				
OG0015045	XP_029346001.1																				
OG0015046	XP_008184293.1																				
OG0015047	XP_029345614.1																				
OG0015048	XP_001944233.3																				
OG0015049	XP_001946513.1																				
OG0015050	XP_001948306.1																				
OG0015051	XP_016655883.1																				
OG0015052	XP_001945220.2																				
OG0015053	XP_001952616.2																				
OG0015054	NP_001153528.1																				
OG0015055	XP_001943492.1																				
OG0015056	XP_029343660.1																				
OG0015057	XP_001947482.4																				
OG0015058	XP_029348682.1																				
OG0015059	XP_029345484.1																				
OG0015060	XP_016664068.1																				
OG0015061	XP_029345502.1																				
OG0015062	XP_001944023.2																				
OG0015063	XP_001947691.2																				
OG0015064	XP_001946752.1																				
OG0015065	NP_001155659.1																				
OG0015066	XP_001948652.2																				
OG0015067	XP_001947749.1																				
OG0015068	XP_029341349.1																				
OG0015069	XP_008181812.1																				
OG0015070	XP_008185856.1																				
OG0015071	XP_029346220.1																				
OG0015072	XP_003245047.1																				
OG0015073	XP_001948031.2																				
OG0015074	XP_001943101.2																				
OG0015075	XP_003244982.1																				
OG0015076	XP_029341103.1																				
OG0015077	XP_001948571.1																				
OG0015078	XP_008188676.1																				
OG0015079	XP_016661750.1																				
OG0015080	XP_001949382.1																				
OG0015081	XP_001942838.2																				
OG0015082	NP_001280261.1																				
OG0015083	XP_001943271.1																				
OG0015084	XP_008182986.1																				
OG0015085	XP_029342712.1																				
OG0015086	NP_001155683.1																				
OG0015087	XP_001952000.1																				
OG0015088	XP_001942697.1																				
OG0015089	XP_001946976.1																				
OG0015090	XP_029343347.1																				
OG0015091	XP_001944324.2																				
OG0015092	XP_001942563.1																				
OG0015093	XP_001948437.3																				
OG0015094	XP_001948496.1																				
OG0015095	XP_001949125.1																				
OG0015096	XP_001946135.2																				
OG0015097	NP_001155694.1																				
OG0015098	XP_001944251.2																				
OG0015099	XP_029342112.1																				
OG0015100	XP_008190083.1																				
OG0015101	XP_029342117.1																				
OG0015102	XP_029346300.1																				
OG0015103	NP_001155709.1																				
OG0015104	XP_001947512.2																				
OG0015105	XP_003247123.1																				
OG0015106	XP_001951405.1																				
OG0015107	XP_001943260.1																				
OG0015108	NP_001156242.1																				
OG0015109	XP_001947571.1																				
OG0015110	NP_001280438.1																				
OG0015111	XP_008185144.1																				
OG0015112	XP_008187928.1																				
OG0015113	XP_016657302.1																				
OG0015114	XP_029341243.1																				
OG0015115	XP_001949765.2																				
OG0015116	XP_001947147.2																				
OG0015117	XP_001948991.2																				
OG0015118	XP_001943513.2																				
OG0015119	XP_001945518.1																				
OG0015120	XP_001945851.1																				
OG0015121	NP_001156580.1																				
OG0015122	XP_001951627.2																				
OG0015123	XP_001944192.1																				
OG0015124	NP_001156250.1																				
OG0015125	XP_003246765.1																				
OG0015126	XP_008178358.1																				
OG0015127	XP_001942735.2																				
OG0015128	XP_001948448.3																				
OG0015129	NP_001155725.1																				
OG0015130	XP_001942617.2																				
OG0015131	XP_001947472.2																				
OG0015132	XP_016658595.1																				
OG0015133	XP_008189874.1																				
OG0015134	XP_008184186.1																				
OG0015135	XP_029344485.1																				
OG0015136	XP_008188704.3																				
OG0015137	XP_001950638.1																				
OG0015138	XP_029341820.1																				
OG0015139	XP_001949109.2																				
OG0015140	XP_016657719.2																				
OG0015141	XP_001951229.2																				
OG0015142	XP_001950202.1																				
OG0015143	XP_001946158.1																				
OG0015144	XP_001944563.1																				
OG0015145	NP_001155938.1																				
OG0015146	XP_001947062.1																				
OG0015147	XP_016657142.1																				
OG0015148	XP_001950594.2																				
OG0015149	XP_001944957.2																				
OG0015150	XP_001945028.2																				
OG0015151	NP_001155747.1																				
OG0015152	XP_001950789.1																				
OG0015153	NP_001156677.1																				
OG0015154	XP_001948219.2																				
OG0015155	XP_001951579.2																				
OG0015156	XP_001950974.1																				
OG0015157	XP_001947523.2																				
OG0015158	NP_001155759.1																				
OG0015159	NP_001156263.1																				
OG0015160	XP_001943484.1																				
OG0015161	XP_001946044.1																				
OG0015162	XP_008186989.1																				
OG0015163	XP_008183734.1																				
OG0015164	XP_001952771.2																				
OG0015165	XP_001948358.2																				
OG0015166	NP_001156465.1																				
OG0015167	XP_029341514.1																				
OG0015168	XP_001945257.2																				
OG0015169	NP_001155771.1																				
OG0015170	XP_001950287.1																				
OG0015171	XP_029342501.1																				
OG0015172	NP_001155772.1																				
OG0015173	XP_008179402.1																				
OG0015174	XP_001944921.2																				
OG0015175	XP_001946990.1																				
OG0015176	XP_001948663.1																				
OG0015177	XP_029343168.1																				
OG0015178	XP_001942766.2																				
OG0015179	XP_008189975.1																				
OG0015180	XP_008180572.2																				
OG0015181	XP_001943726.1																				
OG0015182	NP_001155783.1																				
OG0015183	XP_008180596.1																				
OG0015184	XP_001942874.1																				
OG0015185	XP_008186921.1																				
OG0015186	XP_001942985.1																				
OG0015187	XP_029346310.1																				
OG0015188	XP_003241683.1																				
OG0015189	XP_001948687.1																				
OG0015190	XP_001943975.1																				
OG0015191	NP_001156290.1																				
OG0015192	XP_001949147.2																				
OG0015193	XP_001944766.2																				
OG0015194	XP_001943514.2																				
OG0015195	XP_016665046.1																				
OG0015196	XP_029347224.1																				
OG0015197	XP_001951705.1																				
OG0015198	XP_008183628.1																				
OG0015199	XP_001952598.2																				
OG0015200	XP_001947514.1																				
OG0015201	XP_001946651.2																				
OG0015202	XP_001951745.1																				
OG0015203	XP_001949093.2																				
OG0015204	XP_029342162.1																				
OG0015205	XP_008188315.1																				
OG0015206	XP_001949105.3																				
OG0015207	XP_016661374.1																				
OG0015208	XP_001945592.1																				
OG0015209	XP_001950433.1																				
OG0015210	XP_001943096.1																				
OG0015211	XP_016656905.1																				
OG0015212	XP_001947665.2																				
OG0015213	XP_029341712.1																				
OG0015214	XP_001943126.2																				
OG0015215	XP_016663003.2																				
OG0015216	XP_008187280.1																				
OG0015217	XP_016664768.1																				
OG0015218	XP_008183066.1																				
OG0015219	NP_001156312.1																				
OG0015220	XP_001943011.1																				
OG0015221	XP_008181561.1																				
OG0015222	XP_001943898.1																				
OG0015223	XP_001943240.1																				
OG0015224	NP_001155821.1																				
OG0015225	XP_016662716.1																				
OG0015226	XP_008178139.1																				
OG0015227	XP_001949933.1																				
OG0015228	XP_029348034.1																				
OG0015229	XP_001948954.1																				
OG0015230	XP_029346154.1																				
OG0015231	XP_001944377.2																				
OG0015232	XP_001949350.2																				
OG0015233	XP_001948600.1																				
OG0015234	XP_001943844.2																				
OG0015235	XP_029345779.1																				
OG0015236	NP_001127764.1																				
OG0015237	NP_001127960.1																				
OG0015238	NP_001128378.1																				
OG0015239	NP_001129380.1																				
OG0015240	NP_001153535.1																				
OG0015241	NP_001153888.1																				
OG0015242	NP_001154177.1																				
OG0015243	NP_001155940.1																				
OG0015244	NP_001156439.1																				
OG0015245	NP_001156650.1																				
OG0015246	NP_001156672.1																				
OG0015247	NP_001156681.1																				
OG0015248	NP_001156803.1																				
OG0015249	NP_001191913.1																				
OG0015250	NP_001191917.1																				
OG0015251	XP_029348651.1																				
OG0015252	XP_003241716.1																				
OG0015253	XP_003243746.1																				
OG0015254	XP_003244092.1																				
OG0015255	XP_029344846.1																				
OG0015256	XP_003244727.1																				
OG0015257	XP_003247252.1																				
OG0015258	XP_029342818.1																				
OG0015259	XP_008189212.1																				
OG0015260	XP_003243456.2																				
OG0015261	XP_003245150.1																				
OG0015262	XP_029346657.1																				
OG0015263	XP_003242501.1																				
OG0015264	XP_003244560.1																				
OG0015265	XP_003244958.1																				
OG0015266	XP_003245547.1																				
OG0015267	XP_003246136.1																				
OG0015268	XP_029346457.1																				
OG0015269	XP_003246202.1																				
OG0015270	XP_008178778.2																				
OG0015271	XP_003243375.1																				
OG0015272	XP_008187498.1																				
OG0015273	XP_008180790.2																				
OG0015274	XP_008184622.2																				
OG0015275	XP_003246879.1																				
OG0015276	XP_008183906.1																				
OG0015277	XP_029346960.1																				
OG0015278	XP_003247020.3																				
OG0015279	XP_003248014.1																				
OG0015280	XP_003243458.1																				
OG0015281	XP_008182180.1																				
OG0015282	XP_003244647.1																				
OG0015283	XP_003244376.1																				
OG0015284	XP_003248526.2																				
OG0015285	XP_003240654.1																				
OG0015286	XP_003240851.1																				
OG0015287	XP_008181172.2																				
OG0015288	XP_003245185.1																				
OG0015289	XP_029341625.1																				
OG0015290	XP_008180839.1																				
OG0015291	XP_003245390.1																				
OG0015292	XP_003247324.1																				
OG0015293	XP_003241443.1																				
OG0015294	XP_003244562.1																				
OG0015295	XP_029347930.1																				
OG0015296	XP_029343608.1																				
OG0015297	XP_003248527.1																				
OG0015298	XP_029347198.1																				
OG0015299	XP_003241294.1																				
OG0015300	XP_003243857.3																				
OG0015301	XP_003245473.2																				
OG0015302	XP_016655802.2																				
OG0015303	XP_029341391.1																				
OG0015304	XP_016659370.1																				
OG0015305	XP_008188722.1																				
OG0015306	XP_003241542.1																				
OG0015307	XP_029344954.1																				
OG0015308	XP_003245474.2																				
OG0015309	XP_008189705.2																				
OG0015310	XP_003244563.1																				
OG0015311	XP_003246841.1																				
OG0015312	XP_016663177.2																				
OG0015313	XP_029347687.1																				
OG0015314	XP_003242928.1																				
OG0015315	XP_003244959.1																				
OG0015316	XP_003245273.1																				
OG0015317	XP_029344513.1																				
OG0015318	XP_003248415.1																				
OG0015319	XP_003242808.1																				
OG0015320	XP_003241720.1																				
OG0015321	XP_003242639.1																				
OG0015322	XP_016663789.1																				
OG0015323	XP_003240808.1																				
OG0015324	XP_003243460.1																				
OG0015325	XP_008180545.1																				
OG0015326	XP_003244013.1																				
OG0015327	XP_003245584.1																				
OG0015328	XP_008185916.1																				
OG0015329	XP_008179744.1																				
OG0015330	XP_003242640.1																				
OG0015331	XP_003245629.1																				
OG0015332	XP_029346052.1																				
OG0015333	NP_001313599.1																				
OG0015334	XP_016664618.1																				
OG0015335	XP_029341531.1																				
OG0015336	XP_029342431.1																				
OG0015337	XP_003246928.1																				
OG0015338	XP_008188826.1																				
OG0015339	XP_003243462.1																				
OG0015340	XP_008182016.2																				
OG0015341	XP_003247933.2																				
OG0015342	XP_029342666.1																				
OG0015343	XP_003247552.1																				
OG0015344	XP_029341039.1																				
OG0015345	XP_003244095.1																				
OG0015346	XP_003247142.1																				
OG0015347	XP_003247431.1																				
OG0015348	XP_008178555.1																				
OG0015349	XP_003242357.1																				
OG0015350	XP_003243546.1																				
OG0015351	XP_016656099.1																				
OG0015352	XP_008181849.2																				
OG0015353	XP_016660323.1																				
OG0015354	XP_003240287.1																				
OG0015355	XP_008180651.1																				
OG0015356	XP_003241799.1																				
OG0015357	XP_003248588.1																				
OG0015358	XP_008178150.1																				
OG0015359	XP_003245632.1																				
OG0015360	XP_029346032.1																				
OG0015361	XP_003242304.1																				
OG0015362	XP_003245900.1																				
OG0015363	XP_003246208.1																				
OG0015364	XP_003240534.1																				
OG0015365	XP_016656313.1																				
OG0015366	XP_003245156.3																				
OG0015367	XP_029348654.1																				
OG0015368	XP_003247973.1																				
OG0015369	XP_003241255.2																				
OG0015370	XP_003244448.1																				
OG0015371	XP_003241920.1																				
OG0015372	XP_003242643.1																				
OG0015373	XP_008179562.1																				
OG0015374	XP_003247824.1																				
OG0015375	XP_003246249.1																				
OG0015376	XP_003246329.1																				
OG0015377	XP_029343956.1																				
OG0015378	XP_003242467.1																				
OG0015379	XP_029344839.1																				
OG0015380	XP_003244653.1																				
OG0015381	XP_003247937.1																				
OG0015382	XP_016656334.1																				
OG0015383	XP_029345842.1																				
OG0015384	XP_008179804.1																				
OG0015385	XP_003247793.2																				
OG0015386	NP_001280290.1																				
OG0015387	XP_003245358.1																				
OG0015388	XP_029343798.1																				
OG0015389	XP_003247180.1																				
OG0015390	XP_003248779.3																				
OG0015391	XP_008183912.1																				
OG0015392	NP_001233017.1																				
OG0015393	XP_003246331.1																				
OG0015394	XP_003247667.1																				
OG0015395	XP_003241502.1																				
OG0015396	XP_003242013.1																				
OG0015397	XP_029341667.1																				
OG0015398	XP_003242402.1																				
OG0015399	XP_003242555.2																				
OG0015400	XP_003243100.3																				
OG0015401	XP_003245162.2																				
OG0015402	XP_003245481.1																				
OG0015403	XP_029343686.1																				
OG0015404	XP_029345512.1																				
OG0015405	XP_003246294.1																				
OG0015406	XP_003242899.1																				
OG0015407	XP_003244656.1																				
OG0015408	XP_003247620.1																				
OG0015409	XP_003248330.2																				
OG0015410	XP_003248978.4																				
OG0015411	XP_003246770.1																				
OG0015412	XP_003243101.1																				
OG0015413	XP_008185448.1																				
OG0015414	XP_029345794.1																				
OG0015415	XP_003245673.1																				
OG0015416	XP_029346064.1																				
OG0015417	XP_003243831.1																				
OG0015418	XP_003244805.1																				
OG0015419	XP_003247296.1																				
OG0015420	XP_029342041.1																				
OG0015421	XP_029347038.1																				
OG0015422	XP_008185718.1																				
OG0015423	XP_003248063.1																				
OG0015424	XP_008180235.2																				
OG0015425	XP_003244806.2																				
OG0015426	XP_003245401.1																				
OG0015427	XP_016659787.1																				
OG0015428	XP_003244496.1																				
OG0015429	XP_003244839.2																				
OG0015430	XP_003244968.1																				
OG0015431	XP_003247374.1																				
OG0015432	XP_008183517.1																				
OG0015433	XP_003243018.1																				
OG0015434	XP_003245554.1																				
OG0015435	XP_003241644.1																				
OG0015436	XP_003242609.1																				
OG0015437	NP_001233065.1																				
OG0015438	XP_016663344.1																				
OG0015439	XP_003242470.1																				
OG0015440	XP_003247113.1																				
OG0015441	XP_029342259.1																				
OG0015442	XP_003243019.1																				
OG0015443	XP_003244266.1																				
OG0015444	XP_003245441.1																				
OG0015445	XP_003247340.1																				
OG0015446	XP_003247980.1																				
OG0015447	XP_029342266.1																				
OG0015448	XP_008180221.1																				
OG0015449	XP_003244884.1																				
OG0015450	XP_003245165.1																				
OG0015451	XP_008185057.1																				
OG0015452	XP_003246296.1																				
OG0015453	XP_029346109.1																				
OG0015454	XP_029341768.1																				
OG0015455	XP_029347476.1																				
OG0015456	XP_003248983.1																				
OG0015457	XP_029343334.1																				
OG0015458	XP_029341415.1																				
OG0015459	XP_008180184.2																				
OG0015460	XP_008182271.1																				
OG0015461	XP_003244659.1																				
OG0015462	XP_029343336.1																				
OG0015463	XP_003246562.1																				
OG0015464	XP_029343215.1																				
OG0015465	XP_029342255.1																				
OG0015466	XP_029342972.1																				
OG0015467	XP_029346936.1																				
OG0015468	XP_008178628.1																				
OG0015469	XP_003244660.1																				
OG0015470	XP_003245869.1																				
OG0015471	XP_029342084.1																				
OG0015472	XP_003246689.3																				
OG0015473	XP_003242472.1																				
OG0015474	NP_001233004.1																				
OG0015475	XP_029341700.1																				
OG0015476	XP_003247624.1																				
OG0015477	XP_029346719.1																				
OG0015478	XP_016663106.1																				
OG0015479	XP_003247379.1																				
OG0015480	XP_029341113.1																				
OG0015481	XP_003244269.1																				
OG0015482	XP_003242474.1																				
OG0015483	XP_016658236.1																				
OG0015484	XP_029343830.1																				
OG0015485	XP_029341817.1																				
OG0015486	XP_029345414.1																				
OG0015487	NP_001232989.1																				
OG0015488	XP_003245641.1																				
OG0015489	XP_029347912.1																				
OG0015490	XP_003246895.2																				
OG0015491	XP_029341828.1																				
OG0015492	XP_008180970.1																				
OG0015493	XP_029348335.1																				
OG0015494	XP_003243311.3																				
OG0015495	XP_003241649.1																				
OG0015496	XP_029342061.1																				
OG0015497	XP_029347592.1																				
OG0015498	XP_003247116.1																				
OG0015499	NP_001192055.1																				
OG0015500	XP_003240697.1																				
OG0015501	XP_003247037.1																				
OG0015502	XP_003241461.2																				
OG0015503	XP_029341709.1																				
OG0015504	XP_003248546.1																				
OG0015505	XP_003242902.1																				
OG0015506	XP_008181486.2																				
OG0015507	XP_008184887.1																				
OG0015508	XP_003240377.1																				
OG0015509	XP_003241413.1																				
OG0015510	XP_003243314.1																				
OG0015511	XP_003243901.1																				
OG0015512	XP_016661375.2																				
OG0015513	XP_008180193.1																				
OG0015514	XP_003246973.1																				
OG0015515	XP_003247269.1																				
OG0015516	XP_003245827.1																				
OG0015517	XP_003240624.2																				
OG0015518	XP_003241935.1																				
OG0015519	XP_003245330.1																				
OG0015520	XP_003246372.1																				
OG0015521	XP_008187959.1																				
OG0015522	XP_029348610.1																				
OG0015523	XP_003244347.1																				
OG0015524	XP_003248214.1																				
OG0015525	XP_003243270.1																				
OG0015526	XP_003244537.1																				
OG0015527	XP_003240625.1																				
OG0015528	XP_003247304.1																				
OG0015529	XP_003246778.1																				
OG0015530	XP_003240304.1																				
OG0015531	XP_003245781.1																				
OG0015532	NP_001233094.1																				
OG0015533	XP_003243864.1																				
OG0015534	XP_016664898.2																				
OG0015535	XP_029345413.1																				
OG0015536	XP_003243272.1																				
OG0015537	XP_003246221.1																				
OG0015538	XP_003242477.1																				
OG0015539	XP_016663752.1																				
OG0015540	XP_003244539.1																				
OG0015541	XP_003245245.1																				
OG0015542	XP_016661988.1																				
OG0015543	XP_008186972.1																				
OG0015544	XP_003248495.2																				
OG0015545	XP_008178636.1																				
OG0015546	XP_003245488.1																				
OG0015547	XP_003244811.3																				
OG0015548	NP_001233082.1																				
OG0015549	XP_003247081.1																				
OG0015550	XP_003241040.1																				
OG0015551	XP_003244931.1																				
OG0015552	XP_029344717.1																				
OG0015553	XP_003241041.1																				
OG0015554	XP_029345891.1																				
OG0015555	XP_003245332.1																				
OG0015556	XP_008186355.1																				
OG0015557	XP_008180244.1																				
OG0015558	XP_016659166.1																				
OG0015559	XP_003244627.1																				
OG0015560	XP_003242567.1																				
OG0015561	XP_003242231.1																				
OG0015562	XP_029348711.1																				
OG0015563	XP_003243566.2																				
OG0015564	XP_003244115.1																				
OG0015565	XP_003245449.1																				
OG0015566	XP_008184724.1																				
