ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
11	"LOC114872198"	NA	chrOU015519.1	+	7737425	7738144	7737630	7738144	7736518	7736679	11	51,33,28,27	0,1,0,0	47,47,41,51	0,2,0,1	304	99	1	1.0	1.0,0.915,1.0,1.0	1.0,0.884,1.0,0.943	0.022
12	"LOC114872198"	NA	chrOU015519.1	+	7737425	7738144	7737672	7738144	7736518	7736679	12	52,34,29,28	2,0,0,0	48,47,42,51	1,0,1,0	346	99	1	1.0	0.882,1.0,1.0,1.0	0.932,1.0,0.923,1.0	0.007
13	"LOC114872198"	NA	chrOU015519.1	+	7737630	7738144	7737672	7738144	7736518	7736679	13	1,2,1,1	2,0,0,0	1,2,1,1	1,0,1,0	141	99	0.765357033336	1.0	0.26,1.0,1.0,1.0	0.413,1.0,0.413,1.0	0.108
14	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706735	7706304	7706726	7706966	7707214	14	4,0,1,1	34,20,13,16	4,5,5,2	21,22,23,18	108	99	0.0086972550047	0.19400906460979309	0.097,0.0,0.066,0.054	0.149,0.172,0.166,0.092	-0.09
15	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706793	7706304	7706726	7706966	7707214	15	6,1,3,1	34,20,13,16	4,3,5,3	21,22,23,18	166	99	0.385707578256	1.0	0.095,0.029,0.121,0.036	0.102,0.075,0.115,0.09	-0.025
16	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706793	7706304	7706735	7706966	7707214	16	4,1,3,1	2,0,1,1	3,1,3,3	3,3,3,2	157	99	0.0550311026928	0.5556869589101049	0.558,1.0,0.654,0.387	0.387,0.174,0.387,0.486	0.291
17	"LOC114872233"	NA	chrOU015519.1	+	7677707	7679021	7678109	7679021	7676847	7677573	17	31,10,17,8	1,0,0,0	21,15,13,8	0,1,0,0	501	99	1	1.0	0.86,1.0,1.0,1.0	1.0,0.748,1.0,1.0	0.028
18	"LOC114872240"	NA	chrOU015519.1	+	7602399	7603706	7603131	7603706	7602222	7602324	18	277,136,132,93	7,3,2,0	269,105,137,141	1,1,3,0	831	99	0.0206205784964	0.3391106814043008	0.825,0.844,0.887,1.0	0.97,0.926,0.845,1.0	-0.046
19	"LOC114872240"	NA	chrOU015519.1	+	7604449	7604802	7604464	7604802	7604142	7604398	19	6,7,2,2	4,6,3,10	3,2,1,3	3,3,1,6	114	99	0.861587455764	1.0	0.566,0.503,0.367,0.148	0.465,0.367,0.465,0.303	-0.004
20	"LOC114872242"	NA	chrOU015519.1	+	7597897	7598223	7598045	7598223	7592962	7593090	20	321,202,229,165	0,0,0,0	300,175,158,212	0,1,1,0	247	99	1	1.0	1.0,1.0,1.0,1.0	1.0,0.986,0.984,1.0	0.008
21	"LOC114872242"	NA	chrOU015519.1	+	7597830	7598223	7597897	7598223	7596299	7596635	21	88,66,46,28	46,29,38,26	54,35,44,57	55,35,17,32	166	99	0.660973889689	1.0	0.533,0.576,0.419,0.391	0.369,0.374,0.607,0.515	0.013
22	"LOC114872242"	NA	chrOU015519.1	+	7597830	7598223	7598042	7598223	7596299	7596635	22	392,257,271,181	11,10,18,3	345,205,191,259	17,3,5,7	311	99	0.427461507014	1.0	0.919,0.891,0.827,0.951	0.866,0.956,0.924,0.922	-0.02
23	"LOC114872242"	NA	chrOU015519.1	+	7597830	7598223	7598045	7598223	7596299	7596635	23	408,268,275,193	112,73,67,40	354,210,202,269	127,52,58,84	314	99	0.108070654743	0.737827833745391	0.535,0.536,0.564,0.603	0.468,0.56,0.523,0.502	0.046
24	"LOC114872242"	NA	chrOU015519.1	+	7597830	7598223	7598070	7598223	7596299	7596635	24	499,308,334,226	3,4,1,3	453,262,254,338	14,12,5,4	339	99	5.80286639374e-05	0.0100568138346894	0.98,0.957,0.99,0.957	0.904,0.864,0.937,0.961	0.054
25	"LOC114872242"	NA	chrOU015519.1	+	7597897	7598223	7598042	7598223	7596299	7596635	25	350,220,263,179	11,10,18,3	346,205,164,234	17,3,5,7	244	99	0.355622530417	1.0	0.928,0.899,0.856,0.96	0.892,0.965,0.93,0.931	-0.019
26	"LOC114872242"	NA	chrOU015519.1	+	7597897	7598223	7598045	7598223	7596299	7596635	26	366,231,267,191	112,73,67,40	355,210,175,244	127,52,58,84	247	99	0.183540534583	0.9770190641632307	0.567,0.559,0.615,0.657	0.528,0.618,0.547,0.538	0.042
27	"LOC114872242"	NA	chrOU015519.1	+	7597897	7598223	7598070	7598223	7596299	7596635	27	457,271,326,224	3,4,1,3	454,262,227,313	14,12,5,4	272	99	8.12010770392e-05	0.012196401771287838	0.982,0.961,0.992,0.965	0.922,0.888,0.943,0.966	0.045
28	"LOC114872242"	NA	chrOU015519.1	+	7598042	7598223	7598045	7598223	7596299	7596635	28	27,21,22,15	112,73,67,40	26,8,16,17	127,52,58,84	102	99	0.077615097822	0.6648928341937871	0.19,0.218,0.242,0.267	0.166,0.13,0.211,0.164	0.061
29	"LOC114872242"	NA	chrOU015519.1	+	7598042	7598223	7598070	7598223	7596299	7596635	29	118,61,81,48	3,4,1,3	125,60,68,86	14,12,5,4	127	99	0.000534155234894	0.031917263975285215	0.968,0.922,0.984,0.926	0.874,0.796,0.914,0.944	0.068
30	"LOC114872242"	NA	chrOU015519.1	+	7598045	7598223	7598070	7598223	7596299	7596635	30	203,113,126,73	3,4,1,3	226,104,110,153	14,12,5,4	124	99	0.000538329352446	0.031917263975285215	0.982,0.958,0.99,0.951	0.928,0.874,0.946,0.968	0.041
31	"LOC114872247"	NA	chrOU015519.1	+	7099666	7100077	7099678	7100077	7094031	7099576	31	28,21,14,21	22,14,8,8	41,19,23,29	13,17,9,17	111	99	0.533512577672	1.0	0.532,0.572,0.609,0.701	0.738,0.499,0.695,0.603	-0.03
32	"LOC114879960"	NA	chrOU015519.1	-	6700242	6700588	6700242	6700573	6700904	6701080	32	27,21,16,7	9,4,14,8	25,7,17,20	14,11,1,10	114	99	0.929149727847	1.0	0.723,0.82,0.498,0.432	0.608,0.356,0.937,0.635	-0.016
34	"LOC114879964"	NA	chrOU015519.1	+	6695712	6696673	6696502	6696673	6695468	6695510	34	632,363,324,264	1,0,3,2	522,226,313,311	1,0,0,1	889	99	0.570723745889	1.0	0.986,1.0,0.923,0.936	0.983,1.0,1.0,0.972	-0.028
35	"LOC114879140"	NA	chrOU015519.1	+	6582963	6583174	6582975	6583174	6582692	6582864	35	1,0,0,0	9,7,3,3	1,0,0,0	15,8,5,6	111	99	1	1.0	0.09,0.0,0.0,0.0	0.056,0.0,0.0,0.0	0.008
36	"LOC114879140"	NA	chrOU015519.1	+	6594444	6594582	6594456	6594582	6593426	6593586	36	0,0,0,0	7,3,1,0	1,0,0,1	1,2,5,3	111	99	1	1.0	0.0,0.0,0.0,NA	0.471,0.0,0.0,0.229	-0.175
37	"LOC114879140"	NA	chrOU015519.1	+	6598032	6598101	6598053	6598101	6596900	6597046	37	2,3,2,1	0,1,0,0	4,0,1,1	0,0,0,0	120	99	1	1.0	1.0,0.712,1.0,1.0	1.0,NA,1.0,1.0	-0.072
38	"LOC114879140"	NA	chrOU015519.1	+	6598032	6598101	6598053	6598101	6597808	6597862	38	1,1,2,0	1,0,0,1	3,0,3,3	1,0,1,0	120	99	1	1.0	0.452,1.0,1.0,0.0	0.712,NA,0.712,1.0	-0.195
39	"LOC114879151"	NA	chrOU015519.1	+	6504944	6505483	6504950	6505483	6503963	6504281	39	23,12,19,7	10,9,7,8	22,9,14,16	10,9,7,13	105	99	0.743602488535	1.0	0.684,0.557,0.719,0.452	0.675,0.485,0.653,0.537	0.015
40	"LOC114879151"	NA	chrOU015519.1	+	6506149	6506810	6506218	6506810	6503963	6504281	40	27,18,19,7	0,0,1,0	35,16,19,27	0,0,0,0	168	99	1	1.0	1.0,1.0,0.918,1.0	1.0,1.0,1.0,1.0	-0.02
41	"LOC114879151"	NA	chrOU015519.1	+	6506149	6506810	6506218	6506810	6505704	6505890	41	53,36,34,21	6,8,6,5	72,30,43,39	5,5,3,3	168	99	0.035619718952	0.44337694364008845	0.839,0.726,0.77,0.712	0.895,0.78,0.894,0.885	-0.102
44	"LOC114880454"	NA	chrOU015519.1	+	6290480	6290673	6290492	6290673	6289930	6290244	44	15,4,6,0	4,2,1,2	10,4,5,9	5,2,1,3	111	99	0.874079018414	1.0	0.77,0.641,0.843,0.0	0.641,0.641,0.817,0.728	-0.143
47	"LOC114876643"	NA	chrOU015519.1	-	6123151	6123222	6123151	6123219	6123292	6123665	47	3,1,1,1	0,1,0,2	7,2,2,3	2,1,3,2	102	99	0.0137635397771	0.27201100980531845	1.0,0.493,1.0,0.327	0.773,0.66,0.393,0.593	0.1
48	"LOC114876700"	NA	chrOU015519.1	-	6054825	6054975	6054825	6054972	6055044	6055265	48	16,11,10,8	30,22,14,12	18,9,12,12	37,26,10,34	102	99	0.653716480192	1.0	0.341,0.327,0.409,0.393	0.321,0.251,0.538,0.255	0.026
49	"LOC114876702"	NA	chrOU015519.1	+	6041747	6042270	6041751	6042270	6023981	6024407	49	4,2,5,5	4,0,1,0	5,5,8,16	0,0,0,1	103	99	0.233484904024	1.0	0.49,1.0,0.828,1.0	1.0,1.0,1.0,0.939	-0.155
50	"LOC114876692"	NA	chrOU015519.1	+	5818464	5819271	5818482	5819271	5818117	5818280	50	131,85,96,61	1326,676,808,818	117,66,75,95	1216,644,741,926	117	99	0.803320061612	1.0	0.077,0.096,0.091,0.059	0.075,0.08,0.079,0.08	0.002
51	"LOC114876695"	NA	chrOU015519.1	-	5607836	5608077	5607836	5608032	5608141	5608236	51	2,6,4,1	16,13,17,5	12,5,3,5	40,10,8,16	144	99	0.296753894749	1.0	0.079,0.241,0.139,0.121	0.171,0.256,0.205,0.177	-0.057
52	"LOC114871528"	NA	chrOU015519.1	+	5471330	5471762	5471339	5471762	5470807	5471036	52	0,1,3,0	5,9,8,5	2,5,0,1	34,13,10,6	108	99	0.193237913994	0.9861645154129302	0.0,0.092,0.256,0.0	0.051,0.261,0.0,0.133	-0.024
53	"LOC114871553"	NA	chrOU015519.1	-	5189752	5189967	5189752	5189955	5191729	5191958	53	3,1,0,1	2,3,2,4	2,2,3,5	6,2,2,2	111	99	0.0519429055921	0.5402784929470714	0.572,0.229,0.0,0.182	0.229,0.471,0.572,0.69	-0.245
54	"LOC114871553"	NA	chrOU015519.1	-	5189752	5189970	5189752	5189955	5191729	5191958	54	3,1,1,0	2,3,2,4	5,2,0,3	6,2,2,2	114	99	0.141105314861	0.8300529357228016	0.566,0.224,0.303,0.0	0.42,0.465,0.0,0.566	-0.09
55	"LOC114871553"	NA	chrOU015519.1	-	5189752	5189970	5189752	5189967	5191729	5191958	55	2,1,1,0	2,1,0,1	5,1,0,3	2,1,3,5	102	99	0.338290768262	1.0	0.493,0.493,1.0,0.0	0.708,0.493,0.0,0.368	0.104
56	"LOC114871497"	NA	chrOU015519.1	+	5133084	5133757	5133099	5133757	5132389	5132546	56	0,0,0,0	4,1,6,4	0,0,2,2	1,3,1,1	114	99	0.21160572893	1.0	0.0,0.0,0.0,0.0	0.0,0.0,0.635,0.635	-0.318
57	"LOC114879062"	NA	chrOU015519.1	-	4163520	4163740	4163520	4163737	4163822	4163998	57	61,36,45,22	72,41,38,46	65,43,32,49	61,36,39,53	102	99	0.323674041173	1.0	0.451,0.46,0.535,0.317	0.508,0.537,0.443,0.473	-0.049
58	"LOC114879056"	NA	chrOU015519.1	-	4042726	4044405	4042726	4044390	4044462	4044625	58	6,3,5,6	37,18,22,29	15,4,10,8	45,28,17,32	114	99	0.115182034986	0.761012096256475	0.123,0.126,0.165,0.152	0.224,0.11,0.338,0.178	-0.071
59	"LOC114879042"	NA	chrOU015519.1	-	3945135	3945453	3945135	3945450	3945571	3945698	59	7,1,8,2	3,1,1,1	10,5,22,8	3,3,7,4	102	99	0.323810338145	1.0	0.694,0.493,0.886,0.66	0.764,0.618,0.753,0.66	-0.016
60	"LOC114880249"	NA	chrOU015519.1	-	3747727	3747880	3747727	3747854	3748047	3748348	60	9,4,5,5	3,6,4,0	10,3,5,6	4,1,1,3	125	99	0.609356109981	1.0	0.704,0.346,0.497,1.0	0.664,0.704,0.798,0.613	-0.058
61	"LOC114880249"	NA	chrOU015519.1	-	3747727	3747880	3747727	3747854	3750136	3750342	61	6,4,4,4	4,2,1,4	6,3,3,5	1,0,2,2	125	99	0.0786133212604	0.6659314534287744	0.543,0.613,0.76,0.442	0.826,1.0,0.543,0.664	-0.169
62	"LOC114880249"	NA	chrOU015519.1	-	3747727	3747880	3747727	3747854	3750382	3750467	62	6,4,4,3	1,0,0,0	6,4,3,5	0,0,0,0	125	99	1	1.0	0.826,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.043
63	"LOC114877990"	NA	chrOU015519.1	-	3645696	3645765	3645696	3645762	3646174	3646342	63	12,3,6,5	4,0,2,1	5,5,8,6	3,1,0,3	102	99	0.268325374716	1.0	0.744,1.0,0.744,0.829	0.618,0.829,1.0,0.66	0.052
64	"LOC114877990"	NA	chrOU015519.1	-	3647022	3647079	3647022	3647076	3647517	3647645	64	6,2,4,3	2,0,0,0	2,3,0,1	2,2,0,5	102	99	1	1.0	0.744,1.0,1.0,1.0	0.493,0.593,NA,0.163	0.52
65	"LOC114880466"	NA	chrOU015519.1	+	6215417	6215823	6215420	6215823	6215038	6215239	65	8,2,4,8	3,0,1,2	4,5,2,3	3,2,1,1	102	99	0.326009950476	1.0	0.721,1.0,0.795,0.795	0.564,0.708,0.66,0.744	0.159
66	"LOC114880466"	NA	chrOU015519.1	+	6215417	6215823	6215420	6215823	6215038	6215245	66	19,7,9,11	6,3,1,5	17,19,8,11	11,6,6,9	102	99	0.0920095436108	0.6981039262857744	0.755,0.694,0.897,0.681	0.6,0.755,0.564,0.543	0.141
67	"LOC114878003"	NA	chrOU015519.1	+	3510213	3510304	3510219	3510304	3509236	3509339	67	80,20,35,35	9,2,1,0	83,57,40,62	6,4,3,3	105	99	0.701147487898	1.0	0.893,0.904,0.971,1.0	0.929,0.931,0.926,0.951	0.008
68	"LOC114878013"	NA	chrOU015519.1	+	3377926	3378477	3377929	3378477	3377539	3377866	68	0,0,0,1	11,6,10,9	0,0,0,1	12,1,3,3	102	99	1	1.0	0.0,0.0,0.0,0.097	0.0,0.0,0.0,0.244	-0.037
69	"LOC114879754"	NA	chrOU015519.1	-	3130780	3131590	3130780	3131542	3131949	3132210	69	3,1,0,0	1,1,1,0	2,0,3,0	0,0,0,0	147	99	1	1.0	0.669,0.402,0.0,NA	1.0,NA,1.0,NA	-0.643
70	"LOC114879765"	NA	chrOU015519.1	+	3095132	3095366	3095135	3095366	3094914	3095060	70	22,10,8,17	5,4,2,3	32,7,13,10	5,2,9,4	102	99	0.426700675315	1.0	0.81,0.708,0.795,0.846	0.861,0.773,0.584,0.708	0.058
72	"LOC114877843"	NA	chrOU015519.1	+	2976034	2976254	2976043	2976254	2975827	2975986	72	3,2,5,2	20,5,9,8	3,2,1,4	20,6,5,8	108	99	0.743098599947	1.0	0.121,0.268,0.337,0.186	0.121,0.234,0.155,0.314	0.022
73	"LOC114877855"	NA	chrOU015519.1	-	2943640	2943767	2943640	2943761	2943844	2943947	73	2,0,0,0	2,0,0,0	1,1,0,0	1,0,0,0	105	99	1	1.0	0.485,NA,NA,NA	0.485,1.0,NA,NA	-0.257
74	"LOC114877853"	NA	chrOU015519.1	+	2930845	2931061	2931019	2931061	2927679	2927821	74	32,31,22,24	1,0,1,1	33,16,26,12	2,0,0,0	273	99	1	1.0	0.921,1.0,0.889,0.897	0.857,1.0,1.0,1.0	-0.038
75	"LOC114879722"	NA	chrOU015519.1	+	2606297	2606471	2606364	2606471	2605952	2606213	75	10,5,3,4	36,12,13,7	4,8,11,5	18,9,11,20	166	99	0.286745263406	1.0	0.142,0.199,0.121,0.254	0.117,0.346,0.374,0.13	-0.063
76	"LOC114879722"	NA	chrOU015519.1	+	2606297	2606471	2606401	2606471	2605952	2606213	76	31,15,9,7	2,0,1,2	11,13,18,10	2,0,2,1	203	99	0.944676471904	1.0	0.883,1.0,0.814,0.631	0.728,1.0,0.814,0.83	-0.011
77	"LOC114879722"	NA	chrOU015519.1	+	2606364	2606471	2606401	2606471	2605952	2606213	77	57,22,19,10	2,0,1,2	25,14,18,25	2,0,2,1	136	99	0.774671290418	1.0	0.954,1.0,0.933,0.784	0.901,1.0,0.868,0.948	-0.011
78	"LOC114879734"	NA	chrOU015519.1	-	2575499	2575617	2575499	2575614	2575677	2575858	78	13,7,4,6	73,33,26,34	7,5,6,15	49,29,32,37	102	99	0.508169388006	1.0	0.147,0.171,0.13,0.146	0.122,0.143,0.154,0.282	-0.027
81	"LOC114879714"	NA	chrOU015519.1	-	2543785	2544328	2543785	2544310	2544470	2544668	81	1,1,0,1	0,1,0,1	0,0,0,0	1,1,0,1	117	99	1	1.0	1.0,0.458,NA,0.458	0.0,0.0,NA,0.0	0.639
82	"LOC114879732"	NA	chrOU015519.1	-	2538868	2539080	2538868	2539076	2539159	2539399	82	60,28,40,15	1,0,1,1	54,33,17,37	1,3,3,1	103	99	1	1.0	0.983,1.0,0.975,0.935	0.981,0.914,0.845,0.973	0.045
83	"LOC114879732"	NA	chrOU015519.1	-	2538868	2539099	2538868	2539076	2539159	2539399	83	12,9,8,4	1,0,1,1	11,6,4,7	1,3,3,1	122	99	0.00235598728034	0.0899667685187461	0.907,1.0,0.867,0.764	0.899,0.619,0.52,0.85	0.162
84	"LOC114879732"	NA	chrOU015519.1	-	2538868	2539099	2538868	2539080	2539159	2539399	84	7,9,7,2	55,28,39,13	7,4,3,4	50,31,16,34	118	99	0.33504536361	1.0	0.096,0.212,0.131,0.114	0.105,0.098,0.136,0.09	0.031
85	"LOC114879732"	NA	chrOU015519.1	-	2539460	2539668	2539460	2539664	2540077	2540399	85	29,17,30,10	9,3,2,2	25,16,26,28	5,1,2,3	103	99	0.228860312422	1.0	0.756,0.845,0.935,0.828	0.828,0.939,0.926,0.9	-0.057
86	"LOC114879731"	NA	chrOU015519.1	+	2536038	2536352	2536041	2536352	2535725	2535972	86	88,50,44,45	5,2,1,1	93,40,38,58	2,2,0,3	102	99	0.515124410125	1.0	0.945,0.96,0.977,0.978	0.978,0.951,1.0,0.949	-0.005
87	"LOC114879741"	NA	chrOU015519.1	-	2449041	2449194	2449041	2449176	2450973	2451244	87	16,5,2,9	16,14,7,11	8,5,1,9	29,8,18,22	117	99	0.0599713917141	0.5774168612472962	0.458,0.232,0.195,0.409	0.189,0.346,0.045,0.257	0.114
88	"LOC114880226"	NA	chrOU015519.1	-	1924102	1924191	1924102	1924179	1924269	1924376	88	29,13,26,15	367,203,209,170	31,17,18,29	302,140,146,235	111	99	0.107868578914	0.737827833745391	0.066,0.054,0.1,0.073	0.084,0.098,0.099,0.099	-0.022
89	"LOC114880226"	NA	chrOU015519.1	-	1924102	1924197	1924102	1924179	1924269	1924376	89	22,13,15,14	367,203,209,170	19,13,15,21	302,140,146,235	117	99	0.297208821618	1.0	0.048,0.051,0.057,0.065	0.051,0.073,0.08,0.07	-0.013
90	"LOC114880226"	NA	chrOU015519.1	-	1924102	1924197	1924102	1924191	1924269	1924376	90	16,9,10,10	23,9,21,11	12,12,8,15	24,16,11,23	105	99	0.71182737228	1.0	0.396,0.485,0.31,0.462	0.32,0.414,0.407,0.381	0.033
91	"LOC114880807"	NA	chrOU015518.1	+	8739226	8739759	8739229	8739759	8738502	8738755	91	0,1,0,1	0,0,0,0	0,0,1,0	0,0,2,0	102	99	1	1.0	NA,1.0,NA,1.0	NA,NA,0.327,NA	0.673
92	"LOC114880807"	NA	chrOU015518.1	+	8739226	8739759	8739229	8739759	8738502	8738990	92	6,5,7,9	6,6,6,0	9,3,8,5	7,2,3,6	102	99	0.740513900861	1.0	0.493,0.447,0.531,1.0	0.555,0.593,0.721,0.447	0.039
93	"LOC114880809"	NA	chrOU015518.1	-	8730797	8731287	8730797	8731284	8731369	8731612	93	60,30,29,23	26,11,20,14	53,21,23,42	25,9,9,13	102	99	0.317728260258	1.0	0.691,0.726,0.585,0.615	0.673,0.694,0.713,0.758	-0.055
94	"LOC114880802"	NA	chrOU015518.1	+	8719215	8719472	8719449	8719472	8718836	8719081	94	43,31,16,15	0,1,0,0	36,18,18,47	0,0,0,0	333	99	1	1.0	1.0,0.902,1.0,1.0	1.0,1.0,1.0,1.0	-0.024
95	"LOC114880802"	NA	chrOU015518.1	+	8720894	8721827	8721158	8721827	8720577	8720774	95	53,27,27,10	4,3,3,2	23,10,14,23	4,3,1,6	363	99	0.155148420937	0.8871811989113222	0.783,0.711,0.711,0.577	0.611,0.476,0.792,0.511	0.098
96	"LOC114880814"	NA	chrOU015518.1	+	8702423	8702559	8702435	8702559	8701980	8702350	96	4,0,2,2	22,8,11,14	3,3,2,2	20,13,20,11	111	99	0.783843485424	1.0	0.14,0.0,0.14,0.113	0.118,0.171,0.082,0.14	-0.03
97	"LOC114876493"	NA	chrOU015518.1	+	8404075	8404183	8404088	8404183	8399388	8399483	97	0,1,0,1	0,0,0,0	0,2,0,0	2,1,2,0	112	99	1	1.0	NA,1.0,NA,1.0	0.0,0.639,0.0,NA	0.787
98	"LOC114876525"	NA	chrOU015518.1	-	8159903	8161785	8159903	8160029	8161958	8162223	98	74,62,40,57	0,0,0,1	141,82,95,46	2,0,0,0	1855	99	1	1.0	1.0,1.0,1.0,0.753	0.79,1.0,1.0,1.0	-0.009
99	"LOC114875713"	NA	chrOU015518.1	-	7768394	7768568	7768394	7768565	7768643	7768831	99	76,33,33,29	5,4,3,1	59,30,30,42	1,2,3,2	102	99	0.229415325825	1.0	0.937,0.889,0.914,0.966	0.983,0.936,0.907,0.953	-0.018
100	"LOC114875713"	NA	chrOU015518.1	-	7772434	7772770	7772434	7772766	7773249	7773339	100	9,4,4,5	0,0,0,1	11,8,5,6	0,0,0,0	103	99	1	1.0	1.0,1.0,1.0,0.828	1.0,1.0,1.0,1.0	-0.043
101	"LOC114875713"	NA	chrOU015518.1	-	7772434	7772770	7772434	7772766	7773847	7774190	101	57,29,34,27	4,2,5,4	36,26,18,46	2,4,1,3	103	99	0.400525010049	1.0	0.932,0.933,0.867,0.866	0.945,0.862,0.945,0.936	-0.022
102	"LOC114875713"	NA	chrOU015518.1	-	7772434	7772770	7772434	7772766	7775017	7775118	102	5,1,2,5	0,0,0,0	3,5,2,3	0,1,0,0	103	99	1	1.0	1.0,1.0,1.0,1.0	1.0,0.828,1.0,1.0	0.043
103	"LOC114875683"	NA	chrOU015518.1	-	7715130	7716482	7715130	7716467	7716561	7716792	103	16,10,11,7	419,243,207,203	21,10,5,7	365,190,203,261	114	99	0.894681203862	1.0	0.032,0.035,0.044,0.029	0.048,0.044,0.021,0.023	0.001
104	"LOC114875670"	NA	chrOU015518.1	+	7689601	7689797	7689637	7689797	7689312	7689542	104	11,8,4,6	0,0,0,0	12,12,4,11	0,0,1,0	135	99	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.746,1.0	0.064
105	"LOC114875671"	NA	chrOU015518.1	-	7558202	7558370	7558202	7558355	7560707	7560857	105	1,1,1,1	0,0,0,0	1,0,2,0	0,1,0,0	114	99	1	1.0	1.0,1.0,1.0,1.0	1.0,0.0,1.0,NA	0.333
106	"LOC114875684"	NA	chrOU015518.1	+	7497907	7498215	7497910	7498215	7497644	7497840	106	56,39,47,33	2,2,0,1	67,25,40,43	1,0,1,0	102	99	0.463215799492	1.0	0.965,0.95,1.0,0.97	0.985,1.0,0.975,1.0	-0.019
107	"LOC114875687"	NA	chrOU015518.1	-	7460949	7462099	7460949	7462086	7462905	7463261	107	27,7,18,15	1,3,0,0	23,13,9,14	1,0,0,0	112	99	0.763867624528	1.0	0.96,0.673,1.0,1.0	0.953,1.0,1.0,1.0	-0.08
108	"LOC114877708"	NA	chrOU015518.1	+	7328384	7328849	7328507	7328849	7327791	7328142	108	11,7,16,8	25,8,13,10	10,5,9,7	13,11,7,10	222	99	0.915768764201	1.0	0.164,0.281,0.354,0.263	0.255,0.169,0.364,0.238	0.009
109	"LOC114877712"	NA	chrOU015518.1	+	7159286	7159739	7159514	7159739	7158272	7158458	109	12,7,3,5	1,0,0,0	12,8,8,9	2,0,0,0	327	99	1	1.0	0.784,1.0,1.0,1.0	0.645,1.0,1.0,1.0	0.035
110	"LOC114877688"	NA	chrOU015518.1	-	7010041	7011650	7010041	7011431	7012584	7012689	110	3,3,0,0	0,0,0,0	6,2,6,3	2,0,1,2	318	99	1	1.0	1.0,1.0,NA,NA	0.483,1.0,0.651,0.318	0.387
