Orthogroup	Anopheles_gambiae	Eufriesea_mexicana
OG0000020	XP_312941.4	XP_017758540.1
OG0000020	XP_321843.5	XP_017756344.1
OG0000020	XP_555858.3	XP_017764646.1
OG0000020	XP_001231126.3	XP_017763402.1
OG0000021	XP_313342.5, XP_003436532.1	XP_017759339.1
OG0000021	XP_320239.4, XP_312638.5	XP_017758713.1, XP_017758722.1, XP_017758731.1
OG0000021	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4	XP_017764524.1, XP_017763364.1
OG0000021	XP_321592.4	XP_017755079.1
OG0000022	XP_320674.3	XP_017765129.1
OG0000022	XP_551996.1	XP_017761001.1
OG0000022	XP_318365.3	XP_017760075.1
OG0000023	XP_320334.2, XP_320329.2, XP_001238300.1, XP_306255.2, XP_307082.2	XP_017754147.1
OG0000026	XP_558069.3	XP_017756869.1
OG0000026	XP_321915.5	XP_017760223.1
OG0000026	XP_003436038.1, XP_308060.4	XP_017763291.1, XP_017763214.1
OG0000026	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3	XP_017753312.1
OG0000026	XP_322033.4	XP_017767765.1, XP_017752170.1
OG0000027	XP_318361.3, XP_315129.4	XP_017764550.1
OG0000027	XP_306825.4, XP_307607.3	XP_017754149.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1	XP_017755085.1, XP_017755078.1
OG0000029	XP_319711.4	XP_017764405.1, XP_017764404.1
OG0000029	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4	XP_017755093.1, XP_017755092.1
OG0000030	XP_320774.4	XP_017764870.1
OG0000032	XP_001231044.2	XP_017752458.1
OG0000032	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6	XP_017765759.1, XP_017765770.1, XP_017762938.1
OG0000035	XP_317561.4	XP_017767482.1
OG0000035	XP_309943.4, XP_001687884.1, XP_308284.4, XP_317047.3, XP_555044.3, XP_308459.4, XP_308744.4, XP_001688832.1, XP_316292.4, XP_308743.3	XP_017761425.1
OG0000036	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1	XP_017761194.1, XP_017761192.1
OG0000037	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1	XP_017756758.1
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	XP_017766133.1, XP_017752930.1
OG0000038	XP_312152.5	XP_017761849.1
OG0000040	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7	XP_017760692.1, XP_017754464.1, XP_017760639.1
OG0000041	XP_003437049.1	XP_017765153.1
OG0000041	XP_313971.4	XP_017759618.1, XP_017759619.1, XP_017759620.1
OG0000041	XP_315271.4	XP_017754630.1
OG0000042	XP_311704.5	XP_017757032.1
OG0000042	XP_003436850.1, XP_313877.5	XP_017762656.1
OG0000042	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3	XP_017758606.1
OG0000043	XP_317400.2	XP_017765446.1
OG0000043	XP_317404.2	XP_017760488.1
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5	XP_017767293.1, XP_017767299.1, XP_017767300.1
OG0000044	XP_003436574.1	XP_017767304.1
OG0000045	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_017753918.1, XP_017763731.1
OG0000046	XP_313085.3	XP_017765106.1
OG0000046	XP_001689308.2	XP_017757713.1, XP_017764994.1
OG0000050	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5	XP_017754840.1, XP_017754998.1
OG0000052	XP_319685.4	XP_017753622.1, XP_017753621.1
OG0000054	XP_556684.2	XP_017761989.1
OG0000054	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	XP_017761973.1, XP_017761971.1
OG0000055	XP_553645.3	XP_017756618.1, XP_017756620.1
OG0000055	XP_312790.4	XP_017753007.1
OG0000055	XP_321277.5	XP_017759282.1
OG0000056	XP_318579.4	XP_017763577.1, XP_017761920.1
OG0000056	XP_550805.4	XP_017759468.1
OG0000056	XP_317863.3	XP_017762251.1
OG0000057	XP_309765.4	XP_017757145.1
OG0000057	XP_314483.4	XP_017757144.1
OG0000057	XP_315005.3	XP_017757146.1
OG0000060	XP_318748.4	XP_017755704.1
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_017754233.1
OG0000061	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4	XP_017757875.1
OG0000062	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1	XP_017759727.1
OG0000065	XP_321329.4	XP_017764117.1
OG0000065	XP_565271.3	XP_017764126.1, XP_017764130.1, XP_017764140.1
OG0000067	XP_320481.4	XP_017760301.1
OG0000067	XP_315003.3, XP_001688603.1, XP_315671.4	XP_017757818.1
OG0000067	XP_315363.4	XP_017760549.1
OG0000074	XP_321263.5	XP_017765289.1
OG0000077	XP_319941.4	XP_017764095.1
OG0000077	XP_316979.4, XP_321166.4	XP_017755927.1
OG0000079	XP_001238492.1	XP_017754547.1, XP_017754546.1, XP_017754553.1, XP_017754566.1
OG0000079	XP_319818.4	XP_017754548.1, XP_017754550.1, XP_017754565.1
OG0000080	XP_313655.5	XP_017763299.1
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_017763303.1
OG0000082	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2	XP_017760548.1, XP_017760559.1, XP_017760564.1
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	XP_017757451.1, XP_017759168.1, XP_017759169.1
OG0000086	XP_552698.3	XP_017752779.1, XP_017752829.1, XP_017752828.1
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_017758047.1
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4	XP_017764961.1
OG0000087	XP_306334.2, XP_308083.4, XP_308082.4	XP_017764986.1, XP_017764988.1, XP_017764987.1
OG0000088	XP_317091.3	XP_017758470.1
OG0000089	XP_319737.4	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1
OG0000089	XP_310298.6	XP_017760239.1
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_017755131.1
OG0000092	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1	XP_017761157.1
OG0000092	XP_321262.1, XP_003435947.1	XP_017766724.1, XP_017766723.1
OG0000094	XP_317094.4, XP_001689000.1	XP_017754032.1
OG0000094	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5	XP_017763745.1
OG0000094	XP_312311.5	XP_017764407.1
OG0000095	XP_316096.4, XP_316098.3, XP_316099.4	XP_017758948.1
OG0000096	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4	XP_017759853.1
OG0000096	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2	XP_017753661.1
OG0000097	XP_003436515.1, XP_003436516.1, XP_562379.1	XP_017759272.1, XP_017759271.1, XP_017755959.1, XP_017755960.1
OG0000098	XP_314814.3	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1
OG0000099	XP_320987.5	XP_017762062.1, XP_017762063.1
OG0000099	XP_312290.4	XP_017765789.1
OG0000099	XP_313462.4	XP_017763025.1
OG0000100	XP_313581.5	XP_017762097.1
OG0000101	XP_321098.5	XP_017762608.1
OG0000101	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1	XP_017752973.1, XP_017752972.1, XP_017762351.1
OG0000102	XP_308709.4, XP_565152.3	XP_017755997.1, XP_017756024.1, XP_017756022.1, XP_017756023.1, XP_017756026.1
OG0000108	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_017755056.1, XP_017755065.1
OG0000109	XP_309801.3	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1
OG0000110	XP_001689285.1	XP_017752642.1, XP_017763176.1
OG0000112	XP_309025.4	XP_017760945.1, XP_017760944.1
OG0000112	XP_560420.2	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1
OG0000113	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4	XP_017754450.1, XP_017766321.1
OG0000114	XP_314336.2	XP_017755231.1
OG0000115	XP_311546.4	XP_017765840.1, XP_017765841.1, XP_017765838.1, XP_017757043.1
OG0000116	XP_315806.4	XP_017756858.1, XP_017756906.1
OG0000117	XP_318912.3	XP_017754328.1
OG0000117	XP_001238428.3	XP_017755804.1
OG0000120	XP_319911.4	XP_017760327.1, XP_017760326.1, XP_017760325.1
OG0000122	XP_309303.3, XP_564139.3	XP_017760255.1
OG0000122	XP_552160.3	XP_017766449.1
OG0000123	XP_317585.4	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1
OG0000124	XP_312632.5	XP_017759439.1, XP_017759448.1
OG0000125	XP_321447.5	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1, XP_017767758.1
OG0000126	XP_003436885.1, XP_311618.2	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1
OG0000127	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5	XP_017754012.1, XP_017754013.1
OG0000127	XP_309323.2	XP_017754044.1
OG0000129	XP_319208.4	XP_017753388.1
OG0000130	XP_314859.4	XP_017754767.1
OG0000130	XP_314860.4, XP_557898.3	XP_017759668.1
OG0000131	XP_311973.1, XP_003436315.1	XP_017758818.1
OG0000131	XP_320516.2	XP_017761464.1, XP_017761457.1, XP_017761449.1
OG0000132	XP_314281.4	XP_017760124.1
OG0000132	XP_317287.4, XP_319288.2	XP_017756059.1
OG0000133	XP_001238215.2	XP_017755394.1
OG0000135	XP_321549.1	XP_017754219.1
OG0000135	XP_308966.4	XP_017756053.1, XP_017756054.1
OG0000136	XP_557311.3, XP_316252.2	XP_017753466.1, XP_017753465.1, XP_017753464.1, XP_017753463.1, XP_017753462.1, XP_017753460.1
OG0000137	XP_313095.4	XP_017761738.1, XP_017758968.1
OG0000138	XP_310751.5	XP_017753919.1, XP_017753916.1
OG0000139	XP_318027.4	XP_017764607.1, XP_017764606.1
OG0000140	XP_318829.4	XP_017761604.1
OG0000141	XP_312292.5	XP_017766373.1
OG0000141	XP_317639.4	XP_017756234.1
OG0000143	XP_311266.4, XP_311556.4	XP_017757050.1, XP_017765696.1, XP_017765697.1, XP_017765698.1
OG0000144	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4	XP_017759465.1, XP_017759463.1, XP_017759475.1
OG0000145	XP_318854.4	XP_017753508.1, XP_017753509.1, XP_017752454.1
OG0000146	XP_556748.3	XP_017762149.1
OG0000146	XP_308640.2	XP_017757313.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	XP_017764859.1, XP_017755245.1
OG0000149	XP_319018.3	XP_017752370.1
OG0000150	XP_316248.3	XP_017761423.1
OG0000151	XP_001687986.1	XP_017754495.1, XP_017754494.1
OG0000152	XP_001688746.1, XP_315920.4	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1
OG0000153	XP_315414.4	XP_017752578.1, XP_017752577.1
OG0000156	XP_315693.3	XP_017764881.1
OG0000157	XP_319874.4, XP_319873.4	XP_017766530.1, XP_017766794.1
OG0000160	XP_314536.3	XP_017762321.1
OG0000160	XP_314534.4	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	XP_017766190.1, XP_017765612.1, XP_017766182.1, XP_017766192.1, XP_017753075.1, XP_017765621.1
OG0000162	XP_566274.3, XP_311007.4	XP_017760661.1
OG0000162	XP_310786.3	XP_017760068.1, XP_017761789.1
OG0000162	XP_311918.3	XP_017758852.1
OG0000164	XP_552916.2	XP_017752452.1, XP_017752453.1, XP_017752455.1
OG0000165	XP_311219.3	XP_017763109.1, XP_017763110.1, XP_017763108.1
OG0000165	XP_311252.5	XP_017754783.1
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_017765680.1
OG0000168	XP_314120.4	XP_017755371.1
OG0000168	XP_308666.4, XP_309810.4	XP_017767433.1
OG0000171	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3	XP_017763743.1, XP_017763746.1
OG0000173	XP_313784.5	XP_017753788.1, XP_017753789.1
OG0000174	XP_313394.4	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1
OG0000175	XP_001687949.1, XP_308467.4	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1
OG0000177	XP_309771.2	XP_017754838.1
OG0000177	XP_001230649.2	XP_017754830.1
OG0000177	XP_001688246.1	XP_017754833.1
OG0000178	XP_307952.5	XP_017764768.1
OG0000179	XP_003437002.1, XP_310632.5	XP_017762477.1, XP_017762476.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	XP_017764209.1, XP_017764210.1, XP_017764208.1
OG0000181	XP_321792.2	XP_017763403.1, XP_017763404.1
OG0000183	XP_311711.3	XP_017755734.1
OG0000183	XP_317936.4	XP_017758250.1
OG0000184	XP_319373.1	XP_017766044.1
OG0000185	XP_001688361.2	XP_017760614.1, XP_017760602.1
OG0000186	XP_308393.4	XP_017765694.1, XP_017765695.1
OG0000187	XP_318759.3	XP_017755788.1, XP_017755787.1
OG0000188	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4	XP_017763805.1
OG0000188	XP_316795.2	XP_017761111.1
OG0000189	XP_559460.4, XP_003436249.1, XP_312117.5	XP_017753298.1, XP_017753288.1
OG0000189	XP_003437104.1, XP_311341.5	XP_017753248.1
OG0000189	XP_311343.4, XP_309276.4	XP_017753499.1
OG0000190	XP_003436713.1, XP_312971.1	XP_017757675.1, XP_017757673.1, XP_017757674.1
OG0000191	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_017753882.1
OG0000192	XP_311585.4	XP_017760341.1, XP_017758954.1, XP_017758953.1
OG0000194	XP_556986.2	XP_017756837.1
OG0000196	XP_321556.3	XP_017756213.1
OG0000196	XP_001687817.2, XP_560491.4	XP_017757746.1, XP_017757744.1, XP_017757745.1
OG0000197	XP_308795.4	XP_017753812.1, XP_017753801.1, XP_017753795.1
OG0000198	XP_314495.3	XP_017761419.1, XP_017761421.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_017759260.1
OG0000201	XP_316379.4	XP_017757589.1
OG0000201	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4	XP_017757600.1
OG0000203	XP_321914.5	XP_017753354.1
OG0000203	XP_315944.3	XP_017759088.1
OG0000204	XP_003436222.1, XP_312208.4	XP_017766805.1
OG0000205	XP_001688795.1, XP_003436549.1	XP_017752413.1, XP_017752414.1
OG0000206	XP_003435909.1, XP_321392.5	XP_017762170.1
OG0000206	XP_003436103.1, XP_563817.3	XP_017762186.1, XP_017762192.1, XP_017762190.1, XP_017762189.1, XP_017762187.1, XP_017762188.1
OG0000207	XP_308487.3	XP_017760687.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	XP_017756106.1, XP_017756102.1
OG0000208	XP_001688810.1, XP_316236.4	XP_017756194.1
OG0000208	XP_314845.4	XP_017765005.1
OG0000209	XP_001230643.2, XP_309738.3	XP_017756958.1, XP_017756959.1, XP_017756956.1, XP_017756957.1, XP_017756954.1, XP_017756955.1, XP_017756953.1, XP_017756961.1
OG0000210	XP_001688664.1	XP_017766080.1, XP_017767327.1
OG0000210	XP_319144.3	XP_017766960.1
OG0000212	XP_554502.2, XP_318238.4	XP_017759725.1, XP_017760333.1, XP_017760334.1
OG0000213	XP_309297.2	XP_017755129.1, XP_017755127.1, XP_017755128.1
OG0000214	XP_313425.3, XP_003436551.1	XP_017752245.1
OG0000214	XP_319075.3, XP_313331.4	XP_017752185.1
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_017765029.1
OG0000216	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4	XP_017761217.1
OG0000217	XP_310550.5, XP_309658.5, XP_001237269.3	XP_017766098.1
OG0000218	XP_308642.4	XP_017762070.1
OG0000219	XP_309335.4	XP_017755416.1, XP_017755417.1, XP_017755418.1, XP_017755419.1
OG0000220	XP_314482.4	XP_017767298.1, XP_017767297.1
OG0000221	XP_310745.5	XP_017758018.1, XP_017758012.1, XP_017758010.1, XP_017758011.1, XP_017758017.1, XP_017758016.1, XP_017758009.1, XP_017758013.1
OG0000223	XP_320146.3	XP_017759246.1
OG0000223	XP_308984.1	XP_017762663.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	XP_017765938.1
OG0000225	XP_310636.2, XP_003437000.1	XP_017757175.1, XP_017757174.1, XP_017757173.1, XP_017766315.1
OG0000226	XP_313395.2	XP_017766524.1
OG0000226	XP_317851.1	XP_017766628.1, XP_017766627.1
OG0000227	XP_308342.4, XP_001237064.2	XP_017753440.1, XP_017753439.1
OG0000230	XP_001688611.1	XP_017761904.1, XP_017766664.1, XP_017766665.1, XP_017766666.1
OG0000231	XP_003436333.1, XP_316371.4	XP_017757286.1
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_017760637.1, XP_017760638.1
OG0000233	XP_311447.4	XP_017764854.1, XP_017764853.1, XP_017764855.1
OG0000234	XP_314989.4, XP_316577.4	XP_017761679.1, XP_017761675.1
OG0000235	XP_309952.4	XP_017760227.1
OG0000236	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4	XP_017758058.1
OG0000236	XP_312478.1, XP_001238571.2	XP_017758056.1
OG0000237	XP_559100.2	XP_017755467.1
OG0000237	XP_311581.3	XP_017755463.1
OG0000239	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4	XP_017766799.1
OG0000241	XP_553025.3	XP_017758632.1
OG0000243	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4	XP_017763095.1, XP_017766909.1
OG0000244	XP_313365.4	XP_017759937.1
OG0000245	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2	XP_017761178.1, XP_017755476.1
OG0000246	XP_319840.2, XP_319841.3	XP_017766874.1
OG0000246	XP_319838.3	XP_017766882.1
OG0000247	XP_311005.4	XP_017758709.1
OG0000247	XP_003436566.1	XP_017758708.1
OG0000248	XP_308379.4, XP_315470.5, XP_003435724.1	XP_017762295.1
OG0000248	XP_316226.4	XP_017762294.1
OG0000249	XP_310971.5	XP_017759215.1, XP_017759214.1, XP_017759216.1, XP_017759219.1, XP_017759218.1, XP_017759217.1
OG0000250	XP_003436312.1, XP_003436311.1, XP_311978.5	XP_017767365.1
OG0000252	XP_321164.1	XP_017759065.1, XP_017759064.1
OG0000253	XP_310451.4, XP_310450.4, XP_001238805.2	XP_017758167.1
OG0000253	XP_316966.4	XP_017756999.1
OG0000254	XP_312967.3, XP_003436712.1	XP_017757429.1
OG0000255	XP_003436960.1, XP_310845.5	XP_017763388.1
OG0000256	XP_307890.5	XP_017763260.1
OG0000257	XP_321870.5	XP_017762887.1
OG0000257	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3	XP_017762885.1
OG0000260	XP_550846.3	XP_017761321.1
OG0000260	XP_321091.3, XP_321092.3	XP_017761871.1
OG0000261	XP_315985.3, XP_001688761.1	XP_017758628.1, XP_017758626.1, XP_017758627.1
OG0000263	XP_001687857.1, XP_564524.3, XP_001687858.1	XP_017760362.1, XP_017760363.1, XP_017760364.1
OG0000264	XP_001688533.1, XP_314137.4	XP_017763058.1
OG0000264	XP_311594.2	XP_017760279.1
OG0000265	XP_319555.4, XP_312273.4, XP_003436201.1	XP_017758651.1
OG0000266	XP_310704.3	XP_017752229.1
OG0000266	XP_308081.2	XP_017753963.1
OG0000268	XP_309197.1, XP_003437164.1, XP_003437165.1, XP_560220.3, XP_001688171.2, XP_311384.3, XP_311355.3, XP_307829.2	XP_017764685.1
OG0000269	XP_315017.4	XP_017761057.1, XP_017759815.1
OG0000270	XP_003436281.1, XP_312025.4, XP_003436282.1	XP_017763344.1, XP_017761334.1, XP_017761333.1
OG0000270	XP_003436280.1, XP_312026.4	XP_017763346.1
OG0000271	XP_311184.3, XP_312761.3, XP_003436383.1	XP_017757031.1
OG0000272	XP_308042.3, XP_001230608.1	XP_017757070.1, XP_017761053.1
OG0000272	XP_309153.3, XP_314691.2	XP_017767088.1
OG0000273	XP_308599.4, XP_001688028.1	XP_017759692.1, XP_017767195.1
OG0000274	XP_317143.4, XP_318742.4, XP_318623.4	XP_017761345.1
OG0000274	XP_319531.4	XP_017757446.1
OG0000276	XP_003436154.1, XP_312380.3	XP_017766286.1
OG0000277	XP_315597.3, XP_001688685.1, XP_001688686.1	XP_017761525.1, XP_017761523.1, XP_017761524.1
OG0000278	XP_307914.5, XP_003436076.1	XP_017763984.1
OG0000279	XP_308623.4, XP_317820.4	XP_017766856.1
OG0000281	XP_312382.3	XP_017766298.1
OG0000283	XP_315855.4	XP_017758719.1
OG0000284	XP_003436098.1, XP_003436097.1, XP_312601.2	XP_017759685.1
OG0000284	XP_308964.2	XP_017757405.1, XP_017762765.1
OG0000285	XP_309398.1	XP_017766324.1
OG0000286	XP_309986.3	XP_017765196.1, XP_017765195.1, XP_017765197.1, XP_017765198.1
OG0000287	XP_315240.3	XP_017764927.1, XP_017764926.1
OG0000287	XP_320482.3	XP_017764925.1
OG0000288	XP_552525.3	XP_017767044.1
OG0000288	XP_319330.4	XP_017761352.1
OG0000289	XP_319051.2	XP_017765987.1, XP_017765989.1
OG0000291	XP_001689411.1	XP_017756608.1, XP_017752808.1
OG0000295	XP_564212.2	XP_017755677.1, XP_017755678.1, XP_017755679.1
OG0000296	XP_316088.3	XP_017766587.1, XP_017766604.1, XP_017766595.1
OG0000297	XP_309482.3	XP_017763070.1
