Orthogroup	Anopheles_gambiae	Habropoda_laboriosa
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_017798422.1
OG0000082	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2	XP_017797726.1, XP_017797683.1, XP_017797684.1, XP_017797819.1
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	XP_017790689.1, XP_017793167.1
OG0000086	XP_552698.3	XP_017787894.1
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_017791806.1
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4	XP_017792906.1, XP_017792917.1
OG0000087	XP_306334.2, XP_308083.4, XP_308082.4	XP_017792908.1, XP_017792909.1
OG0000088	XP_317091.3	XP_017789815.1
OG0000089	XP_319737.4	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1
OG0000089	XP_310298.6	XP_017798058.1
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_017792668.1, XP_017792670.1
OG0000092	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1	XP_017799316.1
OG0000092	XP_321262.1, XP_003435947.1	XP_017788769.1
OG0000094	XP_317094.4, XP_001689000.1	XP_017798959.1
OG0000094	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5	XP_017791335.1
OG0000094	XP_312311.5	XP_017798352.1
OG0000095	XP_316096.4, XP_316098.3, XP_316099.4	XP_017790301.1
OG0000096	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4	XP_017798525.1
OG0000096	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2	XP_017796013.1
OG0000097	XP_003436515.1, XP_003436516.1, XP_562379.1	XP_017791424.1, XP_017791423.1, XP_017793649.1
OG0000098	XP_314814.3	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1
OG0000099	XP_320987.5	XP_017796840.1
OG0000099	XP_312290.4	XP_017796299.1, XP_017796300.1
OG0000099	XP_313462.4	XP_017791883.1
OG0000100	XP_313581.5	XP_017794869.1
OG0000101	XP_321098.5	XP_017793334.1
OG0000102	XP_308709.4, XP_565152.3	XP_017787422.1, XP_017787495.1
OG0000108	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_017797595.1
OG0000109	XP_309801.3	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1
OG0000110	XP_001689285.1	XP_017794692.1, XP_017797747.1
OG0000112	XP_309025.4	XP_017793364.1
OG0000112	XP_560420.2	XP_017790673.1
OG0000113	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4	XP_017798381.1, XP_017798181.1
OG0000114	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4	XP_017792172.1
OG0000114	XP_314336.2	XP_017792121.1
OG0000115	XP_311546.4	XP_017797018.1, XP_017795994.1
OG0000116	XP_315806.4	XP_017799593.1, XP_017799604.1
OG0000117	XP_318912.3	XP_017791704.1
OG0000117	XP_001238428.3	XP_017797358.1
OG0000120	XP_319911.4	XP_017788040.1, XP_017794605.1
OG0000122	XP_309303.3, XP_564139.3	XP_017798532.1
OG0000122	XP_552160.3	XP_017799142.1
OG0000123	XP_317585.4	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1
OG0000124	XP_312632.5	XP_017789119.1
OG0000125	XP_321447.5	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1, XP_017795819.1
OG0000126	XP_003436885.1, XP_311618.2	XP_017792776.1
OG0000127	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5	XP_017799036.1, XP_017799037.1
OG0000127	XP_309323.2	XP_017799080.1
OG0000129	XP_319208.4	XP_017792739.1
OG0000130	XP_314859.4	XP_017787765.1, XP_017789001.1, XP_017789002.1
OG0000130	XP_314860.4, XP_557898.3	XP_017791658.1
OG0000131	XP_311973.1, XP_003436315.1	XP_017790302.1
OG0000131	XP_320516.2	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1
OG0000132	XP_314281.4	XP_017798108.1
OG0000132	XP_317287.4, XP_319288.2	XP_017798132.1
OG0000133	XP_001238215.2	XP_017788158.1
OG0000135	XP_321549.1	XP_017799029.1
OG0000135	XP_308966.4	XP_017788492.1
OG0000136	XP_557311.3, XP_316252.2	XP_017788204.1, XP_017788203.1
OG0000137	XP_313095.4	XP_017797492.1, XP_017791135.1, XP_017788948.1
OG0000138	XP_310751.5	XP_017794346.1, XP_017793300.1
OG0000139	XP_318027.4	XP_017787706.1, XP_017787697.1
OG0000140	XP_308203.4	XP_017795261.1
OG0000140	XP_318829.4	XP_017798520.1
OG0000141	XP_312292.5	XP_017797914.1
OG0000141	XP_317639.4	XP_017787810.1
OG0000143	XP_311266.4, XP_311556.4	XP_017790512.1, XP_017790495.1
OG0000144	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4	XP_017797971.1, XP_017797954.1, XP_017797955.1, XP_017797956.1
OG0000145	XP_318854.4	XP_017788300.1, XP_017797568.1
OG0000146	XP_556748.3	XP_017794829.1
OG0000146	XP_308640.2	XP_017789431.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	XP_017799321.1, XP_017792150.1, XP_017792149.1, XP_017792148.1
OG0000149	XP_319018.3	XP_017788095.1
OG0000150	XP_316248.3	XP_017787586.1, XP_017787587.1
OG0000151	XP_001687986.1	XP_017798042.1, XP_017798041.1
OG0000152	XP_001688746.1, XP_315920.4	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1
OG0000153	XP_315414.4	XP_017797758.1
OG0000156	XP_315693.3	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1
OG0000157	XP_319874.4, XP_319873.4	XP_017788939.1, XP_017788698.1
OG0000160	XP_314536.3	XP_017795191.1
OG0000160	XP_314534.4	XP_017792249.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	XP_017791738.1, XP_017791682.1, XP_017791681.1, XP_017791680.1
OG0000162	XP_566274.3, XP_311007.4	XP_017797980.1
OG0000162	XP_310786.3	XP_017794848.1
OG0000162	XP_311918.3	XP_017787385.1
OG0000164	XP_552916.2	XP_017797560.1, XP_017797561.1
OG0000165	XP_311219.3	XP_017789911.1
OG0000165	XP_311252.5	XP_017795542.1
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_017790571.1, XP_017790565.1, XP_017790567.1, XP_017790564.1, XP_017790576.1
OG0000168	XP_314120.4	XP_017788116.1
OG0000168	XP_001688600.1, XP_314993.4, XP_001688601.1	XP_017789057.1
OG0000168	XP_308666.4, XP_309810.4	XP_017797231.1
OG0000170	XP_315409.2	XP_017790420.1
OG0000171	XP_317082.4	XP_017787775.1
OG0000171	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3	XP_017787774.1, XP_017787850.1, XP_017787824.1
OG0000173	XP_313784.5	XP_017794775.1, XP_017794776.1
OG0000174	XP_313394.4	XP_017798800.1
OG0000175	XP_001687949.1, XP_308467.4	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1
OG0000177	XP_309771.2	XP_017795594.1
OG0000177	XP_001230649.2	XP_017795592.1
OG0000177	XP_001688246.1	XP_017795589.1
OG0000178	XP_307952.5	XP_017790433.1
OG0000179	XP_003437002.1, XP_310632.5	XP_017791524.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	XP_017787401.1, XP_017787400.1, XP_017787399.1
OG0000181	XP_321792.2	XP_017792968.1
OG0000183	XP_311711.3	XP_017795084.1
OG0000183	XP_317936.4	XP_017796132.1
OG0000184	XP_319373.1	XP_017798954.1
OG0000185	XP_001688361.2	XP_017797685.1, XP_017797731.1
OG0000186	XP_308393.4	XP_017790553.1, XP_017790555.1
OG0000187	XP_318759.3	XP_017797342.1
OG0000188	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4	XP_017791383.1
OG0000188	XP_316795.2	XP_017795271.1
OG0000189	XP_559460.4, XP_003436249.1, XP_312117.5	XP_017795367.1
OG0000189	XP_311343.4, XP_309276.4	XP_017787964.1, XP_017787967.1
OG0000190	XP_003436713.1, XP_312971.1	XP_017789755.1, XP_017789754.1, XP_017789756.1
OG0000191	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_017795883.1
OG0000192	XP_311585.4	XP_017792725.1
OG0000194	XP_556986.2	XP_017799440.1
OG0000196	XP_321556.3	XP_017791366.1
OG0000196	XP_001687817.2, XP_560491.4	XP_017791305.1
OG0000197	XP_308795.4	XP_017794596.1
OG0000198	XP_314495.3	XP_017787675.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_017790004.1, XP_017790003.1
OG0000201	XP_316379.4, XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4	XP_017790031.1
OG0000203	XP_321914.5	XP_017794211.1
OG0000203	XP_315944.3	XP_017790332.1
OG0000204	XP_003436222.1, XP_312208.4	XP_017788993.1
OG0000205	XP_001688795.1, XP_003436549.1	XP_017788047.1
OG0000206	XP_003435909.1, XP_321392.5	XP_017794929.1
OG0000206	XP_003436103.1, XP_563817.3	XP_017794889.1, XP_017794888.1, XP_017794887.1
OG0000207	XP_308487.3	XP_017793342.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	XP_017791361.1, XP_017791356.1
OG0000208	XP_001688810.1, XP_316236.4	XP_017791349.1
OG0000208	XP_314845.4	XP_017796380.1
OG0000209	XP_001230643.2, XP_309738.3	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1
OG0000210	XP_001688664.1	XP_017789022.1, XP_017790992.1
OG0000210	XP_319144.3	XP_017789769.1
OG0000212	XP_554502.2, XP_318238.4	XP_017795959.1, XP_017793996.1, XP_017793987.1, XP_017793986.1
OG0000213	XP_309297.2	XP_017789586.1
OG0000214	XP_313425.3, XP_003436551.1	XP_017794266.1
OG0000214	XP_319075.3, XP_313331.4	XP_017792781.1, XP_017792782.1
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_017796692.1, XP_017796575.1
OG0000216	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4	XP_017793604.1
OG0000217	XP_310550.5, XP_309658.5, XP_001237269.3	XP_017789113.1
OG0000218	XP_308642.4	XP_017795109.1
OG0000219	XP_309335.4	XP_017788174.1, XP_017788173.1, XP_017788171.1, XP_017788172.1, XP_017788169.1, XP_017788170.1
OG0000220	XP_314482.4	XP_017792512.1
OG0000221	XP_310745.5	XP_017798983.1, XP_017799229.1
OG0000223	XP_320146.3	XP_017794139.1
OG0000223	XP_308984.1	XP_017796406.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	XP_017797256.1
OG0000225	XP_310636.2, XP_003437000.1	XP_017798161.1, XP_017796348.1
OG0000226	XP_313395.2	XP_017788751.1
OG0000226	XP_317851.1	XP_017788770.1
OG0000227	XP_308342.4, XP_001237064.2	XP_017791515.1
OG0000230	XP_001688611.1	XP_017792853.1, XP_017788896.1
OG0000231	XP_003436333.1, XP_316371.4	XP_017789953.1
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_017787985.1
OG0000233	XP_311447.4	XP_017798941.1
OG0000234	XP_314989.4, XP_316577.4	XP_017797661.1, XP_017797660.1, XP_017797559.1
OG0000235	XP_309952.4	XP_017795898.1, XP_017795906.1
OG0000235	XP_559947.3	XP_017797830.1
OG0000236	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4	XP_017796613.1
OG0000236	XP_312478.1, XP_001238571.2	XP_017796614.1
OG0000237	XP_559100.2	XP_017794664.1
OG0000237	XP_311581.3	XP_017794663.1
OG0000239	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4	XP_017788956.1, XP_017788957.1, XP_017788955.1
OG0000241	XP_553025.3	XP_017793226.1, XP_017793227.1, XP_017793317.1, XP_017793318.1, XP_017793285.1, XP_017797037.1
OG0000243	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4	XP_017797616.1
OG0000244	XP_313365.4	XP_017798659.1
OG0000245	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2	XP_017796958.1, XP_017796963.1
OG0000246	XP_319840.2, XP_319841.3	XP_017787631.1
OG0000246	XP_319838.3	XP_017787636.1
OG0000247	XP_311005.4	XP_017790662.1
OG0000247	XP_003436566.1	XP_017790661.1
OG0000248	XP_308379.4, XP_315470.5, XP_003435724.1	XP_017792985.1
OG0000249	XP_310971.5	XP_017795192.1
OG0000250	XP_003436312.1, XP_003436311.1, XP_311978.5	XP_017791430.1, XP_017790978.1, XP_017797061.1
OG0000252	XP_321164.1	XP_017797270.1, XP_017797289.1, XP_017797280.1
OG0000253	XP_310451.4, XP_310450.4, XP_001238805.2	XP_017796608.1
OG0000253	XP_316966.4	XP_017795187.1
OG0000254	XP_312967.3, XP_003436712.1	XP_017793665.1
OG0000255	XP_003436960.1, XP_310845.5	XP_017793024.1
OG0000256	XP_307890.5	XP_017799058.1
OG0000257	XP_321870.5	XP_017797798.1
OG0000257	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3	XP_017797796.1
OG0000261	XP_315985.3, XP_001688761.1	XP_017796472.1
OG0000263	XP_001687857.1, XP_564524.3, XP_001687858.1	XP_017793038.1
OG0000264	XP_001688533.1, XP_314137.4	XP_017789982.1
OG0000264	XP_311594.2	XP_017790586.1, XP_017790587.1
OG0000266	XP_310704.3	XP_017799566.1
OG0000266	XP_308081.2	XP_017789615.1
OG0000269	XP_315017.4	XP_017794671.1
OG0000270	XP_003436281.1, XP_312025.4, XP_003436282.1	XP_017790438.1, XP_017790393.1
OG0000270	XP_003436280.1, XP_312026.4	XP_017790436.1
OG0000271	XP_311184.3, XP_312761.3, XP_003436383.1	XP_017796506.1
OG0000272	XP_308042.3, XP_001230608.1	XP_017787885.1
OG0000272	XP_309153.3, XP_314691.2	XP_017794633.1
OG0000273	XP_308599.4, XP_001688028.1	XP_017796843.1, XP_017791956.1
OG0000274	XP_317143.4, XP_318742.4, XP_318623.4	XP_017788622.1
OG0000274	XP_319531.4	XP_017790712.1
OG0000275	XP_001237830.2	XP_017791259.1
OG0000276	XP_003436154.1, XP_312380.3	XP_017793212.1
OG0000277	XP_315597.3, XP_001688685.1, XP_001688686.1	XP_017798618.1, XP_017798619.1, XP_017798620.1
OG0000278	XP_307914.5, XP_003436076.1	XP_017793717.1
OG0000279	XP_308623.4, XP_317820.4	XP_017788771.1
OG0000281	XP_312382.3	XP_017793218.1
OG0000283	XP_315855.4	XP_017790766.1
OG0000284	XP_003436098.1, XP_003436097.1, XP_312601.2	XP_017791641.1
OG0000284	XP_308964.2	XP_017793660.1, XP_017792010.1
OG0000285	XP_309398.1	XP_017798151.1
OG0000286	XP_309986.3	XP_017792533.1, XP_017792535.1, XP_017792536.1, XP_017792537.1, XP_017792538.1, XP_017792539.1, XP_017792534.1
OG0000287	XP_315240.3, XP_320482.3	XP_017788179.1
OG0000288	XP_552525.3	XP_017789073.1
OG0000288	XP_319330.4	XP_017788636.1
OG0000289	XP_319051.2	XP_017799003.1
OG0000291	XP_001689411.1	XP_017793299.1, XP_017794759.1
OG0000295	XP_564212.2	XP_017795274.1, XP_017795266.1
OG0000296	XP_316088.3	XP_017788651.1, XP_017788659.1, XP_017788642.1
OG0000297	XP_309482.3	XP_017790136.1
OG0000298	XP_003436069.1, XP_307929.5	XP_017790769.1, XP_017790767.1
OG0000299	XP_317327.4	XP_017788114.1
OG0000300	XP_315560.2	XP_017794224.1, XP_017794223.1
OG0000300	XP_311179.3	XP_017790327.1
OG0000301	XP_003437208.1, XP_003437207.1, XP_003437206.1, XP_558699.5	XP_017798433.1
OG0000301	XP_555875.4	XP_017789978.1
OG0000302	XP_320795.4	XP_017797066.1
OG0000302	XP_559969.3	XP_017789605.1
OG0000303	XP_562126.3	XP_017798322.1
OG0000304	XP_309314.4	XP_017799529.1
OG0000305	XP_563311.4	XP_017790464.1
OG0000306	XP_313557.5	XP_017793663.1, XP_017793662.1
OG0000307	XP_321110.5	XP_017794904.1, XP_017794906.1, XP_017794905.1
OG0000308	XP_003436758.1, XP_313171.5	XP_017790044.1
OG0000309	XP_314908.3	XP_017798375.1
OG0000310	XP_554747.3	XP_017796412.1
OG0000311	XP_308653.4	XP_017792683.1
OG0000312	XP_314530.4	XP_017790961.1, XP_017795474.1
OG0000313	XP_317714.4, XP_317713.4, XP_319608.4, XP_003435856.1, XP_003435855.1, XP_321620.4	XP_017787470.1, XP_017787453.1
OG0000314	XP_001230545.2, XP_309706.4	XP_017796592.1
OG0000314	XP_313795.3	XP_017796594.1
OG0000315	XP_309465.3, XP_309463.4, XP_309462.4	XP_017796950.1, XP_017796373.1
OG0000316	XP_024667073.1	XP_017787626.1
OG0000316	XP_024667074.1	XP_017788611.1
OG0000317	XP_313902.4	XP_017789247.1
OG0000318	XP_318652.3	XP_017794915.1
OG0000319	XP_001688115.1, XP_308867.3	XP_017793487.1
OG0000320	XP_564296.2, XP_310187.3	XP_017798550.1
OG0000321	XP_319900.4	XP_017794268.1
OG0000322	XP_309035.3, XP_001237166.1, XP_001688149.1, XP_308997.4	XP_017791003.1
OG0000323	XP_321271.5	XP_017793291.1, XP_017793301.1
OG0000324	XP_307908.4	XP_017796882.1
OG0000325	XP_321287.5	XP_017795690.1, XP_017795689.1
