Orthogroup	Anopheles_gambiae	Nomia_melanderi
OG0000127	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5	XP_031849581.1, XP_031849592.1, XP_031846850.1
OG0000129	XP_319208.4	XP_031848648.1, XP_031848647.1
OG0000130	XP_314859.4	XP_031826226.1, XP_031826291.1
OG0000130	XP_314860.4, XP_557898.3	XP_031826201.1
OG0000131	XP_311973.1, XP_003436315.1	XP_031828484.1
OG0000131	XP_320516.2	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1
OG0000132	XP_314281.4	XP_031829308.1
OG0000132	XP_317287.4, XP_319288.2	XP_031845637.1, XP_031845638.1, XP_031845639.1
OG0000133	XP_001238215.2	XP_031836871.1, XP_031836868.1
OG0000134	XP_320672.3	XP_031836169.1
OG0000134	XP_553069.3	XP_031832250.1
OG0000135	XP_321549.1	XP_031839483.1
OG0000135	XP_308966.4	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1
OG0000136	XP_557311.3, XP_316252.2	XP_031828129.1, XP_031828130.1, XP_031827941.1, XP_031829540.1
OG0000137	XP_313095.4	XP_031838894.1, XP_031830054.1, XP_031830055.1, XP_031830052.1
OG0000138	XP_310751.5	XP_031839076.1, XP_031839079.1
OG0000139	XP_318027.4	XP_031836046.1, XP_031836045.1, XP_031836044.1, XP_031836043.1, XP_031836055.1, XP_031836054.1
OG0000140	XP_318829.4	XP_031832920.1
OG0000141	XP_312292.5	XP_031839814.1
OG0000143	XP_311266.4, XP_311556.4	XP_031839633.1, XP_031839547.1
OG0000144	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4	XP_031829750.1, XP_031829749.1, XP_031829842.1
OG0000145	XP_318854.4	XP_031837412.1, XP_031838797.1, XP_031838795.1
OG0000146	XP_556748.3	XP_031825439.1
OG0000146	XP_308640.2	XP_031844338.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	XP_031846647.1
OG0000150	XP_316248.3	XP_031826266.1, XP_031826326.1
OG0000151	XP_001687986.1	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1
OG0000152	XP_001688746.1, XP_315920.4	XP_031830368.1
OG0000153	XP_315414.4	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1
OG0000156	XP_315693.3	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1
OG0000157	XP_319874.4, XP_319873.4	XP_031827834.1, XP_031827676.1
OG0000160	XP_314536.3	XP_031835553.1
OG0000160	XP_314534.4	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	XP_031840747.1, XP_031840748.1, XP_031840749.1
OG0000162	XP_566274.3, XP_311007.4	XP_031844217.1
OG0000162	XP_311918.3	XP_031846677.1, XP_031846685.1
OG0000164	XP_552916.2	XP_031838886.1, XP_031838889.1, XP_031838888.1
OG0000165	XP_311219.3	XP_031845761.1
OG0000165	XP_311252.5	XP_031849879.1
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1
OG0000168	XP_314120.4	XP_031840911.1
OG0000168	XP_308666.4, XP_309810.4	XP_031842375.1
OG0000170	XP_315409.2	XP_031847928.1
OG0000171	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3	XP_031825968.1, XP_031826361.1, XP_031826360.1, XP_031826362.1
OG0000173	XP_313784.5	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1
OG0000174	XP_313394.4	XP_031832594.1, XP_031832593.1, XP_031832592.1
OG0000175	XP_001687949.1, XP_308467.4	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1
OG0000177	XP_309771.2	XP_031850035.1
OG0000177	XP_001230649.2	XP_031849982.1, XP_031849983.1
OG0000177	XP_001688246.1	XP_031849977.1, XP_031849980.1
OG0000178	XP_307952.5	XP_031843734.1
OG0000179	XP_003437002.1, XP_310632.5	XP_031842123.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1
OG0000181	XP_321792.2	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1
OG0000183	XP_311711.3	XP_031838925.1
OG0000183	XP_317936.4	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1
OG0000184	XP_319373.1	XP_031846910.1
OG0000185	XP_001688361.2	XP_031829650.1, XP_031829646.1, XP_031829645.1, XP_031829647.1
OG0000186	XP_308393.4	XP_031834869.1
OG0000187	XP_318759.3	XP_031844556.1, XP_031844565.1, XP_031844499.1, XP_031844479.1, XP_031844458.1, XP_031844469.1, XP_031844528.1, XP_031844537.1, XP_031844547.1, XP_031844448.1, XP_031844518.1, XP_031844439.1, XP_031844509.1, XP_031844574.1, XP_031844582.1, XP_031844489.1
OG0000188	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4	XP_031843391.1
OG0000188	XP_316795.2	XP_031834431.1
OG0000189	XP_311343.4, XP_309276.4	XP_031837615.1
OG0000190	XP_003436713.1, XP_312971.1	XP_031829381.1, XP_031829385.1, XP_031829383.1, XP_031829384.1, XP_031829386.1
OG0000191	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_031843261.1
OG0000192	XP_311585.4	XP_031847208.1
OG0000194	XP_556986.2	XP_031843496.1, XP_031843495.1
OG0000196	XP_321556.3	XP_031841275.1
OG0000196	XP_001687817.2, XP_560491.4	XP_031836104.1, XP_031836105.1, XP_031836106.1, XP_031836107.1, XP_031836103.1
OG0000197	XP_308795.4	XP_031837253.1, XP_031837082.1
OG0000198	XP_314495.3	XP_031827645.1, XP_031827644.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_031827782.1
OG0000201	XP_316379.4	XP_031831080.1
OG0000203	XP_321914.5	XP_031840442.1
OG0000203	XP_315944.3	XP_031831628.1, XP_031831625.1, XP_031831627.1, XP_031831626.1
OG0000204	XP_003436222.1, XP_312208.4	XP_031827654.1, XP_031827655.1, XP_031827656.1, XP_031827653.1
OG0000205	XP_001688795.1, XP_003436549.1	XP_031844495.1, XP_031844500.1, XP_031844501.1
OG0000206	XP_003435909.1, XP_321392.5	XP_031826752.1
OG0000206	XP_003436103.1, XP_563817.3	XP_031826808.1, XP_031826811.1, XP_031826810.1, XP_031826809.1
OG0000207	XP_308487.3	XP_031850268.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	XP_031841289.1, XP_031841290.1
OG0000208	XP_001688810.1, XP_316236.4	XP_031841274.1
OG0000208	XP_314845.4	XP_031841014.1, XP_031841015.1
OG0000209	XP_001230643.2, XP_309738.3	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1
OG0000210	XP_001688664.1	XP_031838858.1, XP_031847872.1
OG0000210	XP_319144.3	XP_031833724.1
OG0000212	XP_554502.2, XP_318238.4	XP_031834616.1, XP_031829597.1, XP_031829541.1
OG0000213	XP_309297.2	XP_031829822.1, XP_031829824.1, XP_031829823.1
OG0000214	XP_313425.3, XP_003436551.1	XP_031832084.1
OG0000214	XP_319075.3, XP_313331.4	XP_031850423.1, XP_031850412.1, XP_031850402.1, XP_031850430.1, XP_031850440.1, XP_031850450.1
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_031842767.1, XP_031842763.1, XP_031842762.1, XP_031842761.1, XP_031842768.1, XP_031842764.1, XP_031842770.1
OG0000216	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4	XP_031833974.1
OG0000217	XP_310550.5, XP_309658.5, XP_001237269.3	XP_031838827.1
OG0000218	XP_308642.4	XP_031843157.1, XP_031843154.1, XP_031843156.1, XP_031843159.1, XP_031843158.1, XP_031843153.1, XP_031843152.1, XP_031843150.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843147.1, XP_031843160.1
OG0000219	XP_309335.4	XP_031844648.1, XP_031844645.1, XP_031844649.1, XP_031844644.1, XP_031844646.1
OG0000220	XP_314482.4	XP_031848722.1, XP_031848723.1, XP_031848720.1, XP_031848721.1, XP_031848719.1, XP_031848724.1, XP_031848727.1, XP_031848726.1
OG0000221	XP_310745.5	XP_031847181.1, XP_031847176.1, XP_031847173.1, XP_031847174.1, XP_031847177.1, XP_031847178.1, XP_031847170.1, XP_031847180.1, XP_031847179.1, XP_031847182.1, XP_031847172.1, XP_031847171.1
OG0000223	XP_320146.3	XP_031843281.1
OG0000223	XP_308984.1	XP_031834465.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	XP_031845107.1
OG0000225	XP_310636.2, XP_003437000.1	XP_031845382.1, XP_031845330.1, XP_031845328.1, XP_031845327.1
OG0000226	XP_313395.2	XP_031845835.1, XP_031845830.1
OG0000226	XP_317851.1	XP_031845816.1
OG0000227	XP_308342.4, XP_001237064.2	XP_031841465.1, XP_031841460.1, XP_031841461.1, XP_031841463.1, XP_031841462.1, XP_031841466.1
OG0000230	XP_001688611.1	XP_031850217.1
OG0000231	XP_003436333.1, XP_316371.4	XP_031830558.1, XP_031830557.1
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_031848186.1, XP_031848188.1, XP_031848187.1, XP_031848189.1
OG0000233	XP_311447.4	XP_031828212.1, XP_031828211.1
OG0000234	XP_314989.4, XP_316577.4	XP_031838672.1, XP_031838671.1, XP_031838673.1
OG0000235	XP_309952.4	XP_031837012.1, XP_031837013.1
OG0000236	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4	XP_031847307.1
OG0000236	XP_312478.1, XP_001238571.2	XP_031847306.1
OG0000237	XP_559100.2	XP_031848024.1
OG0000237	XP_311581.3	XP_031848023.1
OG0000239	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4	XP_031848984.1
OG0000241	XP_553025.3	XP_031848668.1, XP_031848664.1, XP_031839440.1, XP_031829061.1, XP_031829071.1
OG0000243	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4	XP_031836576.1, XP_031836577.1
OG0000244	XP_313365.4	XP_031832857.1, XP_031832858.1, XP_031832855.1, XP_031832856.1, XP_031832846.1, XP_031832851.1, XP_031832860.1, XP_031832863.1, XP_031832862.1, XP_031832853.1, XP_031832854.1, XP_031832848.1, XP_031832852.1, XP_031832850.1, XP_031832859.1, XP_031832861.1, XP_031832849.1
OG0000245	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2	XP_031828652.1
OG0000246	XP_319840.2, XP_319841.3	XP_031841788.1
OG0000246	XP_319838.3	XP_031841790.1, XP_031841789.1
OG0000247	XP_311005.4	XP_031825523.1, XP_031825522.1
OG0000247	XP_003436566.1	XP_031825527.1
OG0000248	XP_308379.4, XP_315470.5, XP_003435724.1	XP_031835538.1, XP_031835539.1
OG0000249	XP_310971.5	XP_031846178.1, XP_031846219.1
OG0000250	XP_003436312.1, XP_003436311.1, XP_311978.5	XP_031847829.1, XP_031835810.1
OG0000252	XP_321164.1	XP_031844068.1, XP_031844065.1, XP_031844066.1, XP_031844063.1, XP_031844064.1, XP_031844071.1, XP_031844072.1, XP_031844073.1, XP_031844067.1, XP_031844069.1, XP_031844070.1
OG0000253	XP_316966.4	XP_031840596.1, XP_031840598.1, XP_031840599.1
OG0000254	XP_312967.3, XP_003436712.1	XP_031833515.1
OG0000255	XP_003436960.1, XP_310845.5	XP_031850284.1
OG0000256	XP_307890.5	XP_031847101.1, XP_031847102.1, XP_031847099.1, XP_031847100.1
OG0000257	XP_321870.5	XP_031832830.1, XP_031832832.1
