Orthogroup	Anopheles_gambiae	Megachile_rotundata
OG0000112	XP_309025.4	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1
OG0000112	XP_560420.2	XP_003700355.1, XP_012154003.1
OG0000113	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4	XP_003701045.1, XP_003699454.1
OG0000114	XP_314336.2	XP_003707384.2
OG0000115	XP_311546.4	XP_003703956.1, XP_012139900.1, XP_003703954.1
OG0000116	XP_315806.4	XP_003700102.1, XP_012150301.1, XP_003700101.1
OG0000117	XP_318912.3	XP_012142234.1
OG0000117	XP_001238428.3	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1
OG0000120	XP_319911.4	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1
OG0000122	XP_309303.3, XP_564139.3	XP_003705279.2
OG0000122	XP_552160.3	XP_003702313.1
OG0000123	XP_317585.4	XP_003702607.2
OG0000124	XP_312632.5	XP_003703399.2
OG0000125	XP_321447.5	XP_003703348.2
OG0000126	XP_003436885.1, XP_311618.2	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1
OG0000127	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5	XP_003707941.2
OG0000127	XP_309323.2	XP_012151449.1
OG0000129	XP_319208.4	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1
OG0000130	XP_314859.4	XP_012141592.1, XP_012141591.1, XP_003703718.1
OG0000130	XP_314860.4, XP_557898.3	XP_003702400.1
OG0000131	XP_311973.1, XP_003436315.1	XP_012138681.1, XP_003699377.1
OG0000131	XP_320516.2	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1
OG0000132	XP_314281.4	XP_003706203.1, XP_012147468.1
OG0000132	XP_317287.4, XP_319288.2	XP_012152838.1, XP_003708422.1
OG0000133	XP_001238215.2	XP_003707714.1
OG0000134	XP_320672.3	XP_012148670.1
OG0000135	XP_321549.1	XP_003708004.1
OG0000135	XP_308966.4	XP_003708115.1
OG0000136	XP_557311.3, XP_316252.2	XP_003705561.1, XP_012146210.1
OG0000137	XP_313095.4	XP_003705868.1, XP_012135720.1, XP_012140417.1
OG0000138	XP_310751.5	XP_012141572.1, XP_012141209.1
OG0000139	XP_318027.4	XP_003700273.1, XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1
OG0000140	XP_318829.4	XP_012139579.1, XP_012139878.1
OG0000141	XP_317639.4	XP_003704620.1
OG0000143	XP_311266.4, XP_311556.4	XP_003702327.1, XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1
OG0000144	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4	XP_003705520.2, XP_003705522.1
OG0000145	XP_318854.4	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1, XP_012138596.1
OG0000146	XP_556748.3	XP_003705369.1
OG0000146	XP_308640.2	XP_003708217.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	XP_012151556.1, XP_003707862.1, XP_012151555.1, XP_012149993.1, XP_003707471.1
OG0000149	XP_319018.3	XP_012147339.1
OG0000150	XP_316248.3	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1
OG0000151	XP_001687986.1	XP_003704470.2
OG0000152	XP_001688746.1, XP_315920.4	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1
OG0000153	XP_315414.4	XP_012139835.1
OG0000156	XP_315693.3	XP_012150894.1
OG0000157	XP_319874.4, XP_319873.4	XP_003703163.1, XP_012140472.1
OG0000160	XP_314536.3	XP_012147327.1
OG0000160	XP_314534.4	XP_012138102.1, XP_003702188.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	XP_003703976.1
OG0000162	XP_566274.3, XP_311007.4	XP_003699383.2
OG0000162	XP_311918.3	XP_012151345.1
OG0000164	XP_552916.2	XP_012138610.1, XP_012138588.1, XP_012138609.1
OG0000165	XP_311219.3	XP_012141446.1, XP_012141448.1, XP_012141447.1
OG0000165	XP_311252.5	XP_012138919.1
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1
OG0000168	XP_314120.4	XP_012142201.1
OG0000168	XP_001688600.1, XP_314993.4, XP_001688601.1	XP_012139252.1
OG0000168	XP_308666.4, XP_309810.4	XP_012136943.1
OG0000170	XP_315409.2	XP_012135505.1
OG0000171	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3	XP_003704787.1, XP_012144044.1
OG0000173	XP_313784.5	XP_012141604.1
OG0000174	XP_313394.4	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1
OG0000175	XP_001687949.1, XP_308467.4	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1
OG0000177	XP_309771.2	XP_003707752.1
OG0000177	XP_001230649.2	XP_012151117.1
OG0000177	XP_001688246.1	XP_012151116.1
OG0000178	XP_307952.5	XP_012149455.1
OG0000179	XP_003437002.1, XP_310632.5	XP_003707098.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1
OG0000181	XP_321792.2	XP_012135659.1
OG0000183	XP_311711.3	XP_012144139.1
OG0000183	XP_317936.4	XP_012136967.1
OG0000184	XP_319373.1	XP_012151665.1
OG0000185	XP_001688361.2	XP_012152010.1, XP_012152006.1, XP_012152009.1, XP_012152008.1, XP_003708091.1, XP_012152007.1
OG0000186	XP_308393.4	XP_012138246.1, XP_003702219.1, XP_003702293.1
OG0000187	XP_318759.3	XP_012144258.1
OG0000188	XP_316795.2	XP_003703034.1
OG0000189	XP_311343.4, XP_309276.4	XP_012147949.1
OG0000190	XP_003436713.1, XP_312971.1	XP_012142605.1
OG0000191	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_012136269.1
OG0000192	XP_311585.4	XP_003702365.2
OG0000194	XP_556986.2	XP_003699995.1
OG0000196	XP_321556.3	XP_012134628.1
OG0000196	XP_001687817.2, XP_560491.4	XP_012143079.1
OG0000197	XP_308795.4	XP_012144858.1, XP_003699822.1
OG0000198	XP_314495.3	XP_012136053.1, XP_012136051.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_003701725.1
OG0000201	XP_316379.4	XP_012148479.1
OG0000201	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4	XP_012148478.1
OG0000203	XP_315944.3	XP_003705579.2
OG0000204	XP_003436222.1, XP_312208.4	XP_003704418.1
OG0000205	XP_001688795.1, XP_003436549.1	XP_003705021.1, XP_012144620.1, XP_012144622.1, XP_012144618.1, XP_012144619.1
OG0000206	XP_003435909.1, XP_321392.5	XP_003707704.1
OG0000206	XP_003436103.1, XP_563817.3	XP_012150998.1
OG0000207	XP_308487.3	XP_012146454.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	XP_012134609.1, XP_012134607.1
OG0000208	XP_001688810.1, XP_316236.4	XP_012134606.1
OG0000208	XP_314845.4	XP_012136964.1
OG0000209	XP_001230643.2, XP_309738.3	XP_012150853.1, XP_012150852.1, XP_003707562.1
OG0000210	XP_001688664.1	XP_003703387.1, XP_012148961.1
OG0000210	XP_319144.3	XP_012137421.1
OG0000212	XP_554502.2, XP_318238.4	XP_003700908.2, XP_003702537.1, XP_003702536.2
OG0000213	XP_309297.2	XP_012141554.1, XP_003703563.1, XP_012141555.1, XP_012141556.1, XP_012141557.1
OG0000214	XP_313425.3, XP_003436551.1	XP_003703502.1
OG0000214	XP_319075.3, XP_313331.4	XP_003700432.2
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_003705904.2
OG0000216	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4	XP_003699552.2
OG0000217	XP_310550.5, XP_309658.5, XP_001237269.3	XP_003703360.2
OG0000218	XP_308642.4	XP_012146998.1, XP_012146997.1, XP_012147000.1, XP_012146999.1, XP_012146995.1, XP_012146996.1
OG0000219	XP_309335.4	XP_003707713.1, XP_012151048.1
OG0000220	XP_314482.4	XP_003706502.1
OG0000221	XP_310745.5	XP_003703821.1
OG0000223	XP_320146.3	XP_003700060.2
OG0000223	XP_308984.1	XP_012141734.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	XP_003703036.2, XP_012139938.1, XP_012139967.1
OG0000225	XP_310636.2, XP_003437000.1	XP_012147417.1, XP_012147416.1, XP_012142097.1
OG0000226	XP_313395.2	XP_012142844.1, XP_012142842.1, XP_012142841.1
OG0000226	XP_317851.1	XP_012142847.1
OG0000227	XP_308342.4, XP_001237064.2	XP_012152961.1, XP_012152968.1, XP_012152963.1, XP_012152971.1
OG0000230	XP_001688611.1	XP_003707766.1, XP_012151176.1, XP_012151175.1, XP_012142731.1, XP_012142730.1, XP_003704424.1
OG0000231	XP_003436333.1, XP_316371.4	XP_012148493.1, XP_012148491.1, XP_012148494.1, XP_012148489.1, XP_003706704.1, XP_012148490.1
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_012139351.1, XP_003702791.1
OG0000233	XP_311447.4	XP_012151529.1, XP_012151530.1
OG0000234	XP_314989.4, XP_316577.4	XP_003705839.1
OG0000235	XP_309952.4	XP_012152694.1
OG0000236	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4	XP_003705969.1
OG0000236	XP_312478.1, XP_001238571.2	XP_012146799.1
OG0000237	XP_559100.2	XP_012137591.1
OG0000237	XP_311581.3	XP_012137578.1
OG0000239	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4	XP_003704346.1
OG0000241	XP_553025.3	XP_012141585.1, XP_012138646.1, XP_012138647.1, XP_012138648.1, XP_012138644.1
OG0000243	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4	XP_012137098.1
OG0000244	XP_313365.4	XP_003702794.2
OG0000245	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2	XP_003707107.1
OG0000246	XP_319840.2, XP_319841.3	XP_012143780.1
OG0000246	XP_319838.3	XP_003704683.1
OG0000247	XP_001687768.2, XP_313774.4	XP_012150345.1
OG0000247	XP_003436566.1	XP_012150346.1
OG0000248	XP_308379.4, XP_315470.5, XP_003435724.1	XP_012151217.1, XP_012151211.1
OG0000249	XP_310971.5	XP_012140332.1, XP_012140328.1, XP_012140331.1
OG0000250	XP_003436312.1, XP_003436311.1, XP_311978.5	XP_003706993.1, XP_012149090.1
OG0000252	XP_321164.1	XP_003706376.1
OG0000253	XP_310451.4, XP_310450.4, XP_001238805.2	XP_003708641.2
OG0000253	XP_316966.4	XP_012153159.1, XP_012153161.1
OG0000254	XP_312967.3, XP_003436712.1	XP_012150104.1
OG0000256	XP_307890.5	XP_012141779.1, XP_003703743.1, XP_012141781.1, XP_012141782.1, XP_012141780.1, XP_012141775.1, XP_012141774.1, XP_012141778.1, XP_012141777.1
OG0000257	XP_321870.5	XP_012152627.1
OG0000257	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3	XP_003708278.1, XP_012152634.1
OG0000260	XP_550846.3	XP_012147130.1
OG0000260	XP_321091.3, XP_321092.3, XP_312337.4	XP_012149801.1
OG0000261	XP_315985.3, XP_001688761.1	XP_003708378.2, XP_012152145.1, XP_012152140.1, XP_003708132.1, XP_003703046.1, XP_012139949.1
OG0000263	XP_001687857.1, XP_564524.3, XP_001687858.1	XP_012154514.1, XP_012154527.1, XP_012154521.1, XP_003699274.1
OG0000264	XP_001688533.1, XP_314137.4	XP_012141565.1
OG0000264	XP_311594.2	XP_003706549.1, XP_012148148.1
OG0000265	XP_319555.4, XP_312273.4, XP_003436201.1	XP_003700852.1, XP_012135145.1
OG0000266	XP_310704.3	XP_012142351.1, XP_012142346.1
OG0000266	XP_308081.2	XP_003701377.1
OG0000268	XP_309197.1, XP_003437164.1, XP_003437165.1, XP_560220.3, XP_001688171.2, XP_311384.3, XP_311355.3, XP_307829.2	XP_012147628.1, XP_012151349.1, XP_003705563.2, XP_003704992.1
OG0000269	XP_315017.4	XP_003707502.1
OG0000270	XP_003436281.1, XP_312025.4, XP_003436282.1	XP_003701984.1, XP_012137596.1
OG0000270	XP_003436280.1, XP_312026.4	XP_003701983.1
OG0000271	XP_311184.3, XP_312761.3, XP_003436383.1	XP_003703932.2
OG0000272	XP_308042.3, XP_001230608.1	XP_012137264.1
OG0000272	XP_309153.3, XP_314691.2	XP_012137477.1
OG0000273	XP_308599.4, XP_001688028.1	XP_012152922.1, XP_003708387.1
OG0000274	XP_317143.4, XP_318742.4, XP_318623.4	XP_012150333.1
