Orthogroup	Anopheles_gambiae	Acyrthosiphon_pisum
OG0000008	XP_003436608.1, XP_003436609.1, XP_003436607.1	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1
OG0000008	XP_310332.7, XP_003436611.1	XP_001945226.1
OG0000008	XP_559558.6, XP_003436610.1	XP_001948787.1, XP_008186873.1
OG0000008	XP_310340.1	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3
OG0000013	XP_307081.3	XP_008190047.2, XP_008190048.2, XP_003246588.2
OG0000013	XP_320335.2, XP_320336.2	XP_008188188.1
OG0000014	XP_314186.3, XP_314184.1, XP_314185.3, XP_309451.4, XP_311486.4	XP_008188957.2, XP_029347345.1, XP_003246585.1, XP_003248955.1, XP_003249023.1, XP_003246589.1, XP_003245105.1, XP_029344422.1, XP_029348663.1, XP_008179018.1, XP_001944346.2, XP_008190049.1, XP_001944288.1
OG0000017	XP_313667.3, XP_561497.1, XP_562132.1, XP_313059.1, XP_307500.3, XP_313668.1, XP_313058.1, XP_313664.3	NP_001280269.1
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1
OG0000018	XP_316463.3, XP_557101.2, XP_001237640.2, XP_315221.5, XP_001688623.2, XP_558678.4, XP_551022.4, XP_321300.4, XP_312930.5	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2
OG0000019	XP_321444.5	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1
OG0000019	XP_309657.4, XP_559998.4, XP_312042.5, XP_316926.4	XP_001952539.2
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	XP_001947401.1
OG0000020	XP_554133.3	XP_003244194.1
OG0000020	XP_314903.3, XP_554132.3	XP_029343120.1, XP_029345653.1
OG0000020	XP_314904.3	XP_008182108.1
OG0000020	XP_001238085.2, XP_319101.4	XP_029344335.1, XP_016664934.1
OG0000020	XP_315006.4	NP_001280338.1
OG0000020	XP_312941.4, XP_321843.5	XP_029347131.1
OG0000020	XP_555858.3	XP_001947843.1
OG0000020	XP_001231126.3	XP_029343394.1
OG0000021	XP_313342.5, XP_003436532.1	XP_001945018.2
OG0000021	XP_320239.4, XP_312638.5	XP_016663029.1, XP_003240228.1, XP_029342725.1
OG0000021	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4, XP_321592.4	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1
OG0000022	XP_551996.1, XP_318363.4, XP_318365.3, XP_306256.1, XP_307083.3	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2
OG0000023	XP_318364.5	XP_003245102.1
OG0000023	XP_024667067.1, XP_320334.2, XP_320329.2, XP_001238300.1, XP_306255.2, XP_307082.2	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1
OG0000024	XP_319504.3, XP_315663.4, XP_315499.1, XP_001237675.1, XP_001237676.2, XP_556135.3, XP_315496.4, XP_312977.3	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1
OG0000026	XP_558069.3	XP_029342349.1, XP_029342350.1
OG0000026	XP_321915.5	XP_029343074.1
OG0000026	XP_003436038.1, XP_308060.4	XP_029345451.1
OG0000026	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3	XP_029342802.1
OG0000026	XP_322033.4	XP_029342414.1
OG0000027	XP_315129.4	NP_001156692.1
OG0000027	XP_306825.4, XP_307607.3	XP_008190046.1
OG0000027	XP_307600.4	XP_029347154.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1	XP_016663309.2, XP_001952418.1
OG0000029	XP_001688326.1	NP_001165726.1
OG0000029	XP_003436466.1, XP_560960.4, XP_311664.4	XP_001947860.1
OG0000030	XP_001688768.1, XP_556664.3, XP_001688769.1, XP_001688770.1	XP_029346313.1, XP_003242308.1, XP_001948211.2, XP_001944515.2, XP_001946150.2, XP_029345605.1, XP_029346252.1
OG0000032	XP_001231044.2	XP_029347116.1, XP_001949029.2, XP_016662740.1
OG0000032	XP_309525.4	XP_003243898.1
OG0000035	XP_317561.4	XP_001951632.1, XP_016663720.1, XP_029345626.1
OG0000035	XP_317047.3, XP_555044.3, XP_308459.4	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1
OG0000037	XP_308914.4, XP_308913.3	XP_003241041.1
OG0000037	XP_001237150.1	XP_003243107.1, NP_001165431.1
OG0000037	XP_308915.3	NP_001155507.1, XP_029343963.1
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	XP_001948685.1
OG0000038	XP_308639.4, XP_563022.4	XP_001945695.1
OG0000041	XP_003437049.1	XP_008186344.1
OG0000041	XP_315269.4, XP_313971.4	NP_001136108.1, XP_001948457.2
OG0000041	XP_315271.4	XP_001948128.1
OG0000042	XP_311704.5	XP_016662708.1, XP_008186444.1
OG0000042	XP_003436368.1, XP_003436369.1, XP_001237393.3, XP_003436367.1	NP_001191869.1, XP_029345377.1
OG0000042	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1
OG0000043	XP_317400.2	NP_001128404.1, XP_029342103.1, NP_001119651.1
OG0000043	XP_317407.1, XP_317405.3, XP_317408.2	NP_001156287.1
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5, XP_003436569.1, XP_003436570.1, XP_003436568.1, XP_003436573.1, XP_003436571.1, XP_003436572.1	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2
OG0000044	XP_316862.5	XP_008182457.2, XP_029342681.1, XP_001944764.2
OG0000045	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2
OG0000046	XP_313085.3	XP_008184380.1, NP_001156420.1
OG0000046	XP_001688467.2	XP_008190051.1, XP_001951915.1, XP_003248918.1, XP_001945786.2
OG0000046	XP_001689308.2	XP_001951207.1, XP_003244048.1
OG0000050	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5	XP_008186168.1, XP_029344195.1
OG0000051	XP_024667080.1, XP_024667095.1	XP_008188002.1
OG0000052	XP_319685.4	XP_008180304.1, XP_008180303.1
OG0000052	XP_555802.2, XP_317786.3	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3
OG0000052	XP_316622.4	XP_008179402.1
OG0000052	XP_320291.3	XP_003243917.1, XP_001950194.2
OG0000053	XP_312615.1	XP_016664280.1, XP_008185348.1, XP_008178180.1, XP_008182358.1, XP_029340918.1, XP_029347910.1, XP_029341493.1, XP_016656685.1, XP_016655893.1, XP_008189430.1, XP_029342375.1, XP_029347954.1, XP_008178600.1
OG0000054	XP_556684.2, XP_312323.3, XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	NP_001162107.1, XP_003243273.1, NP_001233051.1
OG0000055	XP_553645.3	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1
OG0000055	XP_321277.5	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1
OG0000056	XP_318579.4	XP_029341785.1, XP_016658856.2
OG0000056	XP_550805.4	XP_029347390.1, XP_029340985.1
OG0000056	XP_317863.3	XP_029345472.1, XP_029341337.1
OG0000057	XP_309765.4	NP_001177327.1
OG0000057	XP_314483.4	XP_008190203.1
OG0000057	XP_309083.4, XP_001688163.1	XP_001943593.2
OG0000060	XP_318748.4	XP_029341750.1
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1
OG0000061	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2
OG0000062	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1	XP_001951309.3
OG0000065	XP_321329.4	XP_001943808.2
OG0000065	XP_565271.3	XP_001950981.1
OG0000067	XP_320481.4	XP_001948642.2
OG0000067	XP_315003.3, XP_001688603.1, XP_315671.4	XP_029347451.1, XP_001948493.1
OG0000067	XP_315363.4	XP_008185788.1
OG0000074	XP_321263.5	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1
OG0000077	XP_319941.4	XP_001945190.2
OG0000077	XP_316979.4, XP_321166.4	XP_008187030.1
OG0000079	XP_001238492.1	XP_001952588.1
OG0000079	XP_319818.4	XP_001949542.2
OG0000080	XP_313655.5	XP_001952817.1, XP_003241505.1
OG0000080	XP_313358.4	XP_001952818.2, XP_008178563.1
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_003240094.1
OG0000084	XP_318996.4	NP_001156310.1
OG0000084	XP_318989.4	NP_001155786.1
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1
OG0000086	XP_552698.3	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_001950197.2
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4, XP_306334.2, XP_308083.4, XP_308082.4	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2
OG0000088	XP_317091.3	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2
OG0000092	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1, XP_321262.1, XP_003435947.1	XP_001947820.1
OG0000094	XP_317094.4, XP_001689000.1, XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5, XP_312311.5	XP_001948596.2
OG0000097	XP_308429.3, XP_003436515.1, XP_003436516.1, XP_562379.1	XP_001948740.2, XP_008182369.1, XP_029347936.1
OG0000098	XP_314814.3	NP_001153821.1, XP_008189785.1
OG0000099	XP_320987.5	XP_001945365.2
OG0000099	XP_312290.4	XP_001945213.1
OG0000099	XP_313462.4	XP_001951744.1
OG0000100	XP_313581.5	XP_001944985.1
OG0000101	XP_321098.5	XP_001950980.2, XP_001945570.2
OG0000101	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3	XP_001952301.1
OG0000102	XP_308709.4, XP_565152.3, XP_312189.5, XP_003436226.1	XP_001946994.2
OG0000108	XP_310611.5, XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2
OG0000109	XP_309801.3	XP_001947883.2
OG0000112	XP_309025.4, XP_560420.2	XP_001944328.2
OG0000113	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1
OG0000115	XP_311546.4	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1
OG0000117	XP_318912.3	XP_001947242.1
OG0000117	XP_001238428.3	XP_001945228.1
OG0000118	XP_003435810.1, XP_321773.4	XP_016664517.2
OG0000120	XP_319911.4	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1
OG0000122	XP_309303.3, XP_564139.3	XP_029345164.1
OG0000123	XP_317585.4	XP_001944241.1
OG0000124	XP_312632.5	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1
OG0000125	XP_321447.5	XP_029343174.1, XP_029343175.1
OG0000126	XP_003436885.1, XP_311618.2	XP_029344350.1
OG0000127	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2
OG0000127	XP_309323.2	XP_016661891.1
OG0000129	XP_319208.4	XP_029342557.1, XP_003243980.1, XP_008182280.1
OG0000130	XP_314859.4	XP_008188212.1
OG0000130	XP_314860.4, XP_557898.3	XP_029347188.1
OG0000131	XP_311973.1, XP_003436315.1	NP_001119635.1
OG0000131	XP_320516.2	XP_001944342.1, NP_001280296.1
OG0000132	XP_314281.4, XP_317287.4, XP_319288.2	XP_001944867.2, XP_008188761.1
OG0000133	XP_001238215.2, XP_001689398.2, XP_003437102.1, XP_003437103.1	XP_001947717.2, XP_029346829.1
OG0000134	XP_320672.3	XP_016659080.1, XP_016655735.1, XP_029341669.1, XP_003244662.1, XP_016658650.1, XP_008186020.1
OG0000135	XP_321549.1, XP_308966.4	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1
OG0000137	XP_313095.4	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1
OG0000138	XP_310751.5	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2
OG0000139	XP_318027.4	XP_001949990.1
OG0000140	XP_313749.5	XP_016660676.1
OG0000140	XP_308203.4, XP_320833.4, XP_318829.4	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1
OG0000141	XP_312292.5, XP_317639.4	XP_029343859.1
OG0000143	XP_311266.4	XP_008183821.1
OG0000143	XP_311556.4	XP_001945042.2
OG0000146	XP_556748.3, XP_001238402.1, XP_320925.3, XP_001238796.1, XP_308640.2	NP_001119627.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	NP_001119678.1
OG0000149	XP_319018.3	NP_001233210.1, XP_008189229.1
OG0000150	XP_316248.3	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1
OG0000151	XP_001687986.1	NP_001232992.1
OG0000152	XP_001688746.1, XP_315920.4	XP_001950609.1
OG0000153	XP_307093.4, XP_317935.4, XP_315414.4	XP_001952790.2
OG0000154	XP_552044.3, XP_320377.4, XP_308371.4, XP_001688862.1, XP_557048.3	XP_029344492.1, XP_029344491.1, XP_003246127.1
OG0000156	XP_315693.3	XP_016659611.1
OG0000160	XP_314536.3	XP_001951963.1
OG0000160	XP_314534.4	XP_008184790.2, NP_001280442.1, XP_001944828.2, XP_001944881.1, XP_029342333.1, NP_001280272.1, NP_001233238.1, XP_008184532.1, XP_029342331.1, NP_001280469.1, XP_029341215.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	XP_001950765.1
OG0000162	XP_566274.3, XP_311007.4	XP_029346510.1
OG0000162	XP_310786.3	XP_008186164.1, XP_029342674.1
OG0000162	XP_311918.3	XP_016657938.1, XP_008180629.1
OG0000164	XP_315013.4, XP_552916.2	XP_016661577.1
OG0000165	XP_311219.3	XP_029343832.1
OG0000165	XP_311252.5	XP_029343481.1
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_029347644.1, XP_029347638.1, XP_029347646.1
OG0000168	XP_314120.4	XP_001951684.4, XP_003248836.2
OG0000168	XP_308666.4, XP_309810.4	XP_001942542.1, XP_008186133.1
OG0000170	XP_315409.2	XP_008188310.1
OG0000171	XP_317082.4, XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3, XP_001237882.1, XP_317081.2, XP_001689001.1	XP_029345553.1
OG0000173	XP_313784.5	NP_001233019.1
OG0000174	XP_313394.4	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1
OG0000175	XP_001687949.1, XP_308467.4	XP_029344556.1, XP_001951192.1
OG0000177	XP_309771.2	XP_016657898.1, XP_008180564.2
OG0000177	XP_001230649.2, XP_001688246.1	XP_001952775.1
OG0000179	XP_003437002.1, XP_310632.5	NP_001155435.1, NP_001280333.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	NP_001232980.1
OG0000181	XP_321792.2	XP_029343194.1, XP_001948653.1
OG0000183	XP_311711.3, XP_317936.4, XP_307630.3	XP_016663191.1, XP_016662030.1
OG0000184	XP_319373.1	XP_029341516.1
OG0000185	XP_001688361.2	XP_029344304.1
OG0000188	XP_316795.2	XP_001944994.1
OG0000189	XP_559460.4, XP_003436249.1, XP_312117.5	XP_008180383.1
OG0000189	XP_003437104.1, XP_311341.5	XP_008180381.1
OG0000189	XP_311343.4, XP_309276.4	XP_029345137.1, XP_008180387.1, XP_029345828.1
OG0000190	XP_003436713.1, XP_312971.1	XP_008187339.1
OG0000191	XP_321501.2	XP_029346818.1
OG0000191	XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_016659446.1, XP_029346152.1, XP_029344343.1, XP_029342439.1
OG0000192	XP_311585.4	XP_029345853.1
OG0000196	XP_321556.3	XP_001943581.2
OG0000196	XP_001687817.2, XP_560491.4	XP_003248273.1, XP_008188605.1, XP_029347409.1, XP_029347413.1
OG0000197	XP_308795.4	XP_001949247.2, XP_001943809.2
OG0000198	XP_314495.3	XP_003240145.1, XP_016656873.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_001949978.1
OG0000201	XP_316379.4	XP_001951690.2
OG0000201	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4	NP_001313588.1
OG0000203	XP_321914.5, XP_315944.3	XP_016662444.1, XP_001947661.2, XP_001949662.1, XP_029342520.1, XP_001947565.2
OG0000204	XP_003436222.1, XP_312208.4	XP_003243588.1, XP_001948363.2
OG0000205	XP_001688795.1, XP_003436549.1	XP_016660231.1, XP_029344431.1, XP_029344430.1, XP_003244837.1
OG0000207	XP_308487.3	NP_001155712.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	NP_001192033.1
OG0000208	XP_001688810.1, XP_316236.4, XP_314845.4	XP_001950788.1
OG0000209	XP_001230643.2, XP_309738.3	XP_008183529.1
OG0000212	XP_554502.2, XP_318238.4	NP_001232971.1, XP_008179391.1
OG0000213	XP_309297.2	XP_001945623.2, NP_001280334.1
OG0000214	XP_313425.3, XP_003436551.1	XP_001945750.1
OG0000214	XP_319075.3, XP_313331.4	XP_008186309.1, XP_008186310.1, XP_008186312.3
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_001949004.1, XP_016656471.1, XP_003241622.1
OG0000216	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4	XP_029341236.1, XP_029347825.1, XP_001952110.2
OG0000218	XP_308642.4	XP_008186264.1
OG0000223	XP_320146.3, XP_308984.1, XP_313748.3, XP_312116.4, XP_312115.1, XP_312118.4, XP_313747.1	XP_001944473.2, XP_029342159.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	XP_003247330.1, XP_001945322.1, XP_016656052.1, XP_029346604.1, XP_001950045.2
OG0000225	XP_310636.2, XP_003437000.1	XP_008183136.1, XP_001946333.2, XP_016659881.1
OG0000226	XP_313395.2	XP_008185421.1
OG0000226	XP_317851.1	XP_001947155.2, XP_029346388.1, XP_029346384.1, XP_029346385.1, XP_029346382.1, XP_029346383.1, XP_029346386.1, XP_029346387.1
OG0000227	XP_308342.4, XP_001237064.2	XP_003245308.1, XP_008184764.2
OG0000229	XP_319805.4, XP_001238197.1, XP_001689211.1, XP_001689212.1	XP_029341397.1, XP_016661667.1, XP_016661666.1, XP_016661665.1, XP_016661664.1, XP_016661668.1, XP_008187110.1, NP_001233057.1
OG0000230	XP_001688611.1, XP_001688610.1	XP_016661982.1, XP_016661983.1, XP_016661984.1, XP_001943037.1
OG0000231	XP_003436333.1, XP_316371.4	XP_001946956.2, XP_001948201.2
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_001947878.1, XP_029346471.1
OG0000233	XP_307241.3, XP_311447.4	XP_001947951.2, XP_029343172.1
OG0000234	XP_314989.4, XP_316577.4	XP_001948143.1
OG0000235	XP_309952.4, XP_559947.3	XP_001952457.1, XP_016662192.1
OG0000236	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4, XP_312478.1, XP_001238571.2	XP_016661843.1, XP_008185403.1
OG0000237	XP_559100.2, XP_311581.3	XP_008186243.2, XP_029346011.1
OG0000241	XP_553025.3	NP_001155771.1
OG0000242	XP_565621.4, XP_307986.5, XP_003436060.1, XP_308056.5	XP_016662935.1, XP_001952439.2, XP_029342720.1, XP_001951034.3, XP_029348454.1, NP_001352059.1, XP_016656341.1, NP_001352061.1, XP_001944051.2, XP_016655899.1, XP_029343853.1, XP_016664232.1
OG0000243	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4	XP_003243924.1, XP_003243911.1, XP_008182174.1, XP_001945201.1, XP_016659189.1, XP_016659190.1, XP_016659178.1, XP_016659180.1, XP_016659183.1, XP_016659184.1, XP_029344253.1, XP_029344252.1, XP_003243915.1, XP_016659186.1, XP_003243923.1, XP_003243922.1, XP_029344251.1, XP_029344249.1, XP_029344248.1, XP_001945635.2, XP_003248350.1, XP_016659168.2, XP_029344254.1
