Orthogroup	Anopheles_gambiae	Bombus_terrestris
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	XP_012172050.1
OG0000018	XP_316463.3, XP_557101.2	XP_012169775.2
OG0000018	XP_558678.4, XP_551022.4, XP_321300.4	XP_012169298.1
OG0000018	XP_312930.5	XP_003399081.1
OG0000019	XP_321444.5	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	XP_003401949.1
OG0000020	XP_554133.3	XP_012167183.1
OG0000020	XP_314903.3, XP_554132.3	XP_003394639.2
OG0000020	XP_314904.3	XP_012167185.1
OG0000020	XP_001238085.2, XP_319101.4	XP_003393559.1
OG0000020	XP_315006.4	XP_012164798.2
OG0000020	XP_312941.4	XP_003403319.2
OG0000020	XP_321843.5	XP_012173392.1
OG0000020	XP_555858.3	XP_012174530.1, XP_012170523.1
OG0000020	XP_001231126.3	XP_020723566.1
OG0000021	XP_313342.5, XP_003436532.1	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000021	XP_320239.4, XP_312638.5	XP_012169135.1
OG0000021	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4	XP_020722863.1, XP_003403430.2
OG0000022	XP_551996.1	XP_003396338.1
OG0000022	XP_318365.3	XP_003394856.1
OG0000026	XP_321915.5	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1
OG0000026	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3	XP_020719195.1
OG0000026	XP_322033.4	XP_003402888.1, XP_003402887.1, XP_012174757.1
OG0000027	XP_315129.4	XP_003392964.1, XP_003392970.1
OG0000027	XP_306825.4, XP_307607.3	XP_012166136.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1	XP_003399185.1, XP_012169459.1
OG0000029	XP_319711.4	XP_003399852.3
OG0000029	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4	XP_020721313.1, XP_020721315.1
OG0000030	XP_320774.4	XP_020720274.1
OG0000032	XP_001231044.2	XP_003396103.1
OG0000032	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1
OG0000035	XP_317561.4	XP_003394979.1
OG0000035	XP_309943.4, XP_001687884.1, XP_308284.4, XP_317047.3, XP_555044.3, XP_308459.4, XP_308744.4, XP_001688832.1, XP_316292.4, XP_308743.3	XP_020718418.1
OG0000036	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1	XP_003401252.1, XP_012172397.1, XP_012175443.1
OG0000037	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1	XP_003403001.3
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	XP_003396169.1, XP_003399700.1
OG0000038	XP_312152.5	XP_003401138.1
OG0000040	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7	XP_003393536.1, XP_003393535.1, XP_012164479.1
OG0000041	XP_001230772.1, XP_003437050.1, XP_003437049.1	XP_003396990.1
OG0000041	XP_313971.4	XP_003394490.1
OG0000041	XP_315271.4	XP_003399722.1
OG0000042	XP_311704.5	NP_001272327.1, XP_012163186.1
OG0000042	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3	NP_001267818.1
OG0000043	XP_317400.2	XP_003392868.1
OG0000043	XP_317404.2	XP_012173547.1
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5	XP_020723893.1, XP_012175325.1
OG0000044	XP_003436574.1	XP_020723251.1
OG0000045	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_003395914.2, XP_003403314.1, XP_020719958.1, XP_003402225.2, XP_012164669.1
OG0000046	XP_313085.3	XP_012176148.2
OG0000046	XP_001689308.2	XP_003397462.1
OG0000046	XP_315042.3	XP_003396775.3
OG0000050	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5	XP_003398997.1, XP_003396910.2
OG0000052	XP_319685.4	XP_003397480.1, XP_003397483.1
OG0000054	XP_556684.2	XP_012175318.1
OG0000054	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	XP_003402283.1, XP_003403304.1, XP_003403303.1
OG0000055	XP_553645.3	XP_003401668.1, XP_020722884.1
OG0000055	XP_312790.4	XP_012170773.1
OG0000055	XP_321277.5	XP_012170213.1
OG0000056	XP_318579.4	XP_020723650.1, XP_020721195.1
OG0000056	XP_550805.4	XP_003399457.3
OG0000056	XP_317863.3	XP_020720993.1
OG0000057	XP_309765.4	XP_003395180.1
OG0000057	XP_314483.4	XP_003395170.1
OG0000057	XP_315005.3	XP_003395225.1
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_003392898.1
OG0000061	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4	XP_020723139.1, XP_020723140.1, XP_020723141.1, XP_020723142.1, XP_003401246.1, XP_003401245.1, XP_012172395.1, XP_020722644.1
OG0000062	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1	XP_012175695.2
OG0000065	XP_321329.4	XP_003398334.1
OG0000065	XP_565271.3	XP_012168045.1, XP_012168044.1, XP_003403408.2, XP_003398335.1
OG0000067	XP_320481.4	XP_003397328.1
OG0000067	XP_315003.3, XP_001688603.1, XP_315671.4	XP_020722094.1
OG0000067	XP_315363.4	XP_020722130.1
OG0000073	XP_311477.4, XP_554263.1, XP_564483.1	XP_003393467.1
OG0000074	XP_321263.5	XP_003396140.1
OG0000077	XP_319941.4	NP_001267840.1
OG0000077	XP_316979.4, XP_321166.4	XP_012166572.2
OG0000079	XP_001238492.1	XP_020718409.1, XP_020718415.1, XP_020718406.1, XP_020718407.1, XP_020718414.1, XP_020718413.1, XP_020718410.1, XP_020718412.1
OG0000079	XP_319818.4	XP_020718411.1
OG0000080	XP_313655.5	XP_003399522.1
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_012169831.1
OG0000082	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2	XP_012171772.1, XP_012171770.1, XP_012171768.1, XP_003400713.1, XP_020722282.1, XP_003400712.1
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1, XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1
OG0000086	XP_552698.3	XP_003401334.1
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_012172254.1
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4	XP_020722624.1, XP_012172367.1
OG0000087	XP_306334.2, XP_308083.4, XP_308082.4	XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1, XP_012172366.1
OG0000088	XP_317091.3	XP_003398593.1
OG0000089	XP_319737.4	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1
OG0000089	XP_310298.6	XP_003396210.1
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2
OG0000092	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1	XP_020718694.1
OG0000092	XP_321262.1, XP_003435947.1	XP_003400287.1, XP_012171069.1
OG0000094	XP_317094.4, XP_001689000.1	XP_012164578.1
OG0000094	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5	XP_012170607.1
OG0000094	XP_312311.5	XP_003399925.2
OG0000095	XP_316096.4, XP_316098.3, XP_316099.4	XP_003398964.1
OG0000096	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4	XP_003400671.1, XP_003400637.1
OG0000096	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2	XP_003395393.1, XP_012166067.2
OG0000097	XP_003436515.1, XP_003436516.1, XP_562379.1	XP_012170206.1, XP_003399689.1, XP_012173498.1, XP_020723033.1
OG0000098	XP_314814.3	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1
OG0000099	XP_320987.5	XP_020722786.1
OG0000099	XP_312290.4	XP_012172596.1
OG0000099	XP_313462.4	XP_020722424.1
OG0000100	XP_313581.5	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1
OG0000101	XP_321098.5	XP_003397360.1
OG0000101	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1	XP_020719744.1
OG0000102	XP_308709.4, XP_565152.3	XP_020722917.1, XP_003401872.1, XP_020722911.1, XP_012173289.1, XP_012173290.1, XP_012173277.1
OG0000108	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_012174803.1
OG0000109	XP_309801.3	XP_003398706.1, XP_003398707.1
OG0000110	XP_001689285.1	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1, XP_003400818.1
OG0000112	XP_309025.4	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1
OG0000112	XP_560420.2	XP_012163934.1
OG0000113	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4	XP_020718272.1, XP_003394925.1
OG0000114	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4	XP_020718755.1
OG0000114	XP_314336.2	XP_020718756.1
OG0000115	XP_311546.4	XP_003395150.1, XP_003395075.1, XP_012163601.1
OG0000116	XP_315806.4	XP_012167612.1, XP_020720167.1, XP_020720163.1, XP_020720164.1, XP_020720166.1, XP_012167610.1, XP_012167613.1, XP_020720165.1, XP_003397905.1, XP_003397904.1, XP_012167611.1, XP_003397903.1, XP_020720215.1, XP_003397775.1
OG0000117	XP_318912.3	XP_012176486.1
OG0000117	XP_001238428.3	XP_003398039.1
OG0000120	XP_319911.4	XP_012176279.1, XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1
OG0000122	XP_309303.3, XP_564139.3	XP_012165001.1
OG0000122	XP_552160.3	XP_012174370.1
OG0000123	XP_317585.4	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1
OG0000124	XP_312632.5	XP_012164839.1
OG0000125	XP_321447.5	XP_003402889.2, XP_003402892.1, XP_003402547.3
OG0000126	XP_003436885.1, XP_311618.2	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1
OG0000127	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1
OG0000127	XP_309323.2	XP_003393059.1, XP_020718439.1, XP_020718434.1
OG0000129	XP_319208.4	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1
OG0000130	XP_314859.4	XP_020719394.1, XP_003396651.1, XP_020719405.1, XP_003396650.1, XP_012165703.1
OG0000130	XP_314860.4, XP_557898.3	XP_003396649.1, XP_012165702.1
OG0000131	XP_311973.1, XP_003436315.1	XP_003398970.1
OG0000131	XP_320516.2	XP_003396371.1, XP_003396370.1
OG0000132	XP_314281.4	XP_003402425.1
OG0000132	XP_317287.4, XP_319288.2	XP_003402485.1
OG0000133	XP_001238215.2	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1
OG0000134	XP_553069.3	XP_003397204.1
OG0000135	XP_321549.1	XP_003393110.1
OG0000135	XP_308966.4	XP_003394582.1
OG0000136	XP_557311.3, XP_316252.2	XP_012165909.1, XP_020719676.1, XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1
OG0000137	XP_313095.4	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1, XP_012175108.1, XP_012170724.1
OG0000138	XP_310751.5	XP_003397345.2, XP_012166619.1, XP_003397339.1
OG0000139	XP_318027.4	XP_003399181.1, XP_003399195.1
OG0000140	XP_308203.4	XP_020718525.1
OG0000140	XP_318829.4	XP_020722092.1, XP_012171285.1, XP_003400470.1
OG0000141	XP_317639.4	XP_012174890.1, XP_003396959.1
OG0000143	XP_311266.4, XP_311556.4	XP_003393823.1, XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1
OG0000144	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4	XP_003401782.1, XP_003401778.1, XP_003401781.1
OG0000145	XP_318854.4	XP_003393298.1, XP_012164960.1
OG0000146	XP_556748.3	XP_003402123.1
OG0000146	XP_308640.2	XP_012176245.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	XP_020721202.1, XP_020721198.1, XP_020721193.1, XP_003393447.1, XP_012164120.1, XP_012164121.1, XP_012164119.1
OG0000149	XP_319018.3	XP_003394540.1
OG0000150	XP_316248.3	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1
OG0000151	XP_001687986.1	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1
OG0000152	XP_001688746.1, XP_315920.4	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1
OG0000153	XP_315414.4	XP_003400832.1, XP_012171882.1, XP_012171883.1
OG0000156	XP_315693.3	XP_003396400.1
OG0000157	XP_319874.4, XP_319873.4	XP_020721948.1, XP_003400109.2
OG0000160	XP_314536.3	XP_012168631.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	XP_003394677.1, XP_003394675.1, XP_020724240.1
OG0000162	XP_566274.3, XP_311007.4	XP_012168555.1
OG0000162	XP_310786.3	XP_012170034.1
OG0000162	XP_311918.3	XP_003397561.2
OG0000164	XP_552916.2	XP_020718981.1, XP_020718982.1, XP_020718980.1
OG0000165	XP_311219.3	XP_003397183.1, XP_012166526.1
OG0000165	XP_311252.5	XP_012169083.1
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_012175400.2, XP_012175364.1, XP_012175388.1
OG0000168	XP_314120.4	XP_020724242.1
OG0000168	XP_001688600.1, XP_314993.4, XP_001688601.1	XP_020719024.1
OG0000168	XP_308666.4, XP_309810.4	XP_020718321.1
OG0000171	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3	XP_003396553.1, XP_012174011.1
OG0000173	XP_313784.5	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1
OG0000174	XP_313394.4	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1
OG0000175	XP_001687949.1, XP_308467.4	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1
OG0000177	XP_309771.2	XP_003398931.1
OG0000177	XP_001230649.2	XP_012169036.1
OG0000177	XP_001688246.1	XP_012169039.1
OG0000178	XP_307952.5	XP_003398577.1, XP_020720493.1
OG0000179	XP_003437002.1, XP_310632.5	XP_012173824.1, XP_003402266.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1
OG0000181	XP_321792.2	XP_003399390.1, XP_012169773.1, XP_012169774.1, XP_012169772.1
OG0000183	XP_311711.3	XP_012167140.1, XP_012167142.1, XP_003397591.1
OG0000183	XP_317936.4	XP_012163118.1
OG0000185	XP_001688361.2	XP_003400788.1, XP_012171763.1, XP_012171761.1, XP_012171762.1, XP_012171760.1, XP_012171764.1
OG0000186	XP_308393.4	XP_003393867.1, XP_020723943.1, XP_003393865.1, XP_003393866.1
OG0000187	XP_318759.3	XP_012167100.1, XP_003397755.1, XP_012167097.1, XP_020720318.1, XP_020720316.1, XP_012167099.1, XP_012167098.1
OG0000188	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4	XP_003399969.1
OG0000188	XP_316795.2	XP_003395186.1
OG0000189	XP_559460.4, XP_003436249.1, XP_312117.5	XP_012167526.1
OG0000189	XP_003437104.1, XP_311341.5	XP_012167477.1
OG0000189	XP_311343.4, XP_309276.4	XP_003393320.1, XP_012167516.1
OG0000190	XP_003436713.1, XP_312971.1	XP_012172000.1, XP_012171998.1, XP_012171999.1
OG0000191	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_012172676.1
OG0000192	XP_311585.4	XP_003393731.1
OG0000194	XP_556986.2	XP_003397792.2
OG0000196	XP_321556.3	XP_003399490.1
OG0000196	XP_001687817.2, XP_560491.4	XP_012170863.1, XP_003400132.1, XP_020721794.1, XP_012170865.1
OG0000197	XP_308795.4	XP_012171975.1, XP_012171976.1, XP_012171981.1, XP_012171980.1, XP_012171979.1, XP_003400969.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_003394667.1
OG0000201	XP_316379.4	XP_020720655.1
OG0000201	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4	XP_012168139.1, XP_012168138.1
OG0000203	XP_321914.5	XP_003396251.1
OG0000203	XP_315944.3	XP_012165494.1
OG0000204	XP_003436222.1, XP_312208.4	XP_003400095.1
OG0000205	XP_001688795.1, XP_003436549.1	XP_012176340.1, XP_003394538.1
OG0000206	XP_003435909.1, XP_321392.5	XP_012170362.1
OG0000206	XP_003436103.1, XP_563817.3	XP_020721443.1
OG0000207	XP_308487.3	XP_012169552.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	XP_012169920.1, XP_012169919.1
OG0000208	XP_001688810.1, XP_316236.4	XP_003399477.1
OG0000208	XP_314845.4	XP_003394143.1, XP_003394144.1
OG0000209	XP_001230643.2, XP_309738.3	XP_012167030.1, XP_012167033.1, XP_012167031.1, XP_012167034.1, XP_012167036.1, XP_012167037.1
OG0000210	XP_001688664.1	XP_003396128.1, XP_012167928.1
OG0000210	XP_319144.3	XP_012164486.1
OG0000212	XP_554502.2, XP_318238.4	XP_003393900.1, XP_003403182.1, XP_012174957.1
OG0000213	XP_309297.2	XP_003399166.1, XP_003399165.1, XP_012169441.1, XP_012169439.1, XP_012169438.1, XP_012169436.1
OG0000214	XP_313425.3, XP_003436551.1	XP_003397389.1
OG0000214	XP_319075.3, XP_313331.4	XP_003402159.1
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_012172166.1, XP_003401025.1
OG0000216	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4	XP_003401971.1
OG0000217	XP_310550.5, XP_309658.5, XP_001237269.3	XP_003396151.1
OG0000218	XP_308642.4	XP_012172566.2
OG0000219	XP_309335.4	XP_003394637.1
OG0000220	XP_314482.4	XP_020719485.1, XP_020719486.1, XP_020719487.1, XP_012165070.1, XP_012165068.1, XP_003396344.1
OG0000221	XP_310745.5	XP_020720834.1
OG0000223	XP_320146.3	XP_012167632.1
OG0000223	XP_308984.1	XP_003394761.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	XP_020718441.1, XP_020718442.1, XP_012163516.1, XP_020718287.1, NP_001267823.1, XP_012163168.1
OG0000225	XP_310636.2, XP_003437000.1	XP_020718472.1, XP_020718473.1, XP_012174019.1
OG0000226	XP_313395.2	XP_012175521.2, XP_012175447.1
OG0000226	XP_317851.1	XP_003400345.1
OG0000227	XP_308342.4, XP_001237064.2	XP_012169873.1, XP_012169872.1, XP_012169871.1, XP_003399621.1
OG0000230	XP_001688611.1	XP_012168967.1, XP_003399278.1, XP_012170718.1
OG0000231	XP_003436333.1, XP_316371.4	XP_020720652.1, XP_003398422.1
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_003400659.1, XP_020722317.1
OG0000233	XP_311447.4	XP_003393462.1
OG0000234	XP_314989.4, XP_316577.4	XP_003396094.1, XP_003396093.1, XP_012164939.1
OG0000235	XP_309952.4	XP_012167720.1, XP_012167719.1, XP_012167718.1, XP_012167716.1
OG0000236	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4	XP_012172197.1
OG0000236	XP_312478.1, XP_001238571.2	XP_012172199.1
OG0000237	XP_559100.2	XP_020722245.1
OG0000237	XP_311581.3	XP_020722198.1
OG0000239	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4	XP_003400044.1, XP_020721966.1, XP_012170676.1, XP_012170677.1
OG0000241	XP_553025.3	NP_001274494.1, XP_003403294.1, XP_012168805.1
OG0000242	XP_565621.4, XP_307986.5, XP_003436060.1, XP_308056.5	XP_012176615.2
OG0000243	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4	XP_012164726.1
OG0000244	XP_313365.4	XP_003400569.1
OG0000245	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2	XP_003400548.1
OG0000246	XP_319840.2, XP_319841.3	XP_003399661.1
OG0000246	XP_319838.3	XP_003399659.1, XP_020721543.1
OG0000247	XP_311005.4	XP_020718842.1
OG0000247	XP_003436566.1	XP_012164509.1
OG0000248	XP_308379.4, XP_315470.5, XP_003435724.1	XP_012168644.1, XP_020721165.1, XP_020721164.1, XP_020721171.1
OG0000249	XP_310971.5	XP_012167204.1, XP_012166752.1, XP_012166751.1
OG0000250	XP_003436312.1, XP_003436311.1, XP_311978.5	XP_003398082.1, XP_003398251.1
OG0000252	XP_321164.1	XP_020719888.1, XP_003392873.1, XP_012167405.1, XP_012167457.1
OG0000253	XP_310451.4, XP_310450.4, XP_001238805.2	XP_003401070.1
OG0000254	XP_312967.3, XP_003436712.1	XP_003395562.1
OG0000255	XP_003436960.1, XP_310845.5	XP_012169788.1
OG0000256	XP_307890.5	NP_001295235.1, XP_012176496.1
OG0000257	XP_321870.5	XP_020722268.1, XP_020722269.1, XP_003400699.1
OG0000257	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3	XP_020722264.1
OG0000260	XP_321091.3, XP_321092.3	XP_003393346.1, XP_003402310.1
OG0000261	XP_315985.3, XP_001688761.1	XP_020718460.1, XP_003395135.1, XP_003395133.1
OG0000263	XP_001687857.1, XP_564524.3, XP_001687858.1	XP_012168652.1
OG0000264	XP_001688533.1, XP_314137.4	XP_012166540.1
