Orthogroup	Anopheles_gambiae	Osmia_bicornis
OG0000021	XP_320239.4, XP_312638.5	XP_029046571.1
OG0000021	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4	XP_029049609.1
OG0000021	XP_321592.4	XP_029041225.1
OG0000022	XP_318363.4	XP_029051688.1
OG0000022	XP_318365.3	XP_029035866.1
OG0000026	XP_558069.3	XP_029039364.1
OG0000026	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3	XP_029035302.1
OG0000026	XP_322033.4	XP_029032070.1, XP_029039545.1, XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1
OG0000027	XP_315129.4	XP_029053373.1
OG0000027	XP_307607.3	XP_029053445.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1	XP_029041154.1, XP_029041149.1
OG0000029	XP_319711.4	XP_029049864.1, XP_029049863.1
OG0000029	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4	XP_029041266.1
OG0000030	XP_320774.4	XP_029038013.1, XP_029038012.1
OG0000032	XP_001231044.2	XP_029053845.1, XP_029053357.1
OG0000032	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6	XP_029055718.1, XP_029055719.1, XP_029055717.1, XP_029050538.1
OG0000035	XP_317561.4	XP_029032235.1
OG0000036	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1	XP_029047765.1, XP_029047764.1, XP_029043016.1, XP_029043017.1
OG0000037	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1	XP_029047042.1
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	XP_029041947.1, XP_029050411.1
OG0000038	XP_312152.5	XP_029039496.1
OG0000040	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7	XP_029055961.1, XP_029055960.1, XP_029055959.1
OG0000041	XP_001230772.1, XP_003437050.1, XP_003437049.1	XP_029032654.1, XP_029032653.1
OG0000041	XP_313971.4	XP_029038901.1, XP_029038899.1
OG0000041	XP_315271.4	XP_029053007.1
OG0000042	XP_311704.5	XP_029048713.1
OG0000043	XP_317400.2	XP_029038126.1
OG0000043	XP_317404.2	XP_029042860.1
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5	XP_029033389.1, XP_029033390.1, XP_029033388.1
OG0000044	XP_003436574.1	XP_029033272.1, XP_029033270.1, XP_029033271.1
OG0000045	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_029050902.1, XP_029050927.1, XP_029050914.1, XP_029043746.1
OG0000046	XP_313085.3	XP_029046126.1
OG0000046	XP_001689308.2	XP_029054140.1, XP_029049335.1
OG0000046	XP_315042.3	XP_029049438.1, XP_029049436.1, XP_029049437.1
OG0000050	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5	XP_029035421.1, XP_029047238.1
OG0000052	XP_319685.4	XP_029053695.1
OG0000052	XP_320291.3	XP_029042748.1
OG0000054	XP_556684.2	XP_029050144.1
OG0000054	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	XP_029050156.1, XP_029050150.1
OG0000055	XP_553645.3	XP_029033370.1, XP_029033371.1
OG0000055	XP_312790.4	XP_029035680.1
OG0000055	XP_321277.5	XP_029033206.1
OG0000056	XP_318579.4	XP_029043848.1, XP_029043447.1
OG0000056	XP_550805.4	XP_029041052.1
OG0000056	XP_317863.3	XP_029044167.1
OG0000057	XP_309765.4	XP_029035838.1
OG0000057	XP_314483.4	XP_029035967.1
OG0000057	XP_315005.3	XP_029035984.1
OG0000060	XP_318748.4	XP_029056239.1, XP_029056240.1
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_029042514.1
OG0000061	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4	XP_029037437.1, XP_029047750.1, XP_029047749.1, XP_029047748.1, XP_029047747.1, XP_029047746.1, XP_029047743.1, XP_029047752.1, XP_029047751.1, XP_029047745.1, XP_029047753.1
OG0000065	XP_321329.4	XP_029047719.1
OG0000065	XP_565271.3	XP_029047711.1
OG0000067	XP_320481.4	XP_029053164.1
OG0000067	XP_315003.3, XP_001688603.1, XP_315671.4	XP_029032763.1, XP_029032764.1
OG0000067	XP_315363.4	XP_029039161.1
OG0000074	XP_321263.5	XP_029053481.1
OG0000077	XP_319941.4	XP_029041461.1
OG0000077	XP_316979.4, XP_321166.4	XP_029051620.1
OG0000079	XP_001238492.1	XP_029035221.1
OG0000080	XP_313655.5	XP_029048618.1, XP_029048619.1
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_029048655.1
OG0000082	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2	XP_029037393.1, XP_029037394.1, XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1, XP_029037395.1
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	XP_029036566.1, XP_029036567.1, XP_029036300.1, XP_029036301.1
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_029036714.1
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4	XP_029056468.1, XP_029056467.1
OG0000087	XP_306334.2, XP_308083.4, XP_308082.4	XP_029056466.1
OG0000088	XP_317091.3	XP_029051133.1
OG0000089	XP_319737.4	XP_029053161.1, XP_029053163.1, XP_029053162.1
OG0000089	XP_310298.6	XP_029051588.1
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_029041126.1, XP_029041124.1
OG0000092	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1	XP_029048799.1
OG0000092	XP_321262.1, XP_003435947.1	XP_029036169.1
OG0000094	XP_317094.4, XP_001689000.1	XP_029033929.1
OG0000094	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5	XP_029034646.1, XP_029034647.1
OG0000094	XP_312311.5	XP_029050994.1
OG0000095	XP_316096.4, XP_316098.3, XP_316099.4	XP_029035463.1
OG0000096	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4	XP_029039146.1
OG0000096	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2	XP_029053037.1
OG0000097	XP_003436515.1, XP_003436516.1, XP_562379.1	XP_029033159.1, XP_029033157.1, XP_029033158.1, XP_029042191.1, XP_029042190.1
OG0000098	XP_314814.3	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1
OG0000099	XP_320987.5	XP_029034823.1
OG0000099	XP_312290.4	XP_029034765.1
OG0000099	XP_313462.4	XP_029045960.1
OG0000100	XP_313581.5	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1
OG0000101	XP_321098.5	XP_029038150.1
OG0000101	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1	XP_029038151.1
OG0000102	XP_308709.4, XP_565152.3	XP_029052948.1
OG0000108	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_029040200.1, XP_029040201.1
OG0000109	XP_309801.3	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1
OG0000110	XP_001689285.1	XP_029038421.1, XP_029038418.1, XP_029038419.1, XP_029043468.1
OG0000112	XP_309025.4	XP_029046532.1, XP_029046533.1
OG0000112	XP_560420.2	XP_029048168.1
OG0000113	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4	XP_029037699.1, XP_029048517.1
OG0000114	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4	XP_029044505.1, XP_029050777.1, XP_029050778.1
OG0000114	XP_314336.2	XP_029036590.1
OG0000115	XP_311546.4	XP_029035566.1, XP_029048286.1
OG0000116	XP_315806.4	XP_029036993.1, XP_029036999.1, XP_029037819.1, XP_029037828.1
OG0000117	XP_318912.3	XP_029050106.1
OG0000117	XP_001238428.3	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1
OG0000120	XP_319911.4	XP_029051756.1, XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1
OG0000122	XP_309303.3, XP_564139.3	XP_029051575.1
OG0000122	XP_552160.3	XP_029054705.1
OG0000123	XP_317585.4	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1
OG0000124	XP_312632.5	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1
OG0000125	XP_321447.5	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1
OG0000126	XP_003436885.1, XP_311618.2	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1
OG0000127	XP_309323.2	XP_029049523.1, XP_029049524.1
OG0000129	XP_319208.4	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1
OG0000130	XP_314859.4	XP_029040004.1, XP_029040144.1, XP_029040135.1, XP_029040130.1
OG0000130	XP_314860.4, XP_557898.3	XP_029040646.1
OG0000131	XP_311973.1, XP_003436315.1	XP_029035464.1
OG0000131	XP_320516.2	XP_029032564.1, XP_029032565.1, XP_029032563.1
OG0000132	XP_314281.4	XP_029042885.1, XP_029042884.1
OG0000132	XP_317287.4, XP_319288.2	XP_029046706.1, XP_029046715.1
OG0000133	XP_001238215.2	XP_029032942.1, XP_029032943.1, XP_029032944.1
OG0000135	XP_321549.1	XP_029052001.1
OG0000135	XP_308966.4	XP_029033778.1
OG0000136	XP_557311.3, XP_316252.2	XP_029051548.1, XP_029055196.1, XP_029055024.1, XP_029051623.1
OG0000137	XP_313095.4	XP_029048064.1, XP_029046790.1, XP_029046789.1, XP_029046791.1, XP_029046788.1, XP_029051312.1
OG0000138	XP_310751.5	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1, XP_029043742.1
OG0000139	XP_318027.4	XP_029050502.1
OG0000141	XP_312292.5	XP_029036213.1, XP_029036212.1
OG0000141	XP_317639.4	XP_029044664.1
OG0000143	XP_311266.4, XP_311556.4	XP_029041592.1, XP_029041591.1, XP_029041594.1, XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1
OG0000144	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4	XP_029035145.1
OG0000145	XP_318854.4	XP_029047376.1, XP_029047377.1, XP_029043895.1, XP_029045165.1
OG0000146	XP_556748.3	XP_029045164.1, XP_029045163.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	XP_029050244.1, XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1
OG0000149	XP_319018.3	XP_029047226.1
OG0000150	XP_316248.3	XP_029041950.1
OG0000151	XP_001687986.1	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1
OG0000152	XP_001688746.1, XP_315920.4	XP_029047059.1
OG0000153	XP_315414.4	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1
OG0000156	XP_315693.3	XP_029035328.1
OG0000157	XP_319874.4, XP_319873.4	XP_029051284.1, XP_029048978.1, XP_029051286.1, XP_029051283.1, XP_029051319.1, XP_029051281.1
OG0000160	XP_314536.3	XP_029042735.1
OG0000160	XP_314534.4	XP_029032546.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	XP_029049654.1, XP_029049653.1
OG0000162	XP_566274.3, XP_311007.4	XP_029035080.1
OG0000162	XP_311918.3	XP_029037503.1
OG0000164	XP_552916.2	XP_029053418.1, XP_029053381.1, XP_029053299.1, XP_029053407.1
OG0000165	XP_311219.3	XP_029038180.1, XP_029038179.1
OG0000165	XP_311252.5	XP_029047501.1
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_029043654.1, XP_029043635.1, XP_029043629.1
OG0000168	XP_314120.4	XP_029052804.1
OG0000168	XP_001688600.1, XP_314993.4, XP_001688601.1	XP_029043972.1
OG0000171	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3	XP_029047309.1, XP_029047311.1
OG0000173	XP_313784.5	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1
OG0000174	XP_313394.4	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1
OG0000175	XP_001687949.1, XP_308467.4	XP_029032769.1, XP_029032767.1, XP_029032768.1
OG0000177	XP_309771.2	XP_029035382.1, XP_029035383.1
OG0000177	XP_001230649.2	XP_029035403.1
OG0000177	XP_001688246.1	XP_029035380.1
OG0000178	XP_307952.5	XP_029039971.1, XP_029039967.1
OG0000179	XP_003437002.1, XP_310632.5	XP_029038918.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	XP_029046844.1, XP_029046842.1, XP_029046843.1
OG0000181	XP_321792.2	XP_029051355.1, XP_029051353.1, XP_029051352.1, XP_029051351.1, XP_029051350.1, XP_029051349.1, XP_029051354.1, XP_029051348.1
OG0000183	XP_311711.3	XP_029047940.1
OG0000183	XP_317936.4	XP_029053202.1
OG0000184	XP_319373.1	XP_029034044.1, XP_029034077.1
OG0000185	XP_001688361.2	XP_029037648.1, XP_029037641.1, XP_029037640.1
OG0000186	XP_308393.4	XP_029043658.1, XP_029043698.1, XP_029043697.1
OG0000187	XP_318759.3	XP_029047831.1
OG0000188	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4	XP_029034574.1
OG0000188	XP_316795.2	XP_029035546.1
OG0000189	XP_311343.4, XP_309276.4	XP_029035806.1, XP_029035810.1, XP_029035809.1, XP_029035808.1
OG0000190	XP_003436713.1, XP_312971.1	XP_029056400.1, XP_029056399.1, XP_029056401.1
OG0000191	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_029036825.1
OG0000192	XP_311585.4	XP_029034267.1, XP_029034266.1
OG0000196	XP_321556.3	XP_029041657.1, XP_029041656.1
OG0000196	XP_001687817.2, XP_560491.4	XP_029053549.1
OG0000197	XP_308795.4	XP_029032736.1, XP_029032735.1, XP_029032734.1
OG0000198	XP_314495.3	XP_029048757.1, XP_029048766.1, XP_029048776.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_029052014.1
OG0000201	XP_316379.4	XP_029039891.1
OG0000203	XP_321914.5	XP_029047463.1
OG0000203	XP_315944.3	XP_029042308.1, XP_029042310.1
OG0000204	XP_003436222.1, XP_312208.4	XP_029049274.1, XP_029049273.1, XP_029049272.1, XP_029049275.1
OG0000205	XP_001688795.1, XP_003436549.1	XP_029047201.1, XP_029047202.1, XP_029047200.1, XP_029047205.1, XP_029047203.1, XP_029047204.1
OG0000206	XP_003435909.1, XP_321392.5	XP_029052215.1
OG0000206	XP_003436103.1, XP_563817.3	XP_029052187.1, XP_029052186.1
OG0000207	XP_308487.3	XP_029046518.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	XP_029041769.1, XP_029041771.1
OG0000208	XP_001688810.1, XP_316236.4	XP_029041765.1
OG0000208	XP_314845.4	XP_029033072.1
OG0000209	XP_001230643.2, XP_309738.3	XP_029047963.1, XP_029047965.1, XP_029047964.1
OG0000210	XP_001688664.1	XP_029037304.1, XP_029045711.1
OG0000210	XP_319144.3	XP_029041331.1
OG0000212	XP_554502.2, XP_318238.4	XP_029034391.1, XP_029034390.1, XP_029051924.1, XP_029051929.1
OG0000213	XP_309297.2	XP_029041152.1, XP_029041153.1, XP_029041150.1, XP_029041151.1
OG0000214	XP_313425.3, XP_003436551.1	XP_029041256.1
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_029040889.1, XP_029040887.1, XP_029040888.1, XP_029040891.1
OG0000216	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4	XP_029052235.1, XP_029052237.1
OG0000217	XP_310550.5, XP_309658.5, XP_001237269.3	XP_029041283.1
OG0000218	XP_308642.4	XP_029034776.1, XP_029034777.1, XP_029034772.1, XP_029034773.1, XP_029034774.1, XP_029034775.1
OG0000219	XP_309335.4	XP_029033097.1, XP_029033098.1, XP_029033099.1, XP_029033101.1, XP_029033100.1
OG0000220	XP_314482.4	XP_029033278.1, XP_029033277.1, XP_029033279.1, XP_029033274.1, XP_029033275.1, XP_029033276.1, XP_029033273.1
OG0000221	XP_310745.5	XP_029042551.1
OG0000223	XP_320146.3	XP_029038992.1
OG0000223	XP_308984.1	XP_029044364.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	XP_029035644.1
OG0000225	XP_310636.2, XP_003437000.1	XP_029035976.1, XP_029035979.1, XP_029035978.1, XP_029032932.1
OG0000226	XP_313395.2	XP_029036179.1
OG0000226	XP_317851.1	XP_029036153.1
OG0000227	XP_308342.4, XP_001237064.2	XP_029056277.1, XP_029056278.1, XP_029056276.1, XP_029056274.1, XP_029056306.1, XP_029056308.1, XP_029056307.1, XP_029056309.1, XP_029056279.1
OG0000230	XP_001688611.1	XP_029052179.1, XP_029052178.1
OG0000231	XP_003436333.1, XP_316371.4	XP_029054484.1, XP_029039829.1
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_029039432.1
OG0000233	XP_311447.4	XP_029038096.1, XP_029038095.1
OG0000234	XP_314989.4, XP_316577.4	XP_029050333.1, XP_029050356.1, XP_029050344.1, XP_029050517.1
OG0000235	XP_309952.4	XP_029045311.1, XP_029045317.1, XP_029045324.1, XP_029045318.1
OG0000236	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4	XP_029036862.1, XP_029036865.1, XP_029036864.1
OG0000236	XP_312478.1, XP_001238571.2	XP_029036869.1
OG0000237	XP_559100.2	XP_029051857.1
OG0000237	XP_311581.3	XP_029051872.1
OG0000239	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4	XP_029036180.1, XP_029036132.1
OG0000241	XP_553025.3	XP_029044589.1, XP_029038589.1
OG0000243	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4	XP_029053744.1
OG0000244	XP_313365.4	XP_029039027.1
OG0000245	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2	XP_029039448.1
OG0000246	XP_319840.2, XP_319841.3	XP_029043282.1, XP_029043284.1, XP_029043283.1
OG0000246	XP_319838.3	XP_029043287.1, XP_029043289.1, XP_029043288.1
OG0000247	XP_001687768.2, XP_313774.4	XP_029036519.1
OG0000247	XP_311005.4	XP_029036516.1
OG0000247	XP_003436566.1	XP_029036521.1
OG0000248	XP_308379.4, XP_315470.5, XP_003435724.1	XP_029042768.1
OG0000249	XP_310971.5	XP_029044045.1
OG0000250	XP_003436312.1, XP_003436311.1, XP_311978.5	XP_029052124.1, XP_029052120.1
OG0000252	XP_321164.1	XP_029037839.1
OG0000253	XP_310451.4, XP_310450.4, XP_001238805.2	XP_029036723.1
OG0000253	XP_316966.4	XP_029032574.1
OG0000254	XP_312967.3, XP_003436712.1	XP_029055807.1
OG0000256	XP_307890.5	XP_029042504.1, XP_029042508.1, XP_029042505.1, XP_029042506.1, XP_029042511.1, XP_029042512.1, XP_029042509.1, XP_029042507.1
OG0000257	XP_321870.5	XP_029045410.1
OG0000257	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3	XP_029045406.1
OG0000260	XP_321091.3, XP_321092.3, XP_312337.4	XP_029053188.1
OG0000261	XP_315985.3, XP_001688761.1	XP_029035663.1, XP_029035664.1, XP_029035662.1
OG0000263	XP_001687857.1, XP_564524.3, XP_001687858.1	XP_029042765.1, XP_029042764.1, XP_029042763.1
OG0000264	XP_001688533.1, XP_314137.4	XP_029053644.1
OG0000264	XP_311594.2	XP_029053659.1, XP_029053657.1
OG0000265	XP_319555.4, XP_312273.4, XP_003436201.1	XP_029048310.1
OG0000266	XP_310704.3	XP_029049979.1
OG0000266	XP_308081.2	XP_029049312.1
OG0000268	XP_309197.1, XP_003437164.1, XP_003437165.1, XP_560220.3, XP_001688171.2, XP_311384.3, XP_311355.3, XP_307829.2	XP_029053715.1
OG0000269	XP_315017.4	XP_029036205.1, XP_029036204.1
OG0000270	XP_003436281.1, XP_312025.4, XP_003436282.1	XP_029047487.1
OG0000270	XP_003436280.1, XP_312026.4	XP_029045046.1
OG0000271	XP_311184.3, XP_312761.3, XP_003436383.1	XP_029048607.1
OG0000272	XP_308042.3, XP_001230608.1	XP_029034319.1
OG0000272	XP_309153.3, XP_314691.2	XP_029032785.1, XP_029032787.1
OG0000273	XP_308599.4, XP_001688028.1	XP_029044326.1, XP_029044327.1
OG0000274	XP_319531.4	XP_029046053.1
OG0000275	XP_001237830.2	XP_029051562.1
OG0000276	XP_003436154.1, XP_312380.3	XP_029053712.1
OG0000277	XP_315597.3, XP_001688685.1, XP_001688686.1	XP_029032823.1, XP_029032828.1, XP_029032829.1, XP_029032830.1, XP_029032831.1, XP_029032824.1, XP_029032825.1, XP_029032832.1, XP_029032833.1, XP_029032827.1
