Orthogroup	Anopheles_gambiae	Nasonia_vitripennis
OG0000013	XP_320335.2, XP_320336.2	XP_001608166.1, XP_001608174.1
OG0000013	XP_003435952.1	XP_031778016.1
OG0000014	XP_314186.3, XP_314184.1, XP_314185.3, XP_309451.4, XP_311486.4	XP_031787726.1, XP_001608125.1
OG0000017	XP_562676.3	NP_001165915.1, XP_031787492.1, XP_001600187.1
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	NP_001165913.1, NP_001165914.1
OG0000018	XP_316463.3, XP_557101.2	XP_008214580.1
OG0000018	XP_558678.4, XP_551022.4, XP_321300.4	XP_001604347.2
OG0000018	XP_312930.5	XP_031784239.1, XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1
OG0000019	XP_321444.5	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	XP_031777606.1, XP_008213182.2, XP_016840785.1, XP_001602620.2, XP_031783671.1
OG0000020	XP_001238085.2, XP_319101.4	XP_031778749.1, XP_031781856.1
OG0000020	XP_001231126.3	XP_016838656.1, XP_031778996.1
OG0000021	XP_313342.5, XP_003436532.1	XP_032452884.1, XP_016845846.1, XP_001607795.1
OG0000021	XP_320239.4, XP_312638.5	XP_001603725.1
OG0000021	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4	XP_001601834.2
OG0000021	XP_321592.4	XP_008201868.1
OG0000022	XP_320674.3	XP_032456078.1
OG0000022	XP_318365.3	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1
OG0000023	XP_320334.2, XP_320329.2, XP_001238300.1, XP_306255.2, XP_307082.2	XP_001608226.1, XP_001608234.1, XP_001599909.1, XP_003424473.1, XP_016844748.1, XP_001607906.1, XP_031778032.1, XP_031778031.1, XP_031777923.1, XP_031778030.1, XP_001607725.1, XP_031787982.1, XP_001607191.1, XP_031787525.1, XP_016836789.2, XP_001603608.1, XP_001607945.1
OG0000024	XP_319504.3, XP_315663.4, XP_315499.1, XP_001237675.1, XP_001237676.2, XP_556135.3, XP_315496.4, XP_312977.3	XP_003425961.1, XP_016838044.1, XP_001606051.1, XP_001599715.1, XP_001599851.1, XP_001606577.2, XP_001604918.1, XP_001604981.1, XP_008209485.1, XP_008209484.1, XP_001600270.1
OG0000026	XP_558069.3	XP_032452024.1
OG0000026	XP_321915.5	XP_008204831.1
OG0000026	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1
OG0000026	XP_322033.4	XP_001599637.2, XP_001599666.2
OG0000027	XP_315129.4	XP_001599220.1
OG0000027	XP_307607.3	XP_001600560.1, XP_031785593.1, XP_031785592.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1
OG0000029	XP_319711.4	NP_001166265.1
OG0000029	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4	NP_001166275.1, NP_001161319.1, NP_001166272.1
OG0000032	XP_001231044.2	XP_001600583.1, XP_001605911.2
OG0000032	XP_309525.4	XP_031787250.1
OG0000032	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6	XP_001608012.1, NP_001164368.1, XP_003426142.1, XP_016840393.1, NP_001164369.1
OG0000035	XP_317561.4	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1
OG0000036	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1
OG0000037	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1	XP_008216622.1, XP_008216623.1
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	XP_001607699.1, XP_001604160.1
OG0000040	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1, NP_001166069.1, XP_016838948.1, NP_001166068.1, XP_016838625.2, XP_001605658.3, XP_031779738.1, XP_032453050.1, NP_001166054.1, XP_016837013.1
OG0000041	XP_001230772.1, XP_003437050.1, XP_003437049.1	XP_032453601.1, NP_001157191.1, NP_001157192.1
OG0000041	XP_313971.4	XP_001601342.1
OG0000041	XP_315271.4	XP_001601504.1, XP_016845814.1
OG0000042	XP_311704.5	XP_008205137.1, XP_008205135.1, XP_008205136.1
OG0000042	XP_003436850.1, XP_313877.5	XP_001607893.1
OG0000042	XP_003436368.1, XP_003436369.1, XP_001237393.3, XP_003436367.1	XP_008205676.1, XP_001602540.1
OG0000042	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1
OG0000043	XP_317400.2	XP_008208463.1
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5	XP_031787739.1
OG0000044	XP_003436569.1, XP_003436570.1, XP_003436568.1, XP_003436573.1, XP_003436571.1, XP_003436572.1	XP_001602131.2
OG0000044	XP_003436574.1	XP_031788192.1
OG0000045	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_001604688.1, XP_001604507.3, XP_001604459.1, NP_001153339.1, NP_001153340.1, XP_001604662.2
OG0000046	XP_313085.3	XP_001604460.2
OG0000046	XP_001688467.2	XP_001599773.3, XP_031779567.1, XP_001604951.2
OG0000046	XP_001689308.2	XP_032452163.1, NP_001166228.1, XP_001608044.1
OG0000050	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2, XP_008216259.1, XP_001608200.1
OG0000052	XP_319685.4	XP_001607313.2, XP_031779680.1, XP_016838631.1
OG0000052	XP_555802.2, XP_317786.3	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1
OG0000052	XP_316622.4	XP_031777611.1
OG0000052	XP_320291.3	XP_001602874.2
OG0000054	XP_556684.2	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1
OG0000054	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2
OG0000055	XP_553645.3	XP_001602853.1
OG0000055	XP_312790.4	XP_008215920.1
OG0000055	XP_321277.5	XP_001600035.1, XP_008208159.3
OG0000056	XP_318579.4	XP_031780252.1, XP_001604931.2
OG0000056	XP_550805.4	XP_008202999.3
OG0000056	XP_317863.3	XP_031784842.1
OG0000057	XP_309765.4	XP_031785452.1
OG0000057	XP_314483.4	XP_003427519.1
OG0000057	XP_315005.3	XP_001600234.1, XP_001606290.1
OG0000059	XP_321665.3	XP_031778828.1
OG0000060	XP_318748.4	XP_031784439.1, XP_031784422.1, XP_031784431.1
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_031786737.1, NP_001164380.1
OG0000065	XP_321329.4	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1
OG0000065	XP_565271.3	XP_001605553.3, XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2
OG0000067	XP_320481.4	XP_001605420.2
OG0000067	XP_315003.3, XP_001688603.1, XP_315671.4	XP_031782248.1
OG0000067	XP_315363.4	XP_008209138.1
OG0000077	XP_319941.4	XP_003423914.1
OG0000077	XP_316979.4, XP_321166.4	XP_001605700.1, XP_008203901.1
OG0000079	XP_001238492.1	XP_031783468.1
OG0000080	XP_313655.5	XP_016838697.1, XP_001600017.1
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_016838620.1
OG0000082	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2	XP_016845753.1, XP_003427814.1
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1
OG0000086	XP_552698.3	XP_031786740.1, NP_001166061.1
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_008218019.2
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4	NP_001153410.1, NP_001153411.1
OG0000087	XP_306334.2, XP_308083.4, XP_308082.4	XP_001603938.2, XP_003425364.1, XP_001604204.2
OG0000089	XP_319737.4	XP_016843743.1
OG0000089	XP_310298.6	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2
OG0000092	XP_321262.1, XP_003435947.1	XP_001599003.1
OG0000094	XP_317094.4, XP_001689000.1	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1
OG0000094	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5	XP_001605100.1
OG0000094	XP_312311.5	XP_001600571.1
OG0000095	XP_316096.4, XP_316098.3, XP_316099.4	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1
OG0000096	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4	XP_008209422.1
OG0000096	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1
OG0000097	XP_003436515.1, XP_003436516.1, XP_562379.1	XP_001600781.1, NP_001166227.1, XP_008208182.1
OG0000098	XP_314814.3	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1
OG0000099	XP_320987.5	XP_008207065.2
OG0000099	XP_313462.4	XP_031785392.1
OG0000100	XP_313581.5	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1
OG0000101	XP_321098.5	XP_016842653.2
OG0000101	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1	XP_001603117.1, NP_001166254.1, XP_008211083.1, NP_001155060.1
OG0000102	XP_308709.4, XP_565152.3	XP_031786135.1, XP_001605390.2, XP_008216939.1, XP_008216934.1, XP_031786805.1
OG0000108	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1
OG0000109	XP_309801.3	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1
OG0000110	XP_001689285.1	XP_008201867.1
OG0000111	XP_565462.2	XP_031785278.1
OG0000112	XP_309025.4	XP_003425489.1
OG0000112	XP_560420.2	XP_031780635.1
OG0000113	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4	XP_031785048.1, XP_001599906.1, XP_008208626.1, XP_001603394.1, XP_008204873.1, XP_001603447.1
OG0000114	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4	XP_031785569.1, NP_001155077.1
OG0000114	XP_314336.2	XP_031788613.1, NP_001155043.1, XP_032454692.1
OG0000115	XP_311546.4	NP_001165922.1, NP_001165921.1, NP_001165923.1, NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1
OG0000116	XP_315806.4	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1
OG0000117	XP_318912.3	XP_003424885.1
OG0000117	XP_001238428.3	XP_016845279.1, XP_003428202.1, XP_008214870.1
OG0000122	XP_309303.3, XP_564139.3	XP_001604760.1
OG0000123	XP_317585.4	XP_032452434.1, XP_001602993.1
OG0000124	XP_312632.5	XP_031781470.1
OG0000125	XP_321447.5	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1
OG0000126	XP_003436885.1, XP_311618.2	XP_031784298.1, NP_001161164.1
OG0000127	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5	XP_031782271.1, XP_031782270.1
OG0000127	XP_309323.2	XP_001606042.2
OG0000129	XP_319208.4	XP_032454413.1, XP_016839449.1
OG0000130	XP_314860.4, XP_557898.3	XP_031776696.1
OG0000131	XP_311973.1, XP_003436315.1	NP_001153335.1, XP_032458192.1
OG0000131	XP_320516.2	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1
OG0000132	XP_314281.4	XP_031780045.1, XP_032453407.1
OG0000132	XP_317287.4, XP_319288.2	XP_016837749.1
OG0000133	XP_001238215.2	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1
OG0000135	XP_321549.1	XP_001603371.1
OG0000136	XP_557311.3, XP_316252.2	XP_008208307.1
OG0000137	XP_313095.4	XP_016841737.2
OG0000138	XP_310751.5	XP_031787653.1, XP_001605659.1
OG0000139	XP_318027.4	XP_031783357.1, XP_001606341.1, XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1, XP_008216641.1
OG0000140	XP_318829.4	XP_003424447.1
OG0000143	XP_311266.4, XP_311556.4	XP_008203875.1, XP_003425736.1, XP_001605275.2, XP_032454553.1
OG0000144	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4	XP_001600430.1, XP_031777854.1, XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1, NP_001164332.1
OG0000145	XP_318854.4	XP_001607062.1, XP_001602428.1
OG0000146	XP_556748.3	XP_016840249.1
OG0000146	XP_308640.2	XP_032452549.1, XP_001602324.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	XP_001600440.1, XP_001602387.1
OG0000149	XP_319018.3	XP_001606233.2
OG0000150	XP_316248.3	XP_031781028.1, XP_031781038.1, XP_032457432.1
OG0000151	XP_001687986.1	XP_003426709.1
OG0000152	XP_001688746.1, XP_315920.4	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1
OG0000153	XP_315414.4	XP_031778705.1, XP_031778704.1, XP_031778706.1
OG0000156	XP_315693.3	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1
OG0000157	XP_321960.2, XP_321971.5	NP_001166256.1, XP_031777809.1
OG0000157	XP_319874.4, XP_319873.4	NP_001166055.1, NP_001166050.1, XP_031777515.1, NP_001166083.1, NP_001166080.1, XP_031776689.1, NP_001166084.1, NP_001166081.1, NP_001155076.1, XP_031781530.1, XP_032456198.1, XP_031788611.1
OG0000160	XP_314536.3	XP_008204617.1
OG0000160	XP_314534.4	XP_003424871.1, XP_003424872.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1, XP_001602765.2, XP_031779585.1
OG0000162	XP_566274.3, XP_311007.4	NP_001234904.1, XP_031787426.1
OG0000162	XP_310786.3	XP_008205092.1, NP_001234892.1
OG0000162	XP_311918.3	XP_031789332.1, NP_001234893.1
OG0000164	XP_315013.4	XP_016843433.1, XP_031785500.1
OG0000164	XP_552916.2	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1
OG0000165	XP_311252.5	XP_008211085.1
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1
OG0000168	XP_314120.4	XP_008207992.2
OG0000168	XP_001688600.1, XP_314993.4, XP_001688601.1	XP_031785658.1
OG0000170	XP_315409.2	XP_032453170.1
OG0000171	XP_317082.4	XP_032454904.1
OG0000171	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3	XP_016838928.1, XP_001608062.2, XP_031780002.1
OG0000173	XP_313784.5	XP_031787440.1, NP_001153423.1, NP_001153422.1
OG0000174	XP_313394.4	XP_001600210.1
OG0000177	XP_309771.2	XP_001606472.1
OG0000177	XP_001230649.2	XP_008210134.1
OG0000177	XP_001688246.1	XP_003427240.1
OG0000178	XP_307952.5	XP_031787092.1
OG0000179	XP_003437002.1, XP_310632.5	XP_032451900.1, XP_001607038.1, XP_032451901.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	XP_008206406.1, XP_001606981.2
OG0000181	XP_321792.2	XP_001600458.2, XP_008214574.1, XP_008214578.1, XP_016845255.1
OG0000183	XP_311711.3	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1
OG0000183	XP_317936.4	XP_001603387.1
OG0000184	XP_319373.1	NP_001177442.1, XP_031786125.1, NP_001177456.1, NP_001177454.1, NP_001177455.1, NP_001177445.1, NP_001177448.1, NP_001177447.1, XP_031786129.1, NP_001177452.1, NP_001177453.1, NP_001177446.1, XP_032454720.1, NP_001177450.1, NP_001164388.1, NP_001177421.1, NP_001177422.1, XP_016845192.1, NP_001177460.1, NP_001177457.1, NP_001177449.1, NP_001177451.1, NP_001164464.1, NP_001177642.1, XP_031786111.1, NP_001177697.1, NP_001177444.1, NP_001177458.1, NP_001177459.1, NP_001177443.1, NP_001177441.1
OG0000185	XP_001688361.2	XP_008202977.1
OG0000186	XP_308393.4	XP_008214191.1, NP_001165994.1
OG0000187	XP_318759.3	XP_016840762.1, XP_032455395.1, XP_032455396.1, XP_032455397.1, XP_008211394.1, XP_008211389.1, XP_031785200.1
OG0000188	XP_316795.2	XP_001604859.1, XP_008211609.1
OG0000189	XP_559460.4, XP_003436249.1, XP_312117.5	XP_016838483.1, XP_031781823.1
OG0000189	XP_311343.4, XP_309276.4	XP_031781874.1
OG0000190	XP_003436713.1, XP_312971.1	XP_008201771.1, XP_032456089.1, XP_032456090.1, XP_032456086.1, XP_001605005.1, XP_032456093.1, XP_032456091.1, XP_032456092.1, XP_032456087.1, XP_032456088.1, XP_001604983.1, XP_003425264.1, XP_008201772.1, XP_032456085.1, XP_008201769.1, XP_032456082.1, XP_032456084.1, XP_032456083.1, XP_008201770.1
OG0000191	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_008207212.2
OG0000192	XP_311585.4	XP_031780067.1, XP_031780066.1
OG0000194	XP_556986.2	NP_001166262.1
OG0000196	XP_321556.3	XP_003423952.1, XP_008215430.1
OG0000196	XP_001687817.2, XP_560491.4	XP_008215207.1
OG0000197	XP_308795.4	XP_016837276.1, XP_016837275.1, NP_001155183.1, XP_016837279.1, XP_016837277.1, XP_032452047.1, XP_031777742.1, XP_031777741.1, XP_031777743.1
OG0000198	XP_314495.3	XP_008213258.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_001601256.2
OG0000201	XP_316379.4	XP_001606137.1
OG0000201	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4	XP_001607558.2
OG0000203	XP_321914.5	XP_001608051.1
OG0000203	XP_315944.3	XP_032452106.1, XP_031779307.1
OG0000204	XP_003436222.1, XP_312208.4	XP_016841715.1, XP_031788586.1, XP_016841716.1
OG0000205	XP_001688795.1, XP_003436549.1	XP_031784084.1
OG0000207	XP_308487.3	XP_001605874.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	XP_031780977.1, XP_031779878.1, XP_031781051.1
OG0000208	XP_001688810.1, XP_316236.4	XP_031781008.1
OG0000209	XP_001230643.2, XP_309738.3	XP_032456886.1
OG0000210	XP_001688664.1	XP_008212102.1, XP_008212106.1, XP_016845495.1, XP_008214952.1
OG0000210	XP_319144.3	XP_031784536.1, XP_032455257.1
OG0000212	XP_554502.2, XP_318238.4	XP_001603421.1, XP_001601231.2
OG0000213	XP_309297.2	XP_003427028.1, XP_001605473.1, XP_032456240.1
OG0000214	XP_313425.3, XP_003436551.1	XP_032457643.1, XP_032457642.1, XP_031781552.1, XP_031781551.1
OG0000214	XP_319075.3, XP_313331.4	XP_032455627.1, XP_031784508.1
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_016843751.2, XP_016843750.2, XP_016843749.2, XP_031788092.1, XP_032456457.1, XP_001603599.4
OG0000216	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3	XP_001603476.3
OG0000217	XP_310550.5, XP_309658.5	XP_032453386.1, XP_001605149.3, XP_031780038.1, XP_001599171.3, XP_032451628.1
OG0000217	XP_001237269.3	XP_001605811.2
OG0000218	XP_308642.4	XP_008207040.1, XP_008207042.1, XP_008207041.1
OG0000219	XP_309335.4	XP_032452539.1
OG0000220	XP_314482.4	XP_008206095.1, XP_008206096.1, XP_008206094.1, XP_016843252.1, XP_008206097.1, XP_001604656.1
OG0000221	XP_310745.5	XP_001607468.1
OG0000223	XP_320146.3	NP_001155149.1, XP_008213618.1
OG0000223	XP_308984.1	XP_031785562.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	NP_001166091.1, XP_016836998.2, XP_032452314.1, XP_031780168.1, XP_016838644.1, XP_032453420.1, XP_031780156.1
OG0000225	XP_310636.2, XP_003437000.1	XP_001602931.1, XP_031781485.1, XP_032457609.1, XP_031777410.1
OG0000226	XP_313395.2	XP_016844695.1
OG0000226	XP_317851.1	XP_016845008.1
OG0000230	XP_001688611.1	XP_003424711.1
OG0000231	XP_003436333.1, XP_316371.4	XP_001602920.1
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_031788753.1
