Orthogroup	Anopheles_gambiae	Bombyx_mori
OG0000030	XP_320774.4	XP_037875304.1
OG0000030	XP_001688768.1, XP_556664.3, XP_001688769.1, XP_001688770.1	XP_037875287.1, XP_004925987.1, XP_037875088.1, XP_037875087.1, XP_021203547.2, XP_037875086.1
OG0000032	XP_309525.4	XP_004931720.1
OG0000032	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000035	XP_317561.4	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000035	XP_317047.3, XP_555044.3, XP_308459.4	NP_001243964.1, NP_001243980.1
OG0000036	XP_316611.2	XP_004925684.1
OG0000036	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1	XP_037877629.1, XP_012544322.2
OG0000037	XP_308913.3	NP_001166643.1
OG0000037	XP_001237150.1	NP_001166640.1, XP_021207417.1
OG0000037	XP_308915.3	NP_001166642.1
OG0000037	XP_316348.4	XP_012550693.1, NP_001166641.1
OG0000037	XP_308909.2, XP_556645.1	NP_001166635.1
OG0000037	XP_308908.3	NP_001166644.1
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	NP_001036884.1
OG0000038	XP_308639.4, XP_563022.4	XP_021205243.1
OG0000040	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3	XP_037871589.1, XP_037877007.1
OG0000041	XP_001230772.1, XP_003437050.1, XP_003437049.1	NP_001119727.1
OG0000041	XP_313971.4	NP_001119724.1
OG0000041	XP_315271.4	NP_001119726.1, XP_037872546.1
OG0000042	XP_311704.5	XP_004925565.1
OG0000042	XP_003436850.1, XP_313877.5	NP_001296474.1, NP_001296524.1, NP_001296530.1
OG0000042	XP_003436368.1, XP_003436369.1, XP_001237393.3, XP_003436367.1	NP_001296494.1, XP_021203267.2
OG0000042	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1
OG0000043	XP_317400.2	NP_001037067.1, NP_001037068.1
OG0000043	XP_317404.2	NP_001091780.1, XP_021206019.2
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5	NP_001036834.1
OG0000044	XP_003436569.1, XP_003436570.1, XP_003436568.1, XP_003436573.1, XP_003436571.1, XP_003436572.1	NP_001037013.1, XP_037868605.1, NP_001104835.1, NP_001254654.1, NP_001266323.1
OG0000044	XP_003436574.1	XP_037868658.1
OG0000044	XP_316862.5	NP_001296554.1
OG0000045	XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	XP_313085.3	NP_001036837.1, XP_012547740.1
OG0000046	XP_001688467.2	XP_037876891.1, XP_004933911.2, XP_037876874.1, NP_001296526.1, NP_001243928.1
OG0000046	XP_001689308.2	NP_001036892.1
OG0000050	XP_316295.4, XP_316296.3	XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1
OG0000050	XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2	XP_004925199.1
OG0000050	XP_312564.5	XP_004924525.1
OG0000052	XP_319685.4	XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000052	XP_555802.2, XP_317786.3	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1
OG0000052	XP_320291.3	XP_012545009.1, NP_001182634.1
OG0000053	XP_312615.1	XP_037869409.1, XP_037868996.1, XP_037875001.1
OG0000054	XP_556684.2	NP_001040112.1
OG0000054	XP_312323.3	NP_001037001.1
OG0000054	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	NP_001036835.1, NP_001166743.1, NP_001166724.1, XP_037874910.1
OG0000055	XP_312790.4	XP_021207833.1
OG0000055	XP_321277.5	XP_012548893.1, NP_001036959.1
OG0000056	XP_318579.4	XP_037866675.1
OG0000056	XP_550805.4	XP_037872689.1
OG0000056	XP_317863.3	XP_037873641.1
OG0000057	XP_309765.4	NP_001036887.1, NP_001036964.1
OG0000057	XP_314483.4	NP_001036888.1
OG0000057	XP_315005.3	NP_001037492.1, NP_001093079.1
OG0000057	XP_309083.4, XP_001688163.1	XP_012548036.1, XP_004922155.1
OG0000059	XP_321665.3	XP_037870550.1
OG0000060	XP_318748.4	XP_004925993.2
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_012551685.2
OG0000062	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1	XP_021205992.1, NP_001091767.1
OG0000065	XP_321329.4	XP_004931596.1
OG0000065	XP_565271.3	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2
OG0000067	XP_320481.4	XP_004931451.1
OG0000067	XP_315363.4	XP_037877745.1
OG0000074	XP_321263.5	XP_037875797.1
OG0000077	XP_319941.4	XP_037870080.1
OG0000077	XP_316979.4, XP_321166.4	NP_001037478.1
OG0000079	XP_317797.4	XP_037872225.1
OG0000079	XP_319818.4	XP_004925192.2
OG0000080	XP_313655.5	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_037874734.1
OG0000082	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2	XP_004927040.1, NP_001124343.1
OG0000084	XP_318996.4	NP_001036869.1
OG0000084	XP_318989.4	NP_001166715.1, XP_021207423.1
OG0000084	XP_318995.4	NP_001166719.1
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1
OG0000086	XP_552698.3	NP_001243984.1
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_004922188.1
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4	XP_004925118.1
OG0000087	XP_306334.2, XP_308083.4, XP_308082.4	XP_004926772.1
OG0000088	XP_317091.3	XP_037876269.1, XP_037876266.1
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1, XP_321262.1, XP_003435947.1	NP_001040445.1
OG0000094	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5	XP_037867226.1
OG0000094	XP_312311.5	XP_004932347.1, XP_004929868.2
OG0000095	XP_316096.4, XP_316098.3, XP_316099.4	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4	XP_004933352.2
OG0000097	XP_308429.3	XP_012549126.1, NP_001037510.1
OG0000097	XP_003436515.1, XP_003436516.1, XP_562379.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_314814.3	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_320987.5	XP_012551708.2
OG0000099	XP_312290.4	XP_004933046.1
OG0000099	XP_313462.4	XP_037876655.1
OG0000101	XP_552464.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_308709.4, XP_565152.3	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000102	XP_312189.5, XP_003436226.1	XP_021205209.1
OG0000108	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_309801.3	XP_021205885.1
OG0000110	XP_001689285.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_565462.2	XP_037870313.1
OG0000112	XP_560420.2	NP_001240824.1, XP_012546717.1
OG0000113	XP_321170.4	XP_004929660.1
OG0000114	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4	XP_037876113.1, NP_001036844.1
OG0000114	XP_312744.4, XP_003436374.1	XP_021205798.1
OG0000114	XP_314336.2	XP_037876437.1
OG0000115	XP_311546.4	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_318912.3	NP_001040298.1
OG0000117	XP_001238428.3	NP_001233214.1, XP_012552766.1
OG0000120	XP_319911.4	XP_021207126.2
OG0000121	XP_003436859.1	XP_004923242.2
OG0000122	XP_552160.3	XP_037871005.1
OG0000123	XP_317585.4	NP_001037614.1, XP_012548321.1
OG0000124	XP_312632.5	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_321447.5	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_003436885.1, XP_311618.2	XP_012549565.1, NP_001037319.1
OG0000127	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5	XP_012551315.1, NP_001037024.1
OG0000127	XP_309323.2	NP_001189458.1, XP_012551311.1
OG0000129	XP_319208.4	XP_021203173.1
OG0000130	XP_314859.4	NP_001108469.1
OG0000130	XP_314860.4, XP_557898.3	XP_012548931.3
OG0000131	XP_311973.1, XP_003436315.1	XP_004931759.1
OG0000131	XP_320516.2	NP_001091755.1
OG0000132	XP_314281.4	NP_001164651.1, XP_037870176.1
OG0000132	XP_317287.4, XP_319288.2	NP_001164650.1
OG0000133	XP_001238215.2	XP_021207866.1, XP_004932639.1
OG0000134	XP_320672.3	XP_004924013.1, XP_004924014.1, XP_012544046.1
OG0000134	XP_553069.3	XP_004923935.1
OG0000135	XP_321549.1	NP_001166873.1, XP_037875522.1
OG0000135	XP_308966.4	NP_001108335.1
OG0000136	XP_557311.3, XP_316252.2	XP_004927026.1
OG0000137	XP_313095.4	XP_037868770.1
OG0000138	XP_310751.5	XP_037868949.1, XP_004925223.3
OG0000139	XP_318027.4	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000140	XP_308203.4	XP_004926978.1, XP_021209321.1, XP_037877222.1, XP_012553187.1, NP_001182631.1
OG0000140	XP_320833.4	XP_004931991.2, XP_004926551.1
OG0000141	XP_317639.4	XP_021207972.2, XP_037866583.1
OG0000143	XP_311266.4	XP_037870673.1, NP_001040254.1
OG0000143	XP_311556.4	XP_004927859.1
OG0000144	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_318854.4	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_556748.3	XP_037871222.1, XP_004922825.1
OG0000146	XP_001238402.1, XP_320925.3, XP_001238796.1	XP_021204999.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	XP_004933126.1
OG0000149	XP_319018.3	XP_037875543.1
OG0000150	XP_316248.3	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_001687986.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_001688746.1, XP_315920.4	XP_021205393.1
OG0000153	XP_307093.4, XP_317935.4	XP_004930976.1
OG0000153	XP_315414.4	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_552044.3, XP_320377.4, XP_308371.4, XP_001688862.1, XP_557048.3	XP_037872810.1, XP_037872808.1, XP_037872811.1, XP_037872812.1, XP_012546915.1, XP_012546914.1
OG0000156	XP_315693.3	XP_021206155.2
OG0000157	XP_319874.4, XP_319873.4	XP_037869375.1
OG0000160	XP_314534.4	XP_004925399.2, XP_004925398.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	NP_001182393.1
OG0000162	XP_566274.3, XP_311007.4	NP_001103389.1, XP_037868604.1
OG0000162	XP_310786.3	NP_001103387.2, XP_037868602.1
OG0000162	XP_311918.3	NP_001103388.1, XP_021203288.2
OG0000164	XP_315013.4	XP_021205850.1
OG0000164	XP_552916.2	XP_037875027.1, XP_037872511.1
OG0000165	XP_311219.3	XP_012547188.1, XP_021204892.1
OG0000165	XP_311252.5	XP_012551706.2
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_037868137.1
OG0000168	XP_314120.4	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1
OG0000168	XP_001688600.1, XP_314993.4, XP_001688601.1, XP_308666.4, XP_309810.4	XP_037873451.1
OG0000170	XP_315409.2	XP_021202707.2
OG0000171	XP_317082.4, XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3, XP_001237882.1, XP_317081.2, XP_001689001.1	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_313784.5	NP_001093316.1
OG0000174	XP_313394.4	NP_001040490.1, XP_037874321.1
OG0000175	XP_001687949.1, XP_308467.4	NP_001040124.1
OG0000177	XP_309771.2	XP_004931030.1
OG0000177	XP_001230649.2	XP_004931031.2
OG0000177	XP_001688246.1	XP_004930870.1
OG0000178	XP_307952.5	XP_037871996.1, XP_004924483.2
OG0000179	XP_003437002.1, XP_310632.5	NP_001037301.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	XP_004930542.1
OG0000181	XP_321792.2	NP_001037380.1, XP_037871534.1
OG0000183	XP_317936.4	XP_004930975.1
OG0000183	XP_307630.3	XP_004930971.1
OG0000184	XP_319373.1	XP_004932760.3
OG0000187	XP_318759.3	XP_004929301.1
OG0000188	XP_316795.2	NP_001037050.1
OG0000189	XP_559460.4, XP_003436249.1, XP_312117.5	XP_037875495.1, XP_037875337.1
OG0000189	XP_311343.4, XP_309276.4	XP_037875292.1, XP_037875291.1
OG0000190	XP_003436713.1, XP_312971.1	XP_004931167.1
OG0000191	XP_321501.2	XP_037872497.1
OG0000191	XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_037875388.1, XP_021208965.1, XP_021208964.2
OG0000192	XP_311585.4	XP_021207317.1
OG0000193	XP_311345.5, XP_315874.4, XP_315007.3, XP_001231036.2, XP_001231037.2, XP_308999.4, XP_318810.4, XP_308957.4, XP_001689131.1, XP_308841.4, XP_308724.4, XP_320534.4, XP_314500.4, XP_309445.3, XP_309413.3, XP_309418.3, XP_001230482.2, XP_001231172.1, XP_554273.3, XP_319956.4, XP_001231177.2, XP_309420.3, XP_309836.3, XP_309406.3, XP_309412.3, XP_554286.2, XP_001687788.1, XP_001689133.1, XP_001231178.2, XP_001689132.1, XP_001231173.2, XP_318533.3, XP_001688183.1, XP_309370.3, XP_318494.3, XP_309419.5, XP_001688186.1, XP_309416.4	XP_037877873.1, XP_021206153.2
OG0000196	XP_321556.3	XP_012545232.2
OG0000196	XP_001687817.2, XP_560491.4	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2
OG0000197	XP_308795.4	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1
OG0000198	XP_314495.3	XP_037870155.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_012550244.1, NP_001036841.1
OG0000201	XP_316379.4	XP_004930370.2
OG0000201	XP_312417.5	NP_001040155.1, NP_001040154.1
OG0000201	XP_003436144.1, XP_312416.4, XP_320665.4	XP_012552516.1, XP_012552521.1, NP_001243997.1, XP_004922761.1, XP_004922760.1, XP_004922779.1, XP_004931809.1, XP_004928423.2, XP_004931849.1, XP_004931273.1
OG0000203	XP_321914.5	XP_004930258.2, XP_037876006.1
OG0000203	XP_315944.3	XP_037867417.1
OG0000204	XP_003436222.1, XP_312208.4	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1
OG0000205	XP_001688795.1, XP_003436549.1	NP_001243944.1
OG0000206	XP_003435909.1, XP_321392.5	XP_004924015.1
OG0000206	XP_003436103.1, XP_563817.3	XP_004922930.2
OG0000207	XP_308487.3	NP_001037594.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	NP_001091793.1
OG0000208	XP_001688810.1, XP_316236.4	XP_037869032.1, NP_001103395.1
OG0000209	XP_001230643.2, XP_309738.3	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2
OG0000210	XP_001688664.1	XP_012544085.3
OG0000210	XP_319144.3, XP_319726.4, XP_317707.4	XP_037866888.1, XP_037866887.1
OG0000212	XP_554502.2, XP_318238.4	XP_037869182.1, NP_001106228.1
OG0000213	XP_309297.2	XP_004922013.1
OG0000214	XP_313425.3, XP_003436551.1	NP_001040475.1
OG0000214	XP_319075.3, XP_313331.4	NP_001040198.1, XP_037870587.1
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_037866848.1, XP_004930044.1
OG0000216	XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4	NP_001108343.1
OG0000217	XP_310550.5, XP_309658.5	XP_012548700.2, XP_004933855.2
OG0000217	XP_001237269.3	XP_037870903.1
OG0000218	XP_308642.4	XP_004930688.1
OG0000219	XP_309335.4	XP_004931785.1
OG0000221	XP_310745.5	XP_037867521.1, XP_021207573.1, XP_021207493.1, XP_004922691.2, XP_012551723.1, XP_012551720.1, XP_004922638.1, XP_037871234.1, XP_037877580.1, XP_037872846.1, XP_037877505.1, XP_037872849.1, XP_037872848.1, XP_037877503.1, XP_037877504.1, XP_037877506.1, XP_037877501.1, XP_037877502.1, XP_037872850.1, XP_037877579.1, XP_037877510.1, XP_037877561.1, XP_037877562.1
OG0000223	XP_320146.3	NP_001128672.1, XP_012550372.1, NP_001036840.1
OG0000223	XP_313748.3, XP_312116.4, XP_312115.1, XP_312118.4, XP_313747.1	NP_001159614.1, XP_037874607.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	XP_012545493.1, NP_001036891.1
OG0000225	XP_310636.2, XP_003437000.1	NP_001040252.1
OG0000226	XP_313395.2	NP_001127711.1, XP_021204237.1
OG0000226	XP_317851.1	XP_037873831.1, NP_001127712.1
OG0000227	XP_308342.4, XP_001237064.2	XP_012550182.2, XP_004931163.3, XP_012550180.2
OG0000229	XP_319805.4, XP_001238197.1, XP_001689211.1, XP_001689212.1	XP_037877602.1, XP_037877539.1, XP_037877538.1, XP_037877357.1, XP_037877541.1, XP_004927940.4, XP_037877290.1, XP_037877291.1, XP_037877358.1, XP_037877552.1
OG0000230	XP_001688611.1	XP_021208331.1, XP_004933333.1
OG0000231	XP_003436333.1, XP_316371.4	XP_037871854.1, XP_037877315.1
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_012546482.1, NP_001040472.1
OG0000233	XP_311447.4	XP_004928912.1, XP_004928913.2
OG0000235	XP_309952.4	XP_037877778.1, XP_012548383.2, XP_037877767.1, XP_037877779.1
OG0000236	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4	NP_001036882.1, XP_037871515.1, XP_037871704.1, XP_021205252.2
OG0000237	XP_559100.2	XP_004931804.1
OG0000237	XP_311581.3	XP_037875185.1
OG0000241	XP_553025.3	XP_012546361.1, XP_004929513.1, XP_004929472.2
OG0000242	XP_565621.4, XP_307986.5, XP_003436060.1, XP_308056.5	XP_004926535.1, XP_004926524.1, XP_037875026.1, XP_037874645.1, XP_037874644.1, XP_021203900.1, XP_037874701.1, NP_001266437.1, XP_021207354.1
OG0000244	XP_313365.4	XP_021202524.1
OG0000245	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2	NP_001037534.1, XP_037872283.1, XP_012548212.3, NP_001037335.1, XP_037872125.1
OG0000246	XP_319840.2, XP_319841.3	XP_012549895.1, NP_001037174.1
OG0000246	XP_319838.3	XP_004931016.1
OG0000247	XP_003436566.1	XP_037873736.1
OG0000248	XP_308379.4, XP_315470.5, XP_003435724.1	XP_021203484.2, XP_037872942.1
OG0000248	XP_316226.4	XP_012552972.1
OG0000249	XP_310971.5	NP_001138804.1, XP_012545064.1
OG0000249	XP_003436284.1, XP_312022.5	NP_001040143.1
OG0000250	XP_003436312.1, XP_003436311.1, XP_311978.5	XP_021206228.1, XP_004930144.1
OG0000251	XP_310768.4	XP_012550111.2
OG0000252	XP_321164.1	NP_001104796.1
OG0000253	XP_310451.4, XP_310450.4, XP_001238805.2	XP_021208580.1, NP_001037287.1
OG0000253	XP_316966.4	NP_001037285.1
OG0000254	XP_312967.3, XP_003436712.1	XP_004924523.1, XP_037876397.1
OG0000255	XP_003436960.1, XP_310845.5	XP_012543911.1, XP_012543887.2
OG0000256	XP_307890.5	NP_001093298.1, XP_037870495.1
OG0000257	XP_321870.5	XP_012551257.1, XP_012551255.1
OG0000257	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3	XP_004932600.1
OG0000258	XP_551868.2, XP_317054.1, XP_320222.2, XP_551869.1, XP_320226.1, XP_320224.2, XP_320225.1	NP_001037500.1
OG0000260	XP_550846.3	XP_004929696.2
OG0000261	XP_315985.3, XP_001688761.1	XP_004922950.1, NP_001303996.1
