Orthogroup	Anopheles_gambiae	Solenopsis_invicta
OG0000046	XP_001689308.2	XP_011168531.1, XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000050	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000051	XP_024667080.1, XP_024667095.1	XP_011172686.3
OG0000052	XP_319685.4	XP_039313337.1
OG0000052	XP_555802.2, XP_317786.3	XP_011160846.1
OG0000052	XP_320291.3	XP_025995966.1
OG0000053	XP_312615.1	XP_011171617.3, XP_039301894.1, XP_039302875.1, XP_039303382.1, XP_039312442.1, XP_039303380.1, XP_011174627.3
OG0000054	XP_556684.2	XP_011164393.2
OG0000054	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	XP_011164215.1, XP_011164214.2
OG0000055	XP_553645.3	XP_039311167.1
OG0000055	XP_312790.4	XP_039311121.1
OG0000055	XP_321277.5	XP_011162045.1
OG0000056	XP_318579.4	XP_039301684.1, XP_025992809.2
OG0000056	XP_550805.4	XP_011167471.3
OG0000057	XP_309765.4	XP_011165693.1
OG0000057	XP_314483.4	XP_011165692.1
OG0000060	XP_318748.4	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_039302873.1, XP_039310102.1
OG0000061	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4	XP_039311104.1
OG0000062	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1	XP_025989351.2
OG0000065	XP_321329.4	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000065	XP_565271.3	XP_039308740.1, XP_011176028.1, XP_011176027.2, XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1
OG0000067	XP_320481.4	XP_011168949.1
OG0000067	XP_315003.3, XP_001688603.1, XP_315671.4	XP_011157858.1, XP_025991420.1
OG0000067	XP_315363.4	XP_025989655.1
OG0000074	XP_321263.5	XP_025985929.1
OG0000077	XP_319941.4	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_316979.4, XP_321166.4	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000079	XP_001238492.1	XP_025987034.1, XP_025987035.1
OG0000079	XP_319818.4	XP_025987036.2
OG0000080	XP_313655.5	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_011173727.1
OG0000082	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2	XP_011158501.1, XP_039315682.1, XP_039315686.1, XP_039315687.1, XP_039315688.1, XP_039315689.1, XP_039315684.1, XP_039315685.1, XP_011158493.1, XP_011158531.2
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	XP_025987478.1, XP_025987477.1
OG0000086	XP_552698.3	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4	XP_025989498.1, XP_011170042.2
OG0000088	XP_317091.3	XP_025996218.1, XP_039311698.1
OG0000089	XP_319737.4	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_310298.6	XP_011171848.1
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1	XP_011165503.1
OG0000092	XP_321262.1, XP_003435947.1	XP_011162964.1
OG0000094	XP_317094.4, XP_001689000.1	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000094	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5	XP_039303166.1
OG0000095	XP_316096.4, XP_316098.3, XP_316099.4	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1
OG0000096	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4	XP_011156409.1, XP_039313932.1
OG0000096	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2	XP_039306601.1
OG0000097	XP_003436515.1, XP_003436516.1, XP_562379.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1, XP_025992182.1, XP_011159441.1
OG0000098	XP_314814.3	XP_025996352.1
OG0000099	XP_320987.5	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_312290.4	XP_039314426.1
OG0000099	XP_313462.4	XP_011164670.2
OG0000101	XP_321098.5	XP_011159599.3
OG0000101	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1	XP_025989569.1
OG0000102	XP_308709.4, XP_565152.3	XP_025989688.2, XP_025989699.1, XP_011164886.1, XP_011164887.1, XP_039303339.1, XP_039303337.1, XP_025989702.1, XP_025989701.1, XP_025989700.1, XP_011164888.1, XP_025989703.1
OG0000108	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_025985914.1
OG0000109	XP_309801.3	XP_011157413.1, XP_011157412.1
OG0000110	XP_001689285.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000112	XP_309025.4	XP_025989590.2
OG0000113	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4	XP_011169897.1, XP_011176341.1, XP_011176387.1
OG0000114	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4	XP_011161124.1
OG0000114	XP_314336.2	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	XP_311546.4	NP_001291541.1, XP_011165645.2, XP_011165643.1, XP_011165649.2, XP_011165650.1
OG0000116	XP_315806.4	XP_011158331.1, XP_039303768.1, XP_039303766.1
OG0000117	XP_318912.3	XP_011157894.1
OG0000117	XP_001238428.3	XP_011170972.1, XP_011170971.1
OG0000120	XP_319911.4	XP_011175144.2
OG0000121	XP_003436859.1	XP_039309015.1, XP_039302174.1, XP_025996815.1
OG0000122	XP_309303.3, XP_564139.3	XP_039310041.1
OG0000122	XP_552160.3	XP_039305859.1
OG0000123	XP_317585.4	XP_011169664.1
OG0000124	XP_312632.5	XP_039302015.1
OG0000125	XP_321447.5	XP_011166830.1, XP_011166831.1, XP_039307624.1
OG0000126	XP_003436885.1, XP_311618.2	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000127	XP_309323.2	XP_039307613.1, XP_039307615.1
OG0000129	XP_319208.4	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_314859.4	XP_039309465.1
OG0000130	XP_314860.4, XP_557898.3	XP_025991693.1, XP_025991692.1
OG0000131	XP_311973.1, XP_003436315.1	XP_011159624.1
OG0000131	XP_320516.2	XP_011168548.1, XP_011168539.1
OG0000132	XP_314281.4	XP_039305040.1, XP_011175354.1
OG0000132	XP_317287.4, XP_319288.2	XP_011162113.1
OG0000133	XP_001238215.2	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000135	XP_321549.1	XP_011168086.1
OG0000135	XP_308966.4	XP_025992521.1
OG0000136	XP_557311.3, XP_316252.2	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1
OG0000137	XP_313095.4	XP_039302269.1, XP_011164282.1, XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2
OG0000138	XP_310751.5	XP_011156769.2
OG0000139	XP_318027.4	XP_011163331.1, XP_011163323.1, XP_011163250.1, XP_011163312.2, XP_025992297.2, XP_039315649.1, XP_039315647.1, XP_039301829.1, XP_039315650.1, XP_039302240.1, XP_039302238.1, XP_039302239.1, XP_025994094.1, XP_039304648.1, XP_039304661.1, XP_039304659.1, XP_039304653.1, XP_039304655.1, XP_039304654.1, XP_039304658.1, XP_039304657.1, XP_039304656.1, XP_039304652.1, XP_039304651.1, XP_039304649.1, XP_039304664.1, XP_039304665.1, XP_039304663.1, XP_039304662.1
OG0000140	XP_308203.4	XP_039311174.1
OG0000141	XP_317639.4	XP_011173169.1
OG0000143	XP_311266.4, XP_311556.4	XP_011158940.1, XP_011158941.1
OG0000144	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4	XP_011155485.2, XP_011155484.1
OG0000145	XP_318854.4	XP_039310475.1, XP_039310474.1, XP_025989810.1
OG0000146	XP_556748.3	XP_011158610.1
OG0000146	XP_308640.2	XP_011157598.1
OG0000147	XP_312505.3, XP_003436127.1, XP_003436126.1	XP_039307845.1, XP_025987816.1, XP_039314750.1
OG0000149	XP_319018.3	XP_011168700.1
OG0000150	XP_316248.3	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1
OG0000151	XP_001687986.1	XP_011167344.2
OG0000152	XP_001688746.1, XP_315920.4	XP_011159593.1, XP_011159592.1
OG0000153	XP_315414.4	XP_025991417.2
OG0000156	XP_315693.3	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1
OG0000157	XP_319874.4, XP_319873.4	XP_039311111.1, XP_039311110.1
OG0000160	XP_314536.3	XP_025995468.2
OG0000160	XP_314534.4	XP_039307899.1
OG0000161	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2	XP_011171818.2, XP_011157167.1, XP_011171836.1
OG0000162	XP_310786.3	XP_011158164.1
OG0000162	XP_311918.3	XP_025990139.1
OG0000164	XP_552916.2	XP_011175603.2, XP_039313027.1
OG0000165	XP_311219.3	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1
OG0000165	XP_311252.5	XP_011173553.1
OG0000166	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1	XP_025986750.2, XP_025986751.2, XP_039305072.1, XP_039305077.1
OG0000168	XP_001688600.1, XP_314993.4, XP_001688601.1	XP_025989788.2
OG0000170	XP_315409.2	XP_011161394.2
OG0000171	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3	XP_011160261.1, XP_039309768.1, XP_011160941.1, XP_039309770.1, XP_011160937.1, XP_011160936.1
OG0000173	XP_313784.5	XP_025993243.1, XP_011165836.1, XP_039304290.1, XP_011165837.1, XP_011165835.1
OG0000174	XP_313394.4	XP_025991237.1, XP_025991236.1, XP_025991235.1, XP_025991234.1, XP_025991233.1, XP_039302167.1, XP_039302166.1
OG0000175	XP_001687949.1, XP_308467.4	XP_039302006.1, XP_039302007.1, XP_011157853.1
OG0000177	XP_309771.2	XP_025993788.1
OG0000177	XP_001230649.2	XP_011167661.1
OG0000178	XP_307952.5	XP_011165136.1
OG0000179	XP_003437002.1, XP_310632.5	XP_011164111.1
OG0000180	XP_003436547.1, XP_003436546.1, XP_313417.5	XP_011166951.1, XP_011166952.1, XP_025986052.1, XP_025986051.1
OG0000181	XP_321792.2	XP_025994298.1, XP_025994299.1, XP_039312812.1, XP_039312813.1, XP_011169149.1, XP_011169148.1
OG0000183	XP_311711.3	XP_011173713.1, XP_011173715.1
OG0000183	XP_317936.4	XP_025992667.1
OG0000184	XP_319373.1	XP_039308158.1, XP_039308138.1, XP_039308136.1
OG0000185	XP_001688361.2	XP_011158491.1, XP_011158492.1
OG0000186	XP_308393.4	XP_039303622.1, XP_025989743.2, XP_011172186.2, XP_039302616.1, XP_011172178.2, XP_011172155.1, XP_025989742.2, XP_011172133.1
OG0000187	XP_318759.3	XP_039309150.1, XP_011165088.1, XP_011165087.1
OG0000188	XP_316795.2	XP_011168465.1
OG0000189	XP_311343.4, XP_309276.4	XP_011170993.1, XP_039306223.1
OG0000190	XP_003436713.1, XP_312971.1	XP_011166168.1, XP_039304064.1, XP_025988559.1
OG0000191	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4	XP_039315120.1, XP_011164616.2
OG0000192	XP_311585.4	XP_039310511.1, XP_039310512.1, XP_039310513.1, XP_039310514.1, XP_025989114.2, XP_025989113.2, XP_011155855.2
OG0000194	XP_556986.2	XP_039304800.1
OG0000196	XP_321556.3	XP_039306717.1, XP_011171411.1, XP_011171412.1, XP_039306716.1
OG0000196	XP_001687817.2, XP_560491.4	XP_011161482.2
OG0000197	XP_308795.4	XP_011157191.1
OG0000198	XP_314495.3	XP_011163990.2, XP_039313887.1, XP_025994493.1
OG0000200	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1	XP_011170758.1
OG0000201	XP_316379.4	XP_025990401.2
OG0000201	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4	XP_039308817.1, XP_011165064.3, XP_039308820.1, XP_011165062.1, XP_011165070.2, XP_011165069.2
OG0000203	XP_321914.5	XP_011160113.1, XP_011160112.1
OG0000203	XP_315944.3	XP_011168468.1, XP_039309884.1
OG0000204	XP_003436222.1, XP_312208.4	XP_011157986.2, XP_039310926.1, XP_039310928.1, XP_039310930.1, XP_039310927.1, XP_025986662.2, XP_025986663.1, XP_011157989.1, XP_039310924.1, XP_025986661.1, XP_011157991.1, XP_011156232.2
OG0000205	XP_001688795.1, XP_003436549.1	XP_011168746.1, XP_039308307.1
OG0000206	XP_003435909.1, XP_321392.5	XP_025988777.2, XP_039314221.1, XP_039314222.1
OG0000206	XP_003436103.1, XP_563817.3	XP_039314588.1, XP_039314587.1, XP_039314586.1, XP_039302134.1, XP_039302063.1, XP_011172221.2, XP_011172346.2, XP_025993307.2
OG0000207	XP_308487.3	XP_025996998.1
OG0000207	XP_001688813.1, XP_001688814.1, XP_556880.3	XP_011156648.1, NP_001291516.1
OG0000208	XP_001688810.1, XP_316236.4	XP_011156625.1
OG0000208	XP_314845.4	XP_039313116.1, XP_039313117.1
OG0000209	XP_001230643.2, XP_309738.3	XP_011160517.1, XP_011160520.1
OG0000210	XP_001688664.1	XP_039301699.1, XP_011157224.2
OG0000210	XP_319144.3	XP_025991680.2
OG0000212	XP_554502.2, XP_318238.4	XP_011175849.1, XP_011175847.2
OG0000213	XP_309297.2	XP_039307097.1, XP_039307100.1, XP_039307098.1, XP_039307099.1, XP_039307096.1
OG0000214	XP_313425.3, XP_003436551.1	XP_011162082.1
OG0000214	XP_319075.3, XP_313331.4	XP_025990048.1, XP_025990047.1
OG0000215	XP_001689079.1, XP_001230280.1, XP_318019.4	XP_025993451.1, XP_039314411.1, XP_011167858.1, XP_011167862.1, XP_039314414.1, XP_039314413.1, XP_011167867.1, XP_039314640.1
OG0000216	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4	XP_011163750.1
OG0000217	XP_310550.5, XP_309658.5, XP_001237269.3	XP_011155464.2
OG0000218	XP_308642.4	XP_011160002.1, XP_011160001.1, XP_011160003.1, XP_011160000.1
OG0000219	XP_309335.4	XP_011168754.1, XP_011168753.1, XP_011168751.1, XP_011168750.1, XP_011168748.1
OG0000220	XP_314482.4	XP_039306555.1, XP_039306557.1, XP_039306558.1, XP_039306556.1, XP_039306554.1, XP_011172901.1
OG0000221	XP_310745.5	XP_025986297.1
OG0000223	XP_320146.3	XP_011166243.1
OG0000223	XP_308984.1	XP_011158143.1
OG0000224	XP_312099.2, XP_312102.4, XP_003436251.1	XP_011167331.2, XP_025988662.1, XP_011167330.1, XP_025988660.1
OG0000225	XP_310636.2, XP_003437000.1	XP_011163590.1, XP_011163589.1, XP_039304922.1, XP_011163592.1
OG0000226	XP_313395.2	XP_039305990.1, XP_011165709.2, XP_039305989.1, XP_025988432.1, XP_025988435.1
OG0000226	XP_317851.1	XP_025988429.1
OG0000227	XP_308342.4, XP_001237064.2	XP_025988617.1, XP_025988616.1
OG0000230	XP_001688611.1	XP_039310937.1, XP_011157985.1
OG0000231	XP_003436333.1, XP_316371.4	XP_039311197.1, XP_025994418.1, XP_025994419.1, XP_025994417.1
OG0000232	XP_315941.1, XP_315942.3, XP_315943.3	XP_011161208.1, XP_011161207.1
OG0000233	XP_311447.4	XP_011165376.2, XP_011165374.2, XP_011165377.1, XP_011165378.1, XP_011165383.1, XP_025993530.1, XP_011165381.1, XP_011165400.1, XP_025993534.2
OG0000234	XP_314989.4, XP_316577.4	XP_039301750.1, XP_039301749.1, XP_025986027.1, XP_025986025.2, XP_025986029.1, XP_025986030.1, XP_025986032.1, XP_025986033.1, XP_025986034.1, XP_025992614.1, XP_011166748.1, XP_039301747.1, XP_011166749.1, XP_011166747.1, XP_011166745.1, XP_011166746.1
OG0000235	XP_309952.4	XP_039301746.1, XP_011176069.1, XP_011176072.1, XP_011176068.1
OG0000236	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4	XP_011164467.1
