Orthogroup	Polistes_dominula	Aedes_aegypti
OG0000012	XP_015184231.1, XP_015181630.1, XP_015184244.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_015172623.1	XP_001657156.1, XP_021706806.1, XP_021706807.1, XP_001662236.1, XP_001657279.1, XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1, XP_021711153.1, XP_021701440.1, XP_021706666.1, XP_021706667.1
OG0000013	XP_015174269.1	XP_021707704.1
OG0000013	XP_015172185.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_015177523.1	XP_021712022.1, XP_021712028.1
OG0000016	XP_015189959.1, XP_015184181.1, XP_015189904.1, XP_015182291.1, XP_015176614.1, XP_015189259.1, XP_015184966.1, XP_015171454.1, XP_015189561.1, XP_015190988.1, XP_015189498.1, XP_015189980.1, XP_015189915.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1
OG0000017	XP_015180943.1, XP_015180944.1	XP_001658010.2
OG0000017	XP_015183882.1, XP_015180945.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_015184408.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_015186827.1	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_015186828.1, XP_015175602.1	XP_021706781.1
OG0000019	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_015172147.1, XP_015182221.1, XP_015189673.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_015183576.1, XP_015183590.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_015171445.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_015183950.1, XP_015183951.1, XP_015183952.1	XP_021705068.1
OG0000020	XP_015184365.1	XP_021703783.1
OG0000020	XP_015181633.1	XP_021699908.1
OG0000021	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_015190080.1	XP_021699404.1
OG0000021	XP_015188837.1, XP_015184407.1	XP_021713110.1, XP_001662165.1
OG0000022	XP_015174052.1	XP_001657157.1, XP_001657152.1, XP_001657149.1, XP_001662624.1
OG0000022	XP_015179778.1	XP_001657264.1
OG0000022	XP_015177598.1	XP_001657267.1, XP_021705823.1, XP_021705017.1, XP_021705021.1, XP_021706527.1, XP_021706530.1, XP_021706531.1, XP_021706558.1, XP_021706529.1, XP_021706526.1, XP_021706571.1, XP_021706528.1, XP_021705296.1, XP_001657271.1, XP_001657278.1, XP_021706534.1, XP_021706548.1, XP_001652489.1, XP_001656988.1, XP_021706565.1, XP_021706568.1
OG0000024	XP_015181175.1, XP_015181294.1, XP_015189755.1	XP_001653943.1, XP_021708435.1, XP_011492953.2, XP_011492954.2, XP_001659308.2, XP_011492952.2, XP_001661001.2, XP_001661002.2, XP_011493633.2, XP_021711830.1, XP_001660615.1, XP_001656527.2
OG0000026	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1	XP_021706420.1
OG0000026	XP_015174903.1	XP_021708568.1, XP_021708571.1
OG0000027	XP_015172634.1	XP_001657154.1, XP_001657155.1, XP_021705028.1, XP_001663888.1, XP_021706536.1, XP_021706547.1, XP_021706542.1
OG0000027	XP_015177662.1	XP_021706523.1
OG0000029	XP_015172519.1, XP_015172507.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_015185507.1	XP_001664018.2
OG0000029	XP_015172137.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_015180792.1, XP_015180789.1, XP_015172637.1	XP_001658050.1
OG0000032	XP_015190440.1	XP_021702783.1
OG0000032	XP_015191817.1	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1
OG0000032	XP_015190537.1, XP_015182537.1, XP_015182533.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000035	XP_015172482.1	XP_001650274.2, XP_001662128.2
OG0000036	XP_015175819.1	XP_001655506.1
OG0000036	XP_015175890.1	XP_001655517.2, XP_021697914.1, XP_001655495.1, XP_021711882.1
OG0000036	XP_015174610.1, XP_015174768.1	XP_021695536.1
OG0000037	XP_015184679.1	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1
OG0000038	XP_015179360.1	XP_001652144.1, XP_001663407.1
OG0000038	XP_015179091.1	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1
OG0000038	XP_015179361.1	XP_021694449.1
OG0000040	XP_015176238.1, XP_015176239.1	XP_001659969.2, XP_001659962.1
OG0000040	XP_015175500.1, XP_015186212.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	XP_015179139.1, XP_015179141.1	XP_001659963.1
OG0000042	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1	XP_021693433.1
OG0000043	XP_015177490.1, XP_015177491.1	XP_001660749.1
OG0000043	XP_015187201.1	XP_001660753.1
OG0000044	XP_015184594.1	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2
OG0000044	XP_015184599.1	XP_021712943.1
OG0000045	XP_015183311.1, XP_015183284.1, XP_015173221.1, XP_015183312.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_015179269.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_015189296.1	XP_021693655.1, XP_021693654.1, XP_021693653.1, XP_021693651.1, XP_021693652.1, XP_021693649.1
OG0000046	XP_015177712.1, XP_015174688.1, XP_015174687.1	XP_021707697.1
OG0000047	XP_015181292.1, XP_015182538.1, XP_015189429.1, XP_015189816.1, XP_015189433.1	XP_021713287.1, XP_021713290.1, XP_021698064.1, XP_021698875.1, XP_021705066.1, XP_021697550.1
OG0000050	XP_015187332.1, XP_015175623.1	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000052	XP_015175045.1	XP_021711564.1
OG0000054	XP_015175295.1, XP_015175296.1, XP_015175389.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_015171080.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_015176664.1	XP_001654841.2
OG0000056	XP_015176704.1, XP_015178312.1	XP_021702305.1
OG0000056	XP_015175416.1	XP_021704129.1
OG0000056	XP_015181325.1	XP_021704390.1
OG0000057	XP_015171970.1	XP_001656025.1
OG0000057	XP_015173587.1, XP_015171878.1	XP_021701591.1
OG0000057	XP_015171877.1	XP_001656026.2
OG0000057	XP_015171777.1	XP_001650054.1
OG0000060	XP_015185766.1, XP_015185775.1	XP_001663993.2
OG0000060	XP_015181080.1, XP_015181079.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_015178059.1, XP_015188543.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_015177990.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000062	XP_015179445.1	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000065	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1	XP_011493201.1
OG0000067	XP_015179349.1	XP_001653435.1
OG0000067	XP_015180637.1	XP_001654897.1
OG0000067	XP_015184670.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_015182629.1	XP_001661370.1, XP_021698916.1
OG0000071	XP_015181519.1, XP_015184877.1	XP_021703680.1, XP_021702229.1, XP_021694311.1, XP_021706464.1, XP_021703997.1, XP_021695236.1, XP_021701192.1, XP_021709271.1, XP_021695636.1, XP_021710570.1, XP_021708727.1, XP_021702221.1, XP_021706502.1, XP_021694267.1
OG0000071	XP_015189177.1	XP_021696059.1
OG0000077	XP_015188023.1	XP_001658180.2
OG0000077	XP_015179002.1, XP_015185970.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000079	XP_015176392.1	XP_001662329.1
OG0000080	XP_015185202.1, XP_015185201.1, XP_015185203.1	XP_021693685.1
OG0000082	XP_015175969.1, XP_015175974.1, XP_015175968.1	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_015172015.1, XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_015175698.1	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_015179311.1	XP_001648461.1, XP_001648458.1
OG0000087	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_015175828.1	XP_021702205.1
OG0000089	XP_015191649.1	XP_001654187.2
OG0000091	XP_015190282.1, XP_015190273.1	XP_021699738.1
OG0000092	XP_015182560.1	XP_021707375.1
OG0000092	XP_015180692.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_015176150.1, XP_015184885.1	XP_021702456.1, XP_001660396.2
OG0000094	XP_015189233.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000094	XP_015175380.1	XP_021704594.1
OG0000095	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1	XP_001649682.2
OG0000096	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_015178304.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_015172032.1, XP_015172041.1, XP_015182319.1, XP_015182320.1, XP_015177848.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1	XP_001660410.1
OG0000099	XP_015176643.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_015176645.1	XP_001650952.2
OG0000099	XP_015179938.1	XP_021710287.1
OG0000100	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1	XP_001662579.2
OG0000101	XP_015184968.1	XP_001652481.1
OG0000101	XP_015178204.1, XP_015178201.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1
OG0000102	XP_015177204.1, XP_015177230.1, XP_015177232.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_015173914.1	XP_001661506.1
OG0000108	XP_015181990.1, XP_015182011.1, XP_015191850.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1	XP_021709303.1
OG0000110	XP_015177093.1, XP_015180892.1	XP_021711612.1, XP_021711613.1
OG0000111	XP_015188005.1	XP_021704753.1
OG0000112	XP_015188234.1, XP_015188235.1, XP_015188236.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_015180272.1, XP_015180273.1	XP_021703753.1
OG0000113	XP_015185884.1, XP_015172979.1, XP_015172980.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_015171118.1	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1
OG0000114	XP_015171119.1	XP_001656658.2
OG0000115	XP_015171184.1, XP_015171185.1, XP_015183848.1, XP_015183846.1	XP_021711348.1
OG0000116	XP_015173852.1, XP_015173854.1, XP_015173853.1, XP_015173840.1, XP_015173841.1	XP_021695569.1
OG0000117	XP_015176195.1	XP_001658273.1
OG0000117	XP_015171648.1, XP_015171595.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000118	XP_015179538.1	XP_021693048.1, XP_021707566.1, XP_021707125.1, XP_021697078.1, XP_021700766.1, XP_021698879.1
OG0000118	XP_015189851.1, XP_015188881.1, XP_015188882.1, XP_015185809.1, XP_015188686.1	XP_021693212.1
OG0000119	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1	XP_021702687.1
OG0000121	XP_015189427.1	XP_021706922.1, XP_021703681.1, XP_021707262.1, XP_021711713.1, XP_021696466.1, XP_021696467.1, XP_021712906.1, XP_021712905.1, XP_021694710.1
OG0000122	XP_015172102.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_015172140.1	XP_021707885.1
OG0000123	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_015173329.1, XP_015173327.1, XP_015173328.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_015191429.1	XP_001657204.2
OG0000126	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1	XP_021694197.1
OG0000127	XP_015178412.1, XP_015178414.1, XP_015189033.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	XP_015188504.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_015185341.1, XP_015185342.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_015177984.1, XP_015177985.1, XP_015177986.1	XP_021695251.1
OG0000130	XP_015178018.1, XP_015178019.1	XP_021700367.1
OG0000131	XP_015188702.1	XP_021705306.1
OG0000131	XP_015181077.1, XP_015181078.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_015173499.1, XP_015173500.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_015188177.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_015173823.1	XP_021702724.1, XP_021702723.1
OG0000135	XP_015190379.1, XP_015190377.1, XP_015190378.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	XP_015186255.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	XP_015182073.1	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_015174184.1, XP_015176307.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1, XP_015181777.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_015184451.1, XP_015184450.1, XP_015184449.1	XP_001663072.2
OG0000140	XP_015172454.1	XP_021702905.1
OG0000141	XP_015191838.1	XP_021706046.1
OG0000141	XP_015178844.1, XP_015178845.1	XP_001663030.2
OG0000143	XP_015188708.1, XP_015188709.1, XP_015188710.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	XP_015177945.1, XP_015177944.1, XP_015177942.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1, XP_015191830.1, XP_015191831.1, XP_015191832.1	XP_001661017.2
OG0000146	XP_015178326.1, XP_015178324.1	XP_001662762.1, XP_021707130.1, XP_001649220.1
OG0000146	XP_015181347.1	XP_001660580.2
OG0000147	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1, XP_015172908.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_015183082.1	XP_021701465.1
OG0000149	XP_015183081.1, XP_015183080.1, XP_015183079.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1	XP_021697798.1
OG0000152	XP_015177279.1	XP_001653160.1
OG0000153	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1	XP_001662815.2
OG0000156	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1	XP_021696919.1, XP_021712121.1
OG0000157	XP_015176246.1	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_015180258.1, XP_015180556.1, XP_015179489.1, XP_015179488.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_015185930.1	XP_021709766.1
OG0000160	XP_015184081.1	XP_021707900.1, XP_021710525.1, XP_001662274.1
OG0000161	XP_015176784.1	XP_001656119.2
OG0000162	XP_015186367.1	XP_021694432.1
OG0000162	XP_015182682.1	XP_021706951.1
OG0000164	XP_015180421.1, XP_015180420.1	XP_021710131.1, XP_021698765.1
OG0000164	XP_015191636.1, XP_015191547.1, XP_015191637.1, XP_015191588.1	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1
OG0000165	XP_015185448.1	XP_021697212.1
OG0000165	XP_015174982.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000169	XP_015174834.1, XP_015178625.1, XP_015181526.1	XP_021702706.1
OG0000170	XP_015191093.1, XP_015191092.1	XP_001654345.1
OG0000170	XP_015191094.1, XP_015191097.1, XP_015191098.1	XP_021699236.1
OG0000171	XP_015174391.1, XP_015174730.1	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000173	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1	XP_021694163.1, XP_001649426.1
OG0000174	XP_015191732.1, XP_015191730.1, XP_015191731.1	XP_021704325.1, XP_021704326.1
OG0000175	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1	XP_001654240.1
OG0000177	XP_015191041.1	XP_001651644.2
OG0000177	XP_015190999.1	XP_021707471.1, XP_021707472.1
OG0000178	XP_015179140.1	XP_021707000.1, XP_021706999.1
OG0000179	XP_015184549.1	XP_001655662.1, XP_021712235.1
OG0000180	XP_015171486.1, XP_015171485.1, XP_015171484.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000181	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1	XP_001656977.3
OG0000183	XP_015175162.1	XP_001655456.2
OG0000183	XP_015181592.1	XP_021704629.1, XP_021704627.1
OG0000185	XP_015175891.1, XP_015175892.1, XP_015175893.1	XP_001651366.1
OG0000186	XP_015183983.1, XP_015183981.1	XP_001658387.1, XP_021710177.1, XP_001652490.2
OG0000187	XP_015180155.1, XP_015180146.1, XP_015180136.1	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1
OG0000188	XP_015176881.1, XP_015174592.1	XP_021704883.1
OG0000189	XP_015173121.1, XP_015173134.1	XP_001655460.2
OG0000189	XP_015171025.1	XP_001655465.2, XP_001655464.2
OG0000190	XP_015184945.1	XP_001660557.1
OG0000191	XP_015179465.1, XP_015179466.1	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1
OG0000192	XP_015178452.1	XP_001664087.2
OG0000194	XP_015173607.1	XP_001658607.2
OG0000196	XP_015178964.1	XP_021709422.1, XP_021709426.1
OG0000198	XP_015173178.1	XP_021706486.1
OG0000200	XP_015187594.1	XP_001655242.1
OG0000201	XP_015179138.1	XP_001663057.1
OG0000203	XP_015176004.1	XP_001662504.2
OG0000203	XP_015174579.1, XP_015174578.1	XP_021697410.1
OG0000204	XP_015182497.1, XP_015177887.1, XP_015179941.1	XP_021704598.1, XP_021704597.1, XP_001656463.1
OG0000205	XP_015183111.1, XP_015183110.1	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1
OG0000206	XP_015186289.1	XP_001651825.1, XP_021704991.1
OG0000206	XP_015186290.1, XP_015186291.1	XP_001648552.1
OG0000207	XP_015175962.1	XP_001650660.1
OG0000207	XP_015186420.1, XP_015186417.1	XP_021698130.1
OG0000208	XP_015186385.1	XP_021698134.1, XP_021698133.1
OG0000208	XP_015173568.1	XP_001653727.1
OG0000209	XP_015184955.1	XP_021711015.1, XP_021711016.1
OG0000210	XP_015177416.1, XP_015180468.1	XP_021702938.1
OG0000210	XP_015185061.1	XP_001655152.2
OG0000212	XP_015179526.1, XP_015179527.1, XP_015185495.1, XP_015185494.1	XP_001650168.2, XP_001650170.2, XP_001650169.2, XP_021705033.1
OG0000213	XP_015189481.1	XP_001660162.2
OG0000214	XP_015190491.1	XP_001653648.2
OG0000214	XP_015175994.1	XP_001660495.2, XP_001648014.1
OG0000215	XP_015185000.1, XP_015185001.1	XP_001650687.1
