Orthogroup	Polistes_dominula	Acyrthosiphon_pisum
OG0000022	XP_015174052.1	XP_003244391.2, XP_029347151.1, XP_029347343.1
OG0000022	XP_015173497.1, XP_015179778.1, XP_015177598.1	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2
OG0000023	XP_015177524.1, XP_015173448.1, XP_015181269.1	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1
OG0000024	XP_015188584.1, XP_015188403.1, XP_015171793.1, XP_015182123.1	XP_001949358.2
OG0000024	XP_015181825.1, XP_015181175.1, XP_015181294.1, XP_015189755.1, XP_015181824.1	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1
OG0000026	XP_015181461.1, XP_015181460.1	XP_029342349.1, XP_029342350.1
OG0000026	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1	XP_029343074.1
OG0000026	XP_015174903.1	XP_029345451.1
OG0000026	XP_015191534.1, XP_015187302.1	XP_029342414.1
OG0000027	XP_015172634.1	NP_001156692.1
OG0000027	XP_015190876.1, XP_015177661.1, XP_015177662.1, XP_015172645.1	XP_008190046.1
OG0000028	XP_015180764.1, XP_015189418.1, XP_015189902.1	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1, XP_008180486.1
OG0000029	XP_015172519.1, XP_015172507.1	XP_016663309.2, XP_001952418.1
OG0000029	XP_015172137.1	NP_001165726.1, XP_001947860.1
OG0000030	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2
OG0000032	XP_015190440.1	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1
OG0000032	XP_015184211.1	XP_029347116.1, XP_001949029.2, XP_016662740.1
OG0000032	XP_015191817.1	XP_003243898.1
OG0000035	XP_015172482.1	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1
OG0000037	XP_015184679.1	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1
OG0000038	XP_015179362.1, XP_015179360.1	XP_001948685.1
OG0000038	XP_015179361.1	XP_003243865.1
OG0000039	XP_015189306.1, XP_015189985.1	XP_016661651.1
OG0000039	XP_015189936.1	XP_029341489.1
OG0000041	XP_015179142.1, XP_015179139.1, XP_015179141.1	NP_001136108.1, XP_001948457.2
OG0000042	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1	XP_016662708.1, XP_008186444.1
OG0000042	XP_015171717.1, XP_015171718.1, XP_015171719.1	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1
OG0000043	XP_015177490.1, XP_015177491.1	NP_001128404.1, XP_029342103.1, NP_001119651.1
OG0000044	XP_015184594.1	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2
OG0000045	XP_015183311.1, XP_015183284.1, XP_015173221.1, XP_015183312.1	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2
OG0000045	XP_015172085.1	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1
OG0000046	XP_015179269.1	XP_008184380.1, NP_001156420.1
OG0000046	XP_015189296.1	XP_008190051.1, XP_001951915.1, XP_003248918.1, XP_001945786.2
OG0000046	XP_015177712.1, XP_015174688.1, XP_015174687.1	XP_001951207.1, XP_003244048.1
OG0000047	XP_015181292.1, XP_015182538.1, XP_015189429.1, XP_015189816.1, XP_015189433.1	XP_008188471.1, XP_008182780.1, XP_008182496.1, XP_008180759.1, XP_016661993.1, XP_029348003.1, XP_029342264.1, XP_029341344.1, XP_008178222.1, XP_008178291.1, XP_029341022.1, XP_008178525.1, XP_008189339.1, XP_008185268.1, XP_008178820.1, XP_016660548.2, XP_003245376.1, XP_003241214.1, XP_008188668.1, XP_008181747.1, XP_008178517.2, XP_003244703.1, XP_008189952.1, XP_008185493.1, XP_029347997.1, XP_016663902.1, XP_016656212.1, NP_001233059.1, NP_001191896.1, XP_029348349.1, XP_008180703.1, XP_008183156.1, XP_001944531.1, XP_008190228.1, XP_029348058.1, XP_001951909.1, XP_008181765.1, XP_008189984.1, XP_029345735.1, XP_008187181.1, XP_016659199.2, XP_008182981.1, XP_008184725.1, XP_008189733.1, XP_008178797.1
OG0000048	XP_015178594.1, XP_015178617.1, XP_015178621.1, XP_015178591.1, XP_015178587.1, XP_015178618.1, XP_015178612.1, XP_015178590.1, XP_015178619.1, XP_015178620.1, XP_015178616.1, XP_015178592.1	XP_016662412.1
OG0000050	XP_015187332.1, XP_015175623.1	XP_008186168.1, XP_029344195.1
OG0000051	XP_015188887.1	XP_008181670.1
OG0000052	XP_015186733.1	XP_008180304.1, XP_008180303.1
OG0000052	XP_015175045.1	XP_003243917.1, XP_001950194.2
OG0000053	XP_015179305.1, XP_015189792.1, XP_015186004.1	XP_008178754.1, XP_008188582.3
OG0000054	XP_015175390.1, XP_015175295.1, XP_015175296.1, XP_015175389.1	NP_001162107.1, XP_003243273.1, NP_001233051.1
OG0000055	XP_015171080.1	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1
OG0000055	XP_015173765.1, XP_015173767.1	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1
OG0000056	XP_015176704.1, XP_015178312.1	XP_029341785.1, XP_016658856.2
OG0000056	XP_015175416.1	XP_029347390.1, XP_029340985.1
OG0000056	XP_015181793.1, XP_015173622.1	XP_029341336.1
OG0000056	XP_015181325.1	XP_029345472.1, XP_029341337.1
OG0000057	XP_015171970.1	NP_001177327.1
OG0000057	XP_015171877.1	XP_008190203.1
OG0000060	XP_015185766.1, XP_015185775.1	XP_029341750.1
OG0000060	XP_015181080.1, XP_015181079.1	XP_016660546.1
OG0000061	XP_015178059.1, XP_015188543.1	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1
OG0000061	XP_015177990.1	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2
OG0000062	XP_015179445.1, XP_015173092.1, XP_015178479.1	XP_001951309.3
OG0000063	XP_015186953.1	XP_029344845.1, XP_008182880.3, XP_029340943.1, XP_016657780.1, XP_008181901.1, XP_008190133.2, XP_029345920.1, XP_029344123.1, XP_008187560.1, XP_029348250.1
OG0000065	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1	XP_001943808.2
OG0000066	XP_015189741.1, XP_015189693.1, XP_015189896.1	XP_008178755.1, XP_029348396.1, XP_029347905.1, XP_008187418.1, XP_029347848.1, XP_008178341.1, XP_008189191.1, XP_029347833.1, XP_029347832.1
OG0000066	XP_015176551.1	XP_008180329.2, XP_008180328.1
OG0000066	XP_015189876.1	XP_008180330.1, XP_008184253.1, XP_008178157.1, XP_008182364.1, XP_008182864.1, XP_029341012.1, XP_008179068.1, XP_016656442.1, XP_016656220.2, XP_008179054.1, XP_008189844.1, XP_029341034.1, XP_029348339.1, XP_029341294.1, XP_008180143.1, XP_016660748.1, XP_008181152.1
OG0000067	XP_015179349.1	XP_001948642.2
OG0000067	XP_015180637.1	XP_016658458.1
OG0000067	XP_015184670.1	XP_029347451.1, XP_001948493.1
OG0000067	XP_015182629.1	XP_008185788.1
OG0000069	XP_015175625.1, XP_015175624.1	XP_029344273.1
OG0000071	XP_015181519.1, XP_015184877.1	XP_016655856.1, XP_008178182.1
OG0000071	XP_015189177.1	XP_029340979.1, XP_029348230.1
OG0000072	XP_015176122.1	XP_016661629.1, XP_008185485.1, XP_008185666.1, XP_008181048.1, XP_008189623.1
OG0000074	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1, XP_015188205.1, XP_015188227.1	XP_016661872.1
OG0000075	XP_015189044.1, XP_015182495.1, XP_015189743.1, XP_015189925.1, XP_015190539.1, XP_015189824.1, XP_015189304.1	XP_016662368.1
OG0000077	XP_015188023.1	XP_001945190.2
OG0000077	XP_015179002.1, XP_015185970.1	XP_008187030.1
OG0000079	XP_015174902.1, XP_015176401.1	XP_001952588.1
OG0000080	XP_015185202.1, XP_015185201.1, XP_015185203.1	XP_001952817.1, XP_003241505.1
OG0000080	XP_015185196.1	XP_003240094.1
OG0000081	XP_015179051.1, XP_015179053.1, XP_015179052.1, XP_015179158.1, XP_015179157.1	XP_016660637.1, XP_003245950.2
OG0000084	XP_015180887.1, XP_015180880.1	NP_001155431.1
OG0000085	XP_015172015.1, XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1
OG0000086	XP_015175698.1	XP_001950197.2
OG0000087	XP_015179311.1, XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2
OG0000088	XP_015175828.1	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1
OG0000091	XP_015190282.1, XP_015190273.1	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2
OG0000092	XP_015182560.1, XP_015171266.1, XP_015171261.1, XP_015180692.1	XP_001947820.1
OG0000093	XP_015189759.1, XP_015189715.1, XP_015189435.1, XP_015189434.1, XP_015189747.1, XP_015189679.1, XP_015189257.1, XP_015185820.1	XP_016662984.1, XP_008187890.1
OG0000094	XP_015176150.1, XP_015184885.1, XP_015189233.1, XP_015175380.1	XP_001948596.2
OG0000097	XP_015172032.1, XP_015172041.1, XP_015182319.1, XP_015182320.1, XP_015177848.1	XP_001948740.2, XP_008182369.1, XP_029347936.1
OG0000098	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1	NP_001153821.1, XP_008189785.1
OG0000099	XP_015176643.1	XP_001945365.2
OG0000099	XP_015176645.1	XP_001945213.1
OG0000099	XP_015179938.1	XP_001951744.1
OG0000100	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1	XP_001944985.1
OG0000101	XP_015184968.1	XP_001950980.2, XP_001945570.2
OG0000101	XP_015178204.1, XP_015178201.1	XP_001952301.1
OG0000102	XP_015177204.1, XP_015177230.1, XP_015177232.1	XP_001946994.2
OG0000103	XP_015174400.1, XP_015174392.1, XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1	XP_003248994.1, XP_003243120.1
OG0000104	XP_015187529.1	XP_008181757.1, XP_008181533.1
OG0000104	XP_015189625.1	XP_029342106.1, XP_016658006.1, XP_008178655.1, XP_008179320.1, XP_008181446.1, XP_029342761.1, XP_008180847.1, XP_029340938.1, XP_008178518.1, XP_008181591.1, XP_029341027.1, XP_003243695.1, XP_008178185.1, XP_029340942.1, XP_008181905.1, XP_008179458.1, XP_008183016.1, XP_016659447.1, XP_008181534.1, XP_003248346.1, XP_029348373.1, XP_008179041.1, XP_029344207.1, XP_008178312.1, XP_029348267.1, XP_029341870.1, XP_008181820.1, XP_008178936.1, XP_003248303.1
OG0000107	XP_015188217.1, XP_015188216.1	XP_029345198.1, XP_029341479.1, XP_008189907.1, XP_008189468.1, XP_003247570.2, XP_001945116.1
OG0000107	XP_015187650.1	XP_029348381.1, XP_029344671.1, XP_008178550.1, XP_016655741.2
OG0000108	XP_015182534.1	XP_029345815.1
OG0000108	XP_015181990.1, XP_015182011.1, XP_015191850.1	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2
OG0000109	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1	XP_001947883.2
OG0000112	XP_015188234.1, XP_015188235.1, XP_015188236.1, XP_015180272.1, XP_015180273.1	XP_001944328.2
OG0000113	XP_015185884.1, XP_015172979.1, XP_015172980.1	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1
OG0000115	XP_015171184.1, XP_015171185.1, XP_015183848.1, XP_015183846.1	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1
OG0000117	XP_015176195.1	XP_001947242.1
OG0000117	XP_015171648.1, XP_015171595.1	XP_001945228.1
OG0000118	XP_015179538.1	XP_029341141.1, XP_008185311.1, XP_008187147.1, XP_029348257.1, XP_029348362.1, XP_008182359.1, XP_029343705.1
OG0000118	XP_015189851.1, XP_015188881.1, XP_015188882.1	XP_008189839.1, XP_008189627.1, XP_008179538.1, XP_016662321.1, XP_008189592.1, XP_029348354.1
OG0000118	XP_015185809.1, XP_015188686.1	XP_029343559.1, XP_008182581.1, XP_029342924.1, XP_029341532.1
OG0000119	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1	XP_001950896.2, XP_001946809.2
OG0000120	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1
OG0000121	XP_015189427.1	XP_008183345.1, XP_029345745.1, XP_008188786.1, XP_029348186.1, XP_003241093.1, XP_003240188.1, XP_016664577.1, XP_008188998.1, XP_008187751.1, XP_008186009.1
OG0000122	XP_015172102.1	XP_029345164.1
OG0000122	XP_015182416.1, XP_015182415.1	XP_029345159.1, XP_001942872.1
OG0000123	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1	XP_001944241.1
OG0000124	XP_015173329.1, XP_015173327.1, XP_015173328.1	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1
OG0000125	XP_015191429.1	XP_029343174.1, XP_029343175.1
OG0000126	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1	XP_029344350.1
OG0000127	XP_015178412.1, XP_015178414.1, XP_015189033.1	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2
OG0000127	XP_015188504.1	XP_016661891.1
OG0000129	XP_015185341.1, XP_015185342.1	XP_029342557.1, XP_003243980.1, XP_008182280.1
OG0000130	XP_015177984.1, XP_015177985.1, XP_015177986.1	XP_008188212.1
OG0000130	XP_015178018.1, XP_015178019.1	XP_029347188.1
OG0000131	XP_015188702.1	NP_001119635.1
OG0000131	XP_015181077.1, XP_015181078.1	XP_001944342.1, NP_001280296.1
OG0000132	XP_015173499.1, XP_015173500.1, XP_015188177.1	XP_001944867.2, XP_008188761.1
OG0000133	XP_015173823.1, XP_015171178.1	XP_001947717.2, XP_029346829.1
OG0000135	XP_015176354.1, XP_015190379.1, XP_015190377.1, XP_015190378.1, XP_015186255.1	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1
OG0000137	XP_015174184.1, XP_015176307.1	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1
OG0000138	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1, XP_015181777.1	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2
OG0000139	XP_015184451.1, XP_015184450.1, XP_015184449.1	XP_001949990.1
OG0000140	XP_015172454.1	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1
OG0000141	XP_015172584.1, XP_015191838.1, XP_015178844.1, XP_015178845.1	XP_029343859.1
OG0000143	XP_015188708.1, XP_015188709.1, XP_015188710.1	XP_008183821.1, XP_001945042.2
OG0000146	XP_015178326.1, XP_015178324.1, XP_015181347.1	NP_001119627.1
OG0000147	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1, XP_015172908.1	NP_001119678.1
OG0000149	XP_015183082.1	NP_001233210.1, XP_008189229.1
OG0000149	XP_015183081.1, XP_015183080.1, XP_015183079.1	XP_001945852.2
OG0000150	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1
OG0000151	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1	NP_001232992.1
OG0000152	XP_015177279.1	XP_001950609.1
OG0000153	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1	XP_001952790.2
OG0000154	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1
OG0000155	XP_015186403.1	XP_029348437.1, XP_016656063.1, XP_016662687.1, XP_008181355.1
OG0000156	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1	XP_016659611.1
OG0000160	XP_015185930.1	XP_001951963.1
OG0000160	XP_015184081.1	XP_008184790.2, NP_001280442.1, XP_001944828.2, XP_001944881.1, XP_029342333.1, NP_001280272.1, NP_001233238.1, XP_008184532.1, XP_029342331.1, NP_001280469.1, XP_029341215.1
OG0000161	XP_015176784.1	XP_001950765.1
OG0000162	XP_015186367.1	XP_029346510.1
OG0000162	XP_015182682.1	XP_016657938.1, XP_008180629.1
OG0000164	XP_015180421.1, XP_015180420.1, XP_015191636.1, XP_015191547.1, XP_015191637.1, XP_015191588.1	XP_016661577.1
OG0000165	XP_015185448.1	XP_029343832.1
OG0000165	XP_015174982.1	XP_029343481.1
OG0000166	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1	XP_029347644.1, XP_029347638.1, XP_029347646.1
OG0000169	XP_015174834.1, XP_015178625.1, XP_015181526.1	XP_016663900.2, XP_001944382.3
OG0000170	XP_015191093.1, XP_015191092.1	XP_008188310.1
OG0000170	XP_015191094.1, XP_015191097.1, XP_015191098.1	XP_029343183.1
OG0000171	XP_015174391.1, XP_015174730.1	XP_029345553.1
OG0000173	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1	NP_001233019.1
OG0000174	XP_015191732.1, XP_015191730.1, XP_015191731.1	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1
OG0000175	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1	XP_029344556.1, XP_001951192.1
OG0000176	XP_015188014.1	XP_008179367.1
OG0000177	XP_015191041.1	XP_016657898.1, XP_008180564.2
OG0000177	XP_015190999.1	XP_001952775.1
OG0000179	XP_015183599.1	XP_003240433.1
OG0000179	XP_015184549.1	NP_001155435.1, NP_001280333.1
OG0000180	XP_015171486.1, XP_015171485.1, XP_015171484.1	NP_001232980.1
OG0000181	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1	XP_029343194.1, XP_001948653.1
OG0000182	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1	XP_003241873.1
OG0000183	XP_015175162.1, XP_015181592.1	XP_016663191.1, XP_016662030.1
