Orthogroup	Polistes_dominula	Solenopsis_invicta
OG0000029	XP_015185507.1	XP_025987625.1
OG0000029	XP_015172137.1	XP_025994361.1
OG0000030	XP_015180792.1, XP_015180789.1, XP_015172637.1	XP_025986100.1
OG0000030	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000032	XP_015184211.1	XP_039305331.1, XP_011173570.2
OG0000032	XP_015191817.1	XP_025991246.2
OG0000032	XP_015190537.1	XP_011159466.2
OG0000032	XP_015182537.1, XP_015182533.1	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000034	XP_015189438.1	XP_039305181.1, XP_039305981.1, XP_039305980.1, XP_039305969.1, XP_039305975.1
OG0000034	XP_015185288.1	XP_039302507.1, XP_039315321.1, XP_039307234.1
OG0000035	XP_015172482.1	XP_039312187.1
OG0000036	XP_015174610.1, XP_015174768.1	XP_011166049.1
OG0000037	XP_015184679.1	XP_011161783.1
OG0000038	XP_015179360.1	XP_011172049.1
OG0000038	XP_015185565.1	XP_011174246.2
OG0000038	XP_015184119.1	XP_025991821.1
OG0000039	XP_015189306.1, XP_015189985.1	XP_039303491.1, XP_039306765.1, XP_025995650.1
OG0000039	XP_015189936.1	XP_025985703.1
OG0000040	XP_015176238.1	XP_011164376.1, XP_011164378.1
OG0000040	XP_015176239.1	XP_011157958.2, XP_011160398.1
OG0000040	XP_015175500.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1
OG0000040	XP_015186212.1	XP_011170816.1
OG0000041	XP_015182472.1	XP_011173672.1
OG0000041	XP_015179142.1	XP_039304942.1, XP_011173639.1
OG0000041	XP_015179139.1, XP_015179141.1	XP_011173634.1, XP_011173641.1
OG0000042	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1	XP_025988401.1, XP_025988400.1
OG0000042	XP_015171717.1, XP_015171718.1, XP_015171719.1	XP_025993549.1, XP_011172554.1
OG0000043	XP_015177490.1, XP_015177491.1	XP_011166108.1
OG0000043	XP_015180729.1	XP_011172450.1
OG0000044	XP_015184594.1	XP_039306340.1, XP_025986513.2
OG0000044	XP_015184599.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_015183311.1, XP_015183284.1	XP_011157503.2
OG0000045	XP_015173221.1	XP_011156768.2
OG0000045	XP_015183312.1	XP_025992324.2
OG0000045	XP_015172085.1	XP_039312826.1
OG0000046	XP_015179269.1	XP_011168512.1
OG0000046	XP_015177712.1	XP_011168531.1
OG0000046	XP_015174688.1, XP_015174687.1	XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000047	XP_015181292.1, XP_015182538.1	XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1
OG0000047	XP_015189816.1, XP_015189433.1	XP_039302440.1
OG0000048	XP_015178594.1	XP_011160449.2
OG0000050	XP_015187332.1, XP_015175623.1	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000051	XP_015188887.1	XP_039312743.1, XP_011170442.1
OG0000052	XP_015186733.1	XP_039313337.1
OG0000052	XP_015175045.1	XP_025995966.1
OG0000053	XP_015189792.1, XP_015186004.1	XP_011162891.2
OG0000054	XP_015175390.1	XP_011164393.2
OG0000054	XP_015175295.1, XP_015175296.1, XP_015175389.1	XP_011164215.1, XP_011164214.2
OG0000055	XP_015171080.1	XP_039311167.1
OG0000055	XP_015176664.1	XP_039311121.1
OG0000055	XP_015173765.1, XP_015173767.1	XP_011162045.1
OG0000056	XP_015176704.1	XP_039301684.1
OG0000056	XP_015178312.1	XP_025992809.2
OG0000056	XP_015175416.1	XP_011167471.3
OG0000056	XP_015181793.1	XP_039313454.1
OG0000056	XP_015173622.1	XP_039306715.1
OG0000057	XP_015171970.1	XP_011165693.1
OG0000057	XP_015173587.1	XP_011161996.1
OG0000057	XP_015171878.1	XP_011165691.1
OG0000057	XP_015171877.1	XP_011165692.1
OG0000060	XP_015185766.1, XP_015185775.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_015181080.1, XP_015181079.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_015178059.1	XP_039302873.1
OG0000061	XP_015188543.1	XP_039310102.1
OG0000062	XP_015179445.1	XP_025989351.2
OG0000064	XP_015178584.1, XP_015185301.1, XP_015185287.1, XP_015185289.1, XP_015185300.1	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1
OG0000065	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000066	XP_015189741.1, XP_015189693.1, XP_015189896.1, XP_015176551.1	XP_039309173.1
OG0000066	XP_015189876.1	XP_039306035.1, XP_039312738.1, XP_039302943.1, XP_011173934.3, XP_025996408.2, XP_039303305.1, XP_039313707.1, XP_039303413.1, XP_025996127.1, XP_011159374.1
OG0000067	XP_015179349.1	XP_011168949.1
OG0000067	XP_015185638.1	XP_039302008.1, XP_011157859.1
OG0000067	XP_015182629.1	XP_025989655.1
OG0000069	XP_015175625.1	XP_039305623.1, XP_025987486.1
OG0000069	XP_015175624.1	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3
OG0000070	XP_015181226.1, XP_015183189.1, XP_015181240.1, XP_015181213.1, XP_015181252.1, XP_015183161.1, XP_015181266.1	XP_039308656.1
OG0000070	XP_015183121.1, XP_015183113.1, XP_015181189.1	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1
OG0000071	XP_015181519.1, XP_015184877.1	XP_039312667.1, XP_025987085.2, XP_039303086.1, XP_039302962.1
OG0000071	XP_015189177.1	XP_039304072.1, XP_039304071.1, XP_039304070.1
OG0000072	XP_015188086.1	XP_039305208.1, XP_039302106.1, XP_039314684.1, XP_039310588.1, XP_039304519.1
OG0000072	XP_015176122.1	XP_025997019.2, XP_025997557.1, XP_039303521.1, XP_039311956.1, XP_039302140.1, XP_039310613.1, XP_011172234.2, XP_039303613.1, XP_039311158.1, XP_039315247.1, XP_039313968.1
OG0000073	XP_015173919.1	XP_011157914.1
OG0000074	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000075	XP_015189044.1, XP_015182495.1	XP_039315525.1, XP_039302537.1, XP_039309549.1, XP_039302019.1, XP_025993999.1
OG0000075	XP_015189743.1, XP_015189925.1, XP_015190539.1, XP_015189824.1, XP_015189304.1	XP_025991875.2
OG0000077	XP_015188023.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_015179002.1, XP_015185970.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_015185284.1, XP_015185291.1, XP_015185285.1	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1
OG0000079	XP_015174902.1	XP_025987034.1
OG0000079	XP_015176401.1	XP_025987035.1
OG0000079	XP_015176392.1	XP_025987036.2
OG0000080	XP_015185202.1, XP_015185201.1, XP_015185203.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_015188705.1, XP_015188706.1	XP_025995013.1
OG0000080	XP_015185196.1	XP_011173727.1
OG0000081	XP_015179051.1, XP_015179053.1, XP_015179052.1, XP_015179158.1, XP_015179157.1	XP_011174507.3, XP_025987271.2, XP_011174500.3
OG0000082	XP_015175974.1	XP_011158501.1
OG0000082	XP_015175968.1	XP_011158493.1, XP_011158531.2
OG0000083	XP_015173372.1, XP_015173381.1, XP_015189585.1, XP_015178751.1, XP_015184368.1, XP_015189821.1, XP_015189836.1	XP_011169786.1, XP_011167579.1, XP_011175784.1, XP_039303505.1
OG0000084	XP_015180887.1	XP_011155841.2
OG0000084	XP_015180880.1	XP_039310256.1, XP_011155840.3
OG0000085	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1	XP_025987478.1, XP_025987477.1
OG0000086	XP_015175698.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_015179311.1	XP_025989498.1, XP_011170042.2
OG0000088	XP_015175828.1	XP_025996218.1, XP_039311698.1
OG0000089	XP_015191649.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_015191842.1	XP_011171848.1
OG0000090	XP_015187981.1, XP_015189703.1, XP_015177660.1	XP_039305402.1
OG0000090	XP_015187339.1, XP_015182594.1	XP_039302928.1
OG0000090	XP_015187353.1, XP_015179220.1	XP_039304247.1, XP_025995087.2, XP_039304980.1, XP_039302711.1
OG0000090	XP_015185985.1	XP_025995911.1, XP_039303170.1, XP_039310653.1, XP_039303732.1, XP_039303914.1, XP_039307242.1, XP_039308386.1, XP_025997709.2, XP_039305766.1, XP_039303294.1, XP_039310030.1, XP_039310471.1, XP_039305112.1, XP_025997607.1, XP_039311201.1, XP_039304885.1, XP_011172670.2
OG0000091	XP_015190282.1, XP_015190273.1	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_015182560.1	XP_011165503.1
OG0000092	XP_015171266.1	XP_011175720.1, XP_011175721.1
OG0000092	XP_015180692.1	XP_011162964.1
OG0000093	XP_015189759.1	XP_039309916.1, XP_039304381.1, XP_039303396.1, XP_025991744.2, XP_039309657.1, XP_025997554.2
OG0000093	XP_015189715.1	XP_039302323.1, XP_039302122.1
OG0000093	XP_015189435.1, XP_015189434.1	XP_025997695.2, XP_039308825.1, XP_039312413.1
OG0000093	XP_015189747.1, XP_015189679.1, XP_015189257.1	XP_011162834.1, XP_011157346.1, XP_039302213.1
OG0000093	XP_015185820.1	XP_039306021.1
OG0000094	XP_015184885.1	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000094	XP_015189233.1	XP_039303166.1
OG0000095	XP_015188693.1	XP_025997578.1, XP_039304282.1
OG0000096	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1	XP_011156409.1, XP_039313932.1
OG0000096	XP_015178304.1	XP_039306601.1
OG0000097	XP_015172032.1, XP_015172041.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1
OG0000097	XP_015182319.1, XP_015182320.1, XP_015177848.1	XP_025992182.1, XP_011159441.1
OG0000098	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1	XP_025996352.1
OG0000099	XP_015176643.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_015176645.1	XP_039314426.1
OG0000099	XP_015179938.1	XP_011164670.2
OG0000101	XP_015184968.1	XP_011159599.3
OG0000101	XP_015178204.1, XP_015178201.1	XP_025989569.1
OG0000102	XP_015177204.1	XP_025989688.2, XP_025989699.1
OG0000102	XP_015177230.1	XP_011164886.1, XP_011164887.1, XP_039303339.1, XP_039303337.1, XP_025989702.1, XP_025989701.1, XP_025989700.1, XP_011164888.1
OG0000102	XP_015177232.1	XP_025989703.1
OG0000103	XP_015173914.1	XP_011161395.1
OG0000103	XP_015174400.1, XP_015174392.1	XP_011161367.1
OG0000103	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1	XP_011161334.1
OG0000106	XP_015189377.1	XP_039301706.1
OG0000106	XP_015179304.1	XP_039314717.1
OG0000106	XP_015189678.1, XP_015189677.1, XP_015182787.1	XP_039302268.1, XP_039302270.1
OG0000107	XP_015187650.1	XP_039315020.1
OG0000107	XP_015172211.1, XP_015172212.1	XP_011159805.1
OG0000108	XP_015181990.1	XP_025985914.1
OG0000109	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1	XP_011157413.1, XP_011157412.1
OG0000110	XP_015177093.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	XP_015175971.1	XP_039301713.1, XP_011165202.1, XP_025990766.2, NP_001291520.1
OG0000111	XP_015188005.1	XP_039308795.1
OG0000112	XP_015188234.1, XP_015188235.1, XP_015188236.1	XP_025989590.2
OG0000113	XP_015185884.1	XP_011169897.1
OG0000113	XP_015172979.1, XP_015172980.1	XP_011176341.1, XP_011176387.1
OG0000114	XP_015171118.1	XP_011161124.1
OG0000114	XP_015171119.1	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	XP_015171184.1, XP_015171185.1	NP_001291541.1
OG0000115	XP_015183848.1, XP_015183846.1	XP_011165645.2, XP_011165643.1, XP_011165649.2, XP_011165650.1
OG0000116	XP_015173852.1, XP_015173854.1, XP_015173853.1	XP_011158331.1, XP_039303768.1
OG0000116	XP_015173840.1, XP_015173841.1	XP_039303766.1
OG0000117	XP_015176195.1	XP_011157894.1
OG0000117	XP_015171648.1, XP_015171595.1	XP_011170972.1, XP_011170971.1
OG0000118	XP_015179538.1	XP_011169789.1, XP_039310497.1
OG0000118	XP_015185809.1, XP_015188686.1	XP_039307181.1, XP_039307180.1, XP_039305761.1
OG0000119	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1
OG0000120	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1	XP_011175144.2
OG0000121	XP_015189427.1	XP_039309060.1, XP_039311335.1, XP_025991788.2, XP_039303575.1, XP_039309015.1, XP_039302174.1, XP_025996815.1, XP_011170626.2, XP_039313249.1, XP_025997104.2, XP_039305489.1
OG0000122	XP_015172102.1	XP_039310041.1
OG0000122	XP_015172140.1	XP_039305859.1
OG0000122	XP_015182416.1	XP_025995487.2
OG0000122	XP_015182415.1	XP_011173307.2
OG0000123	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1	XP_011169664.1
OG0000124	XP_015173329.1, XP_015173327.1, XP_015173328.1	XP_039302015.1
OG0000125	XP_015191429.1	XP_011166830.1, XP_011166831.1
OG0000126	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_015178412.1, XP_015178414.1, XP_015189033.1	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000127	XP_015188504.1	XP_039307613.1, XP_039307615.1
OG0000129	XP_015185341.1, XP_015185342.1	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_015177984.1	XP_039309465.1
OG0000130	XP_015178018.1, XP_015178019.1	XP_025991693.1, XP_025991692.1
OG0000131	XP_015188702.1	XP_011159624.1
OG0000131	XP_015181077.1, XP_015181078.1	XP_011168548.1
OG0000132	XP_015173499.1, XP_015173500.1	XP_039305040.1, XP_011175354.1
OG0000132	XP_015188177.1	XP_011162113.1
OG0000133	XP_015173823.1	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000133	XP_015171178.1	XP_039303648.1
OG0000135	XP_015176354.1	XP_025991427.1
OG0000135	XP_015190379.1, XP_015190377.1, XP_015190378.1	XP_011168086.1
OG0000135	XP_015186255.1	XP_025992521.1
OG0000136	XP_015182073.1	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1
OG0000137	XP_015174184.1	XP_039302269.1, XP_011164282.1
OG0000137	XP_015176307.1	XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2
OG0000138	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1	XP_011156769.2
OG0000139	XP_015184451.1	XP_011163331.1, XP_011163323.1
OG0000139	XP_015184450.1	XP_011163250.1
OG0000139	XP_015184449.1	XP_011163312.2, XP_025992297.2
OG0000141	XP_015172584.1	XP_011172931.2
OG0000141	XP_015178844.1, XP_015178845.1	XP_011173169.1
OG0000142	XP_015177690.1	XP_039305867.1, XP_025986931.2, XP_039314570.1, XP_025986941.2, XP_025986936.2, XP_039314535.1, XP_039314558.1, XP_011168007.2, XP_039314529.1, XP_039314590.1, XP_039314564.1, XP_039305868.1, XP_039305708.1, XP_039305809.1, XP_039305616.1, XP_039305178.1, XP_039305782.1
OG0000143	XP_015188709.1, XP_015188710.1	XP_011158940.1, XP_011158941.1
OG0000144	XP_015177945.1	XP_011155485.2
OG0000144	XP_015177942.1	XP_011155484.1
OG0000145	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1	XP_039310475.1, XP_039310474.1
OG0000145	XP_015191830.1, XP_015191831.1, XP_015191832.1	XP_025989810.1
OG0000146	XP_015178326.1, XP_015178324.1	XP_011158610.1, XP_011163024.1, XP_011163029.1
OG0000146	XP_015181347.1	XP_011157598.1
OG0000147	XP_015172908.1	XP_025987816.1, XP_039314750.1
OG0000149	XP_015183082.1	XP_011168700.1
OG0000149	XP_015183081.1, XP_015183080.1, XP_015183079.1	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2
OG0000150	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1
OG0000151	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1	XP_011167344.2
