Orthogroup	Polistes_dominula	Habropoda_laboriosa
OG0000004	XP_015189729.1, XP_015189948.1, XP_015189979.1	XP_017795920.1
OG0000004	XP_015180194.1	XP_017790882.1
OG0000005	XP_015186874.1	XP_017793329.1
OG0000006	XP_015180561.1	XP_017788744.1
OG0000006	XP_015180690.1	XP_017788745.1
OG0000006	XP_015184251.1	XP_017789424.1
OG0000008	XP_015180320.1	XP_017797987.1
OG0000008	XP_015182812.1	XP_017793615.1
OG0000008	XP_015180327.1, XP_015180328.1	XP_017797975.1
OG0000008	XP_015180322.1, XP_015180321.1, XP_015180323.1	XP_017797962.1
OG0000008	XP_015180324.1, XP_015180325.1	XP_017798022.1
OG0000009	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1	XP_017794730.1, XP_017794617.1, XP_017794731.1, XP_017794737.1
OG0000011	XP_015183883.1, XP_015183802.1	XP_017796293.1
OG0000012	XP_015181463.1	XP_017797597.1
OG0000012	XP_015184231.1	XP_017796583.1
OG0000012	XP_015181630.1	XP_017796672.1
OG0000013	XP_015172623.1	XP_017799299.1
OG0000013	XP_015174269.1	XP_017795688.1
OG0000013	XP_015172185.1	XP_017797795.1
OG0000014	XP_015177523.1	XP_017799148.1, XP_017799145.1
OG0000017	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1	XP_017788278.1
OG0000017	XP_015180945.1	XP_017795361.1
OG0000018	XP_015184408.1	XP_017793008.1
OG0000018	XP_015186827.1	XP_017793490.1
OG0000018	XP_015186828.1	XP_017793336.1
OG0000018	XP_015175602.1	XP_017796703.1
OG0000019	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1	XP_017790272.1
OG0000019	XP_015182221.1, XP_015189673.1	XP_017788514.1
OG0000020	XP_015172633.1	XP_017791573.1
OG0000020	XP_015183576.1	XP_017790081.1
OG0000020	XP_015183590.1	XP_017792589.1
OG0000020	XP_015171445.1	XP_017794423.1
OG0000020	XP_015183950.1, XP_015183951.1, XP_015183952.1	XP_017793275.1
OG0000020	XP_015184365.1	XP_017795013.1
OG0000020	XP_015181633.1	XP_017794610.1
OG0000021	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1	XP_017798657.1
OG0000021	XP_015184436.1	XP_017790331.1
OG0000021	XP_015190080.1	XP_017790276.1
OG0000021	XP_015188837.1	XP_017787416.1
OG0000021	XP_015184407.1	XP_017790325.1
OG0000021	XP_015183774.1, XP_015183791.1, XP_015183783.1	XP_017798692.1
OG0000022	XP_015174052.1	XP_017795686.1
OG0000022	XP_015173497.1	XP_017798138.1
OG0000024	XP_015188584.1, XP_015188403.1, XP_015171793.1	XP_017798115.1
OG0000024	XP_015182123.1	XP_017788217.1
OG0000025	XP_015189686.1	XP_017796822.1, XP_017795782.1, XP_017795848.1
OG0000025	XP_015189019.1	XP_017791901.1
OG0000025	XP_015189308.1	XP_017791900.1
OG0000026	XP_015181461.1, XP_015181460.1	XP_017799538.1
OG0000026	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1	XP_017790381.1
OG0000026	XP_015174903.1	XP_017797652.1
OG0000026	XP_015191534.1	XP_017795812.1
OG0000026	XP_015187302.1	XP_017789050.1
OG0000027	XP_015172634.1	XP_017799307.1
OG0000029	XP_015185507.1	XP_017798436.1
OG0000030	XP_015180792.1, XP_015180789.1, XP_015172637.1	XP_017799391.1, XP_017799392.1
OG0000030	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1	XP_017791372.1
OG0000032	XP_015190440.1	XP_017791965.1
OG0000032	XP_015190537.1	XP_017793574.1
OG0000032	XP_015182537.1, XP_015182533.1	XP_017790226.1
OG0000034	XP_015185288.1	XP_017795546.1, XP_017795548.1, XP_017795547.1
OG0000035	XP_015172482.1	XP_017797282.1
OG0000036	XP_015175890.1	XP_017791823.1, XP_017791802.1
OG0000036	XP_015174610.1	XP_017791824.1
OG0000036	XP_015174768.1	XP_017791822.1
OG0000037	XP_015184679.1	XP_017798855.1
OG0000038	XP_015179360.1	XP_017795058.1
OG0000038	XP_015179091.1	XP_017791877.1
OG0000038	XP_015185565.1	XP_017796596.1
OG0000038	XP_015184119.1	XP_017796281.1
OG0000039	XP_015189306.1, XP_015189985.1	XP_017793816.1
OG0000040	XP_015176238.1	XP_017793196.1
OG0000040	XP_015175500.1	XP_017797297.1, XP_017797034.1
OG0000040	XP_015186212.1	XP_017789776.1
OG0000041	XP_015182472.1	XP_017795667.1, XP_017795668.1
OG0000041	XP_015179142.1	XP_017796748.1
OG0000041	XP_015179139.1, XP_015179141.1	XP_017796749.1
OG0000042	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1	XP_017797246.1
OG0000042	XP_015171717.1, XP_015171718.1, XP_015171719.1	XP_017797230.1
OG0000043	XP_015177490.1, XP_015177491.1	XP_017797621.1
OG0000043	XP_015187201.1	XP_017793789.1
OG0000043	XP_015180729.1	XP_017794273.1
OG0000044	XP_015184594.1	XP_017792515.1
OG0000044	XP_015184599.1	XP_017792527.1, XP_017792526.1
OG0000045	XP_015183311.1, XP_015183284.1	XP_017797443.1
OG0000045	XP_015183312.1	XP_017797444.1
OG0000045	XP_015172085.1	XP_017793667.1
OG0000046	XP_015179269.1	XP_017789468.1
OG0000046	XP_015177712.1	XP_017790988.1
OG0000046	XP_015174688.1, XP_015174687.1	XP_017792943.1
OG0000048	XP_015178594.1	XP_017799581.1
OG0000048	XP_015178617.1	XP_017799488.1
OG0000048	XP_015178621.1	XP_017787394.1
OG0000048	XP_015178616.1	XP_017799482.1
OG0000052	XP_015186733.1	XP_017790871.1
OG0000052	XP_015175045.1	XP_017793145.1
OG0000053	XP_015189792.1, XP_015186004.1	XP_017795064.1, XP_017788510.1, XP_017795065.1, XP_017797143.1
OG0000054	XP_015175390.1	XP_017797421.1
OG0000054	XP_015175295.1, XP_015175296.1, XP_015175389.1	XP_017797389.1, XP_017797390.1
OG0000055	XP_015171080.1	XP_017799533.1
OG0000055	XP_015176664.1	XP_017789854.1
OG0000055	XP_015173765.1, XP_015173767.1	XP_017791354.1
OG0000056	XP_015176704.1	XP_017795795.1
OG0000056	XP_015178312.1	XP_017792816.1
OG0000056	XP_015175416.1	XP_017792926.1
OG0000056	XP_015181793.1	XP_017789030.1
OG0000056	XP_015181325.1	XP_017792979.1
OG0000057	XP_015171970.1	XP_017798095.1
OG0000057	XP_015173587.1	XP_017798766.1
OG0000057	XP_015171878.1	XP_017798094.1
OG0000057	XP_015171877.1	XP_017798097.1
OG0000057	XP_015171777.1	XP_017798098.1
OG0000060	XP_015185766.1, XP_015185775.1	XP_017787543.1
OG0000060	XP_015181080.1, XP_015181079.1	XP_017792478.1
OG0000061	XP_015188543.1	XP_017799273.1
OG0000061	XP_015177990.1	XP_017788550.1, XP_017795246.1
OG0000062	XP_015173092.1	XP_017794533.1
OG0000062	XP_015178479.1	XP_017794504.1
OG0000064	XP_015178584.1, XP_015185301.1, XP_015185287.1, XP_015185289.1, XP_015185300.1	XP_017794588.1, XP_017796982.1, XP_017794413.1, XP_017794592.1, XP_017794416.1, XP_017797020.1, XP_017794589.1, XP_017797125.1, XP_017797050.1, XP_017794414.1, XP_017797092.1, XP_017794590.1, XP_017797021.1, XP_017797022.1, XP_017797090.1, XP_017794415.1, XP_017797051.1, XP_017792749.1, XP_017794593.1, XP_017796353.1, XP_017797093.1, XP_017794417.1, XP_017794418.1
OG0000065	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1	XP_017793945.1
OG0000067	XP_015179349.1	XP_017790603.1
OG0000067	XP_015185638.1	XP_017794658.1
OG0000067	XP_015180637.1	XP_017795551.1
OG0000067	XP_015182629.1	XP_017787992.1
OG0000069	XP_015175625.1	XP_017795598.1, XP_017795596.1, XP_017795597.1, XP_017795595.1
OG0000069	XP_015175624.1	XP_017795600.1
OG0000070	XP_015181201.1	XP_017795128.1
OG0000070	XP_015181189.1	XP_017795126.1
OG0000073	XP_015173919.1	XP_017792787.1
OG0000074	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1	XP_017797397.1
OG0000075	XP_015189044.1, XP_015182495.1, XP_015189743.1, XP_015189925.1, XP_015190539.1, XP_015189824.1, XP_015189304.1	XP_017794503.1
OG0000077	XP_015188023.1	XP_017797118.1, XP_017795753.1
OG0000077	XP_015179002.1, XP_015185970.1	XP_017789897.1
OG0000078	XP_015185284.1, XP_015185291.1, XP_015185285.1	XP_017792652.1
OG0000079	XP_015176392.1	XP_017787939.1
OG0000080	XP_015185202.1, XP_015185201.1, XP_015185203.1	XP_017798424.1
OG0000080	XP_015188705.1, XP_015188706.1	XP_017798328.1
OG0000080	XP_015185196.1	XP_017798422.1
OG0000081	XP_015179051.1, XP_015179053.1, XP_015179052.1, XP_015179158.1, XP_015179157.1	XP_017796643.1
OG0000082	XP_015175969.1	XP_017797726.1
OG0000082	XP_015175974.1	XP_017797683.1
OG0000082	XP_015175968.1	XP_017797684.1, XP_017797819.1
OG0000084	XP_015180887.1	XP_017792624.1
OG0000084	XP_015180880.1	XP_017792708.1
OG0000085	XP_015172015.1	XP_017790689.1
OG0000085	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1	XP_017793167.1
OG0000086	XP_015175698.1	XP_017791806.1
OG0000087	XP_015179311.1	XP_017792917.1
OG0000087	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1	XP_017792908.1
OG0000088	XP_015175828.1	XP_017789815.1
OG0000089	XP_015191649.1	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1
OG0000089	XP_015191842.1	XP_017798058.1
OG0000090	XP_015185985.1	XP_017792762.1, XP_017795703.1
OG0000091	XP_015190282.1, XP_015190273.1	XP_017792668.1, XP_017792670.1
OG0000092	XP_015182560.1	XP_017799316.1
OG0000092	XP_015171266.1	XP_017789003.1, XP_017789058.1, XP_017789059.1
OG0000092	XP_015180692.1	XP_017788769.1
OG0000093	XP_015189435.1, XP_015189434.1	XP_017796954.1
OG0000093	XP_015185820.1	XP_017796355.1, XP_017797106.1
OG0000094	XP_015176150.1, XP_015184885.1	XP_017798959.1
OG0000094	XP_015189233.1	XP_017791335.1
OG0000094	XP_015175380.1	XP_017798352.1
OG0000095	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1	XP_017790301.1
OG0000096	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1	XP_017798525.1
OG0000096	XP_015178304.1	XP_017796013.1
OG0000097	XP_015172032.1, XP_015172041.1	XP_017791424.1, XP_017791423.1
OG0000097	XP_015182319.1, XP_015182320.1, XP_015177848.1	XP_017793649.1
OG0000098	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1
OG0000099	XP_015176643.1	XP_017796840.1
OG0000099	XP_015176645.1	XP_017796299.1, XP_017796300.1
OG0000099	XP_015179938.1	XP_017791883.1
OG0000100	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1	XP_017794869.1
OG0000101	XP_015184968.1	XP_017793334.1
OG0000102	XP_015177204.1	XP_017787422.1
OG0000102	XP_015177232.1	XP_017787495.1
OG0000103	XP_015173914.1	XP_017793916.1
OG0000103	XP_015174400.1, XP_015174392.1	XP_017793918.1
OG0000103	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1	XP_017793920.1
OG0000106	XP_015189668.1	XP_017794550.1
OG0000106	XP_015179304.1	XP_017797471.1
OG0000107	XP_015172211.1, XP_015172212.1	XP_017793002.1
OG0000108	XP_015181990.1, XP_015182011.1, XP_015191850.1	XP_017797595.1
OG0000109	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1
OG0000110	XP_015177093.1	XP_017794692.1
OG0000110	XP_015180892.1	XP_017797747.1
OG0000111	XP_015175971.1	XP_017797783.1, XP_017787491.1
OG0000111	XP_015188005.1	XP_017793968.1
OG0000112	XP_015188234.1, XP_015188235.1, XP_015188236.1	XP_017793364.1
OG0000112	XP_015180272.1, XP_015180273.1	XP_017790673.1
OG0000113	XP_015185884.1	XP_017798381.1
OG0000113	XP_015172979.1, XP_015172980.1	XP_017798181.1
OG0000114	XP_015171118.1	XP_017792172.1
OG0000114	XP_015171119.1	XP_017792121.1
OG0000115	XP_015171184.1, XP_015171185.1	XP_017797018.1
OG0000115	XP_015183848.1, XP_015183846.1	XP_017795994.1
OG0000116	XP_015173852.1, XP_015173854.1, XP_015173853.1	XP_017799593.1
OG0000116	XP_015173840.1, XP_015173841.1	XP_017799604.1
OG0000117	XP_015176195.1	XP_017791704.1
OG0000117	XP_015171648.1, XP_015171595.1	XP_017797358.1
OG0000119	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1	XP_017787392.1
OG0000120	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1	XP_017794605.1
OG0000122	XP_015172102.1	XP_017798532.1
OG0000122	XP_015172140.1	XP_017799142.1
OG0000122	XP_015182416.1	XP_017793619.1
OG0000122	XP_015182415.1	XP_017793618.1
OG0000123	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1
OG0000124	XP_015173329.1, XP_015173327.1, XP_015173328.1	XP_017789119.1
OG0000125	XP_015191429.1	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1, XP_017795819.1
OG0000126	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1	XP_017792776.1
OG0000127	XP_015189033.1	XP_017799036.1, XP_017799037.1
OG0000127	XP_015188504.1	XP_017799080.1
OG0000129	XP_015185341.1, XP_015185342.1	XP_017792739.1
OG0000130	XP_015177984.1	XP_017787765.1
OG0000130	XP_015177985.1, XP_015177986.1	XP_017789002.1
OG0000130	XP_015178018.1, XP_015178019.1	XP_017791658.1
OG0000131	XP_015188702.1	XP_017790302.1
OG0000131	XP_015181077.1, XP_015181078.1	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1
OG0000132	XP_015173499.1, XP_015173500.1	XP_017798108.1
OG0000132	XP_015188177.1	XP_017798132.1
OG0000133	XP_015173823.1	XP_017788158.1
OG0000133	XP_015171178.1	XP_017795366.1
OG0000135	XP_015176354.1	XP_017794640.1
OG0000135	XP_015190379.1, XP_015190377.1, XP_015190378.1	XP_017799029.1
OG0000135	XP_015186255.1	XP_017788492.1
OG0000136	XP_015182073.1	XP_017788204.1, XP_017788203.1
OG0000137	XP_015174184.1	XP_017797492.1
OG0000137	XP_015176307.1	XP_017788948.1
OG0000138	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1	XP_017794346.1
OG0000138	XP_015181777.1	XP_017793300.1
OG0000139	XP_015184451.1, XP_015184450.1	XP_017787706.1
OG0000139	XP_015184449.1	XP_017787697.1
OG0000140	XP_015172454.1	XP_017798520.1
OG0000141	XP_015172584.1	XP_017794696.1
OG0000141	XP_015191838.1	XP_017797914.1
OG0000141	XP_015178844.1, XP_015178845.1	XP_017787810.1
OG0000142	XP_015177690.1	XP_017789845.1, XP_017789846.1
OG0000143	XP_015188708.1	XP_017790512.1
OG0000143	XP_015188709.1, XP_015188710.1	XP_017790495.1
OG0000144	XP_015177945.1	XP_017797971.1, XP_017797954.1
OG0000144	XP_015177942.1	XP_017797956.1
OG0000145	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1	XP_017788300.1
OG0000145	XP_015191830.1, XP_015191831.1, XP_015191832.1	XP_017797568.1
OG0000146	XP_015178326.1, XP_015178324.1	XP_017794829.1, XP_017789218.1
OG0000146	XP_015181347.1	XP_017789431.1
OG0000147	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1	XP_017799321.1
OG0000147	XP_015172908.1	XP_017792150.1, XP_017792149.1, XP_017792148.1
OG0000149	XP_015183082.1	XP_017788095.1
OG0000149	XP_015183081.1, XP_015183080.1, XP_015183079.1	XP_017788073.1
OG0000150	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1	XP_017787586.1, XP_017787587.1
OG0000151	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1	XP_017798042.1, XP_017798041.1
OG0000152	XP_015177279.1	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1
OG0000153	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1	XP_017797758.1
OG0000154	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1	XP_017795372.1
OG0000156	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1
OG0000157	XP_015176246.1	XP_017788698.1
OG0000158	XP_015180258.1, XP_015180556.1, XP_015179489.1	XP_017793670.1
OG0000158	XP_015179488.1	XP_017793698.1, XP_017793668.1, XP_017793669.1
OG0000160	XP_015185930.1	XP_017795191.1
OG0000160	XP_015184081.1	XP_017792249.1
OG0000161	XP_015176784.1	XP_017791738.1
OG0000162	XP_015186367.1	XP_017797980.1
OG0000162	XP_015182682.1	XP_017787385.1
OG0000164	XP_015191588.1	XP_017797561.1
OG0000165	XP_015185448.1	XP_017789911.1
OG0000165	XP_015174982.1	XP_017795542.1
OG0000166	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1	XP_017790571.1, XP_017790565.1, XP_017790567.1, XP_017790564.1, XP_017790576.1
OG0000168	XP_015190714.1, XP_015190715.1	XP_017790457.1
OG0000169	XP_015174834.1, XP_015178625.1, XP_015181526.1	XP_017797588.1
OG0000170	XP_015191093.1, XP_015191092.1	XP_017790420.1
OG0000170	XP_015191094.1	XP_017790362.1
OG0000171	XP_015174391.1	XP_017787774.1
OG0000171	XP_015174730.1	XP_017787850.1, XP_017787824.1
OG0000172	XP_015184112.1, XP_015184114.1, XP_015184115.1, XP_015184116.1, XP_015184111.1	XP_017792473.1, XP_017792475.1, XP_017792474.1, XP_017792472.1, XP_017792476.1
OG0000173	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1	XP_017794775.1, XP_017794776.1
OG0000174	XP_015191732.1, XP_015191730.1, XP_015191731.1	XP_017798800.1
OG0000175	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1
OG0000176	XP_015179485.1	XP_017790348.1
OG0000177	XP_015191041.1	XP_017795594.1
OG0000177	XP_015190999.1	XP_017795592.1
OG0000178	XP_015179140.1	XP_017790433.1
OG0000179	XP_015183599.1	XP_017791990.1
OG0000179	XP_015184549.1	XP_017791524.1
OG0000179	XP_015181406.1	XP_017799324.1
OG0000180	XP_015171486.1, XP_015171485.1, XP_015171484.1	XP_017787401.1, XP_017787400.1, XP_017787399.1
OG0000181	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1	XP_017792968.1
OG0000182	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1	XP_017794377.1
OG0000183	XP_015175162.1	XP_017795084.1
OG0000183	XP_015181592.1	XP_017796132.1
OG0000185	XP_015175891.1, XP_015175892.1, XP_015175893.1	XP_017797731.1
OG0000185	XP_015175804.1	XP_017797733.1
OG0000186	XP_015183983.1, XP_015183981.1	XP_017790553.1, XP_017790555.1
OG0000187	XP_015180155.1, XP_015180146.1, XP_015180136.1	XP_017797342.1
OG0000188	XP_015176881.1	XP_017795271.1
OG0000189	XP_015173121.1, XP_015173134.1	XP_017795367.1
OG0000189	XP_015171025.1	XP_017787964.1, XP_017787967.1
OG0000190	XP_015184945.1	XP_017789755.1, XP_017789754.1, XP_017789756.1
OG0000191	XP_015179465.1, XP_015179466.1	XP_017795883.1
OG0000192	XP_015178452.1	XP_017792725.1
OG0000194	XP_015173607.1	XP_017799440.1
OG0000194	XP_015173634.1	XP_017799442.1
OG0000194	XP_015173610.1	XP_017799441.1
OG0000194	XP_015181334.1, XP_015181335.1	XP_017799437.1
OG0000196	XP_015178964.1	XP_017791366.1
OG0000196	XP_015174639.1	XP_017791305.1
OG0000198	XP_015173178.1	XP_017787675.1
OG0000199	XP_015174540.1	XP_017792901.1
OG0000200	XP_015187594.1	XP_017790004.1, XP_017790003.1
OG0000200	XP_015178431.1, XP_015178427.1	XP_017793346.1, XP_017793347.1
OG0000201	XP_015179138.1	XP_017790031.1
OG0000202	XP_015177652.1, XP_015177653.1, XP_015177655.1, XP_015177654.1	XP_017791030.1
OG0000203	XP_015176004.1	XP_017794211.1
OG0000203	XP_015174579.1, XP_015174578.1	XP_017790332.1
OG0000204	XP_015182497.1, XP_015177887.1	XP_017788993.1
OG0000205	XP_015183111.1, XP_015183110.1	XP_017788047.1
OG0000206	XP_015186289.1	XP_017794929.1
OG0000206	XP_015186290.1, XP_015186291.1	XP_017794889.1, XP_017794888.1, XP_017794887.1
OG0000207	XP_015175962.1	XP_017793342.1
OG0000207	XP_015186420.1, XP_015186417.1	XP_017791361.1
OG0000208	XP_015186385.1	XP_017791349.1
OG0000208	XP_015173568.1	XP_017796380.1
OG0000209	XP_015184955.1	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1
OG0000210	XP_015177416.1	XP_017789022.1
OG0000210	XP_015180468.1	XP_017790992.1
OG0000210	XP_015185061.1	XP_017789769.1
OG0000212	XP_015179526.1, XP_015179527.1	XP_017795959.1
OG0000212	XP_015185495.1	XP_017793996.1
OG0000212	XP_015185494.1	XP_017793987.1, XP_017793986.1
OG0000213	XP_015189481.1	XP_017789586.1
OG0000214	XP_015190491.1	XP_017794266.1
OG0000214	XP_015175994.1	XP_017792781.1, XP_017792782.1
OG0000215	XP_015185000.1	XP_017796692.1
OG0000215	XP_015185001.1	XP_017796575.1
OG0000216	XP_015185916.1	XP_017793604.1
OG0000217	XP_015186718.1	XP_017789113.1
OG0000218	XP_015174590.1, XP_015174588.1, XP_015174591.1	XP_017795109.1
OG0000219	XP_015173758.1, XP_015173757.1, XP_015173756.1	XP_017788174.1, XP_017788173.1, XP_017788171.1, XP_017788172.1, XP_017788169.1, XP_017788170.1
OG0000220	XP_015184604.1	XP_017792512.1
OG0000221	XP_015184406.1	XP_017798983.1, XP_017799229.1
OG0000223	XP_015186521.1	XP_017794139.1
OG0000223	XP_015178968.1	XP_017796406.1
OG0000225	XP_015171829.1, XP_015171828.1	XP_017798161.1
OG0000225	XP_015176375.1	XP_017796348.1
OG0000227	XP_015177648.1, XP_015177645.1	XP_017791515.1
OG0000228	XP_015189827.1, XP_015189765.1	XP_017791917.1
OG0000229	XP_015186538.1	XP_017794169.1
OG0000230	XP_015187246.1, XP_015187244.1, XP_015187242.1, XP_015187243.1	XP_017788896.1
OG0000231	XP_015174418.1, XP_015174419.1	XP_017789953.1
OG0000232	XP_015185539.1, XP_015185538.1, XP_015185537.1	XP_017787985.1
OG0000233	XP_015178474.1	XP_017798941.1
OG0000235	XP_015191589.1	XP_017795898.1, XP_017795906.1
OG0000236	XP_015175604.1, XP_015175605.1	XP_017796613.1
OG0000236	XP_015175615.1	XP_017796614.1
OG0000237	XP_015171667.1	XP_017794664.1
OG0000237	XP_015171630.1	XP_017794663.1
OG0000239	XP_015190308.1, XP_015190309.1, XP_015189352.1	XP_017788956.1, XP_017788957.1, XP_017788955.1
OG0000240	XP_015173344.1, XP_015173331.1, XP_015173359.1	XP_017787807.1, XP_017787848.1
OG0000243	XP_015174530.1	XP_017797616.1
OG0000244	XP_015179576.1, XP_015179577.1, XP_015179580.1, XP_015179579.1, XP_015179578.1	XP_017798659.1
OG0000245	XP_015189008.1	XP_017796958.1, XP_017796963.1
OG0000246	XP_015179151.1	XP_017787631.1
OG0000246	XP_015182115.1, XP_015182116.1	XP_017787636.1
OG0000247	XP_015191855.1, XP_015191854.1	XP_017790661.1
OG0000248	XP_015182680.1	XP_017792985.1
OG0000249	XP_015187603.1, XP_015190237.1, XP_015190236.1	XP_017795192.1
OG0000250	XP_015190042.1	XP_017790978.1
